actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
182,PT09M23.00S,2021-11-13T03:49:49.5Z,2,REGULAR,substitution,in,[],1626172,,,1610612741,29,33,2021-11-13T03:49:57Z,1760000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT09M23.00S,2021-11-13T03:49:49.5Z,2,REGULAR,substitution,in,[],1628396,,,1610612741,29,33,2021-11-13T03:49:57Z,1770000,,,0,,SUB in: T. Bradley,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT09M23.00S,2021-11-13T03:50:03.6Z,2,REGULAR,substitution,out,[],1630228,,,1610612741,29,33,2021-11-13T03:50:06Z,1780000,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT09M23.00S,2021-11-13T03:50:03.6Z,2,REGULAR,substitution,in,[],203952,,,1610612741,29,33,2021-11-13T03:50:06Z,1790000,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT09M16.00S,2021-11-13T03:50:22.4Z,2,REGULAR,turnover,bad pass,[],201942,,,1610612741,29,33,2021-11-13T03:50:24Z,1800000,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 2738]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,1.0,,,Iguodala,2738.0,,,,,
187,PT09M16.00S,2021-11-13T03:50:22.4Z,2,REGULAR,steal,,[],2738,,,1610612744,29,33,2021-11-13T03:50:25Z,1810000,,,0,,A. Iguodala STEAL (1 STL),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT09M00.00S,2021-11-13T03:50:38.8Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626172,13.222733245729303,44.85294117647059,1610612744,29,33,2021-11-13T03:50:41Z,1820000,26.0,72.0,1,left,MISS K. Looney 7' turnaround Hook,[1626172],1610612744.0,GSW,turnaround,,,Looney,K. Looney,,,,,7.63,Missed,,,,,,,,,,,,,,,,,,,
189,PT08M59.00S,2021-11-13T03:50:39.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612744,29,33,2021-11-13T03:57:00Z,1830000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,
192,PT08M59.00S,2021-11-13T03:50:50.3Z,2,REGULAR,foul,personal,[],1627936,,,1610612744,29,33,2021-11-13T03:50:54Z,1860000,,,0,,A. Caruso loose ball personal FOUL (2 PF),"[1627936, 1626172]",1610612741.0,CHI,loose ball,,,Caruso,A. Caruso,,,,,,,,,,,,,,,202037.0,,,,,,2.0,0.0,Looney,1626172.0,
194,PT08M59.00S,2021-11-13T03:51:04.5Z,2,REGULAR,substitution,out,[],1627936,,,1610612744,29,33,2021-11-13T03:51:13Z,1880000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT08M59.00S,2021-11-13T03:51:04.5Z,2,REGULAR,substitution,in,[],1630245,,,1610612744,29,33,2021-11-13T03:51:13Z,1890000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT08M49.00S,2021-11-13T03:51:20.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201939,8.09789750328515,44.6078431372549,1610612744,31,33,2021-11-13T03:51:22Z,1900000,27.0,24.0,1,left,S. Curry driving finger roll Layup (15 PTS),[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,3.59,Made,15.0,,,,,,,,,,,,,,,,,,
197,PT08M32.00S,2021-11-13T03:51:36.2Z,2,REGULAR,2pt,Jump Shot,[],1628366,74.85216819973719,40.931372549019606,1610612741,31,33,2021-11-13T03:51:38Z,1910000,-45.0,184.0,1,right,MISS L. Ball 18' pullup Shot,[1628366],1610612741.0,CHI,pullup,,,Ball,L. Ball,,,,,18.94,Missed,,,,,,,,,,,,,,,,,,,
198,PT08M30.00S,2021-11-13T03:51:39.7Z,2,REGULAR,rebound,defensive,[],203952,,,1610612744,31,33,2021-11-13T03:51:39Z,1920000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,197.0,2.0,2.0,0.0,,,,,,,,,,,
199,PT08M26.00S,2021-11-13T03:51:43.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201939,25.969119579500656,87.25490196078431,1610612744,31,33,2021-11-13T03:57:17Z,1930000,-186.0,192.0,1,left,MISS S. Curry 26' turnaround 3PT,[201939],1610612744.0,GSW,turnaround,,,Curry,S. Curry,,,,,26.72,Missed,,,,,,,,,,,,,,,,,,,
200,PT08M24.00S,2021-11-13T03:51:45.1Z,2,REGULAR,rebound,offensive,[],1626172,,,1610612744,31,33,2021-11-13T03:52:06Z,1940000,,,0,,K. Looney REBOUND (Off:2 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,199.0,4.0,2.0,2.0,,,,,,,,,,,
201,PT08M19.00S,2021-11-13T03:51:49.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],2738,22.552562417871222,8.088235294117647,1610612744,31,33,2021-11-13T03:51:53Z,1950000,210.0,159.0,1,left,MISS A. Iguodala 26' 3PT,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,,
202,PT08M18.00S,2021-11-13T03:51:53.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612744,31,33,2021-11-13T03:51:53Z,1960000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,201.0,,,,,,,,,,,,,,
203,PT08M18.00S,2021-11-13T03:51:55.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,31,33,2021-11-13T03:51:55Z,1970000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M18.00S,2021-11-13T03:52:00.0Z,2,REGULAR,substitution,out,[],1627884,,,1610612744,31,33,2021-11-13T03:52:02Z,1980000,,,0,,SUB out: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M18.00S,2021-11-13T03:52:00.0Z,2,REGULAR,substitution,in,[],1629750,,,1610612744,31,33,2021-11-13T03:52:02Z,1990000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M11.00S,2021-11-13T03:52:23.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203952,6.176084099868594,95.8563112745098,1610612744,31,33,2021-11-13T04:05:27Z,2000000,-229.0,6.0,1,left,MISS A. Wiggins 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,22.94,Missed,,,,,,,,,,,,,,,,,,,
207,PT08M08.00S,2021-11-13T03:52:26.0Z,2,REGULAR,rebound,defensive,[],1629750,,,1610612741,31,33,2021-11-13T04:05:27Z,2010000,,,0,,J. Green REBOUND (Off:0 Def:2),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,206.0,2.0,2.0,0.0,,,,,,,,,,,
208,PT08M02.00S,2021-11-13T03:52:33.3Z,2,REGULAR,foul,personal,['2freethrow'],1627780,,,1610612741,31,33,2021-11-13T03:52:41Z,2020000,,,0,,G. Payton II shooting personal FOUL (1 PF) (Bradley 2 FT),"[1627780, 1628396]",1610612744.0,GSW,shooting,,,Payton II,G. Payton II,,,,,,,,,,,,,,,201639.0,,,,,,1.0,0.0,Bradley,1628396.0,
210,PT08M02.00S,2021-11-13T03:53:01.4Z,2,REGULAR,freethrow,1 of 2,[],1628396,,,1610612741,31,34,2021-11-13T03:53:01Z,2040000,,,0,,T. Bradley Free Throw 1 of 2 (3 PTS),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
211,PT08M02.00S,2021-11-13T03:53:02.1Z,2,REGULAR,substitution,out,[],201942,,,1610612741,31,34,2021-11-13T03:53:07Z,2050000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M02.00S,2021-11-13T03:53:02.1Z,2,REGULAR,substitution,in,[],203897,,,1610612741,31,34,2021-11-13T03:53:07Z,2060000,,,0,,SUB in: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M02.00S,2021-11-13T03:53:24.8Z,2,REGULAR,freethrow,2 of 2,[],1628396,,,1610612741,31,34,2021-11-13T03:53:24Z,2070000,,,0,,MISS T. Bradley Free Throw 2 of 2,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,Missed,,,,,,,,,,,,,,,,,,,
214,PT08M00.00S,2021-11-13T03:53:25.6Z,2,REGULAR,rebound,defensive,[],1626172,,,1610612744,31,34,2021-11-13T03:53:25Z,2080000,,,0,,K. Looney REBOUND (Off:2 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,213.0,5.0,3.0,2.0,,,,,,,,,,,
215,PT07M38.00S,2021-11-13T03:53:48.4Z,2,REGULAR,3pt,Jump Shot,[],201939,37.79566360052563,47.30392156862745,1610612744,31,34,2021-11-13T03:53:52Z,2090000,13.0,303.0,1,left,MISS S. Curry 30' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,30.31,Missed,,,,,,,,,,,,,,,,,,,
216,PT07M36.00S,2021-11-13T03:53:50.4Z,2,REGULAR,rebound,offensive,[],203952,,,1610612744,31,34,2021-11-13T03:54:10Z,2100000,,,0,,A. Wiggins REBOUND (Off:1 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,215.0,3.0,2.0,1.0,,,,,,,,,,,
217,PT07M33.00S,2021-11-13T03:53:53.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203952,6.783837056504599,50.0,1610612744,33,34,2021-11-13T03:54:19Z,2110000,0.0,11.0,1,left,A. Wiggins putback Layup (6 PTS),[203952],1610612744.0,GSW,putback,,,Wiggins,A. Wiggins,,,,,1.13,Made,6.0,,,,,,,,,,,,,,,,,,
218,PT07M33.00S,2021-11-13T03:54:00.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,33,34,2021-11-13T03:54:00Z,2120000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M22.00S,2021-11-13T03:57:31.1Z,2,REGULAR,turnover,lost ball,[],203897,,,1610612741,33,34,2021-11-13T03:57:32Z,2130000,,,0,,Z. LaVine lost ball TURNOVER (2 TO),"[203897, 1627780]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,2.0,,,Payton II,1627780.0,,,,,
220,PT07M22.00S,2021-11-13T03:57:31.1Z,2,REGULAR,steal,,[],1627780,,,1610612744,33,34,2021-11-13T03:57:33Z,2140000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M18.00S,2021-11-13T03:57:34.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627780,8.492115637319317,50.73529411764706,1610612744,35,34,2021-11-13T04:00:55Z,2150000,-4.0,27.0,1,left,G. Payton II running DUNK (2 PTS),[1627780],1610612744.0,GSW,running,,,Payton II,G. Payton II,,,,,2.75,Made,2.0,,,,,,,,,,,,,,,,,,
222,PT07M01.00S,2021-11-13T03:57:51.7Z,2,REGULAR,turnover,lost ball,[],1629750,,,1610612741,35,34,2021-11-13T03:57:53Z,2160000,,,0,,J. Green lost ball TURNOVER (1 TO),"[1629750, 201939]",1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,1.0,,,Curry,201939.0,,,,,
223,PT07M01.00S,2021-11-13T03:57:51.7Z,2,REGULAR,steal,,[],201939,,,1610612744,35,34,2021-11-13T03:57:53Z,2170000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M54.00S,2021-11-13T03:57:59.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201939,11.645860709592641,45.09803921568628,1610612744,35,34,2021-11-13T03:58:02Z,2180000,25.0,57.0,1,left,MISS S. Curry 6' driving floating Shot,[201939],1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,6.2,Missed,,,,,,,,,,,,,,,,,,,
225,PT06M52.00S,2021-11-13T03:58:01.1Z,2,REGULAR,rebound,offensive,[],1627780,,,1610612744,35,34,2021-11-13T03:58:28Z,2190000,,,0,,G. Payton II REBOUND (Off:1 Def:0),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,224.0,1.0,0.0,1.0,,,,,,,,,,,
226,PT06M47.00S,2021-11-13T03:58:06.1Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203952,28.991458607095925,76.7156862745098,1610612744,35,34,2021-11-13T03:58:08Z,2200000,-134.0,220.0,1,left,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,,
227,PT06M45.00S,2021-11-13T03:58:08.1Z,2,REGULAR,rebound,defensive,[],1628366,,,1610612741,35,34,2021-11-13T03:58:23Z,2210000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,226.0,1.0,1.0,0.0,,,,,,,,,,,
228,PT06M40.00S,2021-11-13T03:58:15.1Z,2,REGULAR,turnover,out-of-bounds,[],1628366,,,1610612741,35,34,2021-11-13T03:58:16Z,2220000,,,0,,L. Ball bad pass out-of-bounds TURNOVER (1 TO),[1628366],1610612741.0,CHI,bad pass,,,Ball,L. Ball,,,,,,,,,,,,,,,202037.0,1.0,,,,,,,,,
229,PT06M28.00S,2021-11-13T03:58:35.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],201939,33.065045992115635,47.794117647058826,1610612744,35,34,2021-11-13T03:58:38Z,2230000,11.0,258.0,1,left,MISS S. Curry 25' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
230,PT06M25.00S,2021-11-13T03:58:39.4Z,2,REGULAR,rebound,defensive,[],1629750,,,1610612741,35,34,2021-11-13T03:58:39Z,2240000,,,0,,J. Green REBOUND (Off:0 Def:3),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,229.0,3.0,3.0,0.0,,,,,,,,,,,
231,PT06M18.00S,2021-11-13T03:58:46.2Z,2,REGULAR,2pt,Jump Shot,[],1628366,77.7431011826544,38.970588235294116,1610612741,35,34,2021-11-13T03:58:49Z,2250000,-55.0,157.0,1,right,MISS L. Ball 16' pullup Shot,[1628366],1610612741.0,CHI,pullup,,,Ball,L. Ball,,,,,16.61,Missed,,,,,,,,,,,,,,,,,,,
232,PT06M15.00S,2021-11-13T03:58:49.2Z,2,REGULAR,rebound,defensive,[],203952,,,1610612744,35,34,2021-11-13T03:58:51Z,2260000,,,0,,A. Wiggins REBOUND (Off:1 Def:3),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,231.0,4.0,3.0,1.0,,,,,,,,,,,
233,PT06M07.00S,2021-11-13T03:58:57.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203952,11.12023653088042,47.05882352941176,1610612744,35,34,2021-11-13T03:59:01Z,2270000,15.0,52.0,1,left,MISS A. Wiggins driving Hook,[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,5.4,Missed,,,,,,,,,,,,,,,,,,,
234,PT06M05.00S,2021-11-13T03:58:59.2Z,2,REGULAR,rebound,offensive,[],203952,,,1610612744,35,34,2021-11-13T04:05:44Z,2280000,,,0,,A. Wiggins REBOUND (Off:2 Def:3),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,233.0,5.0,3.0,2.0,,,,,,,,,,,
235,PT06M01.00S,2021-11-13T03:59:03.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203952,5.590000152587891,50.0,1610612744,35,34,2021-11-13T03:59:03Z,2290000,0.0,0.0,1,left,MISS A. Wiggins tip Layup,[203952],1610612744.0,GSW,tip,,,Wiggins,A. Wiggins,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
236,PT05M59.00S,2021-11-13T03:59:05.0Z,2,REGULAR,rebound,offensive,[],1626172,,,1610612744,35,34,2021-11-13T03:59:05Z,2300000,,,0,,K. Looney REBOUND (Off:3 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,235.0,6.0,3.0,3.0,,,,,,,,,,,
237,PT05M59.00S,2021-11-13T03:59:05.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626172,5.590000152587891,50.0,1610612744,35,34,2021-11-13T03:59:05Z,2310000,0.0,0.0,1,left,MISS K. Looney putback Layup,[1626172],1610612744.0,GSW,putback,,,Looney,K. Looney,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
238,PT05M56.00S,2021-11-13T03:59:07.6Z,2,REGULAR,rebound,offensive,[],203952,,,1610612744,35,34,2021-11-13T03:59:07Z,2320000,,,0,,A. Wiggins REBOUND (Off:3 Def:3),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,237.0,6.0,3.0,3.0,,,,,,,,,,,
239,PT05M56.00S,2021-11-13T03:59:07.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203952,5.590000152587891,50.0,1610612744,37,34,2021-11-13T03:59:07Z,2330000,0.0,0.0,1,left,A. Wiggins putback Layup (8 PTS),[203952],1610612744.0,GSW,putback,,,Wiggins,A. Wiggins,,,,,0.0,Made,8.0,,,,,,,,,,,,,,,,,,
240,PT05M47.00S,2021-11-13T03:59:16.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628396,84.1819973718791,46.32352941176471,1610612741,37,34,2021-11-13T03:59:20Z,2340000,-18.0,96.0,1,right,MISS T. Bradley 9' floating Shot,[1628396],1610612741.0,CHI,floating,,,Bradley,T. Bradley,,,,,9.79,Missed,,,,,,,,,,,,,,,,,,,
241,PT05M45.00S,2021-11-13T03:59:18.6Z,2,REGULAR,rebound,defensive,[],1626172,,,1610612744,37,34,2021-11-13T04:05:36Z,2350000,,,0,,K. Looney REBOUND (Off:3 Def:4),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,240.0,7.0,4.0,3.0,,,,,,,,,,,
242,PT05M32.00S,2021-11-13T03:59:33.1Z,2,REGULAR,foul,personal,['2freethrow'],1629750,,,1610612744,37,34,2021-11-13T03:59:47Z,2360000,,,0,,J. Green shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1629750, 203952]",1610612741.0,CHI,shooting,,,Green,J. Green,,,,,,,,,,,,,,,201639.0,,,,,,1.0,0.0,Wiggins,203952.0,
244,PT05M32.00S,2021-11-13T04:00:05.5Z,2,REGULAR,freethrow,1 of 2,[],203952,,,1610612744,38,34,2021-11-13T04:00:05Z,2380000,,,0,,A. Wiggins Free Throw 1 of 2 (9 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
245,PT05M32.00S,2021-11-13T04:00:06.0Z,2,REGULAR,substitution,out,[],2738,,,1610612744,38,34,2021-11-13T04:00:30Z,2390000,,,0,,SUB out: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT05M32.00S,2021-11-13T04:00:06.0Z,2,REGULAR,substitution,out,[],201939,,,1610612744,38,34,2021-11-13T04:00:30Z,2400000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT05M32.00S,2021-11-13T04:00:06.0Z,2,REGULAR,substitution,out,[],1628366,,,1610612744,38,34,2021-11-13T04:00:30Z,2410000,,,0,,SUB out: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT05M32.00S,2021-11-13T04:00:06.0Z,2,REGULAR,substitution,out,[],1628396,,,1610612744,38,34,2021-11-13T04:00:30Z,2420000,,,0,,SUB out: T. Bradley,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT05M32.00S,2021-11-13T04:00:06.0Z,2,REGULAR,substitution,in,[],1629673,,,1610612744,38,34,2021-11-13T04:00:30Z,2430000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M32.00S,2021-11-13T04:00:06.0Z,2,REGULAR,substitution,in,[],203110,,,1610612744,38,34,2021-11-13T04:00:30Z,2440000,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M32.00S,2021-11-13T04:00:06.0Z,2,REGULAR,substitution,in,[],1627936,,,1610612744,38,34,2021-11-13T04:00:30Z,2450000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M32.00S,2021-11-13T04:00:06.0Z,2,REGULAR,substitution,in,[],1628993,,,1610612744,38,34,2021-11-13T04:00:30Z,2460000,,,0,,SUB in: A. Johnson,[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M32.00S,2021-11-13T04:00:31.7Z,2,REGULAR,freethrow,2 of 2,[],203952,,,1610612744,39,34,2021-11-13T04:00:31Z,2470000,,,0,,A. Wiggins Free Throw 2 of 2 (10 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
254,PT05M18.00S,2021-11-13T04:00:47.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628993,91.27792378449409,57.35294117647059,1610612741,39,36,2021-11-13T04:01:03Z,2480000,37.0,29.0,1,right,A. Johnson cutting Layup (3 PTS) (A. Caruso 3 AST),"[1628993, 1627936]",1610612741.0,CHI,cutting,,,Johnson,A. Johnson,,,,,4.72,Made,3.0,A. Caruso,1627936.0,3.0,,,,,,,,,,,,,,,
256,PT04M52.00S,2021-11-13T04:01:13.5Z,2,REGULAR,2pt,Jump Shot,[],203952,20.18725361366623,23.774509803921568,1610612744,41,36,2021-11-13T04:01:17Z,2500000,131.0,137.0,1,left,A. Wiggins 18' turnaround fadeaway Jump Shot (12 PTS),[203952],1610612744.0,GSW,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,18.98,Made,12.0,,,,,,,,,,,,,,,,,,
257,PT04M39.00S,2021-11-13T04:01:29.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,89.17542706964521,41.42156862745098,1610612741,41,36,2021-11-13T04:01:37Z,2510000,-43.0,49.0,1,right,MISS A. Dosunmu 6' driving Layup - blocked,"[1630245, 203952]",1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,6.54,Missed,,,,,,,,,,,Wiggins,203952.0,,,,,,,
258,PT04M39.00S,2021-11-13T04:01:29.4Z,2,REGULAR,block,,[],203952,,,1610612741,41,36,2021-11-13T04:01:39Z,2520000,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M39.00S,2021-11-13T04:01:40.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612741,41,36,2021-11-13T04:01:40Z,2530000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,257.0,,,,,,,,,,,,,,
265,PT04M39.00S,2021-11-13T04:01:47.7Z,2,REGULAR,substitution,out,[],1627780,,,1610612741,41,36,2021-11-13T04:02:36Z,2531250,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT04M39.00S,2021-11-13T04:01:47.7Z,2,REGULAR,substitution,in,[],1630541,,,1610612741,41,36,2021-11-13T04:02:36Z,2531875,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT04M39.00S,2021-11-13T04:02:06.0Z,2,REGULAR,jumpball,recovered,[],1627936,,,1610612741,41,36,2021-11-13T04:05:07Z,2532500,,,0,,Jump Ball A. Dosunmu vs. A. Wiggins: Tip to A. Caruso,"[1627936, 1630245, 203952]",1610612741.0,CHI,heldball,A. Caruso,1627936.0,Caruso,A. Caruso,Dosunmu,1630245.0,Wiggins,203952.0,,,,,,,,,,,,,,,,,,,,,
263,PT04M28.00S,2021-11-13T04:02:07.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627936,85.10183968462549,45.588235294117645,1610612741,41,38,2021-11-13T04:02:11Z,2570000,-22.0,88.0,1,right,A. Caruso 9' fadeaway Jump Shot (4 PTS),[1627936],1610612741.0,CHI,fadeaway,,,Caruso,A. Caruso,,,,,9.02,Made,4.0,,,,,,,,,,,,,,,,,,
264,PT04M16.00S,2021-11-13T04:02:21.4Z,2,REGULAR,turnover,out-of-bounds,[],1629673,,,1610612744,41,38,2021-11-13T04:02:25Z,2580000,,,0,,J. Poole lost ball out-of-bounds TURNOVER (4 TO),[1629673],1610612744.0,GSW,lost ball,,,Poole,J. Poole,,,,,,,,,,,,,,,202037.0,4.0,,,,,,,,,
320,PT04M16.00S,2021-11-13T04:02:35.4Z,2,REGULAR,substitution,out,[],1629750,,,1610612741,41,38,2021-11-13T04:15:47Z,2615000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
