actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
173,PT09M31.00S,2021-10-31T01:08:42.2Z,2,REGULAR,rebound,defensive,[],1629660,,,1610612760,35,20,2021-10-31T01:08:43Z,1730000,,,0,,T. Jerome REBOUND (Off:0 Def:1),[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
174,PT09M30.00S,2021-10-31T01:08:43.7Z,2,REGULAR,foul,personal,[],202357,,,1610612760,35,20,2021-10-31T01:09:12Z,1740000,,,0,,N. Bjelica take personal FOUL (1 PF),"[202357, 1629660]",1610612744.0,GSW,take,,,Bjelica,N. Bjelica,,,,,,,,,,,,1627524.0,,,,,,,,,1.0,0.0,Jerome,1629660.0,
176,PT09M30.00S,2021-10-31T01:08:53.7Z,2,REGULAR,substitution,out,[],1629652,,,1610612760,35,20,2021-10-31T01:09:01Z,1760000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT09M30.00S,2021-10-31T01:08:53.7Z,2,REGULAR,substitution,in,[],1630581,,,1610612760,35,20,2021-10-31T01:09:01Z,1770000,,,0,,SUB in: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT09M20.00S,2021-10-31T01:09:15.6Z,2,REGULAR,turnover,lost ball,[],1630197,,,1610612760,35,20,2021-10-31T01:09:22Z,1780000,,,0,,A. Pokusevski lost ball TURNOVER (1 TO),"[1630197, 2738]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,1.0,Iguodala,2738.0,,,,,,,,,,
179,PT09M20.00S,2021-10-31T01:09:15.6Z,2,REGULAR,steal,,[],2738,,,1610612744,35,20,2021-10-31T01:09:18Z,1790000,,,0,,A. Iguodala STEAL (1 STL),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT09M14.00S,2021-10-31T01:09:22.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630541,68.01905387647832,56.127450980392155,1610612744,35,20,2021-10-31T01:09:29Z,1800000,31.0,248.0,1,right,MISS M. Moody 25' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,25.0,Missed,,,,,,,,,,,,,,,,,,,
181,PT09M10.00S,2021-10-31T01:09:26.7Z,2,REGULAR,rebound,defensive,[],1630581,,,1610612760,35,20,2021-10-31T01:09:29Z,1810000,,,0,,J. Giddey REBOUND (Off:0 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,180.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
182,PT09M01.00S,2021-10-31T01:09:34.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,6.652431011826544,47.794117647058826,1610612760,35,20,2021-10-31T01:09:40Z,1820000,11.0,10.0,1,left,MISS K. Williams Layup - blocked,"[1629026, 202357]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,1.49,Missed,,,,,,,,,,,,,Bjelica,202357.0,,,,,
183,PT09M01.00S,2021-10-31T01:09:34.8Z,2,REGULAR,block,,[],202357,,,1610612760,35,20,2021-10-31T01:09:37Z,1830000,,,0,,N. Bjelica BLOCK (1 BLK),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT08M58.00S,2021-10-31T01:09:37.8Z,2,REGULAR,rebound,defensive,[],2738,,,1610612744,35,20,2021-10-31T01:09:40Z,1840000,,,0,,A. Iguodala REBOUND (Off:0 Def:4),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,182.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
185,PT08M45.00S,2021-10-31T01:09:50.9Z,2,REGULAR,3pt,Jump Shot,[],202357,68.01905387647832,68.38235294117648,1610612744,35,20,2021-10-31T01:09:57Z,1850000,92.0,248.0,1,right,MISS N. Bjelica 26' 3PT,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
186,PT08M41.00S,2021-10-31T01:09:54.9Z,2,REGULAR,rebound,defensive,[],1630197,,,1610612760,35,20,2021-10-31T01:09:57Z,1860000,,,0,,A. Pokusevski REBOUND (Off:0 Def:4),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,185.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
187,PT08M35.00S,2021-10-31T01:10:04.3Z,2,REGULAR,foul,offensive,[],203488,,,1610612760,35,20,2021-10-31T01:10:17Z,1870000,,,0,,M. Muscala off-the-ball offensive FOUL (1 PF),"[203488, 1629673]",1610612760.0,OKC,off-the-ball,,,Muscala,M. Muscala,,,,,,,,,,,,1662.0,,,,,,,,,1.0,0.0,Poole,1629673.0,
189,PT08M35.00S,2021-10-31T01:10:04.3Z,2,REGULAR,turnover,offensive foul,[],203488,,,1610612760,35,20,2021-10-31T01:10:04Z,1890000,,,0,,M. Muscala offensive foul TURNOVER (2 TO),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,1662.0,2.0,,,,,,,,,,,,
190,PT08M35.00S,2021-10-31T01:10:12.7Z,2,REGULAR,substitution,out,[],1630197,,,1610612744,35,20,2021-10-31T01:10:15Z,1900000,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M35.00S,2021-10-31T01:10:12.7Z,2,REGULAR,substitution,in,[],1629647,,,1610612744,35,20,2021-10-31T01:10:15Z,1910000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT08M16.00S,2021-10-31T01:10:42.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202357,91.27792378449409,58.333333333333336,1610612744,35,20,2021-10-31T01:10:48Z,1920000,42.0,29.0,1,right,MISS N. Bjelica Jump Shot - blocked,"[202357, 203488]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,5.11,Missed,,,,,,,,,,,,,Muscala,203488.0,,,,,
193,PT08M16.00S,2021-10-31T01:10:42.0Z,2,REGULAR,block,,[],203488,,,1610612744,35,20,2021-10-31T01:10:45Z,1930000,,,0,,M. Muscala BLOCK (1 BLK),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT08M11.00S,2021-10-31T01:10:47.0Z,2,REGULAR,rebound,offensive,[],202357,,,1610612744,35,20,2021-10-31T01:10:48Z,1940000,,,0,,N. Bjelica REBOUND (Off:2 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,192.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
195,PT08M11.00S,2021-10-31T01:10:46.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",202357,90.22667542706965,53.92156862745098,1610612744,35,20,2021-10-31T01:10:51Z,1950000,20.0,39.0,1,right,MISS N. Bjelica Jump Shot - blocked,"[202357, 203488]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,4.4,Missed,,,,,,,,,,,,,Muscala,203488.0,,,,,
224,PT08M11.00S,2021-10-31T01:10:46.7Z,2,REGULAR,block,,[],203488,,,1610612744,35,20,2021-10-31T01:14:34Z,1955000,,,0,,M. Muscala BLOCK (2 BLK),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT08M09.00S,2021-10-31T01:10:48.7Z,2,REGULAR,rebound,defensive,[],203488,,,1610612760,35,20,2021-10-31T01:15:00Z,1960000,,,0,,M. Muscala REBOUND (Off:0 Def:2),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,195.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
197,PT08M01.00S,2021-10-31T01:10:57.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,7.440867279894875,41.66666666666667,1610612760,35,22,2021-10-31T01:11:14Z,1970000,42.0,17.0,1,left,J. Giddey Layup (4 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,4.52,Made,,,,,4.0,,,,,,,,,,,,,,
198,PT08M01.00S,2021-10-31T01:11:03.1Z,2,REGULAR,foul,personal,['1freethrow'],1630541,,,1610612760,35,22,2021-10-31T01:11:16Z,1980000,,,0,,M. Moody shooting personal FOUL (1 PF) (Giddey 1 FT),"[1630541, 1630581]",1610612744.0,GSW,shooting,,,Moody,M. Moody,,,,,,,,,,,,202027.0,,,,,,,,,1.0,0.0,Giddey,1630581.0,
200,PT08M01.00S,2021-10-31T01:11:17.7Z,2,REGULAR,substitution,out,[],202357,,,1610612760,35,22,2021-10-31T01:11:40Z,2000000,,,0,,SUB out: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M01.00S,2021-10-31T01:11:17.7Z,2,REGULAR,substitution,out,[],203490,,,1610612760,35,22,2021-10-31T01:11:40Z,2010000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M01.00S,2021-10-31T01:11:17.7Z,2,REGULAR,substitution,out,[],203488,,,1610612760,35,22,2021-10-31T01:11:40Z,2020000,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M01.00S,2021-10-31T01:11:17.7Z,2,REGULAR,substitution,in,[],1626172,,,1610612760,35,22,2021-10-31T01:11:40Z,2030000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M01.00S,2021-10-31T01:11:17.7Z,2,REGULAR,substitution,in,[],203952,,,1610612760,35,22,2021-10-31T01:11:40Z,2040000,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M01.00S,2021-10-31T01:11:17.7Z,2,REGULAR,substitution,in,[],202324,,,1610612760,35,22,2021-10-31T01:11:40Z,2050000,,,0,,SUB in: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M01.00S,2021-10-31T01:11:39.7Z,2,REGULAR,freethrow,1 of 1,[],1630581,,,1610612760,35,22,2021-10-31T01:11:42Z,2060000,,,0,,MISS J. Giddey Free Throw 1 of 1,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,Missed,,,,,,,,,,,,,,,,,,,
207,PT07M58.00S,2021-10-31T01:11:42.7Z,2,REGULAR,rebound,defensive,[],1630541,,,1610612744,35,22,2021-10-31T01:11:42Z,2070000,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,206.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
208,PT07M43.00S,2021-10-31T01:11:56.0Z,2,REGULAR,3pt,Jump Shot,[],2738,75.77201051248358,85.29411764705883,1610612744,35,22,2021-10-31T01:12:36Z,2080000,176.0,175.0,1,right,MISS A. Iguodala 24' pullup 3PT,[2738],1610612744.0,GSW,pullup,,,Iguodala,A. Iguodala,,,,,24.87,Missed,,,,,,,,,,,,,,,,,,,
209,PT07M40.00S,2021-10-31T01:11:59.0Z,2,REGULAR,rebound,defensive,[],1629026,,,1610612760,35,22,2021-10-31T01:12:07Z,2090000,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,208.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
210,PT07M34.00S,2021-10-31T01:12:05.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,10.068988173455978,58.57843137254902,1610612760,35,22,2021-10-31T01:12:09Z,2100000,-43.0,42.0,1,left,MISS J. Giddey 6' Layup,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,6.01,Missed,,,,,,,,,,,,,,,,,,,
211,PT07M34.00S,2021-10-31T01:12:05.2Z,2,REGULAR,rebound,defensive,[],2738,,,1610612744,35,22,2021-10-31T01:12:09Z,2110000,,,0,,A. Iguodala REBOUND (Off:0 Def:5),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,210.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
212,PT07M31.00S,2021-10-31T01:12:11.8Z,2,REGULAR,foul,personal,[],1629660,,,1610612744,35,22,2021-10-31T01:12:31Z,2120000,,,0,,T. Jerome personal FOUL (1 PF),"[1629660, 2738]",1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,1662.0,,,,,,,,,1.0,0.0,Iguodala,2738.0,
214,PT07M24.00S,2021-10-31T01:12:44.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,83.52496714848883,47.05882352941176,1610612744,35,22,2021-10-31T01:15:21Z,2140000,-15.0,102.0,1,right,MISS J. Poole 10' pullup Shot - blocked,"[1629673, 1630581]",1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,10.34,Missed,,,,,,,,,,,,,Giddey,1630581.0,,,,,
215,PT07M24.00S,2021-10-31T01:12:44.8Z,2,REGULAR,block,,[],1630581,,,1610612744,35,22,2021-10-31T01:12:48Z,2150000,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M18.00S,2021-10-31T01:12:50.8Z,2,REGULAR,rebound,defensive,[],1629026,,,1610612760,35,22,2021-10-31T01:12:53Z,2160000,,,0,,K. Williams REBOUND (Off:0 Def:2),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,214.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
217,PT07M17.00S,2021-10-31T01:12:50.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629660,14.931011826544022,4.166666666666666,1610612760,35,25,2021-10-31T01:13:00Z,2170000,229.0,88.0,1,left,T. Jerome 24' 3PT  (5 PTS) (J. Giddey 3 AST),"[1629660, 1630581]",1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,24.55,Made,,,,,5.0,,,,,J. Giddey,1630581.0,3.0,,,,,,,
219,PT06M58.00S,2021-10-31T01:13:09.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,80.50262812089356,35.78431372549019,1610612744,37,25,2021-10-31T01:13:21Z,2190000,-71.0,131.0,1,right,J. Poole 14' driving floating Jump Shot (4 PTS),[1629673],1610612744.0,GSW,driving floating,,,Poole,J. Poole,,,,,14.89,Made,,,,,4.0,,,,,,,,,,,,,,
220,PT06M45.00S,2021-10-31T01:13:23.5Z,2,REGULAR,3pt,Jump Shot,[],1629026,4.155716162943495,95.34313725490196,1610612760,37,25,2021-10-31T01:13:32Z,2200000,-227.0,-13.0,1,left,MISS K. Williams 3PT,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,22.71,Missed,,,,,,,,,,,,,,,,,,,
221,PT06M43.00S,2021-10-31T01:13:25.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612760,37,25,2021-10-31T01:13:32Z,2210000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,,
222,PT06M43.00S,2021-10-31T01:13:30.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,37,25,2021-10-31T01:13:30Z,2220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M43.00S,2021-10-31T01:13:40.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,37,25,2021-10-31T01:13:40Z,2230000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M43.00S,2021-10-31T01:16:35.2Z,2,REGULAR,turnover,5-second-back-to-the-basket,[],1630581,,,1610612760,37,25,2021-10-31T01:16:58Z,2240000,,,0,,J. Giddey 5-second-back-to-the-basket TURNOVER (2 TO),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,1662.0,2.0,,,,,,,,,,,,
226,PT06M28.00S,2021-10-31T01:16:56.7Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203952,78.53153745072274,73.52941176470588,1610612744,37,25,2021-10-31T01:17:03Z,2250000,118.0,149.0,1,right,MISS A. Wiggins 19' Jump Shot,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,19.01,Missed,,,,,,,,,,,,,,,,,,,
227,PT06M25.00S,2021-10-31T01:16:59.7Z,2,REGULAR,rebound,defensive,[],202324,,,1610612760,37,25,2021-10-31T01:17:03Z,2260000,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,226.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
228,PT06M20.00S,2021-10-31T01:17:04.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,7.046649145860711,47.794117647058826,1610612760,37,27,2021-10-31T01:17:11Z,2270000,11.0,14.0,1,left,J. Giddey driving Layup (6 PTS),[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,1.76,Made,,,,,6.0,,,,,,,,,,,,,,
229,PT05M55.00S,2021-10-31T01:17:28.4Z,2,REGULAR,3pt,Jump Shot,[],1629673,74.19513797634691,14.460784313725492,1610612744,40,27,2021-10-31T01:17:40Z,2280000,-178.0,190.0,1,right,J. Poole 26' 3PT step back (7 PTS),[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,26.02,Made,,,,,7.0,,,,,,,,,,,,,,
230,PT05M41.00S,2021-10-31T01:17:43.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629660,6.1268068331143235,58.57843137254902,1610612760,40,27,2021-10-31T01:17:48Z,2290000,-43.0,5.0,1,left,MISS T. Jerome floating Shot,[1629660],1610612760.0,OKC,floating,,,Jerome,T. Jerome,,,,,4.32,Missed,,,,,,,,,,,,,,,,,,,
231,PT05M39.00S,2021-10-31T01:17:45.1Z,2,REGULAR,rebound,defensive,[],2738,,,1610612744,40,27,2021-10-31T01:21:20Z,2300000,,,0,,A. Iguodala REBOUND (Off:0 Def:6),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,230.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
232,PT05M39.00S,2021-10-31T01:17:48.4Z,2,REGULAR,foul,personal,[],1630581,,,1610612744,40,27,2021-10-31T01:21:33Z,2310000,,,0,,J. Giddey personal FOUL (1 PF),"[1630581, 2738]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,202027.0,,,,,,,,,1.0,0.0,Iguodala,2738.0,
234,PT05M39.00S,2021-10-31T01:17:56.5Z,2,REGULAR,substitution,out,[],1629673,,,1610612744,40,27,2021-10-31T01:18:17Z,2330000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT05M39.00S,2021-10-31T01:17:56.5Z,2,REGULAR,substitution,out,[],2738,,,1610612744,40,27,2021-10-31T01:18:17Z,2340000,,,0,,SUB out: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT05M39.00S,2021-10-31T01:17:56.5Z,2,REGULAR,substitution,out,[],1630581,,,1610612744,40,27,2021-10-31T01:18:17Z,2350000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT05M39.00S,2021-10-31T01:17:56.5Z,2,REGULAR,substitution,out,[],1629660,,,1610612744,40,27,2021-10-31T01:18:17Z,2360000,,,0,,SUB out: T. Jerome,[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT05M39.00S,2021-10-31T01:17:56.5Z,2,REGULAR,substitution,in,[],201939,,,1610612744,40,27,2021-10-31T01:18:17Z,2370000,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M39.00S,2021-10-31T01:17:56.5Z,2,REGULAR,substitution,in,[],203110,,,1610612744,40,27,2021-10-31T01:18:17Z,2380000,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M39.00S,2021-10-31T01:17:56.5Z,2,REGULAR,substitution,in,[],1629652,,,1610612744,40,27,2021-10-31T01:18:17Z,2390000,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT05M39.00S,2021-10-31T01:17:56.5Z,2,REGULAR,substitution,in,[],1628983,,,1610612744,40,27,2021-10-31T01:18:17Z,2400000,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT05M29.00S,2021-10-31T01:18:29.6Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,40,27,2021-10-31T01:18:29Z,2410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT05M27.00S,2021-10-31T01:18:50.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630541,92.72339027595268,47.549019607843135,1610612744,42,27,2021-10-31T01:18:55Z,2420000,-12.0,16.0,1,right,M. Moody Layup (5 PTS) (D. Green 2 AST),"[1630541, 203110]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,2.01,Made,,,,,5.0,,,,,D. Green,203110.0,2.0,,,,,,,
245,PT05M12.00S,2021-10-31T01:19:08.0Z,2,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612760,42,27,2021-10-31T01:19:16Z,2440000,,,0,,K. Looney shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1626172, 1628983]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,202027.0,,,,,,,,,2.0,0.0,Gilgeous-Alexander,1628983.0,
247,PT05M12.00S,2021-10-31T01:19:29.6Z,2,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,42,27,2021-10-31T01:19:29Z,2460000,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Missed,,,,,,,,,,,,,,,,,,,
248,PT05M12.00S,2021-10-31T01:19:29.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,42,27,2021-10-31T01:19:29Z,2470000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,247.0,,,,,,,,,,,,,,,,,,
249,PT05M12.00S,2021-10-31T01:19:59.7Z,2,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,42,28,2021-10-31T01:19:59Z,2480000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
250,PT05M04.00S,2021-10-31T01:20:13.0Z,2,REGULAR,foul,personal,['2freethrow'],202324,,,1610612744,42,28,2021-10-31T01:20:52Z,2490000,,,0,,D. Favors shooting personal FOUL (1 PF) (Green 2 FT),"[202324, 203110]",1610612760.0,OKC,shooting,,,Favors,D. Favors,,,,,,,,,,,,202027.0,,,,,,,,,1.0,0.0,Green,203110.0,
252,PT05M04.00S,2021-10-31T01:21:02.5Z,2,REGULAR,freethrow,1 of 2,[],203110,,,1610612744,43,28,2021-10-31T01:21:20Z,2510000,,,0,,D. Green Free Throw 1 of 2 (12 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,Made,,,,,12.0,,,,,,,,,,,,,,
253,PT05M04.00S,2021-10-31T01:21:02.5Z,2,REGULAR,freethrow,2 of 2,[],203110,,,1610612744,43,28,2021-10-31T01:21:20Z,2520000,,,0,,MISS D. Green Free Throw 2 of 2,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,,
254,PT05M02.00S,2021-10-31T01:21:04.5Z,2,REGULAR,rebound,defensive,[],1629647,,,1610612760,43,28,2021-10-31T01:21:20Z,2530000,,,0,,D. Bazley REBOUND (Off:0 Def:3),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,253.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
255,PT04M52.00S,2021-10-31T01:21:28.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,7.30946123521682,46.81372549019608,1610612760,43,30,2021-10-31T01:21:37Z,2540000,16.0,16.0,1,left,S. Gilgeous-Alexander driving Layup (5 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.27,Made,,,,,5.0,,,,,,,,,,,,,,
256,PT04M48.00S,2021-10-31T01:21:34.7Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,43,30,2021-10-31T01:21:34Z,2550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M30.00S,2021-10-31T01:22:00.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,86.67871222076215,58.82352941176471,1610612744,43,30,2021-10-31T01:23:02Z,2560000,44.0,73.0,1,right,MISS D. Green 8' pullup Shot,[203110],1610612744.0,GSW,pullup,,,Green,D. Green,,,,,8.5,Missed,,,,,,,,,,,,,,,,,,,
258,PT04M26.00S,2021-10-31T01:22:04.7Z,2,REGULAR,rebound,defensive,[],1628983,,,1610612760,43,30,2021-10-31T01:22:08Z,2570000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,257.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
