actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
169,PT10M34.00S,2022-11-02T00:08:55.0Z,2,REGULAR,block,,[],1630172,,,1610612751,30,28,2022-11-02T00:08:57Z,1680000,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
170,PT10M34.00S,2022-11-02T00:08:55.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612751,30,28,2022-11-02T00:08:58Z,1690000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,168.0,,,,,,,,,,,,,,,,,
172,PT10M29.00S,2022-11-02T00:09:19.9Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],201988,4.5499342969776615,78.43137254901961,1610612751,30,28,2022-11-02T00:09:24Z,1710000,-142.0,-10.0,1,left,MISS P. Mills 14' pullup Shot,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,Mid-Range,8-16 Left,14.25,Missed,,,,,,,,,,,,,,,,,,
173,PT10M26.00S,2022-11-02T00:09:22.9Z,2,REGULAR,rebound,defensive,[],1627936,,,1610612741,30,28,2022-11-02T00:09:24Z,1720000,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Left,,,172.0,1.0,1.0,0.0,,,,,,,,,,,,,,
174,PT10M24.00S,2022-11-02T00:09:27.0Z,2,REGULAR,violation,kicked ball,[],1630561,,,1610612741,30,28,2022-11-02T00:09:33Z,1730000,,,0,,D. Duke Jr. kicked ball VIOLATION,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,202058.0,,,,,,,,,,,,,
175,PT10M17.00S,2022-11-02T00:09:52.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,93.24901445466492,45.588235294117645,1610612741,30,30,2022-11-02T00:10:18Z,1740000,-22.0,11.0,1,right,P. Williams driving Layup (6 PTS) (G. Dragic 1 AST),"[1630172, 201609]",1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.47,Made,,,,,,,6.0,G. Dragic,201609.0,1.0,,,,,,,,
177,PT09M52.00S,2022-11-02T00:10:19.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201988,7.046649145860711,53.92156862745098,1610612751,32,30,2022-11-02T00:10:24Z,1760000,-20.0,14.0,1,left,P. Mills driving Layup (5 PTS) (K. Irving 2 AST),"[201988, 202681]",1610612751.0,BKN,driving,,,Mills,P. Mills,,,,,Restricted Area,0-8 Center,2.39,Made,,,,,,,5.0,K. Irving,202681.0,2.0,,,,,,,,
178,PT09M52.00S,2022-11-02T00:10:24.0Z,2,REGULAR,foul,personal,['1freethrow'],203897,,,1610612751,32,30,2022-11-02T00:10:31Z,1770000,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Mills 1 FT),"[203897, 201988]",1610612741.0,CHI,shooting,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,202058.0,,,,,,1.0,0.0,Mills,201988.0,,,,
181,PT09M52.00S,2022-11-02T00:10:45.4Z,2,REGULAR,freethrow,1 of 1,[],201988,,,1610612751,33,30,2022-11-02T00:10:45Z,1790000,,,0,,P. Mills Free Throw 1 of 1 (6 PTS),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
182,PT09M41.00S,2022-11-02T00:10:58.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203897,93.77463863337714,54.65686274509803,1610612741,33,32,2022-11-02T00:11:02Z,1800000,23.0,6.0,1,right,Z. LaVine driving Layup (6 PTS),[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,2.41,Made,,,,,,,6.0,,,,,,,,,,,
184,PT09M26.00S,2022-11-02T00:11:18.3Z,2,REGULAR,substitution,out,[],1630561,,,1610612751,33,32,2022-11-02T00:11:24Z,1820000,,,0,,SUB out: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT09M26.00S,2022-11-02T00:11:18.3Z,2,REGULAR,substitution,in,[],1629651,,,1610612751,33,32,2022-11-02T00:11:24Z,1830000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT09M23.00S,2022-11-02T00:11:39.8Z,2,REGULAR,3pt,Jump Shot,[],201988,28.728646517739815,81.61764705882352,1610612751,36,32,2022-11-02T00:11:44Z,1840000,-158.0,218.0,1,left,P. Mills 26' 3PT  (9 PTS) (K. Irving 3 AST),"[201988, 202681]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,Above the Break 3,24+ Left Center,26.89,Made,,,,,,,9.0,K. Irving,202681.0,3.0,,,,,,,,
188,PT09M10.00S,2022-11-02T00:11:52.8Z,2,REGULAR,3pt,Jump Shot,[],1630172,65.25952693823915,53.67647058823529,1610612741,36,32,2022-11-02T00:11:56Z,1860000,18.0,274.0,1,right,MISS P. Williams 27' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,27.47,Missed,,,,,,,,,,,,,,,,,,
189,PT09M07.00S,2022-11-02T00:11:55.8Z,2,REGULAR,rebound,defensive,[],1626220,,,1610612751,36,32,2022-11-02T00:11:56Z,1870000,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,188.0,2.0,2.0,0.0,,,,,,,,,,,,,,
190,PT09M01.00S,2022-11-02T00:12:00.7Z,2,REGULAR,3pt,Jump Shot,[],201988,29.517082785808146,80.3921568627451,1610612751,36,32,2022-11-02T00:12:04Z,1880000,-152.0,225.0,1,left,MISS P. Mills 27' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,Above the Break 3,24+ Left Center,27.15,Missed,,,,,,,,,,,,,,,,,,
191,PT08M58.00S,2022-11-02T00:12:03.7Z,2,REGULAR,rebound,defensive,[],201609,,,1610612741,36,32,2022-11-02T00:12:04Z,1890000,,,0,,G. Dragic REBOUND (Off:0 Def:1),[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,Above the Break 3,24+ Left Center,,,190.0,1.0,1.0,0.0,,,,,,,,,,,,,,
192,PT08M54.00S,2022-11-02T00:12:08.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201609,93.38042049934296,50.0,1610612741,36,32,2022-11-02T00:12:13Z,1900000,0.0,10.0,1,right,MISS G. Dragic running Layup,[201609],1610612741.0,CHI,running,,,Dragic,G. Dragic,,,,,Restricted Area,0-8 Center,0.97,Missed,,,,,,,,,,,,,,,,,,
193,PT08M52.00S,2022-11-02T00:12:10.4Z,2,REGULAR,rebound,defensive,[],202681,,,1610612751,36,32,2022-11-02T00:12:13Z,1910000,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,192.0,2.0,2.0,0.0,,,,,,,,,,,,,,
195,PT08M43.00S,2022-11-02T00:12:38.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202681,7.966491458607096,42.40196078431372,1610612751,36,32,2022-11-02T00:13:11Z,1930000,38.0,22.0,1,left,MISS K. Irving cutting Layup - blocked,"[202681, 1630172]",1610612751.0,BKN,cutting,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,4.41,Missed,,,,,,,,,,,,,,,,,Williams,1630172.0
196,PT08M43.00S,2022-11-02T00:12:38.3Z,2,REGULAR,block,,[],1630172,,,1610612751,36,32,2022-11-02T00:12:43Z,1940000,,,0,,P. Williams BLOCK (2 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
197,PT08M41.00S,2022-11-02T00:12:40.3Z,2,REGULAR,rebound,defensive,[],1630172,,,1610612741,36,32,2022-11-02T00:12:42Z,1950000,,,0,,P. Williams REBOUND (Off:0 Def:2),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,195.0,2.0,2.0,0.0,,,,,,,,,,,,,,
198,PT08M36.00S,2022-11-02T00:12:45.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627936,93.24901445466492,54.166666666666664,1610612741,36,32,2022-11-02T00:15:28Z,1960000,21.0,11.0,1,right,MISS A. Caruso running Layup - blocked,"[1627936, 1629139]",1610612741.0,CHI,running,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,2.35,Missed,,,,,,,,,,,,,,,,,Watanabe,1629139.0
199,PT08M36.00S,2022-11-02T00:12:45.6Z,2,REGULAR,block,,[],1629139,,,1610612741,36,32,2022-11-02T00:15:16Z,1970000,,,0,,Y. Watanabe BLOCK (1 BLK),[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
200,PT08M33.00S,2022-11-02T00:12:48.6Z,2,REGULAR,rebound,offensive,[],1627884,,,1610612741,36,32,2022-11-02T00:12:51Z,1980000,,,0,,D. Jones Jr. REBOUND (Off:3 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,198.0,4.0,1.0,3.0,,,,,,,,,,,,,,
201,PT08M31.00S,2022-11-02T00:12:50.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627936,94.30026281208936,96.32352941176471,1610612741,36,32,2022-11-02T00:12:55Z,1990000,232.0,1.0,1,right,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,23.16,Missed,,,,,,,,,,,,,,,,,,
202,PT08M28.00S,2022-11-02T00:12:53.3Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,36,32,2022-11-02T00:12:55Z,2000000,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Right Corner 3,24+ Right,,,201.0,2.0,2.0,0.0,,,,,,,,,,,,,,
203,PT08M17.00S,2022-11-02T00:13:04.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,6.389618922470433,48.77450980392157,1610612751,36,32,2022-11-02T00:13:37Z,2010000,6.0,8.0,1,left,MISS R. O'Neale driving Layup,[1626220],1610612751.0,BKN,driving,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,0.97,Missed,,,,,,,,,,,,,,,,,,
204,PT08M17.00S,2022-11-02T00:13:04.6Z,2,REGULAR,rebound,offensive,[],1626220,,,1610612751,36,32,2022-11-02T00:13:16Z,2020000,,,0,,R. O'Neale REBOUND (Off:1 Def:2),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,203.0,3.0,2.0,1.0,,,,,,,,,,,,,,
205,PT08M17.00S,2022-11-02T00:13:07.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626220,5.590000152587891,50.0,1610612751,36,32,2022-11-02T00:13:07Z,2030000,0.0,0.0,1,left,MISS R. O'Neale tip Layup,[1626220],1610612751.0,BKN,tip,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
206,PT08M17.00S,2022-11-02T00:13:09.2Z,2,REGULAR,rebound,offensive,[],1626220,,,1610612751,36,32,2022-11-02T00:13:09Z,2040000,,,0,,R. O'Neale REBOUND (Off:2 Def:2),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Left,,,205.0,4.0,2.0,2.0,,,,,,,,,,,,,,
207,PT08M17.00S,2022-11-02T00:13:09.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626220,5.590000152587891,50.0,1610612751,38,32,2022-11-02T00:13:09Z,2050000,0.0,0.0,1,left,R. O'Neale tip Layup (10 PTS),[1626220],1610612751.0,BKN,tip,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,10.0,,,,,,,,,,,
208,PT08M17.00S,2022-11-02T00:13:16.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,38,32,2022-11-02T00:13:16Z,2060000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT08M17.00S,2022-11-02T00:14:54.4Z,2,REGULAR,substitution,out,[],1627936,,,1610612741,38,32,2022-11-02T00:16:10Z,2070000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M17.00S,2022-11-02T00:14:54.4Z,2,REGULAR,substitution,in,[],1629750,,,1610612741,38,32,2022-11-02T00:16:10Z,2080000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M59.00S,2022-11-02T00:16:56.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,95.0886990801577,55.88235294117647,1610612741,38,32,2022-11-02T00:17:02Z,2090000,29.0,-6.0,1,right,MISS J. Green driving Layup,[1629750],1610612741.0,CHI,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.01,Missed,,,,,,,,,,,,,,,,,,
212,PT07M57.00S,2022-11-02T00:16:58.8Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,38,32,2022-11-02T00:16:58Z,2100000,,,0,,N. Claxton REBOUND (Off:0 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,211.0,3.0,3.0,0.0,,,,,,,,,,,,,,
213,PT07M39.00S,2022-11-02T00:17:16.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,6.652431011826544,53.18627450980392,1610612751,40,32,2022-11-02T00:17:19Z,2110000,-16.0,10.0,1,left,R. O'Neale driving Layup (12 PTS),[1626220],1610612751.0,BKN,driving,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,,,12.0,,,,,,,,,,,
214,PT07M28.00S,2022-11-02T00:17:27.7Z,2,REGULAR,3pt,Jump Shot,[],203897,66.17936925098554,32.35294117647059,1610612741,40,35,2022-11-02T00:17:32Z,2120000,-88.0,265.0,1,right,Z. LaVine 27' 3PT pullup (9 PTS),[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,27.97,Made,,,,,,,9.0,,,,,,,,,,,
215,PT07M10.00S,2022-11-02T00:17:45.1Z,2,REGULAR,3pt,Jump Shot,[],1629139,4.681340341655716,95.09803921568627,1610612751,40,35,2022-11-02T00:17:49Z,2130000,-225.0,-8.0,1,left,MISS Y. Watanabe 3PT,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,Left Corner 3,24+ Left,22.57,Missed,,,,,,,,,,,,,,,,,,
216,PT07M08.00S,2022-11-02T00:17:47.1Z,2,REGULAR,rebound,defensive,[],203897,,,1610612741,40,35,2022-11-02T00:17:49Z,2140000,,,0,,Z. LaVine REBOUND (Off:1 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Left Corner 3,24+ Left,,,215.0,2.0,1.0,1.0,,,,,,,,,,,,,,
217,PT07M00.00S,2022-11-02T00:17:56.1Z,2,REGULAR,3pt,Jump Shot,[],201609,71.17279894875165,82.35294117647058,1610612741,40,38,2022-11-02T00:18:00Z,2150000,162.0,218.0,1,right,G. Dragic 27' 3PT  (10 PTS) (D. Jones Jr. 1 AST),"[201609, 1627884]",1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,Above the Break 3,24+ Right Center,27.19,Made,,,,,,,10.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,
219,PT06M58.00S,2022-11-02T00:18:03.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,40,38,2022-11-02T00:18:03Z,2170000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,out,[],1626220,,,1610612751,40,38,2022-11-02T00:21:04Z,2180000,,,0,,SUB out: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,out,[],201988,,,1610612751,40,38,2022-11-02T00:21:04Z,2190000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,out,[],202681,,,1610612751,40,38,2022-11-02T00:21:04Z,2200000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,out,[],1629139,,,1610612751,40,38,2022-11-02T00:21:04Z,2210000,,,0,,SUB out: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,out,[],1627884,,,1610612751,40,38,2022-11-02T00:21:04Z,2220000,,,0,,SUB out: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,out,[],203897,,,1610612751,40,38,2022-11-02T00:21:04Z,2230000,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,out,[],1630172,,,1610612751,40,38,2022-11-02T00:21:04Z,2240000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,in,[],201142,,,1610612751,40,38,2022-11-02T00:21:04Z,2250000,,,0,,SUB in: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,in,[],1628410,,,1610612751,40,38,2022-11-02T00:21:04Z,2260000,,,0,,SUB in: E. Sumner,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,in,[],203925,,,1610612751,40,38,2022-11-02T00:21:04Z,2270000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,in,[],1630561,,,1610612751,40,38,2022-11-02T00:21:04Z,2280000,,,0,,SUB in: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,in,[],201942,,,1610612751,40,38,2022-11-02T00:21:04Z,2290000,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,in,[],1630245,,,1610612751,40,38,2022-11-02T00:21:04Z,2300000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M58.00S,2022-11-02T00:18:07.1Z,2,REGULAR,substitution,in,[],202696,,,1610612751,40,38,2022-11-02T00:21:04Z,2310000,,,0,,SUB in: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M40.00S,2022-11-02T00:21:48.5Z,2,REGULAR,foul,personal,['2freethrow'],1629750,,,1610612751,40,38,2022-11-02T00:21:54Z,2330000,,,0,,J. Green shooting personal FOUL (1 PF) (Durant 2 FT),"[1629750, 201142]",1610612741.0,CHI,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202058.0,,,,,,1.0,0.0,Durant,201142.0,,,,
237,PT06M40.00S,2022-11-02T00:22:13.0Z,2,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,41,38,2022-11-02T00:22:13Z,2350000,,,0,,K. Durant Free Throw 1 of 2 (15 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,15.0,,,,,,,,,,,
238,PT06M40.00S,2022-11-02T00:22:30.0Z,2,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,42,38,2022-11-02T00:22:30Z,2360000,,,0,,K. Durant Free Throw 2 of 2 (16 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,16.0,,,,,,,,,,,
239,PT06M22.00S,2022-11-02T00:22:48.7Z,2,REGULAR,2pt,Jump Shot,[],1629750,92.59198423127464,31.372549019607842,1610612741,42,38,2022-11-02T00:22:53Z,2370000,-93.0,17.0,1,right,MISS J. Green 9' driving floating Shot,[1629750],1610612741.0,CHI,driving floating,,,Green,J. Green,,,,,Mid-Range,8-16 Left,9.47,Missed,,,,,,,,,,,,,,,,,,
240,PT06M20.00S,2022-11-02T00:22:50.7Z,2,REGULAR,rebound,offensive,[],1629750,,,1610612741,42,38,2022-11-02T00:22:53Z,2380000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,239.0,1.0,0.0,1.0,,,,,,,,,,,,,,
241,PT06M14.00S,2022-11-02T00:22:57.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201609,92.59198423127464,94.36274509803921,1610612741,42,41,2022-11-02T00:23:02Z,2390000,222.0,17.0,1,right,G. Dragic 3PT  (13 PTS) (D. DeRozan 1 AST),"[201609, 201942]",1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,Right Corner 3,24+ Right,22.25,Made,,,,,,,13.0,D. DeRozan,201942.0,1.0,,,,,,,,
243,PT05M52.00S,2022-11-02T00:23:18.7Z,2,REGULAR,3pt,Jump Shot,[],203925,6.258212877792378,2.696078431372549,1610612751,45,41,2022-11-02T00:23:23Z,2410000,237.0,6.0,1,left,J. Harris 3PT  (3 PTS) (E. Sumner 1 AST),"[203925, 1628410]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,Right Corner 3,24+ Right,23.66,Made,,,,,,,3.0,E. Sumner,1628410.0,1.0,,,,,,,,
245,PT05M26.00S,2022-11-02T00:23:44.6Z,2,REGULAR,2pt,Jump Shot,[],201942,93.77463863337714,28.921568627450984,1610612741,45,43,2022-11-02T00:23:48Z,2430000,-105.0,6.0,1,right,D. DeRozan 10' Jump Shot (4 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,10.56,Made,,,,,,,4.0,,,,,,,,,,,
246,PT05M08.00S,2022-11-02T00:24:02.3Z,2,REGULAR,3pt,Jump Shot,[],1630561,4.944152431011826,94.85294117647058,1610612751,45,43,2022-11-02T00:24:19Z,2440000,-224.0,-6.0,1,left,MISS D. Duke Jr. 3PT,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,Left Corner 3,24+ Left,22.44,Missed,,,,,,,,,,,,,,,,,,
247,PT05M07.00S,2022-11-02T00:24:03.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612751,45,43,2022-11-02T00:24:19Z,2450000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Left Corner 3,24+ Left,,,246.0,,,,,,,,,,,,,,,,,
249,PT05M07.00S,2022-11-02T00:24:08.7Z,2,REGULAR,substitution,out,[],201609,,,1610612751,45,43,2022-11-02T00:24:13Z,2470000,,,0,,SUB out: G. Dragic,[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M07.00S,2022-11-02T00:24:08.7Z,2,REGULAR,substitution,in,[],1630172,,,1610612751,45,43,2022-11-02T00:24:13Z,2480000,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M00.00S,2022-11-02T00:24:39.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203925,4.155716162943495,95.09803921568627,1610612751,45,43,2022-11-02T00:24:44Z,2490000,-225.0,-13.0,1,left,MISS J. Harris 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Left Corner 3,24+ Left,22.59,Missed,,,,,,,,,,,,,,,,,,
252,PT04M56.00S,2022-11-02T00:24:43.7Z,2,REGULAR,rebound,defensive,[],1630245,,,1610612741,45,43,2022-11-02T00:24:44Z,2500000,,,0,,A. Dosunmu REBOUND (Off:0 Def:2),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Left Corner 3,24+ Left,,,251.0,2.0,2.0,0.0,,,,,,,,,,,,,,
253,PT04M38.00S,2022-11-02T00:25:02.0Z,2,REGULAR,3pt,Jump Shot,[],1630245,74.72076215505913,12.009803921568627,1610612741,45,43,2022-11-02T00:25:09Z,2510000,-190.0,185.0,1,right,MISS A. Dosunmu 26' 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,26.53,Missed,,,,,,,,,,,,,,,,,,
254,PT04M33.00S,2022-11-02T00:25:07.0Z,2,REGULAR,rebound,offensive,[],202696,,,1610612741,45,43,2022-11-02T00:25:09Z,2520000,,,0,,N. Vucevic REBOUND (Off:2 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,253.0,6.0,4.0,2.0,,,,,,,,,,,,,,
