actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
175,PT00M00.20S,2023-11-09T01:41:33.8Z,1,REGULAR,freethrow,3 of 3,[],1629060,,,1610612747,32,19,2023-11-09T01:43:03Z,1710000,False,,,0,,MISS R. Hachimura Free Throw 3 of 3,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
176,PT00M00.20S,2023-11-09T01:41:33.8Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612747,32,19,2023-11-09T01:43:03Z,1720000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:2),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,175.0,,3.0,2.0,1.0,,,,,,,,,,,
177,PT00M00.00S,2023-11-09T01:43:04.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629060,10.5946123521682,49.01960784313725,1610612747,32,19,2023-11-09T01:43:26Z,1730000,False,5.0,47.0,1,left,MISS R. Hachimura tip Layup,[1629060],1610612747.0,LAL,tip,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,4.74,Missed,,,,,,,,,,,,,,,,,,
178,PT00M00.00S,2023-11-09T01:43:11.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,32,19,2023-11-09T01:43:11Z,1740000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,177.0,,,,,,,,,,,,,,,
179,PT00M00.00S,2023-11-09T01:43:27.8Z,1,REGULAR,period,end,[],0,,,1610612747,32,19,2023-11-09T01:43:27Z,1750000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2023-11-09T01:44:35.2Z,2,REGULAR,substitution,out,['startperiod'],1631095,,,1610612747,32,19,2023-11-09T01:44:57Z,1760000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2023-11-09T01:44:35.2Z,2,REGULAR,substitution,out,['startperiod'],1627752,,,1610612747,32,19,2023-11-09T01:44:57Z,1770000,False,,,0,,SUB out: T. Prince,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2023-11-09T01:44:35.2Z,2,REGULAR,substitution,in,['startperiod'],1627832,,,1610612747,32,19,2023-11-09T01:44:57Z,1780000,False,,,0,,SUB in: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2023-11-09T01:44:35.2Z,2,REGULAR,substitution,in,['startperiod'],1631108,,,1610612747,32,19,2023-11-09T01:44:57Z,1790000,False,,,0,,SUB in: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2023-11-09T01:46:29.9Z,2,REGULAR,period,start,[],0,,,1610612747,32,19,2023-11-09T01:46:29Z,1800000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT11M49.00S,2023-11-09T01:46:40.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,19.136005256241788,37.254901960784316,1610612747,32,21,2023-11-09T01:46:45Z,1810000,False,64.0,127.0,1,left,R. Hachimura 14' pullup Jump Shot (9 PTS) (A. Reaves 2 AST),"[1629060, 1630559]",1610612747.0,LAL,pullup,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,14.24,Made,,,,9.0,,,,A. Reaves,1630559.0,2.0,,,,,,,,
187,PT11M24.00S,2023-11-09T01:47:04.8Z,2,REGULAR,3pt,Jump Shot,[],1628415,94.95729303547962,5.392156862745098,1610612745,32,21,2023-11-09T01:47:14Z,1830000,False,-223.0,-5.0,1,right,MISS D. Brooks 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Left Corner 3,24+ Left,22.31,Missed,,,,,,,,,,,,,,,,,,
188,PT11M23.00S,2023-11-09T01:47:05.8Z,2,REGULAR,rebound,offensive,[],1631106,,,1610612745,32,21,2023-11-09T01:47:14Z,1840000,False,,,0,,T. Eason REBOUND (Off:1 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Left Corner 3,24+ Left,,,,,187.0,,1.0,0.0,1.0,,,,,,,,,,,
198,PT11M23.00S,2023-11-09T01:47:06.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631106,93.9060446780552,49.26470588235294,1610612745,32,21,2023-11-09T01:50:26Z,1845000,False,-4.0,5.0,1,right,MISS T. Eason tip Layup,[1631106],1610612745.0,HOU,tip,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,0.61,Missed,,,,,,,,,,,,,,,,,,
199,PT11M23.00S,2023-11-09T01:47:06.6Z,2,REGULAR,rebound,offensive,[],1631106,,,1610612745,32,21,2023-11-09T01:50:26Z,1847500,False,,,0,,T. Eason REBOUND (Off:2 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,198.0,,2.0,0.0,2.0,,,,,,,,,,,
189,PT11M21.00S,2023-11-09T01:47:08.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631106,94.40999984741211,50.0,1610612745,34,21,2023-11-09T02:10:27Z,1850000,False,0.0,0.0,1,right,T. Eason putback Layup (5 PTS),[1631106],1610612745.0,HOU,putback,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,0.0,Made,,,,5.0,,,,,,,,,,,,,,
190,PT11M08.00S,2023-11-09T01:47:21.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,6.389618922470433,54.65686274509803,1610612747,34,21,2023-11-09T01:47:27Z,1860000,False,-23.0,8.0,1,left,MISS A. Reaves driving Layup,[1630559],1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
191,PT11M06.00S,2023-11-09T01:47:23.2Z,2,REGULAR,rebound,defensive,[],1628415,,,1610612745,34,21,2023-11-09T01:47:27Z,1870000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,190.0,,1.0,1.0,0.0,,,,,,,,,,,
192,PT11M02.00S,2023-11-09T01:47:26.4Z,2,REGULAR,turnover,bad pass,[],1628415,,,1610612745,34,21,2023-11-09T01:47:30Z,1880000,False,,,0,,D. Brooks bad pass TURNOVER (1 TO),"[1628415, 1629629]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,Reddish,1629629.0
193,PT11M02.00S,2023-11-09T01:47:26.4Z,2,REGULAR,steal,,[],1629629,,,1610612747,34,21,2023-11-09T01:47:28Z,1890000,False,,,0,,C. Reddish STEAL (1 STL),[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
196,PT11M00.00S,2023-11-09T01:48:01.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,34,21,2023-11-09T01:48:01Z,1920000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT10M56.00S,2023-11-09T01:51:08.9Z,2,REGULAR,jumpball,recovered,[],1627832,,,1610612745,34,21,2023-11-09T01:51:08Z,1940000,False,,,0,,Jump Ball A. Sengun vs. R. Hachimura: Tip to F. VanVleet,"[1627832, 1630578, 1629060]",1610612745.0,HOU,challenge,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Sengun,1630578.0,Hachimura,1629060.0,,,,,,,,,,,,,,,,,,,,,,
204,PT10M53.00S,2023-11-09T01:51:27.0Z,2,REGULAR,foul,personal,[],1631108,,,1610612745,34,21,2023-11-09T01:51:34Z,1980000,False,,,0,,M. Christie personal FOUL (1 PF),"[1631108, 1630578]",1610612747.0,LAL,,,,Christie,M. Christie,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,1626300.0,1.0,0.0,Sengun,1630578.0,,,
206,PT10M45.00S,2023-11-09T01:51:39.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,94.69448094612353,48.03921568627451,1610612745,36,21,2023-11-09T01:51:47Z,2000000,False,-10.0,-3.0,1,right,A. Sengun driving Layup (7 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.01,Made,,,,7.0,,,,,,,,,,,,,,
207,PT10M22.00S,2023-11-09T01:52:04.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,7.703679369250986,45.09803921568628,1610612747,36,21,2023-11-09T01:52:19Z,2010000,False,25.0,20.0,1,left,MISS L. James turnaround fadeaway Shot,[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,Restricted Area,0-8 Center,3.16,Missed,,,,,,,,,,,,,,,,,,
208,PT10M21.00S,2023-11-09T01:52:05.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612745,36,21,2023-11-09T01:52:19Z,2020000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,,207.0,,,,,,,,,,,,,,,
210,PT10M07.00S,2023-11-09T01:52:22.9Z,2,REGULAR,turnover,bad pass,[],1628415,,,1610612745,36,21,2023-11-09T01:52:27Z,2040000,False,,,0,,D. Brooks bad pass TURNOVER (2 TO),"[1628415, 1629060]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,2.0,Hachimura,1629060.0
211,PT10M07.00S,2023-11-09T01:52:22.9Z,2,REGULAR,steal,,[],1629060,,,1610612747,36,21,2023-11-09T01:52:24Z,2050000,False,,,0,,R. Hachimura STEAL (1 STL),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
212,PT10M00.00S,2023-11-09T01:52:30.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",2544,6.783837056504599,53.18627450980392,1610612747,36,23,2023-11-09T01:52:35Z,2060000,False,-16.0,11.0,1,left,L. James driving Layup (7 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,1.95,Made,,,,7.0,,,,,,,,,,,,,,
213,PT09M46.00S,2023-11-09T01:52:44.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,93.64323258869908,53.92156862745098,1610612745,38,23,2023-11-09T01:52:52Z,2070000,False,20.0,7.0,1,right,J. Tate driving reverse Layup (4 PTS),[1630256],1610612745.0,HOU,driving reverse,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,2.09,Made,,,,4.0,,,,,,,,,,,,,,
214,PT09M34.00S,2023-11-09T01:52:57.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],2544,8.09789750328515,43.13725490196079,1610612747,38,23,2023-11-09T01:53:06Z,2080000,False,34.0,24.0,1,left,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,4.16,Missed,,,,,,,,,,,,,,,,,,
215,PT09M34.00S,2023-11-09T01:52:57.0Z,2,REGULAR,rebound,defensive,[],1631106,,,1610612745,38,23,2023-11-09T01:53:06Z,2090000,False,,,0,,T. Eason REBOUND (Off:2 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,214.0,,3.0,1.0,2.0,,,,,,,,,,,
216,PT09M21.00S,2023-11-09T01:53:09.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631106,86.28449408672799,43.38235294117647,1610612745,38,23,2023-11-09T01:53:17Z,2100000,False,-33.0,76.0,1,right,MISS T. Eason 8' turnaround bank Shot,[1631106],1610612745.0,HOU,turnaround bank,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Center,8.33,Missed,,,,,,,,,,,,,,,,,,
217,PT09M20.00S,2023-11-09T01:53:10.6Z,2,REGULAR,rebound,defensive,[],2544,,,1610612747,38,23,2023-11-09T01:53:17Z,2110000,False,,,0,,L. James REBOUND (Off:1 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,216.0,,2.0,1.0,1.0,,,,,,,,,,,
218,PT09M14.00S,2023-11-09T01:53:17.6Z,2,REGULAR,foul,personal,['2freethrow'],1630256,,,1610612747,38,23,2023-11-09T02:06:50Z,2120000,False,,,0,,J. Tate shooting personal FOUL (1 PF) (Christie 2 FT),"[1630256, 1631108]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2002.0,1.0,0.0,Christie,1631108.0,,,
221,PT09M14.00S,2023-11-09T01:53:45.6Z,2,REGULAR,substitution,out,[],1631106,,,1610612747,38,23,2023-11-09T02:07:17Z,2135000,False,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT09M14.00S,2023-11-09T01:53:45.6Z,2,REGULAR,substitution,in,[],1630224,,,1610612747,38,23,2023-11-09T02:07:17Z,2137500,False,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT09M14.00S,2023-11-09T01:53:48.4Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1631108,,,1610612747,38,24,2023-11-09T02:07:03Z,2140000,False,,,0,,M. Christie Free Throw 1 of 2 (1 PTS),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,Made,,,,1.0,,,,,,,,,,,,,,
223,PT09M14.00S,2023-11-09T01:53:48.4Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1631108,,,1610612747,38,25,2023-11-09T02:07:03Z,2170000,False,,,0,,M. Christie Free Throw 2 of 2 (2 PTS),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,Made,,,,2.0,,,,,,,,,,,,,,
224,PT09M02.00S,2023-11-09T01:54:26.1Z,2,REGULAR,3pt,Jump Shot,[],1627832,66.96780551905388,62.254901960784316,1610612745,38,25,2023-11-09T01:54:35Z,2180000,False,61.0,258.0,1,right,MISS F. VanVleet 26' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,26.52,Missed,,,,,,,,,,,,,,,,,,
225,PT09M01.00S,2023-11-09T01:54:27.1Z,2,REGULAR,rebound,defensive,[],1631108,,,1610612747,38,25,2023-11-09T01:54:35Z,2190000,False,,,0,,M. Christie REBOUND (Off:0 Def:2),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Center,,,,,224.0,,2.0,2.0,0.0,,,,,,,,,,,
226,PT08M52.00S,2023-11-09T01:54:35.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],2544,6.915243101182654,53.67647058823529,1610612747,38,25,2023-11-09T01:54:54Z,2200000,False,-18.0,13.0,1,left,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.22,Missed,,,,,,,,,,,,,,,,,,
227,PT08M51.00S,2023-11-09T01:54:36.8Z,2,REGULAR,rebound,defensive,[],1630224,,,1610612745,38,25,2023-11-09T01:54:54Z,2210000,False,,,0,,J. Green REBOUND (Off:0 Def:4),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,226.0,,4.0,4.0,0.0,,,,,,,,,,,
228,PT08M45.00S,2023-11-09T01:54:43.9Z,2,REGULAR,foul,personal,['2freethrow'],1630559,,,1610612745,38,25,2023-11-09T01:54:51Z,2220000,False,,,0,,A. Reaves shooting personal FOUL (1 PF) (VanVleet 2 FT),"[1630559, 1627832]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2002.0,1.0,0.0,VanVleet,1627832.0,,,
230,PT08M45.00S,2023-11-09T01:55:12.5Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1627832,,,1610612745,39,25,2023-11-09T01:55:12Z,2240000,False,,,0,,F. VanVleet Free Throw 1 of 2 (1 PTS),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,1.0,,,,,,,,,,,,,,
231,PT08M45.00S,2023-11-09T01:55:29.9Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1627832,,,1610612745,40,25,2023-11-09T01:55:29Z,2250000,False,,,0,,F. VanVleet Free Throw 2 of 2 (2 PTS),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,2.0,,,,,,,,,,,,,,
232,PT08M31.00S,2023-11-09T01:55:45.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,5.995400788436268,52.69607843137255,1610612747,40,27,2023-11-09T01:55:49Z,2260000,False,-13.0,4.0,1,left,R. Hachimura Layup (11 PTS) (L. James 1 AST),"[1629060, 2544]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.41,Made,,,,11.0,,,,L. James,2544.0,1.0,,,,,,,,
234,PT08M14.00S,2023-11-09T01:56:02.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,84.05059132720105,49.26470588235294,1610612745,42,27,2023-11-09T01:56:08Z,2280000,False,-4.0,97.0,1,right,A. Sengun 9' Hook (9 PTS) (F. VanVleet 4 AST),"[1630578, 1627832]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,9.75,Made,,,,9.0,,,,F. VanVleet,1627832.0,4.0,,,,,,,,
236,PT07M57.00S,2023-11-09T01:56:19.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,6.389618922470433,48.28431372549019,1610612747,42,29,2023-11-09T01:56:25Z,2300000,False,9.0,8.0,1,left,R. Hachimura cutting Layup (13 PTS) (L. James 2 AST),"[1629060, 2544]",1610612747.0,LAL,cutting,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.15,Made,,,,13.0,,,,L. James,2544.0,2.0,,,,,,,,
239,PT07M45.00S,2023-11-09T01:56:38.7Z,2,REGULAR,3pt,Jump Shot,[],1630224,72.35545335085413,9.803921568627452,1610612745,45,29,2023-11-09T01:56:44Z,2330000,False,-201.0,207.0,1,right,J. Green 28' 3PT  (11 PTS) (F. VanVleet 5 AST),"[1630224, 1627832]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,28.88,Made,,,,11.0,,,,F. VanVleet,1627832.0,5.0,,,,,,,,
241,PT07M30.00S,2023-11-09T01:56:54.1Z,2,REGULAR,turnover,lost ball,[],1630559,,,1610612747,45,29,2023-11-09T01:56:58Z,2350000,False,,,0,,A. Reaves lost ball TURNOVER (2 TO),"[1630559, 1630224]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,2.0,Green,1630224.0
242,PT07M30.00S,2023-11-09T01:56:54.1Z,2,REGULAR,steal,,[],1630224,,,1610612745,45,29,2023-11-09T01:56:55Z,2360000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
243,PT07M28.00S,2023-11-09T01:56:56.6Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630224,93.51182654402102,50.245098039215684,1610612745,47,29,2023-11-09T01:57:34Z,2370000,False,1.0,8.0,1,right,J. Green running DUNK (13 PTS),[1630224],1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.86,Made,,,,13.0,,,,,,,,,,,,,,
244,PT07M28.00S,2023-11-09T01:57:02.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,47,29,2023-11-09T01:57:02Z,2380000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT07M28.00S,2023-11-09T01:59:04.6Z,2,REGULAR,substitution,out,[],1630256,,,1610612747,47,29,2023-11-09T02:00:02Z,2390000,False,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M28.00S,2023-11-09T01:59:04.6Z,2,REGULAR,substitution,out,[],1629629,,,1610612747,47,29,2023-11-09T02:00:02Z,2400000,False,,,0,,SUB out: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M28.00S,2023-11-09T01:59:04.6Z,2,REGULAR,substitution,out,[],1631108,,,1610612747,47,29,2023-11-09T02:00:02Z,2410000,False,,,0,,SUB out: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M28.00S,2023-11-09T01:59:04.6Z,2,REGULAR,substitution,out,[],1629060,,,1610612747,47,29,2023-11-09T02:00:02Z,2420000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M28.00S,2023-11-09T01:59:04.6Z,2,REGULAR,substitution,in,[],1631095,,,1610612747,47,29,2023-11-09T02:00:02Z,2430000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M28.00S,2023-11-09T01:59:04.6Z,2,REGULAR,substitution,in,[],1626174,,,1610612747,47,29,2023-11-09T02:00:02Z,2440000,False,,,0,,SUB in: C. Wood,[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT07M28.00S,2023-11-09T01:59:04.6Z,2,REGULAR,substitution,in,[],1626156,,,1610612747,47,29,2023-11-09T02:00:02Z,2450000,False,,,0,,SUB in: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M28.00S,2023-11-09T01:59:04.6Z,2,REGULAR,substitution,in,[],1627752,,,1610612747,47,29,2023-11-09T02:00:02Z,2460000,False,,,0,,SUB in: T. Prince,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M13.00S,2023-11-09T02:00:18.1Z,2,REGULAR,2pt,Jump Shot,[],1626156,16.113666228646515,67.40196078431373,1610612747,47,29,2023-11-09T02:00:29Z,2470000,False,-87.0,99.0,1,left,MISS D. Russell 13' driving floating Shot,[1626156],1610612747.0,LAL,driving floating,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,13.18,Missed,,,,,,,,,,,,,,,,,,
254,PT07M10.00S,2023-11-09T02:00:21.1Z,2,REGULAR,rebound,defensive,[],1628415,,,1610612745,47,29,2023-11-09T02:00:29Z,2480000,False,,,0,,D. Brooks REBOUND (Off:0 Def:2),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,,,,,253.0,,2.0,2.0,0.0,,,,,,,,,,,
255,PT06M58.00S,2023-11-09T02:00:32.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,91.80354796320631,54.41176470588235,1610612745,49,29,2023-11-09T02:00:36Z,2490000,False,22.0,25.0,1,right,A. Sengun driving Layup (11 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.3,Made,,,,11.0,,,,,,,,,,,,,,
256,PT06M46.00S,2023-11-09T02:00:43.5Z,2,REGULAR,2pt,Jump Shot,[],1626156,25.706307490144546,55.392156862745104,1610612747,49,29,2023-11-09T02:00:53Z,2500000,False,-27.0,189.0,1,left,MISS D. Russell 19' Jump Shot,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,19.1,Missed,,,,,,,,,,,,,,,,,,
257,PT06M45.00S,2023-11-09T02:00:44.5Z,2,REGULAR,rebound,defensive,[],1628415,,,1610612745,49,29,2023-11-09T02:35:43Z,2510000,False,,,0,,D. Brooks REBOUND (Off:0 Def:3),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Center,,,,,256.0,,3.0,3.0,0.0,,,,,,,,,,,
258,PT06M33.00S,2023-11-09T02:00:57.4Z,2,REGULAR,3pt,Jump Shot,[],1630224,73.14388961892247,78.92156862745098,1610612745,49,29,2023-11-09T02:01:03Z,2520000,False,145.0,200.0,1,right,MISS J. Green 24' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,24.67,Missed,,,,,,,,,,,,,,,,,,
259,PT06M32.00S,2023-11-09T02:00:58.4Z,2,REGULAR,rebound,defensive,[],2544,,,1610612747,49,29,2023-11-09T02:01:03Z,2530000,False,,,0,,L. James REBOUND (Off:1 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,258.0,,3.0,2.0,1.0,,,,,,,,,,,
260,PT06M21.00S,2023-11-09T02:01:08.9Z,2,REGULAR,turnover,lost ball,[],2544,,,1610612747,49,29,2023-11-09T02:01:14Z,2540000,False,,,0,,L. James lost ball TURNOVER (2 TO),"[2544, 1627832]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,2.0,VanVleet,1627832.0
261,PT06M21.00S,2023-11-09T02:01:08.9Z,2,REGULAR,steal,,[],1627832,,,1610612745,49,29,2023-11-09T02:01:11Z,2550000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
