actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
170,PT09M35.00S,2022-10-21T23:46:21.6Z,2,REGULAR,jumpball,recovered,[],1626153,,,1610612741,28,33,2022-10-21T23:46:21Z,1680000,,,0,,Jump Ball D. Gafford vs. A. Caruso: Tip to D. Wright,"[1626153, 1629655, 1627936]",1610612764.0,WAS,,heldball,D. Wright,1626153.0,Wright,D. Wright,Gafford,1629655.0,Caruso,1627936.0,,,,,,,,,,,,,,,,,,,,,
173,PT09M35.00S,2022-10-21T23:46:21.6Z,2,REGULAR,turnover,lost ball,[],1627936,,,1610612741,28,33,2022-10-21T23:46:21Z,1710000,,,0,,A. Caruso lost ball TURNOVER (1 TO),"[1627936, 1629655]",1610612741.0,CHI,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,1.0,Gafford,1629655.0
174,PT09M35.00S,2022-10-21T23:46:21.6Z,2,REGULAR,steal,,[],1629655,,,1610612764,28,33,2022-10-21T23:46:21Z,1720000,,,0,,D. Gafford STEAL (1 STL),[1629655],1610612764.0,WAS,,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT09M21.00S,2022-10-21T23:46:37.2Z,2,REGULAR,foul,personal,[],201609,,,1610612764,28,33,2022-10-21T23:46:45Z,1730000,,,0,,G. Dragic personal FOUL (2 PF),"[201609, 203115]",1610612741.0,CHI,2003.0,,,,Dragic,G. Dragic,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,2.0,0.0,Barton,203115.0,,,,,
177,PT09M11.00S,2022-10-21T23:47:05.5Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629060,76.26478318002628,45.09803921568627,1610612764,30,33,2022-10-21T23:47:10Z,1750000,-25.0,171.0,1,right,R. Hachimura 17' step back Jump Shot (6 PTS),[1629060],1610612764.0,WAS,,step back,,,Hachimura,R. Hachimura,,,,,Mid-Range,16-24 Center,17.24,Made,6.0,,,,,,,,,,,,,,,,
178,PT08M55.00S,2022-10-21T23:47:21.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203083,9.641918528252305,49.01960784313726,1610612741,30,35,2022-10-21T23:47:26Z,1760000,5.0,38.0,1,left,A. Drummond alley-oop Layup (4 PTS) (G. Dragic 2 AST),"[203083, 201609]",1610612741.0,CHI,,alley-oop,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,3.84,Made,4.0,G. Dragic,201609.0,2.0,,,,,,,,,,,,,
180,PT08M48.00S,2022-10-21T23:47:30.5Z,2,REGULAR,foul,personal,[],201609,,,1610612764,30,35,2022-10-21T23:47:45Z,1780000,,,0,,G. Dragic personal FOUL (3 PF),"[201609, 1630264]",1610612741.0,CHI,101283.0,,,,Dragic,G. Dragic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,3.0,0.0,Gill,1630264.0,,,,,
182,PT08M35.00S,2022-10-21T23:48:05.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,83.49211563731932,48.774509803921575,1610612764,32,35,2022-10-21T23:48:10Z,1800000,-6.0,103.0,1,right,R. Hachimura 10' turnaround fadeaway Jump Shot (8 PTS) (D. Wright 1 AST),"[1629060, 1626153]",1610612764.0,WAS,,turnaround fadeaway,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,10.29,Made,8.0,D. Wright,1626153.0,1.0,,,,,,,,,,,,,
184,PT08M24.00S,2022-10-21T23:48:16.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203083,11.744415243101187,51.470588235294116,1610612741,32,35,2022-10-21T23:53:27Z,1820000,-7.0,58.0,1,left,MISS A. Drummond driving Layup - blocked,"[203083, 1629655]",1610612741.0,CHI,,driving,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,5.84,Missed,,,,,,,,,,,,,Gafford,1629655.0,,,
185,PT08M24.00S,2022-10-21T23:48:16.9Z,2,REGULAR,block,,[],1629655,,,1610612741,32,35,2022-10-21T23:48:19Z,1830000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
186,PT08M21.00S,2022-10-21T23:48:19.9Z,2,REGULAR,rebound,defensive,[],1629060,,,1610612764,32,35,2022-10-22T00:02:36Z,1840000,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,184.0,2.0,2.0,0.0,,,,,,,,,
187,PT08M17.00S,2022-10-21T23:48:24.0Z,2,REGULAR,3pt,Jump Shot,[],1629060,68.77463863337714,26.225490196078425,1610612764,32,35,2022-10-21T23:48:30Z,1850000,-119.0,241.0,1,right,MISS R. Hachimura 26' 3PT,[1629060],1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,26.87,Missed,,,,,,,,,,,,,,,,,
188,PT08M13.00S,2022-10-21T23:48:27.5Z,2,REGULAR,rebound,offensive,[],203115,,,1610612764,32,35,2022-10-21T23:48:27Z,1860000,,,0,,W. Barton REBOUND (Off:1 Def:1),[203115],1610612764.0,WAS,,,,,Barton,W. Barton,,,,,Above the Break 3,24+ Left Center,,,,,,,187.0,2.0,1.0,1.0,,,,,,,,,
189,PT08M12.00S,2022-10-21T23:48:29.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626153,69.82588699080158,76.9607843137255,1610612764,32,35,2022-10-21T23:48:35Z,1870000,135.0,231.0,1,right,MISS D. Wright 26' 3PT,[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Right Center,26.75,Missed,,,,,,,,,,,,,,,,,
190,PT08M08.00S,2022-10-21T23:48:33.3Z,2,REGULAR,rebound,offensive,[],1629060,,,1610612764,32,35,2022-10-21T23:48:35Z,1880000,,,0,,R. Hachimura REBOUND (Off:1 Def:2),[1629060],1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,,,,,,,189.0,3.0,2.0,1.0,,,,,,,,,
191,PT08M08.00S,2022-10-21T23:48:35.9Z,2,REGULAR,foul,personal,['2freethrow'],1630172,,,1610612764,32,35,2022-10-21T23:48:43Z,1890000,,,0,,P. Williams shooting personal FOUL (1 PF) (Hachimura 2 FT),"[1630172, 1629060]",1610612741.0,CHI,1627534.0,shooting,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Hachimura,1629060.0,,,,,
193,PT08M08.00S,2022-10-21T23:49:10.0Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1629060,,,1610612764,33,35,2022-10-22T01:43:05Z,1910000,,,0,,R. Hachimura Free Throw 1 of 2 (9 PTS),[1629060],1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,
194,PT08M08.00S,2022-10-21T23:49:10.8Z,2,REGULAR,substitution,out,[],1630264,,,1610612764,33,35,2022-10-21T23:49:15Z,1920000,,,0,,SUB out: A. Gill,[1630264],1610612764.0,WAS,,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT08M08.00S,2022-10-21T23:49:10.8Z,2,REGULAR,substitution,in,[],1628398,,,1610612764,33,35,2022-10-21T23:49:15Z,1930000,,,0,,SUB in: K. Kuzma,[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT08M08.00S,2022-10-21T23:49:10.0Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1629060,,,1610612764,34,35,2022-10-22T01:43:05Z,1940000,,,0,,R. Hachimura Free Throw 2 of 2 (10 PTS),[1629060],1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,
270,PT07M53.00S,2022-10-21T23:49:30.9Z,2,REGULAR,2pt,Jump Shot,[],201609,16.869250985545335,28.92156862745098,1610612741,34,35,2022-10-22T00:03:34Z,1945000,105.0,106.0,1,left,MISS G. Dragic 14' Jump Shot - blocked,"[201609, 1626153]",1610612741.0,CHI,,,,,Dragic,G. Dragic,,,,,Mid-Range,8-16 Right,14.96,Missed,,,,,,,,,,,,,Wright,1626153.0,,,
271,PT07M53.00S,2022-10-21T23:49:30.9Z,2,REGULAR,block,,[],1626153,,,1610612741,34,35,2022-10-22T00:03:34Z,1947500,,,0,,D. Wright BLOCK (1 BLK),[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
272,PT07M53.00S,2022-10-21T23:49:30.9Z,2,REGULAR,rebound,offensive,[],201609,,,1610612741,34,35,2022-10-22T00:03:34Z,1948750,,,0,,G. Dragic REBOUND (Off:1 Def:0),[201609],1610612741.0,CHI,,,,,Dragic,G. Dragic,,,,,Mid-Range,8-16 Right,,,,,,,270.0,1.0,0.0,1.0,,,,,,,,,
197,PT07M50.00S,2022-10-21T23:49:51.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203083,8.984888304862025,49.01960784313726,1610612741,34,37,2022-10-22T00:03:34Z,1950000,5.0,32.0,1,left,A. Drummond DUNK (6 PTS) (G. Dragic 3 AST),"[203083, 201609]",1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,3.24,Made,6.0,G. Dragic,201609.0,3.0,,,,,,,,,,,,,
199,PT07M41.00S,2022-10-21T23:49:59.8Z,2,REGULAR,turnover,bad pass,[],1629060,,,1610612764,34,37,2022-10-21T23:50:08Z,1970000,,,0,,R. Hachimura bad pass TURNOVER (2 TO),"[1629060, 1627936]",1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,2.0,Caruso,1627936.0
200,PT07M41.00S,2022-10-21T23:49:59.8Z,2,REGULAR,steal,,[],1627936,,,1610612741,34,37,2022-10-21T23:50:02Z,1980000,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,,Caruso,A. Caruso,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,
202,PT07M31.00S,2022-10-21T23:50:14.6Z,2,REGULAR,substitution,out,[],201609,,,1610612741,34,37,2022-10-21T23:50:20Z,2000000,,,0,,SUB out: G. Dragic,[201609],1610612741.0,CHI,,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT07M31.00S,2022-10-21T23:50:14.6Z,2,REGULAR,substitution,in,[],1630245,,,1610612741,34,37,2022-10-21T23:50:20Z,2010000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT07M26.00S,2022-10-21T23:50:34.1Z,2,REGULAR,turnover,bad pass,[],203083,,,1610612741,34,37,2022-10-21T23:50:38Z,2020000,,,0,,A. Drummond bad pass TURNOVER (1 TO),"[203083, 203115]",1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,1.0,Barton,203115.0
205,PT07M26.00S,2022-10-21T23:50:34.1Z,2,REGULAR,steal,,[],203115,,,1610612764,34,37,2022-10-21T23:50:36Z,2030000,,,0,,W. Barton STEAL (1 STL),[203115],1610612764.0,WAS,,,,,Barton,W. Barton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
206,PT07M21.00S,2022-10-21T23:50:39.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203115,87.82851511169514,47.549019607843135,1610612764,34,37,2022-10-22T00:06:13Z,2040000,-12.0,62.0,1,right,MISS W. Barton 6' running Layup,[203115],1610612764.0,WAS,,running,,,Barton,W. Barton,,,,,In The Paint (Non-RA),0-8 Center,6.31,Missed,,,,,,,,,,,,,,,,,
208,PT07M21.00S,2022-10-21T23:50:39.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612741,34,37,2022-10-21T23:50:47Z,2060000,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,206.0,,,,,,,,,,,,
210,PT07M04.00S,2022-10-21T23:51:23.8Z,2,REGULAR,2pt,Jump Shot,[],1627936,21.0742444152431,47.30392156862745,1610612741,34,39,2022-10-22T00:07:14Z,2080000,13.0,146.0,1,left,A. Caruso 14' turnaround fadeaway Jump Shot (2 PTS) (A. Dosunmu 2 AST),"[1627936, 1630245]",1610612741.0,CHI,,turnaround fadeaway,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Center,14.62,Made,2.0,A. Dosunmu,1630245.0,2.0,,,,,,,,,,,,,
212,PT06M42.00S,2022-10-21T23:51:44.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,93.08475689881735,45.833333333333336,1610612764,34,39,2022-10-22T00:08:35Z,2100000,-21.0,13.0,1,right,MISS K. Kuzma driving Layup - blocked,"[1628398, 1627936]",1610612764.0,WAS,,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.43,Missed,,,,,,,,,,,,,Caruso,1627936.0,,,
304,PT06M42.00S,2022-10-21T23:51:44.7Z,2,REGULAR,block,,[],1627936,,,1610612764,34,39,2022-10-22T00:09:29Z,2105000,,,0,,A. Caruso BLOCK (1 BLK),[1627936],1610612741.0,CHI,,,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
213,PT06M40.00S,2022-10-21T23:51:46.7Z,2,REGULAR,rebound,defensive,[],1630245,,,1610612741,34,39,2022-10-21T23:51:49Z,2110000,,,0,,A. Dosunmu REBOUND (Off:1 Def:3),[1630245],1610612741.0,CHI,,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,212.0,4.0,3.0,1.0,,,,,,,,,
214,PT06M29.00S,2022-10-21T23:51:58.1Z,2,REGULAR,turnover,lost ball,[],1627936,,,1610612741,34,39,2022-10-21T23:52:02Z,2120000,,,0,,A. Caruso lost ball TURNOVER (2 TO),"[1627936, 1626153]",1610612741.0,CHI,,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,2.0,Wright,1626153.0
215,PT06M29.00S,2022-10-21T23:51:58.1Z,2,REGULAR,steal,,[],1626153,,,1610612764,34,39,2022-10-21T23:52:00Z,2130000,,,0,,D. Wright STEAL (1 STL),[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
216,PT06M26.00S,2022-10-21T23:52:01.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626153,89.53679369250986,47.79411764705882,1610612764,36,39,2022-10-21T23:52:10Z,2140000,-11.0,46.0,1,right,D. Wright running Layup (6 PTS) (K. Kuzma 2 AST),"[1626153, 1628398]",1610612764.0,WAS,,running,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,4.72,Made,6.0,K. Kuzma,1628398.0,2.0,,,,,,,,,,,,,
255,PT06M06.00S,2022-10-21T23:52:16.0Z,2,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,36,39,2022-10-21T23:59:26Z,2165000,,,0,,C. White step out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,2003.0,step,,,White,C. White,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,1.0,,
220,PT06M05.00S,2022-10-21T23:52:30.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,36,39,2022-10-21T23:59:26Z,2180000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,out,[],1629060,,,1610612764,36,39,2022-10-21T23:59:26Z,2190000,,,0,,SUB out: R. Hachimura,[1629060],1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,out,[],1629655,,,1610612764,36,39,2022-10-21T23:59:26Z,2200000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,out,[],1629632,,,1610612764,36,39,2022-10-21T23:59:26Z,2210000,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,out,[],203083,,,1610612764,36,39,2022-10-21T23:59:26Z,2220000,,,0,,SUB out: A. Drummond,[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,out,[],1627936,,,1610612764,36,39,2022-10-21T23:59:26Z,2230000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,in,[],204001,,,1610612764,36,39,2022-10-21T23:59:26Z,2240000,,,0,,SUB in: K. Porzingis,[204001],1610612764.0,WAS,,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,in,[],203078,,,1610612764,36,39,2022-10-21T23:59:26Z,2250000,,,0,,SUB in: B. Beal,[203078],1610612764.0,WAS,,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,in,[],201942,,,1610612764,36,39,2022-10-21T23:59:26Z,2260000,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,in,[],202696,,,1610612764,36,39,2022-10-21T23:59:26Z,2270000,,,0,,SUB in: N. Vucevic,[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M05.00S,2022-10-21T23:52:31.7Z,2,REGULAR,substitution,in,[],1629750,,,1610612764,36,39,2022-10-21T23:59:26Z,2280000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT05M47.00S,2022-10-21T23:55:43.4Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],204001,74.95072273324573,61.27450980392157,1610612764,38,39,2022-10-21T23:59:26Z,2290000,56.0,183.0,1,right,K. Porzingis 19' pullup Jump Shot (7 PTS),[204001],1610612764.0,WAS,,pullup,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Center,19.15,Made,7.0,,,,,,,,,,,,,,,,
232,PT05M30.00S,2022-10-21T23:56:00.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201942,10.82457293035479,50.0,1610612741,38,39,2022-10-22T00:13:54Z,2300000,0.0,49.0,1,left,MISS D. DeRozan driving Layup,[201942],1610612741.0,CHI,,driving,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,4.93,Missed,,,,,,,,,,,,,,,,,
233,PT05M28.00S,2022-10-21T23:56:02.7Z,2,REGULAR,rebound,defensive,[],1628398,,,1610612764,38,39,2022-10-21T23:56:02Z,2310000,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,232.0,3.0,3.0,0.0,,,,,,,,,
234,PT05M23.00S,2022-10-21T23:56:07.8Z,2,REGULAR,turnover,bad pass,[],203078,,,1610612764,38,39,2022-10-22T00:15:50Z,2320000,,,0,,B. Beal bad pass TURNOVER (2 TO),"[203078, 1629750]",1610612764.0,WAS,,,,,Beal,B. Beal,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,2.0,Green,1629750.0
235,PT05M23.00S,2022-10-21T23:56:07.8Z,2,REGULAR,steal,,[],1629750,,,1610612741,38,39,2022-10-22T01:35:51Z,2330000,,,0,,J. Green STEAL (2 STL),[1629750],1610612741.0,CHI,,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,
236,PT05M19.00S,2022-10-21T23:56:13.1Z,2,REGULAR,turnover,out-of-bounds,[],1630172,,,1610612741,38,39,2022-10-21T23:56:19Z,2340000,,,0,,P. Williams lost ball out-of-bounds TURNOVER (1 TO),[1630172],1610612741.0,CHI,2003.0,lost ball,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,1.0,,
237,PT05M19.00S,2022-10-21T23:56:17.6Z,2,REGULAR,substitution,out,[],203115,,,1610612764,38,39,2022-10-21T23:56:34Z,2350000,,,0,,SUB out: W. Barton,[203115],1610612764.0,WAS,,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT05M19.00S,2022-10-21T23:56:17.6Z,2,REGULAR,substitution,out,[],1626153,,,1610612764,38,39,2022-10-21T23:56:34Z,2360000,,,0,,SUB out: D. Wright,[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M19.00S,2022-10-21T23:56:17.6Z,2,REGULAR,substitution,in,[],1630166,,,1610612764,38,39,2022-10-21T23:56:34Z,2370000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M19.00S,2022-10-21T23:56:17.6Z,2,REGULAR,substitution,in,[],1628420,,,1610612764,38,39,2022-10-21T23:56:34Z,2380000,,,0,,SUB in: M. Morris,[1628420],1610612764.0,WAS,,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT04M59.00S,2022-10-21T23:56:50.2Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",204001,85.06898817345598,50.49019607843137,1610612764,40,39,2022-10-22T00:16:42Z,2390000,2.0,88.0,1,right,K. Porzingis 8' driving Hook (9 PTS) (B. Beal 3 AST),"[204001, 203078]",1610612764.0,WAS,,driving,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,8.79,Made,9.0,B. Beal,203078.0,3.0,,,,,,,,,,,,,
243,PT04M43.00S,2022-10-21T23:57:05.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,11.613009198423129,49.754901960784316,1610612741,40,39,2022-10-22T00:17:35Z,2410000,1.0,57.0,1,left,MISS J. Green cutting Layup,[1629750],1610612741.0,CHI,,cutting,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,5.67,Missed,,,,,,,,,,,,,,,,,
244,PT04M41.00S,2022-10-21T23:57:07.6Z,2,REGULAR,rebound,defensive,[],1630166,,,1610612764,40,39,2022-10-22T00:17:35Z,2420000,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612764.0,WAS,,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,243.0,2.0,2.0,0.0,,,,,,,,,
245,PT04M36.00S,2022-10-21T23:57:13.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,87.0400788436268,52.450980392156865,1610612764,42,39,2022-10-22T00:17:56Z,2430000,12.0,69.0,1,right,K. Kuzma 7' driving Layup (8 PTS) (B. Beal 4 AST),"[1628398, 203078]",1610612764.0,WAS,,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,7.04,Made,8.0,B. Beal,203078.0,4.0,,,,,,,,,,,,,
247,PT04M21.00S,2022-10-21T23:57:27.5Z,2,REGULAR,3pt,Jump Shot,[],202696,34.346254927726676,52.69607843137255,1610612741,42,39,2022-10-21T23:57:33Z,2450000,-13.0,270.0,1,left,MISS N. Vucevic 27' 3PT,[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,27.07,Missed,,,,,,,,,,,,,,,,,
248,PT04M17.00S,2022-10-21T23:57:31.5Z,2,REGULAR,rebound,defensive,[],1628398,,,1610612764,42,39,2022-10-21T23:57:33Z,2460000,,,0,,K. Kuzma REBOUND (Off:0 Def:4),[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,,,,,247.0,4.0,4.0,0.0,,,,,,,,,
249,PT04M00.00S,2022-10-21T23:57:49.5Z,2,REGULAR,3pt,Jump Shot,[],1628398,74.03088042049934,88.23529411764706,1610612764,42,39,2022-10-21T23:57:54Z,2470000,191.0,192.0,1,right,MISS K. Kuzma 27' 3PT,[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,27.07,Missed,,,,,,,,,,,,,,,,,
250,PT03M56.00S,2022-10-21T23:57:53.2Z,2,REGULAR,rebound,offensive,[],1628398,,,1610612764,42,39,2022-10-21T23:57:53Z,2480000,,,0,,K. Kuzma REBOUND (Off:1 Def:4),[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,249.0,5.0,4.0,1.0,,,,,,,,,
251,PT03M54.00S,2022-10-21T23:57:54.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628398,92.29632063074901,48.0392156862745,1610612764,44,39,2022-10-21T23:57:59Z,2490000,-10.0,20.0,1,right,K. Kuzma driving DUNK (10 PTS),[1628398],1610612764.0,WAS,,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.22,Made,10.0,,,,,,,,,,,,,,,,
252,PT03M47.00S,2022-10-21T23:58:06.4Z,2,REGULAR,foul,personal,[],204001,,,1610612741,44,39,2022-10-21T23:58:19Z,2500000,,,0,,K. Porzingis personal FOUL (2 PF),"[204001, 1630245]",1610612764.0,WAS,101283.0,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Left,,,,,,,,,,,2.0,0.0,Dosunmu,1630245.0,,,,,
254,PT03M47.00S,2022-10-21T23:58:22.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,44,39,2022-10-21T23:58:22Z,2520000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
