actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
377,PT10M13.00S,2025-12-21T02:23:14.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,8.623521681997373,63.48039215686274,1610612764,70,56,2025-12-21T02:23:18Z,3710000,False,-67.0,29.0,1,left,MISS K. Middleton 7' turnaround fadeaway Shot,[203114],1610612764.0,WAS,turnaround fadeaway,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,7.32,Missed,,,,,,,,,,,,,,,,,,
378,PT10M10.00S,2025-12-21T02:23:17.5Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,70,56,2025-12-21T02:24:10Z,3720000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:5),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,377.0,6.0,5.0,1.0,,,,,,,,,,,
379,PT10M05.00S,2025-12-21T02:23:25.5Z,3,REGULAR,foul,personal,['2freethrow'],1642259,,,1610612763,70,56,2025-12-21T02:23:34Z,3730000,False,,,0,,A. Sarr shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1642259, 1628991]",1610612764.0,WAS,shooting,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202026.0,,,,,,,1.0,0.0,Jackson Jr.,1628991.0
381,PT10M05.00S,2025-12-21T02:23:47.7Z,3,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,70,56,2025-12-21T02:23:47Z,3750000,False,,,0,,MISS J. Jackson Jr. Free Throw 1 of 2,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
382,PT10M05.00S,2025-12-21T02:23:47.7Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,70,56,2025-12-21T02:23:47Z,3760000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,381.0,,,,,,,,,,,,,,
383,PT10M05.00S,2025-12-21T02:24:01.3Z,3,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,71,56,2025-12-21T02:24:01Z,3770000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (21 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,21.0,,,,,,,,,,,,,,,,,
384,PT09M49.00S,2025-12-21T02:24:18.0Z,3,REGULAR,3pt,Jump Shot,[],1642273,4.812746386333772,94.6078431372549,1610612764,71,56,2025-12-21T02:24:21Z,3780000,False,-223.0,-7.0,1,left,MISS K. George 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Left Corner 3,24+ Left,22.31,Missed,,,,,,,,,,,,,,,,,,
385,PT09M47.00S,2025-12-21T02:24:20.0Z,3,REGULAR,rebound,defensive,[],1642377,,,1610612763,71,56,2025-12-21T02:24:21Z,3790000,False,,,0,,J. Wells REBOUND (Off:0 Def:4),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,,,,,,384.0,4.0,4.0,0.0,,,,,,,,,,,
386,PT09M38.00S,2025-12-21T02:24:28.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642377,86.81011826544021,64.4607843137255,1610612763,71,56,2025-12-21T02:24:32Z,3800000,False,72.0,71.0,1,right,MISS J. Wells 10' turnaround fadeaway Shot,[1642377],1610612763.0,MEM,turnaround fadeaway,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Right,10.17,Missed,,,,,,,,,,,,,,,,,,
387,PT09M35.00S,2025-12-21T02:24:31.5Z,3,REGULAR,rebound,defensive,[],1642267,,,1610612764,71,56,2025-12-21T02:24:32Z,3810000,False,,,0,,B. Carrington REBOUND (Off:0 Def:5),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Right,,,,,,386.0,5.0,5.0,0.0,,,,,,,,,,,
388,PT09M32.00S,2025-12-21T02:24:34.7Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1642267,31.750985545335087,47.05882352941176,1610612764,71,56,2025-12-21T02:24:38Z,3820000,False,15.0,246.0,1,left,MISS B. Carrington 24' running pullup 3PT,[1642267],1610612764.0,WAS,running pullup,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,24.64,Missed,,,,,,,,,,,,,,,,,,
389,PT09M29.00S,2025-12-21T02:24:37.7Z,3,REGULAR,rebound,defensive,[],1642377,,,1610612763,71,56,2025-12-21T02:24:38Z,3830000,False,,,0,,J. Wells REBOUND (Off:0 Def:5),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Center,,,,,,388.0,5.0,5.0,0.0,,,,,,,,,,,
390,PT09M22.00S,2025-12-21T02:24:47.5Z,3,REGULAR,foul,personal,[],203468,,,1610612763,71,56,2025-12-21T02:24:55Z,3840000,False,,,0,,C. McCollum personal FOUL (2 PF),"[203468, 1630583]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1151.0,,,,,,,2.0,0.0,Aldama,1630583.0
392,PT09M07.00S,2025-12-21T02:25:44.8Z,3,REGULAR,2pt,Jump Shot,[],1642377,91.40932982917214,8.823529411764707,1610612763,71,56,2025-12-21T02:25:50Z,3860000,False,-206.0,28.0,1,right,MISS J. Wells 20' Jump Shot,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,16-24 Left,20.78,Missed,,,,,,,,,,,,,,,,,,
393,PT09M07.00S,2025-12-21T02:25:44.8Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612764,71,56,2025-12-21T02:25:50Z,3870000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Mid-Range,16-24 Left,,,,,,392.0,,,,,,,,,,,,,,
394,PT09M07.00S,2025-12-21T02:25:49.8Z,3,REGULAR,foul,personal,[],1628991,,,1610612764,71,56,2025-12-21T02:25:54Z,3880000,False,,,0,,J. Jackson Jr. loose ball personal FOUL (4 PF),"[1628991, 1642259]",1610612763.0,MEM,loose ball,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,202026.0,,,,,,,4.0,0.0,Sarr,1642259.0
396,PT08M52.00S,2025-12-21T02:26:17.2Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1642259,12.302890932982917,44.36274509803921,1610612764,71,56,2025-12-21T02:26:20Z,3900000,False,28.0,63.0,1,left,MISS A. Sarr 6' turnaround Hook,[1642259],1610612764.0,WAS,turnaround,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,6.91,Missed,,,,,,,,,,,,,,,,,,
397,PT08M49.00S,2025-12-21T02:26:20.2Z,3,REGULAR,rebound,defensive,[],1642285,,,1610612763,71,56,2025-12-21T02:26:20Z,3910000,False,,,0,,C. Spencer REBOUND (Off:0 Def:3),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,In The Paint (Non-RA),0-8 Center,,,,,,396.0,3.0,3.0,0.0,,,,,,,,,,,
398,PT08M42.00S,2025-12-21T02:26:26.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642907,86.81011826544021,40.19607843137255,1610612763,71,56,2025-12-21T02:26:30Z,3920000,False,-49.0,71.0,1,right,MISS C. Coward 8' driving floating Shot,[1642907],1610612763.0,MEM,driving floating,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Left,8.67,Missed,,,,,,,,,,,,,,,,,,
399,PT08M39.00S,2025-12-21T02:26:29.3Z,3,REGULAR,rebound,defensive,[],203114,,,1610612764,71,56,2025-12-21T02:26:30Z,3930000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Left,,,,,,398.0,1.0,1.0,0.0,,,,,,,,,,,
400,PT08M33.00S,2025-12-21T02:26:35.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203114,6.258212877792378,46.32352941176471,1610612764,71,56,2025-12-21T02:26:40Z,3940000,False,18.0,6.0,1,left,MISS K. Middleton driving Layup,[203114],1610612764.0,WAS,driving,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
401,PT08M29.00S,2025-12-21T02:26:39.7Z,3,REGULAR,rebound,offensive,[],1642259,,,1610612764,71,56,2025-12-21T02:26:39Z,3950000,False,,,0,,A. Sarr REBOUND (Off:6 Def:3),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,400.0,9.0,3.0,6.0,,,,,,,,,,,
402,PT08M29.00S,2025-12-21T02:26:39.7Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642259,5.590000152587891,50.0,1610612764,71,58,2025-12-21T02:26:39Z,3960000,False,0.0,0.0,1,left,A. Sarr putback DUNK (8 PTS),[1642259],1610612764.0,WAS,putback,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Left,0.0,Made,8.0,,,,,,,,,,,,,,,,,
403,PT08M22.00S,2025-12-21T02:26:46.5Z,3,REGULAR,3pt,Jump Shot,[],1642907,67.62483574244416,38.72549019607843,1610612763,71,58,2025-12-21T02:26:51Z,3970000,False,-56.0,252.0,1,right,MISS C. Coward 25' 3PT,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Center,25.8,Missed,,,,,,,,,,,,,,,,,,
404,PT08M19.00S,2025-12-21T02:26:49.5Z,3,REGULAR,rebound,offensive,[],1630583,,,1610612763,71,58,2025-12-21T02:26:51Z,3980000,False,,,0,,S. Aldama REBOUND (Off:6 Def:3),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Center,,,,,,403.0,9.0,3.0,6.0,,,,,,,,,,,
405,PT08M17.00S,2025-12-21T02:26:51.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630583,91.5407358738502,47.30392156862745,1610612763,73,58,2025-12-21T02:26:56Z,3990000,False,-13.0,27.0,1,right,S. Aldama tip Layup (26 PTS),[1630583],1610612763.0,MEM,tip,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,3.02,Made,26.0,,,,,,,,,,,,,,,,,
406,PT07M56.00S,2025-12-21T02:27:12.8Z,3,REGULAR,2pt,Jump Shot,[],1642259,9.937582128777924,28.431372549019606,1610612764,73,60,2025-12-21T02:27:17Z,4000000,False,108.0,41.0,1,left,A. Sarr 11' turnaround fadeaway Jump Shot (10 PTS) (K. Middleton 3 AST),"[1642259, 203114]",1610612764.0,WAS,turnaround fadeaway,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Right,11.53,Made,10.0,,,,,,,,,,,K. Middleton,203114.0,3.0,,,,
408,PT07M46.00S,2025-12-21T02:27:22.7Z,3,REGULAR,3pt,Jump Shot,[],1630583,91.80354796320631,94.6078431372549,1610612763,73,60,2025-12-21T02:27:27Z,4020000,False,223.0,25.0,1,right,MISS S. Aldama 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,22.43,Missed,,,,,,,,,,,,,,,,,,
409,PT07M43.00S,2025-12-21T02:27:26.3Z,3,REGULAR,rebound,offensive,[],1642907,,,1610612763,73,60,2025-12-21T02:27:26Z,4030000,False,,,0,,C. Coward REBOUND (Off:1 Def:2),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Right Corner 3,24+ Right,,,,,,408.0,3.0,2.0,1.0,,,,,,,,,,,
410,PT07M32.00S,2025-12-21T02:27:36.5Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1642285,69.99014454664915,21.813725490196077,1610612763,73,60,2025-12-21T02:27:41Z,4040000,False,-141.0,230.0,1,right,MISS C. Spencer 26' step back 3PT,[1642285],1610612763.0,MEM,step back,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Left Center,26.94,Missed,,,,,,,,,,,,,,,,,,
411,PT07M28.00S,2025-12-21T02:27:40.5Z,3,REGULAR,rebound,defensive,[],203114,,,1610612764,73,60,2025-12-21T02:27:41Z,4050000,False,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,,,410.0,2.0,2.0,0.0,,,,,,,,,,,
412,PT07M24.00S,2025-12-21T02:27:44.9Z,3,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612764,73,60,2025-12-21T02:28:07Z,4060000,False,,,0,,J. Jackson Jr. shooting personal FOUL (5 PF) (Middleton 2 FT),"[1628991, 203114]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Center,,,,,,,,,,202026.0,,,,,,,5.0,0.0,Middleton,203114.0
415,PT07M24.00S,2025-12-21T02:29:31.3Z,3,REGULAR,substitution,out,[],1628991,,,1610612764,73,60,2025-12-21T02:29:46Z,4090000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
416,PT07M24.00S,2025-12-21T02:29:31.3Z,3,REGULAR,substitution,out,[],1642907,,,1610612764,73,60,2025-12-21T02:29:46Z,4100000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
417,PT07M24.00S,2025-12-21T02:29:31.3Z,3,REGULAR,substitution,in,[],203484,,,1610612764,73,60,2025-12-21T02:29:46Z,4110000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
418,PT07M24.00S,2025-12-21T02:29:31.3Z,3,REGULAR,substitution,in,[],1629111,,,1610612764,73,60,2025-12-21T02:29:46Z,4120000,False,,,0,,SUB in: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
419,PT07M24.00S,2025-12-21T02:30:15.6Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],203114,,,1610612764,73,61,2025-12-21T02:32:18Z,4130000,False,,,0,,K. Middleton Free Throw 1 of 2 (2 PTS),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
420,PT07M24.00S,2025-12-21T02:30:15.6Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],203114,,,1610612764,73,62,2025-12-21T02:32:18Z,4140000,False,,,0,,K. Middleton Free Throw 2 of 2 (3 PTS),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
426,PT07M08.00S,2025-12-21T02:30:36.0Z,3,REGULAR,3pt,Jump Shot,[],1642285,70.25295663600527,70.58823529411765,1610612763,76,62,2025-12-21T02:34:57Z,4145000,False,103.0,227.0,1,right,C. Spencer 24' 3PT pullup (10 PTS),[1642285],1610612763.0,MEM,pullup,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Right Center,24.93,Made,10.0,,,,,,,,,,,,,,,,,
424,PT07M08.00S,2025-12-21T02:31:08.2Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,76,62,2025-12-21T02:31:08Z,4180000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,PT06M54.00S,2025-12-21T02:34:43.4Z,3,REGULAR,3pt,Jump Shot,[],1642259,32.933639947437584,43.872549019607845,1610612764,76,65,2025-12-21T02:34:46Z,4210000,False,31.0,257.0,1,left,A. Sarr 25' 3PT  (13 PTS) (K. Middleton 4 AST),"[1642259, 203114]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Center,25.89,Made,13.0,,,,,,,,,,,K. Middleton,203114.0,4.0,,,,
430,PT06M34.00S,2025-12-21T02:35:03.9Z,3,REGULAR,3pt,Jump Shot,[],1629111,66.3107752956636,49.754901960784316,1610612763,76,65,2025-12-21T02:35:07Z,4230000,False,-1.0,264.0,1,right,MISS J. Landale 26' 3PT,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,26.42,Missed,,,,,,,,,,,,,,,,,,
431,PT06M31.00S,2025-12-21T02:35:06.9Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612764,76,65,2025-12-21T02:35:07Z,4240000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,430.0,,,,,,,,,,,,,,
433,PT06M21.00S,2025-12-21T02:35:17.8Z,3,REGULAR,3pt,Jump Shot,[],203114,28.86005256241787,23.774509803921568,1610612764,76,68,2025-12-21T02:35:20Z,4260000,False,131.0,219.0,1,left,K. Middleton 25' 3PT  (6 PTS) (A. Sarr 2 AST),"[203114, 1642259]",1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,25.51,Made,6.0,,,,,,,,,,,A. Sarr,1642259.0,2.0,,,,
435,PT06M08.00S,2025-12-21T02:35:31.5Z,3,REGULAR,3pt,Jump Shot,[],203484,67.62483574244416,38.72549019607843,1610612763,76,68,2025-12-21T02:35:35Z,4280000,False,-56.0,252.0,1,right,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,25.8,Missed,,,,,,,,,,,,,,,,,,
436,PT06M05.00S,2025-12-21T02:35:34.5Z,3,REGULAR,rebound,defensive,[],203114,,,1610612764,76,68,2025-12-21T02:35:35Z,4290000,False,,,0,,K. Middleton REBOUND (Off:0 Def:3),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,,,,435.0,3.0,3.0,0.0,,,,,,,,,,,
437,PT05M48.00S,2025-12-21T02:35:51.8Z,3,REGULAR,3pt,Jump Shot,[],203468,2.8416557161629434,3.6764705882352944,1610612764,76,71,2025-12-21T02:35:55Z,4300000,False,232.0,-26.0,1,left,C. McCollum 3PT  (13 PTS) (K. George 4 AST),"[203468, 1642273]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,23.3,Made,13.0,,,,,,,,,,,K. George,1642273.0,4.0,,,,
439,PT05M47.00S,2025-12-21T02:35:56.1Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,76,71,2025-12-21T02:35:56Z,4320000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,PT05M47.00S,2025-12-21T02:38:06.0Z,3,REGULAR,substitution,out,[],1642267,,,1610612763,76,71,2025-12-21T02:38:29Z,4330000,False,,,0,,SUB out: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
442,PT05M47.00S,2025-12-21T02:38:06.0Z,3,REGULAR,substitution,out,[],203114,,,1610612763,76,71,2025-12-21T02:38:29Z,4340000,False,,,0,,SUB out: K. Middleton,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
443,PT05M47.00S,2025-12-21T02:38:06.0Z,3,REGULAR,substitution,in,[],1630551,,,1610612763,76,71,2025-12-21T02:38:29Z,4350000,False,,,0,,SUB in: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
444,PT05M47.00S,2025-12-21T02:38:06.0Z,3,REGULAR,substitution,in,[],1642848,,,1610612763,76,71,2025-12-21T02:38:29Z,4360000,False,,,0,,SUB in: T. Johnson,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
445,PT05M31.00S,2025-12-21T02:39:09.3Z,3,REGULAR,3pt,Jump Shot,[],1642285,71.96123521681997,20.588235294117645,1610612763,79,71,2025-12-21T02:39:12Z,4370000,False,-147.0,211.0,1,right,C. Spencer 25' 3PT  (13 PTS) (K. Caldwell-Pope 2 AST),"[1642285, 203484]",1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Left Center,25.73,Made,13.0,,,,,,,,,,,K. Caldwell-Pope,203484.0,2.0,,,,
447,PT05M14.00S,2025-12-21T02:39:25.5Z,3,REGULAR,3pt,Jump Shot,[],1642848,27.414586070959263,17.892156862745097,1610612764,79,71,2025-12-21T02:39:29Z,4390000,False,161.0,205.0,1,left,MISS T. Johnson 26' 3PT,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Right Center,26.05,Missed,,,,,,,,,,,,,,,,,,
448,PT05M12.00S,2025-12-21T02:39:28.8Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612763,79,71,2025-12-21T02:39:28Z,4400000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,447.0,,,,,,,,,,,,,,
450,PT05M00.00S,2025-12-21T02:39:49.0Z,3,REGULAR,3pt,Jump Shot,[],1642285,65.78515111695138,48.03921568627451,1610612763,79,71,2025-12-21T02:39:52Z,4420000,False,-10.0,269.0,1,right,MISS C. Spencer 26' 3PT,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Center,26.93,Missed,,,,,,,,,,,,,,,,,,
451,PT04M57.00S,2025-12-21T02:39:52.0Z,3,REGULAR,rebound,defensive,[],1642848,,,1610612764,79,71,2025-12-21T02:39:52Z,4430000,False,,,0,,T. Johnson REBOUND (Off:0 Def:3),[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Center,,,,,,450.0,3.0,3.0,0.0,,,,,,,,,,,
452,PT04M55.00S,2025-12-21T02:39:53.7Z,3,REGULAR,turnover,lost ball,[],1642848,,,1610612764,79,71,2025-12-21T02:39:56Z,4440000,False,,,0,,T. Johnson lost ball TURNOVER (2 TO),"[1642848, 1630583]",1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2.0,Aldama,1630583.0,,,,,,,
453,PT04M55.00S,2025-12-21T02:39:53.7Z,3,REGULAR,steal,,[],1630583,,,1610612763,79,71,2025-12-21T02:39:55Z,4450000,False,,,0,,S. Aldama STEAL (1 STL),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
454,PT04M52.00S,2025-12-21T02:39:57.0Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630583,74.72076215505913,85.7843137254902,1610612763,82,71,2025-12-21T02:40:00Z,4460000,False,179.0,185.0,1,right,S. Aldama 25' 3PT  (29 PTS) (C. Spencer 10 AST),"[1630583, 1642285]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,25.74,Made,29.0,,,,,,,,,,,C. Spencer,1642285.0,10.0,,,,
456,PT04M28.00S,2025-12-21T02:40:23.1Z,3,REGULAR,turnover,out-of-bounds,[],1642848,,,1610612764,82,71,2025-12-21T02:40:27Z,4480000,False,,,0,,T. Johnson lost ball out-of-bounds TURNOVER (3 TO),[1642848],1610612764.0,WAS,lost ball,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,1151.0,3.0,,,,,,,,,
457,PT04M28.00S,2025-12-21T02:40:25.6Z,3,REGULAR,substitution,out,[],1642259,,,1610612763,82,71,2025-12-21T02:40:37Z,4490000,False,,,0,,SUB out: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
458,PT04M28.00S,2025-12-21T02:40:25.6Z,3,REGULAR,substitution,in,[],1628963,,,1610612763,82,71,2025-12-21T02:40:37Z,4500000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
459,PT04M12.00S,2025-12-21T02:40:57.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629111,92.46057818659659,51.9607843137255,1610612763,82,71,2025-12-21T02:41:01Z,4510000,False,10.0,18.0,1,right,MISS J. Landale cutting Layup - blocked,"[1629111, 1630551]",1610612763.0,MEM,cutting,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,2.08,Missed,,Champagnie,1630551.0,,,,,,,,,,,,,,,
460,PT04M12.00S,2025-12-21T02:40:57.8Z,3,REGULAR,block,,[],1630551,,,1610612763,82,71,2025-12-21T02:40:59Z,4520000,False,,,0,,J. Champagnie BLOCK (1 BLK),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
461,PT04M09.00S,2025-12-21T02:41:00.8Z,3,REGULAR,rebound,defensive,[],1630551,,,1610612764,82,71,2025-12-21T02:41:01Z,4530000,False,,,0,,J. Champagnie REBOUND (Off:3 Def:4),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,459.0,7.0,4.0,3.0,,,,,,,,,,,
462,PT04M01.00S,2025-12-21T02:41:12.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642273,18.347568988173457,48.529411764705884,1610612764,82,73,2025-12-21T02:41:16Z,4540000,False,7.0,120.0,1,left,K. George 12' pullup Jump Shot (8 PTS) (C. McCollum 4 AST),"[1642273, 203468]",1610612764.0,WAS,pullup,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,12.02,Made,8.0,,,,,,,,,,,C. McCollum,203468.0,4.0,,,,
463,PT04M01.00S,2025-12-21T02:41:15.3Z,3,REGULAR,foul,personal,['1freethrow'],1642285,,,1610612764,82,73,2025-12-21T02:41:26Z,4550000,False,,,0,,C. Spencer shooting personal FOUL (1 PF) (George 1 FT),"[1642285, 1642273]",1610612763.0,MEM,shooting,,,Spencer,C. Spencer,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1151.0,,,,,,,1.0,0.0,George,1642273.0
465,PT04M01.00S,2025-12-21T02:41:20.9Z,3,REGULAR,substitution,out,[],1630583,,,1610612764,82,73,2025-12-21T02:42:06Z,4570000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
