actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
26,PT09M37.00S,2024-02-11T19:13:40.2Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,5,2,2024-02-11T19:13:47Z,260000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,
27,PT09M31.00S,2024-02-11T19:13:47.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,90.75229960578186,67.8921568627451,1610612738,5,4,2024-02-11T19:13:52Z,270000,False,89.0,34.0,1,right,J. Brown 9' turnaround fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,9.59,Made,2.0,,,,,,,,,,,,,,,,,
28,PT09M18.00S,2024-02-11T19:14:02.7Z,1,REGULAR,foul,personal,['2freethrow'],201950,,,1610612748,5,4,2024-02-11T19:14:12Z,280000,False,,,0,,J. Holiday shooting personal FOUL (1 PF) (Adebayo 2 FT),"[201950, 1628389]",1610612738.0,BOS,shooting,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,201638.0,,1.0,0.0,Adebayo,1628389.0,,,,
30,PT09M18.00S,2024-02-11T19:14:37.8Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,6,4,2024-02-11T19:14:37Z,300000,False,,,0,,B. Adebayo Free Throw 1 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
31,PT09M18.00S,2024-02-11T19:14:57.7Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,7,4,2024-02-11T19:14:57Z,310000,False,,,0,,B. Adebayo Free Throw 2 of 2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
32,PT08M59.00S,2024-02-11T19:15:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,87.86136662286465,46.07843137254902,1610612738,7,4,2024-02-11T19:16:08Z,320000,False,-20.0,62.0,1,right,MISS J. Tatum 6' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,6.46,Missed,,,,,,,,,,,,,,,,,,
33,PT08M57.00S,2024-02-11T19:15:19.7Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,7,4,2024-02-11T19:15:23Z,330000,False,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,
34,PT08M54.00S,2024-02-11T19:15:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,91.80354796320631,57.107843137254896,1610612738,7,6,2024-02-11T19:17:56Z,340000,False,36.0,25.0,1,right,J. Tatum putback Layup (4 PTS),[1628369],1610612738.0,BOS,putback,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,4.31,Made,4.0,,,,,,,,,,,,,,,,,
35,PT08M42.00S,2024-02-11T19:15:34.2Z,1,REGULAR,3pt,Jump Shot,[],1631170,10.200394218134035,1.4705882352941175,1610612748,7,6,2024-02-11T19:15:37Z,350000,False,243.0,43.0,1,left,MISS J. Jaquez Jr. 24' 3PT,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Right Corner 3,24+ Right,24.65,Missed,,,,,,,,,,,,,,,,,,
36,PT08M42.00S,2024-02-11T19:15:34.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,6,2024-02-11T19:15:37Z,360000,False,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,
