actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
170,PT08M19.00S,2024-01-11T01:13:55.6Z,2,REGULAR,rebound,defensive,[],201567,,,1610612748,46,41,2024-01-11T01:13:56Z,1670000,False,,,0,,K. Love REBOUND (Off:1 Def:2),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Mid-Range,16-24 Left Center,,,169.0,3.0,2.0,1.0,,,,,,,,,,,,,,
171,PT08M06.00S,2024-01-11T01:14:08.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,10.988830486202366,43.872549019607845,1610612748,46,41,2024-01-11T01:14:35Z,1680000,False,31.0,51.0,1,left,MISS B. Adebayo driving reverse Layup,[1628389],1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.93,Missed,,,,,,,,,,,,,,,,,,
172,PT08M03.00S,2024-01-11T01:14:11.8Z,2,REGULAR,rebound,defensive,[],1631114,,,1610612760,46,41,2024-01-11T01:14:13Z,1690000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,171.0,2.0,2.0,0.0,,,,,,,,,,,,,,
173,PT08M03.00S,2024-01-11T01:14:16.7Z,2,REGULAR,foul,personal,['2freethrow'],1626196,,,1610612760,46,41,2024-01-11T01:14:28Z,1700000,False,,,0,,J. Richardson shooting personal FOUL (1 PF) (Dort 2 FT),"[1626196, 1629652]",1610612748.0,MIA,shooting,,,Richardson,J. Richardson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,202007.0,,1.0,0.0,,,Dort,1629652.0,,
175,PT08M03.00S,2024-01-11T01:14:43.0Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1629652,,,1610612760,46,41,2024-01-11T01:16:11Z,1720000,False,,,0,,MISS L. Dort Free Throw 1 of 2,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
176,PT08M03.00S,2024-01-11T01:14:43.0Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,46,41,2024-01-11T01:16:11Z,1730000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,
177,PT08M03.00S,2024-01-11T01:14:44.0Z,2,REGULAR,substitution,out,[],201567,,,1610612760,46,41,2024-01-11T01:14:54Z,1740000,False,,,0,,SUB out: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT08M03.00S,2024-01-11T01:14:44.0Z,2,REGULAR,substitution,in,[],1631107,,,1610612760,46,41,2024-01-11T01:14:54Z,1750000,False,,,0,,SUB in: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT08M03.00S,2024-01-11T01:14:43.0Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1629652,,,1610612760,46,42,2024-01-11T01:16:11Z,1760000,False,,,0,,L. Dort Free Throw 2 of 2 (3 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
180,PT07M53.00S,2024-01-11T01:15:17.4Z,2,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612748,46,42,2024-01-11T01:15:31Z,1770000,False,,,0,,L. Dort shooting personal FOUL (2 PF) (Jaquez Jr. 2 FT),"[1629652, 1631170]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,,2.0,0.0,,,Jaquez Jr.,1631170.0,,
182,PT07M53.00S,2024-01-11T01:15:39.5Z,2,REGULAR,freethrow,1 of 2,[],1631170,,,1610612748,46,42,2024-01-11T01:15:39Z,1790000,False,,,0,,MISS J. Jaquez Jr. Free Throw 1 of 2,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
183,PT07M53.00S,2024-01-11T01:15:39.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,46,42,2024-01-11T01:15:39Z,1800000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,182.0,,,,,,,,,,,,,,,,,
184,PT07M53.00S,2024-01-11T01:15:54.9Z,2,REGULAR,freethrow,2 of 2,[],1631170,,,1610612748,47,42,2024-01-11T01:15:54Z,1810000,False,,,0,,J. Jaquez Jr. Free Throw 2 of 2 (5 PTS),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
185,PT07M41.00S,2024-01-11T01:16:08.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203995,89.83245729303549,58.08823529411765,1610612760,47,44,2024-01-11T01:16:21Z,1820000,False,40.0,43.0,1,right,V. Micic driving floating bank Jump Shot (2 PTS),[203995],1610612760.0,OKC,driving floating bank,,,Micic,V. Micic,,,,,In The Paint (Non-RA),0-8 Center,5.91,Made,,,,,2.0,,,,,,,,,,,,,
186,PT07M19.00S,2024-01-11T01:16:29.2Z,2,REGULAR,3pt,Jump Shot,[],1626196,18.74178712220762,93.13725490196079,1610612748,50,44,2024-01-11T01:16:32Z,1830000,False,-216.0,124.0,1,left,J. Richardson 24' 3PT  (6 PTS) (N. Jovic 2 AST),"[1626196, 1631107]",1610612748.0,MIA,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,24.87,Made,,,,,6.0,N. Jovic,1631107.0,2.0,,,,,,,,,,
188,PT07M12.00S,2024-01-11T01:16:37.0Z,2,REGULAR,2pt,Jump Shot,[],1630598,89.43823915900131,29.411764705882355,1610612760,50,44,2024-01-11T01:17:54Z,1850000,False,-103.0,47.0,1,right,MISS A. Wiggins 11' driving floating bank Shot,[1630598],1610612760.0,OKC,driving floating bank,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,11.3,Missed,,,,,,,,,,,,,,,,,,
189,PT07M09.00S,2024-01-11T01:16:40.0Z,2,REGULAR,rebound,defensive,[],1626196,,,1610612748,50,44,2024-01-11T01:16:41Z,1860000,False,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612748.0,MIA,,,,Richardson,J. Richardson,,,,,Mid-Range,8-16 Left,,,188.0,1.0,1.0,0.0,,,,,,,,,,,,,,
190,PT07M06.00S,2024-01-11T01:16:43.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631107,32.53942181340342,26.225490196078432,1610612748,53,44,2024-01-11T02:43:49Z,1870000,False,119.0,253.0,1,left,N. Jovic 27' 3PT running (6 PTS) (J. Richardson 2 AST),"[1631107, 1626196]",1610612748.0,MIA,running,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,27.99,Made,,,,,6.0,J. Richardson,1626196.0,2.0,,,,,,,,,,
192,PT07M06.00S,2024-01-11T01:16:49.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,53,44,2024-01-11T01:16:49Z,1890000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT07M06.00S,2024-01-11T01:19:10.2Z,2,REGULAR,substitution,out,[],1631096,,,1610612760,53,44,2024-01-11T01:19:29Z,1900000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT07M06.00S,2024-01-11T01:19:10.2Z,2,REGULAR,substitution,out,[],1630598,,,1610612760,53,44,2024-01-11T01:19:29Z,1910000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT07M06.00S,2024-01-11T01:19:10.2Z,2,REGULAR,substitution,in,[],1631119,,,1610612760,53,44,2024-01-11T01:19:29Z,1920000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT07M06.00S,2024-01-11T01:19:10.2Z,2,REGULAR,substitution,in,[],1630581,,,1610612760,53,44,2024-01-11T01:19:29Z,1930000,False,,,0,,SUB in: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT06M43.00S,2024-01-11T01:20:04.8Z,2,REGULAR,3pt,Jump Shot,[],1631114,72.7496714848883,79.65686274509804,1610612760,53,47,2024-01-11T01:20:10Z,1940000,False,148.0,204.0,1,right,J. Williams 25' 3PT  (9 PTS) (J. Williams 3 AST),"[1631114, 1631119]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,25.2,Made,,,,,9.0,J. Williams,1631119.0,3.0,,,,,,,,,,
199,PT06M24.00S,2024-01-11T01:20:25.5Z,2,REGULAR,turnover,out-of-bounds,[],1629130,,,1610612748,53,47,2024-01-11T01:20:31Z,1960000,False,,,0,,D. Robinson bad pass out-of-bounds TURNOVER (1 TO),[1629130],1610612748.0,MIA,bad pass,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1630886.0,1.0,,,,,,,,
200,PT06M24.00S,2024-01-11T01:20:28.1Z,2,REGULAR,substitution,out,[],1626196,,,1610612760,53,47,2024-01-11T01:20:45Z,1970000,False,,,0,,SUB out: J. Richardson,[1626196],1610612748.0,MIA,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT06M24.00S,2024-01-11T01:20:28.1Z,2,REGULAR,substitution,out,[],1631170,,,1610612760,53,47,2024-01-11T01:20:45Z,1980000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT06M24.00S,2024-01-11T01:20:28.1Z,2,REGULAR,substitution,in,[],1629639,,,1610612760,53,47,2024-01-11T01:20:45Z,1990000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT06M24.00S,2024-01-11T01:20:28.1Z,2,REGULAR,substitution,in,[],1629312,,,1610612760,53,47,2024-01-11T01:20:45Z,2000000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT06M10.00S,2024-01-11T01:21:05.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,69.99014454664915,21.568627450980394,1610612760,53,50,2024-01-11T01:21:09Z,2010000,False,-142.0,230.0,1,right,L. Dort 27' 3PT  (6 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,27.01,Made,,,,,6.0,J. Giddey,1630581.0,1.0,,,,,,,,,,
206,PT05M59.00S,2024-01-11T01:21:23.3Z,2,REGULAR,foul,personal,[],1629652,,,1610612748,53,50,2024-01-11T01:21:36Z,2030000,False,,,0,,L. Dort personal FOUL (3 PF),"[1629652, 1628389]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,,,,,,,202007.0,,3.0,0.0,,,Adebayo,1628389.0,,
208,PT05M45.00S,2024-01-11T01:21:57.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629312,10.068988173455978,53.92156862745098,1610612748,55,50,2024-01-11T01:22:01Z,2050000,False,-20.0,42.0,1,left,H. Highsmith cutting DUNK (10 PTS) (B. Adebayo 3 AST),"[1629312, 1628389]",1610612748.0,MIA,cutting,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,4.64,Made,,,,,10.0,B. Adebayo,1628389.0,3.0,,,,,,,,,,
210,PT05M28.00S,2024-01-11T01:22:15.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203995,90.75229960578186,55.14705882352941,1610612760,55,52,2024-01-11T01:22:22Z,2070000,False,26.0,34.0,1,right,V. Micic driving floating bank Jump Shot (4 PTS) (J. Williams 5 AST),"[203995, 1631114]",1610612760.0,OKC,driving floating bank,,,Micic,V. Micic,,,,,Restricted Area,0-8 Center,4.29,Made,,,,,4.0,J. Williams,1631114.0,5.0,,,,,,,,,,
212,PT05M12.00S,2024-01-11T01:22:30.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629312,9.149145860709593,56.372549019607845,1610612748,55,52,2024-01-11T01:22:49Z,2090000,False,-32.0,34.0,1,left,MISS H. Highsmith reverse Layup,[1629312],1610612748.0,MIA,reverse,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,4.63,Missed,,,,,,,,,,,,,,,,,,
213,PT05M10.00S,2024-01-11T01:22:32.7Z,2,REGULAR,rebound,offensive,[],1629312,,,1610612748,55,52,2024-01-11T01:22:32Z,2100000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,,,212.0,2.0,1.0,1.0,,,,,,,,,,,,,,
214,PT05M07.00S,2024-01-11T01:22:35.3Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1629639,24.917871222076215,45.34313725490196,1610612748,55,52,2024-01-11T01:23:35Z,2110000,False,23.0,182.0,1,left,MISS T. Herro 18' turnaround Shot,[1629639],1610612748.0,MIA,turnaround,,,Herro,T. Herro,,,,,Mid-Range,16-24 Center,18.32,Missed,,,,,,,,,,,,,,,,,,
215,PT05M05.00S,2024-01-11T01:22:37.3Z,2,REGULAR,rebound,offensive,[],1628389,,,1610612748,55,52,2024-01-11T01:23:35Z,2120000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,214.0,3.0,1.0,2.0,,,,,,,,,,,,,,
216,PT05M02.00S,2024-01-11T01:22:40.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,7.5722733245729295,95.09803921568627,1610612748,55,52,2024-01-11T01:22:44Z,2130000,False,-225.0,19.0,1,left,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Left Corner 3,24+ Left,22.63,Missed,,,,,,,,,,,,,,,,,,
217,PT04M59.00S,2024-01-11T01:22:43.6Z,2,REGULAR,rebound,defensive,[],1630581,,,1610612760,55,52,2024-01-11T01:22:44Z,2140000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,216.0,1.0,1.0,0.0,,,,,,,,,,,,,,
220,PT04M48.00S,2024-01-11T01:23:01.9Z,2,REGULAR,turnover,traveling,[],1630581,,,1610612760,55,52,2024-01-11T01:23:07Z,2170000,False,,,0,,J. Giddey traveling TURNOVER (1 TO),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1630886.0,1.0,,,,,,,,
221,PT04M48.00S,2024-01-11T01:23:05.1Z,2,REGULAR,substitution,out,[],203995,,,1610612748,55,52,2024-01-11T01:23:08Z,2180000,False,,,0,,SUB out: V. Micic,[203995],1610612760.0,OKC,,,,Micic,V. Micic,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT04M48.00S,2024-01-11T01:23:05.1Z,2,REGULAR,substitution,in,[],1630198,,,1610612748,55,52,2024-01-11T01:23:08Z,2190000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT04M31.00S,2024-01-11T01:23:28.7Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629639,8.492115637319317,22.794117647058822,1610612748,57,52,2024-01-11T01:23:40Z,2200000,False,136.0,27.0,1,left,T. Herro 13' pullup Jump Shot (11 PTS) (B. Adebayo 4 AST),"[1629639, 1628389]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Mid-Range,8-16 Right,13.87,Made,,,,,11.0,B. Adebayo,1628389.0,4.0,,,,,,,,,,
224,PT04M18.00S,2024-01-11T01:23:42.3Z,2,REGULAR,3pt,Jump Shot,[],1629652,94.56307490144546,96.81372549019608,1610612760,57,52,2024-01-11T01:23:46Z,2210000,False,234.0,-1.0,1,right,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,23.41,Missed,,,,,,,,,,,,,,,,,,
225,PT04M15.00S,2024-01-11T01:23:45.0Z,2,REGULAR,rebound,defensive,[],1631107,,,1610612748,57,52,2024-01-11T01:23:45Z,2220000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Right Corner 3,24+ Right,,,224.0,1.0,1.0,0.0,,,,,,,,,,,,,,
226,PT04M11.00S,2024-01-11T01:23:50.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,10.988830486202366,50.0,1610612748,59,52,2024-01-11T01:26:03Z,2230000,False,0.0,51.0,1,left,N. Jovic driving Layup (8 PTS) (B. Adebayo 5 AST),"[1631107, 1628389]",1610612748.0,MIA,driving,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,5.08,Made,,,,,8.0,B. Adebayo,1628389.0,5.0,,,,,,,,,,
229,PT03M53.00S,2024-01-11T01:24:06.4Z,2,REGULAR,3pt,Jump Shot,[],1630198,73.9323258869908,82.1078431372549,1610612760,59,55,2024-01-11T01:24:10Z,2250000,False,161.0,193.0,1,right,I. Joe 25' 3PT  (5 PTS) (J. Williams 6 AST),"[1630198, 1631114]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,25.06,Made,,,,,5.0,J. Williams,1631114.0,6.0,,,,,,,,,,
231,PT03M36.00S,2024-01-11T01:24:23.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,12.171484888304862,56.61764705882353,1610612748,59,55,2024-01-11T01:26:34Z,2270000,False,-33.0,62.0,1,left,MISS T. Herro 7' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,7.02,Missed,,,,,,,,,,,,,,,,,,
232,PT03M36.00S,2024-01-11T01:24:23.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,59,55,2024-01-11T01:32:06Z,2280000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,231.0,,,,,,,,,,,,,,,,,
234,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,out,[],1628389,,,1610612748,59,55,2024-01-11T01:24:57Z,2300000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,out,[],1630581,,,1610612748,59,55,2024-01-11T01:24:57Z,2310000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,out,[],1629652,,,1610612748,59,55,2024-01-11T01:24:57Z,2320000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,out,[],1631119,,,1610612748,59,55,2024-01-11T01:24:57Z,2330000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,out,[],1631114,,,1610612748,59,55,2024-01-11T01:24:57Z,2340000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,in,[],201567,,,1610612748,59,55,2024-01-11T01:24:57Z,2350000,False,,,0,,SUB in: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,in,[],1628983,,,1610612748,59,55,2024-01-11T01:24:57Z,2360000,False,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,in,[],1641717,,,1610612748,59,55,2024-01-11T01:24:57Z,2370000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,in,[],1631096,,,1610612748,59,55,2024-01-11T01:24:57Z,2380000,False,,,0,,SUB in: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT03M36.00S,2024-01-11T01:24:33.6Z,2,REGULAR,substitution,in,[],1629026,,,1610612748,59,55,2024-01-11T01:24:57Z,2390000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT03M33.00S,2024-01-11T01:25:05.7Z,2,REGULAR,foul,personal,[],1641717,,,1610612748,59,55,2024-01-11T01:25:30Z,2400000,False,,,0,,C. Wallace personal FOUL (1 PF),"[1641717, 201567]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,,1.0,0.0,,,Love,201567.0,,
246,PT03M23.00S,2024-01-11T01:25:39.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631107,10.200394218134035,41.66666666666667,1610612748,61,55,2024-01-11T01:32:09Z,2420000,False,42.0,43.0,1,left,N. Jovic 6' cutting Layup (10 PTS) (T. Herro 2 AST),"[1631107, 1629639]",1610612748.0,MIA,cutting,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,6.02,Made,,,,,10.0,T. Herro,1629639.0,2.0,,,,,,,,,,
248,PT03M12.00S,2024-01-11T01:25:49.3Z,2,REGULAR,3pt,Jump Shot,[],1631096,71.82982917214193,17.15686274509804,1610612760,61,55,2024-01-11T01:25:58Z,2440000,False,-164.0,212.0,1,right,MISS C. Holmgren 26' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,26.84,Missed,,,,,,,,,,,,,,,,,,
249,PT03M07.00S,2024-01-11T01:25:54.6Z,2,REGULAR,rebound,offensive,[],1630198,,,1610612760,61,55,2024-01-11T01:25:54Z,2450000,False,,,0,,I. Joe REBOUND (Off:1 Def:1),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,,,248.0,2.0,1.0,1.0,,,,,,,,,,,,,,
250,PT02M59.00S,2024-01-11T01:26:03.4Z,2,REGULAR,foul,personal,['2freethrow'],1631107,,,1610612760,61,55,2024-01-11T01:26:25Z,2460000,False,,,0,,N. Jovic shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1631107, 1628983]",1610612748.0,MIA,shooting,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,,2.0,0.0,,,Gilgeous-Alexander,1628983.0,,
252,PT02M59.00S,2024-01-11T01:26:17.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,61,55,2024-01-11T01:26:17Z,2480000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT02M59.00S,2024-01-11T01:29:16.6Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1628983,,,1610612760,61,55,2024-01-11T01:33:12Z,2490000,False,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
254,PT02M59.00S,2024-01-11T01:29:16.6Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,61,55,2024-01-11T01:33:12Z,2500000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,253.0,,,,,,,,,,,,,,,,,
255,PT02M59.00S,2024-01-11T01:29:16.6Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1628983,,,1610612760,61,56,2024-01-11T01:33:12Z,2510000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (12 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
256,PT02M43.00S,2024-01-11T01:29:47.5Z,2,REGULAR,3pt,Jump Shot,[],201567,31.225361366622867,36.27450980392157,1610612748,61,56,2024-01-11T01:29:52Z,2520000,False,69.0,241.0,1,left,MISS K. Love 25' 3PT,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,25.06,Missed,,,,,,,,,,,,,,,,,,
257,PT02M41.00S,2024-01-11T01:29:49.5Z,2,REGULAR,rebound,defensive,[],1631096,,,1610612760,61,56,2024-01-11T01:29:52Z,2530000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Center,,,256.0,2.0,2.0,0.0,,,,,,,,,,,,,,
258,PT02M29.00S,2024-01-11T01:30:01.5Z,2,REGULAR,3pt,Jump Shot,[],1630198,68.67608409986859,63.970588235294116,1610612760,61,59,2024-01-11T01:30:08Z,2540000,False,70.0,242.0,1,right,I. Joe 25' 3PT  (8 PTS) (C. Holmgren 2 AST),"[1630198, 1631096]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Center,25.18,Made,,,,,8.0,C. Holmgren,1631096.0,2.0,,,,,,,,,,
