actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
171,PT09M14.00S,2022-10-29T02:45:56.8Z,2,REGULAR,rebound,defensive,[],1627814,,,1610612756,29,29,2022-10-29T02:45:59Z,1700000,,,0,,D. Lee REBOUND (Off:0 Def:1),[1627814],1610612756.0,PHX,,,,Lee,D. Lee,,,,,In The Paint (Non-RA),0-8 Center,,,,170.0,1.0,1.0,0.0,,,,,,,,,,,,,
172,PT09M10.00S,2022-10-29T02:46:01.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1626166,29.6484888304862,74.01960784313727,1610612756,29,29,2022-10-29T02:47:12Z,1710000,-120.0,226.0,1,left,MISS C. Payne 25' running pullup 3PT,[1626166],1610612756.0,PHX,running pullup,,,Payne,C. Payne,,,,,Above the Break 3,24+ Left Center,25.61,Missed,,,,,,,,,,,,,,,,,,
173,PT09M07.00S,2022-10-29T02:46:04.0Z,2,REGULAR,rebound,offensive,[],1628470,,,1610612756,29,29,2022-10-29T02:47:12Z,1720000,,,0,,T. Craig REBOUND (Off:3 Def:1),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Left Center,,,,172.0,4.0,1.0,3.0,,,,,,,,,,,,,
174,PT09M07.00S,2022-10-29T02:46:04.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628470,5.995400788436268,47.549019607843135,1610612756,31,29,2022-10-29T02:46:22Z,1730000,12.0,4.0,1,left,T. Craig putback Layup (9 PTS),[1628470],1610612756.0,PHX,putback,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,1.29,Made,9.0,,,,,,,,,,,,,,,,,
184,PT08M52.00S,2022-10-29T02:46:15.2Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612740,31,29,2022-10-29T02:47:02Z,1735000,,,0,,TEAM delay-of-game VIOLATION,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT08M52.00S,2022-10-29T02:46:25.7Z,2,REGULAR,foul,offensive,[],1626204,,,1610612740,31,29,2022-10-29T02:46:45Z,1740000,,,0,,L. Nance Jr. offensive FOUL (2 PF),"[1626204, 1627814]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,2534.0,2.0,0.0,Lee,1627814.0,,,,,,,,
177,PT08M52.00S,2022-10-29T02:46:25.7Z,2,REGULAR,turnover,offensive foul,[],1626204,,,1610612740,31,29,2022-10-29T02:46:25Z,1760000,,,0,,L. Nance Jr. offensive foul TURNOVER (2 TO),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,2534.0,,,,,2.0,,,,,,,
178,PT08M52.00S,2022-10-29T02:46:34.7Z,2,REGULAR,substitution,out,[],1629637,,,1610612756,31,29,2022-10-29T02:46:49Z,1770000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT08M52.00S,2022-10-29T02:46:34.7Z,2,REGULAR,substitution,out,[],1630631,,,1610612756,31,29,2022-10-29T02:46:49Z,1780000,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT08M52.00S,2022-10-29T02:46:34.7Z,2,REGULAR,substitution,out,[],202066,,,1610612756,31,29,2022-10-29T02:46:49Z,1790000,,,0,,SUB out: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT08M52.00S,2022-10-29T02:46:34.7Z,2,REGULAR,substitution,in,[],203468,,,1610612756,31,29,2022-10-29T02:46:49Z,1800000,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT08M52.00S,2022-10-29T02:46:34.7Z,2,REGULAR,substitution,in,[],1630230,,,1610612756,31,29,2022-10-29T02:46:49Z,1810000,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT08M52.00S,2022-10-29T02:46:34.7Z,2,REGULAR,substitution,in,[],1630530,,,1610612756,31,29,2022-10-29T02:46:49Z,1820000,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT08M41.00S,2022-10-29T02:47:16.9Z,2,REGULAR,foul,personal,[],1630530,,,1610612756,31,29,2022-10-29T02:47:26Z,1830000,,,0,,T. Murphy III personal FOUL (1 PF),"[1630530, 1629111]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,1627963.0,1.0,0.0,Landale,1629111.0,,,,,,,,
187,PT08M41.00S,2022-10-29T02:47:24.0Z,2,REGULAR,substitution,out,[],1626204,,,1610612756,31,29,2022-10-29T02:47:27Z,1850000,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M41.00S,2022-10-29T02:47:24.0Z,2,REGULAR,substitution,in,[],1626195,,,1610612756,31,29,2022-10-29T02:47:27Z,1860000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT08M26.00S,2022-10-29T02:47:49.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629013,24.917871222076215,13.23529411764706,1610612756,31,29,2022-10-29T02:47:54Z,1870000,184.0,182.0,1,left,MISS L. Shamet 25' step back 3PT,[1629013],1610612756.0,PHX,step back,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,,
190,PT08M23.00S,2022-10-29T02:47:51.7Z,2,REGULAR,rebound,defensive,[],1626195,,,1610612740,31,29,2022-10-29T02:47:51Z,1880000,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,Above the Break 3,24+ Right Center,,,,189.0,1.0,1.0,0.0,,,,,,,,,,,,,
191,PT08M01.00S,2022-10-29T02:48:14.3Z,2,REGULAR,2pt,Jump Shot,[],203468,86.15308804204993,81.12745098039215,1610612740,31,29,2022-10-29T02:48:21Z,1890000,156.0,78.0,1,right,MISS C. McCollum 17' Jump Shot,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Right,17.39,Missed,,,,,,,,,,,,,,,,,,
192,PT07M58.00S,2022-10-29T02:48:17.7Z,2,REGULAR,rebound,offensive,[],1630230,,,1610612740,31,29,2022-10-29T02:48:17Z,1900000,,,0,,N. Marshall REBOUND (Off:1 Def:0),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Right,,,,191.0,1.0,0.0,1.0,,,,,,,,,,,,,
193,PT07M58.00S,2022-10-29T02:48:18.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630230,91.5407358738502,43.38235294117647,1610612740,31,29,2022-10-29T02:48:26Z,1910000,-33.0,27.0,1,right,MISS N. Marshall tip Layup,[1630230],1610612740.0,NOP,tip,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,4.27,Missed,,,,,,,,,,,,,,,,,,
194,PT07M58.00S,2022-10-29T02:48:18.3Z,2,REGULAR,rebound,offensive,[],1626195,,,1610612740,31,29,2022-10-29T02:53:19Z,1920000,,,0,,W. Hernangomez REBOUND (Off:1 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,,,,193.0,2.0,1.0,1.0,,,,,,,,,,,,,
218,PT07M58.00S,2022-10-29T02:48:23.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626195,90.75229960578186,48.77450980392157,1610612740,31,29,2022-10-29T02:54:15Z,1925000,-6.0,34.0,1,right,MISS W. Hernangomez Layup - blocked,"[1626195, 1626166]",1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,3.49,Missed,,,,,,,,,,,,,,,,,Payne,1626166.0
219,PT07M58.00S,2022-10-29T02:48:23.3Z,2,REGULAR,block,,[],1626166,,,1610612740,31,29,2022-10-29T03:07:43Z,1927500,,,0,,C. Payne BLOCK (1 BLK),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
220,PT07M58.00S,2022-10-29T02:48:23.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612756,31,29,2022-10-29T02:54:15Z,1928750,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,,218.0,,,,,,,,,,,,,,,,
195,PT07M58.00S,2022-10-29T02:48:28.3Z,2,REGULAR,substitution,out,[],1629013,,,1610612756,31,29,2022-10-29T02:54:15Z,1930000,,,0,,SUB out: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT07M58.00S,2022-10-29T02:48:28.3Z,2,REGULAR,substitution,out,[],1626166,,,1610612756,31,29,2022-10-29T02:54:15Z,1940000,,,0,,SUB out: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT07M58.00S,2022-10-29T02:48:28.3Z,2,REGULAR,substitution,in,[],101108,,,1610612756,31,29,2022-10-29T02:54:15Z,1950000,,,0,,SUB in: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT07M58.00S,2022-10-29T02:48:28.3Z,2,REGULAR,substitution,in,[],1628969,,,1610612756,31,29,2022-10-29T02:54:15Z,1960000,,,0,,SUB in: M. Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT07M35.00S,2022-10-29T02:49:17.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628470,5.863994743758213,50.49019607843137,1610612756,33,29,2022-10-29T02:49:23Z,1970000,-2.0,3.0,1,left,T. Craig cutting DUNK (11 PTS) (M. Bridges 2 AST),"[1628470, 1628969]",1610612756.0,PHX,cutting,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,0.36,Made,11.0,,,,,,,,,,,,,M. Bridges,1628969.0,2.0,,
201,PT07M21.00S,2022-10-29T02:49:31.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203468,91.01511169513797,48.28431372549019,1610612740,33,31,2022-10-29T02:49:37Z,1990000,-9.0,32.0,1,right,C. McCollum driving finger roll Layup (6 PTS),[203468],1610612740.0,NOP,driving finger roll,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,3.31,Made,6.0,,,,,,,,,,,,,,,,,
202,PT07M10.00S,2022-10-29T02:49:41.9Z,2,REGULAR,3pt,Jump Shot,[],1628969,11.251642575558476,3.6764705882352944,1610612756,33,31,2022-10-29T02:49:46Z,2000000,232.0,53.0,1,left,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,23.77,Missed,,,,,,,,,,,,,,,,,,
203,PT07M07.00S,2022-10-29T02:49:44.9Z,2,REGULAR,rebound,defensive,[],1630230,,,1610612740,33,31,2022-10-29T02:49:46Z,2010000,,,0,,N. Marshall REBOUND (Off:1 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,,,,202.0,2.0,1.0,1.0,,,,,,,,,,,,,
204,PT07M03.00S,2022-10-29T02:49:52.5Z,2,REGULAR,foul,personal,['2freethrow'],1629111,,,1610612740,33,31,2022-10-29T02:49:58Z,2020000,,,0,,J. Landale shooting personal FOUL (1 PF) (McCollum 2 FT),"[1629111, 203468]",1610612756.0,PHX,shooting,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627963.0,1.0,0.0,McCollum,203468.0,,,,,,,,
206,PT07M03.00S,2022-10-29T02:50:18.3Z,2,REGULAR,freethrow,1 of 2,[],203468,,,1610612740,33,32,2022-10-29T02:50:18Z,2040000,,,0,,C. McCollum Free Throw 1 of 2 (7 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
207,PT07M03.00S,2022-10-29T02:50:19.7Z,2,REGULAR,substitution,out,[],1628470,,,1610612740,33,32,2022-10-29T02:50:25Z,2050000,,,0,,SUB out: T. Craig,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M03.00S,2022-10-29T02:50:19.7Z,2,REGULAR,substitution,out,[],1629111,,,1610612740,33,32,2022-10-29T02:50:25Z,2060000,,,0,,SUB out: J. Landale,[1629111],1610612756.0,PHX,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M03.00S,2022-10-29T02:50:19.7Z,2,REGULAR,substitution,in,[],202687,,,1610612740,33,32,2022-10-29T02:50:25Z,2070000,,,0,,SUB in: B. Biyombo,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M03.00S,2022-10-29T02:50:19.7Z,2,REGULAR,substitution,in,[],1629661,,,1610612740,33,32,2022-10-29T02:50:25Z,2080000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M03.00S,2022-10-29T02:50:38.2Z,2,REGULAR,freethrow,2 of 2,[],203468,,,1610612740,33,33,2022-10-29T02:50:38Z,2090000,,,0,,C. McCollum Free Throw 2 of 2 (8 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
212,PT06M47.00S,2022-10-29T02:50:55.8Z,2,REGULAR,3pt,Jump Shot,[],1627814,26.757555847568987,16.176470588235293,1610612756,33,33,2022-10-29T02:51:04Z,2100000,169.0,199.0,1,left,MISS D. Lee 26' 3PT,[1627814],1610612756.0,PHX,,,,Lee,D. Lee,,,,,Above the Break 3,24+ Right Center,26.11,Missed,,,,,,,,,,,,,,,,,,
213,PT06M44.00S,2022-10-29T02:50:58.8Z,2,REGULAR,rebound,defensive,[],1630230,,,1610612740,33,33,2022-10-29T02:51:04Z,2110000,,,0,,N. Marshall REBOUND (Off:1 Def:2),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,212.0,3.0,2.0,1.0,,,,,,,,,,,,,
214,PT06M41.00S,2022-10-29T02:51:02.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,72.09264126149803,13.970588235294118,1610612740,33,36,2022-10-29T02:51:57Z,2120000,-180.0,210.0,1,right,T. Murphy III 27' 3PT running (5 PTS) (C. McCollum 3 AST),"[1630530, 203468]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,27.65,Made,5.0,,,,,,,,,,,,,C. McCollum,203468.0,3.0,,
216,PT06M29.00S,2022-10-29T02:51:16.5Z,2,REGULAR,violation,kicked ball,[],1626195,,,1610612756,33,36,2022-10-29T03:08:50Z,2140000,,,0,,W. Hernangomez kicked ball VIOLATION,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,2534.0,,,,,,,,,,,,
217,PT06M29.00S,2022-10-29T02:51:25.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,33,36,2022-10-29T02:51:25Z,2150000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M22.00S,2022-10-29T02:54:51.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],202687,5.732588699080158,51.470588235294116,1610612756,35,36,2022-10-29T02:55:19Z,2160000,-7.0,1.0,1,left,B. Biyombo alley-oop DUNK (2 PTS) (C. Paul 1 AST),"[202687, 101108]",1610612756.0,PHX,alley-oop,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,0.75,Made,2.0,,,,,,,,,,,,,C. Paul,101108.0,1.0,,
224,PT06M02.00S,2022-10-29T02:55:11.9Z,2,REGULAR,3pt,Jump Shot,[],1630230,71.43561103810775,82.59803921568627,1610612740,35,36,2022-10-29T02:55:20Z,2180000,163.0,216.0,1,right,MISS N. Marshall 27' 3PT,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,27.06,Missed,,,,,,,,,,,,,,,,,,
225,PT06M02.00S,2022-10-29T02:55:11.9Z,2,REGULAR,rebound,defensive,[],202687,,,1610612756,35,36,2022-10-29T02:55:20Z,2190000,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,Above the Break 3,24+ Right Center,,,,224.0,1.0,1.0,0.0,,,,,,,,,,,,,
226,PT05M54.00S,2022-10-29T02:55:25.0Z,2,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612756,35,36,2022-10-29T02:55:42Z,2200000,,,0,,T. Murphy III shooting personal FOUL (2 PF) (Johnson 2 FT),"[1630530, 1629661]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,1627963.0,2.0,0.0,Johnson,1629661.0,,,,,,,,
229,PT05M54.00S,2022-10-29T02:55:58.9Z,2,REGULAR,freethrow,1 of 2,[],1629661,,,1610612756,36,36,2022-10-29T02:55:58Z,2220000,,,0,,C. Johnson Free Throw 1 of 2 (1 PTS),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
230,PT05M54.00S,2022-10-29T02:55:59.9Z,2,REGULAR,substitution,out,[],1627814,,,1610612756,36,36,2022-10-29T02:56:02Z,2230000,,,0,,SUB out: D. Lee,[1627814],1610612756.0,PHX,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT05M54.00S,2022-10-29T02:55:59.9Z,2,REGULAR,substitution,in,[],1626164,,,1610612756,36,36,2022-10-29T02:56:02Z,2240000,,,0,,SUB in: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT05M54.00S,2022-10-29T02:56:11.3Z,2,REGULAR,freethrow,2 of 2,[],1629661,,,1610612756,37,36,2022-10-29T02:56:11Z,2250000,,,0,,C. Johnson Free Throw 2 of 2 (2 PTS),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
233,PT05M42.00S,2022-10-29T02:56:23.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,82.9993429697766,47.794117647058826,1610612740,37,38,2022-10-29T02:56:27Z,2260000,-11.0,107.0,1,right,C. McCollum 10' driving floating Jump Shot (10 PTS),[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,10.79,Made,10.0,,,,,,,,,,,,,,,,,
235,PT05M21.00S,2022-10-29T02:56:51.9Z,2,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612756,37,38,2022-10-29T02:57:19Z,2280000,,,0,,T. Murphy III shooting personal FOUL (3 PF) (Johnson 2 FT),"[1630530, 1629661]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,2534.0,3.0,0.0,Johnson,1629661.0,,,,,,,,
237,PT05M21.00S,2022-10-29T02:57:20.4Z,2,REGULAR,freethrow,1 of 2,[],1629661,,,1610612756,38,38,2022-10-29T02:57:20Z,2300000,,,0,,C. Johnson Free Throw 1 of 2 (3 PTS),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
238,PT05M21.00S,2022-10-29T02:57:21.1Z,2,REGULAR,substitution,out,[],1626195,,,1610612756,38,38,2022-10-29T02:57:28Z,2310000,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M21.00S,2022-10-29T02:57:21.1Z,2,REGULAR,substitution,out,[],1630530,,,1610612756,38,38,2022-10-29T02:57:28Z,2320000,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M21.00S,2022-10-29T02:57:21.1Z,2,REGULAR,substitution,in,[],1630631,,,1610612756,38,38,2022-10-29T02:57:28Z,2330000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT05M21.00S,2022-10-29T02:57:21.1Z,2,REGULAR,substitution,in,[],202685,,,1610612756,38,38,2022-10-29T02:57:28Z,2340000,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT05M21.00S,2022-10-29T02:57:35.7Z,2,REGULAR,freethrow,2 of 2,[],1629661,,,1610612756,39,38,2022-10-29T02:57:35Z,2350000,,,0,,C. Johnson Free Throw 2 of 2 (4 PTS),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
243,PT05M09.00S,2022-10-29T02:57:48.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,86.67871222076215,48.529411764705884,1610612740,39,38,2022-10-29T02:58:45Z,2360000,-7.0,73.0,1,right,MISS J. Valanciunas 7' floating Shot,[202685],1610612740.0,NOP,floating,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,7.31,Missed,,,,,,,,,,,,,,,,,,
244,PT05M03.00S,2022-10-29T02:57:54.8Z,2,REGULAR,rebound,defensive,[],202687,,,1610612756,39,38,2022-10-29T02:58:14Z,2370000,,,0,,B. Biyombo REBOUND (Off:0 Def:2),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),0-8 Center,,,,243.0,2.0,2.0,0.0,,,,,,,,,,,,,
245,PT05M01.00S,2022-10-29T02:58:07.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630631,,,1610612756,39,38,2022-10-29T02:58:17Z,2380000,,,0,,J. Alvarado personal FOUL (2 PF) (Bridges 2 FT),"[1630631, 1628969]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,,,,,,,,2534.0,2.0,0.0,Bridges,1628969.0,,,,,,,,
247,PT05M01.00S,2022-10-29T02:58:32.0Z,2,REGULAR,freethrow,1 of 2,[],1628969,,,1610612756,40,38,2022-10-29T02:58:32Z,2400000,,,0,,M. Bridges Free Throw 1 of 2 (7 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
248,PT05M01.00S,2022-10-29T02:58:46.8Z,2,REGULAR,freethrow,2 of 2,[],1628969,,,1610612756,41,38,2022-10-29T02:58:46Z,2410000,,,0,,M. Bridges Free Throw 2 of 2 (8 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
249,PT04M47.00S,2022-10-29T02:59:04.8Z,2,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612740,41,38,2022-10-29T02:59:35Z,2420000,,,0,,M. Bridges shooting personal FOUL (1 PF) (McCollum 2 FT),"[1628969, 203468]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627963.0,1.0,0.0,McCollum,203468.0,,,,,,,,
251,PT04M47.00S,2022-10-29T02:59:36.1Z,2,REGULAR,freethrow,1 of 2,[],203468,,,1610612740,41,39,2022-10-29T02:59:36Z,2440000,,,0,,C. McCollum Free Throw 1 of 2 (11 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
252,PT04M47.00S,2022-10-29T02:59:50.6Z,2,REGULAR,freethrow,2 of 2,[],203468,,,1610612740,41,40,2022-10-29T02:59:50Z,2450000,,,0,,C. McCollum Free Throw 2 of 2 (12 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
253,PT04M31.00S,2022-10-29T03:00:07.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629661,8.886333771353483,53.431372549019606,1610612756,41,40,2022-10-29T03:00:14Z,2460000,-17.0,31.0,1,left,MISS C. Johnson driving floating Shot,[1629661],1610612756.0,PHX,driving floating,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,3.55,Missed,,,,,,,,,,,,,,,,,,
254,PT04M29.00S,2022-10-29T03:00:09.8Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,41,40,2022-10-29T03:00:14Z,2470000,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,253.0,3.0,3.0,0.0,,,,,,,,,,,,,
255,PT04M21.00S,2022-10-29T03:00:18.3Z,2,REGULAR,3pt,Jump Shot,[],1630631,71.30420499342969,81.61764705882352,1610612740,41,40,2022-10-29T03:00:24Z,2480000,158.0,217.0,1,right,MISS J. Alvarado 26' 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,26.86,Missed,,,,,,,,,,,,,,,,,,
256,PT04M18.00S,2022-10-29T03:00:21.3Z,2,REGULAR,rebound,defensive,[],1629661,,,1610612756,41,40,2022-10-29T03:00:24Z,2490000,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,255.0,1.0,1.0,0.0,,,,,,,,,,,,,
