actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
167,PT11M34.00S,2023-12-21T00:42:14.9Z,2,REGULAR,rebound,offensive,[],1630194,,,1610612755,28,24,2023-12-21T00:42:29Z,1670000,False,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,165.0,,,,,,1.0,0.0,1.0,,,,,,,,,
168,PT11M32.00S,2023-12-21T00:42:17.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630194,10.988830486202366,50.98039215686274,1610612755,28,24,2023-12-21T00:42:40Z,1680000,False,-5.0,51.0,1,left,MISS P. Reed Jump Shot,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,5.1,Missed,,,,,,,,,,,,,,,,,,
169,PT11M30.00S,2023-12-21T00:42:19.8Z,2,REGULAR,rebound,defensive,[],1629638,,,1610612750,28,24,2023-12-21T00:42:40Z,1690000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,168.0,,,,,,1.0,1.0,0.0,,,,,,,,,
170,PT11M19.00S,2023-12-21T00:42:28.9Z,2,REGULAR,3pt,Jump Shot,[],1628972,66.17936925098554,44.36274509803921,1610612750,28,24,2023-12-21T00:42:33Z,1700000,False,-28.0,265.0,1,right,MISS T. Brown Jr. 26' 3PT,[1628972],1610612750.0,MIN,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Center,26.69,Missed,,,,,,,,,,,,,,,,,,
171,PT11M16.00S,2023-12-21T00:42:31.9Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,28,24,2023-12-21T00:42:33Z,1710000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,170.0,,,,,,2.0,2.0,0.0,,,,,,,,,
172,PT11M10.00S,2023-12-21T00:42:41.1Z,2,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612755,28,24,2023-12-21T00:42:49Z,1720000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Maxey 2 FT),"[1630183, 1630178]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,1179.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,,,,
174,PT11M10.00S,2023-12-21T00:43:06.1Z,2,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,29,24,2023-12-21T00:47:14Z,1740000,False,,,0,,T. Maxey Free Throw 1 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,,,,,,,,,,,4.0,,,,,,,
175,PT11M10.00S,2023-12-21T00:43:06.1Z,2,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,30,24,2023-12-21T00:47:14Z,1750000,False,,,0,,T. Maxey Free Throw 2 of 2 (5 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,,,,,,,,,,,5.0,,,,,,,
176,PT10M58.00S,2023-12-21T00:43:36.5Z,2,REGULAR,turnover,bad pass,[],201144,,,1610612750,30,24,2023-12-21T00:54:25Z,1760000,False,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 1630194]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,,,,,Reed,1630194.0
177,PT10M58.00S,2023-12-21T00:43:36.5Z,2,REGULAR,steal,,[],1630194,,,1610612755,30,24,2023-12-21T00:54:25Z,1770000,False,,,0,,P. Reed STEAL (1 STL),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
178,PT10M47.00S,2023-12-21T00:43:49.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,14.536793692509855,39.950980392156865,1610612755,32,24,2023-12-21T00:43:53Z,1780000,False,50.0,84.0,1,left,T. Harris 9' driving floating Jump Shot (4 PTS),[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,9.79,Made,,,,,,,,,,,4.0,,,,,,,
179,PT10M47.00S,2023-12-21T00:43:52.1Z,2,REGULAR,foul,personal,['1freethrow'],1629638,,,1610612755,32,24,2023-12-21T00:44:04Z,1790000,False,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Harris 1 FT),"[1629638, 202699]",1610612750.0,MIN,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,1627962.0,1.0,0.0,Harris,202699.0,,,,,,,,,,,,
181,PT10M47.00S,2023-12-21T00:44:17.1Z,2,REGULAR,substitution,out,[],1629638,,,1610612755,32,24,2023-12-21T00:44:23Z,1810000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT10M47.00S,2023-12-21T00:44:17.1Z,2,REGULAR,substitution,in,[],1626157,,,1610612755,32,24,2023-12-21T00:44:23Z,1820000,False,,,0,,SUB in: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT10M47.00S,2023-12-21T00:44:38.2Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],202699,,,1610612755,33,24,2023-12-21T00:44:38Z,1830000,False,,,0,,T. Harris Free Throw 1 of 1 (5 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,Made,,,,,,,,,,,5.0,,,,,,,
186,PT10M27.00S,2023-12-21T00:45:02.6Z,2,REGULAR,foul,technical,['1freethrow'],1630194,,,1610612750,33,24,2023-12-21T00:45:17Z,1840000,False,,,0,,P. Reed defensive-3-second technical FOUL (1 Tech),[1630194],1610612755.0,PHI,defensive-3-second,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,1179.0,0.0,1.0,,,,,,,,,,,,,,
187,PT10M27.00S,2023-12-21T00:45:27.5Z,2,REGULAR,freethrow,1 of 1,[],1626157,,,1610612750,33,24,2023-12-21T00:45:29Z,1850000,False,,,0,,MISS K. Towns technical Free Throw 1 of 1,[1626157],1610612750.0,MIN,technical,,,Towns,K. Towns,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
188,PT10M27.00S,2023-12-21T00:45:27.5Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612750,33,24,2023-12-21T00:45:29Z,1860000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,187.0,,,,,,,,,,,,,,,,,
189,PT10M21.00S,2023-12-21T00:45:49.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,93.38042049934296,50.98039215686274,1610612750,33,26,2023-12-21T00:45:55Z,1870000,False,5.0,10.0,1,right,K. Towns driving Layup (6 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,,,,,6.0,,,,,,,
190,PT10M04.00S,2023-12-21T00:46:07.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,18.610381077529567,41.911764705882355,1610612755,33,26,2023-12-21T00:46:15Z,1880000,False,40.0,122.0,1,left,MISS T. Maxey 12' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,12.89,Missed,,,,,,,,,,,,,,,,,,
191,PT10M03.00S,2023-12-21T00:46:08.2Z,2,REGULAR,rebound,defensive,[],1628972,,,1610612750,33,26,2023-12-21T00:46:15Z,1890000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612750.0,MIN,,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,190.0,,,,,,1.0,1.0,0.0,,,,,,,,,
192,PT09M56.00S,2023-12-21T00:46:15.0Z,2,REGULAR,turnover,bad pass,[],1628972,,,1610612750,33,26,2023-12-21T00:46:19Z,1900000,False,,,0,,T. Brown Jr. bad pass TURNOVER (1 TO),"[1628972, 1630194]",1610612750.0,MIN,,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,,,,,,,Reed,1630194.0
193,PT09M56.00S,2023-12-21T00:46:15.0Z,2,REGULAR,steal,,[],1630194,,,1610612755,33,26,2023-12-21T00:46:17Z,1910000,False,,,0,,P. Reed STEAL (2 STL),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
194,PT09M47.00S,2023-12-21T00:46:23.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,5.601182654402102,45.34313725490196,1610612755,35,26,2023-12-21T00:46:27Z,1920000,False,23.0,0.0,1,left,T. Maxey driving finger roll Layup (7 PTS),[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,,,,,,,7.0,,,,,,,
195,PT09M32.00S,2023-12-21T00:46:42.2Z,2,REGULAR,foul,personal,['2freethrow'],1630194,,,1610612750,35,26,2023-12-21T00:46:48Z,1930000,False,,,0,,P. Reed shooting personal FOUL (1 PF) (Conley 2 FT),"[1630194, 201144]",1610612755.0,PHI,shooting,,,Reed,P. Reed,,,,,Mid-Range,8-16 Left,,,,1627962.0,1.0,1.0,Conley,201144.0,,,,,,,,,,,,
197,PT09M32.00S,2023-12-21T00:47:09.2Z,2,REGULAR,freethrow,1 of 2,[],201144,,,1610612750,35,27,2023-12-21T00:47:09Z,1950000,False,,,0,,M. Conley Free Throw 1 of 2 (1 PTS),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
198,PT09M32.00S,2023-12-21T00:47:10.1Z,2,REGULAR,substitution,out,[],201976,,,1610612750,35,27,2023-12-21T00:47:17Z,1960000,False,,,0,,SUB out: P. Beverley,[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT09M32.00S,2023-12-21T00:47:10.1Z,2,REGULAR,substitution,out,[],1628972,,,1610612750,35,27,2023-12-21T00:47:17Z,1970000,False,,,0,,SUB out: T. Brown Jr.,[1628972],1610612750.0,MIN,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT09M32.00S,2023-12-21T00:47:10.1Z,2,REGULAR,substitution,in,[],1627863,,,1610612750,35,27,2023-12-21T00:47:17Z,1980000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT09M32.00S,2023-12-21T00:47:10.1Z,2,REGULAR,substitution,in,[],1629003,,,1610612750,35,27,2023-12-21T00:47:17Z,1990000,False,,,0,,SUB in: S. Milton,[1629003],1610612750.0,MIN,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT09M32.00S,2023-12-21T00:47:28.7Z,2,REGULAR,freethrow,2 of 2,[],201144,,,1610612750,35,28,2023-12-21T00:47:28Z,2000000,False,,,0,,M. Conley Free Throw 2 of 2 (2 PTS),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
203,PT09M19.00S,2023-12-21T00:47:42.2Z,2,REGULAR,3pt,Jump Shot,[],1630178,33.327858081471746,60.29411764705882,1610612755,38,28,2023-12-21T00:47:48Z,2010000,False,-51.0,261.0,1,left,T. Maxey 26' 3PT step back (10 PTS),[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,26.58,Made,,,,,,,,,,,10.0,,,,,,,
204,PT09M07.00S,2023-12-21T00:47:58.7Z,2,REGULAR,foul,personal,['2freethrow'],202699,,,1610612750,38,28,2023-12-21T00:48:04Z,2020000,False,,,0,,T. Harris shooting personal FOUL (1 PF) (Towns 2 FT),"[202699, 1626157]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,1179.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,
206,PT09M07.00S,2023-12-21T00:48:28.0Z,2,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,38,29,2023-12-21T00:48:28Z,2040000,False,,,0,,K. Towns Free Throw 1 of 2 (7 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,,,,,7.0,,,,,,,
207,PT09M07.00S,2023-12-21T00:48:48.5Z,2,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,38,30,2023-12-21T00:48:48Z,2050000,False,,,0,,K. Towns Free Throw 2 of 2 (8 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,,,,,8.0,,,,,,,
208,PT08M54.00S,2023-12-21T00:49:03.8Z,2,REGULAR,turnover,out-of-bounds,[],1630194,,,1610612755,38,30,2023-12-21T00:49:09Z,2060000,False,,,0,,P. Reed lost ball out-of-bounds TURNOVER (1 TO),[1630194],1610612755.0,PHI,lost ball,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Center,,,,1179.0,,,,,,,,1.0,,,,,,,,
209,PT08M54.00S,2023-12-21T00:49:07.6Z,2,REGULAR,substitution,out,[],202694,,,1610612750,38,30,2023-12-21T00:49:11Z,2070000,False,,,0,,SUB out: M. Morris Sr.,[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M54.00S,2023-12-21T00:49:07.6Z,2,REGULAR,substitution,in,[],1626162,,,1610612750,38,30,2023-12-21T00:49:11Z,2080000,False,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M42.00S,2023-12-21T00:49:29.4Z,2,REGULAR,turnover,bad pass,[],1626157,,,1610612750,38,30,2023-12-21T00:49:35Z,2090000,False,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 1626162]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,,,,,Oubre Jr.,1626162.0
212,PT08M42.00S,2023-12-21T00:49:29.4Z,2,REGULAR,steal,,[],1626162,,,1610612755,38,30,2023-12-21T00:49:31Z,2100000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
213,PT08M32.00S,2023-12-21T00:49:38.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630178,16.245072273324574,48.28431372549019,1610612755,40,30,2023-12-21T00:49:43Z,2110000,False,9.0,100.0,1,left,T. Maxey 10' driving floating Jump Shot (12 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,10.06,Made,,,,,,,,,,,12.0,,,,,,,
215,PT08M10.00S,2023-12-21T00:50:25.6Z,2,REGULAR,foul,personal,[],202699,,,1610612750,40,30,2023-12-21T00:50:34Z,2130000,False,,,0,,T. Harris personal FOUL (2 PF),"[202699, 1626157]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,1179.0,2.0,0.0,Towns,1626157.0,,,,,,,,,,,,
217,PT08M04.00S,2023-12-21T00:50:52.0Z,2,REGULAR,3pt,Jump Shot,[],1626157,76.03482260183968,12.009803921568627,1610612750,40,33,2023-12-21T00:50:57Z,2150000,False,-190.0,173.0,1,right,K. Towns 25' 3PT  (11 PTS) (M. Conley 2 AST),"[1626157, 201144]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,25.68,Made,,,,,,,,,,,11.0,M. Conley,201144.0,2.0,,,,
219,PT07M42.00S,2023-12-21T00:51:14.1Z,2,REGULAR,3pt,Jump Shot,[],1630178,27.677398160315374,84.06862745098039,1610612755,40,33,2023-12-21T00:51:20Z,2170000,False,-170.0,208.0,1,left,MISS T. Maxey 26' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,26.86,Missed,,,,,,,,,,,,,,,,,,
220,PT07M39.00S,2023-12-21T00:51:17.1Z,2,REGULAR,rebound,offensive,[],202699,,,1610612755,40,33,2023-12-21T00:51:20Z,2180000,False,,,0,,T. Harris REBOUND (Off:1 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,219.0,,,,,,3.0,2.0,1.0,,,,,,,,,
221,PT07M38.00S,2023-12-21T00:51:18.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626162,27.283180026281208,16.666666666666664,1610612755,40,33,2023-12-21T00:51:24Z,2190000,False,167.0,204.0,1,left,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,26.34,Missed,,,,,,,,,,,,,,,,,,
222,PT07M35.00S,2023-12-21T00:51:21.6Z,2,REGULAR,rebound,defensive,[],1626157,,,1610612750,40,33,2023-12-21T00:51:24Z,2200000,False,,,0,,K. Towns REBOUND (Off:2 Def:5),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,221.0,,,,,,7.0,5.0,2.0,,,,,,,,,
223,PT07M29.00S,2023-12-21T00:51:33.1Z,2,REGULAR,foul,personal,[],1627863,,,1610612750,40,33,2023-12-21T00:51:46Z,2210000,False,,,0,,D. House Jr. personal FOUL (1 PF),"[1627863, 203497]",1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,,,202056.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,
225,PT07M29.00S,2023-12-21T00:51:49.9Z,2,REGULAR,substitution,out,[],1630194,,,1610612750,40,33,2023-12-21T00:51:53Z,2230000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M29.00S,2023-12-21T00:51:49.9Z,2,REGULAR,substitution,in,[],203954,,,1610612750,40,33,2023-12-21T00:51:53Z,2240000,False,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M22.00S,2023-12-21T00:52:11.9Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630178,,,1610612750,40,33,2023-12-21T00:52:17Z,2250000,False,,,0,,T. Maxey personal FOUL (2 PF) (McDaniels 2 FT),"[1630178, 1630183]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,1179.0,2.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,
229,PT07M22.00S,2023-12-21T00:52:37.9Z,2,REGULAR,freethrow,1 of 2,[],1630183,,,1610612750,40,34,2023-12-21T00:52:37Z,2270000,False,,,0,,J. McDaniels Free Throw 1 of 2 (9 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,,,,,,,,,,,9.0,,,,,,,
230,PT07M22.00S,2023-12-21T00:52:42.4Z,2,REGULAR,substitution,out,[],201144,,,1610612750,40,34,2023-12-21T00:52:52Z,2280000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT07M22.00S,2023-12-21T00:52:42.4Z,2,REGULAR,substitution,in,[],1630162,,,1610612750,40,34,2023-12-21T00:52:52Z,2290000,False,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M22.00S,2023-12-21T00:53:01.1Z,2,REGULAR,freethrow,2 of 2,[],1630183,,,1610612750,40,35,2023-12-21T00:53:01Z,2300000,False,,,0,,J. McDaniels Free Throw 2 of 2 (10 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,,,,,,,,,,,10.0,,,,,,,
233,PT07M09.00S,2023-12-21T00:53:16.4Z,2,REGULAR,3pt,Jump Shot,[],202699,32.802233902759525,60.78431372549019,1610612755,40,35,2023-12-21T00:58:13Z,2310000,False,-54.0,256.0,1,left,MISS T. Harris 26' step back 3PT,[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,26.14,Missed,,,,,,,,,,,,,,,,,,
234,PT07M06.00S,2023-12-21T00:53:19.4Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,40,35,2023-12-21T00:53:21Z,2320000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,233.0,,,,,,2.0,2.0,0.0,,,,,,,,,
235,PT06M56.00S,2023-12-21T00:53:30.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,88.12417871222075,45.34313725490196,1610612750,40,37,2023-12-21T00:53:34Z,2330000,False,-23.0,59.0,1,right,J. McDaniels 6' driving floating Jump Shot (12 PTS) (S. Milton 1 AST),"[1630183, 1629003]",1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,6.35,Made,,,,,,,,,,,12.0,S. Milton,1629003.0,1.0,,,,
237,PT06M38.00S,2023-12-21T00:53:47.3Z,2,REGULAR,2pt,Jump Shot,[],203954,21.23850197109067,43.872549019607845,1610612755,42,37,2023-12-21T00:53:52Z,2350000,False,31.0,147.0,1,left,J. Embiid 15' pullup Jump Shot (12 PTS) (T. Maxey 2 AST),"[203954, 1630178]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,15.02,Made,,,,,,,,,,,12.0,T. Maxey,1630178.0,2.0,,,,
239,PT06M22.00S,2023-12-21T00:54:02.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,91.80354796320631,55.392156862745104,1610612750,42,39,2023-12-21T00:54:07Z,2370000,False,27.0,25.0,1,right,A. Edwards driving floating Jump Shot (12 PTS),[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,3.65,Made,,,,,,,,,,,12.0,,,,,,,
240,PT06M05.00S,2023-12-21T00:54:20.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,10.463206307490145,47.05882352941176,1610612755,42,39,2023-12-21T00:54:25Z,2380000,False,15.0,46.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,4.82,Missed,,,,,,,,,,,,,,,,,,
241,PT06M03.00S,2023-12-21T00:54:22.0Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,42,39,2023-12-21T00:54:25Z,2390000,False,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,240.0,,,,,,3.0,3.0,0.0,,,,,,,,,
242,PT05M59.00S,2023-12-21T00:54:25.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630183,93.64323258869908,52.94117647058824,1610612750,42,41,2023-12-21T00:54:31Z,2400000,False,15.0,7.0,1,right,J. McDaniels running Layup (14 PTS),[1630183],1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.64,Made,,,,,,,,,,,14.0,,,,,,,
243,PT05M59.00S,2023-12-21T00:54:34.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,42,41,2023-12-21T00:54:34Z,2410000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M46.00S,2023-12-21T00:57:41.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203954,9.674770039421814,48.03921568627451,1610612755,42,41,2023-12-21T00:57:46Z,2420000,False,10.0,38.0,1,left,MISS J. Embiid Layup,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,3.96,Missed,,,,,,,,,,,,,,,,,,
245,PT05M44.00S,2023-12-21T00:57:43.5Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,42,41,2023-12-21T00:57:46Z,2430000,False,,,0,,R. Gobert REBOUND (Off:0 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,244.0,,,,,,4.0,4.0,0.0,,,,,,,,,
246,PT05M30.00S,2023-12-21T00:57:58.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,93.77463863337714,34.55882352941176,1610612750,42,41,2023-12-21T00:58:03Z,2440000,False,-77.0,6.0,1,right,MISS S. Milton 7' driving floating Shot,[1629003],1610612750.0,MIN,driving floating,,,Milton,S. Milton,,,,,In The Paint (Non-RA),0-8 Center,7.74,Missed,,,,,,,,,,,,,,,,,,
247,PT05M27.00S,2023-12-21T00:58:00.3Z,2,REGULAR,rebound,offensive,[],203497,,,1610612750,42,41,2023-12-21T00:58:00Z,2450000,False,,,0,,R. Gobert REBOUND (Off:1 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,246.0,,,,,,5.0,4.0,1.0,,,,,,,,,
248,PT05M21.00S,2023-12-21T00:58:06.5Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630162,93.64323258869908,49.754901960784316,1610612750,42,41,2023-12-21T00:58:11Z,2460000,False,-1.0,7.0,1,right,MISS A. Edwards cutting DUNK,[1630162],1610612750.0,MIN,cutting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,0.74,Missed,,,,,,,,,,,,,,,,,,
249,PT05M18.00S,2023-12-21T00:58:09.5Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,42,41,2023-12-21T00:58:11Z,2470000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,248.0,,,,,,1.0,1.0,0.0,,,,,,,,,
