actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
206,PT09M25.00S,2021-11-24T01:08:50.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203457,94.03745072273325,49.50980392156863,1610612752,40,24,2021-11-24T01:11:51Z,1725000,-2.0,4.0,1,right,MISS N. Noel tip DUNK,[203457],1610612752.0,NYK,tip,,,Noel,N. Noel,,,,,0.43,Missed,,,,,,,,,,,,,,,,,,
207,PT09M23.00S,2021-11-24T01:08:52.6Z,2,REGULAR,rebound,offensive,[],203457,,,1610612752,40,24,2021-11-24T01:12:09Z,1727500,,,0,,N. Noel REBOUND (Off:3 Def:0),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,206.0,3.0,0.0,3.0,,,,,,,,,,,,,,
181,PT09M22.00S,2021-11-24T01:08:52.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203457,94.69448094612353,50.98039215686274,1610612752,42,24,2021-11-24T01:11:51Z,1730000,5.0,-3.0,1,right,N. Noel reverse Layup (2 PTS),[203457],1610612752.0,NYK,reverse,,,Noel,N. Noel,,,,,0.55,Made,,,,,2.0,,,,,,,,,,,,,
182,PT09M16.00S,2021-11-24T01:08:59.5Z,2,REGULAR,3pt,Jump Shot,[],201961,27.94021024967148,79.65686274509804,1610612747,42,27,2021-11-24T01:09:04Z,1740000,-148.0,210.0,1,left,W. Ellington 25' 3PT  (3 PTS) (R. Westbrook 3 AST),"[201961, 201566]",1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,25.72,Made,,,,,3.0,,,R. Westbrook,201566.0,3.0,,,,,,,,
184,PT09M10.00S,2021-11-24T01:09:05.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630167,94.56307490144546,50.98039215686274,1610612752,44,27,2021-11-24T01:09:12Z,1760000,5.0,-1.0,1,right,O. Toppin alley-oop DUNK (6 PTS) (I. Quickley 2 AST),"[1630167, 1630193]",1610612752.0,NYK,alley-oop,,,Toppin,O. Toppin,,,,,0.51,Made,,,,,6.0,,,I. Quickley,1630193.0,2.0,,,,,,,,
186,PT09M01.00S,2021-11-24T01:09:13.6Z,2,REGULAR,3pt,Jump Shot,[],201961,32.802233902759525,41.42156862745098,1610612747,44,27,2021-11-24T01:09:19Z,1780000,43.0,256.0,1,left,MISS W. Ellington 25' 3PT,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,25.94,Missed,,,,,,,,,,,,,,,,,,
187,PT09M00.00S,2021-11-24T01:09:14.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612747,44,27,2021-11-24T01:09:19Z,1790000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,186.0,,,,,,,,,,,,,,,,,
188,PT09M00.00S,2021-11-24T01:09:19.8Z,2,REGULAR,foul,personal,[],1630167,,,1610612747,44,27,2021-11-24T01:09:37Z,1800000,,,0,,O. Toppin loose ball personal FOUL (1 PF),"[1630167, 2730]",1610612752.0,NYK,loose ball,,,Toppin,O. Toppin,,,,,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Howard,2730.0
190,PT09M00.00S,2021-11-24T01:09:19.9Z,2,REGULAR,substitution,out,[],201566,,,1610612747,44,27,2021-11-24T01:09:46Z,1820000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M00.00S,2021-11-24T01:09:19.9Z,2,REGULAR,substitution,out,[],2730,,,1610612747,44,27,2021-11-24T01:09:46Z,1830000,,,0,,SUB out: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M00.00S,2021-11-24T01:09:19.9Z,2,REGULAR,substitution,in,[],1629659,,,1610612747,44,27,2021-11-24T01:09:46Z,1840000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
193,PT09M00.00S,2021-11-24T01:09:19.9Z,2,REGULAR,substitution,in,[],201599,,,1610612747,44,27,2021-11-24T01:09:46Z,1850000,,,0,,SUB in: D. Jordan,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,
194,PT08M51.00S,2021-11-24T01:10:03.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201961,5.206964520367937,97.54901960784314,1610612747,44,27,2021-11-24T01:10:10Z,1860000,-238.0,-4.0,1,left,MISS W. Ellington 3PT,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,23.77,Missed,,,,,,,,,,,,,,,,,,
195,PT08M49.00S,2021-11-24T01:10:05.9Z,2,REGULAR,rebound,offensive,[],201599,,,1610612747,44,27,2021-11-24T01:10:10Z,1870000,,,0,,D. Jordan REBOUND (Off:3 Def:2),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,194.0,5.0,2.0,3.0,,,,,,,,,,,,,,
196,PT08M48.00S,2021-11-24T01:10:13.1Z,2,REGULAR,foul,personal,[],1630167,,,1610612747,44,27,2021-11-24T01:10:27Z,1880000,,,0,,O. Toppin personal FOUL (2 PF),"[1630167, 201599]",1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,1198.0,,,,,,,,,2.0,0.0,Jordan,201599.0
198,PT08M47.00S,2021-11-24T01:10:31.5Z,2,REGULAR,turnover,bad pass,[],201961,,,1610612747,44,27,2021-11-24T01:10:36Z,1900000,,,0,,W. Ellington bad pass TURNOVER (1 TO),"[201961, 202692]",1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,1.0,,,,Burks,202692.0,,,,,,
199,PT08M47.00S,2021-11-24T01:10:31.5Z,2,REGULAR,steal,,[],202692,,,1610612752,44,27,2021-11-24T01:10:34Z,1910000,,,0,,A. Burks STEAL (2 STL),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M43.00S,2021-11-24T01:10:35.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202692,95.22010512483574,48.03921568627451,1610612752,46,27,2021-11-24T01:10:39Z,1920000,-10.0,-8.0,1,right,A. Burks running DUNK (2 PTS),[202692],1610612752.0,NYK,running,,,Burks,A. Burks,,,,,1.24,Made,,,,,2.0,,,,,,,,,,,,,
201,PT08M18.00S,2021-11-24T01:11:00.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],2546,8.360709592641262,47.794117647058826,1610612747,46,27,2021-11-24T01:11:07Z,1930000,11.0,26.0,1,left,MISS C. Anthony driving DUNK - blocked,"[2546, 1630167]",1610612747.0,LAL,driving,,,Anthony,C. Anthony,,,,,2.83,Missed,,,,,,,,,,,,,Toppin,1630167.0,,,,
202,PT08M18.00S,2021-11-24T01:11:00.3Z,2,REGULAR,block,,[],1630167,,,1610612747,46,27,2021-11-24T01:13:43Z,1940000,,,0,,O. Toppin BLOCK (1 BLK),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M16.00S,2021-11-24T01:11:02.3Z,2,REGULAR,rebound,defensive,[],1629656,,,1610612752,46,27,2021-11-24T01:11:07Z,1950000,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,201.0,1.0,1.0,0.0,,,,,,,,,,,,,,
204,PT08M03.00S,2021-11-24T01:11:15.2Z,2,REGULAR,3pt,Jump Shot,[],202692,68.41327201051249,70.58823529411765,1610612752,49,27,2021-11-24T01:13:49Z,1960000,103.0,244.0,1,right,A. Burks 26' 3PT pullup (5 PTS),[202692],1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,26.52,Made,,,,,5.0,,,,,,,,,,,,,
205,PT08M02.00S,2021-11-24T01:11:24.3Z,2,REGULAR,timeout,full,['team'],0,,,1610612747,49,27,2021-11-24T01:11:24Z,1970000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M42.00S,2021-11-24T01:15:02.8Z,2,REGULAR,3pt,Jump Shot,[],2546,28.33442838370565,26.47058823529412,1610612747,49,27,2021-11-24T01:15:08Z,1980000,118.0,214.0,1,left,MISS C. Anthony 24' 3PT,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,24.4,Missed,,,,,,,,,,,,,,,,,,
209,PT07M40.00S,2021-11-24T01:15:04.8Z,2,REGULAR,rebound,defensive,[],202692,,,1610612752,49,27,2021-11-24T01:15:08Z,1990000,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,208.0,2.0,2.0,0.0,,,,,,,,,,,,,,
210,PT07M32.00S,2021-11-24T01:15:12.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203457,94.43166885676742,48.77450980392157,1610612752,51,27,2021-11-24T01:15:15Z,2000000,-6.0,0.0,1,right,N. Noel alley-oop Layup (4 PTS) (A. Burks 1 AST),"[203457, 202692]",1610612752.0,NYK,alley-oop,,,Noel,N. Noel,,,,,0.61,Made,,,,,4.0,,,A. Burks,202692.0,1.0,,,,,,,,
212,PT07M14.00S,2021-11-24T01:15:36.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630193,,,1610612747,51,27,2021-11-24T01:15:41Z,2020000,,,0,,I. Quickley shooting personal FOUL (2 PF) (Anthony 2 FT),"[1630193, 2546]",1610612752.0,NYK,shooting,,,Quickley,I. Quickley,,,,,,,,,,,,1198.0,,,,,,,,,2.0,0.0,Anthony,2546.0
215,PT07M14.00S,2021-11-24T01:15:55.5Z,2,REGULAR,substitution,out,[],1629656,,,1610612747,51,27,2021-11-24T01:16:21Z,2035000,,,0,,SUB out: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M14.00S,2021-11-24T01:15:55.5Z,2,REGULAR,substitution,in,[],203095,,,1610612747,51,27,2021-11-24T01:16:21Z,2037500,,,0,,SUB in: E. Fournier,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M14.00S,2021-11-24T01:16:14.4Z,2,REGULAR,freethrow,1 of 2,[],2546,,,1610612747,51,28,2021-11-24T01:16:14Z,2040000,,,0,,C. Anthony Free Throw 1 of 2 (5 PTS),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
217,PT07M14.00S,2021-11-24T01:16:36.4Z,2,REGULAR,freethrow,2 of 2,[],2546,,,1610612747,51,29,2021-11-24T01:16:36Z,2050000,,,0,,C. Anthony Free Throw 2 of 2 (6 PTS),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
218,PT07M04.00S,2021-11-24T01:16:50.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202692,80.3712220762155,58.333333333333336,1610612752,53,29,2021-11-24T01:16:55Z,2060000,42.0,132.0,1,right,A. Burks 13' floating Jump Shot (7 PTS),[202692],1610612752.0,NYK,floating,,,Burks,A. Burks,,,,,13.84,Made,,,,,7.0,,,,,,,,,,,,,
219,PT07M04.00S,2021-11-24T01:16:52.5Z,2,REGULAR,foul,personal,['1freethrow'],1629659,,,1610612752,53,29,2021-11-24T01:17:02Z,2070000,,,0,,T. Horton-Tucker shooting personal FOUL (2 PF) (Burks 1 FT),"[1629659, 202692]",1610612747.0,LAL,shooting,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,202007.0,,,,,,,,,2.0,0.0,Burks,202692.0
221,PT07M04.00S,2021-11-24T01:16:52.5Z,2,REGULAR,substitution,out,[],1630167,,,1610612752,53,29,2021-11-24T01:17:09Z,2090000,,,0,,SUB out: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M04.00S,2021-11-24T01:16:52.5Z,2,REGULAR,substitution,out,[],2546,,,1610612752,53,29,2021-11-24T01:17:09Z,2100000,,,0,,SUB out: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M04.00S,2021-11-24T01:16:52.5Z,2,REGULAR,substitution,in,[],203944,,,1610612752,53,29,2021-11-24T01:17:09Z,2110000,,,0,,SUB in: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M04.00S,2021-11-24T01:16:52.5Z,2,REGULAR,substitution,in,[],203076,,,1610612752,53,29,2021-11-24T01:17:09Z,2120000,,,0,,SUB in: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M04.00S,2021-11-24T01:17:36.7Z,2,REGULAR,freethrow,1 of 1,[],202692,,,1610612752,54,29,2021-11-24T01:17:36Z,2130000,,,0,,A. Burks Free Throw 1 of 1 (8 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
226,PT06M54.00S,2021-11-24T01:17:47.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,6.521024967148489,51.470588235294116,1610612747,54,31,2021-11-24T01:17:54Z,2140000,-7.0,9.0,1,left,D. Jordan alley-oop DUNK (4 PTS) (T. Horton-Tucker 1 AST),"[201599, 1629659]",1610612747.0,LAL,alley-oop,,,Jordan,D. Jordan,,,,,1.15,Made,,,,,4.0,,,T. Horton-Tucker,1629659.0,1.0,,,,,,,,
228,PT06M34.00S,2021-11-24T01:18:07.3Z,2,REGULAR,turnover,bad pass,[],202692,,,1610612752,54,31,2021-11-24T01:18:13Z,2160000,,,0,,A. Burks bad pass TURNOVER (1 TO),"[202692, 1628370]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,1.0,,,,Monk,1628370.0,,,,,,
229,PT06M34.00S,2021-11-24T01:18:07.3Z,2,REGULAR,steal,,[],1628370,,,1610612747,54,31,2021-11-24T01:18:08Z,2170000,,,0,,M. Monk STEAL (1 STL),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M31.00S,2021-11-24T01:18:13.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628370,6.783837056504599,50.49019607843137,1610612747,54,33,2021-11-24T01:18:34Z,2180000,-2.0,11.0,1,left,M. Monk running Layup (12 PTS) (T. Horton-Tucker 2 AST),"[1628370, 1629659]",1610612747.0,LAL,running,,,Monk,M. Monk,,,,,1.16,Made,,,,,12.0,,,T. Horton-Tucker,1629659.0,2.0,,,,,,,,
232,PT06M31.00S,2021-11-24T01:18:16.3Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",202692,,,1610612747,54,33,2021-11-24T01:18:25Z,2200000,,,0,,A. Burks shooting personal FOUL (1 PF) (Monk 1 FT),"[202692, 1628370]",1610612752.0,NYK,shooting,,,Burks,A. Burks,,,,,,,,,,,,202007.0,,,,,,,,,1.0,0.0,Monk,1628370.0
234,PT06M31.00S,2021-11-24T01:18:16.3Z,2,REGULAR,substitution,out,[],1630193,,,1610612747,54,33,2021-11-24T01:18:33Z,2220000,,,0,,SUB out: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M31.00S,2021-11-24T01:18:16.3Z,2,REGULAR,substitution,in,[],202689,,,1610612747,54,33,2021-11-24T01:18:33Z,2230000,,,0,,SUB in: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M31.00S,2021-11-24T01:18:16.3Z,2,REGULAR,substitution,out,[],202692,,,1610612747,54,33,2021-11-24T01:18:40Z,2240000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M31.00S,2021-11-24T01:18:16.3Z,2,REGULAR,substitution,in,[],1629628,,,1610612747,54,33,2021-11-24T01:18:40Z,2250000,,,0,,SUB in: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M31.00S,2021-11-24T01:18:56.2Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1628370,,,1610612747,54,33,2021-11-24T01:19:02Z,2260000,,,0,,MISS M. Monk Free Throw 1 of 1,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,Missed,,,,,,,,,,,,,,,,,,
239,PT06M29.00S,2021-11-24T01:18:58.2Z,2,REGULAR,rebound,defensive,[],203944,,,1610612752,54,33,2021-11-24T01:19:02Z,2270000,,,0,,J. Randle REBOUND (Off:0 Def:7),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,238.0,7.0,7.0,0.0,,,,,,,,,,,,,,
240,PT06M12.00S,2021-11-24T01:19:18.3Z,2,REGULAR,2pt,Jump Shot,[],203944,89.70105124835742,32.1078431372549,1610612752,54,33,2021-11-24T01:19:27Z,2280000,-89.0,44.0,1,right,MISS J. Randle 9' Jump Shot - blocked,"[203944, 1628370]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,9.99,Missed,,,,,,,,,,,,,Monk,1628370.0,,,,
241,PT06M12.00S,2021-11-24T01:19:18.3Z,2,REGULAR,block,,[],1628370,,,1610612752,54,33,2021-11-24T01:19:27Z,2290000,,,0,,M. Monk BLOCK (1 BLK),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M10.00S,2021-11-24T01:19:20.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612752,54,33,2021-11-24T01:19:27Z,2300000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,
243,PT06M10.00S,2021-11-24T01:19:23.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,54,33,2021-11-24T01:19:23Z,2310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M09.00S,2021-11-24T01:19:34.0Z,2,REGULAR,turnover,out-of-bounds,[],203095,,,1610612752,54,33,2021-11-24T01:19:40Z,2320000,,,0,,E. Fournier step out-of-bounds TURNOVER (1 TO),[203095],1610612752.0,NYK,step,,,Fournier,E. Fournier,,,,,,,,,,,,201639.0,1.0,,,,,,,,,,,
245,PT05M59.00S,2021-11-24T01:19:55.2Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629659,17.296320630749015,33.57843137254902,1610612747,54,33,2021-11-24T01:20:01Z,2330000,82.0,110.0,1,left,MISS T. Horton-Tucker 13' driving floating Shot,[1629659],1610612747.0,LAL,driving floating,,,Horton-Tucker,T. Horton-Tucker,,,,,13.73,Missed,,,,,,,,,,,,,,,,,,
246,PT05M57.00S,2021-11-24T01:19:57.2Z,2,REGULAR,rebound,defensive,[],203944,,,1610612752,54,33,2021-11-24T01:20:01Z,2340000,,,0,,J. Randle REBOUND (Off:0 Def:8),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,245.0,8.0,8.0,0.0,,,,,,,,,,,,,,
247,PT05M46.00S,2021-11-24T01:20:07.8Z,2,REGULAR,3pt,Jump Shot,[],203095,93.77463863337714,5.147058823529411,1610612752,57,33,2021-11-24T01:20:11Z,2350000,-224.0,6.0,1,right,E. Fournier 3PT  (14 PTS) (R. Barrett 2 AST),"[203095, 1629628]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,22.44,Made,,,,,14.0,,,R. Barrett,1629628.0,2.0,,,,,,,,
249,PT05M33.00S,2021-11-24T01:20:21.9Z,2,REGULAR,2pt,Jump Shot,[],203076,24.129434954007884,55.88235294117647,1610612747,57,35,2021-11-24T01:20:26Z,2370000,-29.0,174.0,1,left,A. Davis 17' Jump Shot (4 PTS) (M. Monk 1 AST),"[203076, 1628370]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,17.68,Made,,,,,4.0,,,M. Monk,1628370.0,1.0,,,,,,,,
251,PT05M07.00S,2021-11-24T01:20:47.5Z,2,REGULAR,2pt,Jump Shot,[],203944,79.58278580814718,75.73529411764706,1610612752,59,35,2021-11-24T01:22:05Z,2390000,129.0,139.0,1,right,J. Randle 18' pullup Jump Shot (14 PTS) (E. Fournier 2 AST),"[203944, 203095]",1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,18.97,Made,,,,,14.0,,,E. Fournier,203095.0,2.0,,,,,,,,
253,PT04M55.00S,2021-11-24T01:21:02.7Z,2,REGULAR,2pt,Jump Shot,[],203076,7.703679369250986,65.93137254901961,1610612747,59,37,2021-11-24T01:22:47Z,2410000,-80.0,20.0,1,left,A. Davis 8' floating Jump Shot (6 PTS) (M. Monk 2 AST),"[203076, 1628370]",1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,8.21,Made,,,,,6.0,,,M. Monk,1628370.0,2.0,,,,,,,,
255,PT04M55.00S,2021-11-24T01:21:06.3Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",203944,,,1610612747,59,37,2021-11-24T01:21:11Z,2430000,,,0,,J. Randle shooting personal FOUL (2 PF) (Davis 1 FT),"[203944, 203076]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,,,,,,,,1198.0,,,,,,,,,2.0,0.0,Davis,203076.0
257,PT04M55.00S,2021-11-24T01:21:06.3Z,2,REGULAR,substitution,out,[],1628370,,,1610612747,59,37,2021-11-24T01:21:20Z,2450000,,,0,,SUB out: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M55.00S,2021-11-24T01:21:06.3Z,2,REGULAR,substitution,out,[],1629659,,,1610612747,59,37,2021-11-24T01:21:20Z,2460000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M55.00S,2021-11-24T01:21:06.3Z,2,REGULAR,substitution,in,[],201566,,,1610612747,59,37,2021-11-24T01:21:20Z,2470000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
260,PT04M55.00S,2021-11-24T01:21:06.3Z,2,REGULAR,substitution,in,[],202340,,,1610612747,59,37,2021-11-24T01:21:20Z,2480000,,,0,,SUB in: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
261,PT04M55.00S,2021-11-24T01:21:32.5Z,2,REGULAR,freethrow,1 of 1,[],203076,,,1610612747,59,37,2021-11-24T01:21:35Z,2490000,,,0,,MISS A. Davis Free Throw 1 of 1,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Missed,,,,,,,,,,,,,,,,,,
262,PT04M53.00S,2021-11-24T01:21:34.5Z,2,REGULAR,rebound,defensive,[],203944,,,1610612752,59,37,2021-11-24T01:21:35Z,2500000,,,0,,J. Randle REBOUND (Off:0 Def:9),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,261.0,9.0,9.0,0.0,,,,,,,,,,,,,,
263,PT04M37.00S,2021-11-24T01:21:49.4Z,2,REGULAR,2pt,Jump Shot,[],203944,88.51839684625493,13.480392156862745,1610612752,59,37,2021-11-24T01:23:25Z,2510000,-183.0,55.0,1,right,MISS J. Randle 19' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,19.08,Missed,,,,,,,,,,,,,,,,,,
264,PT04M35.00S,2021-11-24T01:21:51.4Z,2,REGULAR,rebound,defensive,[],201566,,,1610612747,59,37,2021-11-24T01:21:53Z,2520000,,,0,,R. Westbrook REBOUND (Off:0 Def:4),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,263.0,4.0,4.0,0.0,,,,,,,,,,,,,,
265,PT04M23.00S,2021-11-24T01:22:03.4Z,2,REGULAR,2pt,Jump Shot,[],203076,24.392247043363994,61.274509803921575,1610612747,59,37,2021-11-24T01:22:09Z,2530000,-56.0,177.0,1,left,MISS A. Davis 18' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,18.56,Missed,,,,,,,,,,,,,,,,,,
266,PT04M21.00S,2021-11-24T01:22:05.4Z,2,REGULAR,rebound,defensive,[],203944,,,1610612752,59,37,2021-11-24T01:22:09Z,2540000,,,0,,J. Randle REBOUND (Off:0 Def:10),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,265.0,10.0,10.0,0.0,,,,,,,,,,,,,,
267,PT04M10.00S,2021-11-24T01:22:16.1Z,2,REGULAR,3pt,Jump Shot,[],202689,67.36202365308804,59.80392156862745,1610612752,59,37,2021-11-24T01:22:21Z,2550000,49.0,254.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,
268,PT04M08.00S,2021-11-24T01:22:18.9Z,2,REGULAR,rebound,defensive,[],201566,,,1610612747,59,37,2021-11-24T01:22:19Z,2560000,,,0,,R. Westbrook REBOUND (Off:0 Def:5),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,267.0,5.0,5.0,0.0,,,,,,,,,,,,,,
269,PT04M03.00S,2021-11-24T01:22:23.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202340,19.66162943495401,7.352941176470589,1610612747,59,37,2021-11-24T01:24:18Z,2570000,213.0,132.0,1,left,MISS A. Bradley 25' running 3PT,[202340],1610612747.0,LAL,running,,,Bradley,A. Bradley,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,
270,PT04M01.00S,2021-11-24T01:22:25.4Z,2,REGULAR,rebound,defensive,[],202689,,,1610612752,59,37,2021-11-24T01:22:29Z,2580000,,,0,,K. Walker REBOUND (Off:0 Def:3),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,269.0,3.0,3.0,0.0,,,,,,,,,,,,,,
271,PT03M55.00S,2021-11-24T01:22:30.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,73.53810775295663,81.86274509803921,1610612752,59,37,2021-11-24T01:22:37Z,2590000,159.0,196.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,
