actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
184,PT00M38.90S,2022-02-27T18:41:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630167,93.51182654402102,50.0,1610612752,33,33,2022-02-27T18:44:46Z,1720000,0.0,8.0,1,right,O. Toppin cutting Layup (2 PTS) (R. Barrett 3 AST),"[1630167, 1629628]",1610612752.0,NYK,cutting,,,,,,,,,Toppin,O. Toppin,,,Made,2.0,0.85,,,,,,R. Barrett,1629628.0,3.0,,,,,
186,PT00M31.70S,2022-02-27T18:42:16.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630167,,,1610612755,33,33,2022-02-27T18:42:37Z,1740000,,,0,,O. Toppin shooting personal FOUL (1 PF) (Harden 2 FT),"[1630167, 201935]",1610612752.0,NYK,shooting,,,,,,201245.0,1.0,0.0,Toppin,O. Toppin,Harden,201935.0,,,,,,,,,,,,,,,,
188,PT00M31.70S,2022-02-27T18:42:44.5Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,33,34,2022-02-27T18:42:44Z,1760000,,,0,,J. Harden Free Throw 1 of 2 (9 PTS),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,Made,9.0,,,,,,,,,,,,,,
189,PT00M31.70S,2022-02-27T18:43:05.7Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,33,35,2022-02-27T18:43:05Z,1770000,,,0,,J. Harden Free Throw 2 of 2 (10 PTS),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,Made,10.0,,,,,,,,,,,,,,
190,PT00M21.40S,2022-02-27T18:43:17.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,84.31340341655716,48.77450980392157,1610612752,35,35,2022-02-27T18:43:22Z,1780000,-6.0,95.0,1,right,R. Barrett 9' driving floating Jump Shot (7 PTS),[1629628],1610612752.0,NYK,driving floating,,,,,,,,,Barrett,R. Barrett,,,Made,7.0,9.52,,,,,,,,,,,,,
191,PT00M03.30S,2022-02-27T18:43:38.0Z,1,REGULAR,3pt,Jump Shot,[],201935,31.09395532194481,66.66666666666666,1610612755,35,38,2022-02-27T18:43:42Z,1790000,-83.0,240.0,1,left,J. Harden 25' 3PT step back (13 PTS),[201935],1610612755.0,PHI,step back,,,,,,,,,Harden,J. Harden,,,Made,13.0,25.39,,,,,,,,,,,,,
192,PT00M00.00S,2022-02-27T18:44:01.9Z,1,REGULAR,instantreplay,request,[],0,,,1610612752,35,38,2022-02-27T18:44:34Z,1800000,,,0,,,[],,,support,,,,,,202058.0,,,,,,,,,,,,,,,,,,,,,,End Period - No Basket
193,PT00M00.00S,2022-02-27T18:44:38.4Z,1,REGULAR,period,end,[],0,,,1610612752,35,38,2022-02-27T18:44:38Z,1810000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT12M00.00S,2022-02-27T18:46:52.2Z,2,REGULAR,substitution,out,['startperiod'],203095,,,1610612752,35,38,2022-02-27T18:47:20Z,1820000,,,0,,SUB out: E. Fournier,[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,
195,PT12M00.00S,2022-02-27T18:46:52.2Z,2,REGULAR,substitution,in,['startperiod'],1629629,,,1610612752,35,38,2022-02-27T18:47:20Z,1830000,,,0,,SUB in: C. Reddish,[1629629],1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,
196,PT12M00.00S,2022-02-27T18:47:21.3Z,2,REGULAR,period,start,[],0,,,1610612755,35,38,2022-02-27T18:47:21Z,1840000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT11M40.00S,2022-02-27T18:47:40.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200794,14.273981603153747,44.6078431372549,1610612755,35,40,2022-02-27T18:47:44Z,1850000,27.0,82.0,1,left,P. Millsap 8' driving floating Jump Shot (2 PTS) (F. Korkmaz 1 AST),"[200794, 1627788]",1610612755.0,PHI,driving floating,,,,,,,,,Millsap,P. Millsap,,,Made,2.0,8.6,,,,,,F. Korkmaz,1627788.0,1.0,,,,,
199,PT11M18.00S,2022-02-27T18:48:02.3Z,2,REGULAR,3pt,Jump Shot,[],1629629,86.94152431011827,95.83333333333334,1610612752,35,40,2022-02-27T18:48:09Z,1870000,229.0,70.0,1,right,MISS C. Reddish 3PT,[1629629],1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,Missed,,23.97,,,,,,,,,,,,,
200,PT11M16.00S,2022-02-27T18:48:04.3Z,2,REGULAR,rebound,defensive,[],201935,,,1610612755,35,40,2022-02-27T18:48:09Z,1880000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,199.0,2.0,2.0,0.0,,,,,,,,,
201,PT10M54.00S,2022-02-27T18:48:25.9Z,2,REGULAR,3pt,Jump Shot,[],201935,31.61957950065703,63.970588235294116,1610612755,35,40,2022-02-27T18:48:32Z,1890000,-70.0,245.0,1,left,MISS J. Harden 25' step back 3PT,[201935],1610612755.0,PHI,step back,,,,,,,,,Harden,J. Harden,,,Missed,,25.45,,,,,,,,,,,,,
202,PT10M52.00S,2022-02-27T18:48:27.9Z,2,REGULAR,rebound,offensive,[],200794,,,1610612755,35,40,2022-02-27T18:48:32Z,1900000,,,0,,P. Millsap REBOUND (Off:1 Def:0),[200794],1610612755.0,PHI,,,,,,,,,,Millsap,P. Millsap,,,,,,201.0,1.0,0.0,1.0,,,,,,,,,
203,PT10M47.00S,2022-02-27T18:48:33.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627788,33.459264126149804,22.058823529411764,1610612755,35,40,2022-02-27T18:48:40Z,1910000,140.0,262.0,1,left,MISS F. Korkmaz 29' 3PT,[1627788],1610612755.0,PHI,,,,,,,,,,Korkmaz,F. Korkmaz,,,Missed,,29.69,,,,,,,,,,,,,
204,PT10M45.00S,2022-02-27T18:48:35.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612752,35,40,2022-02-27T18:48:40Z,1920000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,203.0,,,,,,,,,,,,
205,PT10M45.00S,2022-02-27T18:48:39.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,35,40,2022-02-27T18:48:39Z,1930000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT10M33.00S,2022-02-27T18:48:57.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,93.24901445466492,46.568627450980394,1610612752,35,40,2022-02-27T18:49:01Z,1940000,-17.0,11.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612752.0,NYK,driving,,,,,,,,,Barrett,R. Barrett,,,Missed,,2.04,,,,,,,,,,,,,
207,PT10M31.00S,2022-02-27T18:48:59.3Z,2,REGULAR,rebound,defensive,[],201980,,,1610612755,35,40,2022-02-27T18:49:01Z,1950000,,,0,,D. Green REBOUND (Off:0 Def:1),[201980],1610612755.0,PHI,,,,,,,,,,Green,D. Green,,,,,,206.0,1.0,1.0,0.0,,,,,,,,,
208,PT10M24.00S,2022-02-27T18:49:06.0Z,2,REGULAR,turnover,bad pass,[],200794,,,1610612755,35,40,2022-02-27T18:49:12Z,1960000,,,0,,P. Millsap bad pass TURNOVER (1 TO),"[200794, 1629628]",1610612755.0,PHI,,,,,,,,,,Millsap,P. Millsap,,,,,,,,,,1.0,,,,Barrett,1629628.0,,,
209,PT10M24.00S,2022-02-27T18:49:06.0Z,2,REGULAR,steal,,[],1629628,,,1610612752,35,40,2022-02-27T18:49:07Z,1970000,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
210,PT10M19.00S,2022-02-27T18:49:10.9Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629629,94.03745072273325,51.225490196078425,1610612752,37,40,2022-02-27T18:54:07Z,1980000,6.0,4.0,1,right,C. Reddish running Layup (2 PTS) (R. Barrett 4 AST),"[1629629, 1629628]",1610612752.0,NYK,running,,,,,,,,,Reddish,C. Reddish,,,Made,2.0,0.7,,,,,,R. Barrett,1629628.0,4.0,,,,,
212,PT10M03.00S,2022-02-27T18:49:26.2Z,2,REGULAR,3pt,Jump Shot,[],202699,32.802233902759525,50.0,1610612755,37,40,2022-02-27T18:49:31Z,2000000,0.0,256.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,Missed,,25.58,,,,,,,,,,,,,
213,PT10M01.00S,2022-02-27T18:49:28.2Z,2,REGULAR,rebound,defensive,[],1630579,,,1610612752,37,40,2022-02-27T18:49:31Z,2010000,,,0,,J. Sims REBOUND (Off:3 Def:7),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,212.0,10.0,7.0,3.0,,,,,,,,,
214,PT09M54.00S,2022-02-27T18:49:35.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,88.51839684625493,49.26470588235294,1610612752,37,40,2022-02-27T18:49:41Z,2020000,-4.0,55.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 202699]",1610612752.0,NYK,driving,,,,,,,,,Barrett,R. Barrett,,,Missed,,5.55,,,,,,,,,,,Harris,202699.0,
215,PT09M54.00S,2022-02-27T18:49:35.0Z,2,REGULAR,block,,[],202699,,,1610612752,37,40,2022-02-27T18:57:20Z,2030000,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
216,PT09M52.00S,2022-02-27T18:49:37.0Z,2,REGULAR,rebound,offensive,[],1629628,,,1610612752,37,40,2022-02-27T18:49:41Z,2040000,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,,,214.0,1.0,0.0,1.0,,,,,,,,,
217,PT09M43.00S,2022-02-27T18:49:45.9Z,2,REGULAR,turnover,lost ball,[],1630193,,,1610612752,37,40,2022-02-27T18:49:52Z,2050000,,,0,,I. Quickley lost ball TURNOVER (1 TO),"[1630193, 200794]",1610612752.0,NYK,,,,,,,,,,Quickley,I. Quickley,,,,,,,,,,1.0,,,,Millsap,200794.0,,,
218,PT09M43.00S,2022-02-27T18:49:45.9Z,2,REGULAR,steal,,[],200794,,,1610612755,37,40,2022-02-27T19:56:33Z,2060000,,,0,,P. Millsap STEAL (1 STL),[200794],1610612755.0,PHI,,,,,,,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,
219,PT09M39.00S,2022-02-27T18:49:54.7Z,2,REGULAR,turnover,out-of-bounds,[],201935,,,1610612755,37,40,2022-02-27T18:50:00Z,2070000,,,0,,J. Harden lost ball out-of-bounds TURNOVER (2 TO),[201935],1610612755.0,PHI,lost ball,,,,,,202058.0,,,Harden,J. Harden,,,,,,,,,,2.0,,,,,,,,
220,PT09M39.00S,2022-02-27T18:49:54.8Z,2,REGULAR,substitution,out,[],1630579,,,1610612752,37,40,2022-02-27T18:50:24Z,2080000,,,0,,SUB out: J. Sims,[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,
221,PT09M39.00S,2022-02-27T18:49:54.8Z,2,REGULAR,substitution,out,[],1627788,,,1610612752,37,40,2022-02-27T18:50:24Z,2090000,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,,,,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,
222,PT09M39.00S,2022-02-27T18:49:54.8Z,2,REGULAR,substitution,in,[],1629011,,,1610612752,37,40,2022-02-27T18:50:24Z,2100000,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
223,PT09M39.00S,2022-02-27T18:49:54.8Z,2,REGULAR,substitution,in,[],1629003,,,1610612752,37,40,2022-02-27T18:50:24Z,2110000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,,,,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,
224,PT09M28.00S,2022-02-27T18:50:32.5Z,2,REGULAR,turnover,traveling,[],1630193,,,1610612752,37,40,2022-02-27T18:50:37Z,2120000,,,0,,I. Quickley traveling TURNOVER (2 TO),[1630193],1610612752.0,NYK,,,,,,,200834.0,,,Quickley,I. Quickley,,,,,,,,,,2.0,,,,,,,,
225,PT09M05.00S,2022-02-27T18:51:04.2Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],200794,6.389618922470433,25.49019607843137,1610612755,37,42,2022-02-27T19:01:35Z,2130000,123.0,8.0,1,left,P. Millsap 12' fadeaway Jump Shot (4 PTS) (J. Harden 5 AST),"[200794, 201935]",1610612755.0,PHI,fadeaway,,,,,,,,,Millsap,P. Millsap,,,Made,4.0,12.27,,,,,,J. Harden,201935.0,5.0,,,,,
227,PT08M49.00S,2022-02-27T18:51:20.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,93.11760840998686,44.11764705882353,1610612752,39,42,2022-02-27T18:51:24Z,2150000,-29.0,12.0,1,right,R. Barrett driving Layup (9 PTS),[1629628],1610612752.0,NYK,driving,,,,,,,,,Barrett,R. Barrett,,,Made,9.0,3.18,,,,,,,,,,,,,
228,PT08M36.00S,2022-02-27T18:51:32.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,18.478975032851512,38.23529411764706,1610612755,39,42,2022-02-27T18:51:40Z,2160000,59.0,121.0,1,left,MISS T. Harris 13' turnaround Shot,[202699],1610612755.0,PHI,turnaround,,,,,,,,,Harris,T. Harris,,,Missed,,13.47,,,,,,,,,,,,,
229,PT08M34.00S,2022-02-27T18:51:34.7Z,2,REGULAR,rebound,defensive,[],1629011,,,1610612752,39,42,2022-02-27T18:51:40Z,2170000,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,,,,228.0,2.0,1.0,1.0,,,,,,,,,
230,PT08M27.00S,2022-02-27T18:51:44.4Z,2,REGULAR,foul,personal,['2freethrow'],201980,,,1610612752,39,42,2022-02-27T18:51:50Z,2180000,,,0,,D. Green shooting personal FOUL (1 PF) (Barrett 2 FT),"[201980, 1629628]",1610612755.0,PHI,shooting,,,,,,201245.0,1.0,0.0,Green,D. Green,Barrett,1629628.0,,,,,,,,,,,,,,,,
234,PT08M27.00S,2022-02-27T18:51:56.4Z,2,REGULAR,substitution,out,[],1630193,,,1610612752,39,42,2022-02-27T18:52:24Z,2195000,,,0,,SUB out: I. Quickley,[1630193],1610612752.0,NYK,,,,,,,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,
235,PT08M27.00S,2022-02-27T18:51:56.4Z,2,REGULAR,substitution,out,[],200794,,,1610612752,39,42,2022-02-27T18:52:24Z,2197500,,,0,,SUB out: P. Millsap,[200794],1610612755.0,PHI,,,,,,,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,
236,PT08M27.00S,2022-02-27T18:51:56.4Z,2,REGULAR,substitution,out,[],201980,,,1610612752,39,42,2022-02-27T18:52:24Z,2198750,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,,,,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
237,PT08M27.00S,2022-02-27T18:51:56.4Z,2,REGULAR,substitution,in,[],202692,,,1610612752,39,42,2022-02-27T18:52:24Z,2199375,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,
238,PT08M27.00S,2022-02-27T18:51:56.4Z,2,REGULAR,substitution,in,[],203954,,,1610612752,39,42,2022-02-27T18:52:24Z,2199687,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,
239,PT08M27.00S,2022-02-27T18:51:56.4Z,2,REGULAR,substitution,in,[],1630178,,,1610612752,39,42,2022-02-27T18:52:24Z,2199843,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
232,PT08M27.00S,2022-02-27T18:52:08.4Z,2,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,39,42,2022-02-27T18:52:08Z,2200000,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Missed,,,,,,,,,,,,,,,
233,PT08M27.00S,2022-02-27T18:52:08.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,39,42,2022-02-27T18:52:08Z,2210000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,232.0,,,,,,,,,,,,
240,PT08M27.00S,2022-02-27T18:52:39.1Z,2,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,40,42,2022-02-27T18:52:39Z,2220000,,,0,,R. Barrett Free Throw 2 of 2 (10 PTS),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Made,10.0,,,,,,,,,,,,,,
241,PT08M12.00S,2022-02-27T18:52:58.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,6.783837056504599,65.19607843137256,1610612755,40,44,2022-02-27T19:03:47Z,2230000,-76.0,11.0,1,left,T. Maxey 7' driving floating Jump Shot (9 PTS) (J. Harden 6 AST),"[1630178, 201935]",1610612755.0,PHI,driving floating,,,,,,,,,Maxey,T. Maxey,,,Made,9.0,7.68,,,,,,J. Harden,201935.0,6.0,,,,,
243,PT07M49.00S,2022-02-27T18:53:21.3Z,2,REGULAR,turnover,bad pass,[],202692,,,1610612752,40,44,2022-02-27T18:53:26Z,2250000,,,0,,A. Burks bad pass TURNOVER (1 TO),"[202692, 201935]",1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,,,,,,,1.0,,,,Harden,201935.0,,,
244,PT07M49.00S,2022-02-27T18:53:21.3Z,2,REGULAR,steal,,[],201935,,,1610612755,40,44,2022-02-27T18:53:23Z,2260000,,,0,,J. Harden STEAL (3 STL),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
245,PT07M47.00S,2022-02-27T18:53:24.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201935,6.389618922470433,53.67647058823529,1610612755,40,44,2022-02-27T18:53:32Z,2270000,-18.0,8.0,1,left,MISS J. Harden driving Layup,[201935],1610612755.0,PHI,driving,,,,,,,,,Harden,J. Harden,,,Missed,,1.99,,,,,,,,,,,,,
246,PT07M45.00S,2022-02-27T18:53:26.3Z,2,REGULAR,rebound,offensive,[],1629003,,,1610612755,40,44,2022-02-27T18:53:32Z,2280000,,,0,,S. Milton REBOUND (Off:1 Def:0),[1629003],1610612755.0,PHI,,,,,,,,,,Milton,S. Milton,,,,,,245.0,1.0,0.0,1.0,,,,,,,,,
247,PT07M45.00S,2022-02-27T18:53:27.6Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629003,5.590000152587891,50.0,1610612755,40,46,2022-02-27T18:53:34Z,2290000,0.0,0.0,1,left,S. Milton putback Layup (2 PTS),[1629003],1610612755.0,PHI,putback,,,,,,,,,Milton,S. Milton,,,Made,2.0,0.0,,,,,,,,,,,,,
248,PT07M39.00S,2022-02-27T18:53:34.3Z,2,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612752,40,46,2022-02-27T18:53:42Z,2300000,,,0,,T. Maxey shooting personal FOUL (2 PF) (Barrett 2 FT),"[1630178, 1629628]",1610612755.0,PHI,shooting,,,,,,200834.0,2.0,0.0,Maxey,T. Maxey,Barrett,1629628.0,,,,,,,,,,,,,,,,
252,PT07M39.00S,2022-02-27T18:53:47.4Z,2,REGULAR,substitution,out,[],1630167,,,1610612752,40,46,2022-02-27T18:54:08Z,2315000,,,0,,SUB out: O. Toppin,[1630167],1610612752.0,NYK,,,,,,,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,
253,PT07M39.00S,2022-02-27T18:53:47.4Z,2,REGULAR,substitution,in,[],203944,,,1610612752,40,46,2022-02-27T18:54:08Z,2317500,,,0,,SUB in: J. Randle,[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,
250,PT07M39.00S,2022-02-27T18:54:00.5Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1629628,,,1610612752,40,46,2022-02-27T18:54:21Z,2320000,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Missed,,,,,,,,,,,,,,,
251,PT07M39.00S,2022-02-27T18:54:00.5Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612752,40,46,2022-02-27T18:54:21Z,2330000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,
254,PT07M39.00S,2022-02-27T18:54:00.5Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1629628,,,1610612752,40,46,2022-02-27T18:54:21Z,2340000,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Missed,,,,,,,,,,,,,,,
255,PT07M37.00S,2022-02-27T18:54:02.5Z,2,REGULAR,rebound,defensive,[],201935,,,1610612755,40,46,2022-02-27T18:54:21Z,2350000,,,0,,J. Harden REBOUND (Off:0 Def:3),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,254.0,3.0,3.0,0.0,,,,,,,,,
256,PT07M26.00S,2022-02-27T18:54:28.8Z,2,REGULAR,turnover,lost ball,[],202699,,,1610612755,40,46,2022-02-27T18:54:33Z,2360000,,,0,,T. Harris lost ball TURNOVER (1 TO),"[202699, 1629629]",1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,1.0,,,,Reddish,1629629.0,,,
257,PT07M26.00S,2022-02-27T18:54:28.8Z,2,REGULAR,steal,,[],1629629,,,1610612752,40,46,2022-02-27T18:54:31Z,2370000,,,0,,C. Reddish STEAL (1 STL),[1629629],1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,
258,PT07M21.00S,2022-02-27T18:54:34.0Z,2,REGULAR,turnover,lost ball,[],1629629,,,1610612752,40,46,2022-02-27T18:54:39Z,2380000,,,0,,C. Reddish lost ball TURNOVER (1 TO),"[1629629, 201935]",1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,1.0,,,,Harden,201935.0,,,
259,PT07M21.00S,2022-02-27T18:54:34.0Z,2,REGULAR,steal,,[],201935,,,1610612755,40,46,2022-02-27T19:07:54Z,2390000,,,0,,J. Harden STEAL (4 STL),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
260,PT07M18.00S,2022-02-27T18:54:40.5Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1629003,7.046649145860711,53.18627450980392,1610612755,40,48,2022-02-27T19:08:29Z,2400000,-16.0,14.0,1,left,S. Milton running Layup (4 PTS) (J. Harden 7 AST),"[1629003, 201935]",1610612755.0,PHI,running,,,,,,,,,Milton,S. Milton,,,Made,4.0,2.1,,,,,,J. Harden,201935.0,7.0,,,,,
261,PT07M18.00S,2022-02-27T18:54:46.1Z,2,REGULAR,violation,defensive goaltending,[],1629011,,,1610612755,40,48,2022-02-27T18:54:51Z,2410000,,,0,,M. Robinson defensive goaltending VIOLATION,[1629011],1610612752.0,NYK,,,,,,,200834.0,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
262,PT07M13.00S,2022-02-27T18:54:54.4Z,2,REGULAR,timeout,full,['team'],0,,,1610612752,40,48,2022-02-27T18:54:54Z,2420000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT07M13.00S,2022-02-27T18:54:54.5Z,2,REGULAR,substitution,out,[],1629628,,,1610612752,40,48,2022-02-27T18:57:46Z,2430000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
265,PT07M13.00S,2022-02-27T18:54:54.5Z,2,REGULAR,substitution,in,[],203095,,,1610612752,40,48,2022-02-27T18:57:46Z,2440000,,,0,,SUB in: E. Fournier,[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,
266,PT07M00.00S,2022-02-27T18:58:36.7Z,2,REGULAR,2pt,Jump Shot,[],203944,82.47371879106439,17.647058823529413,1610612752,40,48,2022-02-27T18:58:43Z,2450000,-162.0,112.0,1,right,MISS J. Randle 19' Jump Shot,[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,Missed,,19.69,,,,,,,,,,,,,
267,PT06M58.00S,2022-02-27T18:58:38.7Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,40,48,2022-02-27T18:58:43Z,2460000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,266.0,1.0,1.0,0.0,,,,,,,,,
268,PT06M51.00S,2022-02-27T18:58:45.9Z,2,REGULAR,3pt,Jump Shot,[],1630178,24.917871222076215,8.823529411764707,1610612755,40,51,2022-02-27T18:58:49Z,2470000,206.0,182.0,1,left,T. Maxey 27' 3PT  (12 PTS) (J. Harden 8 AST),"[1630178, 201935]",1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,Made,12.0,27.46,,,,,,J. Harden,201935.0,8.0,,,,,
273,PT06M51.00S,2022-02-27T18:59:02.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,40,51,2022-02-27T18:59:22Z,2490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT06M29.00S,2022-02-27T18:59:19.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,94.30026281208936,53.431372549019606,1610612752,42,51,2022-02-27T18:59:26Z,2500000,17.0,1.0,1,right,C. Reddish driving Layup (4 PTS) (E. Fournier 1 AST),"[1629629, 203095]",1610612752.0,NYK,driving,,,,,,,,,Reddish,C. Reddish,,,Made,4.0,1.72,,,,,,E. Fournier,203095.0,1.0,,,,,
