actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoverdPersonId
56,PT07M48.00S,2023-02-04T00:19:43.3Z,1,REGULAR,turnover,lost ball,[],1631105,,,1610612765,15,6,2023-02-04T00:19:49Z,560000,False,,,0,,J. Duren lost ball TURNOVER (1 TO),"[1631105, 203486]",1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Duren,J. Duren,,,,,1.0,Plumlee,203486.0,,,,,,,,,,,,
57,PT07M48.00S,2023-02-04T00:19:43.3Z,1,REGULAR,steal,,[],203486,,,1610612766,15,6,2023-02-04T00:19:45Z,570000,False,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,
58,PT07M36.00S,2023-02-04T00:19:55.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203486,8.09789750328515,41.66666666666667,1610612766,15,6,2023-02-04T00:19:59Z,580000,False,42.0,24.0,1,left,MISS M. Plumlee Hook,[203486],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,4.79,Missed,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,
59,PT07M34.00S,2023-02-04T00:19:57.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,15,6,2023-02-04T00:19:59Z,590000,False,,,0,,J. Duren REBOUND (Off:0 Def:3),[1631105],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Duren,J. Duren,58.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
60,PT07M25.00S,2023-02-04T00:20:06.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,92.9862023653088,54.41176470588235,1610612765,15,6,2023-02-04T00:20:11Z,600000,False,22.0,13.0,1,right,MISS I. Stewart driving Hook,[1630191],1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,2.58,Missed,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,
61,PT07M22.00S,2023-02-04T00:20:09.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,15,6,2023-02-04T00:20:11Z,610000,False,,,0,,L. Ball REBOUND (Off:0 Def:3),[1630163],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Ball,L. Ball,60.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
63,PT07M06.00S,2023-02-04T00:20:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,8.886333771353483,55.14705882352941,1610612766,15,8,2023-02-04T00:20:46Z,630000,False,-26.0,31.0,1,left,T. Rozier driving floating Jump Shot (2 PTS),[1626179],1610612766.0,CHA,driving floating,,,,,,Restricted Area,0-8 Center,4.03,Made,Rozier,T. Rozier,,,,,,,,2.0,,,,,,,,,,,
64,PT06M52.00S,2023-02-04T00:20:51.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202692,84.31340341655716,61.029411764705884,1610612765,15,8,2023-02-04T00:20:56Z,640000,False,55.0,95.0,1,right,MISS A. Burks 10' pullup Shot,[202692],1610612765.0,DET,pullup,,,,,,In The Paint (Non-RA),8-16 Center,10.98,Missed,Burks,A. Burks,,,,,,,,,,,,,,,,,,,
65,PT06M48.00S,2023-02-04T00:20:54.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,15,8,2023-02-04T00:20:54Z,650000,False,,,0,,L. Ball REBOUND (Off:0 Def:4),[1630163],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),8-16 Center,,,Ball,L. Ball,64.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
66,PT06M43.00S,2023-02-04T00:21:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,6.1268068331143235,52.94117647058824,1610612766,15,10,2023-02-04T00:21:30Z,660000,False,-15.0,5.0,1,left,T. Rozier driving Layup (4 PTS),[1626179],1610612766.0,CHA,driving,,,,,,Restricted Area,0-8 Center,1.56,Made,Rozier,T. Rozier,,,,,,,,4.0,,,,,,,,,,,
67,PT06M32.00S,2023-02-04T00:21:13.6Z,1,REGULAR,turnover,out-of-bounds,[],1631105,,,1610612765,15,10,2023-02-04T00:21:26Z,670000,False,,,0,,J. Duren bad pass out-of-bounds TURNOVER (2 TO),[1631105],1610612765.0,DET,bad pass,,,,,,Mid-Range,8-16 Right,,,Duren,J. Duren,,,,,2.0,,,,,,,,,200834.0,,,,,
68,PT06M22.00S,2023-02-04T00:21:34.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630163,6.652431011826544,54.41176470588235,1610612766,15,10,2023-02-04T00:23:08Z,680000,False,-22.0,10.0,1,left,MISS L. Ball driving Layup,[1630163],1610612766.0,CHA,driving,,,,,,Restricted Area,0-8 Center,2.43,Missed,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
