actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
172,PT00M00.80S,2025-11-13T00:36:47.1Z,1,REGULAR,freethrow,2 of 2,[],1627747,,,1610612765,35,23,2025-11-13T00:37:25Z,1677500,False,,,0,,MISS C. LeVert Free Throw 2 of 2,[1627747],1610612765.0,DET,,,,LeVert,C. LeVert,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
173,PT00M00.10S,2025-11-13T00:36:47.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,35,23,2025-11-13T00:37:25Z,1678750,False,,,0,,J. Smith REBOUND (Off:1 Def:2),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,172.0,3.0,2.0,1.0,,,,,,,,
174,PT00M00.00S,2025-11-13T00:37:07.0Z,1,REGULAR,period,end,[],0,,,1610612741,35,23,2025-11-13T00:37:07Z,1720000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,out,['startperiod'],1627747,,,1610612741,35,23,2025-11-13T00:39:35Z,1730000,False,,,0,,SUB out: C. LeVert,[1627747],1610612765.0,DET,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,out,['startperiod'],1642404,,,1610612741,35,23,2025-11-13T00:39:35Z,1740000,False,,,0,,SUB out: C. Lanier,[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,out,['startperiod'],1631207,,,1610612741,35,23,2025-11-13T00:39:35Z,1750000,False,,,0,,SUB out: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,out,['startperiod'],1630245,,,1610612741,35,23,2025-11-13T00:39:35Z,1760000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,out,['startperiod'],1630188,,,1610612741,35,23,2025-11-13T00:39:35Z,1770000,False,,,0,,SUB out: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,in,['startperiod'],1641842,,,1610612741,35,23,2025-11-13T00:39:35Z,1780000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,in,['startperiod'],1642450,,,1610612741,35,23,2025-11-13T00:39:35Z,1790000,False,,,0,,SUB in: D. Jenkins,[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,in,['startperiod'],1630200,,,1610612741,35,23,2025-11-13T00:39:35Z,1800000,False,,,0,,SUB in: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,in,['startperiod'],202696,,,1610612741,35,23,2025-11-13T00:39:35Z,1810000,False,,,0,,SUB in: N. Vučević,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2025-11-13T00:38:44.1Z,2,REGULAR,substitution,in,['startperiod'],1630171,,,1610612741,35,23,2025-11-13T00:39:35Z,1820000,False,,,0,,SUB in: I. Okoro,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2025-11-13T00:39:42.9Z,2,REGULAR,period,start,[],0,,,1610612765,35,23,2025-11-13T00:39:42Z,1830000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT11M40.00S,2025-11-13T00:40:02.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1642449,8.229303547963205,50.245098039215684,1610612765,37,23,2025-11-13T00:40:05Z,1840000,False,-1.0,25.0,1,left,T. Smith DUNK (6 PTS) (D. Jenkins 5 AST),"[1642449, 1642450]",1610612765.0,DET,,,,Smith,T. Smith,,,,,Restricted Area,0-8 Center,,,2.49,Made,6.0,D. Jenkins,1642450.0,5.0,,,,,,,,,,,,
189,PT11M15.00S,2025-11-13T00:40:26.3Z,2,REGULAR,foul,personal,['2freethrow'],1641752,,,1610612741,37,23,2025-11-13T00:40:42Z,1860000,False,,,0,,B. Klintman shooting personal FOUL (1 PF) (Jones 2 FT),"[1641752, 1630200]",1610612765.0,DET,shooting,,,Klintman,B. Klintman,,,,,In The Paint (Non-RA),8-16 Center,2534.0,,,,,,,,,,,,,,,,1.0,0.0,Jones,1630200.0
191,PT11M15.00S,2025-11-13T00:40:47.9Z,2,REGULAR,freethrow,1 of 2,[],1630200,,,1610612741,37,24,2025-11-13T00:41:13Z,1880000,False,,,0,,T. Jones Free Throw 1 of 2 (3 PTS),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
192,PT11M15.00S,2025-11-13T00:40:47.9Z,2,REGULAR,freethrow,2 of 2,[],1630200,,,1610612741,37,24,2025-11-13T00:41:13Z,1890000,False,,,0,,MISS T. Jones Free Throw 2 of 2,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
193,PT11M15.00S,2025-11-13T00:40:47.9Z,2,REGULAR,rebound,defensive,[],1641752,,,1610612765,37,24,2025-11-13T00:41:13Z,1900000,False,,,0,,B. Klintman REBOUND (Off:0 Def:3),[1641752],1610612765.0,DET,,,,Klintman,B. Klintman,,,,,,,,,,,,,,,192.0,3.0,3.0,0.0,,,,,,,,
194,PT11M02.00S,2025-11-13T00:41:15.5Z,2,REGULAR,3pt,Jump Shot,[],1641752,7.30946123521682,96.07843137254902,1610612765,37,24,2025-11-13T00:41:20Z,1910000,False,-230.0,16.0,1,left,MISS B. Klintman 3PT,[1641752],1610612765.0,DET,,,,Klintman,B. Klintman,,,,,Left Corner 3,24+ Left,,,23.1,Missed,,,,,,,,,,,,,,,,
195,PT10M59.00S,2025-11-13T00:41:18.5Z,2,REGULAR,rebound,defensive,[],1630200,,,1610612741,37,24,2025-11-13T00:41:20Z,1920000,False,,,0,,T. Jones REBOUND (Off:0 Def:2),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,,,,,,,194.0,2.0,2.0,0.0,,,,,,,,
196,PT10M45.00S,2025-11-13T00:41:31.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202696,90.62089356110381,44.6078431372549,1610612741,37,24,2025-11-13T00:41:35Z,1930000,False,-27.0,36.0,1,right,MISS N. Vučević turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,4.48,Missed,,,,,,,,,,,,,,,,
197,PT10M43.00S,2025-11-13T00:41:34.4Z,2,REGULAR,rebound,defensive,[],1642449,,,1610612765,37,24,2025-11-13T00:41:34Z,1940000,False,,,0,,T. Smith REBOUND (Off:1 Def:3),[1642449],1610612765.0,DET,,,,Smith,T. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,196.0,4.0,3.0,1.0,,,,,,,,
198,PT10M36.00S,2025-11-13T00:41:40.8Z,2,REGULAR,2pt,Jump Shot,[],1642450,16.90210249671485,66.66666666666666,1610612765,37,24,2025-11-13T00:41:46Z,1950000,False,-83.0,106.0,1,left,MISS D. Jenkins 13' pullup Shot,[1642450],1610612765.0,DET,pullup,,,Jenkins,D. Jenkins,,,,,Mid-Range,8-16 Left,,,13.51,Missed,,,,,,,,,,,,,,,,
199,PT10M33.00S,2025-11-13T00:41:43.8Z,2,REGULAR,rebound,defensive,[],202696,,,1610612741,37,24,2025-11-13T00:41:46Z,1960000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Left,,,,,,,,,198.0,1.0,1.0,0.0,,,,,,,,
200,PT10M28.00S,2025-11-13T00:41:49.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202696,70.25295663600527,22.54901960784314,1610612741,37,24,2025-11-13T00:42:20Z,1970000,False,-137.0,227.0,1,right,MISS N. Vučević 26' running 3PT,[202696],1610612741.0,CHI,running,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,26.54,Missed,,,,,,,,,,,,,,,,
201,PT10M25.00S,2025-11-13T00:41:52.5Z,2,REGULAR,rebound,defensive,[],1641842,,,1610612765,37,24,2025-11-13T00:41:54Z,1980000,False,,,0,,R. Holland II REBOUND (Off:0 Def:3),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Above the Break 3,24+ Left Center,,,,,,,,,200.0,3.0,3.0,0.0,,,,,,,,
202,PT10M12.00S,2025-11-13T00:42:05.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,12.697109067017081,44.6078431372549,1610612765,39,24,2025-11-13T00:42:15Z,1990000,False,27.0,67.0,1,left,D. Robinson 7' driving finger roll Layup (14 PTS),[1629130],1610612765.0,DET,driving finger roll,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,7.21,Made,14.0,,,,,,,,,,,,,,,
203,PT09M58.00S,2025-11-13T00:42:18.9Z,2,REGULAR,3pt,Jump Shot,[],1628975,71.82982917214193,78.92156862745098,1610612741,39,27,2025-11-13T00:42:23Z,2000000,False,145.0,212.0,1,right,J. Carter 25' 3PT  (9 PTS) (T. Jones 1 AST),"[1628975, 1630200]",1610612741.0,CHI,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Right Center,,,25.69,Made,9.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,
205,PT09M42.00S,2025-11-13T00:42:35.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642450,16.113666228646515,40.931372549019606,1610612765,39,27,2025-11-13T00:58:25Z,2020000,False,45.0,99.0,1,left,MISS D. Jenkins 10' driving floating Shot,[1642450],1610612765.0,DET,driving floating,,,Jenkins,D. Jenkins,,,,,In The Paint (Non-RA),8-16 Center,,,10.89,Missed,,,,,,,,,,,,,,,,
206,PT09M41.00S,2025-11-13T00:42:36.1Z,2,REGULAR,rebound,offensive,[],1642450,,,1610612765,39,27,2025-11-13T00:42:40Z,2030000,False,,,0,,D. Jenkins REBOUND (Off:1 Def:0),[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,205.0,1.0,0.0,1.0,,,,,,,,
207,PT09M40.00S,2025-11-13T00:42:37.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642450,8.09789750328515,52.94117647058824,1610612765,41,27,2025-11-13T00:58:39Z,2040000,False,-15.0,24.0,1,left,D. Jenkins putback Layup (6 PTS),[1642450],1610612765.0,DET,putback,,,Jenkins,D. Jenkins,,,,,Restricted Area,0-8 Center,,,2.78,Made,6.0,,,,,,,,,,,,,,,
208,PT09M28.00S,2025-11-13T00:42:53.3Z,2,REGULAR,foul,personal,[],1642449,,,1610612741,41,27,2025-11-13T00:59:01Z,2050000,False,,,0,,T. Smith personal FOUL (1 PF),"[1642449, 202696]",1610612765.0,DET,,,,Smith,T. Smith,,,,,Mid-Range,16-24 Left Center,2534.0,,,,,,,,,,,,,,,,1.0,0.0,Vučević,202696.0
210,PT09M28.00S,2025-11-13T00:43:13.0Z,2,REGULAR,substitution,out,[],1641763,,,1610612741,41,27,2025-11-13T00:43:28Z,2070000,False,,,0,,SUB out: J. Phillips,[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT09M28.00S,2025-11-13T00:43:13.0Z,2,REGULAR,substitution,in,[],1628989,,,1610612741,41,27,2025-11-13T00:43:28Z,2080000,False,,,0,,SUB in: K. Huerter,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT09M28.00S,2025-11-13T00:43:13.0Z,2,REGULAR,substitution,out,[],1629130,,,1610612741,41,27,2025-11-13T00:47:02Z,2085000,False,,,0,,SUB out: D. Robinson,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT09M28.00S,2025-11-13T00:43:13.0Z,2,REGULAR,substitution,in,[],1631111,,,1610612741,41,27,2025-11-13T00:47:02Z,2087500,False,,,0,,SUB in: W. Moore Jr.,[1631111],1610612765.0,DET,,,,Moore Jr.,W. Moore Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT09M16.00S,2025-11-13T00:43:29.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,94.1688567674113,48.28431372549019,1610612741,41,29,2025-11-13T00:59:27Z,2090000,False,-9.0,2.0,1,right,K. Huerter cutting Layup (4 PTS) (N. Vučević 1 AST),"[1628989, 202696]",1610612741.0,CHI,cutting,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,0.89,Made,4.0,N. Vučević,202696.0,1.0,,,,,,,,,,,,
214,PT09M00.00S,2025-11-13T00:43:39.5Z,2,REGULAR,turnover,bad pass,[],1641752,,,1610612765,41,29,2025-11-13T00:43:50Z,2110000,False,,,0,,B. Klintman bad pass TURNOVER (2 TO),"[1641752, 1628975]",1610612765.0,DET,,,,Klintman,B. Klintman,,,,,Mid-Range,16-24 Left,,2.0,,,,,,,,,,,,,Carter,1628975.0,,,,
215,PT09M00.00S,2025-11-13T00:43:39.5Z,2,REGULAR,steal,,[],1628975,,,1610612741,41,29,2025-11-13T00:43:42Z,2120000,False,,,0,,J. Carter STEAL (2 STL),[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
216,PT08M54.00S,2025-11-13T00:43:46.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630171,91.14651773981603,51.470588235294116,1610612741,41,29,2025-11-13T01:01:31Z,2130000,False,7.0,31.0,1,right,MISS I. Okoro running Layup,[1630171],1610612741.0,CHI,running,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,3.16,Missed,,,,,,,,,,,,,,,,
217,PT08M51.00S,2025-11-13T00:43:48.9Z,2,REGULAR,rebound,offensive,[],1630171,,,1610612741,41,29,2025-11-13T00:43:48Z,2140000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,,,,,216.0,1.0,0.0,1.0,,,,,,,,
218,PT08M45.00S,2025-11-13T00:43:55.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630171,94.03745072273325,51.470588235294116,1610612741,41,31,2025-11-13T00:44:22Z,2150000,False,7.0,4.0,1,right,I. Okoro cutting DUNK (3 PTS) (K. Huerter 2 AST),"[1630171, 1628989]",1610612741.0,CHI,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,0.82,Made,3.0,K. Huerter,1628989.0,2.0,,,,,,,,,,,,
220,PT08M45.00S,2025-11-13T00:44:03.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,41,31,2025-11-13T00:44:03Z,2170000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M45.00S,2025-11-13T00:46:24.3Z,2,REGULAR,substitution,out,[],1641752,,,1610612765,41,31,2025-11-13T00:46:44Z,2180000,False,,,0,,SUB out: B. Klintman,[1641752],1610612765.0,DET,,,,Klintman,B. Klintman,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT08M45.00S,2025-11-13T00:46:24.3Z,2,REGULAR,substitution,out,[],1642449,,,1610612765,41,31,2025-11-13T00:46:44Z,2190000,False,,,0,,SUB out: T. Smith,[1642449],1610612765.0,DET,,,,Smith,T. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT08M45.00S,2025-11-13T00:46:24.3Z,2,REGULAR,substitution,out,[],1630171,,,1610612765,41,31,2025-11-13T00:46:44Z,2210000,False,,,0,,SUB out: I. Okoro,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M45.00S,2025-11-13T00:46:24.3Z,2,REGULAR,substitution,in,[],1629750,,,1610612765,41,31,2025-11-13T00:46:44Z,2220000,False,,,0,,SUB in: J. Green,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M45.00S,2025-11-13T00:46:24.3Z,2,REGULAR,substitution,in,[],1630194,,,1610612765,41,31,2025-11-13T00:46:44Z,2230000,False,,,0,,SUB in: P. Reed,[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M45.00S,2025-11-13T00:46:24.3Z,2,REGULAR,substitution,in,[],1641824,,,1610612765,41,31,2025-11-13T00:46:44Z,2250000,False,,,0,,SUB in: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT08M35.00S,2025-11-13T00:47:06.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642450,7.5722733245729295,46.32352941176471,1610612765,43,31,2025-11-13T00:47:13Z,2260000,False,18.0,19.0,1,left,D. Jenkins driving Layup (8 PTS),[1642450],1610612765.0,DET,driving,,,Jenkins,D. Jenkins,,,,,Restricted Area,0-8 Center,,,2.62,Made,8.0,,,,,,,,,,,,,,,
232,PT08M17.00S,2025-11-13T00:47:23.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202696,92.9862023653088,64.70588235294117,1610612741,43,33,2025-11-13T01:03:25Z,2270000,False,74.0,13.0,1,right,N. Vučević 7' turnaround Hook (4 PTS),[202696],1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,7.47,Made,4.0,,,,,,,,,,,,,,,
234,PT08M00.00S,2025-11-13T00:47:43.3Z,2,REGULAR,turnover,out-of-bounds,[],1630194,,,1610612765,43,33,2025-11-13T01:07:26Z,2290000,False,,,0,,P. Reed bad pass out-of-bounds TURNOVER (1 TO),[1630194],1610612765.0,DET,bad pass,,,Reed,P. Reed,,,,,Above the Break 3,24+ Left Center,1626300.0,1.0,,,,,,,,,,,,,,,,,,
235,PT08M00.00S,2025-11-13T00:47:47.5Z,2,REGULAR,substitution,out,[],1630200,,,1610612741,43,33,2025-11-13T00:47:53Z,2300000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT08M00.00S,2025-11-13T00:47:47.5Z,2,REGULAR,substitution,in,[],1630245,,,1610612741,43,33,2025-11-13T00:47:53Z,2310000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M51.00S,2025-11-13T00:48:00.0Z,2,REGULAR,turnover,bad pass,[],1630245,,,1610612741,43,33,2025-11-13T00:48:04Z,2320000,False,,,0,,A. Dosunmu bad pass TURNOVER (2 TO),"[1630245, 1631111]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Center,,2.0,,,,,,,,,,,,,Moore Jr.,1631111.0,,,,
238,PT07M51.00S,2025-11-13T00:48:00.0Z,2,REGULAR,steal,,[],1631111,,,1610612765,43,33,2025-11-13T00:48:01Z,2330000,False,,,0,,W. Moore Jr. STEAL (1 STL),[1631111],1610612765.0,DET,,,,Moore Jr.,W. Moore Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
239,PT07M48.00S,2025-11-13T00:48:02.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631111,7.046649145860711,50.73529411764706,1610612765,45,33,2025-11-13T00:48:09Z,2340000,False,-4.0,14.0,1,left,W. Moore Jr. running DUNK (2 PTS),[1631111],1610612765.0,DET,running,,,Moore Jr.,W. Moore Jr.,,,,,Restricted Area,0-8 Center,,,1.42,Made,2.0,,,,,,,,,,,,,,,
240,PT07M30.00S,2025-11-13T00:48:21.4Z,2,REGULAR,turnover,bad pass,[],1628989,,,1610612741,45,33,2025-11-13T00:48:25Z,2350000,False,,,0,,K. Huerter bad pass TURNOVER (1 TO),"[1628989, 1642450]",1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,Jenkins,1642450.0,,,,
241,PT07M30.00S,2025-11-13T00:48:21.4Z,2,REGULAR,steal,,[],1642450,,,1610612765,45,33,2025-11-13T00:48:23Z,2360000,False,,,0,,D. Jenkins STEAL (1 STL),[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
242,PT07M26.00S,2025-11-13T00:48:25.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641842,8.09789750328515,51.470588235294116,1610612765,47,33,2025-11-13T00:48:34Z,2370000,False,-7.0,24.0,1,left,R. Holland II running Layup (5 PTS),[1641842],1610612765.0,DET,running,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,,,2.47,Made,5.0,,,,,,,,,,,,,,,
243,PT07M10.00S,2025-11-13T00:48:42.3Z,2,REGULAR,turnover,out-of-bounds,[],1628975,,,1610612741,47,33,2025-11-13T00:48:48Z,2380000,False,,,0,,J. Carter bad pass out-of-bounds TURNOVER (1 TO),[1628975],1610612741.0,CHI,bad pass,,,Carter,J. Carter,,,,,Right Corner 3,24+ Right,2534.0,1.0,,,,,,,,,,,,,,,,,,
244,PT06M47.00S,2025-11-13T00:49:39.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629750,28.33442838370565,22.54901960784314,1610612765,47,33,2025-11-13T00:49:43Z,2390000,False,137.0,214.0,1,left,MISS J. Green 25' 3PT,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,25.41,Missed,,,,,,,,,,,,,,,,
245,PT06M45.00S,2025-11-13T00:49:41.0Z,2,REGULAR,rebound,defensive,[],1641824,,,1610612741,47,33,2025-11-13T00:49:44Z,2400000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:3),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,244.0,3.0,3.0,0.0,,,,,,,,
246,PT06M27.00S,2025-11-13T00:49:58.4Z,2,REGULAR,3pt,Jump Shot,[],1630245,69.20170827858082,27.205882352941174,1610612741,47,36,2025-11-13T00:50:04Z,2410000,False,-114.0,237.0,1,right,A. Dosunmu 26' 3PT  (8 PTS) (M. Buzelis 1 AST),"[1630245, 1641824]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,26.3,Made,8.0,M. Buzelis,1641824.0,1.0,,,,,,,,,,,,
248,PT06M12.00S,2025-11-13T00:50:13.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642450,9.017739816031538,55.14705882352941,1610612765,49,36,2025-11-13T00:50:18Z,2430000,False,-26.0,32.0,1,left,D. Jenkins driving finger roll Layup (10 PTS),[1642450],1610612765.0,DET,driving finger roll,,,Jenkins,D. Jenkins,,,,,Restricted Area,0-8 Center,,,4.13,Made,10.0,,,,,,,,,,,,,,,
249,PT06M02.00S,2025-11-13T00:50:28.5Z,2,REGULAR,foul,personal,[],1641842,,,1610612741,49,36,2025-11-13T04:00:26Z,2440000,False,,,0,,R. Holland II personal FOUL (1 PF),"[1641842, 1641824]",1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,1627519.0,,,,,,,,,,,,,,,,1.0,0.0,Buzelis,1641824.0
251,PT06M02.00S,2025-11-13T00:50:42.4Z,2,REGULAR,substitution,out,[],1641842,,,1610612741,49,36,2025-11-13T00:50:55Z,2460000,False,,,0,,SUB out: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M02.00S,2025-11-13T00:50:42.4Z,2,REGULAR,substitution,out,[],1628975,,,1610612741,49,36,2025-11-13T00:50:55Z,2470000,False,,,0,,SUB out: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT06M02.00S,2025-11-13T00:50:42.4Z,2,REGULAR,substitution,in,[],1627747,,,1610612741,49,36,2025-11-13T00:50:55Z,2480000,False,,,0,,SUB in: C. LeVert,[1627747],1610612765.0,DET,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT06M02.00S,2025-11-13T00:50:42.4Z,2,REGULAR,substitution,in,[],1630172,,,1610612741,49,36,2025-11-13T00:50:55Z,2490000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M48.00S,2025-11-13T00:51:13.2Z,2,REGULAR,3pt,Jump Shot,[],1628989,69.07030223390277,67.40196078431373,1610612741,49,36,2025-11-13T00:51:19Z,2500000,False,87.0,238.0,1,right,MISS K. Huerter 25' 3PT,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,25.36,Missed,,,,,,,,,,,,,,,,
256,PT05M45.00S,2025-11-13T00:51:16.5Z,2,REGULAR,rebound,offensive,[],1630172,,,1610612741,49,36,2025-11-13T00:51:16Z,2510000,False,,,0,,P. Williams REBOUND (Off:3 Def:0),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,255.0,3.0,0.0,3.0,,,,,,,,
