actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,area,areaDetail,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
174,PT11M23.00S,2023-11-02T01:45:02.2Z,2,REGULAR,substitution,in,[],1629723,,,1610612762,42,25,2023-11-02T01:45:04Z,1740000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M06.00S,2023-11-02T01:45:43.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,10.33180026281209,49.754901960784316,1610612762,44,25,2023-11-02T01:45:48Z,1750000,False,1.0,45.0,1,left,W. Kessler cutting Layup (2 PTS) (T. Horton-Tucker 3 AST),"[1631117, 1629659]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,,,,Made,2.0,In The Paint (Non-RA),0-8 Center,4.46,T. Horton-Tucker,1629659.0,3.0,,,,,,,,,,,
177,PT10M55.00S,2023-11-02T01:45:53.4Z,2,REGULAR,3pt,Jump Shot,[],1630217,66.17936925098554,29.166666666666668,1610612763,44,25,2023-11-02T01:45:59Z,1770000,False,-104.0,265.0,1,right,MISS D. Bane 28' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Missed,,Above the Break 3,24+ Left Center,28.51,,,,,,,,,,,,,,
178,PT10M52.00S,2023-11-02T01:45:56.4Z,2,REGULAR,rebound,defensive,[],1641718,,,1610612762,44,25,2023-11-02T01:45:59Z,1780000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,177.0,1.0,1.0,0.0,,,
179,PT10M35.00S,2023-11-02T01:46:14.2Z,2,REGULAR,3pt,Jump Shot,[],1641718,29.122864651773984,76.22549019607843,1610612762,44,25,2023-11-02T01:46:19Z,1790000,False,-131.0,221.0,1,left,MISS K. George 25' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Missed,,Above the Break 3,24+ Left Center,25.72,,,,,,,,,,,,,,
180,PT10M32.00S,2023-11-02T01:46:17.2Z,2,REGULAR,rebound,defensive,[],1631367,,,1610612763,44,25,2023-11-02T01:46:19Z,1800000,False,,,0,,J. Gilyard REBOUND (Off:0 Def:1),[1631367],1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,179.0,1.0,1.0,0.0,,,
181,PT10M22.00S,2023-11-02T01:46:26.7Z,2,REGULAR,3pt,Jump Shot,[],1631367,73.14388961892247,82.84313725490196,1610612763,44,25,2023-11-02T01:46:32Z,1810000,False,164.0,200.0,1,right,MISS J. Gilyard 25' 3PT,[1631367],1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,,,,Missed,,Above the Break 3,24+ Right Center,25.87,,,,,,,,,,,,,,
182,PT10M21.00S,2023-11-02T01:46:27.7Z,2,REGULAR,rebound,offensive,[],1628991,,,1610612763,44,25,2023-11-02T01:46:32Z,1820000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:3),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,181.0,4.0,3.0,1.0,,,
183,PT10M21.00S,2023-11-02T01:46:31.7Z,2,REGULAR,foul,personal,[],1629659,,,1610612763,44,25,2023-11-02T01:46:42Z,1830000,False,,,0,,T. Horton-Tucker personal FOUL (2 PF),"[1629659, 1628991]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,1146.0,2.0,0.0,,,Mid-Range,16-24 Left Center,,,,,Jackson Jr.,1628991.0,,,,,,,,,
186,PT10M09.00S,2023-11-02T01:47:03.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630217,79.84559789750328,42.64705882352941,1610612763,44,27,2023-11-02T01:47:09Z,1860000,False,-37.0,137.0,1,right,D. Bane 14' pullup Jump Shot (11 PTS) (J. Jackson Jr. 2 AST),"[1630217, 1628991]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,,,Made,11.0,In The Paint (Non-RA),8-16 Center,14.19,J. Jackson Jr.,1628991.0,2.0,,,,,,,,,,,
188,PT09M48.00S,2023-11-02T01:47:23.7Z,2,REGULAR,3pt,Jump Shot,[],1630534,30.962549277266753,33.82352941176471,1610612762,47,27,2023-11-02T01:47:29Z,1880000,False,81.0,239.0,1,left,O. Agbaji 25' 3PT  (3 PTS) (T. Horton-Tucker 4 AST),"[1630534, 1629659]",1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,Made,3.0,Above the Break 3,24+ Right Center,25.18,T. Horton-Tucker,1629659.0,4.0,,,,,,,,,,,
190,PT09M29.00S,2023-11-02T01:47:42.1Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1631223,87.07293035479631,46.81372549019608,1610612763,47,27,2023-11-02T01:49:14Z,1900000,False,-16.0,69.0,1,right,MISS D. Roddy 7' Hook,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,Missed,,In The Paint (Non-RA),0-8 Center,7.08,,,,,,,,,,,,,,
191,PT09M27.00S,2023-11-02T01:47:44.1Z,2,REGULAR,rebound,offensive,[],1629723,,,1610612763,47,27,2023-11-02T01:47:46Z,1910000,False,,,0,,J. Konchar REBOUND (Off:1 Def:0),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,190.0,1.0,0.0,1.0,,,
192,PT09M24.00S,2023-11-02T01:47:48.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630217,90.48948751642575,43.627450980392155,1610612763,47,29,2023-11-02T01:47:54Z,1920000,False,-32.0,37.0,1,right,D. Bane driving Layup (13 PTS) (J. Konchar 1 AST),"[1630217, 1629723]",1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,,,,Made,13.0,In The Paint (Non-RA),0-8 Center,4.88,J. Konchar,1629723.0,1.0,,,,,,,,,,,
194,PT09M07.00S,2023-11-02T01:48:04.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,9.674770039421814,39.950980392156865,1610612762,47,29,2023-11-02T01:48:09Z,1940000,False,50.0,38.0,1,left,MISS L. Markkanen 6' driving Layup,[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,,,,Missed,,In The Paint (Non-RA),0-8 Center,6.32,,,,,,,,,,,,,,
195,PT09M06.00S,2023-11-02T01:48:05.3Z,2,REGULAR,rebound,defensive,[],1629723,,,1610612763,47,29,2023-11-02T01:48:09Z,1950000,False,,,0,,J. Konchar REBOUND (Off:1 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,194.0,2.0,1.0,1.0,,,
196,PT08M59.00S,2023-11-02T01:48:15.9Z,2,REGULAR,foul,personal,['2freethrow'],1628374,,,1610612763,47,29,2023-11-02T01:48:20Z,1960000,False,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1628374, 1628991]",1610612762.0,UTA,shooting,,,Markkanen,L. Markkanen,,,,,203593.0,1.0,0.0,,,In The Paint (Non-RA),0-8 Center,,,,,Jackson Jr.,1628991.0,,,,,,,,,
198,PT08M59.00S,2023-11-02T01:48:41.7Z,2,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,47,30,2023-11-02T01:48:41Z,1980000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (9 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
199,PT08M59.00S,2023-11-02T01:48:42.4Z,2,REGULAR,substitution,out,[],1641718,,,1610612763,47,30,2023-11-02T01:48:50Z,1990000,False,,,0,,SUB out: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M59.00S,2023-11-02T01:48:42.4Z,2,REGULAR,substitution,out,[],1631367,,,1610612763,47,30,2023-11-02T01:48:50Z,2000000,False,,,0,,SUB out: J. Gilyard,[1631367],1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M59.00S,2023-11-02T01:48:42.4Z,2,REGULAR,substitution,out,[],1630217,,,1610612763,47,30,2023-11-02T01:48:50Z,2010000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M59.00S,2023-11-02T01:48:42.4Z,2,REGULAR,substitution,in,[],1627739,,,1610612763,47,30,2023-11-02T01:48:50Z,2020000,False,,,0,,SUB in: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M59.00S,2023-11-02T01:48:42.4Z,2,REGULAR,substitution,in,[],1628379,,,1610612763,47,30,2023-11-02T01:48:50Z,2030000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M59.00S,2023-11-02T01:48:42.4Z,2,REGULAR,substitution,in,[],203935,,,1610612763,47,30,2023-11-02T01:48:50Z,2040000,False,,,0,,SUB in: M. Smart,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M59.00S,2023-11-02T01:49:03.3Z,2,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,47,31,2023-11-02T01:49:03Z,2050000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (10 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
206,PT08M49.00S,2023-11-02T01:49:19.8Z,2,REGULAR,foul,personal,[],1628991,,,1610612762,47,31,2023-11-02T01:49:25Z,2060000,False,,,0,,J. Jackson Jr. personal FOUL (2 PF),"[1628991, 1628374]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,203593.0,2.0,1.0,,,In The Paint (Non-RA),0-8 Center,,,,,Markkanen,1628374.0,,,,,,,,,
208,PT08M42.00S,2023-11-02T01:49:43.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,11.251642575558476,41.66666666666667,1610612762,49,31,2023-11-02T01:49:47Z,2080000,False,42.0,53.0,1,left,L. Markkanen 6' Hook (12 PTS) (T. Horton-Tucker 5 AST),"[1628374, 1629659]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,12.0,In The Paint (Non-RA),0-8 Center,6.77,T. Horton-Tucker,1629659.0,5.0,,,,,,,,,,,
210,PT08M28.00S,2023-11-02T01:50:00.7Z,2,REGULAR,turnover,lost ball,[],203935,,,1610612763,49,31,2023-11-02T01:50:22Z,2100000,False,,,0,,M. Smart lost ball TURNOVER (3 TO),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,3.0,,
211,PT08M28.00S,2023-11-02T01:50:05.8Z,2,REGULAR,foul,personal,[],203935,,,1610612762,49,31,2023-11-02T01:50:14Z,2110000,False,,,0,,M. Smart loose ball personal FOUL (1 PF),"[203935, 1629659]",1610612763.0,MEM,loose ball,,,Smart,M. Smart,,,,,1146.0,1.0,0.0,,,Above the Break 3,24+ Center,,,,,Horton-Tucker,1629659.0,,,,,,,,,
213,PT08M20.00S,2023-11-02T01:50:41.0Z,2,REGULAR,turnover,bad pass,[],1630534,,,1610612762,49,31,2023-11-02T01:50:45Z,2130000,False,,,0,,O. Agbaji bad pass TURNOVER (1 TO),"[1630534, 203935]",1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Smart,203935.0
214,PT08M20.00S,2023-11-02T01:50:41.0Z,2,REGULAR,steal,,[],203935,,,1610612763,49,31,2023-11-02T01:50:42Z,2140000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,
215,PT08M15.00S,2023-11-02T01:50:46.3Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628379,75.77201051248358,12.990196078431374,1610612763,49,31,2023-11-02T01:50:58Z,2150000,False,-185.0,175.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,Missed,,Above the Break 3,24+ Left Center,25.48,,,,,,,,,,,,,,
216,PT08M12.00S,2023-11-02T01:50:49.3Z,2,REGULAR,rebound,defensive,[],1630534,,,1610612762,49,31,2023-11-02T01:50:51Z,2160000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:1),[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,215.0,1.0,1.0,0.0,,,
217,PT08M03.00S,2023-11-02T01:50:57.5Z,2,REGULAR,2pt,Jump Shot,[],1629659,7.046649145860711,33.57843137254902,1610612762,51,31,2023-11-02T01:51:02Z,2170000,False,82.0,14.0,1,left,T. Horton-Tucker 8' driving floating Jump Shot (2 PTS),[1629659],1610612762.0,UTA,driving floating,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,Made,2.0,Mid-Range,8-16 Right,8.32,,,,,,,,,,,,,,
219,PT07M49.00S,2023-11-02T01:51:12.1Z,2,REGULAR,3pt,Jump Shot,[],203935,66.96780551905388,61.51960784313726,1610612763,51,31,2023-11-02T01:51:17Z,2190000,False,58.0,258.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,Missed,,Above the Break 3,24+ Center,26.44,,,,,,,,,,,,,,
220,PT07M46.00S,2023-11-02T01:51:15.1Z,2,REGULAR,rebound,defensive,[],1631117,,,1610612762,51,31,2023-11-02T01:51:17Z,2200000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,219.0,2.0,2.0,0.0,,,
221,PT07M40.00S,2023-11-02T01:51:24.9Z,2,REGULAR,foul,personal,[],203935,,,1610612762,51,31,2023-11-02T01:51:46Z,2210000,False,,,0,,M. Smart personal FOUL (2 PF),"[203935, 1629659]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,203593.0,2.0,0.0,,,In The Paint (Non-RA),0-8 Center,,,,,Horton-Tucker,1629659.0,,,,,,,,,
223,PT07M36.00S,2023-11-02T01:52:08.3Z,2,REGULAR,3pt,Jump Shot,[],1630534,22.946780551905388,86.76470588235294,1610612762,51,31,2023-11-02T01:52:16Z,2230000,False,-184.0,163.0,1,left,MISS O. Agbaji 24' 3PT,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,Missed,,Above the Break 3,24+ Left Center,24.58,,,,,,,,,,,,,,
224,PT07M33.00S,2023-11-02T01:52:11.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,51,31,2023-11-02T01:52:16Z,2240000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,223.0,,,,,,
226,PT07M22.00S,2023-11-02T01:52:31.4Z,2,REGULAR,3pt,Jump Shot,[],1628379,69.99014454664915,71.81372549019608,1610612763,51,31,2023-11-02T01:52:36Z,2260000,False,109.0,230.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,Missed,,Above the Break 3,24+ Right Center,25.42,,,,,,,,,,,,,,
227,PT07M19.00S,2023-11-02T01:52:34.4Z,2,REGULAR,rebound,defensive,[],1628374,,,1610612762,51,31,2023-11-02T01:52:36Z,2270000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:5),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,226.0,5.0,5.0,0.0,,,
228,PT07M14.00S,2023-11-02T01:52:38.7Z,2,REGULAR,3pt,Jump Shot,[],1629659,30.17411300919842,74.75490196078431,1610612762,51,31,2023-11-02T01:52:45Z,2280000,False,-124.0,231.0,1,left,MISS T. Horton-Tucker 26' 3PT,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,Missed,,Above the Break 3,24+ Left Center,26.22,,,,,,,,,,,,,,
229,PT07M11.00S,2023-11-02T01:52:41.7Z,2,REGULAR,rebound,offensive,[],1629659,,,1610612762,51,31,2023-11-02T01:52:45Z,2290000,False,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:0),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,228.0,1.0,0.0,1.0,,,
230,PT07M09.00S,2023-11-02T01:52:44.7Z,2,REGULAR,turnover,bad pass,[],1629659,,,1610612762,51,31,2023-11-02T01:52:49Z,2300000,False,,,0,,T. Horton-Tucker bad pass TURNOVER (3 TO),"[1629659, 203935]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,3.0,Smart,203935.0
231,PT07M09.00S,2023-11-02T01:52:44.7Z,2,REGULAR,steal,,[],203935,,,1610612763,51,31,2023-11-02T01:52:46Z,2310000,False,,,0,,M. Smart STEAL (2 STL),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,
232,PT07M02.00S,2023-11-02T01:52:51.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628991,70.90998685939553,75.73529411764706,1610612763,51,31,2023-11-02T01:52:56Z,2320000,False,129.0,221.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,Above the Break 3,24+ Right Center,25.57,,,,,,,,,,,,,,
233,PT06M58.00S,2023-11-02T01:52:55.6Z,2,REGULAR,rebound,defensive,[],1628374,,,1610612762,51,31,2023-11-02T01:52:56Z,2330000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:6),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,232.0,6.0,6.0,0.0,,,
234,PT06M52.00S,2023-11-02T01:53:00.2Z,2,REGULAR,3pt,Jump Shot,[],1628374,30.17411300919842,12.009803921568627,1610612762,54,31,2023-11-02T01:53:05Z,2340000,False,190.0,231.0,1,left,L. Markkanen 29' 3PT  (15 PTS) (T. Horton-Tucker 6 AST),"[1628374, 1629659]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,15.0,Above the Break 3,24+ Right Center,29.92,T. Horton-Tucker,1629659.0,6.0,,,,,,,,,,,
236,PT06M51.00S,2023-11-02T01:53:06.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,54,31,2023-11-02T01:53:06Z,2360000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,out,[],1628374,,,1610612763,54,31,2023-11-02T01:55:55Z,2370000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,out,[],1631117,,,1610612763,54,31,2023-11-02T01:55:55Z,2380000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,out,[],1628991,,,1610612763,54,31,2023-11-02T01:55:55Z,2390000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,out,[],1631223,,,1610612763,54,31,2023-11-02T01:55:55Z,2400000,False,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,in,[],203903,,,1610612763,54,31,2023-11-02T01:55:55Z,2410000,False,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,in,[],1628381,,,1610612763,54,31,2023-11-02T01:55:55Z,2420000,False,,,0,,SUB in: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,in,[],1630214,,,1610612763,54,31,2023-11-02T01:55:55Z,2430000,False,,,0,,SUB in: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,in,[],1630533,,,1610612763,54,31,2023-11-02T01:55:55Z,2440000,False,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,out,[],1630534,,,1610612763,54,31,2023-11-02T01:56:06Z,2450000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M51.00S,2023-11-02T01:55:30.6Z,2,REGULAR,substitution,in,[],203482,,,1610612763,54,31,2023-11-02T01:56:06Z,2460000,False,,,0,,SUB in: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M41.00S,2023-11-02T01:56:17.7Z,2,REGULAR,foul,offensive,[],1630214,,,1610612763,54,31,2023-11-02T01:56:25Z,2470000,False,,,0,,X. Tillman offensive FOUL (3 PF),"[1630214, 1629659]",1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,1198.0,3.0,0.0,,,Mid-Range,16-24 Left,,,,,Horton-Tucker,1629659.0,,,,,,,,,
249,PT06M41.00S,2023-11-02T01:56:17.7Z,2,REGULAR,turnover,offensive foul,[],1630214,,,1610612763,54,31,2023-11-02T01:56:17Z,2490000,False,,,0,,X. Tillman offensive foul TURNOVER (2 TO),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,1198.0,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,2.0,,
250,PT06M41.00S,2023-11-02T01:56:24.8Z,2,REGULAR,substitution,out,[],1630214,,,1610612762,54,31,2023-11-02T01:56:31Z,2500000,False,,,0,,SUB out: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M41.00S,2023-11-02T01:56:24.8Z,2,REGULAR,substitution,in,[],1631254,,,1610612762,54,31,2023-11-02T01:56:31Z,2510000,False,,,0,,SUB in: K. Lofton Jr.,[1631254],1610612763.0,MEM,,,,Lofton Jr.,K. Lofton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M28.00S,2023-11-02T01:56:47.5Z,2,REGULAR,turnover,bad pass,[],203482,,,1610612762,54,31,2023-11-02T01:56:51Z,2520000,False,,,0,,K. Olynyk bad pass TURNOVER (2 TO),"[203482, 1631254]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,2.0,Lofton Jr.,1631254.0
253,PT06M28.00S,2023-11-02T01:56:47.5Z,2,REGULAR,steal,,[],1631254,,,1610612763,54,31,2023-11-02T01:56:49Z,2530000,False,,,0,,K. Lofton Jr. STEAL (1 STL),[1631254],1610612763.0,MEM,,,,Lofton Jr.,K. Lofton Jr.,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,
254,PT06M17.00S,2023-11-02T01:57:02.0Z,2,REGULAR,foul,personal,['2freethrow'],1629659,,,1610612763,54,31,2023-11-02T01:57:20Z,2540000,False,,,0,,T. Horton-Tucker shooting personal FOUL (3 PF) (Lofton Jr. 2 FT),"[1629659, 1631254]",1610612762.0,UTA,shooting,,,Horton-Tucker,T. Horton-Tucker,,,,,203593.0,3.0,0.0,,,In The Paint (Non-RA),0-8 Center,,,,,Lofton Jr.,1631254.0,,,,,,,,,
256,PT06M17.00S,2023-11-02T01:57:25.2Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1631254,,,1610612763,54,32,2023-11-02T01:57:43Z,2560000,False,,,0,,K. Lofton Jr. Free Throw 1 of 2 (1 PTS),[1631254],1610612763.0,MEM,,,,Lofton Jr.,K. Lofton Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
257,PT06M17.00S,2023-11-02T01:57:25.2Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1631254,,,1610612763,54,32,2023-11-02T01:57:43Z,2570000,False,,,0,,MISS K. Lofton Jr. Free Throw 2 of 2,[1631254],1610612763.0,MEM,,,,Lofton Jr.,K. Lofton Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
258,PT06M15.00S,2023-11-02T01:57:27.2Z,2,REGULAR,rebound,defensive,[],203482,,,1610612762,54,32,2023-11-02T01:57:43Z,2580000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:4),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,257.0,5.0,4.0,1.0,,,
259,PT06M07.00S,2023-11-02T01:57:50.4Z,2,REGULAR,3pt,Jump Shot,[],203903,31.09395532194481,32.35294117647059,1610612762,57,32,2023-11-02T01:57:58Z,2590000,False,88.0,240.0,1,left,J. Clarkson 25' 3PT  (10 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,10.0,Above the Break 3,24+ Right Center,25.55,,,,,,,,,,,,,,
