actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
170,PT10M33.00S,2024-11-05T01:12:30.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,92.32917214191852,50.0,1610612737,37,38,2024-11-05T01:12:37Z,1690000,False,0.0,20.0,1,right,J. Johnson driving Layup (13 PTS),[1630552],1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,Made,13.0,,,,,1.96,,,,,,,,
172,PT10M22.00S,2024-11-05T01:12:41.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,12.959921156373195,46.568627450980394,1610612738,37,38,2024-11-05T01:12:48Z,1710000,False,17.0,69.0,1,left,MISS D. White 7' driving floating bank Shot,[1628401],1610612738.0,BOS,driving floating bank,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,7.14,,,,,,,,
173,PT10M19.00S,2024-11-05T01:12:44.9Z,2,REGULAR,rebound,offensive,[],1628401,,,1610612738,37,38,2024-11-05T01:12:44Z,1720000,False,,,0,,D. White REBOUND (Off:2 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,172.0,3.0,1.0,2.0,,,,,,,,,
174,PT10M17.00S,2024-11-05T01:12:47.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,29.911300919842315,72.54901960784314,1610612738,37,38,2024-11-05T01:12:52Z,1730000,False,-113.0,229.0,1,left,MISS P. Pritchard 25' 3PT - blocked,"[1630202, 1629726]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.5,,,,,,,Mathews,1629726.0
175,PT10M17.00S,2024-11-05T01:12:47.1Z,2,REGULAR,block,,[],1629726,,,1610612738,37,38,2024-11-05T01:12:50Z,1740000,False,,,0,,G. Mathews BLOCK (1 BLK),[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
176,PT10M16.00S,2024-11-05T01:12:48.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,37,38,2024-11-05T01:12:52Z,1750000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,174.0,,,,,,,,,,,,
178,PT10M12.00S,2024-11-05T01:13:07.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201950,10.85742444152431,95.83333333333334,1610612738,37,38,2024-11-05T01:13:12Z,1770000,False,-229.0,50.0,1,left,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,23.45,,,,,,,,
179,PT10M12.00S,2024-11-05T01:13:07.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612737,37,38,2024-11-05T01:13:12Z,1780000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,178.0,,,,,,,,,,,,
181,PT10M00.00S,2024-11-05T01:13:30.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629726,81.2910643889619,60.5392156862745,1610612737,39,38,2024-11-05T01:16:17Z,1800000,False,53.0,123.0,1,right,G. Mathews 13' fadeaway Jump Shot (5 PTS) (J. Johnson 2 AST),"[1629726, 1630552]",1610612737.0,ATL,fadeaway,,,Mathews,G. Mathews,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,5.0,,,,,13.42,,,,J. Johnson,1630552.0,2.0,,
183,PT09M46.00S,2024-11-05T01:13:43.4Z,2,REGULAR,3pt,Jump Shot,[],1628401,31.750985545335087,35.78431372549019,1610612738,39,38,2024-11-05T01:13:50Z,1820000,False,71.0,246.0,1,left,MISS D. White 25' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,25.61,,,,,,,,
184,PT09M43.00S,2024-11-05T01:13:46.4Z,2,REGULAR,rebound,defensive,[],1630168,,,1610612737,39,38,2024-11-05T01:13:50Z,1830000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,,,,,183.0,2.0,2.0,0.0,,,,,,,,,
185,PT09M37.00S,2024-11-05T01:13:53.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,92.59198423127464,49.50980392156863,1610612737,41,38,2024-11-05T01:13:59Z,1840000,False,-2.0,17.0,1,right,O. Okongwu alley-oop DUNK (8 PTS) (J. Johnson 3 AST),"[1630168, 1630552]",1610612737.0,ATL,alley-oop,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,Made,8.0,,,,,1.73,,,,J. Johnson,1630552.0,3.0,,
187,PT09M37.00S,2024-11-05T01:13:58.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,41,38,2024-11-05T01:13:58Z,1860000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT09M37.00S,2024-11-05T01:16:33.1Z,2,REGULAR,substitution,out,[],1631223,,,1610612738,41,38,2024-11-05T01:16:50Z,1870000,False,,,0,,SUB out: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M37.00S,2024-11-05T01:16:33.1Z,2,REGULAR,substitution,out,[],1630168,,,1610612738,41,38,2024-11-05T01:16:50Z,1880000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT09M37.00S,2024-11-05T01:16:33.1Z,2,REGULAR,substitution,out,[],1628436,,,1610612738,41,38,2024-11-05T01:16:50Z,1890000,False,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M37.00S,2024-11-05T01:16:33.1Z,2,REGULAR,substitution,in,[],1642258,,,1610612738,41,38,2024-11-05T01:16:50Z,1900000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M37.00S,2024-11-05T01:16:33.1Z,2,REGULAR,substitution,in,[],203991,,,1610612738,41,38,2024-11-05T01:16:50Z,1910000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT09M37.00S,2024-11-05T01:16:33.1Z,2,REGULAR,substitution,in,[],1629674,,,1610612738,41,38,2024-11-05T01:16:50Z,1920000,False,,,0,,SUB in: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT09M26.00S,2024-11-05T01:17:06.7Z,2,REGULAR,3pt,Jump Shot,[],1628401,31.61957950065703,60.049019607843135,1610612738,41,41,2024-11-05T01:17:14Z,1930000,False,-50.0,245.0,1,left,D. White 24' 3PT  (5 PTS) (S. Hauser 1 AST),"[1628401, 1630573]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,Made,5.0,,,,,24.98,,,,S. Hauser,1630573.0,1.0,,
196,PT09M14.00S,2024-11-05T01:17:17.9Z,2,REGULAR,3pt,Jump Shot,[],1629726,81.8166885676741,93.13725490196079,1610612737,41,41,2024-11-05T01:17:23Z,1950000,False,216.0,118.0,1,right,MISS G. Mathews 24' pullup 3PT,[1629726],1610612737.0,ATL,pullup,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,24.61,,,,,,,,
197,PT09M14.00S,2024-11-05T01:17:23.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,41,41,2024-11-05T01:17:23Z,1960000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,196.0,,,,,,,,,,,,
198,PT09M14.00S,2024-11-05T01:17:23.8Z,2,REGULAR,foul,personal,[],1629674,,,1610612737,41,41,2024-11-05T01:17:32Z,1970000,False,,,0,,N. Queta loose ball personal FOUL (1 PF),"[1629674, 203991]",1610612738.0,BOS,loose ball,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,200832.0,1.0,0.0,Capela,203991.0,,,,,,,,,,,,,,,
200,PT09M09.00S,2024-11-05T01:17:42.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630552,75.1149802890933,11.76470588235294,1610612737,41,41,2024-11-05T01:17:48Z,1990000,False,-191.0,181.0,1,right,MISS J. Johnson 26' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,26.36,,,,,,,,
201,PT09M06.00S,2024-11-05T01:17:45.8Z,2,REGULAR,rebound,defensive,[],1629674,,,1610612738,41,41,2024-11-05T01:17:48Z,2000000,False,,,0,,N. Queta REBOUND (Off:0 Def:2),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Left Center,,,,,,,,200.0,2.0,2.0,0.0,,,,,,,,,
202,PT08M51.00S,2024-11-05T01:18:00.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629674,8.09789750328515,55.14705882352941,1610612738,41,41,2024-11-05T01:18:05Z,2010000,False,-26.0,24.0,1,left,MISS N. Queta turnaround Hook,[1629674],1610612738.0,BOS,turnaround,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.49,,,,,,,,
203,PT08M49.00S,2024-11-05T01:18:02.3Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,41,41,2024-11-05T01:18:05Z,2020000,False,,,0,,J. Johnson REBOUND (Off:2 Def:5),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,202.0,7.0,5.0,2.0,,,,,,,,,
204,PT08M39.00S,2024-11-05T01:18:12.7Z,2,REGULAR,3pt,Jump Shot,[],1630552,66.96780551905388,43.872549019607845,1610612737,44,41,2024-11-05T01:18:17Z,2030000,False,-31.0,258.0,1,right,J. Johnson 25' 3PT  (16 PTS) (Z. Risacher 2 AST),"[1630552, 1642258]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,,Made,16.0,,,,,25.98,,,,Z. Risacher,1642258.0,2.0,,
206,PT08M23.00S,2024-11-05T01:18:28.2Z,2,REGULAR,3pt,Jump Shot,[],1630202,32.933639947437584,47.30392156862745,1610612738,44,44,2024-11-05T01:18:33Z,2050000,False,13.0,257.0,1,left,P. Pritchard 25' 3PT  (11 PTS) (D. White 3 AST),"[1630202, 1628401]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,,,Made,11.0,,,,,25.75,,,,D. White,1628401.0,3.0,,
208,PT08M05.00S,2024-11-05T01:18:46.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,92.19776609724047,44.85294117647059,1610612737,44,44,2024-11-05T01:18:56Z,2070000,False,-26.0,21.0,1,right,MISS Z. Risacher driving Layup - blocked,"[1642258, 201950]",1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.31,,,,,,,Holiday,201950.0
209,PT08M05.00S,2024-11-05T01:18:46.7Z,2,REGULAR,block,,[],201950,,,1610612737,44,44,2024-11-05T01:18:50Z,2080000,False,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
210,PT08M05.00S,2024-11-05T01:18:46.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,44,44,2024-11-05T01:18:56Z,2090000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,208.0,,,,,,,,,,,,
212,PT08M05.00S,2024-11-05T01:18:53.0Z,2,REGULAR,substitution,out,[],1630811,,,1610612737,44,44,2024-11-05T01:19:05Z,2110000,False,,,0,,SUB out: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M05.00S,2024-11-05T01:18:53.0Z,2,REGULAR,substitution,in,[],1629027,,,1610612737,44,44,2024-11-05T01:19:05Z,2120000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M58.00S,2024-11-05T01:19:21.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630552,86.28449408672799,45.09803921568628,1610612737,44,44,2024-11-05T01:19:27Z,2130000,False,-25.0,76.0,1,right,MISS J. Johnson 8' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,8.02,,,,,,,,
215,PT07M55.00S,2024-11-05T01:19:24.4Z,2,REGULAR,rebound,defensive,[],1629674,,,1610612738,44,44,2024-11-05T01:19:27Z,2140000,False,,,0,,N. Queta REBOUND (Off:0 Def:3),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,214.0,3.0,3.0,0.0,,,,,,,,,
216,PT07M49.00S,2024-11-05T01:19:30.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630573,7.5722733245729295,48.529411764705884,1610612738,44,46,2024-11-05T01:19:35Z,2150000,False,7.0,19.0,1,left,S. Hauser driving reverse Layup (2 PTS) (J. Holiday 2 AST),"[1630573, 201950]",1610612738.0,BOS,driving reverse,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,2.01,,,,J. Holiday,201950.0,2.0,,
218,PT07M41.00S,2024-11-05T01:19:37.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,92.19776609724047,53.18627450980392,1610612737,44,46,2024-11-05T01:19:42Z,2170000,False,16.0,21.0,1,right,MISS Z. Risacher driving Layup - blocked,"[1642258, 1628401]",1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.62,,,,,,,White,1628401.0
219,PT07M41.00S,2024-11-05T01:19:37.7Z,2,REGULAR,block,,[],1628401,,,1610612737,44,46,2024-11-05T01:19:40Z,2180000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
220,PT07M39.00S,2024-11-05T01:19:39.7Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,44,46,2024-11-05T01:19:42Z,2190000,False,,,0,,D. White REBOUND (Off:2 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,218.0,4.0,2.0,2.0,,,,,,,,,
221,PT07M33.00S,2024-11-05T01:19:46.8Z,2,REGULAR,3pt,Jump Shot,[],201950,5.469776609724048,3.431372549019608,1610612738,44,49,2024-11-05T01:19:51Z,2200000,False,233.0,-1.0,1,left,J. Holiday 3PT  (8 PTS) (P. Pritchard 1 AST),"[201950, 1630202]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,,,,Made,8.0,,,,,23.28,,,,P. Pritchard,1630202.0,1.0,,
223,PT07M14.00S,2024-11-05T01:20:04.8Z,2,REGULAR,3pt,Jump Shot,[],1629027,55.79829172141918,52.94117647058824,1610612737,44,49,2024-11-05T01:20:09Z,2220000,False,15.0,363.0,1,right,MISS T. Young 36' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,36.33,,,,,,,,
224,PT07M12.00S,2024-11-05T01:20:06.8Z,2,REGULAR,rebound,defensive,[],1630573,,,1610612738,44,49,2024-11-05T01:20:09Z,2230000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,,,223.0,1.0,1.0,0.0,,,,,,,,,
225,PT07M08.00S,2024-11-05T01:20:11.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201950,6.783837056504599,48.28431372549019,1610612738,44,51,2024-11-05T01:20:25Z,2240000,False,9.0,11.0,1,left,J. Holiday running reverse Layup (10 PTS) (D. White 4 AST),"[201950, 1628401]",1610612738.0,BOS,running reverse,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,Made,10.0,,,,,1.42,,,,D. White,1628401.0,4.0,,
227,PT07M08.00S,2024-11-05T01:20:21.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,44,51,2024-11-05T01:20:21Z,2260000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M08.00S,2024-11-05T01:20:32.4Z,2,REGULAR,foul,technical,['1freethrow'],1629726,,,1610612737,44,51,2024-11-05T01:21:29Z,2270000,False,,,0,,G. Mathews technical FOUL (1 Tech),[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,200832.0,0.0,1.0,,,,,,,,,,,,,,,,,
229,PT07M08.00S,2024-11-05T01:22:25.7Z,2,REGULAR,substitution,out,[],1630552,,,1610612737,44,51,2024-11-05T01:23:10Z,2280000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT07M08.00S,2024-11-05T01:22:25.7Z,2,REGULAR,substitution,in,[],1631223,,,1610612737,44,51,2024-11-05T01:23:10Z,2290000,False,,,0,,SUB in: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT07M08.00S,2024-11-05T01:23:30.4Z,2,REGULAR,freethrow,1 of 1,[],1630202,,,1610612737,44,52,2024-11-05T01:23:30Z,2300000,False,,,0,,P. Pritchard technical Free Throw 1 of 1 (12 PTS),[1630202],1610612738.0,BOS,technical,,,Pritchard,P. Pritchard,,,,,,,,,,,,Made,12.0,,,,,,,,,,,,,
232,PT06M54.00S,2024-11-05T01:23:57.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,92.72339027595268,51.470588235294116,1610612737,46,52,2024-11-05T01:24:05Z,2310000,False,7.0,16.0,1,right,Z. Risacher driving reverse Layup (5 PTS) (T. Young 2 AST),"[1642258, 1629027]",1610612737.0,ATL,driving reverse,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,,,,,1.75,,,,T. Young,1629027.0,2.0,,
234,PT06M54.00S,2024-11-05T01:24:03.3Z,2,REGULAR,foul,personal,['1freethrow'],1629674,,,1610612737,46,52,2024-11-05T01:24:16Z,2330000,False,,,0,,N. Queta shooting personal FOUL (2 PF) (Risacher 1 FT),"[1629674, 1642258]",1610612738.0,BOS,shooting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,1204.0,2.0,0.0,Risacher,1642258.0,,,,,,,,,,,,,,,
236,PT06M54.00S,2024-11-05T01:24:19.5Z,2,REGULAR,freethrow,1 of 1,[],1642258,,,1610612737,47,52,2024-11-05T01:24:19Z,2350000,False,,,0,,Z. Risacher Free Throw 1 of 1 (6 PTS),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
237,PT06M44.00S,2024-11-05T01:24:31.6Z,2,REGULAR,3pt,Jump Shot,[],201950,32.14520367936925,37.745098039215684,1610612738,47,52,2024-11-05T01:24:36Z,2360000,False,61.0,250.0,1,left,MISS J. Holiday 25' pullup 3PT,[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,25.71,,,,,,,,
238,PT06M42.00S,2024-11-05T01:24:33.6Z,2,REGULAR,rebound,defensive,[],1642258,,,1610612737,47,52,2024-11-05T01:24:36Z,2370000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:2),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Center,,,,,,,,237.0,3.0,2.0,1.0,,,,,,,,,
239,PT06M35.00S,2024-11-05T01:24:41.5Z,2,REGULAR,3pt,Jump Shot,[],1642258,72.7496714848883,16.42156862745098,1610612737,47,52,2024-11-05T01:24:50Z,2380000,False,-168.0,204.0,1,right,MISS Z. Risacher 26' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,26.4,,,,,,,,
240,PT06M31.00S,2024-11-05T01:24:45.5Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,47,52,2024-11-05T01:24:50Z,2390000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,,,239.0,1.0,1.0,0.0,,,,,,,,,
241,PT06M29.00S,2024-11-05T01:24:49.5Z,2,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612738,47,52,2024-11-05T01:25:05Z,2400000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (White 2 FT),"[1642258, 1628401]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1204.0,1.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
243,PT06M29.00S,2024-11-05T01:25:16.1Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1628401,,,1610612738,47,52,2024-11-05T01:25:16Z,2420000,False,,,0,,MISS D. White Free Throw 1 of 2,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
244,PT06M29.00S,2024-11-05T01:25:16.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,47,52,2024-11-05T01:25:16Z,2430000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,243.0,,,,,,,,,,,,
245,PT06M29.00S,2024-11-05T01:25:17.2Z,2,REGULAR,substitution,out,[],1629726,,,1610612738,47,52,2024-11-05T01:25:27Z,2440000,False,,,0,,SUB out: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M29.00S,2024-11-05T01:25:17.2Z,2,REGULAR,substitution,out,[],1630573,,,1610612738,47,52,2024-11-05T01:25:27Z,2450000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M29.00S,2024-11-05T01:25:17.2Z,2,REGULAR,substitution,in,[],1630700,,,1610612738,47,52,2024-11-05T01:25:27Z,2460000,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT06M29.00S,2024-11-05T01:25:17.2Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,47,52,2024-11-05T01:25:27Z,2470000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M29.00S,2024-11-05T01:25:43.2Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1628401,,,1610612738,47,53,2024-11-05T01:25:43Z,2480000,False,,,0,,D. White Free Throw 2 of 2 (6 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
250,PT06M13.00S,2024-11-05T01:25:59.7Z,2,REGULAR,2pt,Jump Shot,[],1642258,89.30683311432325,68.38235294117648,1610612737,47,53,2024-11-05T01:26:10Z,2490000,False,92.0,48.0,1,right,MISS Z. Risacher 10' driving floating bank Shot,[1642258],1610612737.0,ATL,driving floating bank,,,Risacher,Z. Risacher,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,,,10.37,,,,,,,,
251,PT06M10.00S,2024-11-05T01:26:02.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,47,53,2024-11-05T01:26:10Z,2500000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,250.0,3.0,3.0,0.0,,,,,,,,,
252,PT05M49.00S,2024-11-05T01:26:24.8Z,2,REGULAR,3pt,Jump Shot,[],1628369,24.917871222076215,14.705882352941178,1610612738,47,56,2024-11-05T01:26:30Z,2510000,False,176.0,182.0,1,left,J. Tatum 25' 3PT pullup (19 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,Made,19.0,,,,,25.33,,,,,,,,
253,PT05M37.00S,2024-11-05T01:26:36.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631223,93.77463863337714,50.73529411764706,1610612737,49,56,2024-11-05T01:26:41Z,2520000,False,4.0,6.0,1,right,D. Roddy cutting DUNK (2 PTS) (T. Young 3 AST),"[1631223, 1629027]",1610612737.0,ATL,cutting,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,0.7,,,,T. Young,1629027.0,3.0,,
255,PT05M22.00S,2024-11-05T01:26:51.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201950,6.915243101182654,50.73529411764706,1610612738,49,58,2024-11-05T01:26:56Z,2540000,False,-4.0,13.0,1,left,J. Holiday driving Layup (12 PTS),[201950],1610612738.0,BOS,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,Made,12.0,,,,,1.3,,,,,,,,
256,PT05M09.00S,2024-11-05T01:27:07.0Z,2,REGULAR,foul,offensive,[],203991,,,1610612737,49,58,2024-11-05T01:27:15Z,2550000,False,,,0,,C. Capela off-the-ball offensive FOUL (1 PF),"[203991, 201950]",1610612737.0,ATL,off-the-ball,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,1204.0,1.0,0.0,Holiday,201950.0,,,,,,,,,,,,,,,
