actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
165,PT10M53.00S,2025-04-13T17:39:58.0Z,2,REGULAR,3pt,Jump Shot,[],1641732,67.09921156373193,38.23529411764706,1610612764,28,32,2025-04-13T17:40:04Z,1620000,False,-59.0,257.0,1,right,MISS C. Jones 26' 3PT,[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,Above the Break 3,24+ Center,,,,26.34,Missed,,,,,,,,,,,,,,,
166,PT10M50.00S,2025-04-13T17:40:01.0Z,2,REGULAR,rebound,offensive,[],1642259,,,1610612764,28,32,2025-04-13T17:40:04Z,1630000,False,,,0,,A. Sarr REBOUND (Off:1 Def:3),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Center,,,,,,,165.0,,,,,,,,,4.0,3.0,1.0,,
167,PT10M44.00S,2025-04-13T17:40:07.2Z,2,REGULAR,turnover,bad pass,[],1641732,,,1610612764,28,32,2025-04-13T17:40:14Z,1640000,False,,,0,,C. Jones bad pass TURNOVER (1 TO),"[1641732, 1642352]",1610612764.0,WAS,,,,Jones,C. Jones,,,,,Mid-Range,16-24 Left Center,1.0,Johnson,1642352.0,,,,,,,,,,,,,,,,,
168,PT10M44.00S,2025-04-13T17:40:07.2Z,2,REGULAR,steal,,[],1642352,,,1610612748,28,32,2025-04-13T17:47:34Z,1650000,False,,,0,,K. Johnson STEAL (1 STL),[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
169,PT10M30.00S,2025-04-13T17:40:23.8Z,2,REGULAR,turnover,backcourt,[],1626179,,,1610612748,28,32,2025-04-13T17:52:50Z,1660000,False,,,0,,T. Rozier backcourt TURNOVER (1 TO),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,,,,,,,,,
170,PT10M18.00S,2025-04-13T17:40:50.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1642267,68.54467805519053,67.40196078431373,1610612764,28,35,2025-04-13T17:40:54Z,1670000,False,87.0,243.0,1,right,B. Carrington 25' 3PT  (8 PTS) (A. Sarr 2 AST),"[1642267, 1642259]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,,,,25.83,Made,8.0,,,,,,,A. Sarr,1642259.0,2.0,,,,,
172,PT10M05.00S,2025-04-13T17:41:03.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,7.30946123521682,51.9607843137255,1610612748,30,35,2025-04-13T17:48:59Z,1690000,False,-10.0,16.0,1,left,J. Jaquez Jr. driving floating Jump Shot (9 PTS),[1631170],1610612748.0,MIA,driving floating,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,1.89,Made,9.0,,,,,,,,,,,,,,
173,PT09M47.00S,2025-04-13T17:41:21.7Z,2,REGULAR,3pt,Jump Shot,[],1642259,73.27529566360053,81.12745098039215,1610612764,30,38,2025-04-13T17:41:26Z,1700000,False,156.0,199.0,1,right,A. Sarr 25' 3PT  (8 PTS) (A. Johnson 3 AST),"[1642259, 1642358]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,25.24,Made,8.0,,,,,,,A. Johnson,1642358.0,3.0,,,,,
175,PT09M37.00S,2025-04-13T17:41:35.0Z,2,REGULAR,foul,personal,['2freethrow'],1642267,,,1610612748,30,38,2025-04-13T17:41:44Z,1720000,False,,,0,,B. Carrington shooting personal FOUL (1 PF) (Anderson 2 FT),"[1642267, 203937]",1610612764.0,WAS,shooting,,,Carrington,B. Carrington,,,,,Mid-Range,8-16 Center,,,,,,,,101283.0,1.0,0.0,Anderson,203937.0,,,,,,,,
177,PT09M37.00S,2025-04-13T17:42:01.2Z,2,REGULAR,freethrow,1 of 2,[],203937,,,1610612748,31,38,2025-04-13T17:42:01Z,1740000,False,,,0,,K. Anderson Free Throw 1 of 2 (1 PTS),[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
178,PT09M37.00S,2025-04-13T17:42:02.3Z,2,REGULAR,substitution,out,[],1642267,,,1610612748,31,38,2025-04-13T17:42:15Z,1750000,False,,,0,,SUB out: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT09M37.00S,2025-04-13T17:42:02.3Z,2,REGULAR,substitution,in,[],1630551,,,1610612748,31,38,2025-04-13T17:42:15Z,1760000,False,,,0,,SUB in: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT09M37.00S,2025-04-13T17:42:20.4Z,2,REGULAR,freethrow,2 of 2,[],203937,,,1610612748,32,38,2025-04-13T17:42:20Z,1770000,False,,,0,,K. Anderson Free Throw 2 of 2 (2 PTS),[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
181,PT09M24.00S,2025-04-13T17:42:33.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641774,82.7365308804205,50.0,1610612764,32,40,2025-04-13T17:49:54Z,1780000,False,0.0,110.0,1,right,T. Vukcevic 10' floating Jump Shot (11 PTS) (A. Johnson 4 AST),"[1641774, 1642358]",1610612764.0,WAS,floating,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),8-16 Center,,,,10.98,Made,11.0,,,,,,,A. Johnson,1642358.0,4.0,,,,,
183,PT09M12.00S,2025-04-13T17:42:44.9Z,2,REGULAR,3pt,Jump Shot,[],1631170,10.33180026281209,5.147058823529411,1610612748,35,40,2025-04-13T17:42:48Z,1800000,False,224.0,45.0,1,left,J. Jaquez Jr. 3PT  (12 PTS) (K. Anderson 2 AST),"[1631170, 203937]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Right Corner 3,24+ Right,,,,22.87,Made,12.0,,,,,,,K. Anderson,203937.0,2.0,,,,,
185,PT08M55.00S,2025-04-13T17:43:03.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1641774,91.5407358738502,47.30392156862745,1610612764,35,42,2025-04-13T17:43:07Z,1820000,False,-13.0,27.0,1,right,T. Vukcevic Hook (13 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,,,,3.02,Made,13.0,,,,,,,,,,,,,,
186,PT08M55.00S,2025-04-13T17:43:08.0Z,2,REGULAR,foul,personal,['1freethrow'],203937,,,1610612764,35,42,2025-04-13T17:43:35Z,1830000,False,,,0,,K. Anderson shooting personal FOUL (1 PF) (Vukcevic 1 FT),"[203937, 1641774]",1610612748.0,MIA,shooting,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,202058.0,1.0,0.0,Vukcevic,1641774.0,,,,,,,,
188,PT08M55.00S,2025-04-13T17:43:26.0Z,2,REGULAR,freethrow,1 of 1,[],1641774,,,1610612764,35,43,2025-04-13T17:43:26Z,1850000,False,,,0,,T. Vukcevic Free Throw 1 of 1 (14 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,Made,14.0,,,,,,,,,,,,,,
189,PT08M40.00S,2025-04-13T17:43:45.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630528,11.777266754270697,41.66666666666667,1610612748,35,43,2025-04-13T17:51:20Z,1860000,False,42.0,58.0,1,left,MISS J. Christopher 7' driving finger roll Layup,[1630528],1610612748.0,MIA,driving finger roll,,,Christopher,J. Christopher,,,,,In The Paint (Non-RA),0-8 Center,,,,7.16,Missed,,,,,,,,,,,,,,,
190,PT08M38.00S,2025-04-13T17:43:47.5Z,2,REGULAR,rebound,defensive,[],1642259,,,1610612764,35,43,2025-04-13T17:43:55Z,1870000,False,,,0,,A. Sarr REBOUND (Off:1 Def:4),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,189.0,,,,,,,,,5.0,4.0,1.0,,
191,PT08M34.00S,2025-04-13T17:43:51.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641732,93.64323258869908,47.05882352941176,1610612764,35,45,2025-04-13T17:44:06Z,1880000,False,-15.0,7.0,1,right,C. Jones running reverse Layup (2 PTS) (A. Sarr 3 AST),"[1641732, 1642259]",1610612764.0,WAS,running reverse,,,Jones,C. Jones,,,,,Restricted Area,0-8 Center,,,,1.64,Made,2.0,,,,,,,A. Sarr,1642259.0,3.0,,,,,
193,PT08M34.00S,2025-04-13T17:44:05.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,35,45,2025-04-13T17:44:05Z,1900000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT08M34.00S,2025-04-13T17:46:19.1Z,2,REGULAR,substitution,out,[],1642259,,,1610612748,35,45,2025-04-13T17:46:37Z,1910000,False,,,0,,SUB out: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT08M34.00S,2025-04-13T17:46:19.1Z,2,REGULAR,substitution,in,[],1642267,,,1610612748,35,45,2025-04-13T17:46:37Z,1920000,False,,,0,,SUB in: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT08M19.00S,2025-04-13T17:47:06.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,18.610381077529567,41.911764705882355,1610612748,37,45,2025-04-13T17:47:12Z,1930000,False,40.0,122.0,1,left,K. Anderson 12' turnaround fadeaway Jump Shot (4 PTS),[203937],1610612748.0,MIA,turnaround fadeaway,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Center,,,,12.89,Made,4.0,,,,,,,,,,,,,,
197,PT08M11.00S,2025-04-13T17:47:16.1Z,2,REGULAR,foul,personal,['2freethrow'],1642352,,,1610612764,37,45,2025-04-13T17:47:30Z,1940000,False,,,0,,K. Johnson shooting personal FOUL (2 PF) (Vukcevic 2 FT),"[1642352, 1641774]",1610612748.0,MIA,shooting,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627963.0,2.0,0.0,Vukcevic,1641774.0,,,,,,,,
199,PT08M11.00S,2025-04-13T17:47:35.8Z,2,REGULAR,freethrow,1 of 2,[],1641774,,,1610612764,37,46,2025-04-13T17:47:35Z,1960000,False,,,0,,T. Vukcevic Free Throw 1 of 2 (15 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,Made,15.0,,,,,,,,,,,,,,
200,PT08M11.00S,2025-04-13T17:47:47.7Z,2,REGULAR,freethrow,2 of 2,[],1641774,,,1610612764,37,47,2025-04-13T17:47:47Z,1970000,False,,,0,,T. Vukcevic Free Throw 2 of 2 (16 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,Made,16.0,,,,,,,,,,,,,,
201,PT07M58.00S,2025-04-13T17:48:03.4Z,2,REGULAR,foul,personal,['2freethrow'],1641774,,,1610612748,37,47,2025-04-13T17:48:24Z,1980000,False,,,0,,T. Vukcevic shooting personal FOUL (2 PF) (Jaquez Jr. 2 FT),"[1641774, 1631170]",1610612764.0,WAS,shooting,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,,,,,,,,1627963.0,2.0,0.0,Jaquez Jr.,1631170.0,,,,,,,,
203,PT07M58.00S,2025-04-13T17:48:25.9Z,2,REGULAR,freethrow,1 of 2,[],1631170,,,1610612748,37,47,2025-04-13T17:48:25Z,2000000,False,,,0,,MISS J. Jaquez Jr. Free Throw 1 of 2,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
204,PT07M58.00S,2025-04-13T17:48:25.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,37,47,2025-04-13T17:48:25Z,2010000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,203.0,,,,,,,,,,,,,
205,PT07M58.00S,2025-04-13T17:48:30.8Z,2,REGULAR,substitution,out,[],1641774,,,1610612748,37,47,2025-04-13T17:48:36Z,2020000,False,,,0,,SUB out: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M58.00S,2025-04-13T17:48:30.8Z,2,REGULAR,substitution,in,[],1642273,,,1610612748,37,47,2025-04-13T17:48:36Z,2030000,False,,,0,,SUB in: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M58.00S,2025-04-13T17:48:43.7Z,2,REGULAR,freethrow,2 of 2,[],1631170,,,1610612748,38,47,2025-04-13T17:48:43Z,2040000,False,,,0,,J. Jaquez Jr. Free Throw 2 of 2 (13 PTS),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,Made,13.0,,,,,,,,,,,,,,
208,PT07M49.00S,2025-04-13T17:48:55.6Z,2,REGULAR,2pt,Jump Shot,[],1641732,93.11760840998686,66.91176470588235,1610612764,38,47,2025-04-13T17:49:02Z,2050000,False,85.0,12.0,1,right,MISS C. Jones 8' turnaround Shot - blocked,"[1641732, 1630528]",1610612764.0,WAS,turnaround,,,Jones,C. Jones,,,,,Mid-Range,8-16 Right,,,,8.55,Missed,,,,,,,,,,,,,,Christopher,1630528.0
209,PT07M49.00S,2025-04-13T17:48:55.6Z,2,REGULAR,block,,[],1630528,,,1610612764,38,47,2025-04-13T17:49:00Z,2060000,False,,,0,,J. Christopher BLOCK (1 BLK),[1630528],1610612748.0,MIA,,,,Christopher,J. Christopher,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
210,PT07M47.00S,2025-04-13T17:48:57.6Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,38,47,2025-04-13T17:54:19Z,2070000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:2),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,8-16 Right,,,,,,,208.0,,,,,,,,,2.0,2.0,0.0,,
211,PT07M39.00S,2025-04-13T17:49:06.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,11.908672798948752,44.85294117647059,1610612748,38,47,2025-04-13T17:55:08Z,2080000,False,26.0,59.0,1,left,MISS J. Jaquez Jr. 6' driving floating Shot,[1631170],1610612748.0,MIA,driving floating,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,6.47,Missed,,,,,,,,,,,,,,,
212,PT07M38.00S,2025-04-13T17:49:07.3Z,2,REGULAR,rebound,offensive,[],1642352,,,1610612748,38,47,2025-04-13T17:55:08Z,2090000,False,,,0,,K. Johnson REBOUND (Off:2 Def:2),[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,211.0,,,,,,,,,4.0,2.0,2.0,,
213,PT07M37.00S,2025-04-13T17:49:09.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642352,6.521024967148489,50.49019607843137,1610612748,40,47,2025-04-13T17:56:13Z,2100000,False,-2.0,9.0,1,left,K. Johnson putback Layup (4 PTS),[1642352],1610612748.0,MIA,putback,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,0.91,Made,4.0,,,,,,,,,,,,,,
214,PT07M19.00S,2025-04-13T17:49:25.1Z,2,REGULAR,3pt,Jump Shot,[],1630551,79.84559789750328,89.70588235294117,1610612764,40,47,2025-04-13T17:49:29Z,2110000,False,199.0,137.0,1,right,MISS J. Champagnie 24' 3PT,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,24.12,Missed,,,,,,,,,,,,,,,
215,PT07M16.00S,2025-04-13T17:49:28.1Z,2,REGULAR,rebound,defensive,[],1626179,,,1610612748,40,47,2025-04-13T17:49:29Z,2120000,False,,,0,,T. Rozier REBOUND (Off:3 Def:1),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,214.0,,,,,,,,,4.0,1.0,3.0,,
216,PT07M11.00S,2025-04-13T17:49:33.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631170,6.1268068331143235,44.85294117647059,1610612748,42,47,2025-04-13T17:49:43Z,2130000,False,26.0,5.0,1,left,J. Jaquez Jr. running Layup (15 PTS),[1631170],1610612748.0,MIA,running,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,2.62,Made,15.0,,,,,,,,,,,,,,
217,PT06M52.00S,2025-04-13T17:49:52.9Z,2,REGULAR,2pt,Jump Shot,[],1642267,88.51839684625493,81.86274509803921,1610612764,42,47,2025-04-13T17:49:56Z,2140000,False,159.0,55.0,1,right,MISS B. Carrington 16' pullup Shot,[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Right,,,,16.87,Missed,,,,,,,,,,,,,,,
218,PT06M49.00S,2025-04-13T17:49:55.9Z,2,REGULAR,rebound,defensive,[],1626179,,,1610612748,42,47,2025-04-13T17:49:56Z,2150000,False,,,0,,T. Rozier REBOUND (Off:3 Def:2),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right,,,,,,,217.0,,,,,,,,,5.0,2.0,3.0,,
219,PT06M45.00S,2025-04-13T17:50:00.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642352,8.754927726675426,45.09803921568628,1610612748,42,47,2025-04-13T17:50:54Z,2160000,False,25.0,30.0,1,left,MISS K. Johnson running Layup - blocked,"[1642352, 1630551]",1610612748.0,MIA,running,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,3.86,Missed,,,,,,,,,,,,,,Champagnie,1630551.0
220,PT06M45.00S,2025-04-13T17:50:00.7Z,2,REGULAR,block,,[],1630551,,,1610612748,42,47,2025-04-13T17:50:02Z,2170000,False,,,0,,J. Champagnie BLOCK (1 BLK),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
221,PT06M44.00S,2025-04-13T17:50:01.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,42,47,2025-04-13T17:50:54Z,2180000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,219.0,,,,,,,,,,,,,
223,PT06M37.00S,2025-04-13T17:50:29.9Z,2,REGULAR,turnover,bad pass,[],1642352,,,1610612748,42,47,2025-04-13T17:50:37Z,2200000,False,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1642352, 1642358]",1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Left,1.0,Johnson,1642358.0,,,,,,,,,,,,,,,,,
224,PT06M37.00S,2025-04-13T17:50:29.9Z,2,REGULAR,steal,,[],1642358,,,1610612764,42,47,2025-04-13T17:50:32Z,2210000,False,,,0,,A. Johnson STEAL (1 STL),[1642358],1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
225,PT06M32.00S,2025-04-13T17:50:34.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642273,93.11760840998686,51.470588235294116,1610612764,42,49,2025-04-13T17:50:41Z,2220000,False,7.0,12.0,1,right,K. George running DUNK (2 PTS) (A. Johnson 5 AST),"[1642273, 1642358]",1610612764.0,WAS,running,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,1.43,Made,2.0,,,,,,,A. Johnson,1642358.0,5.0,,,,,
227,PT06M22.00S,2025-04-13T17:50:47.7Z,2,REGULAR,foul,personal,[],1642358,,,1610612748,42,49,2025-04-13T17:51:11Z,2240000,False,,,0,,A. Johnson personal FOUL (1 PF),"[1642358, 203937]",1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,202058.0,1.0,0.0,Anderson,203937.0,,,,,,,,
229,PT06M22.00S,2025-04-13T17:51:04.1Z,2,REGULAR,substitution,out,[],203937,,,1610612748,42,49,2025-04-13T17:51:07Z,2260000,False,,,0,,SUB out: K. Anderson,[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M22.00S,2025-04-13T17:51:04.1Z,2,REGULAR,substitution,in,[],1629312,,,1610612748,42,49,2025-04-13T17:51:07Z,2270000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M13.00S,2025-04-13T17:51:23.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,14.536793692509855,50.0,1610612748,42,49,2025-04-13T17:51:34Z,2280000,False,0.0,84.0,1,left,MISS J. Jaquez Jr. 8' turnaround fadeaway Shot,[1631170],1610612748.0,MIA,turnaround fadeaway,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,8.41,Missed,,,,,,,,,,,,,,,
232,PT06M10.00S,2025-04-13T17:51:26.2Z,2,REGULAR,rebound,defensive,[],1642267,,,1610612764,42,49,2025-04-13T17:51:34Z,2290000,False,,,0,,B. Carrington REBOUND (Off:1 Def:2),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,231.0,,,,,,,,,3.0,2.0,1.0,,
233,PT06M04.00S,2025-04-13T17:51:32.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630551,92.72339027595268,50.0,1610612764,42,51,2025-04-13T17:51:37Z,2300000,False,0.0,16.0,1,right,J. Champagnie driving finger roll Layup (13 PTS) (B. Carrington 3 AST),"[1630551, 1642267]",1610612764.0,WAS,driving finger roll,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,1.59,Made,13.0,,,,,,,B. Carrington,1642267.0,3.0,,,,,
235,PT05M52.00S,2025-04-13T17:51:46.8Z,2,REGULAR,foul,personal,[],1642267,,,1610612748,42,51,2025-04-13T17:51:52Z,2320000,False,,,0,,B. Carrington personal FOUL (2 PF),"[1642267, 1642352]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,8-16 Left,,,,,,,,1627963.0,2.0,0.0,Johnson,1642352.0,,,,,,,,
237,PT05M43.00S,2025-04-13T17:52:15.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629312,5.732588699080158,49.01960784313725,1610612748,44,51,2025-04-13T17:52:19Z,2340000,False,5.0,1.0,1,left,H. Highsmith cutting Layup (2 PTS) (J. Jaquez Jr. 2 AST),"[1629312, 1631170]",1610612748.0,MIA,cutting,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,0.51,Made,2.0,,,,,,,J. Jaquez Jr.,1631170.0,2.0,,,,,
239,PT05M30.00S,2025-04-13T17:52:29.9Z,2,REGULAR,foul,personal,['2freethrow'],1629312,,,1610612764,44,51,2025-04-13T17:52:44Z,2360000,False,,,0,,H. Highsmith shooting personal FOUL (2 PF) (Jones 2 FT),"[1629312, 1641732]",1610612748.0,MIA,shooting,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,,,,,1627963.0,2.0,0.0,Jones,1641732.0,,,,,,,,
241,PT05M30.00S,2025-04-13T17:52:56.0Z,2,REGULAR,freethrow,1 of 2,[],1641732,,,1610612764,44,52,2025-04-13T17:52:56Z,2380000,False,,,0,,C. Jones Free Throw 1 of 2 (3 PTS),[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
242,PT05M30.00S,2025-04-13T17:53:12.2Z,2,REGULAR,freethrow,2 of 2,[],1641732,,,1610612764,44,53,2025-04-13T17:53:12Z,2390000,False,,,0,,C. Jones Free Throw 2 of 2 (4 PTS),[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
243,PT05M11.00S,2025-04-13T17:53:33.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642352,6.1268068331143235,54.65686274509803,1610612748,46,53,2025-04-13T18:01:40Z,2400000,False,-23.0,5.0,1,left,K. Johnson driving Layup (6 PTS),[1642352],1610612748.0,MIA,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,2.39,Made,6.0,,,,,,,,,,,,,,
244,PT04M59.00S,2025-04-13T17:53:44.6Z,2,REGULAR,3pt,Jump Shot,[],1642273,66.96780551905388,44.6078431372549,1610612764,46,56,2025-04-13T17:53:49Z,2410000,False,-27.0,258.0,1,right,K. George 25' 3PT  (5 PTS) (B. Carrington 4 AST),"[1642273, 1642267]",1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Center,,,,25.94,Made,5.0,,,,,,,B. Carrington,1642267.0,4.0,,,,,
246,PT04M42.00S,2025-04-13T17:54:01.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630528,6.1268068331143235,47.794117647058826,1610612748,46,56,2025-04-13T17:54:05Z,2430000,False,11.0,5.0,1,left,MISS J. Christopher driving Layup,[1630528],1610612748.0,MIA,driving,,,Christopher,J. Christopher,,,,,Restricted Area,0-8 Center,,,,1.21,Missed,,,,,,,,,,,,,,,
247,PT04M39.00S,2025-04-13T17:54:04.7Z,2,REGULAR,rebound,defensive,[],1641732,,,1610612764,46,56,2025-04-13T17:54:05Z,2440000,False,,,0,,C. Jones REBOUND (Off:0 Def:2),[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,Restricted Area,0-8 Center,,,,,,,246.0,,,,,,,,,2.0,2.0,0.0,,
248,PT04M36.00S,2025-04-13T17:54:19.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,46,56,2025-04-13T17:54:19Z,2450000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
