actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
178,PT10M03.00S,2022-03-16T23:40:37.1Z,2,REGULAR,3pt,Jump Shot,[],202699,31.09395532194481,66.42156862745098,1610612755,27,40,2022-03-16T23:40:42Z,1710000,-82.0,240.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,,
179,PT10M01.00S,2022-03-16T23:40:39.1Z,2,REGULAR,rebound,offensive,[],201599,,,1610612755,27,40,2022-03-16T23:40:42Z,1720000,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,178.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
180,PT10M01.00S,2022-03-16T23:40:43.9Z,2,REGULAR,foul,personal,['2freethrow'],201567,,,1610612755,27,40,2022-03-16T23:41:03Z,1730000,,,0,,K. Love shooting personal FOUL (1 PF) (Jordan 2 FT),"[201567, 201599]",1610612739.0,CLE,shooting,,,Love,K. Love,,,,,,,,,,,,202058.0,1.0,0.0,Jordan,201599.0,,,,,,,,,
182,PT10M01.00S,2022-03-16T23:41:18.1Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],201599,,,1610612755,27,41,2022-03-16T23:41:18Z,1750000,,,0,,D. Jordan Free Throw 1 of 2 (1 PTS),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
183,PT10M01.00S,2022-03-16T23:41:20.6Z,2,REGULAR,substitution,out,[],201567,,,1610612755,27,41,2022-03-16T23:41:33Z,1760000,,,0,,SUB out: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT10M01.00S,2022-03-16T23:41:20.6Z,2,REGULAR,substitution,out,[],1630178,,,1610612755,27,41,2022-03-16T23:41:33Z,1770000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT10M01.00S,2022-03-16T23:41:20.6Z,2,REGULAR,substitution,in,[],1628374,,,1610612755,27,41,2022-03-16T23:41:33Z,1780000,,,0,,SUB in: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT10M01.00S,2022-03-16T23:41:20.6Z,2,REGULAR,substitution,in,[],1629680,,,1610612755,27,41,2022-03-16T23:41:33Z,1790000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT10M01.00S,2022-03-16T23:41:50.0Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],201599,,,1610612755,27,42,2022-03-16T23:41:50Z,1800000,,,0,,D. Jordan Free Throw 2 of 2 (2 PTS),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
190,PT09M50.00S,2022-03-16T23:42:05.2Z,2,REGULAR,foul,personal,['2freethrow'],201980,,,1610612739,27,42,2022-03-16T23:42:18Z,1810000,,,0,,D. Green shooting personal FOUL (1 PF) (LeVert 2 FT),"[201980, 1627747]",1610612755.0,PHI,shooting,,,Green,D. Green,,,,,,,,,,,,202058.0,1.0,0.0,LeVert,1627747.0,,,,,,,,,
192,PT09M50.00S,2022-03-16T23:42:29.8Z,2,REGULAR,freethrow,1 of 2,[],1627747,,,1610612739,28,42,2022-03-16T23:42:29Z,1830000,,,0,,C. LeVert Free Throw 1 of 2 (3 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
193,PT09M50.00S,2022-03-16T23:42:46.0Z,2,REGULAR,freethrow,2 of 2,[],1627747,,,1610612739,29,42,2022-03-16T23:42:46Z,1840000,,,0,,C. LeVert Free Throw 2 of 2 (4 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
196,PT09M31.00S,2022-03-16T23:43:07.9Z,2,REGULAR,3pt,Jump Shot,[],202699,5.469776609724048,2.941176470588235,1610612755,29,45,2022-03-16T23:43:14Z,1850000,235.0,-1.0,1,left,T. Harris 3PT  (9 PTS) (D. Green 1 AST),"[202699, 201980]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,23.53,Made,,,,,9.0,,,,,,,,D. Green,201980.0,1.0,,,,
198,PT09M11.00S,2022-03-16T23:43:27.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,79.97700394218134,45.588235294117645,1610612739,31,45,2022-03-16T23:43:34Z,1870000,-22.0,136.0,1,right,C. LeVert 13' driving floating bank Jump Shot (6 PTS) (L. Markkanen 1 AST),"[1627747, 1628374]",1610612739.0,CLE,driving floating bank,,,LeVert,C. LeVert,,,,,13.75,Made,,,,,6.0,,,,,,,,L. Markkanen,1628374.0,1.0,,,,
200,PT08M59.00S,2022-03-16T23:43:44.3Z,2,REGULAR,foul,offensive,[],201599,,,1610612755,31,45,2022-03-16T23:43:56Z,1890000,,,0,,D. Jordan offensive FOUL (1 PF),"[201599, 1630171]",1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,,203593.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,
202,PT08M59.00S,2022-03-16T23:43:44.3Z,2,REGULAR,turnover,offensive foul,[],201599,,,1610612755,31,45,2022-03-16T23:43:44Z,1910000,,,0,,D. Jordan offensive foul TURNOVER (1 TO),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,,203593.0,,,,,,,,,,1.0,,,
203,PT08M59.00S,2022-03-16T23:43:53.9Z,2,REGULAR,substitution,out,[],1629164,,,1610612739,31,45,2022-03-16T23:43:58Z,1920000,,,0,,SUB out: B. Goodwin,[1629164],1610612739.0,CLE,,,,Goodwin,B. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M59.00S,2022-03-16T23:43:53.9Z,2,REGULAR,substitution,in,[],1629636,,,1610612739,31,45,2022-03-16T23:43:58Z,1930000,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M45.00S,2022-03-16T23:44:23.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627747,83.65637319316689,61.274509803921575,1610612739,33,45,2022-03-16T23:44:30Z,1940000,56.0,101.0,1,right,C. LeVert 11' driving floating Jump Shot (8 PTS),[1627747],1610612739.0,CLE,driving floating,,,LeVert,C. LeVert,,,,,11.58,Made,,,,,8.0,,,,,,,,,,,,,,
206,PT08M45.00S,2022-03-16T23:44:27.2Z,2,REGULAR,foul,personal,['1freethrow'],1629680,,,1610612739,33,45,2022-03-16T23:44:36Z,1950000,,,0,,M. Thybulle shooting personal FOUL (1 PF) (LeVert 1 FT),"[1629680, 1627747]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,,,,,,,,203593.0,1.0,0.0,LeVert,1627747.0,,,,,,,,,
208,PT08M45.00S,2022-03-16T23:44:52.8Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1627747,,,1610612739,34,45,2022-03-16T23:44:52Z,1970000,,,0,,C. LeVert Free Throw 1 of 1 (9 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Made,,,,,9.0,,,,,,,,,,,,,,
209,PT08M34.00S,2022-03-16T23:45:04.1Z,2,REGULAR,3pt,Jump Shot,[],1629680,5.995400788436268,3.6764705882352944,1610612755,34,48,2022-03-16T23:45:10Z,1980000,232.0,4.0,1,left,M. Thybulle 3PT  (5 PTS) (J. Harden 4 AST),"[1629680, 201935]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,23.16,Made,,,,,5.0,,,,,,,,J. Harden,201935.0,4.0,,,,
211,PT08M11.00S,2022-03-16T23:45:26.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,93.38042049934296,50.0,1610612739,34,48,2022-03-16T23:46:05Z,2000000,0.0,10.0,1,right,MISS I. Okoro driving Layup - blocked,"[1630171, 201599]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,0.97,Missed,,,,,,,,,,,Jordan,201599.0,,,,,,,
212,PT08M11.00S,2022-03-16T23:45:26.7Z,2,REGULAR,block,,[],201599,,,1610612739,34,48,2022-03-16T23:45:29Z,2010000,,,0,,D. Jordan BLOCK (1 BLK),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M07.00S,2022-03-16T23:45:30.7Z,2,REGULAR,rebound,defensive,[],1629680,,,1610612755,34,48,2022-03-16T23:46:05Z,2020000,,,0,,M. Thybulle REBOUND (Off:0 Def:3),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,211.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
214,PT07M56.00S,2022-03-16T23:45:46.7Z,2,REGULAR,foul,personal,['3freethrow'],1630596,,,1610612755,34,48,2022-03-16T23:45:59Z,2030000,,,0,,E. Mobley shooting personal FOUL (2 PF) (Harden 3 FT),"[1630596, 201935]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,,,,,,,,200834.0,2.0,0.0,Harden,201935.0,,,,,,,,,
216,PT07M56.00S,2022-03-16T23:46:14.7Z,2,REGULAR,freethrow,1 of 3,[],201935,,,1610612755,34,49,2022-03-16T23:47:14Z,2050000,,,0,,J. Harden Free Throw 1 of 3 (6 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
217,PT07M56.00S,2022-03-16T23:46:14.7Z,2,REGULAR,freethrow,2 of 3,[],201935,,,1610612755,34,50,2022-03-16T23:47:14Z,2060000,,,0,,J. Harden Free Throw 2 of 3 (7 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
218,PT07M56.00S,2022-03-16T23:46:14.7Z,2,REGULAR,freethrow,3 of 3,[],201935,,,1610612755,34,50,2022-03-16T23:47:14Z,2070000,,,0,,MISS J. Harden Free Throw 3 of 3,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Missed,,,,,,,,,,,,,,,,,,,
219,PT07M54.00S,2022-03-16T23:46:16.7Z,2,REGULAR,rebound,defensive,[],1628374,,,1610612739,34,50,2022-03-16T23:47:14Z,2080000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,218.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
220,PT07M44.00S,2022-03-16T23:46:58.8Z,2,REGULAR,foul,personal,[],1629680,,,1610612739,34,50,2022-03-16T23:47:03Z,2090000,,,0,,M. Thybulle personal FOUL (2 PF),"[1629680, 1629636]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,202058.0,2.0,0.0,Garland,1629636.0,,,,,,,,,
222,PT07M34.00S,2022-03-16T23:47:27.9Z,2,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612739,34,50,2022-03-16T23:47:34Z,2110000,,,0,,M. Thybulle shooting personal FOUL (3 PF) (Garland 2 FT),"[1629680, 1629636]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,,,,,,,,200834.0,3.0,0.0,Garland,1629636.0,,,,,,,,,
224,PT07M34.00S,2022-03-16T23:47:51.6Z,2,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,34,50,2022-03-16T23:47:51Z,2130000,,,0,,MISS D. Garland Free Throw 1 of 2,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Missed,,,,,,,,,,,,,,,,,,,
225,PT07M34.00S,2022-03-16T23:47:51.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,34,50,2022-03-16T23:47:51Z,2140000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,
226,PT07M34.00S,2022-03-16T23:47:53.5Z,2,REGULAR,substitution,out,[],201980,,,1610612739,34,50,2022-03-16T23:48:01Z,2150000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M34.00S,2022-03-16T23:47:53.5Z,2,REGULAR,substitution,in,[],1630178,,,1610612739,34,50,2022-03-16T23:48:01Z,2160000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M34.00S,2022-03-16T23:48:09.0Z,2,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,35,50,2022-03-16T23:48:09Z,2170000,,,0,,D. Garland Free Throw 2 of 2 (4 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
229,PT07M16.00S,2022-03-16T23:48:34.1Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,35,50,2022-03-16T23:48:34Z,2180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT07M16.00S,2022-03-16T23:48:35.8Z,2,REGULAR,substitution,out,[],1629680,,,1610612755,35,50,2022-03-16T23:48:41Z,2190000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT07M16.00S,2022-03-16T23:48:35.8Z,2,REGULAR,substitution,in,[],1627777,,,1610612755,35,50,2022-03-16T23:48:41Z,2200000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M10.00S,2022-03-16T23:48:58.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,6.389618922470433,49.50980392156863,1610612755,35,50,2022-03-16T23:49:04Z,2210000,2.0,8.0,1,left,MISS D. Jordan alley-oop DUNK,[201599],1610612755.0,PHI,alley-oop,,,Jordan,D. Jordan,,,,,0.8,Missed,,,,,,,,,,,,,,,,,,,
233,PT07M07.00S,2022-03-16T23:49:01.6Z,2,REGULAR,rebound,defensive,[],1628374,,,1610612739,35,50,2022-03-16T23:49:04Z,2220000,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,232.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
234,PT07M05.00S,2022-03-16T23:49:04.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1627747,66.83639947437582,62.00980392156863,1610612739,35,50,2022-03-16T23:49:29Z,2230000,60.0,259.0,1,right,MISS C. LeVert 26' running 3PT,[1627747],1610612739.0,CLE,running,,,LeVert,C. LeVert,,,,,26.61,Missed,,,,,,,,,,,,,,,,,,,
235,PT07M00.00S,2022-03-16T23:49:09.2Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,35,50,2022-03-16T23:49:15Z,2240000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,234.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
236,PT06M48.00S,2022-03-16T23:49:21.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,10.726018396846255,40.19607843137255,1610612755,35,52,2022-03-16T23:49:33Z,2250000,49.0,48.0,1,left,T. Harris 6' driving floating Jump Shot (11 PTS),[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,6.88,Made,,,,,11.0,,,,,,,,,,,,,,
237,PT06M33.00S,2022-03-16T23:49:36.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,93.51182654402102,50.245098039215684,1610612739,37,52,2022-03-16T23:49:42Z,2260000,1.0,8.0,1,right,D. Garland driving Layup (6 PTS) (E. Mobley 1 AST),"[1629636, 1630596]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,0.86,Made,,,,,6.0,,,,,,,,E. Mobley,1630596.0,1.0,,,,
239,PT06M17.00S,2022-03-16T23:49:50.9Z,2,REGULAR,3pt,Jump Shot,[],201935,30.305519053876477,24.509803921568626,1610612755,37,52,2022-03-16T23:49:58Z,2280000,127.0,232.0,1,left,MISS J. Harden 26' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,26.51,Missed,,,,,,,,,,,,,,,,,,,
240,PT06M14.00S,2022-03-16T23:49:53.9Z,2,REGULAR,rebound,defensive,[],1630596,,,1610612739,37,52,2022-03-16T23:49:58Z,2290000,,,0,,E. Mobley REBOUND (Off:0 Def:4),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,239.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
241,PT06M08.00S,2022-03-16T23:50:02.1Z,2,REGULAR,3pt,Jump Shot,[],1630171,91.93495400788436,96.07843137254902,1610612739,40,52,2022-03-16T23:50:28Z,2300000,230.0,23.0,1,right,I. Okoro 3PT  (7 PTS) (D. Garland 4 AST),"[1630171, 1629636]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,23.16,Made,,,,,7.0,,,,,,,,D. Garland,1629636.0,4.0,,,,
243,PT06M07.00S,2022-03-16T23:50:08.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,40,52,2022-03-16T23:50:08Z,2320000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M07.00S,2022-03-16T23:50:53.4Z,2,REGULAR,substitution,out,[],1627747,,,1610612755,40,52,2022-03-16T23:53:07Z,2330000,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M07.00S,2022-03-16T23:50:53.4Z,2,REGULAR,substitution,out,[],201599,,,1610612755,40,52,2022-03-16T23:53:07Z,2340000,,,0,,SUB out: D. Jordan,[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M07.00S,2022-03-16T23:50:53.4Z,2,REGULAR,substitution,in,[],1630205,,,1610612755,40,52,2022-03-16T23:53:07Z,2350000,,,0,,SUB in: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M07.00S,2022-03-16T23:50:53.4Z,2,REGULAR,substitution,in,[],203954,,,1610612755,40,52,2022-03-16T23:53:07Z,2360000,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT05M47.00S,2022-03-16T23:53:31.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627777,5.863994743758213,50.245098039215684,1610612755,40,52,2022-03-16T23:54:24Z,2370000,-1.0,3.0,1,left,MISS G. Niang driving Layup,[1627777],1610612755.0,PHI,driving,,,Niang,G. Niang,,,,,0.29,Missed,,,,,,,,,,,,,,,,,,,
249,PT05M46.00S,2022-03-16T23:53:32.1Z,2,REGULAR,rebound,offensive,[],203954,,,1610612755,40,52,2022-03-16T23:54:24Z,2380000,,,0,,J. Embiid REBOUND (Off:2 Def:7),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,248.0,9.0,7.0,2.0,,,,,,,,,,,,,,,
250,PT05M45.00S,2022-03-16T23:53:36.9Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203954,5.590000152587891,50.0,1610612755,40,54,2022-03-16T23:54:31Z,2390000,0.0,0.0,1,left,J. Embiid putback Layup (15 PTS),[203954],1610612755.0,PHI,putback,,,Embiid,J. Embiid,,,,,0.0,Made,,,,,15.0,,,,,,,,,,,,,,
251,PT05M28.00S,2022-03-16T23:53:50.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202699,,,1610612739,40,54,2022-03-16T23:53:57Z,2400000,,,0,,T. Harris personal FOUL (2 PF) (Okoro 2 FT),"[202699, 1630171]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,203593.0,2.0,0.0,Okoro,1630171.0,,,,,,,,,
253,PT05M28.00S,2022-03-16T23:54:14.5Z,2,REGULAR,freethrow,1 of 2,[],1630171,,,1610612739,41,54,2022-03-16T23:54:14Z,2420000,,,0,,I. Okoro Free Throw 1 of 2 (8 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
254,PT05M28.00S,2022-03-16T23:54:37.7Z,2,REGULAR,freethrow,2 of 2,[],1630171,,,1610612739,42,54,2022-03-16T23:54:37Z,2430000,,,0,,I. Okoro Free Throw 2 of 2 (9 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,Made,,,,,9.0,,,,,,,,,,,,,,
255,PT05M11.00S,2022-03-16T23:54:56.9Z,2,REGULAR,3pt,Jump Shot,[],1627777,6.521024967148489,2.450980392156863,1610612755,42,54,2022-03-16T23:55:02Z,2440000,238.0,9.0,1,left,MISS G. Niang 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,23.79,Missed,,,,,,,,,,,,,,,,,,,
256,PT05M09.00S,2022-03-16T23:54:58.9Z,2,REGULAR,rebound,defensive,[],1630171,,,1610612739,42,54,2022-03-16T23:55:02Z,2450000,,,0,,I. Okoro REBOUND (Off:0 Def:2),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,255.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
257,PT04M54.00S,2022-03-16T23:55:13.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,89.04402102496715,57.59803921568627,1610612739,42,54,2022-03-16T23:55:20Z,2460000,38.0,50.0,1,right,MISS D. Garland 6' driving floating Shot,[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,6.32,Missed,,,,,,,,,,,,,,,,,,,
258,PT04M52.00S,2022-03-16T23:55:15.3Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,42,54,2022-03-16T23:55:20Z,2470000,,,0,,J. Embiid REBOUND (Off:2 Def:8),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,257.0,10.0,8.0,2.0,,,,,,,,,,,,,,,
259,PT04M51.00S,2022-03-16T23:55:20.6Z,2,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612755,42,54,2022-03-16T23:55:29Z,2480000,,,0,,I. Okoro shooting personal FOUL (1 PF) (Maxey 2 FT),"[1630171, 1630178]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,,,,,,,,203593.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,
261,PT04M51.00S,2022-03-16T23:55:53.7Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630178,,,1610612755,42,55,2022-03-16T23:55:53Z,2500000,,,0,,T. Maxey Free Throw 1 of 2 (12 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,Made,,,,,12.0,,,,,,,,,,,,,,
262,PT04M51.00S,2022-03-16T23:55:56.7Z,2,REGULAR,substitution,out,[],202699,,,1610612755,42,55,2022-03-16T23:56:03Z,2510000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT04M51.00S,2022-03-16T23:55:56.7Z,2,REGULAR,substitution,in,[],201980,,,1610612755,42,55,2022-03-16T23:56:03Z,2520000,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT04M51.00S,2022-03-16T23:56:17.6Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630178,,,1610612755,42,56,2022-03-16T23:56:17Z,2530000,,,0,,T. Maxey Free Throw 2 of 2 (13 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,Made,,,,,13.0,,,,,,,,,,,,,,
265,PT04M30.00S,2022-03-16T23:56:40.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630205,87.33574244415243,44.36274509803921,1610612739,44,56,2022-03-16T23:57:01Z,2540000,-28.0,67.0,1,right,L. Stevens 7' turnaround Hook (6 PTS),[1630205],1610612739.0,CLE,turnaround,,,Stevens,L. Stevens,,,,,7.22,Made,,,,,6.0,,,,,,,,,,,,,,
266,PT04M03.00S,2022-03-16T23:57:06.7Z,2,REGULAR,3pt,Jump Shot,[],203954,26.62614980289093,82.84313725490196,1610612755,44,59,2022-03-16T23:57:15Z,2550000,-164.0,198.0,1,left,J. Embiid 25' 3PT turnaround fadeaway (18 PTS),[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,25.71,Made,,,,,18.0,,,,,,,,,,,,,,
267,PT03M55.00S,2022-03-16T23:57:18.1Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201980,,,1610612739,44,59,2022-03-16T23:57:32Z,2560000,,,0,,D. Green shooting personal FOUL (2 PF) (Garland 2 FT),"[201980, 1629636]",1610612755.0,PHI,shooting,,,Green,D. Green,,,,,,,,,,,,203593.0,2.0,0.0,Garland,1629636.0,,,,,,,,,
269,PT03M55.00S,2022-03-16T23:57:45.6Z,2,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,45,59,2022-03-16T23:57:45Z,2580000,,,0,,D. Garland Free Throw 1 of 2 (7 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
270,PT03M55.00S,2022-03-16T23:57:58.7Z,2,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,46,59,2022-03-16T23:57:58Z,2590000,,,0,,D. Garland Free Throw 2 of 2 (8 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
271,PT03M39.00S,2022-03-16T23:58:15.6Z,2,REGULAR,3pt,Jump Shot,[],1627777,7.046649145860711,3.6764705882352944,1610612755,46,59,2022-03-16T23:58:42Z,2600000,232.0,14.0,1,left,MISS G. Niang 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,23.2,Missed,,,,,,,,,,,,,,,,,,,
272,PT03M36.00S,2022-03-16T23:58:18.6Z,2,REGULAR,rebound,defensive,[],1630205,,,1610612739,46,59,2022-03-16T23:58:42Z,2610000,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,271.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
