actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
171,PT00M12.90S,2026-01-16T02:07:50.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641729,,,1610612742,33,24,2026-01-16T02:08:01Z,1710000,False,,,0,,B. Sensabaugh shooting personal FOUL (1 PF) (Nembhard 2 FT),"[1641729, 1642948]",1610612762.0,UTA,shooting,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Nembhard,1642948.0
173,PT00M12.90S,2026-01-16T02:08:15.0Z,1,REGULAR,freethrow,1 of 2,[],1642948,,,1610612742,34,24,2026-01-16T02:08:15Z,1730000,False,,,0,,R. Nembhard Free Throw 1 of 2 (3 PTS),[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
174,PT00M12.90S,2026-01-16T02:08:26.8Z,1,REGULAR,freethrow,2 of 2,[],1642948,,,1610612742,35,24,2026-01-16T02:08:26Z,1740000,False,,,0,,R. Nembhard Free Throw 2 of 2 (4 PTS),[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
175,PT00M00.90S,2026-01-16T02:08:41.0Z,1,REGULAR,3pt,Jump Shot,[],1642383,69.59592641261499,27.696078431372552,1610612762,35,24,2026-01-16T02:08:45Z,1750000,False,-112.0,233.0,1,right,MISS W. Clayton Jr. 25' step back 3PT,[1642383],1610612762.0,UTA,step back,,,Clayton Jr.,W. Clayton Jr.,,,,,Above the Break 3,24+ Left Center,,,,25.86,Missed,,,,,,,,,,,,,,,
176,PT00M00.90S,2026-01-16T02:08:41.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,35,24,2026-01-16T02:08:45Z,1760000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,175.0,,,,,,,,,,
177,PT00M00.00S,2026-01-16T02:08:45.1Z,1,REGULAR,period,end,[],0,,,1610612762,35,24,2026-01-16T02:08:45Z,1770000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2026-01-16T02:11:27.4Z,2,REGULAR,period,start,[],0,,,1610612762,35,24,2026-01-16T02:11:27Z,1780000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT11M47.00S,2026-01-16T02:11:39.8Z,2,REGULAR,turnover,bad pass,[],1642846,,,1610612762,35,24,2026-01-16T02:11:42Z,1790000,False,,,0,,A. Bailey bad pass TURNOVER (1 TO),"[1642846, 1642939]",1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,1.0,Kelly,1642939.0,,,,,,,,,,,,,,,,,
180,PT11M47.00S,2026-01-16T02:11:39.8Z,2,REGULAR,steal,,[],1642939,,,1610612742,35,24,2026-01-16T02:11:41Z,1800000,False,,,0,,M. Kelly STEAL (1 STL),[1642939],1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
181,PT11M33.00S,2026-01-16T02:11:53.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202691,32.276609724047304,49.50980392156863,1610612742,35,24,2026-01-16T02:11:57Z,1810000,False,2.0,251.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,25.09,Missed,,,,,,,,,,,,,,,
182,PT11M30.00S,2026-01-16T02:11:56.3Z,2,REGULAR,rebound,defensive,[],1642846,,,1610612762,35,24,2026-01-16T02:11:59Z,1820000,False,,,0,,A. Bailey REBOUND (Off:0 Def:1),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Center,,,,,,,,,,181.0,,,1.0,1.0,0.0,,,,,
183,PT11M26.00S,2026-01-16T02:12:01.6Z,2,REGULAR,foul,personal,['2freethrow'],1642939,,,1610612762,35,24,2026-01-16T02:12:13Z,1830000,False,,,0,,M. Kelly shooting personal FOUL (2 PF) (Sensabaugh 2 FT),"[1642939, 1641729]",1610612742.0,DAL,shooting,,,Kelly,M. Kelly,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1830.0,2.0,0.0,Sensabaugh,1641729.0
185,PT11M26.00S,2026-01-16T02:12:28.6Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1641729,,,1610612762,35,25,2026-01-16T02:12:28Z,1850000,False,,,0,,B. Sensabaugh Free Throw 1 of 2 (3 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
186,PT11M26.00S,2026-01-16T02:12:42.9Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1641729,,,1610612762,35,26,2026-01-16T02:12:42Z,1860000,False,,,0,,B. Sensabaugh Free Throw 2 of 2 (4 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
187,PT11M13.00S,2026-01-16T02:12:59.3Z,2,REGULAR,3pt,Jump Shot,[],1642939,21.76412614980289,11.27450980392157,1610612742,35,26,2026-01-16T02:13:04Z,1870000,False,194.0,152.0,1,left,MISS M. Kelly 24' 3PT,[1642939],1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,Above the Break 3,24+ Right Center,,,,24.62,Missed,,,,,,,,,,,,,,,
188,PT11M10.00S,2026-01-16T02:13:02.3Z,2,REGULAR,rebound,offensive,[],1630526,,,1610612742,35,26,2026-01-16T02:13:04Z,1880000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:3),[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,187.0,,,4.0,3.0,1.0,,,,,
189,PT11M09.00S,2026-01-16T02:13:03.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630526,6.1268068331143235,43.627450980392155,1610612742,35,26,2026-01-16T02:13:08Z,1890000,False,32.0,5.0,1,left,MISS J. Robinson-Earl putback Layup,[1630526],1610612742.0,DAL,putback,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,3.23,Missed,,,,,,,,,,,,,,,
190,PT11M09.00S,2026-01-16T02:13:03.2Z,2,REGULAR,rebound,offensive,[],1630619,,,1610612742,35,26,2026-01-16T02:13:08Z,1900000,False,,,0,,M. Cisse REBOUND (Off:3 Def:2),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Restricted Area,0-8 Center,,,,,,,,,,189.0,,,5.0,2.0,3.0,,,,,
191,PT11M04.00S,2026-01-16T02:13:06.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630619,5.590000152587891,50.0,1610612742,37,26,2026-01-16T02:13:06Z,1910000,False,0.0,0.0,1,left,M. Cisse tip Layup (6 PTS),[1630619],1610612742.0,DAL,tip,,,Cisse,M. Cisse,,,,,Mid-Range,8-16 Left,,,,0.0,Made,6.0,,,,,,,,,,,,,,
192,PT10M49.00S,2026-01-16T02:13:22.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641729,83.44283837056504,63.99356617647059,1610612762,37,28,2026-01-16T02:13:48Z,1920000,False,70.0,103.0,1,right,B. Sensabaugh 12' fadeaway Jump Shot (6 PTS),[1641729],1610612762.0,UTA,fadeaway,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),8-16 Right,,,,12.46,Made,6.0,,,,,,,,,,,,,,
193,PT10M37.00S,2026-01-16T02:13:33.7Z,2,REGULAR,3pt,Jump Shot,[],1642939,7.835085413929041,94.85294117647058,1610612742,40,28,2026-01-16T02:13:52Z,1930000,False,-224.0,21.0,1,left,M. Kelly 3PT  (3 PTS) (R. Nembhard 3 AST),"[1642939, 1642948]",1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,Left Corner 3,24+ Left,,,,22.53,Made,3.0,R. Nembhard,1642948.0,3.0,,,,,,,,,,,
195,PT10M15.00S,2026-01-16T02:13:57.0Z,2,REGULAR,turnover,lost ball,[],1642383,,,1610612762,40,28,2026-01-16T02:14:01Z,1950000,False,,,0,,W. Clayton Jr. lost ball TURNOVER (1 TO),"[1642383, 1642939]",1610612762.0,UTA,,,,Clayton Jr.,W. Clayton Jr.,,,,,Mid-Range,8-16 Left,1.0,Kelly,1642939.0,,,,,,,,,,,,,,,,,
196,PT10M15.00S,2026-01-16T02:13:57.0Z,2,REGULAR,steal,,[],1642939,,,1610612742,40,28,2026-01-16T02:14:55Z,1960000,False,,,0,,M. Kelly STEAL (2 STL),[1642939],1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
197,PT10M04.00S,2026-01-16T02:14:09.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630619,6.389618922470433,50.49019607843137,1610612742,42,28,2026-01-16T02:14:12Z,1970000,False,-2.0,8.0,1,left,M. Cisse cutting Layup (8 PTS) (K. Thompson 3 AST),"[1630619, 202691]",1610612742.0,DAL,cutting,,,Cisse,M. Cisse,,,,,Restricted Area,0-8 Center,,,,0.8,Made,8.0,K. Thompson,202691.0,3.0,,,,,,,,,,,
199,PT10M04.00S,2026-01-16T02:14:14.1Z,2,REGULAR,foul,personal,['1freethrow'],1641707,,,1610612742,42,28,2026-01-16T02:14:23Z,1990000,False,,,0,,T. Hendricks shooting personal FOUL (1 PF) (Cisse 1 FT),"[1641707, 1630619]",1610612762.0,UTA,shooting,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Cisse,1630619.0
201,PT10M04.00S,2026-01-16T02:14:24.4Z,2,REGULAR,substitution,out,[],1642948,,,1610612742,42,28,2026-01-16T02:14:55Z,2010000,False,,,0,,SUB out: R. Nembhard,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT10M04.00S,2026-01-16T02:14:24.4Z,2,REGULAR,substitution,out,[],203937,,,1610612742,42,28,2026-01-16T02:14:55Z,2020000,False,,,0,,SUB out: K. Anderson,[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT10M04.00S,2026-01-16T02:14:24.4Z,2,REGULAR,substitution,in,[],1630314,,,1610612742,42,28,2026-01-16T02:14:55Z,2030000,False,,,0,,SUB in: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT10M04.00S,2026-01-16T02:14:24.4Z,2,REGULAR,substitution,in,[],1642271,,,1610612742,42,28,2026-01-16T02:14:55Z,2040000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT10M04.00S,2026-01-16T02:14:52.1Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1630619,,,1610612742,43,28,2026-01-16T02:14:52Z,2050000,False,,,0,,M. Cisse Free Throw 1 of 1 (9 PTS),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
207,PT09M50.00S,2026-01-16T02:15:07.8Z,2,REGULAR,3pt,Jump Shot,[],1642846,69.59592641261499,72.05882352941177,1610612762,43,28,2026-01-16T02:15:11Z,2070000,False,110.0,233.0,1,right,MISS A. Bailey 25' 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Right Center,,,,25.81,Missed,,,,,,,,,,,,,,,
208,PT09M47.00S,2026-01-16T02:15:10.8Z,2,REGULAR,rebound,offensive,[],1641729,,,1610612762,43,28,2026-01-16T02:15:11Z,2080000,False,,,0,,B. Sensabaugh REBOUND (Off:2 Def:1),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,207.0,,,3.0,1.0,2.0,,,,,
209,PT09M44.00S,2026-01-16T02:15:14.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641729,91.06438896189225,43.48575367647059,1610612762,43,28,2026-01-16T02:15:18Z,2090000,False,-33.0,31.0,1,right,MISS B. Sensabaugh driving floating bank Shot,[1641729],1610612762.0,UTA,driving floating bank,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,,,,4.53,Missed,,,,,,,,,,,,,,,
210,PT09M42.00S,2026-01-16T02:15:16.1Z,2,REGULAR,rebound,defensive,[],1630526,,,1610612742,43,28,2026-01-16T02:15:18Z,2100000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:4),[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,209.0,,,5.0,4.0,1.0,,,,,
211,PT09M32.00S,2026-01-16T02:15:25.9Z,2,REGULAR,3pt,Jump Shot,[],1642939,21.76412614980289,11.76470588235294,1610612742,43,28,2026-01-16T02:15:29Z,2110000,False,191.0,152.0,1,left,MISS M. Kelly 24' 3PT,[1642939],1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,Above the Break 3,24+ Right Center,,,,24.43,Missed,,,,,,,,,,,,,,,
212,PT09M30.00S,2026-01-16T02:15:27.9Z,2,REGULAR,rebound,offensive,[],1630619,,,1610612742,43,28,2026-01-16T02:15:29Z,2120000,False,,,0,,M. Cisse REBOUND (Off:4 Def:2),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,211.0,,,6.0,2.0,4.0,,,,,
213,PT09M24.00S,2026-01-16T02:15:34.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630526,4.944152431011826,49.754901960784316,1610612742,45,28,2026-01-16T02:15:38Z,2130000,False,1.0,-6.0,1,left,J. Robinson-Earl cutting DUNK (2 PTS) (K. Thompson 4 AST),"[1630526, 202691]",1610612742.0,DAL,cutting,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,0.61,Made,2.0,K. Thompson,202691.0,4.0,,,,,,,,,,,
215,PT09M06.00S,2026-01-16T02:15:51.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1642846,93.24901445466492,55.63725490196079,1610612762,45,30,2026-01-16T02:16:01Z,2150000,False,28.0,11.0,1,right,A. Bailey bank Hook (6 PTS) (W. Clayton Jr. 1 AST),"[1642846, 1642383]",1610612762.0,UTA,bank,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,3.03,Made,6.0,W. Clayton Jr.,1642383.0,1.0,,,,,,,,,,,
217,PT08M55.00S,2026-01-16T02:16:02.6Z,2,REGULAR,3pt,Jump Shot,[],202691,39.635348226018394,43.872549019607845,1610612742,45,30,2026-01-16T02:16:06Z,2170000,False,31.0,320.0,1,left,MISS K. Thompson 32' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,32.16,Missed,,,,,,,,,,,,,,,
218,PT08M52.00S,2026-01-16T02:16:05.6Z,2,REGULAR,rebound,defensive,[],1642271,,,1610612762,45,30,2026-01-16T02:16:06Z,2180000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:2),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Center,,,,,,,,,,217.0,,,2.0,2.0,0.0,,,,,
219,PT08M47.00S,2026-01-16T02:16:11.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1642271,69.59592641261499,24.754901960784316,1610612762,45,30,2026-01-16T02:19:45Z,2190000,False,-126.0,233.0,1,right,MISS K. Filipowski 26' running 3PT,[1642271],1610612762.0,UTA,running,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Left Center,,,,26.52,Missed,,,,,,,,,,,,,,,
220,PT08M44.00S,2026-01-16T02:16:14.0Z,2,REGULAR,rebound,defensive,[],1630619,,,1610612742,45,30,2026-01-16T02:16:18Z,2200000,False,,,0,,M. Cisse REBOUND (Off:4 Def:3),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,219.0,,,7.0,3.0,4.0,,,,,
221,PT08M34.00S,2026-01-16T02:16:25.0Z,2,REGULAR,foul,personal,['2freethrow'],1642271,,,1610612742,45,30,2026-01-16T02:16:34Z,2210000,False,,,0,,K. Filipowski shooting personal FOUL (2 PF) (Cisse 2 FT),"[1642271, 1630619]",1610612762.0,UTA,shooting,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627526.0,2.0,0.0,Cisse,1630619.0
223,PT08M34.00S,2026-01-16T02:16:58.1Z,2,REGULAR,freethrow,1 of 2,[],1630619,,,1610612742,45,30,2026-01-16T02:16:58Z,2230000,False,,,0,,MISS M. Cisse Free Throw 1 of 2,[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
224,PT08M34.00S,2026-01-16T02:16:58.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,45,30,2026-01-16T02:16:58Z,2240000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,223.0,,,,,,,,,,
225,PT08M34.00S,2026-01-16T02:16:58.8Z,2,REGULAR,substitution,out,[],1642939,,,1610612742,45,30,2026-01-16T02:17:13Z,2250000,False,,,0,,SUB out: M. Kelly,[1642939],1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M34.00S,2026-01-16T02:16:58.8Z,2,REGULAR,substitution,out,[],202691,,,1610612742,45,30,2026-01-16T02:17:13Z,2260000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M34.00S,2026-01-16T02:16:58.8Z,2,REGULAR,substitution,out,[],1641707,,,1610612742,45,30,2026-01-16T02:17:13Z,2270000,False,,,0,,SUB out: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M34.00S,2026-01-16T02:16:58.8Z,2,REGULAR,substitution,out,[],1641729,,,1610612742,45,30,2026-01-16T02:17:13Z,2280000,False,,,0,,SUB out: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M34.00S,2026-01-16T02:16:58.8Z,2,REGULAR,substitution,in,[],1630702,,,1610612742,45,30,2026-01-16T02:17:13Z,2290000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT08M34.00S,2026-01-16T02:16:58.8Z,2,REGULAR,substitution,in,[],1630230,,,1610612742,45,30,2026-01-16T02:17:13Z,2300000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT08M34.00S,2026-01-16T02:16:58.8Z,2,REGULAR,substitution,in,[],1642268,,,1610612742,45,30,2026-01-16T02:17:13Z,2310000,False,,,0,,SUB in: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT08M34.00S,2026-01-16T02:16:58.8Z,2,REGULAR,substitution,in,[],1641718,,,1610612742,45,30,2026-01-16T02:17:13Z,2320000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT08M34.00S,2026-01-16T02:17:26.0Z,2,REGULAR,freethrow,2 of 2,[],1630619,,,1610612742,46,30,2026-01-16T02:17:26Z,2330000,False,,,0,,M. Cisse Free Throw 2 of 2 (10 PTS),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,
234,PT08M32.00S,2026-01-16T02:17:37.6Z,2,REGULAR,foul,personal,[],1630230,,,1610612762,46,30,2026-01-16T02:17:54Z,2340000,False,,,0,,N. Marshall take personal FOUL (1 PF),"[1630230, 1642268]",1610612742.0,DAL,take,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Collier,1642268.0
236,PT08M32.00S,2026-01-16T02:17:44.6Z,2,REGULAR,substitution,out,[],1630619,,,1610612762,46,30,2026-01-16T02:17:47Z,2360000,False,,,0,,SUB out: M. Cisse,[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT08M32.00S,2026-01-16T02:17:44.6Z,2,REGULAR,substitution,in,[],203939,,,1610612762,46,30,2026-01-16T02:17:47Z,2370000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT08M19.00S,2026-01-16T02:18:09.4Z,2,REGULAR,2pt,Jump Shot,[],1641718,78.26872536136662,47.549019607843135,1610612762,46,32,2026-01-16T02:18:13Z,2380000,False,-12.0,152.0,1,right,K. George 15' pullup Jump Shot (8 PTS) (W. Clayton Jr. 2 AST),"[1641718, 1642383]",1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,8-16 Center,,,,15.23,Made,8.0,W. Clayton Jr.,1642383.0,2.0,,,,,,,,,,,
240,PT08M03.00S,2026-01-16T02:18:25.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630702,16.507884362680684,45.588235294117645,1610612742,46,32,2026-01-16T02:18:29Z,2400000,False,22.0,103.0,1,left,MISS J. Hardy 10' driving floating Shot,[1630702],1610612742.0,DAL,driving floating,,,Hardy,J. Hardy,,,,,In The Paint (Non-RA),8-16 Center,,,,10.51,Missed,,,,,,,,,,,,,,,
241,PT08M00.00S,2026-01-16T02:18:28.7Z,2,REGULAR,rebound,defensive,[],1642271,,,1610612762,46,32,2026-01-16T02:18:29Z,2410000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:3),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,240.0,,,3.0,3.0,0.0,,,,,
242,PT07M53.00S,2026-01-16T02:18:36.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1642271,93.64323258869908,47.794117647058826,1610612762,46,34,2026-01-16T02:18:39Z,2420000,False,-11.0,7.0,1,right,K. Filipowski cutting DUNK (4 PTS) (I. Collier 6 AST),"[1642271, 1642268]",1610612762.0,UTA,cutting,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,1.32,Made,4.0,I. Collier,1642268.0,6.0,,,,,,,,,,,
244,PT07M53.00S,2026-01-16T02:18:39.5Z,2,REGULAR,foul,personal,['1freethrow'],1630702,,,1610612762,46,34,2026-01-16T02:18:48Z,2440000,False,,,0,,J. Hardy shooting personal FOUL (1 PF) (Filipowski 1 FT),"[1630702, 1642271]",1610612742.0,DAL,shooting,,,Hardy,J. Hardy,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627526.0,1.0,0.0,Filipowski,1642271.0
246,PT07M53.00S,2026-01-16T02:19:22.5Z,2,REGULAR,freethrow,1 of 1,[],1642271,,,1610612762,46,35,2026-01-16T02:19:22Z,2460000,False,,,0,,K. Filipowski Free Throw 1 of 1 (5 PTS),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
247,PT07M35.00S,2026-01-16T02:19:43.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,7.5722733245729295,56.86274509803921,1610612742,46,35,2026-01-16T02:21:59Z,2470000,False,-34.0,19.0,1,left,MISS N. Marshall driving reverse Layup,[1630230],1610612742.0,DAL,driving reverse,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,3.91,Missed,,,,,,,,,,,,,,,
248,PT07M32.00S,2026-01-16T02:19:46.4Z,2,REGULAR,rebound,defensive,[],1642846,,,1610612762,46,35,2026-01-16T02:19:47Z,2480000,False,,,0,,A. Bailey REBOUND (Off:0 Def:2),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,,,,,,,247.0,,,2.0,2.0,0.0,,,,,
249,PT07M32.00S,2026-01-16T02:19:50.8Z,2,REGULAR,foul,personal,[],1630314,,,1610612762,46,35,2026-01-16T02:20:00Z,2490000,False,,,0,,B. Williams personal FOUL (1 PF),"[1630314, 1642383]",1610612742.0,DAL,,,,Williams,B. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1627526.0,1.0,0.0,Clayton Jr.,1642383.0
251,PT07M24.00S,2026-01-16T02:20:19.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630702,,,1610612762,46,35,2026-01-16T02:20:27Z,2510000,False,,,0,,J. Hardy shooting personal FOUL (2 PF) (George 2 FT),"[1630702, 1641718]",1610612742.0,DAL,shooting,,,Hardy,J. Hardy,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1830.0,2.0,0.0,George,1641718.0
253,PT07M24.00S,2026-01-16T02:20:51.9Z,2,REGULAR,freethrow,1 of 2,[],1641718,,,1610612762,46,36,2026-01-16T02:20:51Z,2530000,False,,,0,,K. George Free Throw 1 of 2 (9 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
254,PT07M24.00S,2026-01-16T02:20:59.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,46,36,2026-01-16T02:20:59Z,2540000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT07M24.00S,2026-01-16T02:21:02.8Z,2,REGULAR,substitution,out,[],1630526,,,1610612762,46,36,2026-01-16T02:24:04Z,2550000,False,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
