actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
178,PT09M57.00S,2025-11-12T04:45:17.2Z,2,REGULAR,foul,personal,[],1629234,,,1610612743,36,35,2025-11-12T04:45:40Z,1660000,False,,,0,,D. Eubanks personal FOUL (2 PF),"[1629234, 202685]",1610612758.0,SAC,,,,,,,202026.0,Eubanks,D. Eubanks,Mid-Range,16-24 Center,,,,,,,,,,,2.0,0.0,Valančiūnas,202685.0,,,,,
180,PT09M49.00S,2025-11-12T04:45:45.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202685,85.89027595269383,41.66666666666667,1610612743,36,35,2025-11-12T04:54:00Z,1680000,False,-42.0,80.0,1,right,MISS J. Valančiūnas 9' turnaround Hook,[202685],1610612743.0,DEN,turnaround,,,,,,,Valančiūnas,J. Valančiūnas,In The Paint (Non-RA),8-16 Center,9.03,Missed,,,,,,,,,,,,,,,,,
181,PT09M46.00S,2025-11-12T04:45:48.6Z,2,REGULAR,rebound,offensive,[],1628971,,,1610612743,36,35,2025-11-12T04:45:52Z,1690000,False,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612743.0,DEN,,,,,,,,Brown,B. Brown,In The Paint (Non-RA),8-16 Center,,,,,,,180.0,1.0,0.0,1.0,,,,,,,,,
182,PT09M45.00S,2025-11-12T04:45:50.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,90.75229960578186,46.568627450980394,1610612743,36,37,2025-11-12T04:54:05Z,1700000,False,-17.0,34.0,1,right,B. Brown putback Layup (2 PTS),[1628971],1610612743.0,DEN,putback,,,,,,,Brown,B. Brown,Restricted Area,0-8 Center,3.85,Made,2.0,,,,,,,,,,,,,,,,
183,PT09M29.00S,2025-11-12T04:46:05.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,8.623521681997373,59.55882352941176,1610612758,38,37,2025-11-12T04:46:18Z,1710000,False,-48.0,29.0,1,left,D. DeRozan turnaround bank Jump Shot (2 PTS) (M. Monk 1 AST),"[201942, 1628370]",1610612758.0,SAC,turnaround bank,,,,,,,DeRozan,D. DeRozan,In The Paint (Non-RA),0-8 Center,5.57,Made,2.0,M. Monk,1628370.0,1.0,,,,,,,,,,,,,
185,PT09M16.00S,2025-11-12T04:46:21.2Z,2,REGULAR,foul,offensive,[],202685,,,1610612743,38,37,2025-11-12T04:46:33Z,1730000,False,,,0,,J. Valančiūnas offensive FOUL (1 PF),"[202685, 1628370]",1610612743.0,DEN,,,,,,,202026.0,Valančiūnas,J. Valančiūnas,Mid-Range,16-24 Center,,,,,,,,,,,1.0,0.0,Monk,1628370.0,,,,,
187,PT09M16.00S,2025-11-12T04:46:21.2Z,2,REGULAR,turnover,offensive foul,[],202685,,,1610612743,38,37,2025-11-12T04:46:21Z,1750000,False,,,0,,J. Valančiūnas offensive foul TURNOVER (2 TO),[202685],1610612743.0,DEN,,,,,,,202026.0,Valančiūnas,J. Valančiūnas,Mid-Range,16-24 Center,,,,,,,,,,,,,,,2.0,,,,
188,PT09M07.00S,2025-11-12T04:46:50.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201942,15.588042049934298,56.86274509803921,1610612758,38,37,2025-11-12T04:55:07Z,1760000,False,-34.0,94.0,1,left,MISS D. DeRozan 10' turnaround fadeaway Shot - blocked,"[201942, 1631212]",1610612758.0,SAC,turnaround fadeaway,,,,,,,DeRozan,D. DeRozan,In The Paint (Non-RA),8-16 Center,10.01,Missed,,,,,,,,,,,,,,,,Watson,1631212.0
189,PT09M07.00S,2025-11-12T04:46:50.5Z,2,REGULAR,block,,[],1631212,,,1610612758,38,37,2025-11-12T04:46:53Z,1770000,False,,,0,,P. Watson BLOCK (1 BLK),[1631212],1610612743.0,DEN,,,,,,,,Watson,P. Watson,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
190,PT09M06.00S,2025-11-12T04:46:51.5Z,2,REGULAR,rebound,offensive,[],201942,,,1610612758,38,37,2025-11-12T04:55:07Z,1780000,False,,,0,,D. DeRozan REBOUND (Off:1 Def:0),[201942],1610612758.0,SAC,,,,,,,,DeRozan,D. DeRozan,In The Paint (Non-RA),8-16 Center,,,,,,,188.0,1.0,0.0,1.0,,,,,,,,,
191,PT09M05.00S,2025-11-12T04:46:57.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629234,6.915243101182654,39.46078431372549,1610612758,40,37,2025-11-12T04:55:23Z,1790000,False,53.0,13.0,1,left,D. Eubanks DUNK (5 PTS) (D. DeRozan 2 AST),"[1629234, 201942]",1610612758.0,SAC,,,,,,,,Eubanks,D. Eubanks,In The Paint (Non-RA),0-8 Center,5.42,Made,5.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,
193,PT08M41.00S,2025-11-12T04:47:15.9Z,2,REGULAR,3pt,Jump Shot,[],203501,76.16622864651774,6.372549019607843,1610612743,40,40,2025-11-12T04:47:21Z,1810000,False,-218.0,172.0,1,right,T. Hardaway Jr. 27' 3PT  (6 PTS) (J. Murray 5 AST),"[203501, 1627750]",1610612743.0,DEN,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,Above the Break 3,24+ Left Center,27.75,Made,6.0,J. Murray,1627750.0,5.0,,,,,,,,,,,,,
196,PT08M28.00S,2025-11-12T04:47:30.6Z,2,REGULAR,foul,personal,['2freethrow'],202685,,,1610612758,40,40,2025-11-12T04:47:46Z,1840000,False,,,0,,J. Valančiūnas shooting personal FOUL (2 PF) (Clifford 2 FT),"[202685, 1642363]",1610612743.0,DEN,shooting,,,,,,1627526.0,Valančiūnas,J. Valančiūnas,Restricted Area,0-8 Center,,,,,,,,,,,2.0,0.0,Clifford,1642363.0,,,,,
198,PT08M28.00S,2025-11-12T04:48:02.7Z,2,REGULAR,freethrow,1 of 2,[],1642363,,,1610612758,41,40,2025-11-12T04:48:02Z,1860000,False,,,0,,N. Clifford Free Throw 1 of 2 (4 PTS),[1642363],1610612758.0,SAC,,,,,,,,Clifford,N. Clifford,,,,Made,4.0,,,,,,,,,,,,,,,,
199,PT08M28.00S,2025-11-12T04:48:04.0Z,2,REGULAR,substitution,out,[],1629234,,,1610612758,41,40,2025-11-12T04:48:18Z,1870000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612758.0,SAC,,,,,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,
200,PT08M28.00S,2025-11-12T04:48:04.0Z,2,REGULAR,substitution,in,[],1627734,,,1610612758,41,40,2025-11-12T04:48:18Z,1880000,False,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,
201,PT08M28.00S,2025-11-12T04:48:25.3Z,2,REGULAR,freethrow,2 of 2,[],1642363,,,1610612758,42,40,2025-11-12T04:48:25Z,1890000,False,,,0,,N. Clifford Free Throw 2 of 2 (5 PTS),[1642363],1610612758.0,SAC,,,,,,,,Clifford,N. Clifford,,,,Made,5.0,,,,,,,,,,,,,,,,
202,PT08M18.00S,2025-11-12T04:48:43.3Z,2,REGULAR,foul,personal,['2freethrow'],201942,,,1610612743,42,40,2025-11-12T04:48:57Z,1900000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Valančiūnas 2 FT),"[201942, 202685]",1610612758.0,SAC,shooting,,,,,,203592.0,DeRozan,D. DeRozan,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Valančiūnas,202685.0,,,,,
204,PT08M18.00S,2025-11-12T04:49:16.7Z,2,REGULAR,freethrow,1 of 2,[],202685,,,1610612743,42,40,2025-11-12T04:49:16Z,1920000,False,,,0,,MISS J. Valančiūnas Free Throw 1 of 2,[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,,,,Missed,,,,,,,,,,,,,,,,,
205,PT08M18.00S,2025-11-12T04:49:16.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,42,40,2025-11-12T04:49:16Z,1930000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,204.0,,,,,,,,,,,,
206,PT08M18.00S,2025-11-12T04:49:18.1Z,2,REGULAR,substitution,out,[],1628370,,,1610612743,42,40,2025-11-12T04:49:28Z,1940000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,
207,PT08M18.00S,2025-11-12T04:49:18.1Z,2,REGULAR,substitution,in,[],203897,,,1610612743,42,40,2025-11-12T04:49:28Z,1950000,False,,,0,,SUB in: Z. LaVine,[203897],1610612758.0,SAC,,,,,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,
208,PT08M18.00S,2025-11-12T04:49:45.1Z,2,REGULAR,freethrow,2 of 2,[],202685,,,1610612743,42,41,2025-11-12T04:49:45Z,1960000,False,,,0,,J. Valančiūnas Free Throw 2 of 2 (3 PTS),[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,,,,Made,3.0,,,,,,,,,,,,,,,,
209,PT08M01.00S,2025-11-12T04:50:02.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,10.200394218134035,50.245098039215684,1610612758,42,41,2025-11-12T04:57:52Z,1970000,False,-1.0,43.0,1,left,MISS D. Sabonis cutting Layup - blocked,"[1627734, 202685]",1610612758.0,SAC,cutting,,,,,,,Sabonis,D. Sabonis,Restricted Area,0-8 Center,4.34,Missed,,,,,,,,,,,,,,,,Valančiūnas,202685.0
210,PT08M01.00S,2025-11-12T04:50:02.9Z,2,REGULAR,block,,[],202685,,,1610612758,42,41,2025-11-12T04:50:05Z,1980000,False,,,0,,J. Valančiūnas BLOCK (1 BLK),[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
211,PT08M00.00S,2025-11-12T04:50:03.9Z,2,REGULAR,rebound,defensive,[],202685,,,1610612743,42,41,2025-11-12T04:58:15Z,1990000,False,,,0,,J. Valančiūnas REBOUND (Off:2 Def:2),[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,Restricted Area,0-8 Center,,,,,,,209.0,4.0,2.0,2.0,,,,,,,,,
212,PT07M57.00S,2025-11-12T04:50:16.1Z,2,REGULAR,foul,personal,[],1642363,,,1610612743,42,41,2025-11-12T04:50:21Z,2000000,False,,,0,,N. Clifford personal FOUL (1 PF),"[1642363, 1631212]",1610612758.0,SAC,,,,,,,203592.0,Clifford,N. Clifford,Mid-Range,16-24 Left Center,,,,,,,,,,,1.0,0.0,Watson,1631212.0,,,,,
214,PT07M57.00S,2025-11-12T04:50:25.2Z,2,REGULAR,substitution,out,[],1642363,,,1610612743,42,41,2025-11-12T04:50:32Z,2020000,False,,,0,,SUB out: N. Clifford,[1642363],1610612758.0,SAC,,,,,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,
215,PT07M57.00S,2025-11-12T04:50:25.2Z,2,REGULAR,substitution,in,[],201566,,,1610612743,42,41,2025-11-12T04:50:32Z,2030000,False,,,0,,SUB in: R. Westbrook,[201566],1610612758.0,SAC,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,
218,PT07M44.00S,2025-11-12T04:50:49.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,85.62746386333771,40.68627450980392,1610612743,42,41,2025-11-12T05:00:29Z,2040000,False,-47.0,83.0,1,right,MISS J. Valančiūnas 9' floating Shot,[202685],1610612743.0,DEN,floating,,,,,,,Valančiūnas,J. Valančiūnas,In The Paint (Non-RA),8-16 Center,9.48,Missed,,,,,,,,,,,,,,,,,
219,PT07M41.00S,2025-11-12T04:50:52.5Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,42,41,2025-11-12T04:50:55Z,2050000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,In The Paint (Non-RA),8-16 Center,,,,,,,218.0,2.0,2.0,0.0,,,,,,,,,
220,PT07M36.00S,2025-11-12T04:50:57.4Z,2,REGULAR,turnover,bad pass,[],203471,,,1610612758,42,41,2025-11-12T04:51:04Z,2060000,False,,,0,,D. Schröder bad pass TURNOVER (1 TO),"[203471, 1628971]",1610612758.0,SAC,,,,,,,,Schröder,D. Schröder,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Brown,1628971.0,,
221,PT07M36.00S,2025-11-12T04:50:57.4Z,2,REGULAR,steal,,[],1628971,,,1610612743,42,41,2025-11-12T04:51:04Z,2070000,False,,,0,,B. Brown STEAL (1 STL),[1628971],1610612743.0,DEN,,,,,,,,Brown,B. Brown,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
222,PT07M21.00S,2025-11-12T04:51:12.6Z,2,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612743,42,41,2025-11-12T04:51:22Z,2080000,False,,,0,,D. Sabonis shooting personal FOUL (2 PF) (Valančiūnas 2 FT),"[1627734, 202685]",1610612758.0,SAC,shooting,,,,,,1627526.0,Sabonis,D. Sabonis,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,0.0,Valančiūnas,202685.0,,,,,
224,PT07M21.00S,2025-11-12T04:51:45.8Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],202685,,,1610612743,42,42,2025-11-12T04:52:14Z,2100000,False,,,0,,J. Valančiūnas Free Throw 1 of 2 (4 PTS),[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,,,,Made,4.0,,,,,,,,,,,,,,,,
225,PT07M21.00S,2025-11-12T04:51:46.6Z,2,REGULAR,substitution,out,[],1631212,,,1610612743,42,42,2025-11-12T04:51:54Z,2110000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,
226,PT07M21.00S,2025-11-12T04:51:46.6Z,2,REGULAR,substitution,out,[],203501,,,1610612743,42,42,2025-11-12T04:51:54Z,2120000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612743.0,DEN,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,
227,PT07M21.00S,2025-11-12T04:51:46.6Z,2,REGULAR,substitution,in,[],1629661,,,1610612743,42,42,2025-11-12T04:51:54Z,2130000,False,,,0,,SUB in: C. Johnson,[1629661],1610612743.0,DEN,,,,,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,
228,PT07M21.00S,2025-11-12T04:51:46.6Z,2,REGULAR,substitution,in,[],203932,,,1610612743,42,42,2025-11-12T04:51:54Z,2140000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,
229,PT07M21.00S,2025-11-12T04:51:45.8Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],202685,,,1610612743,42,42,2025-11-12T04:52:14Z,2150000,False,,,0,,MISS J. Valančiūnas Free Throw 2 of 2,[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,,,,Missed,,,,,,,,,,,,,,,,,
230,PT07M20.00S,2025-11-12T04:51:46.8Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,42,42,2025-11-12T05:02:19Z,2160000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,,,,,,,,,229.0,3.0,3.0,0.0,,,,,,,,,
231,PT07M09.00S,2025-11-12T04:52:21.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,5.863994743758213,53.92156862745098,1610612758,44,42,2025-11-12T05:02:28Z,2170000,False,-20.0,3.0,1,left,D. Sabonis driving Layup (13 PTS),[1627734],1610612758.0,SAC,driving,,,,,,,Sabonis,D. Sabonis,Restricted Area,0-8 Center,1.98,Made,13.0,,,,,,,,,,,,,,,,
232,PT06M47.00S,2025-11-12T04:52:43.1Z,2,REGULAR,3pt,Jump Shot,[],203932,69.85873850197109,16.42156862745098,1610612743,44,45,2025-11-12T04:52:48Z,2180000,False,-168.0,231.0,1,right,A. Gordon 28' 3PT pullup (7 PTS),[203932],1610612743.0,DEN,pullup,,,,,,,Gordon,A. Gordon,Above the Break 3,24+ Left Center,28.54,Made,7.0,,,,,,,,,,,,,,,,
233,PT06M33.00S,2025-11-12T04:52:57.9Z,2,REGULAR,3pt,Jump Shot,[],201942,6.915243101182654,97.30392156862744,1610612758,47,45,2025-11-12T04:53:02Z,2190000,False,-237.0,13.0,1,left,D. DeRozan 3PT  (5 PTS) (Z. LaVine 2 AST),"[201942, 203897]",1610612758.0,SAC,,,,,,,,DeRozan,D. DeRozan,Left Corner 3,24+ Left,23.68,Made,5.0,Z. LaVine,203897.0,2.0,,,,,,,,,,,,,
235,PT06M09.00S,2025-11-12T04:53:20.9Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202685,92.72339027595268,50.0,1610612743,47,45,2025-11-12T05:03:21Z,2210000,False,0.0,16.0,1,right,MISS J. Valančiūnas turnaround Hook,[202685],1610612743.0,DEN,turnaround,,,,,,,Valančiūnas,J. Valančiūnas,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,
236,PT06M07.00S,2025-11-12T04:53:22.9Z,2,REGULAR,rebound,defensive,[],201566,,,1610612758,47,45,2025-11-12T05:03:37Z,2220000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:3),[201566],1610612758.0,SAC,,,,,,,,Westbrook,R. Westbrook,Restricted Area,0-8 Center,,,,,,,235.0,3.0,3.0,0.0,,,,,,,,,
237,PT05M49.00S,2025-11-12T04:53:41.2Z,2,REGULAR,3pt,Jump Shot,[],203897,9.806176084099869,3.431372549019608,1610612758,47,45,2025-11-12T05:04:13Z,2230000,False,233.0,40.0,1,left,MISS Z. LaVine step back 3PT,[203897],1610612758.0,SAC,step back,,,,,,,LaVine,Z. LaVine,Right Corner 3,24+ Right,23.62,Missed,,,,,,,,,,,,,,,,,
238,PT05M47.00S,2025-11-12T04:53:43.2Z,2,REGULAR,rebound,defensive,[],1628971,,,1610612743,47,45,2025-11-12T04:53:46Z,2240000,False,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612743.0,DEN,,,,,,,,Brown,B. Brown,Right Corner 3,24+ Right,,,,,,,237.0,2.0,1.0,1.0,,,,,,,,,
239,PT05M36.00S,2025-11-12T04:53:54.8Z,2,REGULAR,2pt,Jump Shot,[],203932,78.9257555847569,28.431372549019606,1610612743,47,45,2025-11-12T04:54:01Z,2250000,False,-108.0,146.0,1,right,MISS A. Gordon 18' turnaround fadeaway Shot,[203932],1610612743.0,DEN,turnaround fadeaway,,,,,,,Gordon,A. Gordon,Mid-Range,16-24 Left Center,18.12,Missed,,,,,,,,,,,,,,,,,
240,PT05M33.00S,2025-11-12T04:53:57.8Z,2,REGULAR,rebound,defensive,[],203897,,,1610612758,47,45,2025-11-12T04:54:01Z,2260000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612758.0,SAC,,,,,,,,LaVine,Z. LaVine,Mid-Range,16-24 Left Center,,,,,,,239.0,1.0,1.0,0.0,,,,,,,,,
241,PT05M23.00S,2025-11-12T04:54:08.0Z,2,REGULAR,3pt,Jump Shot,[],201566,27.020367936925098,18.137254901960784,1610612758,47,45,2025-11-12T04:54:14Z,2270000,False,159.0,201.0,1,left,MISS R. Westbrook 25' 3PT,[201566],1610612758.0,SAC,,,,,,,,Westbrook,R. Westbrook,Above the Break 3,24+ Right Center,25.69,Missed,,,,,,,,,,,,,,,,,
242,PT05M21.00S,2025-11-12T04:54:10.0Z,2,REGULAR,rebound,defensive,[],202685,,,1610612743,47,45,2025-11-12T04:54:14Z,2280000,False,,,0,,J. Valančiūnas REBOUND (Off:2 Def:3),[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,Above the Break 3,24+ Right Center,,,,,,,241.0,5.0,3.0,2.0,,,,,,,,,
243,PT05M21.00S,2025-11-12T04:54:17.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,47,45,2025-11-12T04:54:17Z,2290000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M21.00S,2025-11-12T04:54:46.5Z,2,REGULAR,substitution,out,[],203471,,,1610612743,47,45,2025-11-12T04:57:44Z,2300000,False,,,0,,SUB out: D. Schröder,[203471],1610612758.0,SAC,,,,,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,
245,PT05M21.00S,2025-11-12T04:54:46.5Z,2,REGULAR,substitution,out,[],1628971,,,1610612743,47,45,2025-11-12T04:57:44Z,2310000,False,,,0,,SUB out: B. Brown,[1628971],1610612743.0,DEN,,,,,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,
246,PT05M21.00S,2025-11-12T04:54:46.5Z,2,REGULAR,substitution,out,[],202685,,,1610612743,47,45,2025-11-12T04:57:44Z,2320000,False,,,0,,SUB out: J. Valančiūnas,[202685],1610612743.0,DEN,,,,,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,,,,,,,,,,
247,PT05M21.00S,2025-11-12T04:54:46.5Z,2,REGULAR,substitution,out,[],1627750,,,1610612743,47,45,2025-11-12T04:57:44Z,2330000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,
248,PT05M21.00S,2025-11-12T04:54:46.5Z,2,REGULAR,substitution,in,[],1631165,,,1610612743,47,45,2025-11-12T04:57:44Z,2340000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,
249,PT05M21.00S,2025-11-12T04:54:46.5Z,2,REGULAR,substitution,in,[],1631124,,,1610612743,47,45,2025-11-12T04:57:44Z,2350000,False,,,0,,SUB in: J. Strawther,[1631124],1610612743.0,DEN,,,,,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,
250,PT05M21.00S,2025-11-12T04:54:46.5Z,2,REGULAR,substitution,in,[],1631128,,,1610612743,47,45,2025-11-12T04:57:44Z,2360000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,
251,PT05M21.00S,2025-11-12T04:54:46.5Z,2,REGULAR,substitution,in,[],203999,,,1610612743,47,45,2025-11-12T04:57:44Z,2370000,False,,,0,,SUB in: N. Jokić,[203999],1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,,,
252,PT05M06.00S,2025-11-12T04:58:05.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.11760840998686,37.99019607843137,1610612743,47,47,2025-11-12T05:05:09Z,2380000,False,-60.0,12.0,1,right,N. Jokić 6' cutting Layup (14 PTS) (C. Johnson 2 AST),"[203999, 1629661]",1610612743.0,DEN,cutting,,,,,,,Jokić,N. Jokić,In The Paint (Non-RA),0-8 Center,6.12,Made,14.0,C. Johnson,1629661.0,2.0,,,,,,,,,,,,,
254,PT04M49.00S,2025-11-12T04:58:22.5Z,2,REGULAR,3pt,Jump Shot,[],201566,21.23850197109067,91.91176470588235,1610612758,47,47,2025-11-12T04:58:30Z,2400000,False,-210.0,147.0,1,left,MISS R. Westbrook 25' 3PT,[201566],1610612758.0,SAC,,,,,,,,Westbrook,R. Westbrook,Above the Break 3,24+ Left Center,25.61,Missed,,,,,,,,,,,,,,,,,
255,PT04M46.00S,2025-11-12T04:58:25.5Z,2,REGULAR,rebound,defensive,[],1629661,,,1610612743,47,47,2025-11-12T04:58:30Z,2410000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612743.0,DEN,,,,,,,,Johnson,C. Johnson,Above the Break 3,24+ Left Center,,,,,,,254.0,1.0,1.0,0.0,,,,,,,,,
256,PT04M28.00S,2025-11-12T04:58:43.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631124,91.67214191852825,59.55882352941176,1610612743,47,47,2025-11-12T05:06:42Z,2420000,False,48.0,26.0,1,right,MISS J. Strawther driving floating Shot - blocked,"[1631124, 1631165]",1610612743.0,DEN,driving floating,,,,,,,Strawther,J. Strawther,In The Paint (Non-RA),0-8 Center,5.43,Missed,,,,,,,,,,,,,,,,Ellis,1631165.0
327,PT04M28.00S,2025-11-12T04:58:43.6Z,2,REGULAR,block,,[],1631165,,,1610612743,47,47,2025-11-12T05:11:33Z,2425000,False,,,0,,K. Ellis BLOCK (2 BLK),[1631165],1610612758.0,SAC,,,,,,,,Ellis,K. Ellis,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
257,PT04M26.00S,2025-11-12T04:58:45.6Z,2,REGULAR,rebound,defensive,[],201566,,,1610612758,47,47,2025-11-12T05:07:15Z,2430000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:4),[201566],1610612758.0,SAC,,,,,,,,Westbrook,R. Westbrook,In The Paint (Non-RA),0-8 Center,,,,,,,256.0,4.0,4.0,0.0,,,,,,,,,
258,PT04M22.00S,2025-11-12T04:58:49.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201942,6.258212877792378,50.245098039215684,1610612758,49,47,2025-11-12T04:59:01Z,2440000,False,-1.0,6.0,1,left,D. DeRozan running Layup (7 PTS) (R. Westbrook 5 AST),"[201942, 201566]",1610612758.0,SAC,running,,,,,,,DeRozan,D. DeRozan,Restricted Area,0-8 Center,0.64,Made,7.0,R. Westbrook,201566.0,5.0,,,,,,,,,,,,,
260,PT04M07.00S,2025-11-12T04:59:06.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627734,,,1610612743,49,47,2025-11-12T04:59:23Z,2460000,False,,,0,,D. Sabonis personal FOUL (3 PF) (Jokić 2 FT),"[1627734, 203999]",1610612758.0,SAC,,,,,,,1627526.0,Sabonis,D. Sabonis,Above the Break 3,24+ Right Center,,,,,,,,,,,3.0,0.0,Jokić,203999.0,,,,,
262,PT04M07.00S,2025-11-12T04:59:40.8Z,2,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,49,48,2025-11-12T05:09:50Z,2502500,False,,,0,,N. Jokić Free Throw 1 of 2 (15 PTS),[203999],1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,,,,Made,15.0,,,,,,,,,,,,,,,,
320,PT04M07.00S,2025-11-12T04:59:55.7Z,2,REGULAR,substitution,out,[],1627734,,,1610612743,49,48,2025-11-12T05:10:13Z,2503125,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,
