actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
96,PT06M57.00S,2024-10-27T19:52:32.3Z,1,REGULAR,steal,,[],1626167,,,1610612754,9,6,2024-10-27T19:59:15Z,605000,False,,,0,,M. Turner STEAL (3 STL),[1626167],1610612754.0,IND,,,,,,,Mid-Range,8-16 Center,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,
63,PT06M49.00S,2024-10-27T19:52:41.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,9,6,2024-10-27T19:52:41Z,620000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M49.00S,2024-10-27T19:55:04.9Z,1,REGULAR,substitution,out,[],200768,,,1610612754,9,6,2024-10-27T19:55:41Z,630000,False,,,0,,SUB out: K. Lowry,[200768],1610612755.0,PHI,,,,,,,,,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,
67,PT06M49.00S,2024-10-27T19:55:04.9Z,1,REGULAR,substitution,in,[],201569,,,1610612754,9,6,2024-10-27T19:55:41Z,640000,False,,,0,,SUB in: E. Gordon,[201569],1610612755.0,PHI,,,,,,,,,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,
68,PT06M37.00S,2024-10-27T19:56:01.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626167,91.80354796320631,48.03921568627451,1610612754,11,6,2024-10-27T19:59:15Z,650000,False,-10.0,25.0,1,right,M. Turner DUNK (2 PTS) (A. Nesmith 1 AST),"[1626167, 1630174]",1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,2.64,Made,2.0,Turner,M. Turner,A. Nesmith,1630174.0,1.0,,,,,,,,,,,,,,,
70,PT06M17.00S,2024-10-27T19:56:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,8.886333771353483,43.872549019607845,1610612755,11,8,2024-10-27T19:58:36Z,670000,False,31.0,31.0,1,left,C. Martin driving Layup (4 PTS) (A. Drummond 1 AST),"[1628997, 203083]",1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,4.36,Made,4.0,Martin,C. Martin,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,,
72,PT05M59.00S,2024-10-27T19:56:41.3Z,1,REGULAR,foul,offensive,[],1626167,,,1610612754,11,8,2024-10-27T19:56:46Z,690000,False,,,0,,M. Turner offensive FOUL (1 PF),"[1626167, 1628997]",1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Turner,M. Turner,,,,,,,203591.0,1.0,0.0,Martin,1628997.0,,,,,,,
74,PT05M59.00S,2024-10-27T19:56:41.3Z,1,REGULAR,turnover,offensive foul,[],1626167,,,1610612754,11,8,2024-10-27T19:56:41Z,710000,False,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Turner,M. Turner,,,,1.0,,,203591.0,,,,,,,,,,,
75,PT05M59.00S,2024-10-27T19:56:50.4Z,1,REGULAR,substitution,out,[],1630174,,,1610612755,11,8,2024-10-27T19:57:01Z,720000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,,,,,,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,
76,PT05M59.00S,2024-10-27T19:56:50.4Z,1,REGULAR,substitution,in,[],1631097,,,1610612755,11,8,2024-10-27T19:57:01Z,730000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,,,,,,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,
