actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
408,PT07M57.00S,2024-10-31T00:38:49.2Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631097,9.937582128777924,45.34313725490196,1610612754,83,68,2024-10-31T00:39:18Z,4020000,False,23.0,41.0,1,left,B. Mathurin running Layup (19 PTS) (T. Haliburton 9 AST),"[1631097, 1630169]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,4.71,Made,19.0,,,,,,,,,,,,,T. Haliburton,1630169.0,9.0,,
410,PT07M57.00S,2024-10-31T00:38:51.6Z,3,REGULAR,foul,personal,['1freethrow'],201950,,,1610612754,83,68,2024-10-31T00:39:03Z,4040000,False,,,0,,J. Holiday shooting personal FOUL (2 PF) (Mathurin 1 FT),"[201950, 1631097]",1610612738.0,BOS,shooting,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,202901.0,2.0,0.0,Mathurin,1631097.0,,,,,,,
412,PT07M57.00S,2024-10-31T00:39:21.2Z,3,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1631097,,,1610612754,84,68,2024-10-31T00:39:21Z,4060000,False,,,0,,B. Mathurin Free Throw 1 of 1 (20 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,20.0,,,,,,,,,,,,,,,,,
413,PT07M49.00S,2024-10-31T00:39:33.1Z,3,REGULAR,foul,personal,[],1627783,,,1610612738,84,68,2024-10-31T00:39:39Z,4070000,False,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1627759]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right Center,,,,,,,,,2530.0,1.0,0.0,Brown,1627759.0,,,,,,,
415,PT07M49.00S,2024-10-31T00:39:38.5Z,3,REGULAR,substitution,out,[],201143,,,1610612738,84,68,2024-10-31T00:39:43Z,4090000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
416,PT07M49.00S,2024-10-31T00:39:38.5Z,3,REGULAR,substitution,in,[],1630214,,,1610612738,84,68,2024-10-31T00:39:43Z,4100000,False,,,0,,SUB in: X. Tillman,[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
417,PT07M40.00S,2024-10-31T00:39:58.0Z,3,REGULAR,3pt,Jump Shot,[],1627759,69.33311432325887,25.245098039215684,1610612738,84,68,2024-10-31T00:40:02Z,4110000,False,-124.0,236.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.63,Missed,,,,,,,,,,,,,,,,,,
418,PT07M37.00S,2024-10-31T00:40:01.0Z,3,REGULAR,rebound,defensive,[],1631097,,,1610612754,84,68,2024-10-31T00:40:02Z,4120000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:4),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,,417.0,5.0,4.0,1.0,,,,,,,,,,,,,
419,PT07M27.00S,2024-10-31T00:40:11.3Z,3,REGULAR,3pt,Jump Shot,[],1630169,34.37910643889619,47.549019607843135,1610612754,87,68,2024-10-31T00:40:15Z,4130000,False,12.0,271.0,1,left,T. Haliburton 27' 3PT pullup (6 PTS) (P. Siakam 4 AST),"[1630169, 1627783]",1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,27.1,Made,6.0,,,,,,,,,,,,,P. Siakam,1627783.0,4.0,,
421,PT07M15.00S,2024-10-31T00:40:22.1Z,3,REGULAR,3pt,Jump Shot,[],1628369,65.65374507227332,51.470588235294116,1610612738,87,68,2024-10-31T00:40:27Z,4150000,False,7.0,270.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,27.05,Missed,,,,,,,,,,,,,,,,,,
422,PT07M12.00S,2024-10-31T00:40:25.1Z,3,REGULAR,rebound,defensive,[],1630543,,,1610612754,87,68,2024-10-31T00:40:27Z,4160000,False,,,0,,I. Jackson REBOUND (Off:0 Def:2),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Center,,,,421.0,2.0,2.0,0.0,,,,,,,,,,,,,
423,PT07M02.00S,2024-10-31T00:40:35.4Z,3,REGULAR,2pt,Jump Shot,[],1627783,12.697109067017081,69.11764705882352,1610612754,87,68,2024-10-31T00:40:41Z,4170000,False,-96.0,67.0,1,left,MISS P. Siakam 11' turnaround Shot,[1627783],1610612754.0,IND,turnaround,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,11.67,Missed,,,,,,,,,,,,,,,,,,
424,PT06M59.00S,2024-10-31T00:40:38.4Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,87,68,2024-10-31T00:40:41Z,4180000,False,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,423.0,3.0,3.0,0.0,,,,,,,,,,,,,
425,PT06M54.00S,2024-10-31T00:40:44.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,90.48948751642575,45.34313725490196,1610612738,87,68,2024-10-31T01:53:53Z,4190000,False,-23.0,37.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,4.36,Missed,,,,,,,,,,,,,,,,,,
426,PT06M51.00S,2024-10-31T00:40:47.3Z,3,REGULAR,rebound,offensive,[],1628401,,,1610612738,87,68,2024-10-31T00:41:29Z,4200000,False,,,0,,D. White REBOUND (Off:1 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,425.0,3.0,2.0,1.0,,,,,,,,,,,,,
427,PT06M46.00S,2024-10-31T00:40:51.9Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,94.43166885676742,94.6078431372549,1610612738,87,68,2024-10-31T00:40:58Z,4210000,False,223.0,0.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,22.3,Missed,,,,,,,,,,,,,,,,,,
428,PT06M45.00S,2024-10-31T00:40:56.6Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612754,87,68,2024-10-31T00:40:56Z,4220000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Right Corner 3,24+ Right,,,,427.0,,,,,,,,,,,,,,,,
430,PT06M45.00S,2024-10-31T00:40:58.2Z,3,REGULAR,substitution,out,[],1628401,,,1610612754,87,68,2024-10-31T00:41:08Z,4240000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
431,PT06M45.00S,2024-10-31T00:40:58.2Z,3,REGULAR,substitution,in,[],1630202,,,1610612754,87,68,2024-10-31T00:41:08Z,4250000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
432,PT06M33.00S,2024-10-31T00:41:29.1Z,3,REGULAR,3pt,Jump Shot,[],1631097,33.98488830486202,44.11764705882353,1610612754,90,68,2024-10-31T00:42:13Z,4260000,False,29.0,267.0,1,left,B. Mathurin 26' 3PT pullup (23 PTS) (A. Nesmith 3 AST),"[1631097, 1630174]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,26.86,Made,23.0,,,,,,,,,,,,,A. Nesmith,1630174.0,3.0,,
433,PT06M31.00S,2024-10-31T00:41:35.0Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,90,68,2024-10-31T00:41:35Z,4270000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,PT06M31.00S,2024-10-31T00:44:23.8Z,3,REGULAR,substitution,out,[],1627783,,,1610612738,90,68,2024-10-31T00:44:50Z,4280000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
436,PT06M31.00S,2024-10-31T00:44:23.8Z,3,REGULAR,substitution,in,[],1630167,,,1610612738,90,68,2024-10-31T00:44:50Z,4290000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT06M12.00S,2024-10-31T00:45:17.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630214,90.75229960578186,47.30392156862745,1610612738,90,68,2024-10-31T00:45:21Z,4300000,False,-13.0,34.0,1,right,MISS X. Tillman driving Layup,[1630214],1610612738.0,BOS,driving,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,3.7,Missed,,,,,,,,,,,,,,,,,,
439,PT06M09.00S,2024-10-31T00:45:20.3Z,3,REGULAR,rebound,defensive,[],1630167,,,1610612754,90,68,2024-10-31T00:45:21Z,4320000,False,,,0,,O. Toppin REBOUND (Off:1 Def:4),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,,,,437.0,5.0,4.0,1.0,,,,,,,,,,,,,
440,PT05M55.00S,2024-10-31T00:45:33.7Z,3,REGULAR,turnover,bad pass,[],1630169,,,1610612754,90,68,2024-10-31T00:45:37Z,4330000,False,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1630214]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,,,,,,Tillman,1630214.0,,,,,
441,PT05M55.00S,2024-10-31T00:45:33.7Z,3,REGULAR,steal,,[],1630214,,,1610612738,90,68,2024-10-31T00:45:35Z,4340000,False,,,0,,X. Tillman STEAL (1 STL),[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
442,PT05M55.00S,2024-10-31T00:45:37.9Z,3,REGULAR,foul,personal,[],1630543,,,1610612738,90,68,2024-10-31T00:45:46Z,4350000,False,,,0,,I. Jackson personal FOUL (4 PF),"[1630543, 1627759]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,2530.0,4.0,0.0,Brown,1627759.0,,,,,,,
444,PT05M55.00S,2024-10-31T00:45:51.4Z,3,REGULAR,substitution,out,[],1630543,,,1610612738,90,68,2024-10-31T00:45:56Z,4370000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
445,PT05M55.00S,2024-10-31T00:45:51.4Z,3,REGULAR,substitution,in,[],1641716,,,1610612738,90,68,2024-10-31T00:45:56Z,4380000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
446,PT05M41.00S,2024-10-31T00:46:19.9Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],201950,71.96123521681997,20.588235294117645,1610612738,90,68,2024-10-31T00:46:26Z,4390000,False,-147.0,211.0,1,right,MISS J. Holiday 25' 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,25.73,Missed,,,,,,,,,,,,,,,,,,
447,PT05M37.00S,2024-10-31T00:46:23.9Z,3,REGULAR,rebound,defensive,[],1630169,,,1610612754,90,68,2024-10-31T00:46:26Z,4400000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:5),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,446.0,5.0,5.0,0.0,,,,,,,,,,,,,
448,PT05M19.00S,2024-10-31T00:46:40.5Z,3,REGULAR,3pt,Jump Shot,[],1631097,22.552562417871222,10.294117647058822,1610612754,90,68,2024-10-31T00:46:43Z,4410000,False,199.0,159.0,1,left,MISS B. Mathurin 25' pullup 3PT,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,,
449,PT05M17.00S,2024-10-31T00:46:42.5Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,90,68,2024-10-31T00:46:43Z,4420000,False,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,448.0,4.0,4.0,0.0,,,,,,,,,,,,,
450,PT05M14.00S,2024-10-31T00:46:45.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201950,91.80354796320631,42.8921568627451,1610612738,90,68,2024-10-31T00:46:50Z,4430000,False,-36.0,25.0,1,right,MISS J. Holiday running finger roll Layup,[201950],1610612738.0,BOS,running finger roll,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,4.31,Missed,,,,,,,,,,,,,,,,,,
451,PT05M12.00S,2024-10-31T00:46:48.5Z,3,REGULAR,rebound,offensive,[],1628369,,,1610612738,90,68,2024-10-31T00:46:48Z,4440000,False,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,450.0,5.0,4.0,1.0,,,,,,,,,,,,,
452,PT05M11.00S,2024-10-31T00:46:49.6Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,90.75229960578186,3.431372549019608,1610612738,90,68,2024-10-31T00:46:58Z,4450000,False,-233.0,34.0,1,right,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,,,,,,,,
453,PT05M08.00S,2024-10-31T00:46:52.6Z,3,REGULAR,rebound,defensive,[],1630174,,,1610612754,90,68,2024-10-31T00:46:58Z,4460000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:6),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Left Corner 3,24+ Left,,,,452.0,6.0,6.0,0.0,,,,,,,,,,,,,
454,PT05M08.00S,2024-10-31T00:46:59.4Z,3,REGULAR,foul,personal,[],1628369,,,1610612754,90,68,2024-10-31T00:47:04Z,4470000,False,,,0,,J. Tatum personal FOUL (2 PF),"[1628369, 1630174]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,,,,,,202901.0,2.0,0.0,Nesmith,1630174.0,,,,,,,
456,PT04M57.00S,2024-10-31T00:47:26.4Z,3,REGULAR,2pt,Jump Shot,[],1630169,24.78646517739816,21.07843137254902,1610612754,90,68,2024-10-31T00:47:31Z,4490000,False,145.0,180.0,1,left,MISS T. Haliburton 23' step back Shot,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right Center,23.13,Missed,,,,,,,,,,,,,,,,,,
457,PT04M52.00S,2024-10-31T00:47:29.8Z,3,REGULAR,rebound,offensive,[],1630174,,,1610612754,90,68,2024-10-31T00:47:29Z,4500000,False,,,0,,A. Nesmith REBOUND (Off:1 Def:6),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Right Center,,,,456.0,7.0,6.0,1.0,,,,,,,,,,,,,
458,PT04M47.00S,2024-10-31T00:47:35.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630169,5.338370565045992,43.38235294117647,1610612754,92,68,2024-10-31T00:47:38Z,4510000,False,33.0,-2.0,1,left,T. Haliburton driving Layup (8 PTS) (O. Toppin 2 AST),"[1630169, 1630167]",1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,3.32,Made,8.0,,,,,,,,,,,,,O. Toppin,1630167.0,2.0,,
460,PT04M40.00S,2024-10-31T00:47:42.7Z,3,REGULAR,3pt,Jump Shot,[],1630202,73.53810775295663,15.931372549019606,1610612738,92,71,2024-10-31T00:49:18Z,4530000,False,-170.0,196.0,1,right,P. Pritchard 25' 3PT pullup (9 PTS) (J. Holiday 4 AST),"[1630202, 201950]",1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,25.98,Made,9.0,,,,,,,,,,,,,J. Holiday,201950.0,4.0,,
461,PT04M17.00S,2024-10-31T00:48:04.8Z,3,REGULAR,3pt,Jump Shot,[],1630167,5.338370565045992,94.85294117647058,1610612754,92,71,2024-10-31T00:48:08Z,4540000,False,-224.0,-2.0,1,left,MISS O. Toppin 3PT,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Left Corner 3,24+ Left,22.43,Missed,,,,,,,,,,,,,,,,,,
462,PT04M14.00S,2024-10-31T00:48:07.8Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,92,71,2024-10-31T00:48:08Z,4550000,False,,,0,,J. Tatum REBOUND (Off:1 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,461.0,6.0,5.0,1.0,,,,,,,,,,,,,
463,PT04M07.00S,2024-10-31T00:48:15.3Z,3,REGULAR,turnover,lost ball,[],1628369,,,1610612738,92,71,2024-10-31T00:48:19Z,4560000,False,,,0,,J. Tatum lost ball TURNOVER (2 TO),"[1628369, 1641716]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,,,,,,,,2.0,,,,,,Walker,1641716.0,,,,,
464,PT04M07.00S,2024-10-31T00:48:15.3Z,3,REGULAR,steal,,[],1641716,,,1610612754,92,71,2024-10-31T00:48:16Z,4570000,False,,,0,,J. Walker STEAL (1 STL),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
465,PT04M04.00S,2024-10-31T00:48:18.4Z,3,REGULAR,turnover,bad pass,[],1641716,,,1610612754,92,71,2024-10-31T00:48:22Z,4580000,False,,,0,,J. Walker bad pass TURNOVER (2 TO),"[1641716, 1627759]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Center,,,,,,,,2.0,,,,,,Brown,1627759.0,,,,,
466,PT04M04.00S,2024-10-31T00:48:18.4Z,3,REGULAR,steal,,[],1627759,,,1610612738,92,71,2024-10-31T00:48:20Z,4590000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
467,PT04M01.00S,2024-10-31T00:48:21.8Z,3,REGULAR,turnover,bad pass,[],1627759,,,1610612738,92,71,2024-10-31T00:48:25Z,4600000,False,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 1641716]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left,,,,,,,,2.0,,,,,,Walker,1641716.0,,,,,
468,PT04M01.00S,2024-10-31T00:48:21.8Z,3,REGULAR,steal,,[],1641716,,,1610612754,92,71,2024-10-31T00:51:35Z,4610000,False,,,0,,J. Walker STEAL (2 STL),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
469,PT03M57.00S,2024-10-31T00:48:25.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630169,7.440867279894875,43.627450980392155,1610612754,94,71,2024-10-31T00:48:30Z,4620000,False,32.0,17.0,1,left,T. Haliburton running Layup (10 PTS) (B. Mathurin 3 AST),"[1630169, 1631097]",1610612754.0,IND,running,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,3.63,Made,10.0,,,,,,,,,,,,,B. Mathurin,1631097.0,3.0,,
471,PT03M48.00S,2024-10-31T00:48:36.8Z,3,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612738,94,71,2024-10-31T00:48:48Z,4640000,False,,,0,,A. Nesmith shooting personal FOUL (3 PF) (Holiday 2 FT),"[1630174, 201950]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,201246.0,3.0,0.0,Holiday,201950.0,,,,,,,
474,PT03M48.00S,2024-10-31T00:49:13.3Z,3,REGULAR,freethrow,1 of 2,[],201950,,,1610612738,94,72,2024-10-31T00:49:45Z,4660000,False,,,0,,J. Holiday Free Throw 1 of 2 (8 PTS),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
475,PT03M48.00S,2024-10-31T00:49:13.9Z,3,REGULAR,substitution,out,[],1630174,,,1610612738,94,72,2024-10-31T00:49:24Z,4670000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
476,PT03M48.00S,2024-10-31T00:49:13.9Z,3,REGULAR,substitution,out,[],1627759,,,1610612738,94,72,2024-10-31T00:49:24Z,4680000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
477,PT03M48.00S,2024-10-31T00:49:13.9Z,3,REGULAR,substitution,out,[],1630214,,,1610612738,94,72,2024-10-31T00:49:24Z,4690000,False,,,0,,SUB out: X. Tillman,[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
478,PT03M48.00S,2024-10-31T00:49:13.9Z,3,REGULAR,substitution,in,[],1641767,,,1610612738,94,72,2024-10-31T00:49:24Z,4700000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
479,PT03M48.00S,2024-10-31T00:49:13.9Z,3,REGULAR,substitution,in,[],1630573,,,1610612738,94,72,2024-10-31T00:49:24Z,4710000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
480,PT03M48.00S,2024-10-31T00:49:13.9Z,3,REGULAR,substitution,in,[],1628436,,,1610612738,94,72,2024-10-31T00:49:24Z,4720000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
481,PT03M48.00S,2024-10-31T00:49:13.3Z,3,REGULAR,freethrow,2 of 2,[],201950,,,1610612738,94,72,2024-10-31T00:49:45Z,4730000,False,,,0,,MISS J. Holiday Free Throw 2 of 2,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
482,PT03M47.00S,2024-10-31T00:49:14.3Z,3,REGULAR,rebound,defensive,[],1631097,,,1610612754,94,72,2024-10-31T00:49:45Z,4740000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:5),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,481.0,6.0,5.0,1.0,,,,,,,,,,,,,
483,PT03M35.00S,2024-10-31T00:49:55.8Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630167,6.258212877792378,51.225490196078425,1610612754,96,72,2024-10-31T00:49:58Z,4750000,False,-6.0,6.0,1,left,O. Toppin cutting DUNK (9 PTS) (B. Mathurin 4 AST),"[1630167, 1631097]",1610612754.0,IND,cutting,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,0.88,Made,9.0,,,,,,,,,,,,,B. Mathurin,1631097.0,4.0,,
485,PT03M25.00S,2024-10-31T00:50:05.4Z,3,REGULAR,3pt,Jump Shot,[],1628369,65.52233902759527,63.23529411764706,1610612738,96,75,2024-10-31T00:50:10Z,4770000,False,66.0,272.0,1,right,J. Tatum 27' 3PT pullup (18 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,27.96,Made,18.0,,,,,,,,,,,,,,,,,
486,PT03M02.00S,2024-10-31T00:50:28.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1641716,7.440867279894875,51.71568627450981,1610612754,96,75,2024-10-31T00:50:32Z,4780000,False,-9.0,17.0,1,left,MISS J. Walker cutting Layup,[1641716],1610612754.0,IND,cutting,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
487,PT03M00.00S,2024-10-31T00:50:30.2Z,3,REGULAR,rebound,offensive,[],1641767,,,1610612754,96,75,2024-10-31T00:59:15Z,4790000,False,,,0,,B. Sheppard REBOUND (Off:1 Def:1),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Restricted Area,0-8 Center,,,,486.0,2.0,1.0,1.0,,,,,,,,,,,,,
490,PT02M57.00S,2024-10-31T00:50:34.4Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1630169,33.590670170827856,52.20588235294118,1610612754,96,75,2024-10-31T00:50:38Z,4820000,False,-11.0,263.0,1,left,MISS T. Haliburton 26' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,26.35,Missed,,,,,,,,,,,,,,,,,,
491,PT02M52.00S,2024-10-31T00:50:39.4Z,3,REGULAR,rebound,offensive,[],1631097,,,1610612754,96,75,2024-10-31T00:50:38Z,4830000,False,,,0,,B. Mathurin REBOUND (Off:2 Def:5),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,,,,490.0,7.0,5.0,2.0,,,,,,,,,,,,,
492,PT02M52.00S,2024-10-31T00:50:39.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631097,11.383048620236531,50.73529411764706,1610612754,96,75,2024-10-31T00:50:53Z,4840000,False,-4.0,55.0,1,left,MISS B. Mathurin Layup - blocked,"[1631097, 1630573]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,5.46,Missed,,,,,,,,,,,,,,,,,Hauser,1630573.0
493,PT02M52.00S,2024-10-31T00:50:39.5Z,3,REGULAR,block,,[],1630573,,,1610612754,96,75,2024-10-31T00:50:41Z,4850000,False,,,0,,S. Hauser BLOCK (1 BLK),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
