actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
60,PT06M59.00S,2025-12-05T00:22:06.0Z,1,REGULAR,freethrow,2 of 3,[],203468,,,1610612764,10,15,2025-12-05T00:22:06Z,600000,False,,,0,,C. McCollum Free Throw 2 of 3 (2 PTS),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
61,PT06M59.00S,2025-12-05T00:22:19.3Z,1,REGULAR,freethrow,3 of 3,[],203468,,,1610612764,11,15,2025-12-05T00:22:19Z,610000,False,,,0,,C. McCollum Free Throw 3 of 3 (3 PTS),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
62,PT06M41.00S,2025-12-05T00:22:38.3Z,1,REGULAR,3pt,Jump Shot,[],1628401,32.802233902759525,71.07843137254902,1610612738,11,15,2025-12-05T00:23:08Z,620000,False,-105.0,256.0,1,left,MISS D. White 27' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,27.67,Missed,,,,,,,,,,,,,,,,,,
63,PT06M38.00S,2025-12-05T00:22:41.3Z,1,REGULAR,rebound,offensive,[],1641775,,,1610612738,11,15,2025-12-05T00:22:42Z,630000,False,,,0,,J. Walsh REBOUND (Off:1 Def:0),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,,,,,,,62.0,,,1.0,0.0,1.0,,,,,,,,
64,PT06M31.00S,2025-12-05T00:22:49.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629014,33.196452036793694,61.029411764705884,1610612738,11,15,2025-12-05T00:23:27Z,640000,False,-55.0,260.0,1,left,MISS A. Simons 26' pullup 3PT,[1629014],1610612738.0,BOS,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,26.53,Missed,,,,,,,,,,,,,,,,,,
65,PT06M28.00S,2025-12-05T00:22:52.0Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612764,11,15,2025-12-05T00:22:53Z,650000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Center,,,,,,,64.0,,,1.0,1.0,0.0,,,,,,,,
66,PT06M16.00S,2025-12-05T00:23:04.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,93.38042049934296,46.568627450980394,1610612764,13,15,2025-12-05T00:23:08Z,660000,False,-17.0,10.0,1,right,C. McCollum driving bank Jump Shot (5 PTS) (J. Watkins 1 AST),"[203468, 1642364]",1610612764.0,WAS,driving bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.97,Made,5.0,J. Watkins,1642364.0,1.0,,,,,,,,,,,,,,
67,PT05M49.00S,2025-12-05T00:23:30.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,25.57490144546649,12.990196078431374,1610612738,13,18,2025-12-05T00:23:37Z,670000,False,185.0,188.0,1,left,D. White 26' 3PT pullup (5 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Right Center,26.37,Made,5.0,,,,,,,,,,,,,,,,,
68,PT05M32.00S,2025-12-05T00:23:48.2Z,1,REGULAR,turnover,lost ball,[],203114,,,1610612764,13,18,2025-12-05T00:23:51Z,680000,False,,,0,,K. Middleton lost ball TURNOVER (1 TO),"[203114, 1628401]",1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,,,,,White,1628401.0,,
69,PT05M32.00S,2025-12-05T00:23:48.2Z,1,REGULAR,steal,,[],1628401,,,1610612738,13,18,2025-12-05T00:23:49Z,690000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
70,PT05M27.00S,2025-12-05T00:23:53.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628401,5.601182654402102,51.470588235294116,1610612738,13,20,2025-12-05T00:23:57Z,700000,False,-7.0,0.0,1,left,D. White running Layup (7 PTS) (S. Hauser 2 AST),"[1628401, 1630573]",1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,0.74,Made,7.0,S. Hauser,1630573.0,2.0,,,,,,,,,,,,,,
72,PT05M11.00S,2025-12-05T00:24:08.7Z,1,REGULAR,3pt,Jump Shot,[],1642273,70.25295663600527,11.029411764705882,1610612764,16,20,2025-12-05T00:24:12Z,720000,False,-195.0,227.0,1,right,K. George 29' 3PT  (5 PTS) (J. Watkins 2 AST),"[1642273, 1642364]",1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,29.93,Made,5.0,J. Watkins,1642364.0,2.0,,,,,,,,,,,,,,
75,PT04M54.00S,2025-12-05T00:24:24.9Z,1,REGULAR,2pt,Jump Shot,[],1629014,17.0335085413929,25.245098039215684,1610612738,16,20,2025-12-05T00:24:29Z,740000,False,124.0,108.0,1,left,MISS A. Simons 16' pullup Shot,[1629014],1610612738.0,BOS,pullup,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right Center,16.4,Missed,,,,,,,,,,,,,,,,,,
76,PT04M52.00S,2025-12-05T00:24:26.9Z,1,REGULAR,rebound,defensive,[],203114,,,1610612764,16,20,2025-12-05T00:24:29Z,750000,False,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right Center,,,,,,,75.0,,,2.0,2.0,0.0,,,,,,,,
77,PT04M45.00S,2025-12-05T00:24:34.6Z,1,REGULAR,2pt,Jump Shot,[],203114,84.70762155059133,75.24509803921569,1610612764,16,20,2025-12-05T00:24:38Z,760000,False,126.0,91.0,1,right,MISS K. Middleton 15' pullup Shot,[203114],1610612764.0,WAS,pullup,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Right,15.57,Missed,,,,,,,,,,,,,,,,,,
78,PT04M42.00S,2025-12-05T00:24:37.6Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,16,20,2025-12-05T00:24:38Z,770000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,8-16 Right,,,,,,,77.0,,,1.0,1.0,0.0,,,,,,,,
