actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
393,PT09M36.00S,2022-10-20T01:29:04.0Z,3,REGULAR,rebound,offensive,[],1630162,,,1610612750,69,57,2022-10-20T01:29:04Z,3900000,,,0,,A. Edwards REBOUND (Off:1 Def:3),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,392.0,4.0,3.0,1.0,,,,,,,,,,,,
394,PT09M32.00S,2022-10-20T01:29:07.4Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,71.43561103810775,74.50980392156863,1610612750,69,57,2022-10-20T01:29:13Z,3910000,123.0,216.0,1,right,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,24.83,Missed,,,,,,,,,,,,,,,,,,
395,PT09M30.00S,2022-10-20T01:29:09.4Z,3,REGULAR,rebound,defensive,[],1630581,,,1610612760,69,57,2022-10-20T01:29:43Z,3920000,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,394.0,3.0,2.0,1.0,,,,,,,,,,,,
396,PT09M24.00S,2022-10-20T01:29:15.3Z,3,REGULAR,3pt,Jump Shot,[],1630581,24.129434954007884,85.7843137254902,1610612760,69,57,2022-10-20T01:30:30Z,3930000,-179.0,174.0,1,left,MISS J. Giddey 24' pullup 3PT,[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,24.98,Missed,,,,,,,,,,,,,,,,,,
397,PT09M23.00S,2022-10-20T01:29:16.3Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612750,69,57,2022-10-20T01:29:29Z,3940000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,396.0,,,,,,,,,,,,,,,
398,PT09M23.00S,2022-10-20T01:29:23.0Z,3,REGULAR,foul,personal,[],1630526,,,1610612750,69,57,2022-10-20T01:29:26Z,3950000,,,0,,J. Robinson-Earl loose ball personal FOUL (5 PF),"[1630526, 203497]",1610612760.0,OKC,loose ball,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2002.0,5.0,0.0,Gobert,203497.0
400,PT09M06.00S,2022-10-20T01:29:53.2Z,3,REGULAR,2pt,Jump Shot,[],1630183,79.31997371879106,46.32352941176471,1610612750,71,57,2022-10-20T01:30:01Z,3970000,-18.0,142.0,1,right,J. McDaniels 14' pullup Jump Shot (12 PTS) (R. Gobert 2 AST),"[1630183, 203497]",1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Center,14.31,Made,,,,,,,12.0,,,,R. Gobert,203497.0,2.0,,,,,
402,PT08M48.00S,2022-10-20T01:30:10.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,7.5722733245729295,51.470588235294116,1610612760,71,57,2022-10-20T01:30:14Z,3990000,-7.0,19.0,1,left,MISS A. Pokusevski cutting Layup,[1630197],1610612760.0,OKC,cutting,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,2.01,Missed,,,,,,,,,,,,,,,,,,
403,PT08M46.00S,2022-10-20T01:30:12.4Z,3,REGULAR,rebound,defensive,[],1626157,,,1610612750,71,57,2022-10-20T01:30:14Z,4000000,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,402.0,4.0,4.0,0.0,,,,,,,,,,,,
404,PT08M43.00S,2022-10-20T01:30:15.6Z,3,REGULAR,turnover,bad pass,[],1626157,,,1610612750,71,57,2022-10-20T01:30:34Z,4010000,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 1630526]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1.0,Robinson-Earl,1630526.0,,,,,,,,
405,PT08M43.00S,2022-10-20T01:30:15.6Z,3,REGULAR,steal,,[],1630526,,,1610612760,71,57,2022-10-20T01:30:17Z,4020000,,,0,,J. Robinson-Earl STEAL (1 STL),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
406,PT08M40.00S,2022-10-20T01:30:19.0Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630197,22.28975032851511,87.5,1610612760,71,60,2022-10-20T01:32:11Z,4030000,-188.0,157.0,1,left,A. Pokusevski 24' 3PT running (5 PTS) (S. Gilgeous-Alexander 4 AST),"[1630197, 1628983]",1610612760.0,OKC,running,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Left Center,24.46,Made,,,,,,,5.0,,,,S. Gilgeous-Alexander,1628983.0,4.0,,,,,
408,PT08M16.00S,2022-10-20T01:30:42.3Z,3,REGULAR,3pt,Jump Shot,[],1626156,73.40670170827858,18.38235294117647,1610612750,74,60,2022-10-20T01:30:47Z,4050000,-158.0,197.0,1,right,D. Russell 25' 3PT  (10 PTS) (A. Edwards 7 AST),"[1626156, 1630162]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,25.3,Made,,,,,,,10.0,,,,A. Edwards,1630162.0,7.0,,,,,
410,PT08M07.00S,2022-10-20T01:30:51.6Z,3,REGULAR,3pt,Jump Shot,[],1628983,9.149145860709593,5.147058823529411,1610612760,74,60,2022-10-20T01:30:56Z,4070000,224.0,34.0,1,left,MISS S. Gilgeous-Alexander 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
411,PT08M04.00S,2022-10-20T01:30:54.6Z,3,REGULAR,rebound,defensive,[],1626157,,,1610612750,74,60,2022-10-20T01:30:56Z,4080000,,,0,,K. Towns REBOUND (Off:0 Def:5),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,,,410.0,5.0,5.0,0.0,,,,,,,,,,,,
412,PT07M57.00S,2022-10-20T01:31:01.4Z,3,REGULAR,2pt,Jump Shot,[],1630162,90.22667542706965,67.15686274509804,1610612750,76,60,2022-10-20T01:31:09Z,4090000,86.0,39.0,1,right,A. Edwards 9' turnaround fadeaway Jump Shot (9 PTS),[1630162],1610612750.0,MIN,turnaround fadeaway,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,9.44,Made,,,,,,,9.0,,,,,,,,,,,
413,PT07M57.00S,2022-10-20T01:31:06.9Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,76,60,2022-10-20T01:31:06Z,4100000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,PT07M57.00S,2022-10-20T01:33:07.0Z,3,REGULAR,substitution,out,[],1630526,,,1610612760,76,60,2022-10-20T01:33:46Z,4110000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
415,PT07M57.00S,2022-10-20T01:33:07.0Z,3,REGULAR,substitution,in,[],1630647,,,1610612760,76,60,2022-10-20T01:33:46Z,4120000,,,0,,SUB in: E. Omoruyi,[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,,,,,,,,,,,,,,,,,,,,,,
416,PT07M47.00S,2022-10-20T01:34:09.1Z,3,REGULAR,foul,personal,[],1626156,,,1610612760,76,60,2022-10-20T01:34:16Z,4130000,,,0,,D. Russell personal FOUL (3 PF),"[1626156, 1629652]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,203591.0,3.0,0.0,Dort,1629652.0
418,PT07M41.00S,2022-10-20T01:34:31.8Z,3,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612760,76,60,2022-10-20T01:34:37Z,4150000,,,0,,A. Edwards shooting personal FOUL (3 PF) (Gilgeous-Alexander 2 FT),"[1630162, 1628983]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1830.0,3.0,0.0,Gilgeous-Alexander,1628983.0
420,PT07M41.00S,2022-10-20T01:34:53.2Z,3,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,76,61,2022-10-20T01:34:53Z,4170000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (15 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,15.0,,,,,,,,,,,
421,PT07M41.00S,2022-10-20T01:35:05.7Z,3,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,76,62,2022-10-20T01:35:05Z,4180000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (16 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,16.0,,,,,,,,,,,
422,PT07M25.00S,2022-10-20T01:35:22.4Z,3,REGULAR,3pt,Jump Shot,[],1630183,94.03745072273325,3.9215686274509802,1610612750,76,62,2022-10-20T01:35:31Z,4190000,-230.0,4.0,1,right,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
423,PT07M25.00S,2022-10-20T01:35:22.4Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612760,76,62,2022-10-20T01:35:31Z,4200000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Left Corner 3,24+ Left,,,,,422.0,,,,,,,,,,,,,,,
424,PT07M25.00S,2022-10-20T01:35:29.0Z,3,REGULAR,foul,personal,[],1626157,,,1610612760,76,62,2022-10-20T01:35:36Z,4210000,,,0,,K. Towns loose ball personal FOUL (2 PF),"[1626157, 1630647]",1610612750.0,MIN,loose ball,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,2.0,0.0,Omoruyi,1630647.0
426,PT07M14.00S,2022-10-20T01:35:49.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.783837056504599,50.98039215686274,1610612760,76,64,2022-10-20T01:35:54Z,4230000,-5.0,11.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (18 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,,,18.0,,,,,,,,,,,
427,PT06M55.00S,2022-10-20T01:36:08.6Z,3,REGULAR,turnover,lost ball,[],1626156,,,1610612750,76,64,2022-10-20T01:36:14Z,4240000,,,0,,D. Russell lost ball TURNOVER (3 TO),"[1626156, 1629652]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,3.0,Dort,1629652.0,,,,,,,,
428,PT06M55.00S,2022-10-20T01:36:08.6Z,3,REGULAR,steal,,[],1629652,,,1610612760,76,64,2022-10-20T01:36:43Z,4250000,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
430,PT06M52.00S,2022-10-20T01:36:14.4Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626157,,,1610612760,76,64,2022-10-20T01:36:39Z,4270000,,,0,,K. Towns shooting personal FOUL (3 PF) (Pokusevski 2 FT),"[1626157, 1630197]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,3.0,0.0,Pokusevski,1630197.0
432,PT06M52.00S,2022-10-20T01:36:46.4Z,3,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630197,,,1610612760,76,65,2022-10-20T01:36:46Z,4290000,,,0,,A. Pokusevski Free Throw 1 of 2 (6 PTS),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
433,PT06M52.00S,2022-10-20T01:36:59.2Z,3,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630197,,,1610612760,76,66,2022-10-20T01:36:59Z,4300000,,,0,,A. Pokusevski Free Throw 2 of 2 (7 PTS),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
434,PT06M33.00S,2022-10-20T01:37:19.7Z,3,REGULAR,3pt,Jump Shot,[],1626156,79.45137976346912,90.68627450980392,1610612750,76,66,2022-10-20T01:37:25Z,4310000,203.0,141.0,1,right,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,24.73,Missed,,,,,,,,,,,,,,,,,,
435,PT06M29.00S,2022-10-20T01:37:23.7Z,3,REGULAR,rebound,defensive,[],1630581,,,1610612760,76,66,2022-10-20T01:37:25Z,4320000,,,0,,J. Giddey REBOUND (Off:1 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,434.0,4.0,3.0,1.0,,,,,,,,,,,,
436,PT06M23.00S,2022-10-20T01:37:29.3Z,3,REGULAR,3pt,Jump Shot,[],1629652,26.231931668856767,82.1078431372549,1610612760,76,69,2022-10-20T01:37:35Z,4330000,-161.0,194.0,1,left,L. Dort 25' 3PT step back (6 PTS),[1629652],1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.19,Made,,,,,,,6.0,,,,,,,,,,,
437,PT06M12.00S,2022-10-20T01:37:41.0Z,3,REGULAR,3pt,Jump Shot,[],1630162,73.01248357424441,19.362745098039216,1610612750,76,69,2022-10-20T01:39:17Z,4340000,-153.0,201.0,1,right,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,25.29,Missed,,,,,,,,,,,,,,,,,,
438,PT06M09.00S,2022-10-20T01:37:44.0Z,3,REGULAR,rebound,defensive,[],1630581,,,1610612760,76,69,2022-10-20T01:37:45Z,4350000,,,0,,J. Giddey REBOUND (Off:1 Def:4),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,437.0,5.0,4.0,1.0,,,,,,,,,,,,
439,PT06M06.00S,2022-10-20T01:37:47.1Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,29.122864651773984,21.07843137254902,1610612760,76,69,2022-10-20T01:39:37Z,4360000,145.0,221.0,1,left,MISS L. Dort 26' running 3PT,[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,26.44,Missed,,,,,,,,,,,,,,,,,,
440,PT06M04.00S,2022-10-20T01:37:49.1Z,3,REGULAR,rebound,defensive,[],1626156,,,1610612750,76,69,2022-10-20T01:37:54Z,4370000,,,0,,D. Russell REBOUND (Off:0 Def:2),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,439.0,2.0,2.0,0.0,,,,,,,,,,,,
441,PT06M04.00S,2022-10-20T01:37:54.0Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,76,69,2022-10-20T01:37:54Z,4380000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,PT06M04.00S,2022-10-20T01:39:55.5Z,3,REGULAR,substitution,out,[],203497,,,1610612750,76,69,2022-10-20T01:40:38Z,4390000,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
443,PT06M04.00S,2022-10-20T01:39:55.5Z,3,REGULAR,substitution,in,[],203937,,,1610612750,76,69,2022-10-20T01:40:38Z,4400000,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
445,PT05M46.00S,2022-10-20T01:41:19.2Z,3,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,76,69,2022-10-20T01:41:27Z,4420000,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,,,,,,2002.0,,,,
446,PT05M39.00S,2022-10-20T01:41:39.4Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630197,8.09789750328515,4.6568627450980395,1610612760,76,72,2022-10-20T01:41:44Z,4430000,227.0,24.0,1,left,A. Pokusevski 3PT  (10 PTS) (J. Giddey 3 AST),"[1630197, 1630581]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Right Corner 3,24+ Right,22.79,Made,,,,,,,10.0,,,,J. Giddey,1630581.0,3.0,,,,,
449,PT05M19.00S,2022-10-20T01:42:19.6Z,3,REGULAR,foul,personal,[],1630647,,,1610612750,76,72,2022-10-20T01:42:30Z,4460000,,,0,,E. Omoruyi personal FOUL (1 PF),"[1630647, 1626157]",1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Towns,1626157.0
451,PT05M19.00S,2022-10-20T01:42:34.6Z,3,REGULAR,substitution,out,[],1630183,,,1610612750,76,72,2022-10-20T01:42:40Z,4480000,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
452,PT05M19.00S,2022-10-20T01:42:34.6Z,3,REGULAR,substitution,in,[],1629669,,,1610612750,76,72,2022-10-20T01:42:40Z,4490000,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
453,PT05M08.00S,2022-10-20T01:43:00.8Z,3,REGULAR,2pt,Jump Shot,[],1626157,95.00657030223391,75.26807598039215,1610612750,76,72,2022-10-20T01:43:08Z,4500000,126.0,-6.0,1,right,MISS K. Towns 12' turnaround Shot,[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,Mid-Range,8-16 Right,12.64,Missed,,,,,,,,,,,,,,,,,,
454,PT05M05.00S,2022-10-20T01:43:03.8Z,3,REGULAR,rebound,defensive,[],1630581,,,1610612760,76,72,2022-10-20T01:43:08Z,4510000,,,0,,J. Giddey REBOUND (Off:1 Def:5),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,,,,,453.0,6.0,5.0,1.0,,,,,,,,,,,,
455,PT04M45.00S,2022-10-20T01:43:23.8Z,3,REGULAR,3pt,Jump Shot,[],1630581,9.017739816031538,95.09803921568627,1610612760,76,72,2022-10-20T01:43:29Z,4520000,-225.0,32.0,1,left,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,22.78,Missed,,,,,,,,,,,,,,,,,,
456,PT04M44.00S,2022-10-20T01:43:27.0Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612760,76,72,2022-10-20T01:43:27Z,4530000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Left Corner 3,24+ Left,,,,,455.0,,,,,,,,,,,,,,,
458,PT04M42.00S,2022-10-20T01:43:42.8Z,3,REGULAR,turnover,shot clock,['team'],0,,,1610612760,76,72,2022-10-20T01:43:51Z,4550000,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1830.0,,,,
459,PT04M30.00S,2022-10-20T01:44:04.3Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,80.6340341655716,90.68627450980392,1610612750,76,72,2022-10-20T01:44:09Z,4560000,203.0,130.0,1,right,MISS A. Edwards 24' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,24.11,Missed,,,,,,,,,,,,,,,,,,
460,PT04M27.00S,2022-10-20T01:44:07.3Z,3,REGULAR,rebound,defensive,[],1630581,,,1610612760,76,72,2022-10-20T01:44:30Z,4570000,,,0,,J. Giddey REBOUND (Off:1 Def:6),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,459.0,7.0,6.0,1.0,,,,,,,,,,,,
461,PT04M22.00S,2022-10-20T01:44:10.9Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,6.521024967148489,94.11764705882352,1610612760,76,72,2022-10-20T01:44:50Z,4580000,-221.0,9.0,1,left,MISS L. Dort running 3PT,[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,22.08,Missed,,,,,,,,,,,,,,,,,,
462,PT04M20.00S,2022-10-20T01:44:14.0Z,3,REGULAR,rebound,offensive,[],1630647,,,1610612760,76,72,2022-10-20T01:44:14Z,4590000,,,0,,E. Omoruyi REBOUND (Off:1 Def:0),[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,Left Corner 3,24+ Left,,,,,461.0,1.0,0.0,1.0,,,,,,,,,,,,
463,PT04M20.00S,2022-10-20T01:44:15.9Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630162,,,1610612760,76,72,2022-10-20T01:44:25Z,4600000,,,0,,A. Edwards shooting personal FOUL (4 PF) (Omoruyi 2 FT),"[1630162, 1630647]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203591.0,4.0,0.0,Omoruyi,1630647.0
465,PT04M20.00S,2022-10-20T01:44:45.3Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],1630647,,,1610612760,76,73,2022-10-20T01:44:45Z,4620000,,,0,,E. Omoruyi Free Throw 1 of 2 (1 PTS),[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
466,PT04M20.00S,2022-10-20T01:44:46.0Z,3,REGULAR,substitution,out,[],1630162,,,1610612760,76,73,2022-10-20T01:44:55Z,4630000,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
467,PT04M20.00S,2022-10-20T01:44:46.0Z,3,REGULAR,substitution,out,[],1630581,,,1610612760,76,73,2022-10-20T01:44:55Z,4640000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
468,PT04M20.00S,2022-10-20T01:44:46.0Z,3,REGULAR,substitution,in,[],1627752,,,1610612760,76,73,2022-10-20T01:44:55Z,4650000,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
469,PT04M20.00S,2022-10-20T01:44:46.0Z,3,REGULAR,substitution,in,[],1630544,,,1610612760,76,73,2022-10-20T01:44:55Z,4660000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
470,PT04M20.00S,2022-10-20T01:45:10.3Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],1630647,,,1610612760,76,74,2022-10-20T01:45:10Z,4670000,,,0,,E. Omoruyi Free Throw 2 of 2 (2 PTS),[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
471,PT04M10.00S,2022-10-20T01:45:24.9Z,3,REGULAR,foul,personal,['2freethrow'],1630197,,,1610612750,76,74,2022-10-20T01:45:33Z,4680000,,,0,,A. Pokusevski shooting personal FOUL (1 PF) (Anderson 2 FT),"[1630197, 203937]",1610612760.0,OKC,shooting,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Anderson,203937.0
473,PT04M10.00S,2022-10-20T01:45:55.9Z,3,REGULAR,freethrow,1 of 2,[],203937,,,1610612750,77,74,2022-10-20T01:45:55Z,4700000,,,0,,K. Anderson Free Throw 1 of 2 (1 PTS),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
474,PT04M10.00S,2022-10-20T01:45:56.5Z,3,REGULAR,substitution,out,[],1629652,,,1610612750,77,74,2022-10-20T01:46:03Z,4710000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
475,PT04M10.00S,2022-10-20T01:45:56.5Z,3,REGULAR,substitution,in,[],1629647,,,1610612750,77,74,2022-10-20T01:46:03Z,4720000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,,
476,PT04M10.00S,2022-10-20T01:46:19.6Z,3,REGULAR,freethrow,2 of 2,[],203937,,,1610612750,78,74,2022-10-20T01:46:19Z,4730000,,,0,,K. Anderson Free Throw 2 of 2 (2 PTS),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
477,PT04M01.00S,2022-10-20T01:46:33.1Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627752,,,1610612760,78,74,2022-10-20T01:46:49Z,4740000,,,0,,T. Prince shooting personal FOUL (2 PF) (Pokusevski 2 FT),"[1627752, 1630197]",1610612750.0,MIN,shooting,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203591.0,2.0,0.0,Pokusevski,1630197.0
479,PT04M01.00S,2022-10-20T01:46:54.7Z,3,REGULAR,freethrow,1 of 2,[],1630197,,,1610612760,78,75,2022-10-20T01:47:11Z,4760000,,,0,,A. Pokusevski Free Throw 1 of 2 (11 PTS),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
480,PT04M01.00S,2022-10-20T01:46:54.7Z,3,REGULAR,freethrow,2 of 2,[],1630197,,,1610612760,78,75,2022-10-20T01:47:11Z,4770000,,,0,,MISS A. Pokusevski Free Throw 2 of 2,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
