actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
169,PT09M48.00S,2023-03-08T01:04:26.2Z,2,REGULAR,2pt,Jump Shot,[],1629638,21.76412614980289,16.666666666666664,1610612750,32,29,2023-03-08T01:11:57Z,1680000,False,167.0,152.0,1,left,MISS N. Alexander-Walker 22' pullup Shot,[1629638],1610612750.0,MIN,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,16-24 Right Center,,,,,22.57,Missed,,,,,,,,,,,,,,
170,PT09M46.00S,2023-03-08T01:04:28.8Z,2,REGULAR,rebound,offensive,[],1629675,,,1610612750,32,29,2023-03-08T01:04:28Z,1690000,False,,,0,,N. Reid REBOUND (Off:1 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,169.0,2.0,1.0,1.0,,,,
171,PT09M41.00S,2023-03-08T01:04:33.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627752,6.915243101182654,47.549019607843135,1610612750,32,29,2023-03-08T01:14:28Z,1700000,False,12.0,13.0,1,left,MISS T. Prince driving reverse Layup,[1627752],1610612750.0,MIN,driving reverse,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,1.75,Missed,,,,,,,,,,,,,,
172,PT09M38.00S,2023-03-08T01:04:36.7Z,2,REGULAR,rebound,defensive,[],1629003,,,1610612755,32,29,2023-03-08T01:04:39Z,1710000,False,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,171.0,1.0,1.0,0.0,,,,
173,PT09M32.00S,2023-03-08T01:04:42.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,88.91261498028909,42.8921568627451,1610612755,32,31,2023-03-08T01:04:48Z,1720000,False,-36.0,52.0,1,right,S. Milton 6' driving floating bank Jump Shot (4 PTS),[1629003],1610612755.0,PHI,driving floating bank,,,Milton,S. Milton,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.27,Made,4.0,,,,,,,,,,,,,
174,PT09M19.00S,2023-03-08T01:05:00.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,5.913272010512484,50.02297794117647,1610612750,34,31,2023-03-08T01:16:22Z,1730000,False,0.0,3.0,1,left,N. Alexander-Walker driving floating Jump Shot (5 PTS),[1629638],1610612750.0,MIN,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,,,0.31,Made,5.0,,,,,,,,,,,,,
175,PT09M19.00S,2023-03-08T01:05:07.4Z,2,REGULAR,foul,personal,['1freethrow'],1627863,,,1610612750,34,31,2023-03-08T01:05:23Z,1740000,False,,,0,,D. House Jr. shooting personal FOUL (1 PF) (Alexander-Walker 1 FT),"[1627863, 1629638]",1610612755.0,PHI,shooting,,,House Jr.,D. House Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,2005.0,,,,,,,,,,,,,1.0,0.0,Alexander-Walker,1629638.0
177,PT09M19.00S,2023-03-08T01:05:20.4Z,2,REGULAR,substitution,out,[],1629667,,,1610612750,34,31,2023-03-08T01:05:27Z,1760000,False,,,0,,SUB out: J. McDaniels,[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT09M19.00S,2023-03-08T01:05:20.4Z,2,REGULAR,substitution,in,[],202699,,,1610612750,34,31,2023-03-08T01:05:27Z,1770000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT09M19.00S,2023-03-08T01:05:26.4Z,2,REGULAR,freethrow,1 of 1,[],1629638,,,1610612750,34,31,2023-03-08T01:05:26Z,1780000,False,,,0,,MISS N. Alexander-Walker Free Throw 1 of 1,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
180,PT09M17.00S,2023-03-08T01:05:27.3Z,2,REGULAR,rebound,defensive,[],1627863,,,1610612755,34,31,2023-03-08T01:05:27Z,1790000,False,,,0,,D. House Jr. REBOUND (Off:0 Def:1),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,179.0,1.0,1.0,0.0,,,,
181,PT09M05.00S,2023-03-08T01:05:39.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,89.30683311432325,42.64705882352941,1610612755,34,31,2023-03-08T01:17:28Z,1800000,False,-37.0,48.0,1,right,MISS T. Harris 6' turnaround fadeaway Shot,[202699],1610612755.0,PHI,turnaround fadeaway,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.05,Missed,,,,,,,,,,,,,,
182,PT09M05.00S,2023-03-08T01:05:39.8Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612750,34,31,2023-03-08T01:05:55Z,1810000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,181.0,1.0,1.0,0.0,,,,
183,PT08M46.00S,2023-03-08T01:05:57.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203937,7.966491458607096,49.50980392156863,1610612750,36,31,2023-03-08T01:06:04Z,1820000,False,2.0,22.0,1,left,K. Anderson reverse Layup (4 PTS) (N. Reid 1 AST),"[203937, 1629675]",1610612750.0,MIN,reverse,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,2.25,Made,4.0,N. Reid,1629675.0,1.0,,,,,,,,,,
185,PT08M46.00S,2023-03-08T01:06:01.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,36,31,2023-03-08T01:06:01Z,1840000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT08M46.00S,2023-03-08T01:08:53.4Z,2,REGULAR,substitution,out,[],1627863,,,1610612755,36,31,2023-03-08T01:09:15Z,1850000,False,,,0,,SUB out: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT08M46.00S,2023-03-08T01:08:53.4Z,2,REGULAR,substitution,in,[],1630178,,,1610612755,36,31,2023-03-08T01:09:15Z,1860000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M30.00S,2023-03-08T01:09:42.3Z,2,REGULAR,3pt,Jump Shot,[],1627777,95.22010512483574,95.58823529411765,1610612755,36,34,2023-03-08T01:09:47Z,1870000,False,228.0,-8.0,1,right,G. Niang 3PT  (5 PTS) (S. Milton 2 AST),"[1627777, 1629003]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Right Corner 3,24+ Right,,,,,22.8,Made,5.0,S. Milton,1629003.0,2.0,,,,,,,,,,
190,PT08M13.00S,2023-03-08T01:09:59.2Z,2,REGULAR,turnover,lost ball,[],203937,,,1610612750,36,34,2023-03-08T01:10:02Z,1890000,False,,,0,,K. Anderson lost ball TURNOVER (1 TO),"[203937, 202699]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Mid-Range,16-24 Right Center,1.0,Harris,202699.0,,,,,,,,,,,,,,,,,
191,PT08M13.00S,2023-03-08T01:09:59.2Z,2,REGULAR,steal,,[],202699,,,1610612755,36,34,2023-03-08T01:28:53Z,1900000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
192,PT08M04.00S,2023-03-08T01:10:08.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630194,93.9060446780552,45.34313725490196,1610612755,36,34,2023-03-08T01:10:13Z,1910000,False,-23.0,5.0,1,right,MISS P. Reed alley-oop Layup,[1630194],1610612755.0,PHI,alley-oop,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,2.38,Missed,,,,,,,,,,,,,,
193,PT08M00.00S,2023-03-08T01:10:12.1Z,2,REGULAR,rebound,offensive,[],1630194,,,1610612755,36,34,2023-03-08T01:10:13Z,1920000,False,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,192.0,1.0,0.0,1.0,,,,
194,PT08M00.00S,2023-03-08T01:10:12.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630194,94.40999984741211,50.0,1610612755,36,34,2023-03-08T01:10:12Z,1930000,False,0.0,0.0,1,right,MISS P. Reed putback Layup,[1630194],1610612755.0,PHI,putback,,,Reed,P. Reed,,,,,Mid-Range,8-16 Left,,,,,0.0,Missed,,,,,,,,,,,,,,
195,PT07M59.00S,2023-03-08T01:10:13.8Z,2,REGULAR,rebound,offensive,[],202699,,,1610612755,36,34,2023-03-08T01:10:13Z,1940000,False,,,0,,T. Harris REBOUND (Off:1 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,194.0,4.0,3.0,1.0,,,,
196,PT07M58.00S,2023-03-08T01:10:15.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",202699,89.43823915900131,54.90196078431373,1610612755,36,34,2023-03-08T01:23:54Z,1950000,False,25.0,47.0,1,right,MISS T. Harris driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.28,Missed,,,,,,,,,,,,,,
197,PT07M56.00S,2023-03-08T01:10:17.4Z,2,REGULAR,rebound,offensive,[],202699,,,1610612755,36,34,2023-03-08T01:23:54Z,1960000,False,,,0,,T. Harris REBOUND (Off:2 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,196.0,5.0,3.0,2.0,,,,
198,PT07M54.00S,2023-03-08T01:10:18.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202699,94.30026281208936,51.9607843137255,1610612755,36,36,2023-03-08T01:10:24Z,1970000,False,10.0,1.0,1,right,T. Harris putback Layup (2 PTS),[202699],1610612755.0,PHI,putback,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,0.99,Made,2.0,,,,,,,,,,,,,
199,PT07M37.00S,2023-03-08T01:10:35.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629675,16.376478318002626,54.65686274509803,1610612750,38,36,2023-03-08T01:25:10Z,1980000,False,-23.0,101.0,1,left,N. Reid 10' driving Hook (5 PTS),[1629675],1610612750.0,MIN,driving,,,Reid,N. Reid,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.4,Made,5.0,,,,,,,,,,,,,
200,PT07M30.00S,2023-03-08T01:10:42.4Z,2,REGULAR,turnover,bad pass,[],1630178,,,1610612755,38,36,2023-03-08T01:10:45Z,1990000,False,,,0,,T. Maxey bad pass TURNOVER (2 TO),"[1630178, 1627752]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,2.0,Prince,1627752.0,,,,,,,,,,,,,,,,,
201,PT07M30.00S,2023-03-08T01:10:42.4Z,2,REGULAR,steal,,[],1627752,,,1610612750,38,36,2023-03-08T01:10:43Z,2000000,False,,,0,,T. Prince STEAL (1 STL),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
202,PT07M25.00S,2023-03-08T01:10:48.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629638,6.389618922470433,94.11764705882352,1610612750,38,36,2023-03-08T01:29:00Z,2010000,False,-221.0,8.0,1,left,MISS N. Alexander-Walker running 3PT,[1629638],1610612750.0,MIN,running,,,Alexander-Walker,N. Alexander-Walker,,,,,Left Corner 3,24+ Left,,,,,22.07,Missed,,,,,,,,,,,,,,
203,PT07M22.00S,2023-03-08T01:10:51.0Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612755,38,36,2023-03-08T01:10:54Z,2020000,False,,,0,,G. Niang REBOUND (Off:0 Def:3),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,202.0,3.0,3.0,0.0,,,,
204,PT07M11.00S,2023-03-08T01:11:01.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,93.38042049934296,50.245098039215684,1610612755,38,38,2023-03-08T01:11:06Z,2030000,False,1.0,10.0,1,right,P. Reed reverse Layup (2 PTS) (G. Niang 1 AST),"[1630194, 1627777]",1610612755.0,PHI,reverse,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,0.98,Made,2.0,G. Niang,1627777.0,1.0,,,,,,,,,,
206,PT06M54.00S,2023-03-08T01:11:18.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627752,16.245072273324574,46.81372549019608,1610612750,40,38,2023-03-08T01:11:23Z,2050000,False,16.0,100.0,1,left,T. Prince 10' pullup Jump Shot (2 PTS) (N. Reid 2 AST),"[1627752, 1629675]",1610612750.0,MIN,pullup,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.15,Made,2.0,N. Reid,1629675.0,2.0,,,,,,,,,,
207,PT06M36.00S,2023-03-08T01:11:38.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,94.30026281208936,51.470588235294116,1610612755,40,40,2023-03-08T01:11:42Z,2060000,False,7.0,1.0,1,right,T. Maxey driving Layup (9 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,0.75,Made,9.0,,,,,,,,,,,,,
208,PT06M36.00S,2023-03-08T01:11:41.1Z,2,REGULAR,foul,personal,['1freethrow'],1629675,,,1610612755,40,40,2023-03-08T01:11:46Z,2070000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Maxey 1 FT),"[1629675, 1630178]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,2005.0,,,,,,,,,,,,,1.0,0.0,Maxey,1630178.0
210,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,out,[],1629162,,,1610612755,40,40,2023-03-08T01:12:22Z,2090000,False,,,0,,SUB out: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,out,[],1629638,,,1610612755,40,40,2023-03-08T01:12:22Z,2100000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,out,[],1629675,,,1610612755,40,40,2023-03-08T01:12:22Z,2110000,False,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,out,[],1629003,,,1610612755,40,40,2023-03-08T01:12:22Z,2120000,False,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,in,[],201144,,,1610612755,40,40,2023-03-08T01:12:22Z,2130000,False,,,0,,SUB in: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,in,[],203497,,,1610612755,40,40,2023-03-08T01:12:22Z,2140000,False,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,in,[],1630162,,,1610612755,40,40,2023-03-08T01:12:22Z,2150000,False,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,in,[],1629001,,,1610612755,40,40,2023-03-08T01:12:22Z,2160000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,out,[],1630194,,,1610612755,40,40,2023-03-08T01:15:30Z,2165000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,in,[],203954,,,1610612755,40,40,2023-03-08T01:15:30Z,2167500,False,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,out,[],1627752,,,1610612755,40,40,2023-03-08T01:22:05Z,2168750,False,,,0,,SUB out: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT06M36.00S,2023-03-08T01:11:47.4Z,2,REGULAR,substitution,in,[],1630183,,,1610612755,40,40,2023-03-08T01:22:05Z,2169375,False,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M36.00S,2023-03-08T01:12:25.6Z,2,REGULAR,freethrow,1 of 1,[],1630178,,,1610612755,40,41,2023-03-08T01:12:25Z,2190000,False,,,0,,T. Maxey Free Throw 1 of 1 (10 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,
221,PT06M15.00S,2023-03-08T01:12:48.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,18.74178712220762,57.107843137254896,1610612750,40,41,2023-03-08T01:12:53Z,2200000,False,-36.0,124.0,1,left,MISS J. McDaniels 12' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.87,Missed,,,,,,,,,,,,,,
222,PT06M14.00S,2023-03-08T01:12:49.5Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,40,41,2023-03-08T01:12:53Z,2210000,False,,,0,,T. Harris REBOUND (Off:2 Def:4),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,221.0,6.0,4.0,2.0,,,,
223,PT05M59.00S,2023-03-08T01:13:05.1Z,2,REGULAR,3pt,Jump Shot,[],1627777,96.13994743758212,96.32352941176471,1610612755,40,41,2023-03-08T01:13:10Z,2220000,False,232.0,-16.0,1,right,MISS G. Niang step back 3PT,[1627777],1610612755.0,PHI,step back,,,Niang,G. Niang,,,,,Right Corner 3,24+ Right,,,,,23.22,Missed,,,,,,,,,,,,,,
224,PT05M56.00S,2023-03-08T01:13:08.1Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,40,41,2023-03-08T01:13:10Z,2230000,False,,,0,,R. Gobert REBOUND (Off:0 Def:6),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,223.0,6.0,6.0,0.0,,,,
225,PT05M45.00S,2023-03-08T01:13:19.1Z,2,REGULAR,3pt,Jump Shot,[],1630162,27.151773981603156,79.65686274509804,1610612750,40,41,2023-03-08T01:13:25Z,2240000,False,-148.0,203.0,1,left,MISS A. Edwards 25' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,25.12,Missed,,,,,,,,,,,,,,
226,PT05M41.00S,2023-03-08T01:13:23.1Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,40,41,2023-03-08T01:13:25Z,2250000,False,,,0,,T. Maxey REBOUND (Off:0 Def:2),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,225.0,2.0,2.0,0.0,,,,
227,PT05M38.00S,2023-03-08T01:13:29.1Z,2,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612755,40,41,2023-03-08T01:13:36Z,2260000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Maxey 2 FT),"[1630162, 1630178]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,,,,2005.0,,,,,,,,,,,,,1.0,0.0,Maxey,1630178.0
229,PT05M38.00S,2023-03-08T01:14:01.3Z,2,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,40,42,2023-03-08T01:14:01Z,2280000,False,,,0,,T. Maxey Free Throw 1 of 2 (11 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,Made,11.0,,,,,,,,,,,,,
230,PT05M38.00S,2023-03-08T01:14:02.1Z,2,REGULAR,substitution,out,[],1627777,,,1610612755,40,42,2023-03-08T01:14:04Z,2290000,False,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT05M38.00S,2023-03-08T01:14:02.1Z,2,REGULAR,substitution,in,[],200782,,,1610612755,40,42,2023-03-08T01:14:04Z,2300000,False,,,0,,SUB in: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT05M38.00S,2023-03-08T01:14:23.5Z,2,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,40,43,2023-03-08T01:14:23Z,2310000,False,,,0,,T. Maxey Free Throw 2 of 2 (12 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,Made,12.0,,,,,,,,,,,,,
233,PT05M23.00S,2023-03-08T01:14:40.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,9.411957950065702,52.69607843137255,1610612750,40,43,2023-03-08T01:37:37Z,2320000,False,-13.0,36.0,1,left,MISS M. Conley driving floating Shot,[201144],1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,3.84,Missed,,,,,,,,,,,,,,
234,PT05M21.00S,2023-03-08T01:14:42.5Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,40,43,2023-03-08T01:14:45Z,2330000,False,,,0,,T. Maxey REBOUND (Off:0 Def:3),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,233.0,3.0,3.0,0.0,,,,
235,PT05M02.00S,2023-03-08T01:15:00.8Z,2,REGULAR,turnover,bad pass,[],203954,,,1610612755,40,43,2023-03-08T01:38:19Z,2340000,False,,,0,,J. Embiid bad pass TURNOVER (2 TO),"[203954, 203497]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,2.0,Gobert,203497.0,,,,,,,,,,,,,,,,,
236,PT05M02.00S,2023-03-08T01:15:00.8Z,2,REGULAR,steal,,[],203497,,,1610612750,40,43,2023-03-08T01:15:05Z,2350000,False,,,0,,R. Gobert STEAL (2 STL),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
237,PT04M56.00S,2023-03-08T01:15:06.3Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630162,9.280551905387648,52.20588235294118,1610612750,40,43,2023-03-08T01:39:32Z,2360000,False,-11.0,35.0,1,left,MISS A. Edwards running Layup,[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,3.64,Missed,,,,,,,,,,,,,,
238,PT04M56.00S,2023-03-08T01:15:06.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612750,40,43,2023-03-08T01:15:21Z,2370000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,237.0,,,,,,,
241,PT04M48.00S,2023-03-08T01:15:36.1Z,2,REGULAR,turnover,bad pass,[],201144,,,1610612750,40,43,2023-03-08T01:15:41Z,2380000,False,,,0,,M. Conley bad pass TURNOVER (2 TO),"[201144, 202699]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,8-16 Right,2.0,Harris,202699.0,,,,,,,,,,,,,,,,,
242,PT04M48.00S,2023-03-08T01:15:36.1Z,2,REGULAR,steal,,[],202699,,,1610612755,40,43,2023-03-08T01:15:37Z,2390000,False,,,0,,T. Harris STEAL (2 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
243,PT04M44.00S,2023-03-08T01:15:40.2Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629001,93.11760840998686,59.31372549019608,1610612755,40,43,2023-03-08T01:41:18Z,2400000,False,47.0,12.0,1,right,MISS D. Melton running Layup,[1629001],1610612755.0,PHI,running,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,4.82,Missed,,,,,,,,,,,,,,
244,PT04M42.00S,2023-03-08T01:15:42.2Z,2,REGULAR,rebound,defensive,[],1630183,,,1610612750,40,43,2023-03-08T01:15:48Z,2410000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,243.0,1.0,1.0,0.0,,,,
245,PT04M32.00S,2023-03-08T01:15:51.9Z,2,REGULAR,3pt,Jump Shot,[],1630162,13.61695137976347,96.32352941176471,1610612750,43,43,2023-03-08T01:20:18Z,2420000,False,-232.0,75.0,1,left,A. Edwards 24' 3PT step back (18 PTS),[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Left Corner 3,24+ Left,,,,,24.36,Made,18.0,,,,,,,,,,,,,
