actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
628,PT01M47.00S,2023-01-03T03:15:25.9Z,4,REGULAR,3pt,Jump Shot,[],1630162,74.45795006570303,82.35294117647058,1610612750,115,107,2023-01-03T03:16:16Z,6240000,False,162.0,188.0,1,right,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,24.77,Missed,,,,,,,,,,,,,,,,,,
629,PT01M45.00S,2023-01-03T03:15:27.9Z,4,REGULAR,rebound,offensive,[],1630183,,,1610612750,115,107,2023-01-03T03:15:33Z,6250000,False,,,0,,J. McDaniels REBOUND (Off:2 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,628.0,4.0,2.0,2.0,,,,,,,,,,,,,,
630,PT01M44.00S,2023-01-03T03:15:30.1Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],203085,94.69448094612353,95.58823529411765,1610612750,118,107,2023-01-03T03:15:37Z,6260000,False,228.0,-3.0,1,right,A. Rivers 3PT  (8 PTS) (J. McDaniels 4 AST),"[203085, 1630183]",1610612750.0,MIN,,,,Rivers,A. Rivers,,,,,Right Corner 3,24+ Right,22.79,Made,,,,,,,,,,,,,8.0,J. McDaniels,1630183.0,4.0,,
632,PT01M43.00S,2023-01-03T03:15:36.7Z,4,REGULAR,timeout,full,['team'],0,,,1610612743,118,107,2023-01-03T03:15:36Z,6280000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,PT01M39.00S,2023-01-03T03:17:21.0Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,17.296320630749015,41.66666666666667,1610612743,118,109,2023-01-03T03:17:28Z,6290000,False,42.0,110.0,1,left,J. Murray 11' driving floating Jump Shot (14 PTS) (N. Jokic 9 AST),"[1627750, 203999]",1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,11.77,Made,,,,,,,,,,,,,14.0,N. Jokic,203999.0,9.0,,
635,PT01M19.00S,2023-01-03T03:17:43.9Z,4,REGULAR,3pt,Jump Shot,[],1630183,90.88370565045992,6.127450980392156,1610612750,121,109,2023-01-03T03:17:48Z,6310000,False,-219.0,33.0,1,right,J. McDaniels 3PT  (21 PTS) (K. Anderson 8 AST),"[1630183, 203937]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,22.19,Made,,,,,,,,,,,,,21.0,K. Anderson,203937.0,8.0,,
637,PT01M04.00S,2023-01-03T03:18:04.1Z,4,REGULAR,foul,personal,[],203497,,,1610612743,121,109,2023-01-03T03:18:14Z,6330000,False,,,0,,R. Gobert personal FOUL (5 PF),"[203497, 203999]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1162.0,5.0,0.0,Jokic,203999.0,,,,,,
639,PT01M03.00S,2023-01-03T03:18:41.9Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630162,,,1610612743,121,109,2023-01-03T03:18:49Z,6350000,False,,,0,,A. Edwards personal FOUL (5 PF) (Caldwell-Pope 2 FT),"[1630162, 203484]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,,1162.0,5.0,0.0,Caldwell-Pope,203484.0,,,,,,
641,PT01M03.00S,2023-01-03T03:19:09.6Z,4,REGULAR,freethrow,1 of 2,[],203484,,,1610612743,121,110,2023-01-03T03:19:09Z,6370000,False,,,0,,K. Caldwell-Pope Free Throw 1 of 2 (9 PTS),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,,,,,,,,,,,,,9.0,,,,,
642,PT01M03.00S,2023-01-03T03:19:16.8Z,4,REGULAR,substitution,out,[],1629008,,,1610612743,121,110,2023-01-03T03:19:30Z,6380000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
