actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
169,PT00M07.80S,2022-11-26T01:37:24.4Z,1,REGULAR,3pt,Jump Shot,[],1629630,69.33311432325887,27.696078431372552,1610612763,44,25,2022-11-26T01:37:28Z,1660000,False,-112.0,236.0,1,right,J. Morant 26' 3PT pullup (11 PTS),[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,,Above the Break 3,24+ Left Center,26.08,Made,,,,,11.0,,,,,,,,,,,,
170,PT00M00.00S,2022-11-26T01:37:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,6.389618922470433,52.450980392156865,1610612740,44,25,2022-11-26T01:37:41Z,1670000,False,-12.0,8.0,1,left,MISS H. Jones Layup,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,
171,PT00M00.00S,2022-11-26T01:37:40.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,44,25,2022-11-26T01:37:40Z,1680000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,Restricted Area,0-8 Center,,,170.0,,,,,,,,,,,,,,,,
172,PT00M00.00S,2022-11-26T01:37:44.9Z,1,REGULAR,period,end,[],0,,,1610612740,44,25,2022-11-26T01:37:44Z,1690000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-11-26T01:39:34.2Z,2,REGULAR,substitution,out,['startperiod'],1629630,,,1610612740,44,25,2022-11-26T01:40:23Z,1700000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-11-26T01:39:34.2Z,2,REGULAR,substitution,out,['startperiod'],1627742,,,1610612740,44,25,2022-11-26T01:40:23Z,1710000,False,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2022-11-26T01:39:34.2Z,2,REGULAR,substitution,out,['startperiod'],1630529,,,1610612740,44,25,2022-11-26T01:40:23Z,1720000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2022-11-26T01:39:34.2Z,2,REGULAR,substitution,in,['startperiod'],1628415,,,1610612740,44,25,2022-11-26T01:40:23Z,1730000,False,,,0,,SUB in: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2022-11-26T01:39:34.2Z,2,REGULAR,substitution,in,['startperiod'],1629627,,,1610612740,44,25,2022-11-26T01:40:23Z,1740000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2022-11-26T01:39:34.2Z,2,REGULAR,substitution,in,['startperiod'],1628984,,,1610612740,44,25,2022-11-26T01:40:23Z,1750000,False,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2022-11-26T01:40:24.9Z,2,REGULAR,period,start,[],0,,,1610612740,44,25,2022-11-26T01:40:24Z,1760000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT11M46.00S,2022-11-26T01:40:37.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,7.046649145860711,57.107843137254896,1610612740,44,27,2022-11-26T01:40:44Z,1770000,False,-36.0,14.0,1,left,Z. Williamson turnaround Jump Shot (4 PTS),[1629627],1610612740.0,NOP,turnaround,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,3.81,Made,,,,,4.0,,,,,,,,,,,,
181,PT11M23.00S,2022-11-26T01:41:00.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,89.96386333771353,44.36274509803921,1610612763,46,27,2022-11-26T01:41:04Z,1780000,False,-28.0,42.0,1,right,D. Brooks driving floating Jump Shot (13 PTS),[1628415],1610612763.0,MEM,driving floating,,,Brooks,D. Brooks,,,,,,In The Paint (Non-RA),0-8 Center,5.04,Made,,,,,13.0,,,,,,,,,,,,
182,PT11M10.00S,2022-11-26T01:41:17.2Z,2,REGULAR,foul,personal,['2freethrow'],1629634,,,1610612740,46,27,2022-11-26T01:41:27Z,1790000,False,,,0,,B. Clarke shooting personal FOUL (1 PF) (Williamson 2 FT),"[1629634, 1629627]",1610612763.0,MEM,shooting,,,Clarke,B. Clarke,,,,,1198.0,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,0.0,Williamson,1629627.0,,,,
184,PT11M10.00S,2022-11-26T01:41:51.1Z,2,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,46,28,2022-11-26T01:41:51Z,1810000,False,,,0,,Z. Williamson Free Throw 1 of 2 (5 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
185,PT11M10.00S,2022-11-26T01:42:02.2Z,2,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,46,29,2022-11-26T01:42:02Z,1820000,False,,,0,,Z. Williamson Free Throw 2 of 2 (6 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,
186,PT10M55.00S,2022-11-26T01:42:19.2Z,2,REGULAR,3pt,Jump Shot,[],1628415,66.83639947437582,43.38235294117647,1610612763,49,29,2022-11-26T01:42:23Z,1830000,False,-33.0,259.0,1,right,D. Brooks 26' 3PT  (16 PTS) (T. Jones 3 AST),"[1628415, 1626145]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Above the Break 3,24+ Center,26.13,Made,,,,,16.0,T. Jones,1626145.0,3.0,,,,,,,,,
188,PT10M40.00S,2022-11-26T01:42:34.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,5.469776609724048,51.9607843137255,1610612740,49,31,2022-11-26T01:42:38Z,1850000,False,-10.0,-1.0,1,left,Z. Williamson driving finger roll Layup (8 PTS),[1629627],1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,0.99,Made,,,,,8.0,,,,,,,,,,,,
189,PT10M32.00S,2022-11-26T01:42:41.2Z,2,REGULAR,3pt,Jump Shot,[],1628415,69.07030223390277,25.0,1610612763,49,31,2022-11-26T01:42:46Z,1860000,False,-125.0,238.0,1,right,MISS D. Brooks 26' pullup 3PT,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,,Above the Break 3,24+ Left Center,26.9,Missed,,,,,,,,,,,,,,,,,
190,PT10M28.00S,2022-11-26T01:42:45.2Z,2,REGULAR,rebound,defensive,[],1628984,,,1610612740,49,31,2022-11-26T01:42:46Z,1870000,False,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,Above the Break 3,24+ Left Center,,,189.0,1.0,1.0,0.0,,,,,,,,,,,,,
191,PT10M24.00S,2022-11-26T01:42:49.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630530,5.206964520367937,47.549019607843135,1610612740,49,31,2022-11-26T01:42:53Z,1880000,False,12.0,-4.0,1,left,MISS T. Murphy III driving finger roll Layup,[1630530],1610612740.0,NOP,driving finger roll,,,Murphy III,T. Murphy III,,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,
192,PT10M21.00S,2022-11-26T01:42:52.9Z,2,REGULAR,rebound,defensive,[],1629634,,,1610612763,49,31,2022-11-26T01:42:53Z,1890000,False,,,0,,B. Clarke REBOUND (Off:0 Def:2),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,Restricted Area,0-8 Center,,,191.0,2.0,2.0,0.0,,,,,,,,,,,,,
193,PT10M15.00S,2022-11-26T01:42:58.9Z,2,REGULAR,3pt,Jump Shot,[],1631222,77.08607095926413,87.99019607843137,1610612763,49,31,2022-11-26T01:43:03Z,1900000,False,190.0,163.0,1,right,MISS J. LaRavia 25' 3PT,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,Above the Break 3,24+ Right Center,25.03,Missed,,,,,,,,,,,,,,,,,
194,PT10M12.00S,2022-11-26T01:43:01.9Z,2,REGULAR,rebound,defensive,[],1628984,,,1610612740,49,31,2022-11-26T01:43:03Z,1910000,False,,,0,,D. Graham REBOUND (Off:0 Def:2),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,Above the Break 3,24+ Right Center,,,193.0,2.0,2.0,0.0,,,,,,,,,,,,,
195,PT10M07.00S,2022-11-26T01:43:07.2Z,2,REGULAR,turnover,bad pass,[],1628984,,,1610612740,49,31,2022-11-26T01:43:09Z,1920000,False,,,0,,D. Graham bad pass TURNOVER (1 TO),"[1628984, 1628991]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,,,,,Jackson Jr.,1628991.0
196,PT10M07.00S,2022-11-26T01:43:07.2Z,2,REGULAR,steal,,[],1628991,,,1610612763,49,31,2022-11-26T01:43:08Z,1930000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
197,PT10M02.00S,2022-11-26T01:43:12.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626145,93.11760840998686,2.696078431372549,1610612763,52,31,2022-11-26T01:43:16Z,1940000,False,-237.0,12.0,1,right,T. Jones 3PT running (6 PTS) (B. Clarke 1 AST),"[1626145, 1629634]",1610612763.0,MEM,running,,,Jones,T. Jones,,,,,,Left Corner 3,24+ Left,23.68,Made,,,,,6.0,B. Clarke,1629634.0,1.0,,,,,,,,,
199,PT09M44.00S,2022-11-26T01:43:34.3Z,2,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612740,52,31,2022-11-26T01:43:41Z,1960000,False,,,0,,J. Jackson Jr. shooting personal FOUL (3 PF) (Murphy III 2 FT),"[1628991, 1630530]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,101284.0,Restricted Area,0-8 Center,,,,,,,,,,,,3.0,1.0,Murphy III,1630530.0,,,,
201,PT09M44.00S,2022-11-26T01:44:02.1Z,2,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,52,31,2022-11-26T01:44:02Z,1980000,False,,,0,,MISS T. Murphy III Free Throw 1 of 2,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
202,PT09M44.00S,2022-11-26T01:44:02.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,52,31,2022-11-26T01:44:02Z,1990000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,201.0,,,,,,,,,,,,,,,,
203,PT09M44.00S,2022-11-26T01:44:03.4Z,2,REGULAR,substitution,out,[],1628991,,,1610612740,52,31,2022-11-26T01:44:06Z,2000000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT09M44.00S,2022-11-26T01:44:03.4Z,2,REGULAR,substitution,in,[],203500,,,1610612740,52,31,2022-11-26T01:44:06Z,2010000,False,,,0,,SUB in: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT09M44.00S,2022-11-26T01:44:03.4Z,2,REGULAR,substitution,out,[],1626204,,,1610612740,52,31,2022-11-26T01:44:21Z,2020000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT09M44.00S,2022-11-26T01:44:03.4Z,2,REGULAR,substitution,in,[],202685,,,1610612740,52,31,2022-11-26T01:44:21Z,2030000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT09M44.00S,2022-11-26T01:44:35.2Z,2,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,52,32,2022-11-26T01:44:35Z,2040000,False,,,0,,T. Murphy III Free Throw 2 of 2 (11 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,
208,PT09M24.00S,2022-11-26T01:44:57.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203500,87.46714848883047,40.931372549019606,1610612763,54,32,2022-11-26T01:45:01Z,2050000,False,-45.0,65.0,1,right,S. Adams 7' Hook (10 PTS) (D. Brooks 3 AST),"[203500, 1628415]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),0-8 Center,7.95,Made,,,,,10.0,D. Brooks,1628415.0,3.0,,,,,,,,,
210,PT09M05.00S,2022-11-26T01:45:15.8Z,2,REGULAR,2pt,Jump Shot,[],202685,12.828515111695138,23.03921568627451,1610612740,54,32,2022-11-26T01:45:19Z,2070000,False,135.0,68.0,1,left,MISS J. Valanciunas 15' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Mid-Range,8-16 Right,15.1,Missed,,,,,,,,,,,,,,,,,
211,PT09M03.00S,2022-11-26T01:45:17.8Z,2,REGULAR,rebound,defensive,[],1629634,,,1610612763,54,32,2022-11-26T01:45:19Z,2080000,False,,,0,,B. Clarke REBOUND (Off:0 Def:3),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,Mid-Range,8-16 Right,,,210.0,3.0,3.0,0.0,,,,,,,,,,,,,
212,PT08M58.00S,2022-11-26T01:45:23.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1626145,71.69842312746385,22.54901960784314,1610612763,57,32,2022-11-26T01:48:49Z,2090000,False,-137.0,214.0,1,right,T. Jones 25' 3PT running pullup (9 PTS),[1626145],1610612763.0,MEM,running pullup,,,Jones,T. Jones,,,,,,Above the Break 3,24+ Left Center,25.38,Made,,,,,9.0,,,,,,,,,,,,
213,PT08M58.00S,2022-11-26T01:45:30.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,57,32,2022-11-26T01:45:31Z,2100000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M58.00S,2022-11-26T01:47:48.1Z,2,REGULAR,substitution,out,[],1630230,,,1610612740,57,32,2022-11-26T01:48:09Z,2110000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M58.00S,2022-11-26T01:47:48.1Z,2,REGULAR,substitution,out,[],1630530,,,1610612740,57,32,2022-11-26T01:48:09Z,2120000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT08M58.00S,2022-11-26T01:47:48.1Z,2,REGULAR,substitution,in,[],1630700,,,1610612740,57,32,2022-11-26T01:48:09Z,2130000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT08M58.00S,2022-11-26T01:47:48.1Z,2,REGULAR,substitution,in,[],1630529,,,1610612740,57,32,2022-11-26T01:48:09Z,2140000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M38.00S,2022-11-26T01:49:20.2Z,2,REGULAR,2pt,Jump Shot,[],202685,22.158344283837057,34.31372549019608,1610612740,57,34,2022-11-26T01:49:23Z,2160000,False,78.0,156.0,1,left,J. Valanciunas 17' Jump Shot (2 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Mid-Range,16-24 Right Center,17.44,Made,,,,,2.0,H. Jones,1630529.0,1.0,,,,,,,,,
221,PT08M14.00S,2022-11-26T01:49:44.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203500,93.51182654402102,46.81372549019608,1610612763,59,34,2022-11-26T01:49:53Z,2180000,False,-16.0,8.0,1,right,S. Adams turnaround bank Hook (12 PTS),[203500],1610612763.0,MEM,turnaround bank,,,Adams,S. Adams,,,,,,Restricted Area,0-8 Center,1.8,Made,,,,,12.0,,,,,,,,,,,,
222,PT08M00.00S,2022-11-26T01:50:01.0Z,2,REGULAR,foul,personal,['2freethrow'],1631222,,,1610612740,59,34,2022-11-26T01:50:08Z,2190000,False,,,0,,J. LaRavia shooting personal FOUL (1 PF) (Jones 2 FT),"[1631222, 1630529]",1610612763.0,MEM,shooting,,,LaRavia,J. LaRavia,,,,,101284.0,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,0.0,Jones,1630529.0,,,,
224,PT08M00.00S,2022-11-26T01:50:26.5Z,2,REGULAR,freethrow,1 of 2,[],1630529,,,1610612740,59,34,2022-11-26T01:50:26Z,2210000,False,,,0,,MISS H. Jones Free Throw 1 of 2,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
225,PT08M00.00S,2022-11-26T01:50:26.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,59,34,2022-11-26T01:50:26Z,2220000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,
226,PT08M00.00S,2022-11-26T01:50:42.2Z,2,REGULAR,freethrow,2 of 2,[],1630529,,,1610612740,59,35,2022-11-26T01:50:42Z,2230000,False,,,0,,H. Jones Free Throw 2 of 2 (6 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,
227,PT07M44.00S,2022-11-26T01:51:01.2Z,2,REGULAR,3pt,Jump Shot,[],1626145,77.61169513797634,8.57843137254902,1610612763,59,35,2022-11-26T01:51:05Z,2240000,False,-207.0,158.0,1,right,MISS T. Jones 26' 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,Above the Break 3,24+ Left Center,26.05,Missed,,,,,,,,,,,,,,,,,
228,PT07M41.00S,2022-11-26T01:51:04.2Z,2,REGULAR,rebound,defensive,[],1630529,,,1610612740,59,35,2022-11-26T01:51:05Z,2250000,False,,,0,,H. Jones REBOUND (Off:0 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Above the Break 3,24+ Left Center,,,227.0,2.0,2.0,0.0,,,,,,,,,,,,,
229,PT07M26.00S,2022-11-26T01:51:19.4Z,2,REGULAR,3pt,Jump Shot,[],1628984,33.196452036793694,48.28431372549019,1610612740,59,35,2022-11-26T01:51:23Z,2260000,False,9.0,260.0,1,left,MISS D. Graham 25' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,Above the Break 3,24+ Center,25.96,Missed,,,,,,,,,,,,,,,,,
230,PT07M24.00S,2022-11-26T01:51:21.4Z,2,REGULAR,rebound,offensive,[],1630529,,,1610612740,59,35,2022-11-26T01:51:23Z,2270000,False,,,0,,H. Jones REBOUND (Off:1 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Above the Break 3,24+ Center,,,229.0,3.0,2.0,1.0,,,,,,,,,,,,,
231,PT07M11.00S,2022-11-26T01:51:35.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628984,30.831143232588698,29.166666666666668,1610612740,59,35,2022-11-26T01:51:38Z,2280000,False,104.0,237.0,1,left,MISS D. Graham 25' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,Above the Break 3,24+ Right Center,25.92,Missed,,,,,,,,,,,,,,,,,
232,PT07M09.00S,2022-11-26T01:51:37.0Z,2,REGULAR,rebound,defensive,[],1631222,,,1610612763,59,35,2022-11-26T01:51:38Z,2290000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,Above the Break 3,24+ Right Center,,,231.0,1.0,1.0,0.0,,,,,,,,,,,,,
233,PT06M54.00S,2022-11-26T01:51:51.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629634,84.44480946123521,40.68627450980392,1610612763,59,35,2022-11-26T01:51:55Z,2300000,False,-47.0,94.0,1,right,MISS B. Clarke 10' turnaround Shot - blocked,"[1629634, 1628984]",1610612763.0,MEM,turnaround,,,Clarke,B. Clarke,,,,,,In The Paint (Non-RA),8-16 Center,10.46,Missed,,,,,,,,,,,,,,Graham,1628984.0,,
234,PT06M54.00S,2022-11-26T01:51:51.8Z,2,REGULAR,block,,[],1628984,,,1610612763,59,35,2022-11-26T01:51:54Z,2310000,False,,,0,,D. Graham BLOCK (1 BLK),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
235,PT06M51.00S,2022-11-26T01:51:54.8Z,2,REGULAR,rebound,defensive,[],1630529,,,1610612740,59,35,2022-11-26T01:51:55Z,2320000,False,,,0,,H. Jones REBOUND (Off:1 Def:3),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,In The Paint (Non-RA),8-16 Center,,,233.0,4.0,3.0,1.0,,,,,,,,,,,,,
236,PT06M49.00S,2022-11-26T01:51:56.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630529,6.521024967148489,48.77450980392157,1610612740,59,35,2022-11-26T01:52:01Z,2330000,False,6.0,9.0,1,left,MISS H. Jones running DUNK,[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,,Restricted Area,0-8 Center,1.07,Missed,,,,,,,,,,,,,,,,,
237,PT06M49.00S,2022-11-26T01:51:56.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,59,35,2022-11-26T01:52:01Z,2340000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,Restricted Area,0-8 Center,,,236.0,,,,,,,,,,,,,,,,
239,PT06M49.00S,2022-11-26T01:52:01.6Z,2,REGULAR,substitution,out,[],1629634,,,1610612763,59,35,2022-11-26T01:52:24Z,2360000,False,,,0,,SUB out: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M49.00S,2022-11-26T01:52:01.6Z,2,REGULAR,substitution,out,[],1628415,,,1610612763,59,35,2022-11-26T01:52:24Z,2370000,False,,,0,,SUB out: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M49.00S,2022-11-26T01:52:01.6Z,2,REGULAR,substitution,out,[],1629627,,,1610612763,59,35,2022-11-26T01:52:24Z,2380000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M49.00S,2022-11-26T01:52:01.6Z,2,REGULAR,substitution,in,[],1629723,,,1610612763,59,35,2022-11-26T01:52:24Z,2390000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M49.00S,2022-11-26T01:52:01.6Z,2,REGULAR,substitution,in,[],1631223,,,1610612763,59,35,2022-11-26T01:52:24Z,2400000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M49.00S,2022-11-26T01:52:01.6Z,2,REGULAR,substitution,in,[],1627742,,,1610612763,59,35,2022-11-26T01:52:24Z,2410000,False,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M32.00S,2022-11-26T01:52:37.0Z,2,REGULAR,3pt,Jump Shot,[],1626145,71.56701708278581,20.34313725490196,1610612763,59,35,2022-11-26T01:52:41Z,2420000,False,-148.0,215.0,1,right,MISS T. Jones 26' 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,
246,PT06M28.00S,2022-11-26T01:52:41.0Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612740,59,35,2022-11-26T01:52:41Z,2430000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Above the Break 3,24+ Left Center,,,245.0,2.0,2.0,0.0,,,,,,,,,,,,,
247,PT06M18.00S,2022-11-26T01:52:50.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,6.652431011826544,48.529411764705884,1610612740,59,35,2022-11-26T01:52:53Z,2440000,False,7.0,10.0,1,left,MISS B. Ingram driving finger roll Layup,[1627742],1610612740.0,NOP,driving finger roll,,,Ingram,B. Ingram,,,,,,Restricted Area,0-8 Center,1.24,Missed,,,,,,,,,,,,,,,,,
248,PT06M16.00S,2022-11-26T01:52:52.8Z,2,REGULAR,rebound,defensive,[],1631223,,,1610612763,59,35,2022-11-26T01:52:53Z,2450000,False,,,0,,D. Roddy REBOUND (Off:0 Def:2),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,Restricted Area,0-8 Center,,,247.0,2.0,2.0,0.0,,,,,,,,,,,,,
249,PT06M07.00S,2022-11-26T01:53:01.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631222,93.24901445466492,53.67647058823529,1610612763,59,35,2022-11-26T01:53:09Z,2460000,False,18.0,11.0,1,right,MISS J. LaRavia driving floating bank Shot,[1631222],1610612763.0,MEM,driving floating bank,,,LaRavia,J. LaRavia,,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,
