actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
181,PT00M36.90S,2022-10-25T00:39:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,12.828515111695138,34.31372549019608,1610612763,37,30,2022-10-25T00:39:28Z,1790000,78.0,68.0,1,left,T. Jones 10' driving floating Jump Shot (4 PTS),[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Right,10.38,Made,,,,,,,,,,,,4.0,,,,,,
182,PT00M27.50S,2022-10-25T00:39:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,91.14651773981603,41.17647058823529,1610612751,37,32,2022-10-25T00:39:45Z,1800000,-44.0,31.0,1,right,K. Irving driving finger roll Layup (8 PTS),[202681],1610612751.0,BKN,driving finger roll,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,5.37,Made,,,,,,,,,,,,8.0,,,,,,
183,PT00M06.50S,2022-10-25T00:40:03.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,17.559132720105126,46.568627450980394,1610612763,39,32,2022-10-25T00:40:10Z,1810000,17.0,113.0,1,left,T. Jones 11' driving floating Jump Shot (6 PTS),[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,11.39,Made,,,,,,,,,,,,6.0,,,,,,
184,PT00M00.00S,2022-10-25T00:40:13.5Z,1,REGULAR,2pt,Jump Shot,[],202681,77.5500985545335,16.44454656862745,1610612751,39,34,2022-10-25T00:40:34Z,1820000,-168.0,159.0,1,right,K. Irving 23' step back Jump Shot (10 PTS),[202681],1610612751.0,BKN,step back,,,Irving,K. Irving,,,,,Mid-Range,16-24 Left Center,23.08,Made,,,,,,,,,,,,10.0,,,,,,
186,PT00M00.00S,2022-10-25T00:40:32.4Z,1,REGULAR,period,end,[],0,,,1610612763,39,34,2022-10-25T00:40:32Z,1840000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2022-10-25T00:41:50.1Z,2,REGULAR,substitution,out,['startperiod'],1629723,,,1610612763,39,34,2022-10-25T00:42:53Z,1850000,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2022-10-25T00:41:50.1Z,2,REGULAR,substitution,out,['startperiod'],201988,,,1610612763,39,34,2022-10-25T00:42:53Z,1860000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2022-10-25T00:41:50.1Z,2,REGULAR,substitution,out,['startperiod'],203925,,,1610612763,39,34,2022-10-25T00:42:53Z,1870000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2022-10-25T00:41:50.1Z,2,REGULAR,substitution,out,['startperiod'],1630549,,,1610612763,39,34,2022-10-25T00:42:53Z,1880000,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2022-10-25T00:41:50.1Z,2,REGULAR,substitution,in,['startperiod'],1631222,,,1610612763,39,34,2022-10-25T00:42:53Z,1890000,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT12M00.00S,2022-10-25T00:41:50.1Z,2,REGULAR,substitution,in,['startperiod'],1626220,,,1610612763,39,34,2022-10-25T00:42:53Z,1900000,,,0,,SUB in: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2022-10-25T00:41:50.1Z,2,REGULAR,substitution,in,['startperiod'],1629651,,,1610612763,39,34,2022-10-25T00:42:53Z,1910000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT12M00.00S,2022-10-25T00:41:50.1Z,2,REGULAR,substitution,in,['startperiod'],1628410,,,1610612763,39,34,2022-10-25T00:42:53Z,1920000,,,0,,SUB in: E. Sumner,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT12M00.00S,2022-10-25T00:43:51.6Z,2,REGULAR,period,start,[],0,,,1610612763,39,34,2022-10-25T00:43:51Z,1930000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT11M48.00S,2022-10-25T00:44:03.1Z,2,REGULAR,turnover,bad pass,[],1626145,,,1610612763,39,34,2022-10-25T00:44:08Z,1940000,,,0,,T. Jones bad pass TURNOVER (2 TO),"[1626145, 1626220]",1610612763.0,MEM,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,2.0,O'Neale,1626220.0
197,PT11M48.00S,2022-10-25T00:44:03.1Z,2,REGULAR,steal,,[],1626220,,,1610612751,39,34,2022-10-25T00:44:06Z,1950000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
198,PT11M40.00S,2022-10-25T00:44:10.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629651,94.03745072273325,49.26470588235294,1610612751,39,36,2022-10-25T00:44:14Z,1960000,-4.0,4.0,1,right,N. Claxton cutting DUNK (4 PTS) (R. O'Neale 1 AST),"[1629651, 1626220]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.51,Made,,,,,,,,,,,,4.0,R. O'Neale,1626220.0,1.0,,,
200,PT11M28.00S,2022-10-25T00:44:25.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,7.046649145860711,46.32352941176471,1610612763,41,36,2022-10-25T00:44:30Z,1980000,18.0,14.0,1,left,D. Bane cutting Layup (5 PTS) (B. Clarke 1 AST),"[1630217, 1629634]",1610612763.0,MEM,cutting,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.29,Made,,,,,,,,,,,,5.0,B. Clarke,1629634.0,1.0,,,
202,PT11M28.00S,2022-10-25T00:44:28.0Z,2,REGULAR,foul,personal,['1freethrow'],1629139,,,1610612763,41,36,2022-10-25T00:44:38Z,2000000,,,0,,Y. Watanabe shooting personal FOUL (1 PF) (Bane 1 FT),"[1629139, 1630217]",1610612751.0,BKN,shooting,,,Watanabe,Y. Watanabe,,,,,Restricted Area,0-8 Center,,,,,,,202037.0,1.0,0.0,Bane,1630217.0,,,,,,,,,
204,PT11M28.00S,2022-10-25T00:44:50.9Z,2,REGULAR,freethrow,1 of 1,[],1630217,,,1610612763,42,36,2022-10-25T00:44:50Z,2020000,,,0,,D. Bane Free Throw 1 of 1 (6 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Made,,,,,,,,,,,,6.0,,,,,,
205,PT11M10.00S,2022-10-25T00:45:11.2Z,2,REGULAR,turnover,bad pass,[],1628410,,,1610612751,42,36,2022-10-25T00:45:14Z,2030000,,,0,,E. Sumner bad pass TURNOVER (1 TO),"[1628410, 1630583]",1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Aldama,1630583.0
206,PT11M10.00S,2022-10-25T00:45:11.2Z,2,REGULAR,steal,,[],1630583,,,1610612763,42,36,2022-10-25T00:45:13Z,2040000,,,0,,S. Aldama STEAL (1 STL),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
207,PT11M06.00S,2022-10-25T00:45:15.3Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630217,6.1268068331143235,43.872549019607845,1610612763,42,36,2022-10-25T00:52:34Z,2050000,31.0,5.0,1,left,MISS D. Bane running Layup,[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,3.1,Missed,,,,,,,,,,,,,,,,,,
208,PT11M00.00S,2022-10-25T00:45:21.3Z,2,REGULAR,rebound,offensive,[],1631222,,,1610612763,42,36,2022-10-25T00:45:22Z,2060000,,,0,,J. LaRavia REBOUND (Off:1 Def:0),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,,,207.0,1.0,0.0,1.0,,,,,,,,,,,,,,
209,PT11M00.00S,2022-10-25T00:45:20.7Z,2,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1631222,5.590000152587891,50.0,1610612763,42,36,2022-10-25T00:45:25Z,2070000,0.0,0.0,1,left,MISS J. LaRavia tip Layup,[1631222],1610612763.0,MEM,tip,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
210,PT10M59.00S,2022-10-25T00:45:21.7Z,2,REGULAR,rebound,offensive,[],1630583,,,1610612763,42,36,2022-10-25T00:45:25Z,2080000,,,0,,S. Aldama REBOUND (Off:1 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,209.0,2.0,1.0,1.0,,,,,,,,,,,,,,
211,PT10M59.00S,2022-10-25T00:45:22.2Z,2,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1630583,5.590000152587891,50.0,1610612763,44,36,2022-10-25T00:45:27Z,2090000,0.0,0.0,1,left,S. Aldama tip Layup (7 PTS),[1630583],1610612763.0,MEM,tip,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,7.0,,,,,,
212,PT10M55.00S,2022-10-25T00:45:29.4Z,2,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612751,44,36,2022-10-25T00:45:38Z,2100000,,,0,,D. Bane shooting personal FOUL (1 PF) (Irving 2 FT),"[1630217, 202681]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202037.0,1.0,0.0,Irving,202681.0,,,,,,,,,
214,PT10M55.00S,2022-10-25T00:45:55.0Z,2,REGULAR,freethrow,1 of 2,[],202681,,,1610612751,44,37,2022-10-25T00:45:55Z,2120000,,,0,,K. Irving Free Throw 1 of 2 (11 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,Made,,,,,,,,,,,,11.0,,,,,,
215,PT10M55.00S,2022-10-25T00:46:13.0Z,2,REGULAR,freethrow,2 of 2,[],202681,,,1610612751,44,38,2022-10-25T00:46:13Z,2130000,,,0,,K. Irving Free Throw 2 of 2 (12 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,Made,,,,,,,,,,,,12.0,,,,,,
216,PT10M44.00S,2022-10-25T00:46:25.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629634,6.652431011826544,48.529411764705884,1610612763,46,38,2022-10-25T00:46:30Z,2140000,7.0,10.0,1,left,B. Clarke cutting DUNK (7 PTS) (D. Bane 3 AST),"[1629634, 1630217]",1610612763.0,MEM,cutting,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,,,,,,,,7.0,D. Bane,1630217.0,3.0,,,
218,PT10M32.00S,2022-10-25T00:46:42.3Z,2,REGULAR,foul,personal,[],1630217,,,1610612751,46,38,2022-10-25T00:46:53Z,2160000,,,0,,D. Bane personal FOUL (2 PF),"[1630217, 1629651]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,,,,,202037.0,2.0,0.0,Claxton,1629651.0,,,,,,,,,
220,PT10M23.00S,2022-10-25T00:47:09.9Z,2,REGULAR,3pt,Jump Shot,[],1626220,74.45795006570303,10.784313725490197,1610612751,46,41,2022-10-25T00:47:14Z,2180000,-196.0,188.0,1,right,R. O'Neale 27' 3PT  (5 PTS) (E. Sumner 1 AST),"[1626220, 1628410]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,27.14,Made,,,,,,,,,,,,5.0,E. Sumner,1628410.0,1.0,,,
222,PT10M06.00S,2022-10-25T00:47:27.2Z,2,REGULAR,3pt,Jump Shot,[],1630583,11.251642575558476,4.901960784313726,1610612763,49,41,2022-10-25T00:47:31Z,2200000,225.0,53.0,1,left,S. Aldama 3PT  (10 PTS) (D. Bane 4 AST),"[1630583, 1630217]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,23.17,Made,,,,,,,,,,,,10.0,D. Bane,1630217.0,4.0,,,
224,PT09M54.00S,2022-10-25T00:47:39.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,89.04402102496715,43.13725490196079,1610612751,49,41,2022-10-25T00:47:50Z,2220000,-34.0,50.0,1,right,MISS N. Claxton 6' turnaround Hook - blocked,"[1629651, 1630583]",1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,Aldama,1630583.0,,,,,,,
225,PT09M54.00S,2022-10-25T00:47:39.8Z,2,REGULAR,block,,[],1630583,,,1610612751,49,41,2022-10-25T00:47:42Z,2230000,,,0,,S. Aldama BLOCK (1 BLK),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
226,PT09M50.00S,2022-10-25T00:47:43.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612751,49,41,2022-10-25T00:48:41Z,2240000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,224.0,,,,,,,,,,,,,,,,,
227,PT09M47.00S,2022-10-25T00:48:18.3Z,2,REGULAR,jumpball,recovered,[],202681,,,1610612751,49,41,2022-10-25T00:48:41Z,2250000,,,0,,Jump Ball N. Claxton vs. B. Clarke: Tip to K. Irving,"[202681, 1629651, 1629634]",1610612751.0,BKN,heldball,K. Irving,202681.0,Irving,K. Irving,Claxton,1629651.0,Clarke,1629634.0,,,,,,,,,,,,,,,,,,,,,,
233,PT09M33.00S,2022-10-25T00:48:49.3Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1626220,94.43166885676742,29.65686274509804,1610612751,49,41,2022-10-25T00:48:56Z,2310000,-102.0,0.0,1,right,MISS R. O'Neale 10' floating Shot,[1626220],1610612751.0,BKN,floating,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Left,10.17,Missed,,,,,,,,,,,,,,,,,,
234,PT09M30.00S,2022-10-25T00:48:52.3Z,2,REGULAR,rebound,defensive,[],1631222,,,1610612763,49,41,2022-10-25T00:48:56Z,2320000,,,0,,J. LaRavia REBOUND (Off:1 Def:1),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Mid-Range,8-16 Left,,,233.0,2.0,1.0,1.0,,,,,,,,,,,,,,
235,PT09M24.00S,2022-10-25T00:48:58.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,16.113666228646515,50.73529411764706,1610612763,49,41,2022-10-25T00:49:02Z,2330000,-4.0,99.0,1,left,MISS T. Jones 9' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,9.91,Missed,,,,,,,,,,,,,,,,,,
236,PT09M20.00S,2022-10-25T00:49:02.3Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,49,41,2022-10-25T00:49:02Z,2340000,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,235.0,2.0,1.0,1.0,,,,,,,,,,,,,,
237,PT09M16.00S,2022-10-25T00:49:06.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",202681,91.93495400788436,53.18627450980392,1610612751,49,41,2022-10-25T00:49:12Z,2350000,16.0,23.0,1,right,MISS K. Irving driving floating Shot,[202681],1610612751.0,BKN,driving floating,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,,,,,,,,,,,,,
238,PT09M12.00S,2022-10-25T00:49:10.4Z,2,REGULAR,rebound,offensive,[],1629651,,,1610612751,49,41,2022-10-25T00:49:12Z,2360000,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,237.0,3.0,1.0,2.0,,,,,,,,,,,,,,
239,PT09M12.00S,2022-10-25T00:49:11.6Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1629651,94.40999984741211,50.0,1610612751,49,43,2022-10-25T00:49:15Z,2370000,0.0,0.0,1,right,N. Claxton tip DUNK (6 PTS),[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,6.0,,,,,,
240,PT09M03.00S,2022-10-25T00:49:24.6Z,2,REGULAR,foul,personal,[],202681,,,1610612763,49,43,2022-10-25T00:49:29Z,2380000,,,0,,K. Irving personal FOUL (1 PF),"[202681, 1630583]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202037.0,1.0,0.0,Aldama,1630583.0,,,,,,,,,
242,PT09M03.00S,2022-10-25T00:49:29.2Z,2,REGULAR,substitution,out,[],1631222,,,1610612763,49,43,2022-10-25T00:49:36Z,2400000,,,0,,SUB out: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT09M03.00S,2022-10-25T00:49:29.2Z,2,REGULAR,substitution,out,[],1629139,,,1610612763,49,43,2022-10-25T00:49:36Z,2410000,,,0,,SUB out: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT09M03.00S,2022-10-25T00:49:29.2Z,2,REGULAR,substitution,out,[],1628410,,,1610612763,49,43,2022-10-25T00:49:36Z,2420000,,,0,,SUB out: E. Sumner,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT09M03.00S,2022-10-25T00:49:29.2Z,2,REGULAR,substitution,in,[],1628415,,,1610612763,49,43,2022-10-25T00:49:36Z,2430000,,,0,,SUB in: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT09M03.00S,2022-10-25T00:49:29.2Z,2,REGULAR,substitution,in,[],201142,,,1610612763,49,43,2022-10-25T00:49:36Z,2440000,,,0,,SUB in: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT09M03.00S,2022-10-25T00:49:29.2Z,2,REGULAR,substitution,in,[],203925,,,1610612763,49,43,2022-10-25T00:49:36Z,2450000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT08M52.00S,2022-10-25T00:49:56.5Z,2,REGULAR,2pt,Jump Shot,[],1626145,12.302890932982917,68.87254901960785,1610612763,49,43,2022-10-25T00:50:01Z,2460000,-94.0,63.0,1,left,MISS T. Jones 11' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,11.35,Missed,,,,,,,,,,,,,,,,,,
249,PT08M49.00S,2022-10-25T00:49:59.5Z,2,REGULAR,rebound,defensive,[],1626220,,,1610612751,49,43,2022-10-25T00:50:01Z,2470000,,,0,,R. O'Neale REBOUND (Off:1 Def:2),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Left,,,248.0,3.0,2.0,1.0,,,,,,,,,,,,,,
250,PT08M43.00S,2022-10-25T00:50:09.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,81.42247043363994,64.4607843137255,1610612751,49,45,2022-10-25T00:50:16Z,2480000,72.0,122.0,1,right,K. Durant 14' turnaround fadeaway Jump Shot (13 PTS) (R. O'Neale 2 AST),"[201142, 1626220]",1610612751.0,BKN,turnaround fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Right,14.19,Made,,,,,,,,,,,,13.0,R. O'Neale,1626220.0,2.0,,,
252,PT08M43.00S,2022-10-25T00:50:14.0Z,2,REGULAR,foul,personal,['1freethrow'],1630217,,,1610612751,49,45,2022-10-25T00:50:20Z,2500000,,,0,,D. Bane shooting personal FOUL (3 PF) (Durant 1 FT),"[1630217, 201142]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,2882.0,3.0,0.0,Durant,201142.0,,,,,,,,,
254,PT08M43.00S,2022-10-25T00:50:30.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,49,45,2022-10-25T00:52:34Z,2520000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT08M43.00S,2022-10-25T00:51:59.5Z,2,REGULAR,substitution,out,[],1630217,,,1610612751,49,45,2022-10-25T00:53:04Z,2530000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT08M43.00S,2022-10-25T00:51:59.5Z,2,REGULAR,substitution,in,[],1629723,,,1610612751,49,45,2022-10-25T00:53:04Z,2540000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT08M43.00S,2022-10-25T00:53:29.3Z,2,REGULAR,freethrow,1 of 1,[],201142,,,1610612751,49,46,2022-10-25T00:53:29Z,2550000,,,0,,K. Durant Free Throw 1 of 1 (14 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,,,,,,14.0,,,,,,
258,PT08M36.00S,2022-10-25T00:53:43.3Z,2,REGULAR,foul,personal,[],201142,,,1610612763,49,46,2022-10-25T00:53:50Z,2560000,,,0,,K. Durant personal FOUL (1 PF),"[201142, 1630583]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,,,,,1627962.0,1.0,0.0,Aldama,1630583.0,,,,,,,,,
260,PT08M24.00S,2022-10-25T00:54:12.1Z,2,REGULAR,3pt,Jump Shot,[],1628415,28.465834428383708,75.24509803921569,1610612763,49,46,2022-10-25T00:54:17Z,2580000,-126.0,215.0,1,left,MISS D. Brooks 24' pullup 3PT,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,24.94,Missed,,,,,,,,,,,,,,,,,,
261,PT08M20.00S,2022-10-25T00:54:16.1Z,2,REGULAR,rebound,defensive,[],203925,,,1610612751,49,46,2022-10-25T00:54:17Z,2590000,,,0,,J. Harris REBOUND (Off:1 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Left Center,,,260.0,2.0,1.0,1.0,,,,,,,,,,,,,,
262,PT08M03.00S,2022-10-25T00:54:32.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,93.11760840998686,49.26470588235294,1610612751,49,48,2022-10-25T00:54:37Z,2600000,-4.0,12.0,1,right,N. Claxton DUNK (8 PTS) (J. Harris 1 AST),"[1629651, 203925]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.27,Made,,,,,,,,,,,,8.0,J. Harris,203925.0,1.0,,,
264,PT07M56.00S,2022-10-25T00:54:39.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,8.360709592641262,38.23529411764706,1610612763,49,48,2022-10-25T00:54:45Z,2620000,59.0,26.0,1,left,MISS D. Brooks 6' driving floating bank Shot - blocked,"[1628415, 1626220]",1610612763.0,MEM,driving floating bank,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,6.43,Missed,,,,,,,,,,O'Neale,1626220.0,,,,,,,
265,PT07M56.00S,2022-10-25T00:54:39.7Z,2,REGULAR,block,,[],1626220,,,1610612763,49,48,2022-10-25T00:54:42Z,2630000,,,0,,R. O'Neale BLOCK (1 BLK),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
266,PT07M51.00S,2022-10-25T00:54:44.7Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,49,48,2022-10-25T00:54:45Z,2640000,,,0,,N. Claxton REBOUND (Off:2 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,264.0,4.0,2.0,2.0,,,,,,,,,,,,,,
267,PT07M49.00S,2022-10-25T00:54:46.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203925,90.62089356110381,94.85294117647058,1610612751,49,51,2022-10-25T00:54:53Z,2650000,224.0,36.0,1,right,J. Harris 3PT running (3 PTS) (K. Irving 2 AST),"[203925, 202681]",1610612751.0,BKN,running,,,Harris,J. Harris,,,,,Right Corner 3,24+ Right,22.71,Made,,,,,,,,,,,,3.0,K. Irving,202681.0,2.0,,,
269,PT07M33.00S,2022-10-25T00:55:03.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,11.251642575558476,64.4607843137255,1610612763,51,51,2022-10-25T00:55:08Z,2670000,-72.0,53.0,1,left,T. Jones 8' driving floating Jump Shot (8 PTS),[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Left,8.98,Made,,,,,,,,,,,,8.0,,,,,,
270,PT07M21.00S,2022-10-25T00:55:15.4Z,2,REGULAR,2pt,Jump Shot,[],202681,91.14651773981603,70.34313725490196,1610612751,51,53,2022-10-25T00:55:20Z,2680000,102.0,31.0,1,right,K. Irving 10' turnaround fadeaway Jump Shot (14 PTS),[202681],1610612751.0,BKN,turnaround fadeaway,,,Irving,K. Irving,,,,,Mid-Range,8-16 Right,10.62,Made,,,,,,,,,,,,14.0,,,,,,
