actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
61,PT06M19.00S,2022-03-19T23:21:00.3Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,22,6,2022-03-19T23:21:06Z,610000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,
62,PT06M13.00S,2022-03-19T23:21:06.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,72.7496714848883,85.7843137254902,1610612766,22,6,2022-03-19T23:21:11Z,620000,179.0,204.0,1,right,MISS L. Ball 27' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,27.11,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M10.00S,2022-03-19T23:21:09.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,22,6,2022-03-19T23:21:11Z,630000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,
64,PT06M01.00S,2022-03-19T23:21:18.3Z,1,REGULAR,3pt,Jump Shot,[],1627827,21.50131406044678,89.95098039215686,1610612742,22,9,2022-03-19T23:21:23Z,640000,-200.0,150.0,1,left,D. Finney-Smith 24' 3PT  (3 PTS) (D. Powell 2 AST),"[1627827, 203939]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,24.96,Made,3.0,D. Powell,203939.0,2.0,,,,,,,,,,,,,,,
66,PT05M43.00S,2022-03-19T23:21:35.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,67.62483574244416,40.68627450980392,1610612766,22,9,2022-03-19T23:21:39Z,660000,-47.0,252.0,1,right,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
67,PT05M41.00S,2022-03-19T23:21:37.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,22,9,2022-03-19T23:21:39Z,670000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,,
68,PT05M32.00S,2022-03-19T23:21:47.2Z,1,REGULAR,3pt,Jump Shot,[],1629029,32.53942181340342,57.84313725490197,1610612742,22,12,2022-03-19T23:21:52Z,680000,-39.0,253.0,1,left,L. Doncic 25' 3PT step back (5 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,25.64,Made,5.0,,,,,,,,,,,,,,,,,,
69,PT05M32.00S,2022-03-19T23:21:51.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,22,12,2022-03-19T23:21:51Z,690000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M32.00S,2022-03-19T23:23:54.1Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,22,12,2022-03-19T23:24:40Z,700000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M32.00S,2022-03-19T23:23:54.1Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,22,12,2022-03-19T23:24:40Z,710000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
