actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
177,PT09M23.00S,2022-02-09T01:08:26.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203471,94.56307490144546,53.18627450980392,1610612738,22,37,2022-02-09T01:08:37Z,1750000,16.0,-1.0,1,right,D. Schroder cutting finger roll Layup (4 PTS) (A. Horford 5 AST),"[203471, 201143]",1610612738.0,BOS,cutting finger roll,,,Schroder,D. Schroder,,,,,1.6,Made,,,,,,,4.0,,,,,,A. Horford,201143.0,5.0,,,
179,PT09M09.00S,2022-02-09T01:08:39.3Z,2,REGULAR,3pt,Jump Shot,[],1628975,21.76412614980289,89.4607843137255,1610612751,25,37,2022-02-09T01:08:43Z,1770000,-197.0,152.0,1,left,J. Carter 24' 3PT  (9 PTS) (C. Thomas 1 AST),"[1628975, 1630560]",1610612751.0,BKN,,,,Carter,J. Carter,,,,,24.91,Made,,,,,,,9.0,,,,,,C. Thomas,1630560.0,1.0,,,
181,PT08M46.00S,2022-02-09T01:09:04.2Z,2,REGULAR,foul,personal,['2freethrow'],1628975,,,1610612738,25,37,2022-02-09T01:09:22Z,1790000,,,0,,J. Carter shooting personal FOUL (2 PF) (Tatum 2 FT),"[1628975, 1628369]",1610612751.0,BKN,shooting,,,Carter,J. Carter,,,,,,,,,,,,,,1627534.0,2.0,0.0,Tatum,1628369.0,,,,,,
183,PT08M46.00S,2022-02-09T01:09:41.8Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,25,38,2022-02-09T01:09:41Z,1810000,,,0,,J. Tatum Free Throw 1 of 2 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
184,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,out,[],201949,,,1610612738,25,38,2022-02-09T01:10:03Z,1820000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
185,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,out,[],1630549,,,1610612738,25,38,2022-02-09T01:10:03Z,1830000,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,
186,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,out,[],1630560,,,1610612738,25,38,2022-02-09T01:10:03Z,1840000,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
187,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,out,[],1626196,,,1610612738,25,38,2022-02-09T01:10:03Z,1850000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,out,[],203471,,,1610612738,25,38,2022-02-09T01:10:03Z,1860000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,
189,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,out,[],201143,,,1610612738,25,38,2022-02-09T01:10:03Z,1870000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
190,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,in,[],201988,,,1610612738,25,38,2022-02-09T01:10:03Z,1880000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,in,[],1627761,,,1610612738,25,38,2022-02-09T01:10:03Z,1890000,,,0,,SUB in: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
192,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,in,[],201933,,,1610612738,25,38,2022-02-09T01:10:03Z,1900000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
193,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,in,[],1629057,,,1610612738,25,38,2022-02-09T01:10:03Z,1910000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
194,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,25,38,2022-02-09T01:10:03Z,1920000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
195,PT08M46.00S,2022-02-09T01:09:42.5Z,2,REGULAR,substitution,in,[],203935,,,1610612738,25,38,2022-02-09T01:10:03Z,1930000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
196,PT08M46.00S,2022-02-09T01:10:05.3Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,25,39,2022-02-09T01:10:05Z,1940000,,,0,,J. Tatum Free Throw 2 of 2 (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
197,PT08M39.00S,2022-02-09T01:10:14.1Z,2,REGULAR,3pt,Jump Shot,[],1628975,33.065045992115635,53.67647058823529,1610612751,25,39,2022-02-09T01:10:19Z,1950000,-18.0,258.0,1,left,MISS J. Carter 25' 3PT,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,
198,PT08M34.00S,2022-02-09T01:10:19.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,25,39,2022-02-09T01:10:19Z,1960000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,197.0,3.0,3.0,0.0,,,,,,,,,,,,,,
199,PT08M22.00S,2022-02-09T01:10:31.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,92.72339027595268,53.18627450980392,1610612738,25,41,2022-02-09T01:10:34Z,1970000,16.0,16.0,1,right,R. Williams III Layup (4 PTS) (J. Brown 3 AST),"[1629057, 1627759]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2.25,Made,,,,,,,4.0,,,,,,J. Brown,1627759.0,3.0,,,
201,PT08M05.00S,2022-02-09T01:10:46.7Z,2,REGULAR,3pt,Jump Shot,[],1630561,24.917871222076215,83.57843137254902,1610612751,25,41,2022-02-09T01:10:53Z,1990000,-168.0,182.0,1,left,MISS D. Duke Jr. 24' 3PT,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,24.74,Missed,,,,,,,,,,,,,,,,,,
202,PT08M04.00S,2022-02-09T01:10:47.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,25,41,2022-02-09T01:10:53Z,2000000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,201.0,,,,,,,,,,,,,,,,,
203,PT08M04.00S,2022-02-09T01:10:53.4Z,2,REGULAR,foul,personal,[],201933,,,1610612738,25,41,2022-02-09T01:11:00Z,2010000,,,0,,B. Griffin loose ball personal FOUL (1 PF),"[201933, 1627759]",1610612751.0,BKN,loose ball,,,Griffin,B. Griffin,,,,,,,,,,,,,,1627534.0,1.0,0.0,Brown,1627759.0,,,,,,
205,PT07M44.00S,2022-02-09T01:11:32.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.51182654402102,53.92156862745098,1610612738,25,43,2022-02-09T01:11:37Z,2030000,20.0,8.0,1,right,J. Brown cutting Layup (14 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,2.14,Made,,,,,,,14.0,,,,,,M. Smart,203935.0,1.0,,,
207,PT07M33.00S,2022-02-09T01:11:43.6Z,2,REGULAR,3pt,Jump Shot,[],1630561,3.1044678055190538,96.07843137254902,1610612751,28,43,2022-02-09T01:11:49Z,2050000,-230.0,-23.0,1,left,D. Duke Jr. 3PT  (7 PTS) (B. Griffin 1 AST),"[1630561, 201933]",1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,23.16,Made,,,,,,,7.0,,,,,,B. Griffin,201933.0,1.0,,,
209,PT07M19.00S,2022-02-09T01:11:57.8Z,2,REGULAR,3pt,Jump Shot,[],203935,67.88764783180025,59.55882352941176,1610612738,28,46,2022-02-09T01:12:02Z,2070000,48.0,249.0,1,right,M. Smart 25' 3PT  (3 PTS) (J. Tatum 3 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.39,Made,,,,,,,3.0,,,,,,J. Tatum,1628369.0,3.0,,,
211,PT06M58.00S,2022-02-09T01:12:19.2Z,2,REGULAR,turnover,bad pass,[],201933,,,1610612751,28,46,2022-02-09T01:12:24Z,2090000,,,0,,B. Griffin bad pass TURNOVER (2 TO),"[201933, 203935]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,2.0,Smart,203935.0
212,PT06M58.00S,2022-02-09T01:12:19.2Z,2,REGULAR,steal,,[],203935,,,1610612738,28,46,2022-02-09T01:12:22Z,2100000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
213,PT06M54.00S,2022-02-09T01:12:22.8Z,2,REGULAR,turnover,bad pass,[],203935,,,1610612738,28,46,2022-02-09T01:12:27Z,2110000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1630561]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,1.0,Duke Jr.,1630561.0
214,PT06M54.00S,2022-02-09T01:12:22.8Z,2,REGULAR,steal,,[],1630561,,,1610612751,28,46,2022-02-09T01:12:27Z,2120000,,,0,,D. Duke Jr. STEAL (1 STL),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,
215,PT06M49.00S,2022-02-09T01:12:27.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628975,6.521024967148489,4.901960784313726,1610612751,28,46,2022-02-09T01:12:40Z,2130000,225.0,9.0,1,left,MISS J. Carter 3PT,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,22.57,Missed,,,,,,,,,,,,,,,,,,
216,PT06M46.00S,2022-02-09T01:12:30.2Z,2,REGULAR,rebound,offensive,[],201933,,,1610612751,28,46,2022-02-09T01:12:40Z,2140000,,,0,,B. Griffin REBOUND (Off:2 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,215.0,3.0,1.0,2.0,,,,,,,,,,,,,,
217,PT06M46.00S,2022-02-09T01:12:31.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201933,5.590000152587891,50.0,1610612751,30,46,2022-02-09T01:12:31Z,2150000,0.0,0.0,1,left,B. Griffin tip Layup (4 PTS),[201933],1610612751.0,BKN,tip,,,Griffin,B. Griffin,,,,,0.0,Made,,,,,,,4.0,,,,,,,,,,,
218,PT06M46.00S,2022-02-09T01:12:37.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,30,46,2022-02-09T01:12:37Z,2160000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M22.00S,2022-02-09T01:16:26.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,84.44480946123521,65.68627450980392,1610612738,30,48,2022-02-09T01:16:37Z,2170000,78.0,94.0,1,right,M. Smart 12' fadeaway Jump Shot (5 PTS) (R. Williams III 1 AST),"[203935, 1629057]",1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,12.22,Made,,,,,,,5.0,,,,,,R. Williams III,1629057.0,1.0,,,
221,PT06M04.00S,2022-02-09T01:16:43.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,9.674770039421814,43.13725490196079,1610612751,30,48,2022-02-09T01:16:53Z,2190000,34.0,38.0,1,left,MISS D. Bembry Layup,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,5.15,Missed,,,,,,,,,,,,,,,,,,
222,PT06M02.00S,2022-02-09T01:16:45.8Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,30,48,2022-02-09T01:16:53Z,2200000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,221.0,3.0,3.0,0.0,,,,,,,,,,,,,,
223,PT06M00.00S,2022-02-09T01:16:48.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203935,71.43561103810775,22.30392156862745,1610612738,30,51,2022-02-09T01:17:00Z,2210000,-138.0,216.0,1,right,M. Smart 25' 3PT running (8 PTS) (J. Brown 4 AST),"[203935, 1627759]",1610612738.0,BOS,running,,,Smart,M. Smart,,,,,25.66,Made,,,,,,,8.0,,,,,,J. Brown,1627759.0,4.0,,,
225,PT05M39.00S,2022-02-09T01:17:09.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,8.360709592641262,50.98039215686274,1610612751,30,51,2022-02-09T01:17:14Z,2230000,-5.0,26.0,1,left,MISS D. Bembry cutting Layup - blocked,"[1627761, 1629057]",1610612751.0,BKN,cutting,,,Bembry,D. Bembry,,,,,2.66,Missed,,,,,Williams III,1629057.0,,,,,,,,,,,,
226,PT05M39.00S,2022-02-09T01:17:09.1Z,2,REGULAR,block,,[],1629057,,,1610612751,30,51,2022-02-09T01:17:11Z,2240000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
227,PT05M36.00S,2022-02-09T01:17:12.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,30,51,2022-02-09T01:17:14Z,2250000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,225.0,4.0,4.0,0.0,,,,,,,,,,,,,,
228,PT05M33.00S,2022-02-09T01:17:15.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,92.72339027595268,44.6078431372549,1610612738,30,53,2022-02-09T01:17:28Z,2260000,-27.0,16.0,1,right,J. Brown running Layup (16 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,3.13,Made,,,,,,,16.0,,,,,,,,,,,
229,PT05M22.00S,2022-02-09T01:17:26.3Z,2,REGULAR,3pt,Jump Shot,[],1630561,28.991458607095925,26.225490196078432,1610612751,30,53,2022-02-09T01:17:32Z,2270000,119.0,220.0,1,left,MISS D. Duke Jr. 25' step back 3PT,[1630561],1610612751.0,BKN,step back,,,Duke Jr.,D. Duke Jr.,,,,,25.01,Missed,,,,,,,,,,,,,,,,,,
230,PT05M17.00S,2022-02-09T01:17:31.3Z,2,REGULAR,rebound,offensive,[],201933,,,1610612751,30,53,2022-02-09T01:17:32Z,2280000,,,0,,B. Griffin REBOUND (Off:3 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,229.0,4.0,1.0,3.0,,,,,,,,,,,,,,
231,PT05M17.00S,2022-02-09T01:17:30.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",201933,5.590000152587891,50.0,1610612751,32,53,2022-02-09T01:17:30Z,2290000,0.0,0.0,1,left,B. Griffin tip DUNK (6 PTS),[201933],1610612751.0,BKN,tip,,,Griffin,B. Griffin,,,,,0.0,Made,,,,,,,6.0,,,,,,,,,,,
232,PT05M02.00S,2022-02-09T01:17:45.4Z,2,REGULAR,3pt,Jump Shot,[],203935,78.0059132720105,89.4607843137255,1610612738,32,53,2022-02-09T01:17:51Z,2300000,197.0,154.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,
233,PT04M59.00S,2022-02-09T01:17:48.4Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,32,53,2022-02-09T01:17:51Z,2310000,,,0,,R. Williams III REBOUND (Off:3 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,232.0,6.0,3.0,3.0,,,,,,,,,,,,,,
234,PT04M52.00S,2022-02-09T01:17:56.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,95.48291721419186,48.77450980392157,1610612738,32,55,2022-02-09T01:17:59Z,2320000,-6.0,-10.0,1,right,R. Williams III alley-oop DUNK (6 PTS) (J. Brown 5 AST),"[1629057, 1627759]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.17,Made,,,,,,,6.0,,,,,,J. Brown,1627759.0,5.0,,,
236,PT04M36.00S,2022-02-09T01:18:11.2Z,2,REGULAR,3pt,Jump Shot,[],1628975,30.831143232588698,68.13725490196079,1610612751,32,55,2022-02-09T01:18:16Z,2340000,-91.0,237.0,1,left,MISS J. Carter 25' pullup 3PT,[1628975],1610612751.0,BKN,pullup,,,Carter,J. Carter,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,
237,PT04M34.00S,2022-02-09T01:18:13.2Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,32,55,2022-02-09T01:18:16Z,2350000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,236.0,4.0,4.0,0.0,,,,,,,,,,,,,,
238,PT04M29.00S,2022-02-09T01:18:19.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629684,94.95729303547962,96.07843137254902,1610612738,32,55,2022-02-09T01:18:29Z,2360000,230.0,-5.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.05,Missed,,,,,,,,,,,,,,,,,,
239,PT04M25.00S,2022-02-09T01:18:23.3Z,2,REGULAR,rebound,defensive,[],201933,,,1610612751,32,55,2022-02-09T01:18:29Z,2370000,,,0,,B. Griffin REBOUND (Off:3 Def:2),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,238.0,5.0,2.0,3.0,,,,,,,,,,,,,,
240,PT04M19.00S,2022-02-09T01:18:28.1Z,2,REGULAR,3pt,Jump Shot,[],1628975,3.7614980289093296,95.83333333333334,1610612751,35,55,2022-02-09T01:18:38Z,2380000,-229.0,-17.0,1,left,J. Carter 3PT  (12 PTS) (D. Duke Jr. 1 AST),"[1628975, 1630561]",1610612751.0,BKN,,,,Carter,J. Carter,,,,,22.98,Made,,,,,,,12.0,,,,,,D. Duke Jr.,1630561.0,1.0,,,
242,PT04M02.00S,2022-02-09T01:18:45.0Z,2,REGULAR,3pt,Jump Shot,[],1628369,73.66951379763469,19.11764705882353,1610612738,35,58,2022-02-09T01:18:50Z,2400000,-154.0,195.0,1,right,J. Tatum 24' 3PT  (12 PTS) (G. Williams 1 AST),"[1628369, 1629684]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.87,Made,,,,,,,12.0,,,,,,G. Williams,1629684.0,1.0,,,
244,PT04M01.00S,2022-02-09T01:18:53.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,35,58,2022-02-09T01:18:53Z,2420000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,out,[],1628975,,,1610612751,35,58,2022-02-09T01:22:04Z,2430000,,,0,,SUB out: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,
246,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,out,[],1630561,,,1610612751,35,58,2022-02-09T01:22:04Z,2440000,,,0,,SUB out: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,
247,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,out,[],201933,,,1610612751,35,58,2022-02-09T01:22:04Z,2450000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
248,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,out,[],1628369,,,1610612751,35,58,2022-02-09T01:22:04Z,2460000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
249,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,out,[],1629684,,,1610612751,35,58,2022-02-09T01:22:04Z,2470000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
250,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,in,[],1628971,,,1610612751,35,58,2022-02-09T01:22:04Z,2480000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
251,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,in,[],1630549,,,1610612751,35,58,2022-02-09T01:22:04Z,2490000,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,
252,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,in,[],201949,,,1610612751,35,58,2022-02-09T01:22:04Z,2500000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
253,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,in,[],201143,,,1610612751,35,58,2022-02-09T01:22:04Z,2510000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
254,PT04M01.00S,2022-02-09T01:18:55.2Z,2,REGULAR,substitution,in,[],1626196,,,1610612751,35,58,2022-02-09T01:22:04Z,2520000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,
255,PT03M49.00S,2022-02-09T01:22:24.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,6.521024967148489,46.07843137254902,1610612751,35,58,2022-02-09T01:22:31Z,2530000,20.0,9.0,1,left,MISS D. Bembry driving reverse Layup - blocked,"[1627761, 1629057]",1610612751.0,BKN,driving reverse,,,Bembry,D. Bembry,,,,,2.15,Missed,,,,,Williams III,1629057.0,,,,,,,,,,,,
256,PT03M49.00S,2022-02-09T01:22:24.5Z,2,REGULAR,block,,[],1629057,,,1610612751,35,58,2022-02-09T01:22:27Z,2540000,,,0,,R. Williams III BLOCK (3 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
257,PT03M46.00S,2022-02-09T01:22:27.5Z,2,REGULAR,rebound,offensive,[],1630549,,,1610612751,35,58,2022-02-09T01:22:31Z,2550000,,,0,,D. Sharpe REBOUND (Off:4 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,255.0,6.0,2.0,4.0,,,,,,,,,,,,,,
258,PT03M42.00S,2022-02-09T01:22:32.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628971,6.389618922470433,62.99019607843137,1610612751,37,58,2022-02-09T01:22:42Z,2560000,-65.0,8.0,1,left,B. Brown 6' floating Jump Shot (2 PTS) (D. Sharpe 1 AST),"[1628971, 1630549]",1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,6.54,Made,,,,,,,2.0,,,,,,D. Sharpe,1630549.0,1.0,,,
260,PT03M33.00S,2022-02-09T01:22:41.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.46057818659659,49.50980392156863,1610612738,37,60,2022-02-09T01:22:52Z,2580000,-2.0,18.0,1,right,R. Williams III alley-oop DUNK (8 PTS) (M. Smart 2 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.86,Made,,,,,,,8.0,,,,,,M. Smart,203935.0,2.0,,,
262,PT03M09.00S,2022-02-09T01:23:05.2Z,2,REGULAR,3pt,Jump Shot,[],1627761,6.915243101182654,4.166666666666666,1610612751,37,60,2022-02-09T01:23:11Z,2600000,229.0,13.0,1,left,MISS D. Bembry 3PT,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,22.95,Missed,,,,,,,,,,,,,,,,,,
263,PT03M05.00S,2022-02-09T01:23:09.2Z,2,REGULAR,rebound,defensive,[],1626196,,,1610612738,37,60,2022-02-09T01:23:11Z,2610000,,,0,,J. Richardson REBOUND (Off:0 Def:2),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,262.0,2.0,2.0,0.0,,,,,,,,,,,,,,
264,PT02M50.00S,2022-02-09T01:23:24.5Z,2,REGULAR,foul,personal,['3freethrow'],1630549,,,1610612738,37,60,2022-02-09T01:33:47Z,2620000,,,0,,D. Sharpe shooting personal FOUL (1 PF) (Brown 3 FT),"[1630549, 1627759]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,1155.0,1.0,0.0,Brown,1627759.0,,,,,,
266,PT02M50.00S,2022-02-09T01:23:52.4Z,2,REGULAR,freethrow,1 of 3,[],1627759,,,1610612738,37,60,2022-02-09T01:33:55Z,2640000,,,0,,MISS J. Brown Free Throw 1 of 3,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,
267,PT02M50.00S,2022-02-09T01:23:52.4Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,37,60,2022-02-09T01:33:55Z,2650000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,266.0,,,,,,,,,,,,,,,,,
268,PT02M50.00S,2022-02-09T01:23:52.4Z,2,REGULAR,freethrow,2 of 3,[],1627759,,,1610612738,37,61,2022-02-09T01:33:55Z,2660000,,,0,,J. Brown Free Throw 2 of 3 (17 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,17.0,,,,,,,,,,,
