actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
184,PT12M00.00S,2022-03-04T01:12:26.9Z,2,REGULAR,substitution,in,['startperiod'],203552,,,1610612748,35,23,2022-03-04T01:13:24Z,1780000,,,0,,SUB in: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2022-03-04T01:12:26.9Z,2,REGULAR,substitution,in,['startperiod'],201609,,,1610612748,35,23,2022-03-04T01:13:24Z,1790000,,,0,,SUB in: G. Dragic,[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2022-03-04T01:12:26.9Z,2,REGULAR,substitution,in,['startperiod'],1629312,,,1610612748,35,23,2022-03-04T01:13:24Z,1800000,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2022-03-04T01:13:33.1Z,2,REGULAR,period,start,[],0,,,1610612748,35,23,2022-03-04T01:13:33Z,1810000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT11M48.00S,2022-03-04T01:13:44.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,15.588042049934298,36.029411764705884,1610612748,35,25,2022-03-04T01:14:09Z,1820000,70.0,94.0,1,left,T. Herro 11' driving floating Jump Shot (6 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,11.71,Made,,,,,,,6.0,,,,,,,,,,,,
189,PT11M26.00S,2022-03-04T01:14:05.7Z,2,REGULAR,2pt,Jump Shot,[],200746,85.23324572930355,31.127450980392158,1610612751,35,25,2022-03-04T01:14:29Z,1830000,-94.0,86.0,1,right,MISS L. Aldridge 12' turnaround Shot,[200746],1610612751.0,BKN,turnaround,,,Aldridge,L. Aldridge,,,,,12.79,Missed,,,,,,,,,,,,,,,,,,,
190,PT11M26.00S,2022-03-04T01:14:05.7Z,2,REGULAR,rebound,defensive,[],1629312,,,1610612748,35,25,2022-03-04T01:14:29Z,1840000,,,0,,H. Highsmith REBOUND (Off:0 Def:2),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,189.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
191,PT11M17.00S,2022-03-04T01:14:14.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629639,17.16491458607096,62.5,1610612748,35,27,2022-03-04T01:14:36Z,1850000,-62.0,109.0,1,left,T. Herro 12' pullup Jump Shot (8 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,12.56,Made,,,,,,,8.0,,,,,,,,,,,,
192,PT11M02.00S,2022-03-04T01:14:30.0Z,2,REGULAR,turnover,lost ball,[],1629651,,,1610612751,35,27,2022-03-04T01:14:39Z,1860000,,,0,,N. Claxton lost ball TURNOVER (1 TO),"[1629651, 1629312]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,1.0,,,,,,,,,,,Highsmith,1629312.0,
193,PT11M02.00S,2022-03-04T01:14:30.0Z,2,REGULAR,steal,,[],1629312,,,1610612748,35,27,2022-03-04T01:14:32Z,1870000,,,0,,H. Highsmith STEAL (1 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT10M56.00S,2022-03-04T01:14:36.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629216,27.677398160315374,79.16666666666666,1610612748,35,27,2022-03-04T01:14:42Z,1880000,-146.0,208.0,1,left,MISS G. Vincent 25' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,25.38,Missed,,,,,,,,,,,,,,,,,,,
195,PT10M51.00S,2022-03-04T01:14:40.8Z,2,REGULAR,rebound,offensive,[],1629312,,,1610612748,35,27,2022-03-04T01:14:40Z,1890000,,,0,,H. Highsmith REBOUND (Off:1 Def:2),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,194.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
196,PT10M51.00S,2022-03-04T01:14:41.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629312,7.178055190538765,44.85294117647059,1610612748,35,27,2022-03-04T01:14:59Z,1900000,26.0,15.0,1,left,MISS H. Highsmith Jump Shot - blocked,"[1629312, 1629651]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,2.98,Missed,,,,,,,,,,,,,,,Claxton,1629651.0,,,
197,PT10M51.00S,2022-03-04T01:14:41.4Z,2,REGULAR,block,,[],1629651,,,1610612748,35,27,2022-03-04T01:14:43Z,1910000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT10M49.00S,2022-03-04T01:14:43.4Z,2,REGULAR,rebound,defensive,[],201609,,,1610612751,35,27,2022-03-04T01:14:59Z,1920000,,,0,,G. Dragic REBOUND (Off:0 Def:2),[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,196.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
199,PT10M44.00S,2022-03-04T01:14:51.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201609,72.88107752956637,81.37254901960785,1610612751,35,27,2022-03-04T01:15:15Z,1930000,157.0,202.0,1,right,MISS G. Dragic 25' step back 3PT,[201609],1610612751.0,BKN,step back,,,Dragic,G. Dragic,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
201,PT10M42.00S,2022-03-04T01:14:53.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612748,35,27,2022-03-04T01:15:15Z,1950000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,199.0,,,,,,,,,,,,,,,,,,
202,PT10M42.00S,2022-03-04T01:14:58.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,35,27,2022-03-04T01:14:58Z,1960000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT10M42.00S,2022-03-04T01:15:00.4Z,2,REGULAR,substitution,out,[],201988,,,1610612748,35,27,2022-03-04T01:15:05Z,1970000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT10M42.00S,2022-03-04T01:15:00.4Z,2,REGULAR,substitution,in,[],1628971,,,1610612748,35,27,2022-03-04T01:15:05Z,1980000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT10M19.00S,2022-03-04T01:15:29.4Z,2,REGULAR,3pt,Jump Shot,[],1628997,25.706307490144546,82.35294117647058,1610612748,35,27,2022-03-04T01:15:51Z,1990000,-162.0,189.0,1,left,MISS C. Martin 24' 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,,
206,PT10M18.00S,2022-03-04T01:15:30.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,35,27,2022-03-04T01:15:51Z,2000000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,
207,PT10M18.00S,2022-03-04T01:15:35.9Z,2,REGULAR,foul,personal,[],1629651,,,1610612748,35,27,2022-03-04T01:15:40Z,2010000,,,0,,N. Claxton loose ball personal FOUL (1 PF),"[1629651, 1629312]",1610612751.0,BKN,loose ball,,,Claxton,N. Claxton,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Highsmith,1629312.0,,,,,
209,PT10M11.00S,2022-03-04T01:16:03.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,32.14520367936925,34.31372549019608,1610612748,35,27,2022-03-04T01:16:09Z,2030000,78.0,250.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,26.17,Missed,,,,,,,,,,,,,,,,,,,
210,PT10M08.00S,2022-03-04T01:16:06.1Z,2,REGULAR,rebound,defensive,[],201609,,,1610612751,35,27,2022-03-04T01:16:09Z,2040000,,,0,,G. Dragic REBOUND (Off:0 Def:3),[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,209.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
211,PT09M59.00S,2022-03-04T01:16:14.8Z,2,REGULAR,3pt,Jump Shot,[],203552,68.41327201051249,65.93137254901961,1610612751,35,27,2022-03-04T01:16:19Z,2050000,80.0,244.0,1,right,MISS S. Curry 25' 3PT,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,,
212,PT09M57.00S,2022-03-04T01:16:16.8Z,2,REGULAR,rebound,offensive,[],203552,,,1610612751,35,27,2022-03-04T01:16:19Z,2060000,,,0,,S. Curry REBOUND (Off:1 Def:0),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,211.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
213,PT09M45.00S,2022-03-04T01:16:29.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201609,89.70105124835742,44.6078431372549,1610612751,37,27,2022-03-04T01:16:37Z,2070000,-27.0,44.0,1,right,G. Dragic driving finger roll Layup (5 PTS),[201609],1610612751.0,BKN,driving finger roll,,,Dragic,G. Dragic,,,,,5.19,Made,,,,,,,5.0,,,,,,,,,,,,
214,PT09M40.00S,2022-03-04T01:16:36.7Z,2,REGULAR,turnover,out-of-bounds,[],1629216,,,1610612748,37,27,2022-03-04T01:17:01Z,2080000,,,0,,G. Vincent bad pass out-of-bounds TURNOVER (2 TO),[1629216],1610612748.0,MIA,bad pass,,,Vincent,G. Vincent,,,,,,,,,,,202037.0,2.0,,,,,,,,,,,,,
215,PT09M28.00S,2022-03-04T01:16:52.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203552,93.9060446780552,4.411764705882353,1610612751,40,27,2022-03-04T01:17:04Z,2090000,-228.0,5.0,1,right,S. Curry 3PT  (6 PTS) (G. Dragic 5 AST),"[203552, 201609]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,22.8,Made,,,,,,,6.0,G. Dragic,201609.0,5.0,,,,,,,,,
217,PT09M27.00S,2022-03-04T01:17:02.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,40,27,2022-03-04T01:17:02Z,2110000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT09M27.00S,2022-03-04T01:18:32.7Z,2,REGULAR,substitution,out,[],1629651,,,1610612748,40,27,2022-03-04T01:19:38Z,2120000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT09M27.00S,2022-03-04T01:18:32.7Z,2,REGULAR,substitution,out,[],1629216,,,1610612748,40,27,2022-03-04T01:19:38Z,2130000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT09M27.00S,2022-03-04T01:18:32.7Z,2,REGULAR,substitution,out,[],203473,,,1610612748,40,27,2022-03-04T01:19:38Z,2140000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT09M27.00S,2022-03-04T01:18:32.7Z,2,REGULAR,substitution,in,[],201949,,,1610612748,40,27,2022-03-04T01:19:38Z,2150000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT09M27.00S,2022-03-04T01:18:32.7Z,2,REGULAR,substitution,in,[],1628389,,,1610612748,40,27,2022-03-04T01:19:38Z,2160000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT09M27.00S,2022-03-04T01:18:32.7Z,2,REGULAR,substitution,in,[],1629622,,,1610612748,40,27,2022-03-04T01:19:38Z,2170000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT09M02.00S,2022-03-04T01:20:28.5Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612748,40,27,2022-03-04T01:20:33Z,2180000,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,,
225,PT08M53.00S,2022-03-04T01:20:48.5Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203552,84.44480946123521,76.7156862745098,1610612751,40,27,2022-03-04T01:21:29Z,2190000,134.0,94.0,1,right,MISS S. Curry 16' pullup Shot,[203552],1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,16.32,Missed,,,,,,,,,,,,,,,,,,,
229,PT08M50.00S,2022-03-04T01:20:51.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612751,40,27,2022-03-04T01:21:29Z,2200000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,225.0,,,,,,,,,,,,,,,,,,
226,PT08M50.00S,2022-03-04T01:21:27.2Z,2,REGULAR,jumpball,recovered,[],201949,,,1610612751,40,27,2022-03-04T01:21:27Z,2210000,,,0,,Jump Ball L. Aldridge vs. B. Adebayo: Tip to J. Johnson,"[201949, 200746, 1628389]",1610612751.0,BKN,lodgedball,J. Johnson,201949.0,Johnson,J. Johnson,Aldridge,200746.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
230,PT08M43.00S,2022-03-04T01:21:35.2Z,2,REGULAR,foul,personal,[],1628997,,,1610612751,40,27,2022-03-04T01:21:50Z,2240000,,,0,,C. Martin personal FOUL (1 PF),"[1628997, 200746]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Aldridge,200746.0,,,,,
232,PT08M33.00S,2022-03-04T01:22:07.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201609,93.11760840998686,44.36274509803921,1610612751,42,27,2022-03-04T01:22:12Z,2260000,-28.0,12.0,1,right,G. Dragic driving Layup (7 PTS),[201609],1610612751.0,BKN,driving,,,Dragic,G. Dragic,,,,,3.07,Made,,,,,,,7.0,,,,,,,,,,,,
233,PT08M18.00S,2022-03-04T01:22:27.5Z,2,REGULAR,foul,technical,['1freethrow'],201949,,,1610612748,42,27,2022-03-04T01:22:39Z,2270000,,,0,,J. Johnson defensive-3-second technical FOUL (1 Tech),[201949],1610612751.0,BKN,defensive-3-second,,,Johnson,J. Johnson,,,,,,,,,,,202049.0,,,,,,0.0,1.0,,,,,,,
234,PT08M18.00S,2022-03-04T01:22:48.4Z,2,REGULAR,freethrow,1 of 1,[],1629639,,,1610612748,42,28,2022-03-04T01:22:48Z,2280000,,,0,,T. Herro technical Free Throw 1 of 1 (9 PTS),[1629639],1610612748.0,MIA,technical,,,Herro,T. Herro,,,,,,Made,,,,,,,9.0,,,,,,,,,,,,
235,PT08M11.00S,2022-03-04T01:23:12.4Z,2,REGULAR,foul,personal,['2freethrow'],201949,,,1610612748,42,28,2022-03-04T01:23:21Z,2290000,,,0,,J. Johnson shooting personal FOUL (1 PF) (Adebayo 2 FT),"[201949, 1628389]",1610612751.0,BKN,shooting,,,Johnson,J. Johnson,,,,,,,,,,,202049.0,,,,,,1.0,1.0,Adebayo,1628389.0,,,,,
237,PT08M11.00S,2022-03-04T01:23:42.4Z,2,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,42,28,2022-03-04T01:23:42Z,2310000,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
238,PT08M11.00S,2022-03-04T01:23:42.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,42,28,2022-03-04T01:23:42Z,2320000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,237.0,,,,,,,,,,,,,,,,,,
239,PT08M11.00S,2022-03-04T01:23:43.3Z,2,REGULAR,substitution,out,[],200746,,,1610612748,42,28,2022-03-04T01:23:45Z,2330000,,,0,,SUB out: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT08M11.00S,2022-03-04T01:23:43.3Z,2,REGULAR,substitution,in,[],203083,,,1610612748,42,28,2022-03-04T01:23:45Z,2340000,,,0,,SUB in: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT08M11.00S,2022-03-04T01:24:05.1Z,2,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,42,29,2022-03-04T01:24:05Z,2350000,,,0,,B. Adebayo Free Throw 2 of 2 (8 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,8.0,,,,,,,,,,,,
242,PT07M54.00S,2022-03-04T01:24:23.9Z,2,REGULAR,turnover,bad pass,[],201609,,,1610612751,42,29,2022-03-04T01:24:28Z,2360000,,,0,,G. Dragic bad pass TURNOVER (1 TO),"[201609, 1629622]",1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,1.0,,,,,,,,,,,Strus,1629622.0,
243,PT07M54.00S,2022-03-04T01:24:23.9Z,2,REGULAR,steal,,[],1629622,,,1610612748,42,29,2022-03-04T01:24:25Z,2370000,,,0,,M. Strus STEAL (1 STL),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT07M51.00S,2022-03-04T01:24:29.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629312,10.068988173455978,50.245098039215684,1610612748,42,29,2022-03-04T01:24:40Z,2380000,-1.0,42.0,1,left,MISS H. Highsmith driving Layup - blocked,"[1629312, 201949]",1610612748.0,MIA,driving,,,Highsmith,H. Highsmith,,,,,4.21,Missed,,,,,,,,,,,,,,,Johnson,201949.0,,,
245,PT07M51.00S,2022-03-04T01:24:29.0Z,2,REGULAR,block,,[],201949,,,1610612748,42,29,2022-03-04T01:24:31Z,2390000,,,0,,J. Johnson BLOCK (1 BLK),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M51.00S,2022-03-04T01:24:29.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,42,29,2022-03-04T01:24:40Z,2400000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,244.0,,,,,,,,,,,,,,,,,,
247,PT07M51.00S,2022-03-04T01:24:33.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,42,29,2022-03-04T01:24:33Z,2410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M51.00S,2022-03-04T01:24:34.3Z,2,REGULAR,substitution,out,[],201609,,,1610612748,42,29,2022-03-04T01:24:45Z,2420000,,,0,,SUB out: G. Dragic,[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M51.00S,2022-03-04T01:24:34.3Z,2,REGULAR,substitution,in,[],201142,,,1610612748,42,29,2022-03-04T01:24:45Z,2430000,,,0,,SUB in: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M42.00S,2022-03-04T01:25:13.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629639,7.440867279894875,55.392156862745104,1610612748,42,31,2022-03-04T01:25:19Z,2440000,-27.0,17.0,1,left,T. Herro driving Layup (11 PTS),[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,3.21,Made,,,,,,,11.0,,,,,,,,,,,,
251,PT07M42.00S,2022-03-04T01:25:16.3Z,2,REGULAR,foul,personal,['1freethrow'],201949,,,1610612748,42,31,2022-03-04T01:25:29Z,2450000,,,0,,J. Johnson shooting personal FOUL (2 PF) (Herro 1 FT),"[201949, 1629639]",1610612751.0,BKN,shooting,,,Johnson,J. Johnson,,,,,,,,,,,202037.0,,,,,,2.0,1.0,Herro,1629639.0,,,,,
253,PT07M42.00S,2022-03-04T01:25:41.1Z,2,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1629639,,,1610612748,42,32,2022-03-04T01:25:41Z,2470000,,,0,,T. Herro Free Throw 1 of 1 (12 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,,,,,,,12.0,,,,,,,,,,,,
254,PT07M27.00S,2022-03-04T01:25:57.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,92.72339027595268,54.90196078431373,1610612751,44,32,2022-03-04T01:26:21Z,2480000,25.0,16.0,1,right,B. Brown driving finger roll Layup (6 PTS) (K. Durant 1 AST),"[1628971, 201142]",1610612751.0,BKN,driving finger roll,,,Brown,B. Brown,,,,,2.92,Made,,,,,,,6.0,K. Durant,201142.0,1.0,,,,,,,,,
255,PT07M19.00S,2022-03-04T01:26:09.2Z,2,REGULAR,foul,personal,['2freethrow'],203552,,,1610612748,44,32,2022-03-04T01:26:39Z,2490000,,,0,,S. Curry shooting personal FOUL (1 PF) (Adebayo 2 FT),"[203552, 1628389]",1610612751.0,BKN,shooting,,,Curry,S. Curry,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Adebayo,1628389.0,,,,,
258,PT07M19.00S,2022-03-04T01:26:41.2Z,2,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,44,33,2022-03-04T01:26:41Z,2510000,,,0,,B. Adebayo Free Throw 1 of 2 (9 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,9.0,,,,,,,,,,,,
259,PT07M19.00S,2022-03-04T01:26:41.8Z,2,REGULAR,substitution,out,[],201949,,,1610612748,44,33,2022-03-04T01:26:44Z,2520000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT07M19.00S,2022-03-04T01:26:41.8Z,2,REGULAR,substitution,in,[],201988,,,1610612748,44,33,2022-03-04T01:26:44Z,2530000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT07M19.00S,2022-03-04T01:26:41.8Z,2,REGULAR,substitution,out,[],1629312,,,1610612748,44,33,2022-03-04T01:26:57Z,2540000,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT07M19.00S,2022-03-04T01:26:41.8Z,2,REGULAR,substitution,in,[],1629130,,,1610612748,44,33,2022-03-04T01:26:57Z,2550000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT07M19.00S,2022-03-04T01:27:16.1Z,2,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,44,34,2022-03-04T01:27:16Z,2560000,,,0,,B. Adebayo Free Throw 2 of 2 (10 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,10.0,,,,,,,,,,,,
264,PT07M05.00S,2022-03-04T01:27:30.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203083,86.94152431011827,45.09803921568628,1610612751,46,34,2022-03-04T01:27:38Z,2570000,-25.0,70.0,1,right,A. Drummond 7' Hook (4 PTS) (K. Durant 2 AST),"[203083, 201142]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,7.44,Made,,,,,,,4.0,K. Durant,201142.0,2.0,,,,,,,,,
266,PT06M48.00S,2022-03-04T01:27:47.4Z,2,REGULAR,2pt,Jump Shot,[],1628389,8.492115637319317,67.64705882352942,1610612748,46,36,2022-03-04T01:27:52Z,2590000,-88.0,27.0,1,left,B. Adebayo 9' fadeaway Jump Shot (12 PTS) (T. Herro 2 AST),"[1628389, 1629639]",1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,9.23,Made,,,,,,,12.0,T. Herro,1629639.0,2.0,,,,,,,,,
267,PT06M34.00S,2022-03-04T01:28:01.4Z,2,REGULAR,3pt,Jump Shot,[],201988,94.82588699080158,97.79411764705883,1610612751,49,36,2022-03-04T01:28:11Z,2600000,239.0,-4.0,1,right,P. Mills 3PT  (11 PTS) (B. Brown 1 AST),"[201988, 1628971]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,23.9,Made,,,,,,,11.0,B. Brown,1628971.0,1.0,,,,,,,,,
270,PT06M24.00S,2022-03-04T01:28:12.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,6.1268068331143235,45.34313725490196,1610612748,49,38,2022-03-04T01:28:33Z,2620000,23.0,5.0,1,left,B. Adebayo cutting Layup (14 PTS) (D. Robinson 2 AST),"[1628389, 1629130]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,2.39,Made,,,,,,,14.0,D. Robinson,1629130.0,2.0,,,,,,,,,
272,PT06M09.00S,2022-03-04T01:28:27.2Z,2,REGULAR,turnover,bad pass,[],201142,,,1610612751,49,38,2022-03-04T01:28:36Z,2640000,,,0,,K. Durant bad pass TURNOVER (2 TO),"[201142, 1628389]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,2.0,,,,,,,,,,,Adebayo,1628389.0,
273,PT06M09.00S,2022-03-04T01:28:27.2Z,2,REGULAR,steal,,[],1628389,,,1610612748,49,38,2022-03-04T01:28:55Z,2650000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT06M03.00S,2022-03-04T01:28:32.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629622,28.07161629434954,75.98039215686273,1610612748,49,38,2022-03-04T01:28:38Z,2660000,-130.0,211.0,1,left,MISS M. Strus 24' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,24.81,Missed,,,,,,,,,,,,,,,,,,,
