actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
73,PT06M31.00S,2021-12-04T00:54:10.2Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,17,17,2021-12-04T00:54:11Z,720000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,,,,,,Aldridge,L. Aldridge,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
74,PT06M24.00S,2021-12-04T00:54:17.3Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,17,17,2021-12-04T00:54:21Z,730000,,,0,,J. Harden bad pass TURNOVER (4 TO),"[201935, 1626156]",1610612751.0,BKN,,,,,,,,,Harden,J. Harden,,,,,,4.0,,,,,Russell,1626156.0,,,,,,,
75,PT06M24.00S,2021-12-04T00:54:17.3Z,1,REGULAR,steal,,[],1626156,,,1610612750,17,17,2021-12-04T00:54:19Z,740000,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,,,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,
76,PT06M23.00S,2021-12-04T00:54:26.1Z,1,REGULAR,turnover,out-of-bounds,[],1627752,,,1610612750,17,17,2021-12-04T00:54:43Z,750000,,,0,,T. Prince bad pass out-of-bounds TURNOVER (1 TO),[1627752],1610612750.0,MIN,bad pass,,,,,,,,Prince,T. Prince,,,,,,1.0,,,,,,,,,,,,,
77,PT06M11.00S,2021-12-04T00:54:47.4Z,1,REGULAR,foul,personal,[],1630162,,,1610612751,17,17,2021-12-04T00:54:54Z,760000,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 201935]",1610612750.0,MIN,,,,,,,,,Edwards,A. Edwards,,,,,202007.0,,,,,,,,1.0,0.0,Harden,201935.0,,,
79,PT05M57.00S,2021-12-04T00:55:14.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201935,76.82325886990802,59.31372549019608,1610612751,19,17,2021-12-04T00:55:20Z,780000,47.0,165.0,1,right,J. Harden 17' step back Jump Shot (4 PTS),[201935],1610612751.0,BKN,step back,,,,,,17.18,Made,Harden,J. Harden,,,,,,,4.0,,,,,,,,,,,,
80,PT05M45.00S,2021-12-04T00:55:27.2Z,1,REGULAR,3pt,Jump Shot,[],1627752,31.35676741130092,67.64705882352942,1610612750,19,17,2021-12-04T00:55:34Z,790000,-88.0,242.0,1,left,MISS T. Prince 25' 3PT,[1627752],1610612750.0,MIN,,,,,,,25.79,Missed,Prince,T. Prince,,,,,,,,,,,,,,,,,,,
81,PT05M41.00S,2021-12-04T00:55:30.2Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,19,17,2021-12-04T00:55:30Z,800000,,,0,,J. Vanderbilt REBOUND (Off:2 Def:1),[1629020],1610612750.0,MIN,,,,,,,,,Vanderbilt,J. Vanderbilt,80.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
82,PT05M40.00S,2021-12-04T00:55:32.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,5.995400788436268,96.32352941176471,1610612750,19,20,2021-12-04T00:55:38Z,810000,-232.0,4.0,1,left,D. Russell 3PT  (5 PTS) (J. Vanderbilt 1 AST),"[1626156, 1629020]",1610612750.0,MIN,,,,,,,23.16,Made,Russell,D. Russell,,,,,,,5.0,J. Vanderbilt,1629020.0,1.0,,,,,,,,,
84,PT05M30.00S,2021-12-04T00:55:44.2Z,1,REGULAR,foul,personal,['2freethrow'],1627752,,,1610612751,19,20,2021-12-04T00:55:59Z,830000,,,0,,T. Prince shooting personal FOUL (2 PF) (Harden 2 FT),"[1627752, 201935]",1610612750.0,MIN,shooting,,,,,,,,Prince,T. Prince,,,,,203592.0,,,,,,,,2.0,0.0,Harden,201935.0,,,
