actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
185,PT10M00.00S,2021-11-04T00:15:51.1Z,2,REGULAR,rebound,defensive,[],1628989,,,1610612737,40,32,2021-11-04T00:16:13Z,1780000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,,,,,,Huerter,K. Huerter,184.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
186,PT09M43.00S,2021-11-04T00:16:09.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,16.376478318002626,46.81372549019608,1610612737,40,34,2021-11-04T00:16:19Z,1790000,16.0,101.0,1,left,K. Huerter 10' driving floating Jump Shot (6 PTS),[1628989],1610612737.0,ATL,driving floating,,,,,,10.26,Made,Huerter,K. Huerter,,,,,6.0,,,,,,,,,,,,,,
187,PT09M18.00S,2021-11-04T00:16:33.5Z,2,REGULAR,3pt,Jump Shot,[],1627761,66.96780551905388,38.23529411764706,1610612751,40,34,2021-11-04T00:16:39Z,1800000,-59.0,258.0,1,right,MISS D. Bembry 26' 3PT,[1627761],1610612751.0,BKN,,,,,,,26.46,Missed,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,
188,PT09M15.00S,2021-11-04T00:16:36.5Z,2,REGULAR,rebound,offensive,[],1628975,,,1610612751,40,34,2021-11-04T00:16:39Z,1810000,,,0,,J. Carter REBOUND (Off:1 Def:2),[1628975],1610612751.0,BKN,,,,,,,,,Carter,J. Carter,187.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
189,PT09M14.00S,2021-11-04T00:16:38.3Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1628975,80.76544021024968,75.0,1610612751,40,34,2021-11-04T00:16:58Z,1820000,125.0,128.0,1,right,MISS J. Carter 17' Jump Shot,[1628975],1610612751.0,BKN,,,,,,,17.91,Missed,Carter,J. Carter,,,,,,,,,,,,,,,,,,,
190,PT09M10.00S,2021-11-04T00:16:41.8Z,2,REGULAR,rebound,defensive,[],201568,,,1610612737,40,34,2021-11-04T00:16:41Z,1830000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,,,,,,Gallinari,D. Gallinari,189.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
191,PT09M00.00S,2021-11-04T00:16:51.7Z,2,REGULAR,3pt,Jump Shot,[],203476,28.86005256241787,74.75490196078431,1610612737,40,34,2021-11-04T00:17:00Z,1840000,-124.0,219.0,1,left,MISS G. Dieng 25' 3PT,[203476],1610612737.0,ATL,,,,,,,25.14,Missed,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,
192,PT08M57.00S,2021-11-04T00:16:55.1Z,2,REGULAR,rebound,offensive,[],201568,,,1610612737,40,34,2021-11-04T00:16:55Z,1850000,,,0,,D. Gallinari REBOUND (Off:1 Def:1),[201568],1610612737.0,ATL,,,,,,,,,Gallinari,D. Gallinari,191.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
193,PT08M55.00S,2021-11-04T00:16:57.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],101150,20.581471747700395,9.803921568627452,1610612737,40,34,2021-11-04T00:17:04Z,1860000,201.0,141.0,1,left,MISS L. Williams 24' 3PT,[101150],1610612737.0,ATL,,,,,,,24.55,Missed,Williams,L. Williams,,,,,,,,,,,,,,,,,,,
194,PT08M55.00S,2021-11-04T00:16:57.0Z,2,REGULAR,rebound,defensive,[],200794,,,1610612751,40,34,2021-11-04T00:17:04Z,1870000,,,0,,P. Millsap REBOUND (Off:0 Def:1),[200794],1610612751.0,BKN,,,,,,,,,Millsap,P. Millsap,193.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
195,PT08M45.00S,2021-11-04T00:17:08.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,40,34,2021-11-04T00:17:08Z,1880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT08M45.00S,2021-11-04T00:17:15.5Z,2,REGULAR,substitution,out,[],1627761,,,1610612751,40,34,2021-11-04T00:17:27Z,1890000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,,,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,
197,PT08M45.00S,2021-11-04T00:17:15.5Z,2,REGULAR,substitution,out,[],203476,,,1610612751,40,34,2021-11-04T00:17:27Z,1900000,,,0,,SUB out: G. Dieng,[203476],1610612737.0,ATL,,,,,,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,
198,PT08M45.00S,2021-11-04T00:17:15.5Z,2,REGULAR,substitution,in,[],203925,,,1610612751,40,34,2021-11-04T00:17:27Z,1910000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,,,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,
199,PT08M45.00S,2021-11-04T00:17:15.5Z,2,REGULAR,substitution,in,[],203991,,,1610612751,40,34,2021-11-04T00:17:27Z,1920000,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,,,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,
200,PT08M36.00S,2021-11-04T00:17:40.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200746,81.2910643889619,62.5,1610612751,42,34,2021-11-04T00:17:45Z,1930000,62.0,123.0,1,right,L. Aldridge 13' pullup Jump Shot (10 PTS) (P. Mills 3 AST),"[200746, 201988]",1610612751.0,BKN,pullup,,,,,,13.83,Made,Aldridge,L. Aldridge,,,,,10.0,P. Mills,201988.0,3.0,,,,,,,,,,,
202,PT08M12.00S,2021-11-04T00:18:04.2Z,2,REGULAR,3pt,Jump Shot,[],201568,31.35676741130092,38.970588235294116,1610612737,42,34,2021-11-04T00:18:15Z,1950000,55.0,242.0,1,left,MISS D. Gallinari 24' step back 3PT,[201568],1610612737.0,ATL,step back,,,,,,24.85,Missed,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,
203,PT08M09.00S,2021-11-04T00:18:07.2Z,2,REGULAR,rebound,defensive,[],1628975,,,1610612751,42,34,2021-11-04T00:18:15Z,1960000,,,0,,J. Carter REBOUND (Off:1 Def:3),[1628975],1610612751.0,BKN,,,,,,,,,Carter,J. Carter,202.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
204,PT08M09.00S,2021-11-04T00:18:14.0Z,2,REGULAR,turnover,out-of-bounds,[],1628975,,,1610612751,42,34,2021-11-04T00:18:26Z,1970000,,,0,,J. Carter step out-of-bounds TURNOVER (1 TO),[1628975],1610612751.0,BKN,step,,,,,,,,Carter,J. Carter,,,,,,,,,201639.0,,,,,1.0,,,,,
205,PT08M09.00S,2021-11-04T00:18:17.2Z,2,REGULAR,substitution,out,[],1628975,,,1610612737,42,34,2021-11-04T00:18:25Z,1980000,,,0,,SUB out: J. Carter,[1628975],1610612751.0,BKN,,,,,,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,
206,PT08M09.00S,2021-11-04T00:18:17.2Z,2,REGULAR,substitution,in,[],201935,,,1610612737,42,34,2021-11-04T00:18:25Z,1990000,,,0,,SUB in: J. Harden,[201935],1610612751.0,BKN,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
207,PT08M07.00S,2021-11-04T00:18:39.1Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],101150,6.389618922470433,78.67647058823529,1610612737,42,34,2021-11-04T00:18:44Z,2000000,-143.0,8.0,1,left,MISS L. Williams 14' Jump Shot,[101150],1610612737.0,ATL,,,,,,,14.36,Missed,Williams,L. Williams,,,,,,,,,,,,,,,,,,,
208,PT08M03.00S,2021-11-04T00:18:42.9Z,2,REGULAR,rebound,offensive,[],203991,,,1610612737,42,34,2021-11-04T00:18:42Z,2010000,,,0,,C. Capela REBOUND (Off:3 Def:2),[203991],1610612737.0,ATL,,,,,,,,,Capela,C. Capela,207.0,5.0,2.0,3.0,,,,,,,,,,,,,,,
209,PT08M01.00S,2021-11-04T00:18:44.5Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",101150,3.7614980289093296,96.81372549019608,1610612737,42,34,2021-11-04T00:18:49Z,2020000,-234.0,-17.0,1,left,MISS L. Williams 3PT,[101150],1610612737.0,ATL,,,,,,,23.47,Missed,Williams,L. Williams,,,,,,,,,,,,,,,,,,,
210,PT07M58.00S,2021-11-04T00:18:47.5Z,2,REGULAR,rebound,defensive,[],200794,,,1610612751,42,34,2021-11-04T00:18:49Z,2030000,,,0,,P. Millsap REBOUND (Off:0 Def:2),[200794],1610612751.0,BKN,,,,,,,,,Millsap,P. Millsap,209.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
211,PT07M45.00S,2021-11-04T00:19:01.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200794,88.38699080157687,49.01960784313725,1610612751,42,34,2021-11-04T00:19:06Z,2040000,-5.0,57.0,1,right,MISS P. Millsap driving floating Shot,[200794],1610612751.0,BKN,driving floating,,,,,,5.69,Missed,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,
212,PT07M42.00S,2021-11-04T00:19:04.2Z,2,REGULAR,rebound,defensive,[],201568,,,1610612737,42,34,2021-11-04T00:19:06Z,2050000,,,0,,D. Gallinari REBOUND (Off:1 Def:2),[201568],1610612737.0,ATL,,,,,,,,,Gallinari,D. Gallinari,211.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
213,PT07M38.00S,2021-11-04T00:19:08.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,28.465834428383708,76.22549019607843,1610612737,42,37,2021-11-04T00:19:30Z,2060000,-131.0,215.0,1,left,K. Huerter 25' 3PT  (9 PTS) (C. Reddish 2 AST),"[1628989, 1629629]",1610612737.0,ATL,,,,,,,25.19,Made,Huerter,K. Huerter,,,,,9.0,C. Reddish,1629629.0,2.0,,,,,,,,,,,
215,PT07M23.00S,2021-11-04T00:19:23.3Z,2,REGULAR,3pt,Jump Shot,[],203925,95.3515111695138,96.07843137254902,1610612751,45,37,2021-11-04T00:19:32Z,2080000,230.0,-9.0,1,right,J. Harris 3PT  (9 PTS) (P. Mills 4 AST),"[203925, 201988]",1610612751.0,BKN,,,,,,,23.06,Made,Harris,J. Harris,,,,,9.0,P. Mills,201988.0,4.0,,,,,,,,,,,
217,PT07M12.00S,2021-11-04T00:19:34.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,5.075558475689881,48.03921568627451,1610612737,45,39,2021-11-04T00:19:39Z,2100000,10.0,-5.0,1,left,K. Huerter driving reverse Layup (11 PTS) (L. Williams 2 AST),"[1628989, 101150]",1610612737.0,ATL,driving reverse,,,,,,1.09,Made,Huerter,K. Huerter,,,,,11.0,L. Williams,101150.0,2.0,,,,,,,,,,,
219,PT07M03.00S,2021-11-04T00:19:42.9Z,2,REGULAR,3pt,Jump Shot,[],201988,66.96780551905388,45.09803921568628,1610612751,45,39,2021-11-04T00:19:48Z,2120000,-25.0,258.0,1,right,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,,,,25.92,Missed,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
220,PT07M00.00S,2021-11-04T00:19:45.9Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,45,39,2021-11-04T00:19:48Z,2130000,,,0,,C. Capela REBOUND (Off:3 Def:3),[203991],1610612737.0,ATL,,,,,,,,,Capela,C. Capela,219.0,6.0,3.0,3.0,,,,,,,,,,,,,,,
221,PT06M54.00S,2021-11-04T00:19:52.2Z,2,REGULAR,2pt,Jump Shot,[],201568,12.697109067017081,22.54901960784314,1610612737,45,41,2021-11-04T00:19:56Z,2140000,137.0,67.0,1,left,D. Gallinari 15' Jump Shot (4 PTS) (C. Capela 1 AST),"[201568, 203991]",1610612737.0,ATL,,,,,,,15.27,Made,Gallinari,D. Gallinari,,,,,4.0,C. Capela,203991.0,1.0,,,,,,,,,,,
223,PT06M53.00S,2021-11-04T00:19:58.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,45,41,2021-11-04T00:19:58Z,2160000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M35.00S,2021-11-04T00:23:40.1Z,2,REGULAR,3pt,Jump Shot,[],200746,94.82588699080158,5.637254901960785,1610612751,45,41,2021-11-04T00:23:46Z,2170000,-222.0,-4.0,1,right,MISS L. Aldridge 3PT,[200746],1610612751.0,BKN,,,,,,,22.18,Missed,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
226,PT06M30.00S,2021-11-04T00:23:45.1Z,2,REGULAR,rebound,defensive,[],101150,,,1610612737,45,41,2021-11-04T00:23:46Z,2180000,,,0,,L. Williams REBOUND (Off:0 Def:2),[101150],1610612737.0,ATL,,,,,,,,,Williams,L. Williams,225.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
227,PT06M20.00S,2021-11-04T00:23:54.9Z,2,REGULAR,3pt,Jump Shot,[],1629629,30.56833114323259,28.431372549019606,1610612737,45,41,2021-11-04T00:24:01Z,2190000,108.0,235.0,1,left,MISS C. Reddish 25' step back 3PT,[1629629],1610612737.0,ATL,step back,,,,,,25.84,Missed,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,
228,PT06M13.00S,2021-11-04T00:24:01.9Z,2,REGULAR,rebound,defensive,[],200794,,,1610612751,45,41,2021-11-04T00:24:01Z,2200000,,,0,,P. Millsap REBOUND (Off:0 Def:3),[200794],1610612751.0,BKN,,,,,,,,,Millsap,P. Millsap,227.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
229,PT06M07.00S,2021-11-04T00:24:07.5Z,2,REGULAR,3pt,Jump Shot,[],200794,69.33311432325887,69.11764705882352,1610612751,45,41,2021-11-04T00:24:12Z,2210000,96.0,236.0,1,right,MISS P. Millsap 25' step back 3PT,[200794],1610612751.0,BKN,step back,,,,,,25.44,Missed,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,
230,PT06M04.00S,2021-11-04T00:24:10.5Z,2,REGULAR,rebound,defensive,[],101150,,,1610612737,45,41,2021-11-04T00:24:12Z,2220000,,,0,,L. Williams REBOUND (Off:0 Def:3),[101150],1610612737.0,ATL,,,,,,,,,Williams,L. Williams,229.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
231,PT05M47.00S,2021-11-04T00:24:31.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201568,6.915243101182654,50.0,1610612737,45,41,2021-11-04T00:25:18Z,2230000,0.0,13.0,1,left,MISS D. Gallinari driving Layup - blocked,"[201568, 200794]",1610612737.0,ATL,driving,,,,,,1.25,Missed,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,Millsap,200794.0,
232,PT05M47.00S,2021-11-04T00:24:31.7Z,2,REGULAR,block,,[],200794,,,1610612737,45,41,2021-11-04T00:24:35Z,2240000,,,0,,P. Millsap BLOCK (1 BLK),[200794],1610612751.0,BKN,,,,,,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,
233,PT05M47.00S,2021-11-04T00:24:31.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612751,45,41,2021-11-04T00:25:18Z,2250000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,231.0,,,,,,,,,,,,,,,,,,
234,PT05M47.00S,2021-11-04T00:24:38.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,45,41,2021-11-04T00:24:38Z,2260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT05M47.00S,2021-11-04T00:24:39.4Z,2,REGULAR,substitution,out,[],200746,,,1610612751,45,41,2021-11-04T00:25:07Z,2270000,,,0,,SUB out: L. Aldridge,[200746],1610612751.0,BKN,,,,,,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
236,PT05M47.00S,2021-11-04T00:24:39.4Z,2,REGULAR,substitution,out,[],200794,,,1610612751,45,41,2021-11-04T00:25:07Z,2280000,,,0,,SUB out: P. Millsap,[200794],1610612751.0,BKN,,,,,,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,
238,PT05M47.00S,2021-11-04T00:24:39.4Z,2,REGULAR,substitution,out,[],101150,,,1610612751,45,41,2021-11-04T00:25:07Z,2300000,,,0,,SUB out: L. Williams,[101150],1610612737.0,ATL,,,,,,,,,Williams,L. Williams,,,,,,,,,,,,,,,,,,,
239,PT05M47.00S,2021-11-04T00:24:39.4Z,2,REGULAR,substitution,out,[],1629629,,,1610612751,45,41,2021-11-04T00:25:07Z,2310000,,,0,,SUB out: C. Reddish,[1629629],1610612737.0,ATL,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,
240,PT05M47.00S,2021-11-04T00:24:39.4Z,2,REGULAR,substitution,in,[],201933,,,1610612751,45,41,2021-11-04T00:25:07Z,2320000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,,,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,
241,PT05M47.00S,2021-11-04T00:24:39.4Z,2,REGULAR,substitution,in,[],201142,,,1610612751,45,41,2021-11-04T00:25:07Z,2330000,,,0,,SUB in: K. Durant,[201142],1610612751.0,BKN,,,,,,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
243,PT05M47.00S,2021-11-04T00:24:39.4Z,2,REGULAR,substitution,in,[],1629631,,,1610612751,45,41,2021-11-04T00:25:07Z,2350000,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,,,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,
244,PT05M47.00S,2021-11-04T00:24:39.4Z,2,REGULAR,substitution,in,[],1629027,,,1610612751,45,41,2021-11-04T00:25:07Z,2360000,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,,,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,
245,PT05M38.00S,2021-11-04T00:25:42.3Z,2,REGULAR,3pt,Jump Shot,[],201935,71.82982917214193,75.73529411764706,1610612751,45,41,2021-11-04T00:25:47Z,2370000,129.0,212.0,1,right,MISS J. Harden 24' step back 3PT,[201935],1610612751.0,BKN,step back,,,,,,24.83,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
246,PT05M33.00S,2021-11-04T00:25:47.3Z,2,REGULAR,rebound,defensive,[],1629027,,,1610612737,45,41,2021-11-04T00:25:47Z,2380000,,,0,,T. Young REBOUND (Off:1 Def:2),[1629027],1610612737.0,ATL,,,,,,,,,Young,T. Young,245.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
247,PT05M19.00S,2021-11-04T00:26:04.1Z,2,REGULAR,foul,personal,[],201933,,,1610612737,45,41,2021-11-04T00:26:17Z,2390000,,,0,,B. Griffin personal FOUL (1 PF),"[201933, 1629027]",1610612751.0,BKN,,,,,,,,,Griffin,B. Griffin,,,,,,,,,2005.0,1.0,0.0,Young,1629027.0,,,,,,
249,PT05M19.00S,2021-11-04T00:26:12.2Z,2,REGULAR,substitution,out,[],1628989,,,1610612737,45,41,2021-11-04T00:26:19Z,2410000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,,,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,
250,PT05M19.00S,2021-11-04T00:26:12.2Z,2,REGULAR,substitution,out,[],201568,,,1610612737,45,41,2021-11-04T00:26:19Z,2420000,,,0,,SUB out: D. Gallinari,[201568],1610612737.0,ATL,,,,,,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,
251,PT05M19.00S,2021-11-04T00:26:12.2Z,2,REGULAR,substitution,in,[],203992,,,1610612737,45,41,2021-11-04T00:26:19Z,2430000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,
252,PT05M19.00S,2021-11-04T00:26:12.2Z,2,REGULAR,substitution,in,[],1628381,,,1610612737,45,41,2021-11-04T00:26:19Z,2440000,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,,,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
253,PT05M11.00S,2021-11-04T00:26:29.3Z,2,REGULAR,3pt,Jump Shot,[],203992,3.4986859395532193,95.09803921568627,1610612737,45,44,2021-11-04T00:26:34Z,2450000,-225.0,-20.0,1,left,B. Bogdanovic 3PT  (6 PTS) (T. Young 5 AST),"[203992, 1629027]",1610612737.0,ATL,,,,,,,22.64,Made,Bogdanovic,B. Bogdanovic,,,,,6.0,T. Young,1629027.0,5.0,,,,,,,,,,,
255,PT05M00.00S,2021-11-04T00:26:40.2Z,2,REGULAR,turnover,lost ball,[],201935,,,1610612751,45,44,2021-11-04T00:26:44Z,2470000,,,0,,J. Harden lost ball TURNOVER (2 TO),"[201935, 203991]",1610612751.0,BKN,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,2.0,Capela,203991.0,,,
256,PT05M00.00S,2021-11-04T00:26:40.2Z,2,REGULAR,steal,,[],203991,,,1610612737,45,44,2021-11-04T00:26:42Z,2480000,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,,,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,
257,PT04M41.00S,2021-11-04T00:26:59.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,30.962549277266753,25.735294117647058,1610612737,45,44,2021-11-04T00:27:05Z,2490000,121.0,239.0,1,left,MISS T. Young 26' 3PT,[1629027],1610612737.0,ATL,,,,,,,26.76,Missed,Young,T. Young,,,,,,,,,,,,,,,,,,,
258,PT04M36.00S,2021-11-04T00:27:04.4Z,2,REGULAR,rebound,offensive,[],1629631,,,1610612737,45,44,2021-11-04T00:27:05Z,2500000,,,0,,D. Hunter REBOUND (Off:1 Def:1),[1629631],1610612737.0,ATL,,,,,,,,,Hunter,D. Hunter,257.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
259,PT04M36.00S,2021-11-04T00:27:05.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629631,5.590000152587891,50.0,1610612737,45,46,2021-11-04T00:27:05Z,2510000,0.0,0.0,1,left,D. Hunter tip Layup (8 PTS),[1629631],1610612737.0,ATL,tip,,,,,,0.0,Made,Hunter,D. Hunter,,,,,8.0,,,,,,,,,,,,,,
260,PT04M30.00S,2021-11-04T00:27:14.6Z,2,REGULAR,foul,offensive,[],201988,,,1610612751,45,46,2021-11-04T00:27:33Z,2520000,,,0,,P. Mills offensive FOUL (1 PF),"[201988, 1629631]",1610612751.0,BKN,,,,,,,,,Mills,P. Mills,,,,,,,,,201639.0,1.0,0.0,Hunter,1629631.0,,,,,,
262,PT04M30.00S,2021-11-04T00:27:14.6Z,2,REGULAR,turnover,offensive foul,[],201988,,,1610612751,45,46,2021-11-04T00:27:14Z,2540000,,,0,,P. Mills offensive foul TURNOVER (1 TO),[201988],1610612751.0,BKN,,,,,,,,,Mills,P. Mills,,,,,,,,,201639.0,,,,,1.0,,,,,
263,PT04M30.00S,2021-11-04T00:27:28.8Z,2,REGULAR,substitution,out,[],201988,,,1610612737,45,46,2021-11-04T00:27:34Z,2550000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,,,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
264,PT04M30.00S,2021-11-04T00:27:28.8Z,2,REGULAR,substitution,in,[],1628971,,,1610612737,45,46,2021-11-04T00:27:34Z,2560000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,,,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,
265,PT04M22.00S,2021-11-04T00:27:42.4Z,2,REGULAR,foul,offensive,[],203992,,,1610612737,45,46,2021-11-04T00:27:58Z,2570000,,,0,,B. Bogdanovic offensive FOUL (1 PF),"[203992, 201933]",1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,201638.0,1.0,0.0,Griffin,201933.0,,,,,,
267,PT04M22.00S,2021-11-04T00:27:42.4Z,2,REGULAR,turnover,offensive foul,[],203992,,,1610612737,45,46,2021-11-04T00:27:42Z,2590000,,,0,,B. Bogdanovic offensive foul TURNOVER (3 TO),[203992],1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,201638.0,,,,,3.0,,,,,
268,PT04M04.00S,2021-11-04T00:28:08.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203925,74.45795006570303,84.31372549019608,1610612751,48,46,2021-11-04T00:32:51Z,2600000,172.0,188.0,1,right,J. Harris 25' 3PT  (12 PTS) (K. Durant 2 AST),"[203925, 201142]",1610612751.0,BKN,,,,,,,25.42,Made,Harris,J. Harris,,,,,12.0,K. Durant,201142.0,2.0,,,,,,,,,,,
270,PT04M04.00S,2021-11-04T00:28:34.1Z,2,REGULAR,foul,personal,['1freethrow'],1628381,,,1610612737,48,46,2021-11-04T00:29:36Z,2620000,,,0,,J. Collins away-from-play personal FOUL (1 PF) (Griffin 1 FT),"[1628381, 201933]",1610612737.0,ATL,away-from-play,,,,,,,,Collins,J. Collins,,,,,,,,,2005.0,1.0,0.0,Griffin,201933.0,,,,,,
273,PT04M04.00S,2021-11-04T00:28:34.2Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],201933,,,1610612751,49,46,2021-11-04T00:35:53Z,2650000,,,0,,B. Griffin away-from-play Free Throw 1 of 1 (1 PTS),[201933],1610612751.0,BKN,away-from-play,,,,,,,Made,Griffin,B. Griffin,,,,,1.0,,,,,,,,,,,,,,
274,PT03M45.00S,2021-11-04T00:29:12.8Z,2,REGULAR,turnover,bad pass,[],1629027,,,1610612737,49,46,2021-11-04T00:29:22Z,2660000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 203925]",1610612737.0,ATL,,,,,,,,,Young,T. Young,,,,,,,,,,,,,,1.0,Harris,203925.0,,,
275,PT03M45.00S,2021-11-04T00:29:12.8Z,2,REGULAR,steal,,[],203925,,,1610612751,49,46,2021-11-04T00:29:15Z,2670000,,,0,,J. Harris STEAL (2 STL),[203925],1610612751.0,BKN,,,,,,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,
276,PT03M34.00S,2021-11-04T00:29:23.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203925,71.69842312746385,22.058823529411764,1610612751,49,46,2021-11-04T00:29:29Z,2680000,-140.0,214.0,1,right,MISS J. Harris 25' 3PT,[203925],1610612751.0,BKN,,,,,,,25.51,Missed,Harris,J. Harris,,,,,,,,,,,,,,,,,,,
277,PT03M30.00S,2021-11-04T00:29:27.9Z,2,REGULAR,rebound,offensive,[],201933,,,1610612751,49,46,2021-11-04T00:29:29Z,2690000,,,0,,B. Griffin REBOUND (Off:3 Def:1),[201933],1610612751.0,BKN,,,,,,,,,Griffin,B. Griffin,276.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
