actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
77,PT05M46.00S,2021-11-04T02:21:01.4Z,1,REGULAR,3pt,Jump Shot,[],202066,28.86005256241787,21.568627450980394,1610612740,10,16,2021-11-04T02:21:08Z,770000,142.0,219.0,1,left,MISS G. Temple 26' 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,26.09,Missed,,,,,,,,,,,,,,,,
78,PT05M42.00S,2021-11-04T02:21:05.4Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612758,10,16,2021-11-04T02:21:08Z,780000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,
79,PT05M34.00S,2021-11-04T02:21:13.7Z,1,REGULAR,3pt,Jump Shot,[],1627741,67.09921156373193,49.754901960784316,1610612758,13,16,2021-11-04T02:21:24Z,790000,-1.0,257.0,1,right,B. Hield 25' 3PT step back (3 PTS) (A. Len 1 AST),"[1627741, 203458]",1610612758.0,SAC,step back,,,Hield,B. Hield,,,,,,,,25.68,Made,,,,,3.0,A. Len,203458.0,1.0,,,,,,,,
81,PT05M18.00S,2021-11-04T02:21:34.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,13,16,2021-11-04T02:21:34Z,810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M18.00S,2021-11-04T02:21:34.9Z,1,REGULAR,substitution,in,[],1630184,,,1610612740,13,16,2021-11-04T02:21:38Z,830000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M18.00S,2021-11-04T02:21:34.9Z,1,REGULAR,substitution,out,[],202066,,,1610612740,13,16,2021-11-04T02:22:44Z,835000,,,0,,SUB out: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M13.00S,2021-11-04T02:21:54.6Z,1,REGULAR,3pt,Jump Shot,[],1629638,23.73521681997372,9.068627450980392,1610612740,13,16,2021-11-04T02:22:07Z,860000,205.0,171.0,1,left,MISS N. Alexander-Walker 26' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,26.65,Missed,,,,,,,,,,,,,,,,
87,PT05M09.00S,2021-11-04T02:21:58.6Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,13,16,2021-11-04T02:22:07Z,870000,,,0,,A. Len REBOUND (Off:0 Def:1),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,
88,PT05M03.00S,2021-11-04T02:22:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,92.85479632063075,46.32352941176471,1610612758,13,16,2021-11-04T02:22:11Z,880000,-18.0,15.0,1,right,MISS B. Hield driving Layup - blocked,"[1627741, 1629637]",1610612758.0,SAC,driving,,,Hield,B. Hield,,,,,,,,2.36,Missed,,,,,,,,,Hayes,1629637.0,,,,,,
89,PT05M03.00S,2021-11-04T02:22:03.5Z,1,REGULAR,block,,[],1629637,,,1610612758,13,16,2021-11-04T02:22:06Z,890000,,,0,,J. Hayes BLOCK (1 BLK),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M03.00S,2021-11-04T02:22:03.5Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,13,16,2021-11-04T02:22:11Z,900000,,,0,,H. Barnes REBOUND (Off:1 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,88.0,2.0,1.0,1.0,,,,,,,,,,,,
91,PT05M03.00S,2021-11-04T02:22:10.5Z,1,REGULAR,foul,personal,['2freethrow'],1628984,,,1610612758,13,16,2021-11-04T02:22:20Z,910000,,,0,,D. Graham shooting personal FOUL (1 PF) (Barnes 2 FT),"[1628984, 203084]",1610612740.0,NOP,shooting,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,1146.0,1.0,0.0,Barnes,203084.0,
93,PT05M03.00S,2021-11-04T02:22:31.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203084,,,1610612758,14,16,2021-11-04T02:22:31Z,930000,,,0,,H. Barnes Free Throw 1 of 2 (4 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
95,PT05M03.00S,2021-11-04T02:22:47.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203084,,,1610612758,15,16,2021-11-04T02:22:47Z,940000,,,0,,H. Barnes Free Throw 2 of 2 (5 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,
