actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
184,PT10M32.00S,2021-12-09T03:41:08.8Z,2,REGULAR,substitution,in,[],1626158,,,1610612753,41,36,2021-12-09T03:41:12Z,1800000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT10M32.00S,2021-12-09T03:41:24.6Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630181,,,1610612753,41,37,2021-12-09T03:41:24Z,1810000,,,0,,R. Hampton Free Throw 2 of 2 (1 PTS),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
186,PT10M17.00S,2021-12-09T03:41:41.2Z,2,REGULAR,3pt,Jump Shot,[],1627741,65.1281208935611,49.01960784313725,1610612758,41,37,2021-12-09T03:41:52Z,1820000,-5.0,275.0,1,right,MISS B. Hield 27' pullup 3PT,[1627741],1610612758.0,SAC,pullup,,,Hield,B. Hield,,,,,27.53,Missed,,,,,,,,,,,,,,,,,,,
187,PT10M13.00S,2021-12-09T03:41:45.2Z,2,REGULAR,rebound,defensive,[],1630532,,,1610612753,41,37,2021-12-09T03:41:52Z,1830000,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,186.0,2.0,2.0,0.0,,,,,,,
188,PT09M57.00S,2021-12-09T03:42:02.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630181,10.068988173455978,39.46078431372549,1610612753,41,37,2021-12-09T03:42:11Z,1840000,53.0,42.0,1,left,MISS R. Hampton 6' driving Layup,[1630181],1610612753.0,ORL,driving,,,Hampton,R. Hampton,,,,,6.75,Missed,,,,,,,,,,,,,,,,,,,
189,PT09M54.00S,2021-12-09T03:42:04.5Z,2,REGULAR,rebound,offensive,[],201577,,,1610612753,41,37,2021-12-09T03:42:04Z,1850000,,,0,,R. Lopez REBOUND (Off:2 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,188.0,2.0,0.0,2.0,,,,,,,
190,PT09M53.00S,2021-12-09T03:42:06.4Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201577,6.652431011826544,52.450980392156865,1610612753,41,39,2021-12-09T03:42:13Z,1860000,-12.0,10.0,1,left,R. Lopez Hook (6 PTS),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,1.59,Made,6.0,,,,,,,,,,,,,,,,,,
191,PT09M41.00S,2021-12-09T03:42:16.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,79.97700394218134,50.245098039215684,1610612758,43,39,2021-12-09T03:42:24Z,1870000,1.0,136.0,1,right,R. Holmes 13' Jump Shot (2 PTS) (T. Haliburton 6 AST),"[1626158, 1630169]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,13.57,Made,2.0,,,,T. Haliburton,1630169.0,6.0,,,,,,,,,,,,
193,PT09M23.00S,2021-12-09T03:42:35.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629643,7.046649145860711,61.76470588235294,1610612753,43,39,2021-12-09T03:47:26Z,1890000,-59.0,14.0,1,left,MISS C. Okeke 6' driving floating bank Shot,[1629643],1610612753.0,ORL,driving floating bank,,,Okeke,C. Okeke,,,,,6.04,Missed,,,,,,,,,,,,,,,,,,,
194,PT09M20.00S,2021-12-09T03:42:38.9Z,2,REGULAR,rebound,defensive,[],1628963,,,1610612758,43,39,2021-12-09T03:42:43Z,1900000,,,0,,M. Bagley III REBOUND (Off:1 Def:2),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,193.0,3.0,2.0,1.0,,,,,,,
195,PT09M07.00S,2021-12-09T03:42:51.4Z,2,REGULAR,3pt,Jump Shot,[],1627741,76.82325886990802,10.53921568627451,1610612758,43,39,2021-12-09T03:42:57Z,1910000,-197.0,165.0,1,right,MISS B. Hield 25' 3PT,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,,
196,PT09M02.00S,2021-12-09T03:42:56.4Z,2,REGULAR,rebound,defensive,[],1630532,,,1610612753,43,39,2021-12-09T03:52:21Z,1920000,,,0,,F. Wagner REBOUND (Off:0 Def:3),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,195.0,3.0,3.0,0.0,,,,,,,
198,PT08M49.00S,2021-12-09T03:43:11.6Z,2,REGULAR,foul,personal,['2freethrow'],1628963,,,1610612753,43,39,2021-12-09T03:43:25Z,1930000,,,0,,M. Bagley III shooting personal FOUL (1 PF) (Lopez 2 FT),"[1628963, 201577]",1610612758.0,SAC,shooting,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,202037.0,,,,,1.0,0.0,Lopez,201577.0,,,
200,PT08M49.00S,2021-12-09T03:43:33.2Z,2,REGULAR,freethrow,1 of 2,[],201577,,,1610612753,43,40,2021-12-09T03:43:33Z,1950000,,,0,,R. Lopez Free Throw 1 of 2 (7 PTS),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
201,PT08M49.00S,2021-12-09T03:43:38.1Z,2,REGULAR,substitution,out,[],1627741,,,1610612753,43,40,2021-12-09T03:43:40Z,1960000,,,0,,SUB out: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M49.00S,2021-12-09T03:43:38.1Z,2,REGULAR,substitution,in,[],1629056,,,1610612753,43,40,2021-12-09T03:43:40Z,1970000,,,0,,SUB in: T. Davis,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M49.00S,2021-12-09T03:43:33.2Z,2,REGULAR,freethrow,2 of 2,[],201577,,,1610612753,43,40,2021-12-09T03:43:53Z,1980000,,,0,,MISS R. Lopez Free Throw 2 of 2,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,Missed,,,,,,,,,,,,,,,,,,,
204,PT08M47.00S,2021-12-09T03:43:35.2Z,2,REGULAR,rebound,defensive,[],1630558,,,1610612758,43,40,2021-12-09T03:43:53Z,1990000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,203.0,1.0,1.0,0.0,,,,,,,
205,PT08M40.00S,2021-12-09T03:43:59.6Z,2,REGULAR,2pt,Jump Shot,[],1630558,76.5604467805519,31.862745098039213,1610612758,45,40,2021-12-09T03:44:04Z,2000000,-91.0,168.0,1,right,D. Mitchell 19' pullup Jump Shot (6 PTS),[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,19.07,Made,6.0,,,,,,,,,,,,,,,,,,
206,PT08M22.00S,2021-12-09T03:44:17.1Z,2,REGULAR,3pt,Jump Shot,[],1629643,31.09395532194481,65.93137254901961,1610612753,45,40,2021-12-09T03:44:24Z,2010000,-80.0,240.0,1,left,MISS C. Okeke 25' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
207,PT08M18.00S,2021-12-09T03:44:21.1Z,2,REGULAR,rebound,defensive,[],1629056,,,1610612758,45,40,2021-12-09T03:44:24Z,2020000,,,0,,T. Davis REBOUND (Off:0 Def:2),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,206.0,2.0,2.0,0.0,,,,,,,
208,PT08M09.00S,2021-12-09T03:44:30.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,80.89684625492772,50.0,1610612758,45,40,2021-12-09T03:44:54Z,2030000,0.0,127.0,1,right,MISS R. Holmes 12' Jump Shot,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,12.71,Missed,,,,,,,,,,,,,,,,,,,
209,PT08M08.00S,2021-12-09T03:44:31.9Z,2,REGULAR,rebound,offensive,[],1626158,,,1610612758,45,40,2021-12-09T03:44:54Z,2040000,,,0,,R. Holmes REBOUND (Off:1 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,208.0,3.0,2.0,1.0,,,,,,,
210,PT08M08.00S,2021-12-09T03:44:52.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626158,94.40999984741211,50.0,1610612758,47,40,2021-12-09T03:44:52Z,2050000,0.0,0.0,1,right,R. Holmes tip DUNK (4 PTS),[1626158],1610612758.0,SAC,tip,,,Holmes,R. Holmes,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
211,PT08M08.00S,2021-12-09T03:44:55.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,47,40,2021-12-09T03:44:56Z,2060000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M08.00S,2021-12-09T03:47:03.9Z,2,REGULAR,substitution,out,[],1629643,,,1610612753,47,40,2021-12-09T03:47:29Z,2080000,,,0,,SUB out: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M08.00S,2021-12-09T03:47:03.9Z,2,REGULAR,substitution,out,[],1630181,,,1610612753,47,40,2021-12-09T03:47:29Z,2090000,,,0,,SUB out: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M08.00S,2021-12-09T03:47:03.9Z,2,REGULAR,substitution,out,[],1630532,,,1610612753,47,40,2021-12-09T03:47:29Z,2100000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT08M08.00S,2021-12-09T03:47:03.9Z,2,REGULAR,substitution,out,[],201577,,,1610612753,47,40,2021-12-09T03:47:29Z,2110000,,,0,,SUB out: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M08.00S,2021-12-09T03:47:03.9Z,2,REGULAR,substitution,in,[],1628976,,,1610612753,47,40,2021-12-09T03:47:29Z,2130000,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M08.00S,2021-12-09T03:47:03.9Z,2,REGULAR,substitution,in,[],203914,,,1610612753,47,40,2021-12-09T03:47:29Z,2140000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M08.00S,2021-12-09T03:47:03.9Z,2,REGULAR,substitution,in,[],1630175,,,1610612753,47,40,2021-12-09T03:47:29Z,2150000,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M08.00S,2021-12-09T03:47:03.9Z,2,REGULAR,substitution,in,[],1628964,,,1610612753,47,40,2021-12-09T03:47:29Z,2160000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M49.00S,2021-12-09T03:47:49.2Z,2,REGULAR,3pt,Jump Shot,[],1630175,29.38567674113009,20.588235294117645,1610612753,47,43,2021-12-09T03:48:06Z,2190000,147.0,224.0,1,left,C. Anthony 26' 3PT  (11 PTS) (W. Carter Jr. 3 AST),"[1630175, 1628976]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,26.77,Made,11.0,,,,W. Carter Jr.,1628976.0,3.0,,,,,,,,,,,,
226,PT07M34.00S,2021-12-09T03:48:04.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628963,85.10183968462549,49.01960784313725,1610612758,47,43,2021-12-09T03:48:09Z,2210000,-5.0,88.0,1,right,MISS M. Bagley III 8' Hook,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,8.76,Missed,,,,,,,,,,,,,,,,,,,
227,PT07M34.00S,2021-12-09T03:48:04.2Z,2,REGULAR,rebound,defensive,[],1628976,,,1610612753,47,43,2021-12-09T03:48:09Z,2220000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:4),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,226.0,4.0,4.0,0.0,,,,,,,
228,PT07M25.00S,2021-12-09T03:48:14.9Z,2,REGULAR,turnover,out-of-bounds,[],1628976,,,1610612753,47,43,2021-12-09T03:48:24Z,2230000,,,0,,W. Carter Jr. bad pass out-of-bounds TURNOVER (1 TO),[1628976],1610612753.0,ORL,bad pass,,,Carter Jr.,W. Carter Jr.,,,,,,,,1.0,,,,,,1627529.0,,,,,,,,,,,
229,PT07M17.00S,2021-12-09T03:48:26.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630558,79.31997371879106,69.11764705882352,1610612758,49,43,2021-12-09T03:48:32Z,2240000,96.0,142.0,1,right,D. Mitchell 17' pullup Jump Shot (8 PTS),[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,17.11,Made,8.0,,,,,,,,,,,,,,,,,,
230,PT06M55.00S,2021-12-09T03:48:47.6Z,2,REGULAR,3pt,Jump Shot,[],1628976,32.276609724047304,42.8921568627451,1610612753,49,43,2021-12-09T03:48:53Z,2250000,36.0,251.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,,
231,PT06M51.00S,2021-12-09T03:48:51.6Z,2,REGULAR,rebound,defensive,[],1629056,,,1610612758,49,43,2021-12-09T03:48:53Z,2260000,,,0,,T. Davis REBOUND (Off:0 Def:3),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,230.0,3.0,3.0,0.0,,,,,,,
232,PT06M35.00S,2021-12-09T03:49:08.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,81.42247043363994,55.392156862745104,1610612758,49,43,2021-12-09T03:49:16Z,2270000,27.0,122.0,1,right,MISS T. Haliburton 12' floating Shot,[1630169],1610612758.0,SAC,floating,,,Haliburton,T. Haliburton,,,,,12.5,Missed,,,,,,,,,,,,,,,,,,,
233,PT06M34.00S,2021-12-09T03:49:12.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612758,49,43,2021-12-09T03:49:12Z,2280000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,232.0,,,,,,,,,,
234,PT06M34.00S,2021-12-09T03:49:13.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,49,43,2021-12-09T03:49:13Z,2290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M34.00S,2021-12-09T03:49:14.5Z,2,REGULAR,substitution,out,[],1628963,,,1610612758,49,43,2021-12-09T03:49:30Z,2300000,,,0,,SUB out: M. Bagley III,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M34.00S,2021-12-09T03:49:14.5Z,2,REGULAR,substitution,out,[],1630558,,,1610612758,49,43,2021-12-09T03:49:30Z,2310000,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M34.00S,2021-12-09T03:49:14.5Z,2,REGULAR,substitution,in,[],203084,,,1610612758,49,43,2021-12-09T03:49:30Z,2320000,,,0,,SUB in: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M34.00S,2021-12-09T03:49:14.5Z,2,REGULAR,substitution,in,[],1628368,,,1610612758,49,43,2021-12-09T03:49:30Z,2330000,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M27.00S,2021-12-09T03:49:42.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629056,93.11760840998686,46.07843137254902,1610612758,49,43,2021-12-09T03:49:49Z,2340000,-20.0,12.0,1,right,MISS T. Davis driving reverse Layup,[1629056],1610612758.0,SAC,driving reverse,,,Davis,T. Davis,,,,,2.31,Missed,,,,,,,,,,,,,,,,,,,
240,PT06M25.00S,2021-12-09T03:49:44.8Z,2,REGULAR,rebound,defensive,[],1630175,,,1610612753,49,43,2021-12-09T03:49:49Z,2350000,,,0,,C. Anthony REBOUND (Off:0 Def:3),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,239.0,3.0,3.0,0.0,,,,,,,
241,PT06M22.00S,2021-12-09T03:49:53.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,49,43,2021-12-09T03:49:53Z,2360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M11.00S,2021-12-09T03:50:15.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,11.383048620236531,37.254901960784316,1610612753,49,43,2021-12-09T03:50:23Z,2370000,64.0,55.0,1,left,MISS C. Anthony 8' driving floating bank Shot,[1630175],1610612753.0,ORL,driving floating bank,,,Anthony,C. Anthony,,,,,8.38,Missed,,,,,,,,,,,,,,,,,,,
243,PT06M09.00S,2021-12-09T03:50:17.3Z,2,REGULAR,rebound,defensive,[],203084,,,1610612758,49,43,2021-12-09T03:50:23Z,2380000,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,242.0,2.0,2.0,0.0,,,,,,,
244,PT05M58.00S,2021-12-09T03:50:28.9Z,2,REGULAR,3pt,Jump Shot,[],1629056,67.09921156373193,52.450980392156865,1610612758,49,43,2021-12-09T03:50:42Z,2390000,12.0,257.0,1,right,MISS T. Davis 25' 3PT,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,,
245,PT05M55.00S,2021-12-09T03:50:31.9Z,2,REGULAR,rebound,offensive,[],203084,,,1610612758,49,43,2021-12-09T03:50:42Z,2400000,,,0,,H. Barnes REBOUND (Off:1 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,244.0,3.0,2.0,1.0,,,,,,,
246,PT05M52.00S,2021-12-09T03:50:36.5Z,2,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612758,49,43,2021-12-09T03:51:35Z,2410000,,,0,,W. Carter Jr. shooting personal FOUL (2 PF) (Holmes 2 FT),"[1628976, 1626158]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,1627529.0,,,,,2.0,0.0,Holmes,1626158.0,,,
248,PT05M52.00S,2021-12-09T03:52:00.5Z,2,REGULAR,instantreplay,request,[],0,,,1610612758,49,43,2021-12-09T03:54:10Z,2430000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,202049.0,,,,,,,,,,,Common Foul Upheld
249,PT05M52.00S,2021-12-09T03:54:56.0Z,2,REGULAR,foul,technical,['1freethrow'],1628964,,,1610612758,49,43,2021-12-09T03:55:06Z,2440000,,,0,,M. Bamba technical FOUL (1 Tech),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,202049.0,,,,,1.0,1.0,,,,,
250,PT05M52.00S,2021-12-09T03:55:07.5Z,2,REGULAR,freethrow,1 of 1,[],1630169,,,1610612758,50,43,2021-12-09T03:55:07Z,2450000,,,0,,T. Haliburton technical Free Throw 1 of 1 (4 PTS),[1630169],1610612758.0,SAC,technical,,,Haliburton,T. Haliburton,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
251,PT05M52.00S,2021-12-09T03:55:13.7Z,2,REGULAR,substitution,out,[],1626158,,,1610612758,50,43,2021-12-09T03:55:22Z,2460000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M52.00S,2021-12-09T03:55:13.7Z,2,REGULAR,substitution,in,[],202684,,,1610612758,50,43,2021-12-09T03:55:22Z,2470000,,,0,,SUB in: T. Thompson,[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M52.00S,2021-12-09T03:55:49.0Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1629056,,,1610612758,51,43,2021-12-09T03:55:49Z,2480000,,,0,,T. Davis Free Throw 1 of 2 (3 PTS),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
254,PT05M52.00S,2021-12-09T03:56:09.8Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1629056,,,1610612758,52,43,2021-12-09T03:56:09Z,2490000,,,0,,T. Davis Free Throw 2 of 2 (4 PTS),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
255,PT05M38.00S,2021-12-09T03:56:26.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203914,5.863994743758213,44.11764705882353,1610612753,52,45,2021-12-09T03:56:34Z,2500000,29.0,3.0,1,left,G. Harris driving Layup (7 PTS) (W. Carter Jr. 4 AST),"[203914, 1628976]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,2.95,Made,7.0,,,,W. Carter Jr.,1628976.0,4.0,,,,,,,,,,,,
256,PT05M22.00S,2021-12-09T03:56:42.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,84.70762155059133,49.50980392156863,1610612758,52,45,2021-12-09T03:56:48Z,2510000,-2.0,91.0,1,right,MISS T. Thompson 9' floating Shot,[202684],1610612758.0,SAC,floating,,,Thompson,T. Thompson,,,,,9.12,Missed,,,,,,,,,,,,,,,,,,,
257,PT05M20.00S,2021-12-09T03:56:45.3Z,2,REGULAR,rebound,offensive,[],202684,,,1610612758,52,45,2021-12-09T03:56:45Z,2520000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,256.0,1.0,0.0,1.0,,,,,,,
258,PT05M18.00S,2021-12-09T03:56:46.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,92.59198423127464,48.77450980392157,1610612758,54,45,2021-12-09T03:59:54Z,2530000,-6.0,17.0,1,right,T. Thompson putback Layup (2 PTS),[202684],1610612758.0,SAC,putback,,,Thompson,T. Thompson,,,,,1.82,Made,2.0,,,,,,,,,,,,,,,,,,
259,PT05M04.00S,2021-12-09T03:57:01.1Z,2,REGULAR,3pt,Jump Shot,[],1630175,23.47240473061761,84.55882352941177,1610612753,54,48,2021-12-09T03:57:06Z,2540000,-173.0,168.0,1,left,C. Anthony 24' 3PT  (14 PTS) (W. Carter Jr. 5 AST),"[1630175, 1628976]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,24.11,Made,14.0,,,,W. Carter Jr.,1628976.0,5.0,,,,,,,,,,,,
261,PT04M51.00S,2021-12-09T03:57:13.7Z,2,REGULAR,3pt,Jump Shot,[],1630169,77.4802890932983,88.23529411764706,1610612758,57,48,2021-12-09T03:57:19Z,2560000,191.0,159.0,1,right,T. Haliburton 24' 3PT  (7 PTS) (T. Davis 1 AST),"[1630169, 1629056]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,24.88,Made,7.0,,,,T. Davis,1629056.0,1.0,,,,,,,,,,,,
263,PT04M33.00S,2021-12-09T03:57:30.9Z,2,REGULAR,3pt,Jump Shot,[],203914,5.863994743758213,95.58823529411765,1610612753,57,51,2021-12-09T03:57:36Z,2580000,-228.0,3.0,1,left,G. Harris 3PT  (10 PTS) (T. Ross 1 AST),"[203914, 203082]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,22.79,Made,10.0,,,,T. Ross,203082.0,1.0,,,,,,,,,,,,
265,PT04M18.00S,2021-12-09T03:57:46.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202684,92.19776609724047,46.568627450980394,1610612758,57,51,2021-12-09T03:57:50Z,2600000,-17.0,21.0,1,right,MISS T. Thompson Layup - blocked,"[202684, 1628964]",1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,2.7,Missed,,,,,,,,,,,,,,,,,Bamba,1628964.0,
266,PT04M18.00S,2021-12-09T03:57:46.5Z,2,REGULAR,block,,[],1628964,,,1610612758,57,51,2021-12-09T03:57:49Z,2610000,,,0,,M. Bamba BLOCK (2 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT04M14.00S,2021-12-09T03:57:50.5Z,2,REGULAR,rebound,offensive,[],202684,,,1610612758,57,51,2021-12-09T03:57:50Z,2620000,,,0,,T. Thompson REBOUND (Off:2 Def:0),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,265.0,2.0,0.0,2.0,,,,,,,
268,PT04M12.00S,2021-12-09T03:57:52.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203084,66.3107752956636,49.754901960784316,1610612758,57,51,2021-12-09T03:57:56Z,2630000,-1.0,264.0,1,right,MISS H. Barnes 26' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,26.42,Missed,,,,,,,,,,,,,,,,,,,
269,PT04M10.00S,2021-12-09T03:57:54.3Z,2,REGULAR,rebound,defensive,[],1628964,,,1610612753,57,51,2021-12-09T03:57:56Z,2640000,,,0,,M. Bamba REBOUND (Off:2 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,268.0,3.0,1.0,2.0,,,,,,,
270,PT03M58.00S,2021-12-09T03:58:06.5Z,2,REGULAR,2pt,Jump Shot,[],203914,23.078186596583443,60.29411764705882,1610612753,57,53,2021-12-09T03:58:11Z,2650000,-51.0,164.0,1,left,G. Harris 17' pullup Jump Shot (12 PTS) (C. Anthony 2 AST),"[203914, 1630175]",1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,17.23,Made,12.0,,,,C. Anthony,1630175.0,2.0,,,,,,,,,,,,
