actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
173,PT08M55.00S,2021-11-21T03:40:57.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,80.1084099868594,45.09803921568628,1610612758,34,33,2021-11-21T03:41:03Z,1720000,-25.0,134.0,1,right,R. Holmes 13' Jump Shot (7 PTS) (C. Metu 1 AST),"[1626158, 1629002]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,13.67,Made,,,,,,,7.0,C. Metu,1629002.0,1.0,,,,,,,,,
175,PT08M43.00S,2021-11-21T03:41:09.0Z,2,REGULAR,turnover,lost ball,[],203903,,,1610612762,34,33,2021-11-21T03:41:20Z,1740000,,,0,,J. Clarkson lost ball TURNOVER (1 TO),"[203903, 1630169]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,1.0,Haliburton,1630169.0,
176,PT08M43.00S,2021-11-21T03:41:09.0Z,2,REGULAR,steal,,[],1630169,,,1610612758,34,33,2021-11-21T03:41:12Z,1750000,,,0,,T. Haliburton STEAL (2 STL),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT08M23.00S,2021-11-21T03:41:29.6Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630169,76.42904073587385,34.31372549019608,1610612758,34,33,2021-11-21T03:41:37Z,1760000,-78.0,169.0,1,right,MISS T. Haliburton 18' pullup Shot,[1630169],1610612758.0,SAC,pullup,,,Haliburton,T. Haliburton,,,,,18.64,Missed,,,,,,,,,,,,,,,,,,,
178,PT08M20.00S,2021-11-21T03:41:32.6Z,2,REGULAR,rebound,defensive,[],200752,,,1610612762,34,33,2021-11-21T03:41:37Z,1770000,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,177.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
179,PT08M11.00S,2021-11-21T03:41:41.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,18.2161629434954,49.01960784313725,1610612762,34,35,2021-11-21T03:41:48Z,1780000,5.0,119.0,1,left,R. Gobert 11' Jump Shot (4 PTS) (R. Gay 1 AST),"[203497, 200752]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,11.88,Made,,,,,,,4.0,R. Gay,200752.0,1.0,,,,,,,,,
181,PT07M57.00S,2021-11-21T03:41:55.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,90.62089356110381,49.50980392156863,1610612758,36,35,2021-11-21T03:47:37Z,1800000,-2.0,36.0,1,right,T. Haliburton driving floating Jump Shot (4 PTS),[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,3.58,Made,,,,,,,4.0,,,,,,,,,,,,
182,PT07M45.00S,2021-11-21T03:42:07.2Z,2,REGULAR,3pt,Jump Shot,[],204060,24.917871222076215,13.480392156862745,1610612762,36,38,2021-11-21T03:48:29Z,1810000,183.0,182.0,1,left,J. Ingles 25' 3PT pullup (6 PTS),[204060],1610612762.0,UTA,pullup,,,Ingles,J. Ingles,,,,,25.76,Made,,,,,,,6.0,,,,,,,,,,,,
183,PT07M43.00S,2021-11-21T03:42:16.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,36,38,2021-11-21T03:42:16Z,1820000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,out,[],203090,,,1610612758,36,38,2021-11-21T03:45:08Z,1830000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,out,[],1630558,,,1610612758,36,38,2021-11-21T03:45:08Z,1840000,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,out,[],1626158,,,1610612758,36,38,2021-11-21T03:45:08Z,1850000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,out,[],203497,,,1610612758,36,38,2021-11-21T03:45:08Z,1860000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,out,[],1630235,,,1610612758,36,38,2021-11-21T03:45:08Z,1870000,,,0,,SUB out: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,in,[],1628368,,,1610612758,36,38,2021-11-21T03:45:08Z,1880000,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,in,[],1627741,,,1610612758,36,38,2021-11-21T03:45:08Z,1890000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,in,[],203458,,,1610612758,36,38,2021-11-21T03:45:08Z,1900000,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,in,[],1628378,,,1610612758,36,38,2021-11-21T03:45:08Z,1910000,,,0,,SUB in: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT07M43.00S,2021-11-21T03:42:22.3Z,2,REGULAR,substitution,in,[],202355,,,1610612758,36,38,2021-11-21T03:45:08Z,1920000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT07M33.00S,2021-11-21T03:45:24.5Z,2,REGULAR,3pt,Jump Shot,[],1627741,66.83639947437582,43.627450980392155,1610612758,36,38,2021-11-21T03:45:32Z,1930000,-32.0,259.0,1,right,MISS B. Hield 26' 3PT,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
195,PT07M28.00S,2021-11-21T03:45:29.5Z,2,REGULAR,rebound,defensive,[],202355,,,1610612762,36,38,2021-11-21T03:45:32Z,1940000,,,0,,H. Whiteside REBOUND (Off:0 Def:4),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,194.0,,,4.0,4.0,0.0,,,,,,,,,,,,,
196,PT07M16.00S,2021-11-21T03:45:40.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202355,10.85742444152431,49.754901960784316,1610612762,36,38,2021-11-21T03:50:05Z,1950000,1.0,50.0,1,left,MISS H. Whiteside Layup,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,4.96,Missed,,,,,,,,,,,,,,,,,,,
197,PT07M14.00S,2021-11-21T03:45:42.6Z,2,REGULAR,rebound,defensive,[],203458,,,1610612758,36,38,2021-11-21T03:45:47Z,1960000,,,0,,A. Len REBOUND (Off:0 Def:5),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,196.0,,,5.0,5.0,0.0,,,,,,,,,,,,,
198,PT07M09.00S,2021-11-21T03:45:48.2Z,2,REGULAR,2pt,Jump Shot,[],1628368,77.21747700394218,58.57843137254902,1610612758,36,38,2021-11-21T03:45:56Z,1970000,43.0,162.0,1,right,MISS D. Fox 16' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,16.73,Missed,,,,,,,,,,,,,,,,,,,
199,PT07M05.00S,2021-11-21T03:45:52.2Z,2,REGULAR,rebound,defensive,[],200752,,,1610612762,36,38,2021-11-21T03:45:56Z,1980000,,,0,,R. Gay REBOUND (Off:0 Def:2),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,198.0,,,2.0,2.0,0.0,,,,,,,,,,,,,
200,PT06M54.00S,2021-11-21T03:46:08.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,36,38,2021-11-21T03:46:08Z,1990000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT06M54.00S,2021-11-21T03:46:11.2Z,2,REGULAR,substitution,out,[],204060,,,1610612762,36,38,2021-11-21T03:46:26Z,2000000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT06M54.00S,2021-11-21T03:46:11.2Z,2,REGULAR,substitution,out,[],200752,,,1610612762,36,38,2021-11-21T03:46:26Z,2010000,,,0,,SUB out: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT06M54.00S,2021-11-21T03:46:11.2Z,2,REGULAR,substitution,in,[],202711,,,1610612762,36,38,2021-11-21T03:46:26Z,2020000,,,0,,SUB in: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT06M54.00S,2021-11-21T03:46:11.2Z,2,REGULAR,substitution,in,[],1626220,,,1610612762,36,38,2021-11-21T03:46:26Z,2030000,,,0,,SUB in: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT06M43.00S,2021-11-21T03:46:41.0Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612762,36,38,2021-11-21T03:46:50Z,2040000,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,1628159.0,,,,,,,,
206,PT06M33.00S,2021-11-21T03:47:02.4Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629002,90.75229960578186,29.65686274509804,1610612758,36,38,2021-11-21T03:51:41Z,2050000,-102.0,34.0,1,right,MISS C. Metu 10' driving floating Shot,[1629002],1610612758.0,SAC,driving floating,,,Metu,C. Metu,,,,,10.74,Missed,,,,,,,,,,,,,,,,,,,
207,PT06M30.00S,2021-11-21T03:47:05.4Z,2,REGULAR,rebound,defensive,[],202355,,,1610612762,36,38,2021-11-21T03:47:11Z,2060000,,,0,,H. Whiteside REBOUND (Off:0 Def:5),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,206.0,,,5.0,5.0,0.0,,,,,,,,,,,,,
208,PT06M22.00S,2021-11-21T03:47:13.3Z,2,REGULAR,3pt,Jump Shot,[],203903,24.78646517739816,83.08823529411765,1610612762,36,41,2021-11-21T03:47:19Z,2070000,-165.0,180.0,1,left,J. Clarkson 24' 3PT pullup (7 PTS),[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,24.48,Made,,,,,,,7.0,,,,,,,,,,,,
209,PT06M05.00S,2021-11-21T03:47:30.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,92.9862023653088,58.08823529411765,1610612758,36,41,2021-11-21T03:47:36Z,2080000,40.0,13.0,1,right,MISS D. Fox driving Layup,[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,4.26,Missed,,,,,,,,,,,,,,,,,,,
210,PT06M02.00S,2021-11-21T03:47:33.3Z,2,REGULAR,rebound,defensive,[],202355,,,1610612762,36,41,2021-11-21T03:47:36Z,2090000,,,0,,H. Whiteside REBOUND (Off:0 Def:6),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,209.0,,,6.0,6.0,0.0,,,,,,,,,,,,,
211,PT06M00.00S,2021-11-21T03:47:35.7Z,2,REGULAR,3pt,Jump Shot,[],202711,19.92444152431012,6.862745098039216,1610612762,36,41,2021-11-21T03:53:03Z,2100000,216.0,135.0,1,left,MISS B. Bogdanovic 25' running 3PT,[202711],1610612762.0,UTA,running,,,Bogdanovic,B. Bogdanovic,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,,
212,PT05M55.00S,2021-11-21T03:47:40.7Z,2,REGULAR,rebound,offensive,[],1626220,,,1610612762,36,41,2021-11-21T03:48:05Z,2110000,,,0,,R. O'Neale REBOUND (Off:1 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,211.0,,,2.0,1.0,1.0,,,,,,,,,,,,,
213,PT05M55.00S,2021-11-21T03:47:42.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],202711,23.866622864651774,12.5,1610612762,36,44,2021-11-21T03:48:10Z,2120000,188.0,172.0,1,left,B. Bogdanovic 25' 3PT  (7 PTS) (R. O'Neale 3 AST),"[202711, 1626220]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,25.43,Made,,,,,,,7.0,R. O'Neale,1626220.0,3.0,,,,,,,,,
215,PT05M55.00S,2021-11-21T03:48:13.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,36,44,2021-11-21T03:48:13Z,2140000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT05M55.00S,2021-11-21T03:48:47.8Z,2,REGULAR,substitution,out,[],1629002,,,1610612758,36,44,2021-11-21T03:50:29Z,2150000,,,0,,SUB out: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT05M55.00S,2021-11-21T03:48:47.8Z,2,REGULAR,substitution,in,[],203084,,,1610612758,36,44,2021-11-21T03:50:29Z,2160000,,,0,,SUB in: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT05M37.00S,2021-11-21T03:50:57.1Z,2,REGULAR,turnover,bad pass,[],203084,,,1610612758,36,44,2021-11-21T03:51:03Z,2170000,,,0,,H. Barnes bad pass TURNOVER (1 TO),"[203084, 202711]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,1.0,Bogdanovic,202711.0,
219,PT05M37.00S,2021-11-21T03:50:57.1Z,2,REGULAR,steal,,[],202711,,,1610612762,36,44,2021-11-21T03:50:59Z,2180000,,,0,,B. Bogdanovic STEAL (1 STL),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT05M33.00S,2021-11-21T03:51:04.8Z,2,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612762,36,44,2021-11-21T03:51:14Z,2190000,,,0,,D. Mitchell lost ball out-of-bounds TURNOVER (1 TO),[1628378],1610612762.0,UTA,lost ball,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,1628159.0,,,,,1.0,,,
249,PT05M33.00S,2021-11-21T03:51:09.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,36,44,2021-11-21T03:54:13Z,2195000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT05M25.00S,2021-11-21T03:51:14.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627741,79.05716162943496,91.91176470588235,1610612758,36,44,2021-11-21T03:51:19Z,2200000,210.0,144.0,1,right,MISS B. Hield 25' pullup 3PT,[1627741],1610612758.0,SAC,pullup,,,Hield,B. Hield,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,,
222,PT05M22.00S,2021-11-21T03:51:17.3Z,2,REGULAR,rebound,defensive,[],1628378,,,1610612762,36,44,2021-11-21T03:51:19Z,2210000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,221.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
223,PT05M20.00S,2021-11-21T03:51:18.9Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628378,4.681340341655716,45.83333333333333,1610612762,36,46,2021-11-21T03:55:18Z,2220000,21.0,-8.0,1,left,D. Mitchell running Layup (7 PTS) (B. Bogdanovic 1 AST),"[1628378, 202711]",1610612762.0,UTA,running,,,Mitchell,D. Mitchell,,,,,2.25,Made,,,,,,,7.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,
225,PT04M59.00S,2021-11-21T03:51:39.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203458,85.10183968462549,39.950980392156865,1610612758,36,46,2021-11-21T03:55:45Z,2240000,-50.0,88.0,1,right,MISS A. Len 10' floating Shot,[203458],1610612758.0,SAC,floating,,,Len,A. Len,,,,,10.09,Missed,,,,,,,,,,,,,,,,,,,
226,PT04M56.00S,2021-11-21T03:51:42.4Z,2,REGULAR,rebound,defensive,[],202711,,,1610612762,36,46,2021-11-21T03:51:46Z,2250000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,225.0,,,2.0,2.0,0.0,,,,,,,,,,,,,
227,PT04M51.00S,2021-11-21T03:51:47.3Z,2,REGULAR,3pt,Jump Shot,[],1628378,29.517082785808146,25.49019607843137,1610612762,36,46,2021-11-21T03:56:14Z,2260000,123.0,225.0,1,left,MISS D. Mitchell 25' step back 3PT,[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
228,PT04M47.00S,2021-11-21T03:51:51.3Z,2,REGULAR,rebound,defensive,[],203084,,,1610612758,36,46,2021-11-21T03:51:56Z,2270000,,,0,,H. Barnes REBOUND (Off:0 Def:4),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,227.0,,,4.0,4.0,0.0,,,,,,,,,,,,,
229,PT04M43.00S,2021-11-21T03:51:55.2Z,2,REGULAR,3pt,Jump Shot,[],203084,68.28186596583443,34.31372549019608,1610612758,36,46,2021-11-21T03:56:48Z,2280000,-78.0,246.0,1,right,MISS H. Barnes 25' running 3PT,[203084],1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,,
230,PT04M40.00S,2021-11-21T03:51:58.2Z,2,REGULAR,rebound,defensive,[],202355,,,1610612762,36,46,2021-11-21T03:52:02Z,2290000,,,0,,H. Whiteside REBOUND (Off:0 Def:7),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,229.0,,,7.0,7.0,0.0,,,,,,,,,,,,,
231,PT04M29.00S,2021-11-21T03:52:09.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203903,6.1268068331143235,62.00980392156863,1610612762,36,46,2021-11-21T03:57:30Z,2300000,-60.0,5.0,1,left,MISS J. Clarkson 6' driving Layup,[203903],1610612762.0,UTA,driving,,,Clarkson,J. Clarkson,,,,,6.02,Missed,,,,,,,,,,,,,,,,,,,
232,PT04M27.00S,2021-11-21T03:52:11.8Z,2,REGULAR,rebound,offensive,[],202355,,,1610612762,36,46,2021-11-21T03:52:21Z,2310000,,,0,,H. Whiteside REBOUND (Off:1 Def:7),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,231.0,,,8.0,7.0,1.0,,,,,,,,,,,,,
233,PT04M25.00S,2021-11-21T03:52:13.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202355,6.915243101182654,46.07843137254902,1610612762,36,48,2021-11-21T03:57:58Z,2320000,20.0,13.0,1,left,H. Whiteside putback DUNK (2 PTS),[202355],1610612762.0,UTA,putback,,,Whiteside,H. Whiteside,,,,,2.32,Made,,,,,,,2.0,,,,,,,,,,,,
234,PT04M13.00S,2021-11-21T03:52:25.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,91.40932982917214,58.08823529411765,1610612758,36,48,2021-11-21T03:52:53Z,2330000,40.0,28.0,1,right,MISS D. Fox Layup - blocked,"[1628368, 202355]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,4.93,Missed,,Whiteside,202355.0,,,,,,,,,,,,,,,,
235,PT04M13.00S,2021-11-21T03:52:25.5Z,2,REGULAR,block,,[],202355,,,1610612758,36,48,2021-11-21T03:52:30Z,2340000,,,0,,H. Whiteside BLOCK (1 BLK),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT04M13.00S,2021-11-21T03:52:25.5Z,2,REGULAR,rebound,offensive,[],1630169,,,1610612758,36,48,2021-11-21T03:59:29Z,2350000,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,234.0,,,1.0,0.0,1.0,,,,,,,,,,,,,
237,PT04M13.00S,2021-11-21T03:52:35.5Z,2,REGULAR,foul,personal,[],203903,,,1610612758,36,48,2021-11-21T04:15:43Z,2360000,,,0,,J. Clarkson personal FOUL (2 PF),"[203903, 1630169]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,1628159.0,2.0,0.0,Haliburton,1630169.0,,,,
239,PT04M13.00S,2021-11-21T03:52:42.0Z,2,REGULAR,substitution,out,[],203458,,,1610612758,36,48,2021-11-21T03:52:44Z,2380000,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT04M13.00S,2021-11-21T03:52:42.0Z,2,REGULAR,substitution,in,[],1626158,,,1610612758,36,48,2021-11-21T03:52:44Z,2390000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT04M05.00S,2021-11-21T03:53:00.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628368,67.09921156373193,44.36274509803921,1610612758,39,48,2021-11-21T04:00:54Z,2400000,-28.0,257.0,1,right,D. Fox 25' 3PT step back (3 PTS) (B. Hield 1 AST),"[1628368, 1627741]",1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,25.83,Made,,,,,,,3.0,B. Hield,1627741.0,1.0,,,,,,,,,
242,PT03M39.00S,2021-11-21T03:53:25.8Z,2,REGULAR,3pt,Jump Shot,[],203903,29.122864651773984,24.019607843137255,1610612762,39,48,2021-11-21T03:53:32Z,2410000,130.0,221.0,1,left,MISS J. Clarkson 25' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,,
243,PT03M36.00S,2021-11-21T03:53:28.8Z,2,REGULAR,rebound,defensive,[],1628368,,,1610612758,39,48,2021-11-21T03:53:32Z,2420000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,242.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
244,PT03M28.00S,2021-11-21T03:53:36.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,92.9862023653088,44.36274509803921,1610612758,41,48,2021-11-21T03:53:43Z,2430000,-28.0,13.0,1,right,D. Fox driving Layup (5 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,3.12,Made,,,,,,,5.0,,,,,,,,,,,,
245,PT03M11.00S,2021-11-21T03:53:53.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202355,12.959921156373195,45.09803921568628,1610612762,41,48,2021-11-21T03:54:08Z,2440000,25.0,69.0,1,left,MISS H. Whiteside 7' Layup,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,7.35,Missed,,,,,,,,,,,,,,,,,,,
246,PT03M08.00S,2021-11-21T03:53:56.8Z,2,REGULAR,rebound,offensive,[],1626220,,,1610612762,41,48,2021-11-21T03:54:08Z,2450000,,,0,,R. O'Neale REBOUND (Off:2 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,245.0,,,3.0,1.0,2.0,,,,,,,,,,,,,
247,PT03M08.00S,2021-11-21T03:54:01.2Z,2,REGULAR,foul,personal,['2freethrow'],1630169,,,1610612762,41,48,2021-11-21T03:54:10Z,2460000,,,0,,T. Haliburton shooting personal FOUL (2 PF) (O'Neale 2 FT),"[1630169, 1626220]",1610612758.0,SAC,shooting,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,1628159.0,2.0,0.0,O'Neale,1626220.0,,,,
250,PT03M08.00S,2021-11-21T03:54:14.4Z,2,REGULAR,foul,technical,['1freethrow'],1627741,,,1610612762,41,48,2021-11-21T03:54:21Z,2480000,,,0,,B. Hield technical FOUL (1 Tech),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,1628159.0,0.0,1.0,,,,,,
251,PT03M08.00S,2021-11-21T03:54:29.1Z,2,REGULAR,freethrow,1 of 1,[],203903,,,1610612762,41,48,2021-11-21T03:54:29Z,2490000,,,0,,MISS J. Clarkson technical Free Throw 1 of 1,[203903],1610612762.0,UTA,technical,,,Clarkson,J. Clarkson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
252,PT03M08.00S,2021-11-21T03:54:29.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,41,48,2021-11-21T03:54:29Z,2500000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,251.0,,,,,,,,,,,,,,,,,,
253,PT03M08.00S,2021-11-21T03:54:58.8Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1626220,,,1610612762,41,48,2021-11-21T03:54:58Z,2510000,,,0,,MISS R. O'Neale Free Throw 1 of 2,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,Missed,,,,,,,,,,,,,,,,,,,
254,PT03M08.00S,2021-11-21T03:54:58.8Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,41,48,2021-11-21T03:54:58Z,2520000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,253.0,,,,,,,,,,,,,,,,,,
255,PT03M08.00S,2021-11-21T03:54:59.8Z,2,REGULAR,substitution,out,[],203903,,,1610612762,41,48,2021-11-21T03:55:14Z,2530000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
