actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
167,PT02M03.00S,2025-11-04T00:40:30.2Z,1,REGULAR,3pt,Jump Shot,[],1641716,69.33311432325887,73.2843137254902,1610612754,16,26,2025-11-04T00:40:35Z,1670000,False,116.0,236.0,1,right,MISS J. Walker 26' pullup 3PT,[1641716],1610612754.0,IND,pullup,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,26.3,Missed,,,,,,,,,,,,,,,,,,
168,PT02M00.00S,2025-11-04T00:40:33.2Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,16,26,2025-11-04T00:40:35Z,1680000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,
169,PT01M52.00S,2025-11-04T00:40:42.3Z,1,REGULAR,3pt,Jump Shot,[],1627752,5.601182654402102,4.411764705882353,1610612749,16,26,2025-11-04T00:40:46Z,1690000,False,228.0,0.0,1,left,MISS T. Prince step back 3PT,[1627752],1610612749.0,MIL,step back,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,22.79,Missed,,,,,,,,,,,,,,,,,,
170,PT01M50.00S,2025-11-04T00:40:44.7Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,16,26,2025-11-04T00:40:44Z,1700000,False,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Right Corner 3,24+ Right,,,,,169.0,1.0,0.0,1.0,,,,,,,,,,,,
171,PT01M43.00S,2025-11-04T00:40:51.5Z,1,REGULAR,2pt,Hook,['2ndchance'],1626171,8.360709592641262,28.186274509803923,1610612749,16,26,2025-11-04T00:40:56Z,1710000,False,109.0,26.0,1,left,MISS B. Portis 11' turnaround Hook,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,Mid-Range,8-16 Right,11.22,Missed,,,,,,,,,,,,,,,,,,
172,PT01M41.00S,2025-11-04T00:40:53.5Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612754,16,26,2025-11-04T00:41:06Z,1720000,False,,,0,,J. Huff REBOUND (Off:0 Def:1),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Mid-Range,8-16 Right,,,,,171.0,1.0,1.0,0.0,,,,,,,,,,,,
173,PT01M34.00S,2025-11-04T00:41:00.2Z,1,REGULAR,2pt,Jump Shot,[],1627783,77.34888304862024,44.36274509803921,1610612754,18,26,2025-11-04T00:42:18Z,1730000,False,-28.0,160.0,1,right,P. Siakam 16' step back Jump Shot (6 PTS),[1627783],1610612754.0,IND,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Center,16.29,Made,,,,,,,,,,,,,,,6.0,,,
174,PT01M25.00S,2025-11-04T00:41:10.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641716,,,1610612749,18,26,2025-11-04T00:41:15Z,1740000,False,,,0,,J. Walker shooting personal FOUL (2 PF) (Kuzma 2 FT),"[1641716, 1628398]",1610612754.0,IND,shooting,,,Walker,J. Walker,,,,,Mid-Range,8-16 Left,,,,,,,,,203054.0,2.0,0.0,Kuzma,1628398.0,,,,,,,
176,PT01M25.00S,2025-11-04T00:41:40.6Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612749,18,27,2025-11-04T00:41:40Z,1760000,False,,,0,,K. Kuzma Free Throw 1 of 2 (3 PTS),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,Made,,,,,,,,,,,,,,,3.0,,,
177,PT01M25.00S,2025-11-04T00:41:41.1Z,1,REGULAR,substitution,out,[],1641716,,,1610612749,18,27,2025-11-04T00:41:47Z,1770000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT01M25.00S,2025-11-04T00:41:41.1Z,1,REGULAR,substitution,out,[],1629018,,,1610612749,18,27,2025-11-04T00:41:47Z,1780000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT01M25.00S,2025-11-04T00:41:41.1Z,1,REGULAR,substitution,in,[],1642277,,,1610612749,18,27,2025-11-04T00:41:47Z,1790000,False,,,0,,SUB in: J. Furphy,[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT01M25.00S,2025-11-04T00:41:41.1Z,1,REGULAR,substitution,in,[],1630579,,,1610612749,18,27,2025-11-04T00:41:47Z,1800000,False,,,0,,SUB in: J. Sims,[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT01M25.00S,2025-11-04T00:42:05.9Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612749,18,28,2025-11-04T00:42:05Z,1810000,False,,,0,,K. Kuzma Free Throw 2 of 2 (4 PTS),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,Made,,,,,,,,,,,,,,,4.0,,,
183,PT01M13.00S,2025-11-04T00:42:22.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642484,90.75229960578186,42.64705882352941,1610612754,20,28,2025-11-04T00:42:26Z,1830000,False,-37.0,34.0,1,right,R. Dennis driving finger roll Layup (2 PTS),[1642484],1610612754.0,IND,driving finger roll,,,Dennis,R. Dennis,,,,,In The Paint (Non-RA),0-8 Center,5.04,Made,,,,,,,,,,,,,,,2.0,,,
184,PT00M58.20S,2025-11-04T00:42:37.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,7.703679369250986,41.911764705882355,1610612749,20,28,2025-11-04T00:43:33Z,1840000,False,40.0,20.0,1,left,MISS K. Kuzma driving floating bank Shot,[1628398],1610612749.0,MIL,driving floating bank,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,4.5,Missed,,,,,,,,,,,,,,,,,,
185,PT00M55.30S,2025-11-04T00:42:40.6Z,1,REGULAR,rebound,defensive,[],1642484,,,1610612754,20,28,2025-11-04T00:43:27Z,1850000,False,,,0,,R. Dennis REBOUND (Off:0 Def:1),[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,In The Paint (Non-RA),0-8 Center,,,,,184.0,1.0,1.0,0.0,,,,,,,,,,,,
186,PT00M44.90S,2025-11-04T00:42:51.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,80.1084099868594,54.65686274509803,1610612754,22,28,2025-11-04T00:42:54Z,1860000,False,23.0,134.0,1,right,P. Siakam 13' turnaround Jump Shot (8 PTS),[1627783],1610612754.0,IND,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,13.65,Made,,,,,,,,,,,,,,,8.0,,,
187,PT00M31.60S,2025-11-04T00:43:06.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,7.440867279894875,97.05882352941177,1610612749,22,28,2025-11-04T00:43:11Z,1870000,False,-235.0,17.0,1,left,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Left Corner 3,24+ Left,23.59,Missed,,,,,,,,,,,,,,,,,,
188,PT00M29.60S,2025-11-04T00:43:08.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,22,28,2025-11-04T00:43:11Z,1880000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Left Corner 3,24+ Left,,,,,187.0,,,,,,,,,,,,,,,
189,PT00M29.60S,2025-11-04T00:43:11.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630643,,,1610612749,22,28,2025-11-04T00:43:17Z,1890000,False,,,0,,J. Huff loose ball personal FOUL (1 PF) (Sims 2 FT),"[1630643, 1630579]",1610612754.0,IND,loose ball,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,101284.0,1.0,0.0,Sims,1630579.0,,,,,,,
191,PT00M29.60S,2025-11-04T00:43:42.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630579,,,1610612749,22,28,2025-11-04T00:43:42Z,1910000,False,,,0,,MISS J. Sims Free Throw 1 of 2,[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
192,PT00M29.60S,2025-11-04T00:43:42.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,22,28,2025-11-04T00:43:42Z,1920000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,191.0,,,,,,,,,,,,,,,
193,PT00M29.60S,2025-11-04T00:44:04.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630579,,,1610612749,22,29,2025-11-04T00:44:04Z,1930000,False,,,0,,J. Sims Free Throw 2 of 2 (1 PTS),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
194,PT00M18.20S,2025-11-04T00:44:21.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,66.44218134034165,64.95098039215686,1610612754,22,29,2025-11-04T00:44:26Z,1940000,False,75.0,263.0,1,right,MISS P. Siakam 27' pullup 3PT,[1627783],1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,27.33,Missed,,,,,,,,,,,,,,,,,,
195,PT00M13.20S,2025-11-04T00:44:25.9Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,22,29,2025-11-04T00:44:25Z,1950000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,,,,,194.0,2.0,2.0,0.0,,,,,,,,,,,,
196,PT00M03.40S,2025-11-04T00:44:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,15.193823915900131,54.166666666666664,1610612749,22,31,2025-11-04T00:44:39Z,1960000,False,-21.0,90.0,1,left,K. Kuzma 9' driving finger roll Layup (6 PTS),[1628398],1610612749.0,MIL,driving finger roll,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,9.27,Made,,,,,,,,,,,,,,,6.0,,,
197,PT00M00.00S,2025-11-04T00:44:42.4Z,1,REGULAR,heave,,[],0,,,1610612754,22,31,2025-11-04T00:44:49Z,1970000,False,,,0,,IND Heave,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Center,37.19,,,,,,,,,,,,,,,,,,,
198,PT00M00.00S,2025-11-04T00:44:45.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,22,31,2025-11-04T00:44:45Z,1980000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Center,,,,,197.0,,,,,,,,,,,,,,,
199,PT00M00.00S,2025-11-04T00:44:46.2Z,1,REGULAR,period,end,[],0,,,1610612754,22,31,2025-11-04T00:44:46Z,1990000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT12M00.00S,2025-11-04T00:46:54.8Z,2,REGULAR,substitution,out,['startperiod'],1642484,,,1610612754,22,31,2025-11-04T00:47:23Z,2000000,False,,,0,,SUB out: R. Dennis,[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT12M00.00S,2025-11-04T00:46:54.8Z,2,REGULAR,substitution,out,['startperiod'],1641767,,,1610612754,22,31,2025-11-04T00:47:23Z,2010000,False,,,0,,SUB out: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT12M00.00S,2025-11-04T00:46:54.8Z,2,REGULAR,substitution,out,['startperiod'],1627783,,,1610612754,22,31,2025-11-04T00:47:23Z,2020000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT12M00.00S,2025-11-04T00:46:54.8Z,2,REGULAR,substitution,in,['startperiod'],1631245,,,1610612754,22,31,2025-11-04T00:47:23Z,2030000,False,,,0,,SUB in: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT12M00.00S,2025-11-04T00:46:54.8Z,2,REGULAR,substitution,in,['startperiod'],1630174,,,1610612754,22,31,2025-11-04T00:47:23Z,2040000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT12M00.00S,2025-11-04T00:46:54.8Z,2,REGULAR,substitution,in,['startperiod'],1641716,,,1610612754,22,31,2025-11-04T00:47:23Z,2050000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT12M00.00S,2025-11-04T00:47:42.2Z,2,REGULAR,period,start,[],0,,,1610612749,22,31,2025-11-04T00:47:42Z,2060000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT11M46.00S,2025-11-04T00:47:54.9Z,2,REGULAR,turnover,bad pass,[],1630175,,,1610612749,22,31,2025-11-04T00:48:00Z,2070000,False,,,0,,C. Anthony bad pass TURNOVER (2 TO),"[1630175, 1630643]",1610612749.0,MIL,,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2.0,Huff,1630643.0,,,,
208,PT11M46.00S,2025-11-04T00:47:54.9Z,2,REGULAR,steal,,[],1630643,,,1610612754,22,31,2025-11-04T00:48:00Z,2080000,False,,,0,,J. Huff STEAL (1 STL),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
209,PT11M36.00S,2025-11-04T00:48:05.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630643,95.74572930354796,96.81372549019608,1610612754,22,31,2025-11-04T00:48:10Z,2090000,False,234.0,-13.0,1,right,MISS J. Huff 3PT,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Right Corner 3,24+ Right,23.44,Missed,,,,,,,,,,,,,,,,,,
210,PT11M32.00S,2025-11-04T00:48:09.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612749,22,31,2025-11-04T00:48:10Z,2100000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Right Corner 3,24+ Right,,,,,209.0,,,,,,,,,,,,,,,
212,PT11M19.00S,2025-11-04T00:48:30.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,9.280551905387648,46.07843137254902,1610612749,22,31,2025-11-04T00:49:17Z,2120000,False,20.0,35.0,1,left,MISS K. Kuzma driving finger roll Layup - blocked,"[1628398, 1630643]",1610612749.0,MIL,driving finger roll,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,3.99,Missed,Huff,1630643.0,,,,,,,,,,,,,,,,
213,PT11M19.00S,2025-11-04T00:48:30.5Z,2,REGULAR,block,,[],1630643,,,1610612749,22,31,2025-11-04T00:48:32Z,2130000,False,,,0,,J. Huff BLOCK (1 BLK),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
214,PT11M17.00S,2025-11-04T00:48:32.5Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612754,22,31,2025-11-04T00:48:34Z,2140000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,212.0,2.0,2.0,0.0,,,,,,,,,,,,
215,PT11M04.00S,2025-11-04T00:48:45.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642277,92.59198423127464,55.14705882352941,1610612754,22,31,2025-11-04T00:48:50Z,2150000,False,26.0,17.0,1,right,MISS J. Furphy Layup,[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,Restricted Area,0-8 Center,3.09,Missed,,,,,,,,,,,,,,,,,,
216,PT11M00.00S,2025-11-04T00:48:49.9Z,2,REGULAR,rebound,offensive,[],1642277,,,1610612754,22,31,2025-11-04T00:48:50Z,2160000,False,,,0,,J. Furphy REBOUND (Off:1 Def:1),[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,Restricted Area,0-8 Center,,,,,215.0,2.0,1.0,1.0,,,,,,,,,,,,
217,PT10M46.00S,2025-11-04T00:49:10.3Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612754,22,31,2025-11-04T00:49:15Z,2170000,False,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1627529.0,,,,,,,,,,,
218,PT10M32.00S,2025-11-04T00:49:27.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630175,12.302890932982917,44.11764705882353,1610612749,22,31,2025-11-04T00:50:59Z,2180000,False,29.0,63.0,1,left,MISS C. Anthony 6' driving floating Shot - blocked,"[1630175, 1630643]",1610612749.0,MIL,driving floating,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,6.96,Missed,Huff,1630643.0,,,,,,,,,,,,,,,,
219,PT10M32.00S,2025-11-04T00:49:27.5Z,2,REGULAR,block,,[],1630643,,,1610612749,22,31,2025-11-04T00:49:29Z,2190000,False,,,0,,J. Huff BLOCK (2 BLK),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
220,PT10M31.00S,2025-11-04T00:49:28.5Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612754,22,31,2025-11-04T00:49:31Z,2200000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:3),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,218.0,3.0,3.0,0.0,,,,,,,,,,,,
221,PT10M27.00S,2025-11-04T00:49:32.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641716,91.40932982917214,51.9607843137255,1610612754,22,31,2025-11-04T00:49:35Z,2210000,False,10.0,28.0,1,right,MISS J. Walker running Layup,[1641716],1610612754.0,IND,running,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,,,,,,,,
222,PT10M26.00S,2025-11-04T00:49:33.7Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612749,22,31,2025-11-04T00:49:35Z,2220000,False,,,0,,T. Prince REBOUND (Off:0 Def:3),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,221.0,3.0,3.0,0.0,,,,,,,,,,,,
223,PT10M21.00S,2025-11-04T00:49:40.5Z,2,REGULAR,3pt,Jump Shot,[],1628398,14.931011826544022,96.81372549019608,1610612749,22,31,2025-11-04T00:52:31Z,2230000,False,-234.0,88.0,1,left,MISS K. Kuzma 25' 3PT,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,25.01,Missed,,,,,,,,,,,,,,,,,,
224,PT10M17.00S,2025-11-04T00:49:44.5Z,2,REGULAR,rebound,defensive,[],1641716,,,1610612754,22,31,2025-11-04T00:49:44Z,2240000,False,,,0,,J. Walker REBOUND (Off:0 Def:3),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Left Corner 3,24+ Left,,,,,223.0,3.0,3.0,0.0,,,,,,,,,,,,
225,PT10M09.00S,2025-11-04T00:49:54.9Z,2,REGULAR,foul,personal,['2freethrow'],1630579,,,1610612754,22,31,2025-11-04T00:50:04Z,2250000,False,,,0,,J. Sims shooting personal FOUL (1 PF) (Walker 2 FT),"[1630579, 1641716]",1610612749.0,MIL,shooting,,,Sims,J. Sims,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,203054.0,1.0,0.0,Walker,1641716.0,,,,,,,
227,PT10M09.00S,2025-11-04T00:50:23.9Z,2,REGULAR,freethrow,1 of 2,[],1641716,,,1610612754,23,31,2025-11-04T00:50:23Z,2270000,False,,,0,,J. Walker Free Throw 1 of 2 (3 PTS),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,Made,,,,,,,,,,,,,,,3.0,,,
228,PT10M09.00S,2025-11-04T00:50:24.4Z,2,REGULAR,substitution,out,[],1627752,,,1610612754,23,31,2025-11-04T00:50:28Z,2280000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT10M09.00S,2025-11-04T00:50:24.4Z,2,REGULAR,substitution,in,[],1631157,,,1610612754,23,31,2025-11-04T00:50:28Z,2290000,False,,,0,,SUB in: R. Rollins,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT10M09.00S,2025-11-04T00:50:46.4Z,2,REGULAR,freethrow,2 of 2,[],1641716,,,1610612754,24,31,2025-11-04T00:50:46Z,2300000,False,,,0,,J. Walker Free Throw 2 of 2 (4 PTS),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,Made,,,,,,,,,,,,,,,4.0,,,
231,PT09M59.00S,2025-11-04T00:51:00.4Z,2,REGULAR,foul,offensive,[],1626171,,,1610612749,24,31,2025-11-04T00:51:04Z,2310000,False,,,0,,B. Portis offensive FOUL (1 PF),"[1626171, 1630174]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1627529.0,1.0,0.0,Nesmith,1630174.0,,,,,,,
233,PT09M59.00S,2025-11-04T00:51:00.4Z,2,REGULAR,turnover,offensive foul,[],1626171,,,1610612749,24,31,2025-11-04T00:51:00Z,2330000,False,,,0,,B. Portis offensive foul TURNOVER (1 TO),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1627529.0,,,,,1.0,,,,,,
234,PT09M49.00S,2025-11-04T00:51:20.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630174,89.04402102496715,95.09803921568627,1610612754,24,31,2025-11-04T00:51:25Z,2340000,False,225.0,50.0,1,right,MISS A. Nesmith 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,23.11,Missed,,,,,,,,,,,,,,,,,,
235,PT09M46.00S,2025-11-04T00:51:23.9Z,2,REGULAR,rebound,defensive,[],1630579,,,1610612749,24,31,2025-11-04T00:51:25Z,2350000,False,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Right Corner 3,24+ Right,,,,,234.0,1.0,1.0,0.0,,,,,,,,,,,,
236,PT09M28.00S,2025-11-04T00:51:43.1Z,2,REGULAR,2pt,Jump Shot,[],1628398,18.873193166885677,10.784313725490197,1610612749,24,33,2025-11-04T00:51:46Z,2360000,False,196.0,125.0,1,left,K. Kuzma 23' Jump Shot (8 PTS),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Right,23.25,Made,,,,,,,,,,,,,,,8.0,,,
237,PT09M19.00S,2025-11-04T00:51:51.7Z,2,REGULAR,3pt,Jump Shot,[],1630174,76.5604467805519,7.352941176470589,1610612754,24,33,2025-11-04T00:51:56Z,2370000,False,-213.0,168.0,1,right,MISS A. Nesmith 27' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,27.13,Missed,,,,,,,,,,,,,,,,,,
238,PT09M16.00S,2025-11-04T00:51:54.7Z,2,REGULAR,rebound,offensive,[],1630174,,,1610612754,24,33,2025-11-04T00:51:59Z,2380000,False,,,0,,A. Nesmith REBOUND (Off:1 Def:3),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,,,,,237.0,4.0,3.0,1.0,,,,,,,,,,,,
239,PT09M08.00S,2025-11-04T00:52:03.1Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1630174,92.19776609724047,10.294117647058822,1610612754,26,33,2025-11-04T00:52:06Z,2390000,False,-199.0,21.0,1,right,A. Nesmith 19' Jump Shot (4 PTS) (J. Huff 1 AST),"[1630174, 1630643]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Left,19.96,Made,,,,,,,,,,,,,,,4.0,J. Huff,1630643.0,1.0
241,PT09M03.00S,2025-11-04T00:52:09.8Z,2,REGULAR,turnover,out-of-bounds,[],1631157,,,1610612749,26,33,2025-11-04T00:52:13Z,2410000,False,,,0,,R. Rollins lost ball out-of-bounds TURNOVER (3 TO),[1631157],1610612749.0,MIL,lost ball,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1627529.0,,,,,3.0,,,,,,
242,PT08M50.00S,2025-11-04T00:52:29.1Z,2,REGULAR,foul,personal,['3freethrow'],1626171,,,1610612754,26,33,2025-11-04T00:52:38Z,2420000,False,,,0,,B. Portis shooting personal FOUL (2 PF) (Jackson 3 FT),"[1626171, 1631245]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,101284.0,2.0,0.0,Jackson,1631245.0,,,,,,,
244,PT08M50.00S,2025-11-04T00:52:55.9Z,2,REGULAR,freethrow,1 of 3,['fromturnover'],1631245,,,1610612754,27,33,2025-11-04T00:53:27Z,2440000,False,,,0,,Q. Jackson Free Throw 1 of 3 (3 PTS),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,Made,,,,,,,,,,,,,,,3.0,,,
245,PT08M50.00S,2025-11-04T00:52:55.9Z,2,REGULAR,freethrow,2 of 3,['fromturnover'],1631245,,,1610612754,27,33,2025-11-04T00:53:27Z,2450000,False,,,0,,MISS Q. Jackson Free Throw 2 of 3,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
246,PT08M50.00S,2025-11-04T00:52:55.9Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612754,27,33,2025-11-04T00:53:27Z,2460000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,245.0,,,,,,,,,,,,,,,
