actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
176,PT00M00.30S,2025-10-31T23:40:37.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630168,,,1610612754,27,32,2025-10-31T23:42:10Z,1690000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Huff 2 FT),"[1630168, 1630643]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Huff,1630643.0
179,PT00M00.30S,2025-10-31T23:42:40.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630643,,,1610612754,28,32,2025-10-31T23:43:12Z,1720000,False,,,0,,J. Huff Free Throw 1 of 2 (1 PTS),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
180,PT00M00.30S,2025-10-31T23:42:40.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630643,,,1610612754,29,32,2025-10-31T23:43:12Z,1730000,False,,,0,,J. Huff Free Throw 2 of 2 (2 PTS),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
181,PT00M00.00S,2025-10-31T23:43:00.6Z,1,REGULAR,period,end,[],0,,,1610612737,29,32,2025-10-31T23:43:00Z,1740000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2025-10-31T23:45:12.0Z,2,REGULAR,substitution,out,['startperiod'],1630643,,,1610612737,29,32,2025-10-31T23:45:32Z,1750000,False,,,0,,SUB out: J. Huff,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2025-10-31T23:45:12.0Z,2,REGULAR,substitution,out,['startperiod'],1628379,,,1610612737,29,32,2025-10-31T23:45:32Z,1760000,False,,,0,,SUB out: L. Kennard,[1628379],1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2025-10-31T23:45:12.0Z,2,REGULAR,substitution,out,['startperiod'],1631243,,,1610612737,29,32,2025-10-31T23:45:32Z,1770000,False,,,0,,SUB out: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2025-10-31T23:45:12.0Z,2,REGULAR,substitution,in,['startperiod'],1630543,,,1610612737,29,32,2025-10-31T23:45:32Z,1780000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2025-10-31T23:45:12.0Z,2,REGULAR,substitution,in,['startperiod'],1642258,,,1610612737,29,32,2025-10-31T23:45:32Z,1790000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2025-10-31T23:45:12.0Z,2,REGULAR,substitution,in,['startperiod'],204001,,,1610612737,29,32,2025-10-31T23:45:32Z,1800000,False,,,0,,SUB in: K. Porziņģis,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2025-10-31T23:45:47.6Z,2,REGULAR,period,start,[],0,,,1610612754,29,32,2025-10-31T23:45:47Z,1810000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT11M44.00S,2025-10-31T23:46:03.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630644,87.20433639947439,57.107843137254896,1610612754,29,32,2025-10-31T23:46:07Z,1820000,False,36.0,68.0,1,right,MISS M. McClung 7' pullup Shot,[1630644],1610612754.0,IND,pullup,,,McClung,M. McClung,,,,,In The Paint (Non-RA),0-8 Center,7.65,Missed,,,,,,,,,,,,,,,,,,
190,PT11M42.00S,2025-10-31T23:46:05.6Z,2,REGULAR,rebound,defensive,[],1630168,,,1610612737,29,32,2025-10-31T23:46:28Z,1830000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,189.0,2.0,2.0,0.0,,,,,,,,,,,
191,PT11M35.00S,2025-10-31T23:46:12.3Z,2,REGULAR,3pt,Jump Shot,[],1630168,29.911300919842315,16.176470588235293,1610612737,29,32,2025-10-31T23:46:16Z,1840000,False,169.0,229.0,1,left,MISS O. Okongwu 28' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,28.44,Missed,,,,,,,,,,,,,,,,,,
192,PT11M30.00S,2025-10-31T23:46:17.3Z,2,REGULAR,rebound,defensive,[],1630543,,,1610612754,29,32,2025-10-31T23:46:16Z,1850000,False,,,0,,I. Jackson REBOUND (Off:0 Def:2),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Right Center,,,,,,191.0,2.0,2.0,0.0,,,,,,,,,,,
193,PT11M24.00S,2025-10-31T23:46:27.4Z,2,REGULAR,foul,personal,[],1630700,,,1610612754,29,32,2025-10-31T23:46:32Z,1860000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 1630543]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Jackson,1630543.0
195,PT11M18.00S,2025-10-31T23:46:49.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630644,92.9862023653088,51.9607843137255,1610612754,31,32,2025-10-31T23:46:52Z,1880000,False,10.0,13.0,1,right,M. McClung driving Layup (5 PTS) (B. Sheppard 1 AST),"[1630644, 1641767]",1610612754.0,IND,driving,,,McClung,M. McClung,,,,,Restricted Area,0-8 Center,1.66,Made,5.0,,,,,,,,,,B. Sheppard,1641767.0,1.0,,,,,
196,PT11M07.00S,2025-10-31T23:47:02.5Z,2,REGULAR,foul,personal,[],1630543,,,1610612737,31,32,2025-10-31T23:47:09Z,1890000,False,,,0,,I. Jackson personal FOUL (2 PF),"[1630543, 204001]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,2.0,0.0,Porziņģis,204001.0
199,PT11M07.00S,2025-10-31T23:47:09.1Z,2,REGULAR,substitution,out,[],1642484,,,1610612737,31,32,2025-10-31T23:47:15Z,1910000,False,,,0,,SUB out: R. Dennis,[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT11M07.00S,2025-10-31T23:47:09.1Z,2,REGULAR,substitution,in,[],1631245,,,1610612737,31,32,2025-10-31T23:47:15Z,1920000,False,,,0,,SUB in: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT11M01.00S,2025-10-31T23:47:34.8Z,2,REGULAR,2pt,Jump Shot,[],1630700,9.543363994743759,23.284313725490197,1610612737,31,34,2025-10-31T23:48:32Z,1930000,False,134.0,37.0,1,left,D. Daniels 13' driving floating Jump Shot (8 PTS) (K. Wallace 5 AST),"[1630700, 1630811]",1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Right,13.87,Made,8.0,,,,,,,,,,K. Wallace,1630811.0,5.0,,,,,
203,PT10M46.00S,2025-10-31T23:47:49.4Z,2,REGULAR,2pt,Jump Shot,[],1627783,87.59855453350855,71.81372549019608,1610612754,33,34,2025-10-31T23:48:52Z,1950000,False,109.0,64.0,1,right,P. Siakam 12' turnaround fadeaway Jump Shot (14 PTS),[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,12.65,Made,14.0,,,,,,,,,,,,,,,,,
204,PT10M38.00S,2025-10-31T23:47:58.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630811,10.33180026281209,48.77450980392157,1610612737,33,34,2025-10-31T23:48:03Z,1960000,False,6.0,45.0,1,left,MISS K. Wallace driving Layup - blocked,"[1630811, 1631245]",1610612737.0,ATL,driving,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),0-8 Center,4.5,Missed,,Jackson,1631245.0,,,,,,,,,,,,,,,
205,PT10M38.00S,2025-10-31T23:47:58.4Z,2,REGULAR,block,,[],1631245,,,1610612737,33,34,2025-10-31T23:48:00Z,1970000,False,,,0,,Q. Jackson BLOCK (1 BLK),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
206,PT10M37.00S,2025-10-31T23:47:59.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,33,34,2025-10-31T23:48:03Z,1980000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,204.0,,,,,,,,,,,,,,
208,PT10M36.00S,2025-10-31T23:48:17.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630700,13.091327201051248,47.794117647058826,1610612737,33,34,2025-10-31T23:48:21Z,2000000,False,11.0,71.0,1,left,MISS D. Daniels 7' floating Shot,[1630700],1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,7.15,Missed,,,,,,,,,,,,,,,,,,
209,PT10M34.00S,2025-10-31T23:48:19.0Z,2,REGULAR,rebound,defensive,[],1631245,,,1610612754,33,34,2025-10-31T23:48:21Z,2010000,False,,,0,,Q. Jackson REBOUND (Off:0 Def:1),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,208.0,1.0,1.0,0.0,,,,,,,,,,,
210,PT10M26.00S,2025-10-31T23:48:25.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631245,92.59198423127464,49.50980392156863,1610612754,35,34,2025-10-31T23:48:28Z,2020000,False,-2.0,17.0,1,right,Q. Jackson driving Layup (2 PTS) (P. Siakam 2 AST),"[1631245, 1627783]",1610612754.0,IND,driving,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,1.73,Made,2.0,,,,,,,,,,P. Siakam,1627783.0,2.0,,,,,
212,PT10M18.00S,2025-10-31T23:48:36.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,7.046649145860711,51.470588235294116,1610612737,35,36,2025-10-31T23:48:40Z,2040000,False,-7.0,14.0,1,left,O. Okongwu cutting Layup (8 PTS) (K. Wallace 6 AST),"[1630168, 1630811]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,1.56,Made,8.0,,,,,,,,,,K. Wallace,1630811.0,6.0,,,,,
214,PT10M18.00S,2025-10-31T23:48:38.6Z,2,REGULAR,foul,personal,['1freethrow'],1630644,,,1610612737,35,36,2025-10-31T23:48:49Z,2060000,False,,,0,,M. McClung shooting personal FOUL (2 PF) (Okongwu 1 FT),"[1630644, 1630168]",1610612754.0,IND,shooting,,,McClung,M. McClung,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,204059.0,2.0,0.0,Okongwu,1630168.0
216,PT10M18.00S,2025-10-31T23:48:49.9Z,2,REGULAR,substitution,out,[],1642258,,,1610612737,35,36,2025-10-31T23:48:52Z,2080000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT10M18.00S,2025-10-31T23:48:49.9Z,2,REGULAR,substitution,in,[],1630552,,,1610612737,35,36,2025-10-31T23:48:52Z,2090000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT10M18.00S,2025-10-31T23:49:04.9Z,2,REGULAR,freethrow,1 of 1,[],1630168,,,1610612737,35,37,2025-10-31T23:49:04Z,2100000,False,,,0,,O. Okongwu Free Throw 1 of 1 (9 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
219,PT10M02.00S,2025-10-31T23:49:21.6Z,2,REGULAR,3pt,Jump Shot,[],1641767,66.04796320630749,19.362745098039216,1610612754,35,37,2025-10-31T23:49:26Z,2110000,False,-153.0,267.0,1,right,MISS B. Sheppard 30' 3PT,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Left Center,30.75,Missed,,,,,,,,,,,,,,,,,,
220,PT09M59.00S,2025-10-31T23:49:24.6Z,2,REGULAR,rebound,defensive,[],204001,,,1610612737,35,37,2025-10-31T23:49:26Z,2120000,False,,,0,,K. Porziņģis REBOUND (Off:1 Def:2),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,,,,,,219.0,3.0,2.0,1.0,,,,,,,,,,,
221,PT09M48.00S,2025-10-31T23:49:36.7Z,2,REGULAR,3pt,Jump Shot,[],1630552,4.681340341655716,93.87254901960785,1610612737,35,37,2025-10-31T23:49:41Z,2130000,False,-219.0,-8.0,1,left,MISS J. Johnson 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,21.96,Missed,,,,,,,,,,,,,,,,,,
222,PT09M45.00S,2025-10-31T23:49:39.7Z,2,REGULAR,rebound,offensive,[],1630552,,,1610612737,35,37,2025-10-31T23:49:41Z,2140000,False,,,0,,J. Johnson REBOUND (Off:1 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,,,,,,221.0,3.0,2.0,1.0,,,,,,,,,,,
223,PT09M42.00S,2025-10-31T23:49:43.0Z,2,REGULAR,turnover,lost ball,[],204001,,,1610612737,35,37,2025-10-31T23:49:45Z,2150000,False,,,0,,K. Porziņģis lost ball TURNOVER (2 TO),"[204001, 1630644]",1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2.0,McClung,1630644.0,,,,,,,,
224,PT09M42.00S,2025-10-31T23:49:43.0Z,2,REGULAR,steal,,[],1630644,,,1610612754,35,37,2025-10-31T23:49:44Z,2160000,False,,,0,,M. McClung STEAL (1 STL),[1630644],1610612754.0,IND,,,,McClung,M. McClung,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
225,PT09M36.00S,2025-10-31T23:49:49.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630644,72.22404730617609,9.803921568627452,1610612754,35,37,2025-10-31T23:49:56Z,2170000,False,-201.0,209.0,1,right,MISS M. McClung 28' running 3PT,[1630644],1610612754.0,IND,running,,,McClung,M. McClung,,,,,Above the Break 3,24+ Left Center,28.97,Missed,,,,,,,,,,,,,,,,,,
226,PT09M33.00S,2025-10-31T23:49:52.0Z,2,REGULAR,rebound,defensive,[],1630811,,,1610612737,35,37,2025-10-31T23:49:56Z,2180000,False,,,0,,K. Wallace REBOUND (Off:0 Def:3),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Left Center,,,,,,225.0,3.0,3.0,0.0,,,,,,,,,,,
227,PT09M25.00S,2025-10-31T23:49:58.7Z,2,REGULAR,2pt,Jump Shot,[],1630552,6.4881734559789805,91.17647058823529,1610612737,35,37,2025-10-31T23:53:06Z,2190000,False,-206.0,8.0,1,left,MISS J. Johnson 20' Jump Shot,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Left,20.61,Missed,,,,,,,,,,,,,,,,,,
228,PT09M23.00S,2025-10-31T23:50:00.7Z,2,REGULAR,rebound,defensive,[],1641767,,,1610612754,35,37,2025-10-31T23:50:02Z,2200000,False,,,0,,B. Sheppard REBOUND (Off:0 Def:1),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Left Corner 3,24+ Left,,,,,,227.0,1.0,1.0,0.0,,,,,,,,,,,
230,PT09M15.00S,2025-10-31T23:50:11.3Z,2,REGULAR,substitution,out,[],1630644,,,1610612754,35,37,2025-10-31T23:50:17Z,2220000,False,,,0,,SUB out: M. McClung,[1630644],1610612754.0,IND,,,,McClung,M. McClung,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT09M15.00S,2025-10-31T23:50:11.3Z,2,REGULAR,substitution,out,[],1627783,,,1610612754,35,37,2025-10-31T23:50:17Z,2230000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT09M15.00S,2025-10-31T23:50:11.3Z,2,REGULAR,substitution,in,[],1641716,,,1610612754,35,37,2025-10-31T23:50:17Z,2240000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT09M15.00S,2025-10-31T23:50:11.3Z,2,REGULAR,substitution,in,[],1630174,,,1610612754,35,37,2025-10-31T23:50:17Z,2250000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT09M08.00S,2025-10-31T23:50:39.9Z,2,REGULAR,turnover,lost ball,[],1631245,,,1610612754,35,37,2025-10-31T23:50:42Z,2260000,False,,,0,,Q. Jackson lost ball TURNOVER (1 TO),"[1631245, 1630700]",1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,Daniels,1630700.0,,,,,,,,
235,PT09M08.00S,2025-10-31T23:50:39.9Z,2,REGULAR,steal,,[],1630700,,,1610612737,35,37,2025-10-31T23:50:41Z,2270000,False,,,0,,D. Daniels STEAL (2 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
236,PT08M59.00S,2025-10-31T23:50:48.2Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",204001,6.521024967148489,53.67647058823529,1610612737,35,39,2025-10-31T23:55:26Z,2280000,False,-18.0,9.0,1,left,K. Porziņģis turnaround Hook (2 PTS) (J. Johnson 2 AST),"[204001, 1630552]",1610612737.0,ATL,turnaround,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,2.04,Made,2.0,,,,,,,,,,J. Johnson,1630552.0,2.0,,,,,
238,PT08M50.00S,2025-10-31T23:50:58.1Z,2,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612754,35,39,2025-10-31T23:51:04Z,2300000,False,,,0,,O. Okongwu shooting personal FOUL (2 PF) (Jackson 2 FT),"[1630168, 1631245]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,204059.0,2.0,0.0,Jackson,1631245.0
240,PT08M50.00S,2025-10-31T23:51:27.2Z,2,REGULAR,freethrow,1 of 2,[],1631245,,,1610612754,36,39,2025-10-31T23:51:27Z,2320000,False,,,0,,Q. Jackson Free Throw 1 of 2 (3 PTS),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
241,PT08M50.00S,2025-10-31T23:51:27.8Z,2,REGULAR,substitution,out,[],1630811,,,1610612754,36,39,2025-10-31T23:51:33Z,2330000,False,,,0,,SUB out: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT08M50.00S,2025-10-31T23:51:27.8Z,2,REGULAR,substitution,in,[],1629638,,,1610612754,36,39,2025-10-31T23:51:33Z,2340000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT08M50.00S,2025-10-31T23:51:52.1Z,2,REGULAR,freethrow,2 of 2,[],1631245,,,1610612754,37,39,2025-10-31T23:51:52Z,2350000,False,,,0,,Q. Jackson Free Throw 2 of 2 (4 PTS),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
244,PT08M38.00S,2025-10-31T23:52:09.5Z,2,REGULAR,2pt,Jump Shot,[],204001,10.068988173455978,72.79411764705883,1610612737,37,39,2025-10-31T23:56:20Z,2360000,False,-114.0,42.0,1,left,MISS K. Porziņģis 12' pullup bank Shot,[204001],1610612737.0,ATL,pullup bank,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,8-16 Left,12.15,Missed,,,,,,,,,,,,,,,,,,
245,PT08M34.00S,2025-10-31T23:52:13.5Z,2,REGULAR,rebound,defensive,[],1630543,,,1610612754,37,39,2025-10-31T23:52:12Z,2370000,False,,,0,,I. Jackson REBOUND (Off:0 Def:3),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Left,,,,,,244.0,3.0,3.0,0.0,,,,,,,,,,,
246,PT08M29.00S,2025-10-31T23:52:18.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641716,97.45400788436268,49.26470588235294,1610612754,37,39,2025-10-31T23:52:22Z,2380000,False,-4.0,-29.0,1,right,MISS J. Walker running Layup,[1641716],1610612754.0,IND,running,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,2.88,Missed,,,,,,,,,,,,,,,,,,
247,PT08M28.00S,2025-10-31T23:52:19.5Z,2,REGULAR,rebound,offensive,[],1630543,,,1610612754,37,39,2025-10-31T23:52:19Z,2390000,False,,,0,,I. Jackson REBOUND (Off:1 Def:3),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,246.0,4.0,3.0,1.0,,,,,,,,,,,
248,PT08M26.00S,2025-10-31T23:52:20.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630543,94.30026281208936,48.03921568627451,1610612754,37,39,2025-10-31T23:58:05Z,2400000,False,-10.0,1.0,1,right,MISS I. Jackson reverse Layup,[1630543],1610612754.0,IND,reverse,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,0.99,Missed,,,,,,,,,,,,,,,,,,
249,PT08M26.00S,2025-10-31T23:52:20.9Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612737,37,39,2025-10-31T23:52:26Z,2410000,False,,,0,,D. Daniels REBOUND (Off:0 Def:3),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,248.0,3.0,3.0,0.0,,,,,,,,,,,
250,PT08M19.00S,2025-10-31T23:52:27.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630700,7.178055190538765,49.01960784313725,1610612737,37,41,2025-10-31T23:52:30Z,2420000,False,5.0,15.0,1,left,D. Daniels running Layup (10 PTS),[1630700],1610612737.0,ATL,running,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,1.58,Made,10.0,,,,,,,,,,,,,,,,,
251,PT08M15.00S,2025-10-31T23:52:32.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641767,95.0886990801577,53.92156862745098,1610612754,39,41,2025-10-31T23:52:36Z,2430000,False,20.0,-6.0,1,right,B. Sheppard driving Layup (2 PTS) (Q. Jackson 2 AST),"[1641767, 1631245]",1610612754.0,IND,driving,,,Sheppard,B. Sheppard,,,,,Restricted Area,0-8 Center,2.06,Made,2.0,,,,,,,,,,Q. Jackson,1631245.0,2.0,,,,,
252,PT08M08.00S,2025-10-31T23:52:42.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,39,41,2025-10-31T23:52:42Z,2440000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT08M08.00S,2025-10-31T23:55:06.0Z,2,REGULAR,substitution,out,[],1630700,,,1610612737,39,41,2025-10-31T23:55:31Z,2450000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT08M08.00S,2025-10-31T23:55:06.0Z,2,REGULAR,substitution,out,[],204001,,,1610612737,39,41,2025-10-31T23:55:31Z,2460000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT08M08.00S,2025-10-31T23:55:06.0Z,2,REGULAR,substitution,in,[],1628379,,,1610612737,39,41,2025-10-31T23:55:31Z,2470000,False,,,0,,SUB in: L. Kennard,[1628379],1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT08M08.00S,2025-10-31T23:55:06.0Z,2,REGULAR,substitution,in,[],1631243,,,1610612737,39,41,2025-10-31T23:55:31Z,2480000,False,,,0,,SUB in: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT07M57.00S,2025-10-31T23:55:56.3Z,2,REGULAR,3pt,Jump Shot,[],1630552,29.25427069645204,14.460784313725492,1610612737,39,41,2025-10-31T23:56:01Z,2490000,False,178.0,222.0,1,left,MISS J. Johnson 28' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,28.48,Missed,,,,,,,,,,,,,,,,,,
259,PT07M53.00S,2025-10-31T23:56:00.3Z,2,REGULAR,rebound,defensive,[],1641767,,,1610612754,39,41,2025-10-31T23:56:01Z,2500000,False,,,0,,B. Sheppard REBOUND (Off:0 Def:2),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Right Center,,,,,,258.0,2.0,2.0,0.0,,,,,,,,,,,
260,PT07M43.00S,2025-10-31T23:56:10.7Z,2,REGULAR,foul,personal,['2freethrow'],1631243,,,1610612754,39,41,2025-10-31T23:56:24Z,2510000,False,,,0,,M. Gueye shooting personal FOUL (3 PF) (Walker 2 FT),"[1631243, 1641716]",1610612737.0,ATL,shooting,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627524.0,3.0,0.0,Walker,1641716.0
