actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
165,PT11M09.00S,2025-11-08T01:13:49.1Z,2,REGULAR,rebound,defensive,[],1630567,,,1610612761,29,26,2025-11-08T01:13:54Z,1640000,False,,,0,,S. Barnes REBOUND (Off:0 Def:4),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,164.0,4.0,4.0,0.0,,,,,,,,,,,,,
166,PT11M00.00S,2025-11-08T01:14:00.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641711,87.86136662286465,61.76470588235294,1610612761,29,26,2025-11-08T01:14:12Z,1650000,False,59.0,62.0,1,right,MISS G. Dick 8' driving Layup - blocked,"[1641711, 1630811]",1610612761.0,TOR,driving,,,Dick,G. Dick,,,,,In The Paint (Non-RA),8-16 Right,8.52,Missed,,,,,,,,,Wallace,1630811.0,,,,,,,,
167,PT11M00.00S,2025-11-08T01:14:00.4Z,2,REGULAR,block,,[],1630811,,,1610612761,29,26,2025-11-08T01:14:03Z,1660000,False,,,0,,K. Wallace BLOCK (1 BLK),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
168,PT10M59.00S,2025-11-08T01:14:01.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612737,29,26,2025-11-08T01:14:12Z,1670000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,166.0,,,,,,,,,,,,,,,,
170,PT10M39.00S,2025-11-08T01:14:26.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,7.046649145860711,47.05882352941176,1610612737,31,26,2025-11-08T01:14:31Z,1690000,False,15.0,14.0,1,left,O. Okongwu Layup (2 PTS) (D. Daniels 3 AST),"[1630168, 1630700]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.01,Made,2.0,,,,,,,,,,,,,,,D. Daniels,1630700.0,3.0
172,PT10M39.00S,2025-11-08T01:14:31.0Z,2,REGULAR,foul,personal,['1freethrow'],1630567,,,1610612737,31,26,2025-11-08T01:14:47Z,1710000,False,,,0,,S. Barnes shooting personal FOUL (2 PF) (Okongwu 1 FT),"[1630567, 1630168]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627529.0,2.0,0.0,Okongwu,1630168.0,,,
174,PT10M39.00S,2025-11-08T01:14:50.0Z,2,REGULAR,freethrow,1 of 1,[],1630168,,,1610612737,32,26,2025-11-08T01:14:50Z,1730000,False,,,0,,O. Okongwu Free Throw 1 of 1 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
175,PT10M25.00S,2025-11-08T01:15:06.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,81.94809461235218,58.333333333333336,1610612761,32,28,2025-11-08T01:15:14Z,1740000,False,42.0,117.0,1,right,I. Quickley 12' turnaround Jump Shot (8 PTS),[1630193],1610612761.0,TOR,turnaround,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,12.44,Made,8.0,,,,,,,,,,,,,,,,,
177,PT10M16.00S,2025-11-08T01:15:20.9Z,2,REGULAR,substitution,out,[],1641711,,,1610612737,32,28,2025-11-08T01:15:27Z,1760000,False,,,0,,SUB out: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT10M16.00S,2025-11-08T01:15:20.9Z,2,REGULAR,substitution,in,[],1642266,,,1610612737,32,28,2025-11-08T01:15:27Z,1770000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT10M08.00S,2025-11-08T01:15:47.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,13.354139290407357,52.450980392156865,1610612737,32,28,2025-11-08T01:17:36Z,1780000,False,-12.0,73.0,1,left,MISS O. Okongwu 7' driving floating Shot,[1630168],1610612737.0,ATL,driving floating,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,7.4,Missed,,,,,,,,,,,,,,,,,,
180,PT10M07.00S,2025-11-08T01:15:48.5Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,32,28,2025-11-08T01:17:36Z,1790000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,179.0,3.0,2.0,1.0,,,,,,,,,,,,,
181,PT10M07.00S,2025-11-08T01:15:50.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630168,5.590000152587891,50.0,1610612737,32,28,2025-11-08T01:17:43Z,1800000,False,0.0,0.0,1,left,MISS O. Okongwu tip Layup,[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
182,PT10M06.00S,2025-11-08T01:15:51.3Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,32,28,2025-11-08T01:17:43Z,1810000,False,,,0,,O. Okongwu REBOUND (Off:2 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,181.0,4.0,2.0,2.0,,,,,,,,,,,,,
183,PT10M06.00S,2025-11-08T01:15:51.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,8.492115637319317,47.794117647058826,1610612737,32,28,2025-11-08T01:17:48Z,1820000,False,11.0,27.0,1,left,MISS O. Okongwu putback Layup - blocked,"[1630168, 1630567]",1610612737.0,ATL,putback,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.94,Missed,,,,,,,,,Barnes,1630567.0,,,,,,,,
184,PT10M06.00S,2025-11-08T01:15:51.6Z,2,REGULAR,block,,[],1630567,,,1610612737,32,28,2025-11-08T01:15:53Z,1830000,False,,,0,,S. Barnes BLOCK (2 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
185,PT10M05.00S,2025-11-08T01:15:52.6Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,32,28,2025-11-08T01:17:48Z,1840000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,183.0,5.0,2.0,3.0,,,,,,,,,,,,,
186,PT10M05.00S,2025-11-08T01:15:58.8Z,2,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612737,32,28,2025-11-08T01:16:16Z,1850000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1629628, 1630168]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202053.0,1.0,0.0,Okongwu,1630168.0,,,
188,PT10M05.00S,2025-11-08T01:16:17.0Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630168,,,1610612737,33,28,2025-11-08T01:16:17Z,1870000,False,,,0,,O. Okongwu Free Throw 1 of 2 (4 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
189,PT10M05.00S,2025-11-08T01:16:28.9Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630168,,,1610612737,34,28,2025-11-08T01:16:28Z,1880000,False,,,0,,O. Okongwu Free Throw 2 of 2 (5 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
190,PT09M54.00S,2025-11-08T01:16:41.5Z,2,REGULAR,turnover,bad pass,[],1642266,,,1610612761,34,28,2025-11-08T01:16:46Z,1890000,False,,,0,,J. Walter bad pass TURNOVER (1 TO),"[1642266, 1630811]",1610612761.0,TOR,,,,Walter,J. Walter,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Wallace,1630811.0,,,,,,,,,,
191,PT09M54.00S,2025-11-08T01:16:41.5Z,2,REGULAR,steal,,[],1630811,,,1610612737,34,28,2025-11-08T01:16:43Z,1900000,False,,,0,,K. Wallace STEAL (2 STL),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
192,PT09M36.00S,2025-11-08T01:16:58.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642258,7.835085413929041,46.07843137254902,1610612737,36,28,2025-11-08T01:17:04Z,1910000,False,20.0,21.0,1,left,Z. Risacher driving Layup (6 PTS) (K. Wallace 1 AST),"[1642258, 1630811]",1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,2.88,Made,6.0,,,,,,,,,,,,,,,K. Wallace,1630811.0,1.0
194,PT09M26.00S,2025-11-08T01:17:09.8Z,2,REGULAR,turnover,lost ball,[],1642266,,,1610612761,36,28,2025-11-08T01:17:13Z,1930000,False,,,0,,J. Walter lost ball TURNOVER (2 TO),"[1642266, 1630168]",1610612761.0,TOR,,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,,,,,,,,2.0,Okongwu,1630168.0,,,,,,,,,,
195,PT09M26.00S,2025-11-08T01:17:09.8Z,2,REGULAR,steal,,[],1630168,,,1610612737,36,28,2025-11-08T01:17:11Z,1940000,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
196,PT09M21.00S,2025-11-08T01:17:14.8Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1642258,28.991458607095925,76.7156862745098,1610612737,39,28,2025-11-08T01:17:25Z,1950000,False,-134.0,220.0,1,left,Z. Risacher 25' 3PT running pullup (9 PTS) (K. Wallace 2 AST),"[1642258, 1630811]",1610612737.0,ATL,running pullup,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,25.74,Made,9.0,,,,,,,,,,,,,,,K. Wallace,1630811.0,2.0
198,PT09M20.00S,2025-11-08T01:17:20.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,39,28,2025-11-08T01:17:20Z,1970000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT09M20.00S,2025-11-08T01:19:54.9Z,2,REGULAR,substitution,out,[],1627751,,,1610612761,39,28,2025-11-08T01:20:09Z,1980000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT09M20.00S,2025-11-08T01:19:54.9Z,2,REGULAR,substitution,in,[],1630572,,,1610612761,39,28,2025-11-08T01:20:09Z,1990000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT09M07.00S,2025-11-08T01:20:29.4Z,2,REGULAR,3pt,Jump Shot,[],1630567,81.42247043363994,93.87254901960785,1610612761,39,28,2025-11-08T01:27:16Z,2000000,False,219.0,122.0,1,right,MISS S. Barnes 25' step back 3PT,[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,25.11,Missed,,,,,,,,,,,,,,,,,,
202,PT09M05.00S,2025-11-08T01:20:31.4Z,2,REGULAR,rebound,defensive,[],204001,,,1610612737,39,28,2025-11-08T01:20:35Z,2010000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,,,,201.0,1.0,1.0,0.0,,,,,,,,,,,,,
203,PT08M59.00S,2025-11-08T01:20:38.4Z,2,REGULAR,3pt,Jump Shot,[],204001,32.670827858081466,55.88235294117647,1610612737,39,28,2025-11-08T01:45:39Z,2020000,False,-29.0,255.0,1,left,MISS K. Porziņģis 25' step back 3PT,[204001],1610612737.0,ATL,step back,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,25.63,Missed,,,,,,,,,,,,,,,,,,
204,PT08M58.00S,2025-11-08T01:20:39.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,39,28,2025-11-08T02:10:51Z,2030000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,,203.0,,,,,,,,,,,,,,,,
205,PT08M57.00S,2025-11-08T01:20:44.9Z,2,REGULAR,foul,personal,[],1642266,,,1610612737,39,28,2025-11-08T01:42:39Z,2040000,False,,,0,,J. Walter loose ball personal FOUL (1 PF),"[1642266, 1630168]",1610612761.0,TOR,loose ball,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627529.0,1.0,0.0,Okongwu,1630168.0,,,
207,PT08M42.00S,2025-11-08T01:21:33.0Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612737,39,28,2025-11-08T01:21:43Z,2060000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1627529.0,,,,,,,
208,PT08M29.00S,2025-11-08T01:21:52.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630567,82.7365308804205,26.715686274509803,1610612761,39,28,2025-11-08T01:21:58Z,2070000,False,-116.0,110.0,1,right,MISS S. Barnes 16' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,16.0,Missed,,,,,,,,,,,,,,,,,,
209,PT08M25.00S,2025-11-08T01:21:56.8Z,2,REGULAR,rebound,defensive,[],1630168,,,1610612737,39,28,2025-11-08T01:21:58Z,2080000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,208.0,6.0,3.0,3.0,,,,,,,,,,,,,
210,PT08M13.00S,2025-11-08T01:22:08.4Z,2,REGULAR,3pt,Jump Shot,[],1642258,27.94021024967148,80.63725490196079,1610612737,39,28,2025-11-08T01:22:14Z,2090000,False,-153.0,210.0,1,left,MISS Z. Risacher 26' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,26.0,Missed,,,,,,,,,,,,,,,,,,
211,PT08M10.00S,2025-11-08T01:22:11.4Z,2,REGULAR,rebound,defensive,[],1629628,,,1610612761,39,28,2025-11-08T01:22:14Z,2100000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,210.0,1.0,1.0,0.0,,,,,,,,,,,,,
212,PT08M05.00S,2025-11-08T01:22:17.6Z,2,REGULAR,foul,personal,['2freethrow'],1630811,,,1610612761,39,28,2025-11-08T01:22:42Z,2110000,False,,,0,,K. Wallace shooting personal FOUL (1 PF) (Barrett 2 FT),"[1630811, 1629628]",1610612737.0,ATL,shooting,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627529.0,1.0,0.0,Barrett,1629628.0,,,
214,PT08M05.00S,2025-11-08T01:22:43.5Z,2,REGULAR,freethrow,1 of 2,[],1629628,,,1610612761,39,29,2025-11-08T01:22:43Z,2130000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
215,PT08M05.00S,2025-11-08T01:22:45.1Z,2,REGULAR,substitution,out,[],1630700,,,1610612761,39,29,2025-11-08T01:22:57Z,2140000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT08M05.00S,2025-11-08T01:22:45.1Z,2,REGULAR,substitution,out,[],204001,,,1610612761,39,29,2025-11-08T01:22:57Z,2150000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT08M05.00S,2025-11-08T01:22:45.1Z,2,REGULAR,substitution,out,[],1642258,,,1610612761,39,29,2025-11-08T01:22:57Z,2160000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M05.00S,2025-11-08T01:22:45.1Z,2,REGULAR,substitution,out,[],1630567,,,1610612761,39,29,2025-11-08T01:22:57Z,2170000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M05.00S,2025-11-08T01:22:45.1Z,2,REGULAR,substitution,in,[],1630249,,,1610612761,39,29,2025-11-08T01:22:57Z,2180000,False,,,0,,SUB in: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M05.00S,2025-11-08T01:22:45.1Z,2,REGULAR,substitution,in,[],1630552,,,1610612761,39,29,2025-11-08T01:22:57Z,2190000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M05.00S,2025-11-08T01:22:45.1Z,2,REGULAR,substitution,in,[],1631243,,,1610612761,39,29,2025-11-08T01:22:57Z,2200000,False,,,0,,SUB in: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT08M05.00S,2025-11-08T01:22:45.1Z,2,REGULAR,substitution,in,[],1642867,,,1610612761,39,29,2025-11-08T01:22:57Z,2210000,False,,,0,,SUB in: C. Murray-Boyles,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M05.00S,2025-11-08T01:23:04.2Z,2,REGULAR,freethrow,2 of 2,[],1629628,,,1610612761,39,30,2025-11-08T01:23:04Z,2220000,False,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
224,PT07M51.00S,2025-11-08T01:23:19.2Z,2,REGULAR,3pt,Jump Shot,[],1631243,7.5722733245729295,94.6078431372549,1610612737,39,30,2025-11-08T01:23:25Z,2230000,False,-223.0,19.0,1,left,MISS M. Gueye 3PT,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Left Corner 3,24+ Left,22.38,Missed,,,,,,,,,,,,,,,,,,
225,PT07M48.00S,2025-11-08T01:23:22.2Z,2,REGULAR,rebound,defensive,[],1630572,,,1610612761,39,30,2025-11-08T01:23:25Z,2240000,False,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:2),[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Left Corner 3,24+ Left,,,,224.0,3.0,2.0,1.0,,,,,,,,,,,,,
226,PT07M40.00S,2025-11-08T01:23:30.8Z,2,REGULAR,3pt,Jump Shot,[],1642266,87.86136662286465,96.32352941176471,1610612761,39,30,2025-11-08T01:23:35Z,2250000,False,232.0,62.0,1,right,MISS J. Walter 3PT,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Right Corner 3,24+ Right,23.97,Missed,,,,,,,,,,,,,,,,,,
227,PT07M37.00S,2025-11-08T01:23:33.8Z,2,REGULAR,rebound,defensive,[],1630249,,,1610612737,39,30,2025-11-08T01:23:35Z,2260000,False,,,0,,V. Krejčí REBOUND (Off:1 Def:1),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Right Corner 3,24+ Right,,,,226.0,2.0,1.0,1.0,,,,,,,,,,,,,
228,PT07M33.00S,2025-11-08T01:23:40.3Z,2,REGULAR,foul,offensive,[],1630168,,,1610612737,39,30,2025-11-08T01:23:48Z,2270000,False,,,0,,O. Okongwu off-the-ball offensive FOUL (1 PF),"[1630168, 1630193]",1610612737.0,ATL,off-the-ball,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,202053.0,1.0,0.0,Quickley,1630193.0,,,
230,PT07M33.00S,2025-11-08T01:23:40.3Z,2,REGULAR,turnover,offensive foul,[],1630168,,,1610612737,39,30,2025-11-08T01:23:40Z,2290000,False,,,0,,O. Okongwu offensive foul TURNOVER (1 TO),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,202053.0,,,,,,,
231,PT07M33.00S,2025-11-08T01:23:51.9Z,2,REGULAR,substitution,out,[],1629628,,,1610612761,39,30,2025-11-08T01:23:55Z,2300000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M33.00S,2025-11-08T01:23:51.9Z,2,REGULAR,substitution,in,[],1627742,,,1610612761,39,30,2025-11-08T01:23:55Z,2310000,False,,,0,,SUB in: B. Ingram,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT07M21.00S,2025-11-08T01:24:13.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1642867,93.77463863337714,4.6568627450980395,1610612761,39,30,2025-11-08T01:24:18Z,2320000,False,-227.0,6.0,1,right,MISS C. Murray-Boyles 3PT,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Left Corner 3,24+ Left,22.68,Missed,,,,,,,,,,,,,,,,,,
234,PT07M17.00S,2025-11-08T01:24:17.2Z,2,REGULAR,rebound,defensive,[],1630811,,,1610612737,39,30,2025-11-08T01:24:18Z,2330000,False,,,0,,K. Wallace REBOUND (Off:0 Def:2),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Left Corner 3,24+ Left,,,,233.0,2.0,2.0,0.0,,,,,,,,,,,,,
235,PT07M09.00S,2025-11-08T01:24:25.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,7.30946123521682,49.50980392156863,1610612737,41,30,2025-11-08T01:24:32Z,2340000,False,2.0,16.0,1,left,O. Okongwu cutting DUNK (7 PTS) (V. Krejčí 2 AST),"[1630168, 1630249]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,1.64,Made,7.0,,,,,,,,,,,,,,,V. Krejčí,1630249.0,2.0
237,PT06M50.00S,2025-11-08T01:24:44.3Z,2,REGULAR,3pt,Jump Shot,[],1630572,67.36202365308804,42.15686274509804,1610612761,41,30,2025-11-08T01:24:50Z,2360000,False,-39.0,254.0,1,right,MISS S. Mamukelashvili 25' 3PT,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Center,25.73,Missed,,,,,,,,,,,,,,,,,,
238,PT06M46.00S,2025-11-08T01:24:48.3Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,41,30,2025-11-08T01:24:50Z,2370000,False,,,0,,J. Johnson REBOUND (Off:0 Def:4),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,237.0,4.0,4.0,0.0,,,,,,,,,,,,,
239,PT06M37.00S,2025-11-08T01:24:56.7Z,2,REGULAR,turnover,bad pass,[],1630552,,,1610612737,41,30,2025-11-08T01:25:01Z,2380000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 1627742]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Ingram,1627742.0,,,,,,,,,,
240,PT06M37.00S,2025-11-08T01:24:56.7Z,2,REGULAR,steal,,[],1627742,,,1610612761,41,30,2025-11-08T01:24:58Z,2390000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
241,PT06M21.00S,2025-11-08T01:25:12.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630193,68.54467805519053,60.049019607843135,1610612761,41,30,2025-11-08T01:25:19Z,2400000,False,50.0,243.0,1,right,MISS I. Quickley 24' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,24.83,Missed,,,,,,,,,,,,,,,,,,
242,PT06M18.00S,2025-11-08T01:25:15.7Z,2,REGULAR,rebound,defensive,[],1631243,,,1610612737,41,30,2025-11-08T01:25:19Z,2410000,False,,,0,,M. Gueye REBOUND (Off:0 Def:2),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Center,,,,241.0,2.0,2.0,0.0,,,,,,,,,,,,,
243,PT06M09.00S,2025-11-08T01:25:24.9Z,2,REGULAR,turnover,bad pass,[],1630552,,,1610612737,41,30,2025-11-08T01:25:30Z,2420000,False,,,0,,J. Johnson bad pass TURNOVER (2 TO),"[1630552, 1630193]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,Quickley,1630193.0,,,,,,,,,,
244,PT06M09.00S,2025-11-08T01:25:24.9Z,2,REGULAR,steal,,[],1630193,,,1610612761,41,30,2025-11-08T01:25:26Z,2430000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
245,PT06M04.00S,2025-11-08T01:25:30.1Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630572,95.22010512483574,96.56862745098039,1610612761,41,30,2025-11-08T01:35:26Z,2440000,False,233.0,-8.0,1,right,MISS S. Mamukelashvili running 3PT,[1630572],1610612761.0,TOR,running,,,Mamukelashvili,S. Mamukelashvili,,,,,Right Corner 3,24+ Right,23.29,Missed,,,,,,,,,,,,,,,,,,
