actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
171,PT00M12.70S,2026-02-06T01:07:06.9Z,1,REGULAR,3pt,Jump Shot,[],1630557,29.25427069645204,70.58823529411765,1610612737,30,29,2026-02-06T01:07:13Z,1700000,False,-103.0,222.0,1,left,C. Kispert 24' 3PT  (7 PTS) (C. McCollum 3 AST),"[1630557, 203468]",1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,24.51,Made,,,,,,,,,,,7.0,,,C. McCollum,203468.0,3.0,,
173,PT00M00.40S,2026-02-06T01:07:23.3Z,1,REGULAR,2pt,Jump Shot,[],1641729,77.08607095926413,64.70588235294117,1610612762,30,31,2026-02-06T01:07:39Z,1720000,False,74.0,163.0,1,right,B. Sensabaugh 17' pullup Jump Shot (8 PTS),[1641729],1610612762.0,UTA,pullup,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,16-24 Right Center,17.87,Made,,,,,,,,,,,8.0,,,,,,,
174,PT00M00.00S,2026-02-06T01:07:26.7Z,1,REGULAR,period,end,[],0,,,1610612737,30,31,2026-02-06T01:07:26Z,1730000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2026-02-06T01:09:45.5Z,2,REGULAR,substitution,out,['startperiod'],1629638,,,1610612737,30,31,2026-02-06T01:10:12Z,1740000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2026-02-06T01:09:45.5Z,2,REGULAR,substitution,out,['startperiod'],1642262,,,1610612737,30,31,2026-02-06T01:10:12Z,1750000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2026-02-06T01:09:45.5Z,2,REGULAR,substitution,in,['startperiod'],1630700,,,1610612737,30,31,2026-02-06T01:10:12Z,1760000,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2026-02-06T01:09:45.5Z,2,REGULAR,substitution,in,['startperiod'],1642846,,,1610612737,30,31,2026-02-06T01:10:12Z,1770000,False,,,0,,SUB in: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2026-02-06T01:10:16.8Z,2,REGULAR,period,start,[],0,,,1610612762,30,31,2026-02-06T01:10:16Z,1780000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT11M47.00S,2026-02-06T01:10:29.5Z,2,REGULAR,3pt,Jump Shot,[],1642846,69.72733245729303,29.166666666666668,1610612762,30,31,2026-02-06T01:11:07Z,1790000,False,-104.0,232.0,1,right,MISS A. Bailey 25' 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Left Center,25.44,Missed,,,,,,,,,,,,,,,,,,
182,PT11M43.00S,2026-02-06T01:10:33.5Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612737,30,31,2026-02-06T01:10:35Z,1800000,False,,,0,,D. Daniels REBOUND (Off:1 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,181.0,2.0,1.0,1.0,,,,,,,,,,,,,,
183,PT11M42.00S,2026-02-06T01:10:35.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642854,4.944152431011826,52.20588235294118,1610612737,32,31,2026-02-06T01:10:54Z,1810000,False,-11.0,-6.0,1,left,A. Newell running Layup (4 PTS) (D. Daniels 2 AST),"[1642854, 1630700]",1610612737.0,ATL,running,,,Newell,A. Newell,,,,,Restricted Area,0-8 Center,1.25,Made,,,,,,,,,,,4.0,,,D. Daniels,1630700.0,2.0,,
185,PT11M42.00S,2026-02-06T01:10:42.0Z,2,REGULAR,foul,personal,['1freethrow'],1642846,,,1610612737,32,31,2026-02-06T01:10:58Z,1830000,False,,,0,,A. Bailey shooting personal FOUL (1 PF) (Newell 1 FT),"[1642846, 1642854]",1610612762.0,UTA,shooting,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,,,,1628172.0,,1.0,0.0,Newell,1642854.0,,,,,,,,
187,PT11M42.00S,2026-02-06T01:11:08.5Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],1642854,,,1610612737,33,31,2026-02-06T01:11:08Z,1850000,False,,,0,,A. Newell Free Throw 1 of 1 (5 PTS),[1642854],1610612737.0,ATL,,,,Newell,A. Newell,,,,,,,,Made,,,,,,,,,,,5.0,,,,,,,
188,PT11M25.00S,2026-02-06T01:11:26.8Z,2,REGULAR,3pt,Jump Shot,[],1629004,69.46452036793693,74.75490196078431,1610612762,33,31,2026-02-06T01:11:33Z,1860000,False,124.0,235.0,1,right,MISS S. Mykhailiuk 26' 3PT,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,26.52,Missed,,,,,,,,,,,,,,,,,,
189,PT11M20.00S,2026-02-06T01:11:31.8Z,2,REGULAR,rebound,defensive,[],1631243,,,1610612737,33,31,2026-02-06T01:11:33Z,1870000,False,,,0,,M. Gueye REBOUND (Off:0 Def:3),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Right Center,,,188.0,3.0,3.0,0.0,,,,,,,,,,,,,,
190,PT11M14.00S,2026-02-06T01:11:36.6Z,2,REGULAR,3pt,Jump Shot,[],1630557,23.99802890932983,13.23529411764706,1610612737,33,31,2026-02-06T01:11:42Z,1880000,False,184.0,173.0,1,left,MISS C. Kispert 25' pullup 3PT,[1630557],1610612737.0,ATL,pullup,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,25.25,Missed,,,,,,,,,,,,,,,,,,
191,PT11M10.00S,2026-02-06T01:11:40.6Z,2,REGULAR,rebound,offensive,[],1642854,,,1610612737,33,31,2026-02-06T01:11:42Z,1890000,False,,,0,,A. Newell REBOUND (Off:1 Def:0),[1642854],1610612737.0,ATL,,,,Newell,A. Newell,,,,,Above the Break 3,24+ Right Center,,,190.0,1.0,0.0,1.0,,,,,,,,,,,,,,
192,PT11M10.00S,2026-02-06T01:11:41.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642854,5.590000152587891,50.0,1610612737,35,31,2026-02-06T01:11:41Z,1900000,False,0.0,0.0,1,left,A. Newell tip DUNK (7 PTS),[1642854],1610612737.0,ATL,tip,,,Newell,A. Newell,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,7.0,,,,,,,
193,PT10M54.00S,2026-02-06T01:11:57.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641729,88.12417871222075,51.9607843137255,1610612762,35,33,2026-02-06T01:13:01Z,1910000,False,10.0,59.0,1,right,B. Sensabaugh driving floating Jump Shot (10 PTS),[1641729],1610612762.0,UTA,driving floating,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,5.99,Made,,,,,,,,,,,10.0,,,,,,,
194,PT10M33.00S,2026-02-06T01:12:17.9Z,2,REGULAR,3pt,Jump Shot,[],1631243,24.52365308804205,14.215686274509803,1610612737,35,33,2026-02-06T01:12:26Z,1920000,False,179.0,178.0,1,left,MISS M. Gueye 25' 3PT,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
195,PT10M27.00S,2026-02-06T01:12:23.9Z,2,REGULAR,rebound,offensive,[],1630700,,,1610612737,35,33,2026-02-06T01:12:26Z,1930000,False,,,0,,D. Daniels REBOUND (Off:2 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,194.0,3.0,1.0,2.0,,,,,,,,,,,,,,
196,PT10M25.00S,2026-02-06T01:12:26.5Z,2,REGULAR,turnover,bad pass,[],1630700,,,1610612737,35,33,2026-02-06T01:12:32Z,1940000,False,,,0,,D. Daniels bad pass TURNOVER (1 TO),"[1630700, 1642268]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,,,,,,,,,Collier,1642268.0
197,PT10M25.00S,2026-02-06T01:12:26.5Z,2,REGULAR,steal,,[],1642268,,,1610612762,35,33,2026-02-06T01:12:28Z,1950000,False,,,0,,I. Collier STEAL (2 STL),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
201,PT10M21.00S,2026-02-06T01:12:44.6Z,2,REGULAR,foul,personal,['2freethrow'],1630557,,,1610612762,35,33,2026-02-06T01:12:54Z,1990000,False,,,0,,C. Kispert shooting personal FOUL (1 PF) (Collier 2 FT),"[1630557, 1642268]",1610612737.0,ATL,shooting,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,,1628172.0,,1.0,0.0,Collier,1642268.0,,,,,,,,
203,PT10M21.00S,2026-02-06T01:12:59.3Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1642268,,,1610612762,35,34,2026-02-06T01:12:59Z,2010000,False,,,0,,I. Collier Free Throw 1 of 2 (8 PTS),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Made,,,,,,,,,,,8.0,,,,,,,
204,PT10M21.00S,2026-02-06T01:13:15.4Z,2,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1642268,,,1610612762,35,35,2026-02-06T01:13:15Z,2020000,False,,,0,,I. Collier Free Throw 2 of 2 (9 PTS),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Made,,,,,,,,,,,9.0,,,,,,,
205,PT10M13.00S,2026-02-06T01:13:25.1Z,2,REGULAR,3pt,Jump Shot,[],203468,27.54599211563732,18.137254901960784,1610612737,35,35,2026-02-06T01:13:29Z,2030000,False,159.0,206.0,1,left,MISS C. McCollum 26' 3PT,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,26.07,Missed,,,,,,,,,,,,,,,,,,
206,PT10M10.00S,2026-02-06T01:13:28.1Z,2,REGULAR,rebound,defensive,[],1642271,,,1610612762,35,35,2026-02-06T01:13:29Z,2040000,False,,,0,,K. Filipowski REBOUND (Off:3 Def:2),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Right Center,,,205.0,5.0,2.0,3.0,,,,,,,,,,,,,,
207,PT10M02.00S,2026-02-06T01:13:36.4Z,2,REGULAR,3pt,Jump Shot,[],1629004,95.48291721419186,3.6764705882352944,1610612762,35,38,2026-02-06T01:13:41Z,2050000,False,-232.0,-10.0,1,right,S. Mykhailiuk 3PT  (3 PTS) (A. Bailey 1 AST),"[1629004, 1642846]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Left Corner 3,24+ Left,23.18,Made,,,,,,,,,,,3.0,,,A. Bailey,1642846.0,1.0,,
209,PT09M52.00S,2026-02-06T01:13:45.9Z,2,REGULAR,3pt,Jump Shot,[],1642854,32.013797634691194,41.42156862745098,1610612737,35,38,2026-02-06T01:13:52Z,2070000,False,43.0,248.0,1,left,MISS A. Newell 25' 3PT,[1642854],1610612737.0,ATL,,,,Newell,A. Newell,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
210,PT09M49.00S,2026-02-06T01:13:50.5Z,2,REGULAR,rebound,offensive,[],1631243,,,1610612737,35,38,2026-02-06T01:13:50Z,2080000,False,,,0,,M. Gueye REBOUND (Off:1 Def:3),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Center,,,209.0,4.0,3.0,1.0,,,,,,,,,,,,,,
211,PT09M49.00S,2026-02-06T01:13:52.3Z,2,REGULAR,foul,personal,[],1642271,,,1610612737,35,38,2026-02-06T01:13:59Z,2090000,False,,,0,,K. Filipowski personal FOUL (1 PF),"[1642271, 1631243]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Left Corner 3,24+ Left,,,,,,,204058.0,,1.0,0.0,Gueye,1631243.0,,,,,,,,
213,PT09M37.00S,2026-02-06T01:14:25.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630700,13.354139290407357,46.07843137254902,1610612737,35,38,2026-02-06T01:14:32Z,2110000,False,20.0,73.0,1,left,MISS D. Daniels 7' driving floating Shot - blocked,"[1630700, 1642846]",1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,7.56,Missed,,,,,,,,,,,,Bailey,1642846.0,,,,,
214,PT09M37.00S,2026-02-06T01:14:25.8Z,2,REGULAR,block,,[],1642846,,,1610612737,35,38,2026-02-06T01:14:28Z,2120000,False,,,0,,A. Bailey BLOCK (1 BLK),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
215,PT09M36.00S,2026-02-06T01:14:26.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612762,35,38,2026-02-06T01:14:32Z,2130000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,213.0,,,,,,,,,,,,,,,,,
217,PT09M17.00S,2026-02-06T01:14:56.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629004,82.21090670170827,41.42156862745098,1610612762,35,40,2026-02-06T01:15:06Z,2150000,False,-43.0,115.0,1,right,S. Mykhailiuk 12' fadeaway Jump Shot (5 PTS) (I. Collier 5 AST),"[1629004, 1642268]",1610612762.0,UTA,fadeaway,,,Mykhailiuk,S. Mykhailiuk,,,,,In The Paint (Non-RA),8-16 Center,12.25,Made,,,,,,,,,,,5.0,,,I. Collier,1642268.0,5.0,,
219,PT09M01.00S,2026-02-06T01:15:12.2Z,2,REGULAR,3pt,Jump Shot,[],1642854,8.229303547963205,97.79411764705883,1610612737,35,40,2026-02-06T01:15:17Z,2170000,False,-239.0,25.0,1,left,MISS A. Newell 24' 3PT,[1642854],1610612737.0,ATL,,,,Newell,A. Newell,,,,,Left Corner 3,24+ Left,24.03,Missed,,,,,,,,,,,,,,,,,,
220,PT08M57.00S,2026-02-06T01:15:16.2Z,2,REGULAR,rebound,defensive,[],1642268,,,1610612762,35,40,2026-02-06T01:15:17Z,2180000,False,,,0,,I. Collier REBOUND (Off:0 Def:3),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Left Corner 3,24+ Left,,,219.0,3.0,3.0,0.0,,,,,,,,,,,,,,
221,PT08M54.00S,2026-02-06T01:15:19.3Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642846,92.9862023653088,49.754901960784316,1610612762,35,42,2026-02-06T01:16:06Z,2190000,False,-1.0,13.0,1,right,A. Bailey running alley-oop Layup (2 PTS) (I. Collier 6 AST),"[1642846, 1642268]",1610612762.0,UTA,running alley-oop,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,,,,,,2.0,,,I. Collier,1642268.0,6.0,,
223,PT08M42.00S,2026-02-06T01:15:33.0Z,2,REGULAR,foul,personal,[],1642271,,,1610612737,35,42,2026-02-06T01:16:13Z,2210000,False,,,0,,K. Filipowski personal FOUL (2 PF),"[1642271, 203468]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628172.0,,2.0,0.0,McCollum,203468.0,,,,,,,,
225,PT08M42.00S,2026-02-06T01:15:49.9Z,2,REGULAR,substitution,out,[],1631243,,,1610612737,35,42,2026-02-06T01:15:55Z,2230000,False,,,0,,SUB out: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M42.00S,2026-02-06T01:15:49.9Z,2,REGULAR,substitution,in,[],1630552,,,1610612737,35,42,2026-02-06T01:15:55Z,2240000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M42.00S,2026-02-06T01:15:49.9Z,2,REGULAR,substitution,out,[],203468,,,1610612737,35,42,2026-02-06T01:16:08Z,2250000,False,,,0,,SUB out: C. McCollum,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M42.00S,2026-02-06T01:15:49.9Z,2,REGULAR,substitution,in,[],1642258,,,1610612737,35,42,2026-02-06T01:16:08Z,2260000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M33.00S,2026-02-06T01:16:21.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,5.206964520367937,50.73529411764706,1610612737,37,42,2026-02-06T01:16:29Z,2270000,False,-4.0,-4.0,1,left,C. Kispert cutting Layup (9 PTS) (J. Johnson 5 AST),"[1630557, 1630552]",1610612737.0,ATL,cutting,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,0.52,Made,,,,,,,,,,,9.0,,,J. Johnson,1630552.0,5.0,,
231,PT08M14.00S,2026-02-06T01:16:40.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642268,87.99277266754271,50.245098039215684,1610612762,37,42,2026-02-06T01:16:47Z,2290000,False,1.0,60.0,1,right,MISS I. Collier 6' turnaround Shot,[1642268],1610612762.0,UTA,turnaround,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,6.04,Missed,,,,,,,,,,,,,,,,,,
232,PT08M11.00S,2026-02-06T01:16:43.4Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,37,42,2026-02-06T01:16:47Z,2300000,False,,,0,,J. Johnson REBOUND (Off:1 Def:3),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,231.0,4.0,3.0,1.0,,,,,,,,,,,,,,
233,PT07M56.00S,2026-02-06T01:16:59.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630700,10.200394218134035,51.225490196078425,1610612737,37,42,2026-02-06T01:17:07Z,2310000,False,-6.0,43.0,1,left,MISS D. Daniels turnaround Hook,[1630700],1610612737.0,ATL,turnaround,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,4.38,Missed,,,,,,,,,,,,,,,,,,
234,PT07M54.00S,2026-02-06T01:17:01.6Z,2,REGULAR,rebound,offensive,[],1642854,,,1610612737,37,42,2026-02-06T01:17:01Z,2320000,False,,,0,,A. Newell REBOUND (Off:2 Def:0),[1642854],1610612737.0,ATL,,,,Newell,A. Newell,,,,,Restricted Area,0-8 Center,,,233.0,2.0,0.0,2.0,,,,,,,,,,,,,,
235,PT07M54.00S,2026-02-06T01:17:03.5Z,2,REGULAR,foul,personal,['2freethrow'],1642268,,,1610612737,37,42,2026-02-06T01:17:28Z,2330000,False,,,0,,I. Collier shooting personal FOUL (3 PF) (Newell 2 FT),"[1642268, 1642854]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,,,,1628172.0,,3.0,0.0,Newell,1642854.0,,,,,,,,
237,PT07M54.00S,2026-02-06T01:17:31.7Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1642854,,,1610612737,37,42,2026-02-06T01:17:55Z,2350000,False,,,0,,MISS A. Newell Free Throw 1 of 2,[1642854],1610612737.0,ATL,,,,Newell,A. Newell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
238,PT07M54.00S,2026-02-06T01:17:31.7Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612737,37,42,2026-02-06T01:17:55Z,2360000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,237.0,,,,,,,,,,,,,,,,,
239,PT07M54.00S,2026-02-06T01:17:33.0Z,2,REGULAR,substitution,out,[],1630700,,,1610612737,37,42,2026-02-06T01:17:42Z,2370000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT07M54.00S,2026-02-06T01:17:33.0Z,2,REGULAR,substitution,in,[],1629638,,,1610612737,37,42,2026-02-06T01:17:42Z,2380000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT07M54.00S,2026-02-06T01:17:31.7Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1642854,,,1610612737,37,42,2026-02-06T01:17:55Z,2390000,False,,,0,,MISS A. Newell Free Throw 2 of 2,[1642854],1610612737.0,ATL,,,,Newell,A. Newell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
242,PT07M51.00S,2026-02-06T01:17:34.7Z,2,REGULAR,rebound,defensive,[],1641729,,,1610612762,37,42,2026-02-06T01:17:55Z,2400000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:2),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,241.0,2.0,2.0,0.0,,,,,,,,,,,,,,
243,PT07M44.00S,2026-02-06T01:18:05.0Z,2,REGULAR,foul,personal,[],1630552,,,1610612762,37,42,2026-02-06T01:18:11Z,2410000,False,,,0,,J. Johnson personal FOUL (1 PF),"[1630552, 1642846]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,204058.0,,1.0,0.0,Bailey,1642846.0,,,,,,,,
245,PT07M44.00S,2026-02-06T01:18:10.6Z,2,REGULAR,substitution,out,[],1642854,,,1610612762,37,42,2026-02-06T01:18:15Z,2430000,False,,,0,,SUB out: A. Newell,[1642854],1610612737.0,ATL,,,,Newell,A. Newell,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M44.00S,2026-02-06T01:18:10.6Z,2,REGULAR,substitution,in,[],1629111,,,1610612762,37,42,2026-02-06T01:18:15Z,2440000,False,,,0,,SUB in: J. Landale,[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M34.00S,2026-02-06T01:18:33.1Z,2,REGULAR,2pt,Jump Shot,[],1642846,92.59198423127464,65.93137254901961,1610612762,37,42,2026-02-06T01:18:39Z,2450000,False,80.0,17.0,1,right,MISS A. Bailey 8' turnaround Shot - blocked,"[1642846, 1630552]",1610612762.0,UTA,turnaround,,,Bailey,A. Bailey,,,,,Mid-Range,8-16 Right,8.15,Missed,,,,,,,,,,,,Johnson,1630552.0,,,,,
248,PT07M34.00S,2026-02-06T01:18:33.1Z,2,REGULAR,block,,[],1630552,,,1610612762,37,42,2026-02-06T01:18:36Z,2460000,False,,,0,,J. Johnson BLOCK (1 BLK),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
249,PT07M33.00S,2026-02-06T01:18:34.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612737,37,42,2026-02-06T01:18:39Z,2470000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,8-16 Right,,,247.0,,,,,,,,,,,,,,,,,
251,PT07M20.00S,2026-02-06T01:18:52.7Z,2,REGULAR,3pt,Jump Shot,[],1629111,4.812746386333772,4.6568627450980395,1610612737,37,42,2026-02-06T01:18:58Z,2490000,False,227.0,-7.0,1,left,MISS J. Landale 3PT,[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
252,PT07M18.00S,2026-02-06T01:18:54.7Z,2,REGULAR,rebound,defensive,[],1642846,,,1610612762,37,42,2026-02-06T01:18:58Z,2500000,False,,,0,,A. Bailey REBOUND (Off:0 Def:2),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Right Corner 3,24+ Right,,,251.0,2.0,2.0,0.0,,,,,,,,,,,,,,
253,PT07M13.00S,2026-02-06T01:19:02.8Z,2,REGULAR,foul,personal,[],1642258,,,1610612762,37,42,2026-02-06T01:19:12Z,2510000,False,,,0,,Z. Risacher personal FOUL (1 PF),"[1642258, 1642846]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,204058.0,,1.0,0.0,Bailey,1642846.0,,,,,,,,
255,PT07M01.00S,2026-02-06T01:19:37.2Z,2,REGULAR,2pt,Jump Shot,[],1641729,77.21747700394218,53.431372549019606,1610612762,37,42,2026-02-06T01:21:34Z,2530000,False,17.0,162.0,1,right,MISS B. Sensabaugh 16' step back Shot,[1641729],1610612762.0,UTA,step back,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,16-24 Center,16.26,Missed,,,,,,,,,,,,,,,,,,
256,PT06M58.00S,2026-02-06T01:19:40.2Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,37,42,2026-02-06T01:19:44Z,2540000,False,,,0,,J. Johnson REBOUND (Off:1 Def:4),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Center,,,255.0,5.0,4.0,1.0,,,,,,,,,,,,,,
257,PT06M56.00S,2026-02-06T01:19:45.5Z,2,REGULAR,violation,kicked ball,[],1641729,,,1610612737,37,42,2026-02-06T01:19:57Z,2550000,False,,,0,,B. Sensabaugh kicked ball VIOLATION,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,204058.0,,,,,,,,,,,,,
258,PT06M56.00S,2026-02-06T01:19:50.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,37,42,2026-02-06T01:19:50Z,2560000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT06M56.00S,2026-02-06T01:21:22.6Z,2,REGULAR,substitution,out,[],1642271,,,1610612737,37,42,2026-02-06T01:22:57Z,2570000,False,,,0,,SUB out: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT06M56.00S,2026-02-06T01:21:22.6Z,2,REGULAR,substitution,out,[],1641729,,,1610612737,37,42,2026-02-06T01:22:57Z,2580000,False,,,0,,SUB out: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
