actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
177,PT10M59.00S,2022-10-23T01:17:57.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,92.85479632063075,65.68627450980392,1610612763,42,17,2022-10-23T01:18:04Z,1740000,78.0,15.0,1,right,MISS D. Bane 7' Layup - blocked,"[1630217, 1626174]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,7.98,Missed,,,,,,,,,,,,,Wood,1626174.0,,
178,PT10M59.00S,2022-10-23T01:17:57.9Z,2,REGULAR,block,,[],1626174,,,1610612763,42,17,2022-10-23T01:18:00Z,1750000,,,0,,C. Wood BLOCK (1 BLK),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
179,PT10M56.00S,2022-10-23T01:18:00.9Z,2,REGULAR,rebound,offensive,[],1630583,,,1610612763,42,17,2022-10-23T01:18:04Z,1760000,,,0,,S. Aldama REBOUND (Off:1 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,177.0,2.0,1.0,1.0,,,,,,,,
180,PT10M56.00S,2022-10-23T01:18:02.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630583,82.07950065703022,92.64705882352942,1610612763,42,17,2022-10-23T01:25:23Z,1770000,213.0,116.0,1,right,MISS S. Aldama 24' pullup 3PT,[1630583],1610612763.0,MEM,pullup,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,24.27,Missed,,,,,,,,,,,,,,,,
181,PT10M55.00S,2022-10-23T01:18:03.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612742,42,17,2022-10-23T01:18:29Z,1780000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,180.0,,,,,,,,,,,
182,PT10M55.00S,2022-10-23T01:18:07.0Z,2,REGULAR,foul,personal,[],1629634,,,1610612742,42,17,2022-10-23T01:18:20Z,1790000,,,0,,B. Clarke loose ball personal FOUL (1 PF),"[1629634, 1630182]",1610612763.0,MEM,loose ball,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,1179.0,,,,,,,,,,,,1.0,0.0,Green,1630182.0,,,,
184,PT10M40.00S,2022-10-23T01:18:33.4Z,2,REGULAR,foul,personal,[],1630217,,,1610612742,42,17,2022-10-23T01:18:57Z,1810000,,,0,,D. Bane personal FOUL (2 PF),"[1630217, 1626174]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,1179.0,,,,,,,,,,,,2.0,0.0,Wood,1626174.0,,,,
187,PT10M37.00S,2022-10-23T01:18:57.2Z,2,REGULAR,foul,offensive,[],203915,,,1610612742,42,17,2022-10-23T01:19:16Z,1830000,,,0,,S. Dinwiddie offensive FOUL (1 PF),"[203915, 1630217]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,1179.0,,,,,,,,,,,,1.0,0.0,Bane,1630217.0,,,,
189,PT10M37.00S,2022-10-23T01:18:57.2Z,2,REGULAR,turnover,offensive foul,[],203915,,,1610612742,42,17,2022-10-23T01:18:57Z,1850000,,,0,,S. Dinwiddie offensive foul TURNOVER (2 TO),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,1179.0,2.0,,,,,,,,,,,,,,,,,,
190,PT10M26.00S,2022-10-23T01:19:24.0Z,2,REGULAR,foul,personal,['2freethrow'],1630182,,,1610612763,42,17,2022-10-23T01:19:37Z,1860000,,,0,,J. Green shooting personal FOUL (1 PF) (Jones 2 FT),"[1630182, 1626145]",1610612742.0,DAL,shooting,,,Green,J. Green,,,,,Mid-Range,8-16 Left,1179.0,,,,,,,,,,,,1.0,0.0,Jones,1626145.0,,,,
192,PT10M26.00S,2022-10-23T01:19:46.9Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1626145,,,1610612763,42,18,2022-10-23T01:19:46Z,1880000,,,0,,T. Jones Free Throw 1 of 2 (5 PTS),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
193,PT10M26.00S,2022-10-23T01:20:02.5Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1626145,,,1610612763,42,18,2022-10-23T01:20:02Z,1890000,,,0,,MISS T. Jones Free Throw 2 of 2,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
194,PT10M23.00S,2022-10-23T01:20:04.4Z,2,REGULAR,rebound,defensive,[],1628467,,,1610612742,42,18,2022-10-23T01:20:04Z,1900000,,,0,,M. Kleber REBOUND (Off:1 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,193.0,2.0,1.0,1.0,,,,,,,,
195,PT10M12.00S,2022-10-23T01:20:15.6Z,2,REGULAR,3pt,Jump Shot,[],203501,25.443495400788436,15.931372549019606,1610612742,42,18,2022-10-23T01:25:33Z,1910000,170.0,187.0,1,left,MISS T. Hardaway Jr. 25' pullup 3PT,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,25.27,Missed,,,,,,,,,,,,,,,,
196,PT10M08.00S,2022-10-23T01:20:19.6Z,2,REGULAR,rebound,defensive,[],1630583,,,1610612763,42,18,2022-10-23T01:20:20Z,1920000,,,0,,S. Aldama REBOUND (Off:1 Def:2),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,,,,,,,195.0,3.0,2.0,1.0,,,,,,,,
197,PT09M58.00S,2022-10-23T01:20:28.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629634,83.26215505913272,50.245098039215684,1610612763,42,20,2022-10-23T01:20:33Z,1930000,1.0,105.0,1,right,B. Clarke 10' driving floating Jump Shot (2 PTS) (T. Jones 2 AST),"[1629634, 1626145]",1610612763.0,MEM,driving floating,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),8-16 Center,,,10.48,Made,2.0,T. Jones,1626145.0,2.0,,,,,,,,,,,,
199,PT09M44.00S,2022-10-23T01:20:43.0Z,2,REGULAR,3pt,Jump Shot,[],203915,30.699737187910642,26.96078431372549,1610612742,42,20,2022-10-23T01:20:48Z,1950000,115.0,236.0,1,left,MISS S. Dinwiddie 26' step back 3PT,[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,26.27,Missed,,,,,,,,,,,,,,,,
200,PT09M42.00S,2022-10-23T01:20:45.0Z,2,REGULAR,rebound,defensive,[],1631222,,,1610612763,42,20,2022-10-23T01:20:48Z,1960000,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,,,,,,,,,199.0,1.0,1.0,0.0,,,,,,,,
201,PT09M40.00S,2022-10-23T01:20:51.0Z,2,REGULAR,turnover,out-of-bounds,[],1631222,,,1610612763,42,20,2022-10-23T01:21:28Z,1970000,,,0,,J. LaRavia bad pass out-of-bounds TURNOVER (1 TO),[1631222],1610612763.0,MEM,bad pass,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Center,1193.0,1.0,,,,,,,,,,,,,,,,,,
202,PT09M27.00S,2022-10-23T01:21:07.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628467,7.178055190538765,3.1862745098039214,1610612742,45,20,2022-10-23T01:21:12Z,1980000,234.0,15.0,1,left,M. Kleber 3PT  (5 PTS) (S. Dinwiddie 1 AST),"[1628467, 203915]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Right Corner 3,24+ Right,,,23.46,Made,5.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,
204,PT09M11.00S,2022-10-23T01:21:23.7Z,2,REGULAR,2pt,Jump Shot,[],1626145,84.97043363994744,32.35294117647059,1610612763,45,22,2022-10-23T01:38:36Z,2000000,-88.0,89.0,1,right,T. Jones 12' driving floating Jump Shot (7 PTS),[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,,,12.52,Made,7.0,,,,,,,,,,,,,,,
205,PT09M03.00S,2022-10-23T01:21:32.4Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203915,5.469776609724048,51.470588235294116,1610612742,47,22,2022-10-23T01:27:07Z,2010000,-7.0,-1.0,1,left,S. Dinwiddie running Layup (4 PTS),[203915],1610612742.0,DAL,running,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,0.75,Made,4.0,,,,,,,,,,,,,,,
206,PT09M03.00S,2022-10-23T01:21:37.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,47,22,2022-10-23T01:21:37Z,2020000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M47.00S,2022-10-23T01:24:43.9Z,2,REGULAR,3pt,Jump Shot,[],1630583,74.45795006570303,82.84313725490196,1610612763,47,25,2022-10-23T01:24:50Z,2030000,164.0,188.0,1,right,S. Aldama 24' 3PT  (3 PTS) (D. Bane 2 AST),"[1630583, 1630217]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,24.93,Made,3.0,D. Bane,1630217.0,2.0,,,,,,,,,,,,
209,PT08M24.00S,2022-10-23T01:25:08.2Z,2,REGULAR,turnover,out-of-bounds,[],203915,,,1610612742,47,25,2022-10-23T01:25:15Z,2050000,,,0,,S. Dinwiddie bad pass out-of-bounds TURNOVER (3 TO),[203915],1610612742.0,DAL,bad pass,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,1179.0,3.0,,,,,,,,,,,,,,,,,,
210,PT08M15.00S,2022-10-23T01:25:23.2Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630217,78.0059132720105,60.5392156862745,1610612763,47,25,2022-10-23T01:38:45Z,2060000,53.0,154.0,1,right,MISS D. Bane 16' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Center,,,16.3,Missed,,,,,,,,,,,,,,,,
211,PT08M11.00S,2022-10-23T01:25:27.2Z,2,REGULAR,rebound,defensive,[],1628467,,,1610612742,47,25,2022-10-23T01:25:30Z,2070000,,,0,,M. Kleber REBOUND (Off:1 Def:2),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Mid-Range,16-24 Center,,,,,,,,,210.0,3.0,2.0,1.0,,,,,,,,
212,PT08M00.00S,2022-10-23T01:25:42.3Z,2,REGULAR,foul,personal,['2freethrow'],1630583,,,1610612742,47,25,2022-10-23T01:25:50Z,2080000,,,0,,S. Aldama shooting personal FOUL (3 PF) (Wood 2 FT),"[1630583, 1626174]",1610612763.0,MEM,shooting,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,1179.0,,,,,,,,,,,,3.0,0.0,Wood,1626174.0,,,,
214,PT08M00.00S,2022-10-23T01:26:23.5Z,2,REGULAR,freethrow,1 of 2,[],1626174,,,1610612742,48,25,2022-10-23T01:26:23Z,2100000,,,0,,C. Wood Free Throw 1 of 2 (9 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
215,PT08M00.00S,2022-10-23T01:26:38.1Z,2,REGULAR,freethrow,2 of 2,[],1626174,,,1610612742,49,25,2022-10-23T01:26:38Z,2110000,,,0,,C. Wood Free Throw 2 of 2 (10 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,,
216,PT07M45.00S,2022-10-23T01:26:54.4Z,2,REGULAR,3pt,Jump Shot,[],1631222,82.7365308804205,93.62745098039215,1610612763,49,25,2022-10-23T01:27:00Z,2120000,218.0,110.0,1,right,MISS J. LaRavia 24' 3PT,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,,,24.42,Missed,,,,,,,,,,,,,,,,
217,PT07M41.00S,2022-10-23T01:26:57.7Z,2,REGULAR,rebound,offensive,[],1630583,,,1610612763,49,25,2022-10-23T01:26:57Z,2130000,,,0,,S. Aldama REBOUND (Off:2 Def:2),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,,,,,,,216.0,4.0,2.0,2.0,,,,,,,,
218,PT07M39.00S,2022-10-23T01:26:59.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,72.7496714848883,19.362745098039216,1610612763,49,28,2022-10-23T01:27:04Z,2140000,-153.0,204.0,1,right,D. Bane 25' 3PT  (5 PTS) (T. Jones 3 AST),"[1630217, 1626145]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,25.49,Made,5.0,T. Jones,1626145.0,3.0,,,,,,,,,,,,
220,PT07M19.00S,2022-10-23T01:27:20.1Z,2,REGULAR,2pt,Jump Shot,[],203915,16.245072273324574,31.127450980392158,1610612742,49,28,2022-10-23T01:27:26Z,2160000,94.0,100.0,1,left,MISS S. Dinwiddie 13' driving floating bank Shot,[203915],1610612742.0,DAL,driving floating bank,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Right,,,13.77,Missed,,,,,,,,,,,,,,,,
221,PT07M17.00S,2022-10-23T01:27:22.1Z,2,REGULAR,rebound,offensive,[],1628467,,,1610612742,49,28,2022-10-23T01:27:26Z,2170000,,,0,,M. Kleber REBOUND (Off:2 Def:2),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Mid-Range,8-16 Right,,,,,,,,,220.0,4.0,2.0,2.0,,,,,,,,
222,PT07M17.00S,2022-10-23T01:27:26.0Z,2,REGULAR,turnover,out-of-bounds,[],1628467,,,1610612742,49,28,2022-10-23T01:27:32Z,2180000,,,0,,M. Kleber bad pass out-of-bounds TURNOVER (1 TO),[1628467],1610612742.0,DAL,bad pass,,,Kleber,M. Kleber,,,,,Restricted Area,0-8 Center,1193.0,1.0,,,,,,,,,,,,,,,,,,
223,PT07M09.00S,2022-10-23T01:27:38.1Z,2,REGULAR,foul,personal,[],1630182,,,1610612763,49,28,2022-10-23T01:28:02Z,2190000,,,0,,J. Green personal FOUL (2 PF),"[1630182, 1626145]",1610612742.0,DAL,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,1193.0,,,,,,,,,,,,2.0,0.0,Jones,1626145.0,,,,
225,PT07M09.00S,2022-10-23T01:27:46.1Z,2,REGULAR,substitution,out,[],1630182,,,1610612763,49,28,2022-10-23T01:27:56Z,2210000,,,0,,SUB out: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M09.00S,2022-10-23T01:27:46.1Z,2,REGULAR,substitution,out,[],1628467,,,1610612763,49,28,2022-10-23T01:27:56Z,2220000,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M09.00S,2022-10-23T01:27:46.1Z,2,REGULAR,substitution,in,[],203493,,,1610612763,49,28,2022-10-23T01:27:56Z,2230000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M09.00S,2022-10-23T01:27:46.1Z,2,REGULAR,substitution,in,[],201580,,,1610612763,49,28,2022-10-23T01:27:56Z,2240000,,,0,,SUB in: J. McGee,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M00.00S,2022-10-23T01:28:13.1Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629634,79.05716162943496,27.205882352941174,1610612763,49,28,2022-10-23T01:28:18Z,2250000,-114.0,144.0,1,right,MISS B. Clarke 18' Jump Shot,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Mid-Range,16-24 Left Center,,,18.4,Missed,,,,,,,,,,,,,,,,
230,PT06M56.00S,2022-10-23T01:28:17.1Z,2,REGULAR,rebound,defensive,[],201580,,,1610612742,49,28,2022-10-23T01:28:18Z,2260000,,,0,,J. McGee REBOUND (Off:1 Def:4),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Mid-Range,16-24 Left Center,,,,,,,,,229.0,5.0,4.0,1.0,,,,,,,,
231,PT06M41.00S,2022-10-23T01:28:31.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203501,6.258212877792378,47.549019607843135,1610612742,49,28,2022-10-23T01:28:38Z,2270000,12.0,6.0,1,left,MISS T. Hardaway Jr. driving Layup,[203501],1610612742.0,DAL,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,,,1.38,Missed,,,,,,,,,,,,,,,,
232,PT06M41.00S,2022-10-23T01:28:31.5Z,2,REGULAR,rebound,offensive,[],1626174,,,1610612742,49,28,2022-10-23T01:29:07Z,2280000,,,0,,C. Wood REBOUND (Off:1 Def:3),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,,231.0,4.0,3.0,1.0,,,,,,,,
234,PT06M41.00S,2022-10-23T01:28:38.6Z,2,REGULAR,substitution,out,[],1626145,,,1610612742,49,28,2022-10-23T01:29:01Z,2300000,,,0,,SUB out: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M41.00S,2022-10-23T01:28:38.6Z,2,REGULAR,substitution,out,[],1630217,,,1610612742,49,28,2022-10-23T01:29:01Z,2310000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M41.00S,2022-10-23T01:28:38.6Z,2,REGULAR,substitution,in,[],1629630,,,1610612742,49,28,2022-10-23T01:29:01Z,2320000,,,0,,SUB in: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M41.00S,2022-10-23T01:28:38.6Z,2,REGULAR,substitution,in,[],1629723,,,1610612742,49,28,2022-10-23T01:29:01Z,2330000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M41.00S,2022-10-23T01:28:38.6Z,2,REGULAR,substitution,out,[],1626174,,,1610612742,49,28,2022-10-23T01:29:11Z,2340000,,,0,,SUB out: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M41.00S,2022-10-23T01:28:38.6Z,2,REGULAR,substitution,in,[],1627827,,,1610612742,49,28,2022-10-23T01:29:11Z,2350000,,,0,,SUB in: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M40.00S,2022-10-23T01:29:21.0Z,2,REGULAR,foul,offensive,[],201580,,,1610612742,49,28,2022-10-23T01:29:36Z,2360000,,,0,,J. McGee off-the-ball offensive FOUL (2 PF),"[201580, 1631222]",1610612742.0,DAL,off-the-ball,,,McGee,J. McGee,,,,,Mid-Range,16-24 Left Center,1626301.0,,,,,,,,,,,,2.0,0.0,LaRavia,1631222.0,,,,
242,PT06M40.00S,2022-10-23T01:29:21.0Z,2,REGULAR,turnover,offensive foul,[],201580,,,1610612742,49,28,2022-10-23T01:29:21Z,2380000,,,0,,J. McGee offensive foul TURNOVER (1 TO),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Mid-Range,16-24 Left Center,1626301.0,1.0,,,,,,,,,,,,,,,,,,
243,PT06M31.00S,2022-10-23T01:29:39.5Z,2,REGULAR,foul,personal,[],1627827,,,1610612763,49,28,2022-10-23T01:29:57Z,2390000,,,0,,D. Finney-Smith personal FOUL (2 PF),"[1627827, 1629630]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,16-24 Center,1193.0,,,,,,,,,,,,2.0,0.0,Morant,1629630.0,,,,
245,PT06M25.00S,2022-10-23T01:30:03.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629630,86.94152431011827,38.23529411764706,1610612763,49,30,2022-10-23T01:30:09Z,2410000,-59.0,70.0,1,right,J. Morant 9' driving floating Jump Shot (8 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Left,,,9.16,Made,8.0,,,,,,,,,,,,,,,
246,PT06M07.00S,2022-10-23T01:30:21.5Z,2,REGULAR,3pt,Jump Shot,[],203501,26.49474375821288,81.86274509803921,1610612742,49,30,2022-10-23T01:30:25Z,2420000,-159.0,197.0,1,left,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,25.3,Missed,,,,,,,,,,,,,,,,
247,PT06M03.00S,2022-10-23T01:30:25.5Z,2,REGULAR,rebound,defensive,[],1630583,,,1610612763,49,30,2022-10-23T01:30:25Z,2430000,,,0,,S. Aldama REBOUND (Off:2 Def:3),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Left Center,,,,,,,,,246.0,5.0,3.0,2.0,,,,,,,,
248,PT05M58.00S,2022-10-23T01:30:33.4Z,2,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,49,30,2022-10-23T01:30:43Z,2440000,,,0,,J. Morant bad pass out-of-bounds TURNOVER (3 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,1179.0,3.0,,,,,,,,,,,,,,,,,,
249,PT05M58.00S,2022-10-23T01:30:36.2Z,2,REGULAR,substitution,out,[],203501,,,1610612742,49,30,2022-10-23T01:30:49Z,2450000,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M58.00S,2022-10-23T01:30:36.2Z,2,REGULAR,substitution,out,[],1631222,,,1610612742,49,30,2022-10-23T01:30:49Z,2460000,,,0,,SUB out: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M58.00S,2022-10-23T01:30:36.2Z,2,REGULAR,substitution,in,[],1629029,,,1610612742,49,30,2022-10-23T01:30:49Z,2470000,,,0,,SUB in: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M58.00S,2022-10-23T01:30:36.2Z,2,REGULAR,substitution,in,[],1631223,,,1610612742,49,30,2022-10-23T01:30:49Z,2480000,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M35.00S,2022-10-23T01:31:10.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,30.436925098554536,30.88235294117647,1610612742,49,30,2022-10-23T01:31:25Z,2490000,96.0,234.0,1,left,MISS L. Doncic 25' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,25.24,Missed,,,,,,,,,,,,,,,,
254,PT05M33.00S,2022-10-23T01:31:12.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,49,30,2022-10-23T01:31:42Z,2500000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,253.0,,,,,,,,,,,
256,PT05M24.00S,2022-10-23T01:31:40.1Z,2,REGULAR,foul,offensive,[],1629634,,,1610612763,49,30,2022-10-23T01:31:51Z,2520000,,,0,,B. Clarke off-the-ball offensive FOUL (2 PF),"[1629634, 1627827]",1610612763.0,MEM,off-the-ball,,,Clarke,B. Clarke,,,,,Above the Break 3,24+ Right Center,1193.0,,,,,,,,,,,,2.0,0.0,Finney-Smith,1627827.0,,,,
258,PT05M24.00S,2022-10-23T01:31:40.1Z,2,REGULAR,turnover,offensive foul,[],1629634,,,1610612763,49,30,2022-10-23T01:31:40Z,2540000,,,0,,B. Clarke offensive foul TURNOVER (1 TO),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Above the Break 3,24+ Right Center,1193.0,1.0,,,,,,,,,,,,,,,,,,
259,PT05M24.00S,2022-10-23T01:31:47.8Z,2,REGULAR,substitution,out,[],1629634,,,1610612742,49,30,2022-10-23T01:31:51Z,2550000,,,0,,SUB out: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT05M24.00S,2022-10-23T01:31:47.8Z,2,REGULAR,substitution,in,[],203500,,,1610612742,49,30,2022-10-23T01:31:51Z,2560000,,,0,,SUB in: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT05M10.00S,2022-10-23T01:32:08.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201580,5.995400788436268,49.754901960784316,1610612742,51,30,2022-10-23T01:32:12Z,2570000,1.0,4.0,1,left,J. McGee cutting DUNK (4 PTS) (L. Doncic 4 AST),"[201580, 1629029]",1610612742.0,DAL,cutting,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,,,0.41,Made,4.0,L. Doncic,1629029.0,4.0,,,,,,,,,,,,
264,PT04M55.00S,2022-10-23T01:32:22.6Z,2,REGULAR,turnover,lost ball,[],203500,,,1610612763,51,30,2022-10-23T01:32:27Z,2590000,,,0,,S. Adams lost ball TURNOVER (1 TO),"[203500, 1629029]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,,,,,,,Doncic,1629029.0
265,PT04M55.00S,2022-10-23T01:32:22.6Z,2,REGULAR,steal,,[],1629029,,,1610612742,51,30,2022-10-23T01:32:24Z,2600000,,,0,,L. Doncic STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
