actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
166,PT01M48.00S,2025-12-21T00:37:49.4Z,1,REGULAR,steal,,[],1642272,,,1610612755,31,21,2025-12-21T00:37:51Z,1640000,False,,,0,,J. McCain STEAL (1 STL),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
167,PT01M43.00S,2025-12-21T00:37:54.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642845,6.1268068331143235,50.0,1610612755,33,21,2025-12-21T00:38:03Z,1650000,False,0.0,5.0,1,left,V. Edgecombe running DUNK (14 PTS) (J. McCain 1 AST),"[1642845, 1642272]",1610612755.0,PHI,running,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,0.51,Made,,,,,,,14.0,,,,,,,J. McCain,1642272.0,1.0,,
169,PT01M32.00S,2025-12-21T00:38:07.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642845,,,1610612742,33,21,2025-12-21T00:38:18Z,1670000,False,,,0,,V. Edgecombe personal FOUL (2 PF) (Williams 2 FT),"[1642845, 1630314]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Center,,,,,,,2534.0,,,,,2.0,0.0,Williams,1630314.0,,,,,
171,PT01M32.00S,2025-12-21T00:38:38.1Z,1,REGULAR,freethrow,1 of 2,[],1630314,,,1610612742,33,22,2025-12-21T00:38:38Z,1690000,False,,,0,,B. Williams Free Throw 1 of 2 (3 PTS),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
172,PT01M32.00S,2025-12-21T00:38:51.0Z,1,REGULAR,substitution,out,[],1642272,,,1610612742,33,22,2025-12-21T00:39:04Z,1700000,False,,,0,,SUB out: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT01M32.00S,2025-12-21T00:38:51.0Z,1,REGULAR,substitution,out,[],1642845,,,1610612742,33,22,2025-12-21T00:39:04Z,1710000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT01M32.00S,2025-12-21T00:38:51.0Z,1,REGULAR,substitution,in,[],1630178,,,1610612742,33,22,2025-12-21T00:39:04Z,1720000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT01M32.00S,2025-12-21T00:38:51.0Z,1,REGULAR,substitution,in,[],1642348,,,1610612742,33,22,2025-12-21T00:39:04Z,1730000,False,,,0,,SUB in: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT01M32.00S,2025-12-21T00:39:16.6Z,1,REGULAR,freethrow,2 of 2,[],1630314,,,1610612742,33,23,2025-12-21T00:39:16Z,1740000,False,,,0,,B. Williams Free Throw 2 of 2 (4 PTS),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
177,PT01M14.00S,2025-12-21T00:39:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641737,8.360709592641262,53.431372549019606,1610612755,33,23,2025-12-21T00:39:41Z,1750000,False,-17.0,26.0,1,left,MISS A. Bona Layup - blocked,"[1641737, 1629655]",1610612755.0,PHI,,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,,,,,,,,,,,,Gafford,1629655.0
178,PT01M14.00S,2025-12-21T00:39:37.6Z,1,REGULAR,block,,[],1629655,,,1610612755,33,23,2025-12-21T00:39:40Z,1760000,False,,,0,,D. Gafford BLOCK (2 BLK),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
179,PT01M11.00S,2025-12-21T00:39:40.6Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,33,23,2025-12-21T00:39:41Z,1770000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,177.0,2.0,2.0,0.0,,,,,,,,,,,,,,
180,PT01M10.00S,2025-12-21T00:39:42.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630314,94.03745072273325,51.71568627450981,1610612742,33,25,2025-12-21T00:39:52Z,1780000,False,9.0,4.0,1,right,B. Williams running finger roll Layup (6 PTS) (K. Thompson 1 AST),"[1630314, 202691]",1610612742.0,DAL,running finger roll,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,0.93,Made,,,,,,,6.0,,,,,,,K. Thompson,202691.0,1.0,,
182,PT01M03.00S,2025-12-21T00:39:50.3Z,1,REGULAR,3pt,Jump Shot,[],1631133,7.30946123521682,5.392156862745098,1610612755,33,25,2025-12-21T00:39:55Z,1800000,False,223.0,16.0,1,left,MISS J. Walker 3PT,[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,Right Corner 3,24+ Right,22.36,Missed,,,,,,,,,,,,,,,,,,
183,PT01M03.00S,2025-12-21T00:39:50.3Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,33,25,2025-12-21T00:39:55Z,1810000,False,,,0,,A. Bona REBOUND (Off:4 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Right Corner 3,24+ Right,,,182.0,5.0,1.0,4.0,,,,,,,,,,,,,,
184,PT00M55.50S,2025-12-21T00:39:57.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,28.465834428383708,18.137254901960784,1610612755,36,25,2025-12-21T00:40:02Z,1820000,False,159.0,215.0,1,left,T. Maxey 26' 3PT  (11 PTS) (J. Edwards 1 AST),"[1630178, 1642348]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.77,Made,,,,,,,11.0,,,,,,,J. Edwards,1642348.0,1.0,,
186,PT00M46.10S,2025-12-21T00:40:11.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641737,,,1610612742,36,25,2025-12-21T00:40:18Z,1840000,False,,,0,,A. Bona shooting personal FOUL (1 PF) (Gafford 2 FT),"[1641737, 1629655]",1610612755.0,PHI,shooting,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,,,,,1626301.0,,,,,1.0,0.0,Gafford,1629655.0,,,,,
188,PT00M46.10S,2025-12-21T00:40:39.1Z,1,REGULAR,freethrow,1 of 2,[],1629655,,,1610612742,36,26,2025-12-21T00:40:39Z,1860000,False,,,0,,D. Gafford Free Throw 1 of 2 (1 PTS),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
190,PT00M46.10S,2025-12-21T00:40:40.8Z,1,REGULAR,substitution,out,[],1629023,,,1610612742,36,26,2025-12-21T00:40:45Z,1870000,False,,,0,,SUB out: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT00M46.10S,2025-12-21T00:40:40.8Z,1,REGULAR,substitution,in,[],1630230,,,1610612742,36,26,2025-12-21T00:40:45Z,1880000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT00M46.10S,2025-12-21T00:41:02.4Z,1,REGULAR,freethrow,2 of 2,[],1629655,,,1610612742,36,27,2025-12-21T00:41:02Z,1890000,False,,,0,,D. Gafford Free Throw 2 of 2 (2 PTS),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
193,PT00M31.90S,2025-12-21T00:41:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,10.068988173455978,50.0,1610612755,36,27,2025-12-21T00:41:34Z,1900000,False,0.0,42.0,1,left,MISS T. Maxey driving Layup - blocked,"[1630178, 1629655]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,4.21,Missed,,,,,,,,,,,,,,,,,Gafford,1629655.0
194,PT00M31.90S,2025-12-21T00:41:26.8Z,1,REGULAR,block,,[],1629655,,,1610612755,36,27,2025-12-21T00:41:29Z,1910000,False,,,0,,D. Gafford BLOCK (3 BLK),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
195,PT00M26.30S,2025-12-21T00:41:32.4Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,36,27,2025-12-21T00:41:34Z,1920000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,193.0,1.0,1.0,0.0,,,,,,,,,,,,,,
196,PT00M19.70S,2025-12-21T00:41:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,93.24901445466492,50.98039215686274,1610612742,36,29,2025-12-21T00:41:46Z,1930000,False,5.0,11.0,1,right,N. Marshall driving finger roll Layup (4 PTS) (B. Williams 1 AST),"[1630230, 1630314]",1610612742.0,DAL,driving finger roll,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,1.2,Made,,,,,,,4.0,,,,,,,B. Williams,1630314.0,1.0,,
198,PT00M19.70S,2025-12-21T00:41:44.8Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1631133,,,1610612742,36,29,2025-12-21T00:41:50Z,1950000,False,,,0,,J. Walker shooting personal FOUL (2 PF) (Marshall 1 FT),"[1631133, 1630230]",1610612755.0,PHI,shooting,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,,,,,1627519.0,,,,,2.0,0.0,Marshall,1630230.0,,,,,
200,PT00M19.70S,2025-12-21T00:42:05.2Z,1,REGULAR,freethrow,1 of 1,[],1630230,,,1610612742,36,30,2025-12-21T00:42:05Z,1970000,False,,,0,,N. Marshall Free Throw 1 of 1 (5 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
201,PT00M01.00S,2025-12-21T00:42:31.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630314,,,1610612755,36,30,2025-12-21T00:45:32Z,1980000,False,,,0,,B. Williams shooting personal FOUL (1 PF) (Bona 2 FT),"[1630314, 1641737]",1610612742.0,DAL,shooting,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,,,,,,,2534.0,,,,,1.0,0.0,Bona,1641737.0,,,,,
204,PT00M01.00S,2025-12-21T00:43:39.1Z,1,REGULAR,freethrow,1 of 2,[],1641737,,,1610612755,37,30,2025-12-21T00:45:22Z,1995000,False,,,0,,A. Bona Free Throw 1 of 2 (5 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
208,PT00M01.00S,2025-12-21T00:43:39.1Z,1,REGULAR,freethrow,2 of 2,[],1641737,,,1610612755,38,30,2025-12-21T00:45:22Z,1997500,False,,,0,,A. Bona Free Throw 2 of 2 (6 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
205,PT00M00.30S,2025-12-21T00:44:08.1Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1631133,,,1610612742,38,30,2025-12-21T00:50:05Z,2005000,False,,,0,,J. Walker shooting personal FOUL (3 PF) (Marshall 3 FT),"[1631133, 1630230]",1610612755.0,PHI,shooting,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,,,,,,,1627519.0,,,,,3.0,0.0,Marshall,1630230.0,,,,,
209,PT00M00.30S,2025-12-21T00:45:24.5Z,1,REGULAR,freethrow,1 of 3,[],1630230,,,1610612742,38,31,2025-12-21T00:50:25Z,2050000,False,,,0,,N. Marshall Free Throw 1 of 3 (6 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
210,PT00M00.30S,2025-12-21T00:45:24.5Z,1,REGULAR,freethrow,2 of 3,[],1630230,,,1610612742,38,32,2025-12-21T00:50:25Z,2060000,False,,,0,,N. Marshall Free Throw 2 of 3 (7 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
211,PT00M00.30S,2025-12-21T00:45:24.5Z,1,REGULAR,freethrow,3 of 3,[],1630230,,,1610612742,38,33,2025-12-21T00:50:25Z,2070000,False,,,0,,N. Marshall Free Throw 3 of 3 (8 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
212,PT00M00.00S,2025-12-21T00:46:05.4Z,1,REGULAR,period,end,[],0,,,1610612755,38,33,2025-12-21T00:46:05Z,2080000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT12M00.00S,2025-12-21T00:47:21.1Z,2,REGULAR,substitution,out,['startperiod'],1641737,,,1610612755,38,33,2025-12-21T00:48:16Z,2090000,False,,,0,,SUB out: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT12M00.00S,2025-12-21T00:47:21.1Z,2,REGULAR,substitution,out,['startperiod'],1631133,,,1610612755,38,33,2025-12-21T00:48:16Z,2100000,False,,,0,,SUB out: J. Walker,[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT12M00.00S,2025-12-21T00:47:21.1Z,2,REGULAR,substitution,out,['startperiod'],1630314,,,1610612755,38,33,2025-12-21T00:48:16Z,2110000,False,,,0,,SUB out: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT12M00.00S,2025-12-21T00:47:21.1Z,2,REGULAR,substitution,out,['startperiod'],1629655,,,1610612755,38,33,2025-12-21T00:48:16Z,2120000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT12M00.00S,2025-12-21T00:47:21.1Z,2,REGULAR,substitution,in,['startperiod'],203083,,,1610612755,38,33,2025-12-21T00:48:16Z,2130000,False,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT12M00.00S,2025-12-21T00:47:21.1Z,2,REGULAR,substitution,in,['startperiod'],1631230,,,1610612755,38,33,2025-12-21T00:48:16Z,2140000,False,,,0,,SUB in: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT12M00.00S,2025-12-21T00:47:21.1Z,2,REGULAR,substitution,in,['startperiod'],203076,,,1610612755,38,33,2025-12-21T00:48:16Z,2150000,False,,,0,,SUB in: A. Davis,[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT12M00.00S,2025-12-21T00:47:21.1Z,2,REGULAR,substitution,in,['startperiod'],1642948,,,1610612755,38,33,2025-12-21T00:48:16Z,2160000,False,,,0,,SUB in: R. Nembhard,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT12M00.00S,2025-12-21T00:48:27.1Z,2,REGULAR,period,start,[],0,,,1610612742,38,33,2025-12-21T00:48:27Z,2170000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT11M46.00S,2025-12-21T00:48:40.9Z,2,REGULAR,3pt,Jump Shot,[],1626156,69.33311432325887,18.137254901960784,1610612742,38,33,2025-12-21T00:48:46Z,2180000,False,-159.0,236.0,1,right,MISS D. Russell 28' 3PT,[1626156],1610612742.0,DAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,28.46,Missed,,,,,,,,,,,,,,,,,,
223,PT11M42.00S,2025-12-21T00:48:44.9Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,38,33,2025-12-21T00:48:46Z,2190000,False,,,0,,T. Maxey REBOUND (Off:0 Def:2),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,222.0,2.0,2.0,0.0,,,,,,,,,,,,,,
224,PT11M34.00S,2025-12-21T00:48:51.8Z,2,REGULAR,turnover,bad pass,[],1629656,,,1610612755,38,33,2025-12-21T00:51:32Z,2200000,False,,,0,,Q. Grimes bad pass TURNOVER (1 TO),"[1629656, 1642948]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,Nembhard,1642948.0,,,,,,,,,
225,PT11M34.00S,2025-12-21T00:48:51.8Z,2,REGULAR,steal,,[],1642948,,,1610612742,38,33,2025-12-21T00:48:53Z,2210000,False,,,0,,R. Nembhard STEAL (1 STL),[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
226,PT11M30.00S,2025-12-21T00:48:55.5Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202691,91.40932982917214,96.07843137254902,1610612742,38,33,2025-12-21T00:49:01Z,2220000,False,230.0,28.0,1,right,MISS K. Thompson running 3PT,[202691],1610612742.0,DAL,running,,,Thompson,K. Thompson,,,,,Right Corner 3,24+ Right,23.21,Missed,,,,,,,,,,,,,,,,,,
227,PT11M28.00S,2025-12-21T00:48:57.5Z,2,REGULAR,rebound,defensive,[],1629656,,,1610612755,38,33,2025-12-21T00:49:01Z,2230000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:2),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Right Corner 3,24+ Right,,,226.0,2.0,2.0,0.0,,,,,,,,,,,,,,
228,PT11M17.00S,2025-12-21T00:49:08.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,17.69053876478318,46.07843137254902,1610612755,38,33,2025-12-21T00:49:14Z,2240000,False,20.0,114.0,1,left,MISS T. Maxey 11' floating Shot,[1630178],1610612755.0,PHI,floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,11.55,Missed,,,,,,,,,,,,,,,,,,
229,PT11M12.00S,2025-12-21T00:49:13.8Z,2,REGULAR,rebound,offensive,[],203083,,,1610612755,38,33,2025-12-21T00:49:14Z,2250000,False,,,0,,A. Drummond REBOUND (Off:3 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,228.0,4.0,1.0,3.0,,,,,,,,,,,,,,
230,PT11M12.00S,2025-12-21T00:49:13.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,5.590000152587891,50.0,1610612755,40,33,2025-12-21T00:49:13Z,2260000,False,0.0,0.0,1,left,A. Drummond tip Layup (2 PTS),[203083],1610612755.0,PHI,tip,,,Drummond,A. Drummond,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,2.0,,,,,,,,,,,
231,PT10M57.00S,2025-12-21T00:49:29.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203076,94.69448094612353,51.71568627450981,1610612742,40,35,2025-12-21T00:49:33Z,2270000,False,9.0,-3.0,1,right,A. Davis driving finger roll Layup (6 PTS) (R. Nembhard 2 AST),"[203076, 1642948]",1610612742.0,DAL,driving finger roll,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,0.9,Made,,,,,,,6.0,,,,,,,R. Nembhard,1642948.0,2.0,,
233,PT10M47.00S,2025-12-21T00:49:39.0Z,2,REGULAR,3pt,Jump Shot,[],1631230,6.783837056504599,4.6568627450980395,1610612755,40,35,2025-12-21T00:49:43Z,2290000,False,227.0,11.0,1,left,MISS D. Barlow 3PT,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Right Corner 3,24+ Right,22.7,Missed,,,,,,,,,,,,,,,,,,
234,PT10M46.00S,2025-12-21T00:49:40.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612742,40,35,2025-12-21T00:49:43Z,2300000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Right Corner 3,24+ Right,,,233.0,,,,,,,,,,,,,,,,,
236,PT10M30.00S,2025-12-21T00:50:01.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202691,92.72339027595268,49.01960784313725,1610612742,40,37,2025-12-21T00:50:06Z,2320000,False,-5.0,16.0,1,right,K. Thompson driving Layup (2 PTS) (R. Nembhard 3 AST),"[202691, 1642948]",1610612742.0,DAL,driving,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,,,2.0,,,,,,,R. Nembhard,1642948.0,3.0,,
238,PT10M13.00S,2025-12-21T00:50:28.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631230,6.652431011826544,53.18627450980392,1610612755,42,37,2025-12-21T00:50:34Z,2340000,False,-16.0,10.0,1,left,D. Barlow reverse Layup (5 PTS) (J. Edwards 2 AST),"[1631230, 1642348]",1610612755.0,PHI,reverse,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,,,5.0,,,,,,,J. Edwards,1642348.0,2.0,,
240,PT10M13.00S,2025-12-21T00:50:30.8Z,2,REGULAR,foul,personal,['1freethrow'],203076,,,1610612755,42,37,2025-12-21T00:50:37Z,2360000,False,,,0,,A. Davis shooting personal FOUL (2 PF) (Barlow 1 FT),"[203076, 1631230]",1610612742.0,DAL,shooting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,1626301.0,,,,,2.0,0.0,Barlow,1631230.0,,,,,
242,PT10M13.00S,2025-12-21T00:51:02.2Z,2,REGULAR,freethrow,1 of 1,[],1631230,,,1610612755,43,37,2025-12-21T00:51:02Z,2380000,False,,,0,,D. Barlow Free Throw 1 of 1 (6 PTS),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
243,PT09M57.00S,2025-12-21T00:51:20.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642948,82.7365308804205,43.38235294117647,1610612742,43,37,2025-12-21T00:51:25Z,2390000,False,-33.0,110.0,1,right,MISS R. Nembhard 11' pullup Shot,[1642948],1610612742.0,DAL,pullup,,,Nembhard,R. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,11.47,Missed,,,,,,,,,,,,,,,,,,
244,PT09M52.00S,2025-12-21T00:51:25.5Z,2,REGULAR,rebound,defensive,[],203083,,,1610612755,43,37,2025-12-21T00:51:25Z,2400000,False,,,0,,A. Drummond REBOUND (Off:3 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,243.0,5.0,2.0,3.0,,,,,,,,,,,,,,
245,PT09M42.00S,2025-12-21T00:51:35.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631230,7.966491458607096,52.94117647058824,1610612755,45,37,2025-12-21T00:51:39Z,2410000,False,-15.0,22.0,1,left,D. Barlow driving finger roll Layup (8 PTS) (T. Maxey 2 AST),"[1631230, 1630178]",1610612755.0,PHI,driving finger roll,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,2.68,Made,,,,,,,8.0,,,,,,,T. Maxey,1630178.0,2.0,,
247,PT09M23.00S,2025-12-21T00:51:54.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202691,95.22010512483574,50.245098039215684,1610612742,45,39,2025-12-21T00:51:57Z,2430000,False,1.0,-8.0,1,right,K. Thompson driving finger roll Layup (4 PTS) (R. Nembhard 4 AST),"[202691, 1642948]",1610612742.0,DAL,driving finger roll,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,,4.0,,,,,,,R. Nembhard,1642948.0,4.0,,
249,PT09M14.00S,2025-12-21T00:52:02.6Z,2,REGULAR,3pt,Jump Shot,[],1629656,33.065045992115635,63.725490196078425,1610612755,45,39,2025-12-21T00:52:07Z,2450000,False,-69.0,258.0,1,left,MISS Q. Grimes 26' pullup 3PT,[1629656],1610612755.0,PHI,pullup,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Center,26.73,Missed,,,,,,,,,,,,,,,,,,
250,PT09M14.00S,2025-12-21T00:52:02.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612742,45,39,2025-12-21T00:52:07Z,2460000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Center,,,249.0,,,,,,,,,,,,,,,,,
252,PT09M14.00S,2025-12-21T00:52:09.3Z,2,REGULAR,substitution,out,[],202691,,,1610612742,45,39,2025-12-21T00:52:13Z,2480000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT09M14.00S,2025-12-21T00:52:09.3Z,2,REGULAR,substitution,in,[],1642843,,,1610612742,45,39,2025-12-21T00:52:13Z,2490000,False,,,0,,SUB in: C. Flagg,[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT08M54.00S,2025-12-21T00:52:39.8Z,2,REGULAR,3pt,Jump Shot,[],1642843,87.72996057818659,96.32352941176471,1610612742,45,39,2025-12-21T00:52:45Z,2500000,False,232.0,63.0,1,right,MISS C. Flagg 24' 3PT,[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Right Corner 3,24+ Right,24.0,Missed,,,,,,,,,,,,,,,,,,
255,PT08M51.00S,2025-12-21T00:52:42.8Z,2,REGULAR,rebound,offensive,[],1630230,,,1610612742,45,39,2025-12-21T00:52:45Z,2510000,False,,,0,,N. Marshall REBOUND (Off:1 Def:4),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,,,254.0,5.0,4.0,1.0,,,,,,,,,,,,,,
256,PT08M48.00S,2025-12-21T00:52:45.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630230,95.22010512483574,54.166666666666664,1610612742,45,41,2025-12-21T00:52:48Z,2520000,False,21.0,-8.0,1,right,N. Marshall driving floating Jump Shot (10 PTS),[1630230],1610612742.0,DAL,driving floating,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,,,10.0,,,,,,,,,,,
