actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
356,PT12M00.00S,2026-03-26T00:23:53.9Z,3,REGULAR,period,start,[],0,,,1610612755,71,52,2026-03-26T00:23:53Z,3560000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT11M51.00S,2026-03-26T00:24:01.8Z,3,REGULAR,2pt,Jump Shot,[],202331,79.15571616294349,20.588235294117652,1610612755,73,52,2026-03-26T00:24:06Z,3570000,False,-147.0,143.0,1,right,P. George 20' Jump Shot (7 PTS) (V. Edgecombe 4 AST),"[202331, 1642845]",1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,20.54,Made,,,,,,,,7.0,V. Edgecombe,1642845.0,4.0,,,,,,,
359,PT11M40.00S,2026-03-26T00:24:12.6Z,3,REGULAR,3pt,Jump Shot,[],1630171,35.00328515111694,58.57843137254902,1610612741,73,55,2026-03-26T00:24:19Z,3590000,False,-43.0,277.0,1,left,I. Okoro 27' 3PT  (10 PTS) (J. Giddey 5 AST),"[1630171, 1630581]",1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Center,27.98,Made,,,,,,,,10.0,J. Giddey,1630581.0,5.0,,,,,,,
361,PT11M19.00S,2026-03-26T00:24:33.4Z,3,REGULAR,turnover,bad pass,[],1642845,,,1610612755,73,55,2026-03-26T00:24:41Z,3610000,False,,,0,,V. Edgecombe bad pass TURNOVER (1 TO),"[1642845, 1630171]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1.0,Okoro,1630171.0,,,,,,,,,,,
362,PT11M19.00S,2026-03-26T00:24:33.4Z,3,REGULAR,steal,,[],1630171,,,1610612741,73,55,2026-03-26T00:24:35Z,3620000,False,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
363,PT11M15.00S,2026-03-26T00:24:38.3Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641824,9.379106438896187,57.1078431372549,1610612741,73,55,2026-03-26T00:25:04Z,3630000,False,-36.0,36.0,1,left,MISS M. Buzelis running finger roll Layup - blocked,"[1641824, 202331]",1610612741.0,CHI,running finger roll,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,5.03,Missed,,,,,,,,,,,,,George,202331.0,,,,
364,PT11M15.00S,2026-03-26T00:24:38.3Z,3,REGULAR,block,,[],202331,,,1610612741,73,55,2026-03-26T00:24:41Z,3640000,False,,,0,,P. George BLOCK (1 BLK),[202331],1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
365,PT11M15.00S,2026-03-26T00:24:38.3Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612741,73,55,2026-03-26T00:24:44Z,3650000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,363.0,,,,,,,,,,,,,,,,,
367,PT11M10.00S,2026-03-26T00:25:02.1Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630171,12.927069645203687,6.127450980392155,1610612741,73,58,2026-03-26T00:25:07Z,3670000,False,219.0,69.0,1,left,I. Okoro 3PT  (13 PTS) (P. Williams 1 AST),"[1630171, 1630172]",1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,23.0,Made,,,,,,,,13.0,P. Williams,1630172.0,1.0,,,,,,,
369,PT10M54.00S,2026-03-26T00:25:18.3Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],203954,94.3988173455979,49.26470588235294,1610612755,75,58,2026-03-26T00:25:24Z,3690000,False,-4.0,0.0,1,right,J. Embiid cutting DUNK (25 PTS) (P. George 3 AST),"[203954, 202331]",1610612755.0,PHI,cutting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,0.37,Made,,,,,,,,25.0,P. George,202331.0,3.0,,,,,,,
371,PT10M43.00S,2026-03-26T00:25:29.1Z,3,REGULAR,turnover,bad pass,[],1630581,,,1610612741,75,58,2026-03-26T00:25:37Z,3710000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1642845]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Edgecombe,1642845.0,,,,,,,,,,,
372,PT10M43.00S,2026-03-26T00:25:29.1Z,3,REGULAR,steal,,[],1642845,,,1610612755,75,58,2026-03-26T00:28:44Z,3720000,False,,,0,,V. Edgecombe STEAL (1 STL),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
