actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
172,PT12M00.00S,2025-12-24T00:44:28.8Z,2,REGULAR,period,start,[],0,,,1610612751,27,27,2025-12-24T00:44:28Z,1690000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2025-12-24T00:44:32.1Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612751,27,27,2025-12-24T00:45:06Z,1700000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612751.0,BKN,,,,,,,,,,,,,,,1626300.0,,,,,,,,,,,,,,,,
174,PT11M46.00S,2025-12-24T00:44:44.0Z,2,REGULAR,foul,personal,['2freethrow'],201569,,,1610612751,27,27,2025-12-24T00:44:53Z,1710000,False,,,0,,E. Gordon shooting personal FOUL (1 PF) (Martin 2 FT),"[201569, 1631213]",1610612755.0,PHI,shooting,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,,,,1626300.0,1.0,0.0,Martin,1631213.0,,,,,,,,,,,,
176,PT11M46.00S,2025-12-24T00:45:18.2Z,2,REGULAR,freethrow,1 of 2,[],1631213,,,1610612751,27,27,2025-12-24T00:45:18Z,1730000,False,,,0,,MISS T. Martin Free Throw 1 of 2,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
177,PT11M46.00S,2025-12-24T00:45:18.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,27,27,2025-12-24T00:45:18Z,1740000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,
178,PT11M46.00S,2025-12-24T00:45:31.4Z,2,REGULAR,freethrow,2 of 2,[],1631213,,,1610612751,27,28,2025-12-24T00:45:31Z,1750000,False,,,0,,T. Martin Free Throw 2 of 2 (1 PTS),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
179,PT11M34.00S,2025-12-24T00:45:48.5Z,2,REGULAR,foul,personal,['2freethrow'],1642849,,,1610612755,27,28,2025-12-24T00:46:07Z,1760000,False,,,0,,N. Traore shooting personal FOUL (1 PF) (Drummond 2 FT),"[1642849, 203083]",1610612751.0,BKN,shooting,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,,,,1626300.0,1.0,0.0,Drummond,203083.0,,,,,,,,,,,,
181,PT11M34.00S,2025-12-24T00:46:34.5Z,2,REGULAR,freethrow,1 of 2,[],203083,,,1610612755,28,28,2025-12-24T00:46:34Z,1780000,False,,,0,,A. Drummond Free Throw 1 of 2 (1 PTS),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
182,PT11M34.00S,2025-12-24T00:46:52.4Z,2,REGULAR,freethrow,2 of 2,[],203083,,,1610612755,29,28,2025-12-24T00:46:52Z,1790000,False,,,0,,A. Drummond Free Throw 2 of 2 (2 PTS),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
183,PT11M19.00S,2025-12-24T00:47:07.8Z,2,REGULAR,turnover,bad pass,[],1642849,,,1610612751,29,28,2025-12-24T00:47:11Z,1800000,False,,,0,,N. Traore bad pass TURNOVER (3 TO),"[1642849, 201569]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,3.0,Gordon,201569.0,,,,,
184,PT11M19.00S,2025-12-24T00:47:07.8Z,2,REGULAR,steal,,[],201569,,,1610612755,29,28,2025-12-24T00:47:10Z,1810000,False,,,0,,E. Gordon STEAL (1 STL),[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
185,PT11M15.00S,2025-12-24T00:47:12.8Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202331,15.062417871222076,43.13725490196079,1610612755,31,28,2025-12-24T00:49:56Z,1820000,False,34.0,89.0,1,left,P. George 9' running pullup Jump Shot (8 PTS),[202331],1610612755.0,PHI,running pullup,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,9.55,Made,,,,,,,8.0,,,,,,,,,,,
186,PT11M04.00S,2025-12-24T00:47:22.8Z,2,REGULAR,turnover,bad pass,[],1631213,,,1610612751,31,28,2025-12-24T00:47:28Z,1830000,False,,,0,,T. Martin bad pass TURNOVER (1 TO),"[1631213, 202331]",1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,George,202331.0,,,,,
187,PT11M04.00S,2025-12-24T00:47:22.8Z,2,REGULAR,steal,,[],202331,,,1610612755,31,28,2025-12-24T00:47:25Z,1840000,False,,,0,,P. George STEAL (2 STL),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
188,PT11M01.00S,2025-12-24T00:47:27.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202331,7.30946123521682,49.26470588235294,1610612755,33,28,2025-12-24T00:47:32Z,1850000,False,4.0,16.0,1,left,P. George running DUNK (10 PTS),[202331],1610612755.0,PHI,running,,,George,P. George,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,,,10.0,,,,,,,,,,,
189,PT11M01.00S,2025-12-24T00:50:26.5Z,2,REGULAR,substitution,out,[],1631213,,,1610612751,33,28,2025-12-24T00:50:32Z,1860000,False,,,0,,SUB out: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT11M01.00S,2025-12-24T00:50:26.5Z,2,REGULAR,substitution,out,[],1642849,,,1610612751,33,28,2025-12-24T00:50:32Z,1870000,False,,,0,,SUB out: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT11M01.00S,2025-12-24T00:50:26.5Z,2,REGULAR,substitution,in,[],1642856,,,1610612751,33,28,2025-12-24T00:50:32Z,1880000,False,,,0,,SUB in: E. Dëmin,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT11M01.00S,2025-12-24T00:50:26.5Z,2,REGULAR,substitution,in,[],1641730,,,1610612751,33,28,2025-12-24T00:50:32Z,1890000,False,,,0,,SUB in: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT11M01.00S,2025-12-24T00:50:33.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,33,28,2025-12-24T01:06:37Z,1895000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT10M49.00S,2025-12-24T00:50:40.4Z,2,REGULAR,3pt,Jump Shot,[],1642856,99.03088042049934,3.431372549019608,1610612751,33,31,2025-12-24T00:50:45Z,1900000,False,-233.0,-43.0,1,right,E. Dëmin 3PT  (5 PTS) (N. Claxton 1 AST),"[1642856, 1629651]",1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Left Corner 3,24+ Left,23.68,Made,,,,,,,5.0,N. Claxton,1629651.0,1.0,,,,,,,,
195,PT10M32.00S,2025-12-24T00:50:56.7Z,2,REGULAR,3pt,Jump Shot,[],201569,26.888961892247043,85.29411764705883,1610612755,36,31,2025-12-24T00:51:00Z,1920000,False,-176.0,200.0,1,left,E. Gordon 26' 3PT  (8 PTS) (K. Lowry 2 AST),"[201569, 200768]",1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,26.7,Made,,,,,,,8.0,K. Lowry,200768.0,2.0,,,,,,,,
197,PT10M19.00S,2025-12-24T00:51:09.8Z,2,REGULAR,3pt,Jump Shot,[],1642874,79.05716162943496,93.87254901960785,1610612751,36,31,2025-12-24T00:51:15Z,1940000,False,219.0,144.0,1,right,MISS D. Wolf 26' 3PT,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Above the Break 3,24+ Right Center,26.27,Missed,,,,,,,,,,,,,,,,,,
198,PT10M15.00S,2025-12-24T00:51:13.9Z,2,REGULAR,rebound,offensive,[],1629651,,,1610612751,36,31,2025-12-24T00:51:13Z,1950000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,197.0,,,,,,,,,,,,,1.0,0.0,1.0,,
199,PT10M12.00S,2025-12-24T00:51:19.9Z,2,REGULAR,turnover,out-of-bounds,[],1630533,,,1610612751,36,31,2025-12-24T00:51:25Z,1960000,False,,,0,,Z. Williams step out-of-bounds TURNOVER (1 TO),[1630533],1610612751.0,BKN,step,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,,,,2004.0,,,,,,,,,1.0,,,,,,,
200,PT10M00.00S,2025-12-24T00:51:37.5Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203083,6.783837056504599,50.73529411764706,1610612755,38,31,2025-12-24T00:51:41Z,1970000,False,-4.0,11.0,1,left,A. Drummond cutting DUNK (4 PTS) (J. McCain 2 AST),"[203083, 1642272]",1610612755.0,PHI,cutting,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,1.19,Made,,,,,,,4.0,J. McCain,1642272.0,2.0,,,,,,,,
202,PT09M40.00S,2025-12-24T00:51:56.9Z,2,REGULAR,3pt,Jump Shot,[],1630533,78.40013140604468,9.558823529411764,1610612751,38,31,2025-12-24T00:52:01Z,1990000,False,-202.0,151.0,1,right,MISS Z. Williams 25' 3PT,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,25.21,Missed,,,,,,,,,,,,,,,,,,
203,PT09M38.00S,2025-12-24T00:51:58.9Z,2,REGULAR,rebound,defensive,[],203083,,,1610612755,38,31,2025-12-24T00:52:01Z,2000000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,202.0,,,,,,,,,,,,,1.0,1.0,0.0,,
204,PT09M33.00S,2025-12-24T00:52:04.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201569,29.517082785808146,82.1078431372549,1610612755,38,31,2025-12-24T00:52:10Z,2010000,False,-161.0,225.0,1,left,MISS E. Gordon 27' running 3PT,[201569],1610612755.0,PHI,running,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,27.64,Missed,,,,,,,,,,,,,,,,,,
205,PT09M29.00S,2025-12-24T00:52:08.7Z,2,REGULAR,rebound,defensive,[],1642856,,,1610612751,38,31,2025-12-24T00:52:10Z,2020000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:2),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Left Center,,,204.0,,,,,,,,,,,,,2.0,2.0,0.0,,
206,PT09M20.00S,2025-12-24T00:52:16.9Z,2,REGULAR,3pt,Jump Shot,[],1641730,81.42247043363994,95.83333333333334,1610612751,38,34,2025-12-24T00:52:20Z,2030000,False,229.0,122.0,1,right,N. Clowney 25' 3PT  (5 PTS) (D. Wolf 1 AST),"[1641730, 1642874]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,25.97,Made,,,,,,,5.0,D. Wolf,1642874.0,1.0,,,,,,,,
208,PT09M02.00S,2025-12-24T00:52:34.7Z,2,REGULAR,2pt,Jump Shot,[],202331,25.312089356110377,65.19607843137256,1610612755,38,34,2025-12-24T00:52:39Z,2050000,False,-76.0,185.0,1,left,MISS P. George 20' step back Shot,[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Mid-Range,16-24 Left Center,20.04,Missed,,,,,,,,,,,,,,,,,,
209,PT09M00.00S,2025-12-24T00:52:36.7Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,38,34,2025-12-24T00:52:39Z,2060000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,,,208.0,,,,,,,,,,,,,2.0,1.0,1.0,,
210,PT08M52.00S,2025-12-24T00:52:45.7Z,2,REGULAR,3pt,Jump Shot,[],1642856,74.98357424441524,86.51960784313727,1610612751,38,34,2025-12-24T00:55:16Z,2070000,False,183.0,183.0,1,right,MISS E. Dëmin 25' pullup 3PT,[1642856],1610612751.0,BKN,pullup,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
211,PT08M50.00S,2025-12-24T00:52:47.7Z,2,REGULAR,rebound,offensive,[],1629651,,,1610612751,38,34,2025-12-24T00:55:16Z,2080000,False,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,210.0,,,,,,,,,,,,,3.0,1.0,2.0,,
212,PT08M41.00S,2025-12-24T00:52:56.7Z,2,REGULAR,turnover,lost ball,[],1641730,,,1610612751,38,34,2025-12-24T00:53:05Z,2090000,False,,,0,,N. Clowney lost ball TURNOVER (1 TO),"[1641730, 202331]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,George,202331.0,,,,,
213,PT08M41.00S,2025-12-24T00:52:56.7Z,2,REGULAR,steal,,[],202331,,,1610612755,38,34,2025-12-24T00:53:03Z,2100000,False,,,0,,P. George STEAL (3 STL),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
214,PT08M27.00S,2025-12-24T00:53:13.5Z,2,REGULAR,foul,personal,['2freethrow'],1630533,,,1610612755,38,34,2025-12-24T00:53:24Z,2110000,False,,,0,,Z. Williams shooting personal FOUL (2 PF) (Gordon 2 FT),"[1630533, 201569]",1610612751.0,BKN,shooting,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,2004.0,2.0,0.0,Gordon,201569.0,,,,,,,,,,,,
216,PT08M27.00S,2025-12-24T00:53:50.3Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],201569,,,1610612755,38,34,2025-12-24T00:53:50Z,2130000,False,,,0,,MISS E. Gordon Free Throw 1 of 2,[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
217,PT08M27.00S,2025-12-24T00:53:50.3Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,38,34,2025-12-24T00:53:50Z,2140000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,216.0,,,,,,,,,,,,,,,,,
218,PT08M27.00S,2025-12-24T00:53:51.0Z,2,REGULAR,substitution,out,[],200768,,,1610612755,38,34,2025-12-24T00:54:07Z,2150000,False,,,0,,SUB out: K. Lowry,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M27.00S,2025-12-24T00:53:51.0Z,2,REGULAR,substitution,out,[],202331,,,1610612755,38,34,2025-12-24T00:54:07Z,2160000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M27.00S,2025-12-24T00:53:51.0Z,2,REGULAR,substitution,out,[],1630533,,,1610612755,38,34,2025-12-24T00:54:07Z,2170000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M27.00S,2025-12-24T00:53:51.0Z,2,REGULAR,substitution,out,[],1642874,,,1610612755,38,34,2025-12-24T00:54:07Z,2180000,False,,,0,,SUB out: D. Wolf,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT08M27.00S,2025-12-24T00:53:51.0Z,2,REGULAR,substitution,in,[],1630178,,,1610612755,38,34,2025-12-24T00:54:07Z,2190000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M27.00S,2025-12-24T00:53:51.0Z,2,REGULAR,substitution,in,[],1642348,,,1610612755,38,34,2025-12-24T00:54:07Z,2200000,False,,,0,,SUB in: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT08M27.00S,2025-12-24T00:53:51.0Z,2,REGULAR,substitution,in,[],1629611,,,1610612755,38,34,2025-12-24T00:54:07Z,2210000,False,,,0,,SUB in: T. Mann,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M27.00S,2025-12-24T00:53:51.0Z,2,REGULAR,substitution,in,[],1629008,,,1610612755,38,34,2025-12-24T00:54:07Z,2220000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M27.00S,2025-12-24T00:54:23.4Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],201569,,,1610612755,39,34,2025-12-24T00:54:23Z,2230000,False,,,0,,E. Gordon Free Throw 2 of 2 (9 PTS),[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
227,PT08M09.00S,2025-12-24T00:54:42.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,94.03745072273325,48.77450980392157,1610612751,39,36,2025-12-24T00:54:47Z,2240000,False,-6.0,4.0,1,right,N. Claxton cutting finger roll Layup (3 PTS) (E. Dëmin 1 AST),"[1629651, 1642856]",1610612751.0,BKN,cutting finger roll,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.7,Made,,,,,,,3.0,E. Dëmin,1642856.0,1.0,,,,,,,,
229,PT07M50.00S,2025-12-24T00:55:02.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201569,10.200394218134035,50.49019607843137,1610612755,39,36,2025-12-24T00:55:49Z,2260000,False,-2.0,43.0,1,left,MISS E. Gordon driving finger roll Layup,[201569],1610612755.0,PHI,driving finger roll,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,4.35,Missed,,,,,,,,,,,,,,,,,,
230,PT07M44.00S,2025-12-24T00:55:08.7Z,2,REGULAR,rebound,offensive,[],203083,,,1610612755,39,36,2025-12-24T00:55:49Z,2270000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,229.0,,,,,,,,,,,,,2.0,1.0,1.0,,
231,PT07M44.00S,2025-12-24T00:55:07.9Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203083,5.590000152587891,50.0,1610612755,39,36,2025-12-24T00:55:42Z,2280000,False,0.0,0.0,1,left,MISS A. Drummond putback DUNK,[203083],1610612755.0,PHI,putback,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
233,PT07M42.00S,2025-12-24T00:55:09.9Z,2,REGULAR,rebound,defensive,[],1641730,,,1610612751,39,36,2025-12-24T00:55:42Z,2300000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,231.0,,,,,,,,,,,,,1.0,1.0,0.0,,
234,PT07M38.00S,2025-12-24T00:55:14.2Z,2,REGULAR,3pt,Jump Shot,[],1641730,67.62483574244416,56.86274509803921,1610612751,39,39,2025-12-24T00:57:51Z,2310000,False,34.0,252.0,1,right,N. Clowney 25' 3PT  (8 PTS) (E. Dëmin 2 AST),"[1641730, 1642856]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Center,25.41,Made,,,,,,,8.0,E. Dëmin,1642856.0,2.0,,,,,,,,
236,PT07M16.00S,2025-12-24T00:55:36.0Z,2,REGULAR,3pt,Jump Shot,[],201569,33.590670170827856,28.186274509803923,1610612755,39,39,2025-12-24T00:55:44Z,2330000,False,109.0,263.0,1,left,MISS E. Gordon 28' 3PT,[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,28.5,Missed,,,,,,,,,,,,,,,,,,
237,PT07M09.00S,2025-12-24T00:55:43.0Z,2,REGULAR,rebound,defensive,[],1629611,,,1610612751,39,39,2025-12-24T00:55:44Z,2340000,False,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,236.0,,,,,,,,,,,,,2.0,2.0,0.0,,
238,PT07M01.00S,2025-12-24T00:55:52.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,94.82588699080158,50.98039215686274,1610612751,39,41,2025-12-24T00:55:55Z,2350000,False,5.0,-4.0,1,right,N. Claxton cutting DUNK (5 PTS) (T. Mann 1 AST),"[1629651, 1629611]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,,,5.0,T. Mann,1629611.0,1.0,,,,,,,,
240,PT07M01.00S,2025-12-24T00:55:58.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,39,41,2025-12-24T00:55:58Z,2370000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT07M01.00S,2025-12-24T00:58:24.5Z,2,REGULAR,substitution,out,[],203083,,,1610612755,39,41,2025-12-24T00:58:40Z,2380000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT07M01.00S,2025-12-24T00:58:24.5Z,2,REGULAR,substitution,out,[],1642272,,,1610612755,39,41,2025-12-24T00:58:40Z,2390000,False,,,0,,SUB out: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT07M01.00S,2025-12-24T00:58:24.5Z,2,REGULAR,substitution,out,[],201569,,,1610612755,39,41,2025-12-24T00:58:40Z,2400000,False,,,0,,SUB out: E. Gordon,[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT07M01.00S,2025-12-24T00:58:24.5Z,2,REGULAR,substitution,in,[],200768,,,1610612755,39,41,2025-12-24T00:58:40Z,2410000,False,,,0,,SUB in: K. Lowry,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT07M01.00S,2025-12-24T00:58:24.5Z,2,REGULAR,substitution,in,[],203954,,,1610612755,39,41,2025-12-24T00:58:40Z,2420000,False,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M01.00S,2025-12-24T00:58:24.5Z,2,REGULAR,substitution,in,[],1631133,,,1610612755,39,41,2025-12-24T00:58:40Z,2430000,False,,,0,,SUB in: J. Walker,[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M52.00S,2025-12-24T00:59:03.1Z,2,REGULAR,turnover,bad pass,[],200768,,,1610612755,39,41,2025-12-24T00:59:14Z,2440000,False,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1641730]",1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Clowney,1641730.0,,,,,
250,PT06M52.00S,2025-12-24T00:59:03.1Z,2,REGULAR,steal,,[],1641730,,,1610612751,39,41,2025-12-24T00:59:14Z,2445000,False,,,0,,N. Clowney STEAL (2 STL),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
248,PT06M46.00S,2025-12-24T00:59:08.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629651,93.11760840998686,49.01960784313725,1610612751,39,43,2025-12-24T00:59:21Z,2450000,False,-5.0,12.0,1,right,N. Claxton running DUNK (7 PTS) (N. Clowney 1 AST),"[1629651, 1641730]",1610612751.0,BKN,running,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.31,Made,,,,,,,7.0,N. Clowney,1641730.0,1.0,,,,,,,,
251,PT06M31.00S,2025-12-24T00:59:23.8Z,2,REGULAR,2pt,Jump Shot,[],203954,23.209592641261498,51.71568627450981,1610612755,39,43,2025-12-24T00:59:32Z,2470000,False,-9.0,166.0,1,left,MISS J. Embiid 16' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,16.59,Missed,,,,,,,,,,,,,,,,,,
252,PT06M23.00S,2025-12-24T00:59:31.8Z,2,REGULAR,rebound,offensive,[],1631133,,,1610612755,39,43,2025-12-24T00:59:32Z,2480000,False,,,0,,J. Walker REBOUND (Off:1 Def:1),[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Center,,,251.0,,,,,,,,,,,,,2.0,1.0,1.0,,
253,PT06M23.00S,2025-12-24T00:59:31.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631133,5.590000152587891,50.0,1610612755,41,43,2025-12-24T00:59:41Z,2490000,False,0.0,0.0,1,left,J. Walker putback Layup (2 PTS),[1631133],1610612755.0,PHI,putback,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
254,PT06M15.00S,2025-12-24T00:59:43.9Z,2,REGULAR,foul,personal,[],1631133,,,1610612751,41,43,2025-12-24T00:59:47Z,2500000,False,,,0,,J. Walker personal FOUL (2 PF),"[1631133, 1629611]",1610612755.0,PHI,,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,,2004.0,2.0,0.0,Mann,1629611.0,,,,,,,,,,,,
