actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
64,PT06M29.00S,2024-03-11T23:22:46.2Z,1,REGULAR,2pt,Jump Shot,[],1629684,90.88370565045992,69.36274509803921,1610612766,16,14,2024-03-11T23:22:50Z,640000,False,97.0,33.0,1,right,MISS G. Williams 10' fadeaway Shot,[1629684],1610612766.0,CHA,fadeaway,,,,,,Mid-Range,8-16 Right,10.23,Missed,Williams,G. Williams,,,,,,,,,,,,,,,,,,
65,PT06M27.00S,2024-03-11T23:22:48.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,16,14,2024-03-11T23:22:50Z,650000,False,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,,,,Mid-Range,8-16 Right,,,Stewart,I. Stewart,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT06M13.00S,2024-03-11T23:23:02.5Z,1,REGULAR,3pt,Jump Shot,[],1631093,31.488173455978973,25.735294117647058,1610612765,16,14,2024-03-11T23:23:07Z,660000,False,121.0,243.0,1,left,MISS J. Ivey 27' step back 3PT,[1631093],1610612765.0,DET,step back,,,,,,Above the Break 3,24+ Right Center,27.2,Missed,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,
67,PT06M09.00S,2024-03-11T23:23:06.5Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,16,14,2024-03-11T23:23:07Z,670000,False,,,0,,N. Richards REBOUND (Off:1 Def:2),[1630208],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Richards,N. Richards,66.0,3.0,2.0,1.0,,,,,,,,,,,,,,
68,PT06M02.00S,2024-03-11T23:23:14.9Z,1,REGULAR,foul,personal,[],1631323,,,1610612766,16,14,2024-03-11T23:23:30Z,680000,False,,,0,,S. Fontecchio personal FOUL (1 PF),"[1631323, 1628970]",1610612765.0,DET,,,,,,,Mid-Range,8-16 Left,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,202901.0,1.0,0.0,Bridges,1628970.0,,
70,PT06M02.00S,2024-03-11T23:23:29.1Z,1,REGULAR,substitution,out,[],1629684,,,1610612766,16,14,2024-03-11T23:23:34Z,700000,False,,,0,,SUB out: G. Williams,[1629684],1610612766.0,CHA,,,,,,,,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,
71,PT06M02.00S,2024-03-11T23:23:29.1Z,1,REGULAR,substitution,in,[],1630550,,,1610612766,16,14,2024-03-11T23:23:34Z,710000,False,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,,,,,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,
72,PT05M53.00S,2024-03-11T23:23:49.2Z,1,REGULAR,3pt,Jump Shot,[],1630550,90.22667542706965,2.941176470588235,1610612766,16,14,2024-03-11T23:24:11Z,720000,False,-235.0,39.0,1,right,MISS J. Thor 3PT,[1630550],1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,23.86,Missed,Thor,J. Thor,,,,,,,,,,,,,,,,,,
73,PT05M51.00S,2024-03-11T23:23:51.2Z,1,REGULAR,rebound,defensive,[],1631323,,,1610612765,16,14,2024-03-11T23:23:55Z,730000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:2),[1631323],1610612765.0,DET,,,,,,,Left Corner 3,24+ Left,,,Fontecchio,S. Fontecchio,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT05M45.00S,2024-03-11T23:23:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,8.09789750328515,43.38235294117647,1610612765,18,14,2024-03-11T23:24:06Z,740000,False,33.0,24.0,1,left,C. Cunningham driving Layup (7 PTS),[1630595],1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,4.07,Made,Cunningham,C. Cunningham,,,,,7.0,,,,,,,,,,,,,
