actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
171,PT00M00.00S,2023-11-28T00:37:42.3Z,1,REGULAR,period,end,[],0,,,1610612764,27,31,2023-11-28T00:37:42Z,1700000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2023-11-28T00:39:53.0Z,2,REGULAR,substitution,out,['startperiod'],1631204,,,1610612764,27,31,2023-11-28T00:40:13Z,1710000,False,,,0,,SUB out: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2023-11-28T00:39:53.0Z,2,REGULAR,substitution,out,['startperiod'],1630557,,,1610612764,27,31,2023-11-28T00:40:13Z,1720000,False,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2023-11-28T00:39:53.0Z,2,REGULAR,substitution,in,['startperiod'],1641709,,,1610612764,27,31,2023-11-28T00:40:13Z,1730000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2023-11-28T00:39:53.0Z,2,REGULAR,substitution,in,['startperiod'],1631098,,,1610612764,27,31,2023-11-28T00:40:13Z,1740000,False,,,0,,SUB in: J. Davis,[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2023-11-28T00:40:16.7Z,2,REGULAR,period,start,[],0,,,1610612764,27,31,2023-11-28T00:40:16Z,1750000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT11M50.00S,2023-11-28T00:40:30.0Z,2,REGULAR,turnover,traveling,[],1641731,,,1610612764,27,31,2023-11-28T00:40:37Z,1760000,False,,,0,,B. Coulibaly traveling TURNOVER (1 TO),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,202007.0,1.0,,,,,,
178,PT11M26.00S,2023-11-28T00:41:06.1Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1641709,26.757555847568987,54.65686274509803,1610612765,27,31,2023-11-28T00:43:27Z,1770000,False,-23.0,199.0,1,left,MISS A. Thompson 20' pullup Shot,[1641709],1610612765.0,DET,pullup,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Center,20.04,Missed,,,,,,,,,,,,,,,,,,
179,PT11M24.00S,2023-11-28T00:41:08.1Z,2,REGULAR,rebound,defensive,[],1641731,,,1610612764,27,31,2023-11-28T00:41:09Z,1780000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Center,,,178.0,1.0,1.0,0.0,,,,,,,,,,,,,,
180,PT11M18.00S,2023-11-28T00:41:19.5Z,2,REGULAR,turnover,out-of-bounds,[],1641731,,,1610612764,27,31,2023-11-28T00:41:41Z,1790000,False,,,0,,B. Coulibaly lost ball out-of-bounds TURNOVER (2 TO),[1641731],1610612764.0,WAS,lost ball,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202007.0,2.0,,,,,,
181,PT11M02.00S,2023-11-28T00:41:41.7Z,2,REGULAR,turnover,traveling,[],1630587,,,1610612765,27,31,2023-11-28T00:41:48Z,1800000,False,,,0,,I. Livers traveling TURNOVER (1 TO),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,202007.0,1.0,,,,,,
183,PT10M42.00S,2023-11-28T00:42:23.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629013,80.50262812089356,25.49019607843137,1610612764,27,31,2023-11-28T00:44:06Z,1820000,False,-123.0,131.0,1,right,MISS L. Shamet 17' pullup Shot,[1629013],1610612764.0,WAS,pullup,,,Shamet,L. Shamet,,,,,Mid-Range,16-24 Left Center,17.92,Missed,,,,,,,,,,,,,,,,,,
184,PT10M40.00S,2023-11-28T00:42:25.9Z,2,REGULAR,rebound,defensive,[],1641709,,,1610612765,27,31,2023-11-28T00:42:32Z,1830000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,,183.0,1.0,1.0,0.0,,,,,,,,,,,,,,
185,PT10M33.00S,2023-11-28T00:42:31.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630164,5.338370565045992,50.245098039215684,1610612765,29,31,2023-11-28T00:42:36Z,1840000,False,-1.0,-2.0,1,left,J. Wiseman DUNK (5 PTS) (A. Thompson 1 AST),"[1630164, 1641709]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,0.26,Made,,,,,5.0,,,A. Thompson,1641709.0,1.0,,,,,,,,
187,PT10M15.00S,2023-11-28T00:42:49.5Z,2,REGULAR,3pt,Jump Shot,[],1641731,93.77463863337714,96.32352941176471,1610612764,29,31,2023-11-28T00:42:54Z,1860000,False,232.0,6.0,1,right,MISS B. Coulibaly 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Right Corner 3,24+ Right,23.17,Missed,,,,,,,,,,,,,,,,,,
188,PT10M13.00S,2023-11-28T00:42:51.5Z,2,REGULAR,rebound,defensive,[],1630165,,,1610612765,29,31,2023-11-28T00:42:55Z,1870000,False,,,0,,K. Hayes REBOUND (Off:0 Def:3),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Right Corner 3,24+ Right,,,187.0,3.0,3.0,0.0,,,,,,,,,,,,,,
189,PT10M06.00S,2023-11-28T00:42:59.4Z,2,REGULAR,3pt,Jump Shot,[],1630587,21.107095926412615,11.27450980392157,1610612765,29,31,2023-11-28T00:43:04Z,1880000,False,194.0,146.0,1,left,MISS I. Livers 24' 3PT,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Right Center,24.24,Missed,,,,,,,,,,,,,,,,,,
190,PT10M03.00S,2023-11-28T00:43:02.0Z,2,REGULAR,rebound,offensive,[],1630164,,,1610612765,29,31,2023-11-28T00:43:02Z,1890000,False,,,0,,J. Wiseman REBOUND (Off:2 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Right Center,,,189.0,3.0,1.0,2.0,,,,,,,,,,,,,,
191,PT10M01.00S,2023-11-28T00:43:03.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630164,6.783837056504599,53.431372549019606,1610612765,31,31,2023-11-28T00:45:00Z,1900000,False,-17.0,11.0,1,left,J. Wiseman putback Layup (7 PTS),[1630164],1610612765.0,DET,putback,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,2.06,Made,,,,,7.0,,,,,,,,,,,,,
192,PT09M46.00S,2023-11-28T00:43:18.9Z,2,REGULAR,3pt,Jump Shot,[],201568,66.5735873850197,48.77450980392157,1610612764,31,34,2023-11-28T00:43:22Z,1910000,False,-6.0,262.0,1,right,D. Gallinari 26' 3PT  (6 PTS) (L. Shamet 1 AST),"[201568, 1629013]",1610612764.0,WAS,,,,Gallinari,D. Gallinari,,,,,Above the Break 3,24+ Center,26.18,Made,,,,,6.0,,,L. Shamet,1629013.0,1.0,,,,,,,,
194,PT09M26.00S,2023-11-28T00:43:38.9Z,2,REGULAR,3pt,Jump Shot,[],202692,22.026938239159,88.23529411764706,1610612765,31,34,2023-11-28T00:45:46Z,1930000,False,-191.0,155.0,1,left,MISS A. Burks 24' pullup 3PT,[202692],1610612765.0,DET,pullup,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,24.59,Missed,,,,,,,,,,,,,,,,,,
195,PT09M24.00S,2023-11-28T00:43:40.9Z,2,REGULAR,rebound,defensive,[],1630166,,,1610612764,31,34,2023-11-28T00:43:42Z,1940000,False,,,0,,D. Avdija REBOUND (Off:0 Def:4),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,194.0,4.0,4.0,0.0,,,,,,,,,,,,,,
196,PT09M20.00S,2023-11-28T00:43:44.5Z,2,REGULAR,3pt,Jump Shot,[],201568,69.07030223390277,80.88235294117648,1610612764,31,37,2023-11-28T00:43:52Z,1950000,False,154.0,238.0,1,right,D. Gallinari 28' 3PT  (9 PTS) (D. Avdija 3 AST),"[201568, 1630166]",1610612764.0,WAS,,,,Gallinari,D. Gallinari,,,,,Above the Break 3,24+ Right Center,28.39,Made,,,,,9.0,,,D. Avdija,1630166.0,3.0,,,,,,,,
198,PT09M03.00S,2023-11-28T00:44:01.4Z,2,REGULAR,3pt,Jump Shot,[],202692,19.793035479632064,91.17647058823529,1610612765,31,37,2023-11-28T00:44:07Z,1970000,False,-206.0,134.0,1,left,MISS A. Burks 24' 3PT,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,24.54,Missed,,,,,,,,,,,,,,,,,,
199,PT09M00.00S,2023-11-28T00:44:04.4Z,2,REGULAR,rebound,defensive,[],201568,,,1610612764,31,37,2023-11-28T00:44:07Z,1980000,False,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612764.0,WAS,,,,Gallinari,D. Gallinari,,,,,Above the Break 3,24+ Left Center,,,198.0,1.0,1.0,0.0,,,,,,,,,,,,,,
200,PT08M59.00S,2023-11-28T00:44:09.5Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630166,92.06636005256242,49.50980392156863,1610612764,31,39,2023-11-28T00:46:43Z,1990000,False,-2.0,22.0,1,right,D. Avdija running reverse Layup (6 PTS) (D. Gallinari 2 AST),"[1630166, 201568]",1610612764.0,WAS,running reverse,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.22,Made,,,,,6.0,,,D. Gallinari,201568.0,2.0,,,,,,,,
202,PT08M59.00S,2023-11-28T00:44:16.1Z,2,REGULAR,foul,personal,['1freethrow'],202692,,,1610612764,31,39,2023-11-28T00:44:23Z,2010000,False,,,0,,A. Burks shooting personal FOUL (1 PF) (Avdija 1 FT),"[202692, 1630166]",1610612765.0,DET,shooting,,,Burks,A. Burks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202007.0,,,,1.0,0.0,Avdija,1630166.0
204,PT08M59.00S,2023-11-28T00:44:24.5Z,2,REGULAR,substitution,out,[],1630587,,,1610612764,31,39,2023-11-28T00:45:46Z,2030000,False,,,0,,SUB out: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M59.00S,2023-11-28T00:44:24.5Z,2,REGULAR,substitution,out,[],1630164,,,1610612764,31,39,2023-11-28T00:45:46Z,2040000,False,,,0,,SUB out: J. Wiseman,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M59.00S,2023-11-28T00:44:24.5Z,2,REGULAR,substitution,in,[],1630191,,,1610612764,31,39,2023-11-28T00:45:46Z,2050000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M59.00S,2023-11-28T00:44:24.5Z,2,REGULAR,substitution,in,[],1631105,,,1610612764,31,39,2023-11-28T00:45:46Z,2060000,False,,,0,,SUB in: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M59.00S,2023-11-28T00:44:24.5Z,2,REGULAR,substitution,out,[],202692,,,1610612764,31,39,2023-11-28T00:45:46Z,2070000,False,,,0,,SUB out: A. Burks,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT08M59.00S,2023-11-28T00:44:24.5Z,2,REGULAR,substitution,in,[],1631093,,,1610612764,31,39,2023-11-28T00:45:46Z,2080000,False,,,0,,SUB in: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M59.00S,2023-11-28T00:44:54.3Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],1630166,,,1610612764,31,40,2023-11-28T00:44:54Z,2090000,False,,,0,,D. Avdija Free Throw 1 of 1 (7 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
211,PT08M46.00S,2023-11-28T00:45:08.4Z,2,REGULAR,3pt,Jump Shot,[],1630191,32.276609724047304,29.901960784313726,1610612765,34,40,2023-11-28T00:45:12Z,2100000,False,100.0,251.0,1,left,I. Stewart 27' 3PT  (5 PTS) (A. Thompson 2 AST),"[1630191, 1641709]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,27.03,Made,,,,,5.0,,,A. Thompson,1641709.0,2.0,,,,,,,,
213,PT08M27.00S,2023-11-28T00:45:27.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631098,93.24901445466492,47.05882352941176,1610612764,34,42,2023-11-28T00:45:36Z,2120000,False,-15.0,11.0,1,right,J. Davis reverse Layup (2 PTS) (D. Avdija 4 AST),"[1631098, 1630166]",1610612764.0,WAS,reverse,,,Davis,J. Davis,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,2.0,,,D. Avdija,1630166.0,4.0,,,,,,,,
215,PT08M09.00S,2023-11-28T00:45:45.1Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,7.440867279894875,44.6078431372549,1610612765,34,42,2023-11-28T00:47:56Z,2140000,False,27.0,17.0,1,left,MISS I. Stewart turnaround Hook,[1630191],1610612765.0,DET,turnaround,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,,,,,,,,,,,,,,
216,PT08M07.00S,2023-11-28T00:45:47.1Z,2,REGULAR,rebound,defensive,[],201568,,,1610612764,34,42,2023-11-28T00:45:48Z,2150000,False,,,0,,D. Gallinari REBOUND (Off:0 Def:2),[201568],1610612764.0,WAS,,,,Gallinari,D. Gallinari,,,,,Restricted Area,0-8 Center,,,215.0,2.0,2.0,0.0,,,,,,,,,,,,,,
217,PT08M00.00S,2023-11-28T00:45:54.6Z,2,REGULAR,3pt,Jump Shot,[],1629013,71.04139290407359,75.49019607843137,1610612764,34,42,2023-11-28T00:45:58Z,2160000,False,127.0,220.0,1,right,MISS L. Shamet 25' 3PT - blocked,"[1629013, 1630165]",1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Right Center,25.4,Missed,,,,,,Hayes,1630165.0,,,,,,,,,,,
218,PT08M00.00S,2023-11-28T00:45:54.6Z,2,REGULAR,block,,[],1630165,,,1610612764,34,42,2023-11-28T00:50:01Z,2170000,False,,,0,,K. Hayes BLOCK (1 BLK),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
219,PT07M56.00S,2023-11-28T00:45:58.6Z,2,REGULAR,rebound,defensive,[],1641709,,,1610612765,34,42,2023-11-28T00:50:01Z,2180000,False,,,0,,A. Thompson REBOUND (Off:0 Def:2),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,217.0,2.0,2.0,0.0,,,,,,,,,,,,,,
220,PT07M54.00S,2023-11-28T00:46:00.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631093,6.258212877792378,49.01960784313725,1610612765,36,42,2023-11-28T00:50:34Z,2190000,False,5.0,6.0,1,left,J. Ivey running Layup (4 PTS) (K. Hayes 1 AST),"[1631093, 1630165]",1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,4.0,,,K. Hayes,1630165.0,1.0,,,,,,,,
336,PT07M40.00S,2023-11-28T00:46:13.3Z,2,REGULAR,turnover,lost ball,[],1631098,,,1610612764,36,42,2023-11-28T01:13:56Z,2205000,False,,,0,,J. Davis lost ball TURNOVER (1 TO),"[1631098, 1631105]",1610612764.0,WAS,,,,Davis,J. Davis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1.0,Duren,1631105.0,,,,
337,PT07M40.00S,2023-11-28T00:46:13.3Z,2,REGULAR,steal,,[],1631105,,,1610612765,36,42,2023-11-28T01:13:56Z,2207500,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
338,PT07M38.00S,2023-11-28T00:46:19.8Z,2,REGULAR,turnover,bad pass,[],1631105,,,1610612765,36,42,2023-11-28T01:14:22Z,2208750,False,,,0,,J. Duren bad pass TURNOVER (2 TO),"[1631105, 1629013]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,2.0,Shamet,1629013.0,,,,
339,PT07M38.00S,2023-11-28T00:46:19.8Z,2,REGULAR,steal,,[],1629013,,,1610612764,36,42,2023-11-28T01:14:22Z,2209375,False,,,0,,L. Shamet STEAL (1 STL),[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
222,PT07M28.00S,2023-11-28T00:46:26.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641731,90.62089356110381,41.911764705882355,1610612764,36,42,2023-11-28T01:14:22Z,2210000,False,-40.0,36.0,1,right,MISS B. Coulibaly driving floating Shot,[1641731],1610612764.0,WAS,driving floating,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,,,,,
223,PT07M22.00S,2023-11-28T00:46:32.4Z,2,REGULAR,rebound,defensive,[],1641709,,,1610612765,36,42,2023-11-28T00:46:32Z,2220000,False,,,0,,A. Thompson REBOUND (Off:0 Def:3),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,222.0,3.0,3.0,0.0,,,,,,,,,,,,,,
224,PT07M19.00S,2023-11-28T00:46:34.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641709,5.469776609724048,49.754901960784316,1610612765,38,42,2023-11-28T00:46:40Z,2230000,False,1.0,-1.0,1,left,A. Thompson running Layup (8 PTS),[1641709],1610612765.0,DET,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,0.16,Made,,,,,8.0,,,,,,,,,,,,,
225,PT07M06.00S,2023-11-28T00:46:56.1Z,2,REGULAR,foul,personal,[],1631093,,,1610612764,38,42,2023-11-28T00:47:13Z,2240000,False,,,0,,J. Ivey personal FOUL (1 PF),"[1631093, 201568]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1662.0,,,,1.0,0.0,Gallinari,201568.0
227,PT07M06.00S,2023-11-28T00:47:06.9Z,2,REGULAR,substitution,out,[],1630165,,,1610612764,38,42,2023-11-28T00:47:22Z,2260000,False,,,0,,SUB out: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M06.00S,2023-11-28T00:47:06.9Z,2,REGULAR,substitution,out,[],1630166,,,1610612764,38,42,2023-11-28T00:47:22Z,2270000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M06.00S,2023-11-28T00:47:06.9Z,2,REGULAR,substitution,in,[],1630595,,,1610612764,38,42,2023-11-28T00:47:22Z,2280000,False,,,0,,SUB in: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT07M06.00S,2023-11-28T00:47:06.9Z,2,REGULAR,substitution,in,[],1628398,,,1610612764,38,42,2023-11-28T00:47:22Z,2290000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT07M01.00S,2023-11-28T00:47:27.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629013,85.75886990801577,46.81372549019608,1610612764,38,44,2023-11-28T00:47:47Z,2300000,False,-16.0,81.0,1,right,L. Shamet 8' pullup Jump Shot (5 PTS) (K. Kuzma 4 AST),"[1629013, 1628398]",1610612764.0,WAS,pullup,,,Shamet,L. Shamet,,,,,In The Paint (Non-RA),8-16 Center,8.29,Made,,,,,5.0,,,K. Kuzma,1628398.0,4.0,,,,,,,,
233,PT06M42.00S,2023-11-28T00:47:45.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,6.389618922470433,48.28431372549019,1610612765,40,44,2023-11-28T00:47:49Z,2320000,False,9.0,8.0,1,left,C. Cunningham Layup (4 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,4.0,,,,,,,,,,,,,
234,PT06M22.00S,2023-11-28T00:48:05.8Z,2,REGULAR,2pt,Jump Shot,[],1628398,88.64980289093299,73.0392156862745,1610612764,40,44,2023-11-28T00:52:50Z,2330000,False,115.0,54.0,1,right,MISS K. Kuzma 12' pullup Shot - blocked,"[1628398, 1631105]",1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,12.73,Missed,,,,,,Duren,1631105.0,,,,,,,,,,,
340,PT06M22.00S,2023-11-28T00:48:05.8Z,2,REGULAR,block,,[],1631105,,,1610612764,40,44,2023-11-28T01:14:38Z,2335000,False,,,0,,J. Duren BLOCK (2 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
235,PT06M21.00S,2023-11-28T00:48:06.8Z,2,REGULAR,rebound,defensive,[],1641709,,,1610612765,40,44,2023-11-28T00:48:12Z,2340000,False,,,0,,A. Thompson REBOUND (Off:0 Def:4),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Right,,,234.0,4.0,4.0,0.0,,,,,,,,,,,,,,
236,PT06M21.00S,2023-11-28T00:48:18.8Z,2,REGULAR,foul,personal,[],201568,,,1610612765,40,44,2023-11-28T00:48:27Z,2350000,False,,,0,,D. Gallinari personal FOUL (1 PF),"[201568, 1641709]",1610612764.0,WAS,,,,Gallinari,D. Gallinari,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,203054.0,,,,1.0,0.0,Thompson,1641709.0
238,PT06M21.00S,2023-11-28T00:48:29.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,40,44,2023-11-28T00:48:29Z,2370000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M21.00S,2023-11-28T00:50:50.3Z,2,REGULAR,substitution,out,[],1631098,,,1610612765,40,44,2023-11-28T00:51:21Z,2380000,False,,,0,,SUB out: J. Davis,[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M21.00S,2023-11-28T00:50:50.3Z,2,REGULAR,substitution,out,[],1629013,,,1610612765,40,44,2023-11-28T00:51:21Z,2390000,False,,,0,,SUB out: L. Shamet,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M21.00S,2023-11-28T00:50:50.3Z,2,REGULAR,substitution,in,[],1626145,,,1610612765,40,44,2023-11-28T00:51:21Z,2400000,False,,,0,,SUB in: T. Jones,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M21.00S,2023-11-28T00:50:50.3Z,2,REGULAR,substitution,in,[],1630557,,,1610612765,40,44,2023-11-28T00:51:21Z,2410000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M10.00S,2023-11-28T00:51:27.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1631105,10.5946123521682,43.627450980392155,1610612765,42,44,2023-11-28T00:53:39Z,2420000,False,32.0,47.0,1,left,J. Duren turnaround Hook (7 PTS) (J. Ivey 4 AST),"[1631105, 1631093]",1610612765.0,DET,turnaround,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,5.69,Made,,,,,7.0,,,J. Ivey,1631093.0,4.0,,,,,,,,
245,PT05M55.00S,2023-11-28T00:51:44.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,93.77463863337714,48.77450980392157,1610612764,42,46,2023-11-28T00:51:49Z,2440000,False,-6.0,6.0,1,right,B. Coulibaly Layup (2 PTS) (T. Jones 2 AST),"[1641731, 1626145]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,2.0,,,T. Jones,1626145.0,2.0,,,,,,,,
247,PT05M55.00S,2023-11-28T00:51:47.3Z,2,REGULAR,foul,personal,['1freethrow'],1630595,,,1610612764,42,46,2023-11-28T00:51:58Z,2460000,False,,,0,,C. Cunningham shooting personal FOUL (2 PF) (Coulibaly 1 FT),"[1630595, 1641731]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203054.0,,,,2.0,0.0,Coulibaly,1641731.0
249,PT05M55.00S,2023-11-28T00:51:59.0Z,2,REGULAR,substitution,out,[],201568,,,1610612764,42,46,2023-11-28T00:52:57Z,2480000,False,,,0,,SUB out: D. Gallinari,[201568],1610612764.0,WAS,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M55.00S,2023-11-28T00:51:59.0Z,2,REGULAR,substitution,in,[],1629655,,,1610612764,42,46,2023-11-28T00:52:57Z,2490000,False,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M55.00S,2023-11-28T00:52:21.1Z,2,REGULAR,freethrow,1 of 1,[],1641731,,,1610612764,42,47,2023-11-28T00:52:21Z,2500000,False,,,0,,B. Coulibaly Free Throw 1 of 1 (3 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
