actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
234,PT10M38.00S,2022-02-12T01:08:42.0Z,2,REGULAR,rebound,offensive,[],201568,,,1610612737,33,47,2022-02-12T01:16:35Z,1837500,,,0,,D. Gallinari REBOUND (Off:3 Def:3),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,233.0,6.0,3.0,3.0,,,,,,,,,,,,
184,PT10M37.00S,2022-02-12T01:08:45.1Z,2,REGULAR,foul,personal,['2freethrow'],1628380,,,1610612737,33,47,2022-02-12T01:09:07Z,1840000,,,0,,Z. Collins shooting personal FOUL (1 PF) (Gallinari 2 FT),"[1628380, 201568]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Gallinari,201568.0
186,PT10M37.00S,2022-02-12T01:09:08.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],201568,,,1610612737,34,47,2022-02-12T01:16:35Z,1860000,,,0,,D. Gallinari Free Throw 1 of 2 (6 PTS),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
187,PT10M37.00S,2022-02-12T01:09:09.4Z,2,REGULAR,substitution,out,[],1630563,,,1610612737,34,47,2022-02-12T01:09:15Z,1870000,,,0,,SUB out: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,
188,PT10M37.00S,2022-02-12T01:09:09.4Z,2,REGULAR,substitution,out,[],1628380,,,1610612737,34,47,2022-02-12T01:09:15Z,1880000,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,
189,PT10M37.00S,2022-02-12T01:09:09.4Z,2,REGULAR,substitution,in,[],1627751,,,1610612737,34,47,2022-02-12T01:09:15Z,1890000,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
192,PT10M37.00S,2022-02-12T01:09:09.4Z,2,REGULAR,substitution,in,[],203926,,,1610612737,34,47,2022-02-12T01:09:39Z,1905000,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,
191,PT10M37.00S,2022-02-12T01:09:28.3Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],201568,,,1610612737,35,47,2022-02-12T01:16:35Z,1910000,,,0,,D. Gallinari Free Throw 2 of 2 (7 PTS),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
193,PT10M22.00S,2022-02-12T01:09:46.4Z,2,REGULAR,3pt,Jump Shot,[],203926,25.837713534822605,82.1078431372549,1610612759,35,47,2022-02-12T01:09:51Z,1920000,-161.0,190.0,1,left,MISS D. McDermott 24' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,24.9,Missed,,,,,,,,,,,,,,,,,,
194,PT10M19.00S,2022-02-12T01:09:49.4Z,2,REGULAR,rebound,defensive,[],203992,,,1610612737,35,47,2022-02-12T01:09:51Z,1930000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,193.0,1.0,1.0,0.0,,,,,,,,,,,,
195,PT10M08.00S,2022-02-12T01:10:00.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,90.75229960578186,47.30392156862745,1610612737,37,47,2022-02-12T01:10:06Z,1940000,-13.0,34.0,1,right,O. Okongwu driving Layup (2 PTS) (B. Bogdanovic 1 AST),"[1630168, 203992]",1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,3.7,Made,,,,,,,2.0,,,,B. Bogdanovic,203992.0,1.0,,,,,
197,PT09M57.00S,2022-02-12T01:10:10.6Z,2,REGULAR,2pt,Jump Shot,[],1629022,14.273981603153747,23.52941176470588,1610612759,37,47,2022-02-12T01:10:15Z,1960000,132.0,82.0,1,left,MISS L. Walker IV 15' pullup Shot,[1629022],1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,15.56,Missed,,,,,,,,,,,,,,,,,,
198,PT09M55.00S,2022-02-12T01:10:12.6Z,2,REGULAR,rebound,defensive,[],1628989,,,1610612737,37,47,2022-02-12T01:10:15Z,1970000,,,0,,K. Huerter REBOUND (Off:0 Def:3),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,197.0,3.0,3.0,0.0,,,,,,,,,,,,
199,PT09M46.00S,2022-02-12T01:10:22.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201568,91.67214191852825,49.754901960784316,1610612737,39,47,2022-02-12T01:10:28Z,1980000,-1.0,26.0,1,right,D. Gallinari driving DUNK (9 PTS),[201568],1610612737.0,ATL,driving,,,Gallinari,D. Gallinari,,,,,2.58,Made,,,,,,,9.0,,,,,,,,,,,
200,PT09M38.00S,2022-02-12T01:10:32.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,39,47,2022-02-12T01:10:32Z,1990000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT09M38.00S,2022-02-12T01:12:50.2Z,2,REGULAR,substitution,out,[],1629022,,,1610612759,39,47,2022-02-12T01:13:09Z,2000000,,,0,,SUB out: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,
202,PT09M38.00S,2022-02-12T01:12:50.2Z,2,REGULAR,substitution,in,[],1630170,,,1610612759,39,47,2022-02-12T01:13:09Z,2010000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,
204,PT09M34.00S,2022-02-12T01:13:29.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,5.469776609724048,47.549019607843135,1610612759,39,49,2022-02-12T01:13:33Z,2020000,12.0,-1.0,1,left,T. Jones cutting Layup (6 PTS) (J. Poeltl 1 AST),"[1630200, 1627751]",1610612759.0,SAS,cutting,,,Jones,T. Jones,,,,,1.23,Made,,,,,,,6.0,,,,J. Poeltl,1627751.0,1.0,,,,,
206,PT09M17.00S,2022-02-12T01:13:48.3Z,2,REGULAR,foul,personal,['2freethrow'],1630200,,,1610612737,39,49,2022-02-12T01:14:10Z,2040000,,,0,,T. Jones shooting personal FOUL (1 PF) (Gallinari 2 FT),"[1630200, 201568]",1610612759.0,SAS,shooting,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Gallinari,201568.0
208,PT09M17.00S,2022-02-12T01:14:11.8Z,2,REGULAR,freethrow,1 of 2,[],201568,,,1610612737,40,49,2022-02-12T01:14:11Z,2060000,,,0,,D. Gallinari Free Throw 1 of 2 (10 PTS),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
209,PT09M17.00S,2022-02-12T01:14:26.1Z,2,REGULAR,freethrow,2 of 2,[],201568,,,1610612737,41,49,2022-02-12T01:14:26Z,2070000,,,0,,D. Gallinari Free Throw 2 of 2 (11 PTS),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
210,PT09M04.00S,2022-02-12T01:14:41.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,5.338370565045992,50.49019607843137,1610612759,41,49,2022-02-12T01:14:46Z,2080000,-2.0,-2.0,1,left,MISS K. Johnson driving Layup,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,0.34,Missed,,,,,,,,,,,,,,,,,,
211,PT09M00.00S,2022-02-12T01:14:44.2Z,2,REGULAR,rebound,defensive,[],201568,,,1610612737,41,49,2022-02-12T01:14:44Z,2090000,,,0,,D. Gallinari REBOUND (Off:3 Def:4),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,210.0,7.0,4.0,3.0,,,,,,,,,,,,
212,PT08M42.00S,2022-02-12T01:15:03.1Z,2,REGULAR,3pt,Jump Shot,[],1626153,96.13994743758212,96.07843137254902,1610612737,41,49,2022-02-12T01:15:09Z,2100000,230.0,-16.0,1,right,MISS D. Wright 3PT,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,23.1,Missed,,,,,,,,,,,,,,,,,,
213,PT08M37.00S,2022-02-12T01:15:08.1Z,2,REGULAR,rebound,offensive,[],203992,,,1610612737,41,49,2022-02-12T01:15:09Z,2110000,,,0,,B. Bogdanovic REBOUND (Off:1 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,212.0,2.0,1.0,1.0,,,,,,,,,,,,
214,PT08M36.00S,2022-02-12T01:15:08.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203992,92.72339027595268,50.73529411764706,1610612737,43,49,2022-02-12T01:15:14Z,2120000,4.0,16.0,1,right,B. Bogdanovic reverse Layup (6 PTS),[203992],1610612737.0,ATL,reverse,,,Bogdanovic,B. Bogdanovic,,,,,1.63,Made,,,,,,,6.0,,,,,,,,,,,
215,PT08M24.00S,2022-02-12T01:15:20.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,9.017739816031538,45.09803921568628,1610612759,43,49,2022-02-12T01:46:35Z,2130000,25.0,32.0,1,left,MISS T. Jones driving floating Shot,[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,4.05,Missed,,,,,,,,,,,,,,,,,,
216,PT08M21.00S,2022-02-12T01:15:23.3Z,2,REGULAR,rebound,defensive,[],203992,,,1610612737,43,49,2022-02-12T01:15:25Z,2140000,,,0,,B. Bogdanovic REBOUND (Off:1 Def:2),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,215.0,3.0,2.0,1.0,,,,,,,,,,,,
217,PT08M16.00S,2022-02-12T01:15:32.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,43,49,2022-02-12T01:15:32Z,2150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M16.00S,2022-02-12T01:15:32.8Z,2,REGULAR,substitution,out,[],1628989,,,1610612737,43,49,2022-02-12T01:15:43Z,2160000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M16.00S,2022-02-12T01:15:32.8Z,2,REGULAR,substitution,out,[],1629640,,,1610612737,43,49,2022-02-12T01:15:43Z,2170000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M16.00S,2022-02-12T01:15:32.8Z,2,REGULAR,substitution,out,[],1630200,,,1610612737,43,49,2022-02-12T01:15:43Z,2180000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M16.00S,2022-02-12T01:15:32.8Z,2,REGULAR,substitution,in,[],1629631,,,1610612737,43,49,2022-02-12T01:15:43Z,2190000,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,
222,PT08M16.00S,2022-02-12T01:15:32.8Z,2,REGULAR,substitution,in,[],1628966,,,1610612737,43,49,2022-02-12T01:15:43Z,2200000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M16.00S,2022-02-12T01:15:32.8Z,2,REGULAR,substitution,in,[],1627749,,,1610612737,43,49,2022-02-12T01:15:43Z,2210000,,,0,,SUB in: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
224,PT08M16.00S,2022-02-12T01:15:32.8Z,2,REGULAR,substitution,out,[],1626153,,,1610612737,43,49,2022-02-12T01:15:52Z,2220000,,,0,,SUB out: D. Wright,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M16.00S,2022-02-12T01:15:32.8Z,2,REGULAR,substitution,in,[],1629027,,,1610612737,43,49,2022-02-12T01:15:52Z,2230000,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M14.00S,2022-02-12T01:15:59.3Z,2,REGULAR,turnover,bad pass,[],1629027,,,1610612737,43,49,2022-02-12T01:16:03Z,2240000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1628966]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,1.0,Bates-Diop,1628966.0,,,,,,,,
227,PT08M14.00S,2022-02-12T01:15:59.3Z,2,REGULAR,steal,,[],1628966,,,1610612759,43,49,2022-02-12T01:16:01Z,2250000,,,0,,K. Bates-Diop STEAL (1 STL),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M07.00S,2022-02-12T01:16:07.1Z,2,REGULAR,turnover,bad pass,[],1628966,,,1610612759,43,49,2022-02-12T01:16:11Z,2260000,,,0,,K. Bates-Diop bad pass TURNOVER (2 TO),"[1628966, 203992]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,2.0,Bogdanovic,203992.0,,,,,,,,
229,PT08M07.00S,2022-02-12T01:16:07.1Z,2,REGULAR,steal,,[],203992,,,1610612737,43,49,2022-02-12T01:16:09Z,2270000,,,0,,B. Bogdanovic STEAL (1 STL),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
230,PT07M58.00S,2022-02-12T01:16:16.5Z,2,REGULAR,turnover,bad pass,[],203992,,,1610612737,43,49,2022-02-12T01:16:20Z,2280000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[203992, 1627751]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,1.0,Poeltl,1627751.0,,,,,,,,
231,PT07M58.00S,2022-02-12T01:16:16.5Z,2,REGULAR,steal,,[],1627751,,,1610612759,43,49,2022-02-12T01:16:18Z,2290000,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M48.00S,2022-02-12T01:16:25.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627749,14.668199737187912,42.15686274509804,1610612759,43,51,2022-02-12T01:16:30Z,2300000,39.0,85.0,1,left,D. Murray 9' driving floating Jump Shot (13 PTS),[1627749],1610612759.0,SAS,driving floating,,,Murray,D. Murray,,,,,9.4,Made,,,,,,,13.0,,,,,,,,,,,
235,PT07M33.00S,2022-02-12T01:16:43.1Z,2,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,43,51,2022-02-12T01:21:24Z,2310000,,,0,,T. Young lost ball out-of-bounds TURNOVER (2 TO),[1629027],1610612737.0,ATL,lost ball,,,Young,T. Young,,,,,,,,,,,,,,2.0,,,,,,101283.0,,,,
237,PT07M33.00S,2022-02-12T01:16:47.3Z,2,REGULAR,substitution,out,[],1630168,,,1610612759,43,51,2022-02-12T01:17:12Z,2330000,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,
238,PT07M33.00S,2022-02-12T01:16:47.3Z,2,REGULAR,substitution,in,[],203991,,,1610612759,43,51,2022-02-12T01:17:12Z,2340000,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
240,PT07M15.00S,2022-02-12T01:17:29.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628966,5.732588699080158,50.73529411764706,1610612759,43,53,2022-02-12T01:17:34Z,2360000,-4.0,1.0,1,left,K. Bates-Diop cutting Layup (2 PTS) (D. Murray 6 AST),"[1628966, 1627749]",1610612759.0,SAS,cutting,,,Bates-Diop,K. Bates-Diop,,,,,0.4,Made,,,,,,,2.0,,,,D. Murray,1627749.0,6.0,,,,,
242,PT07M04.00S,2022-02-12T01:17:42.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,86.41590013140605,37.254901960784316,1610612737,43,53,2022-02-12T01:38:19Z,2372500,-64.0,75.0,1,right,MISS D. Hunter 9' turnaround fadeaway Shot,[1629631],1610612737.0,ATL,turnaround fadeaway,,,Hunter,D. Hunter,,,,,9.86,Missed,,,,,,,,,,,,,,,,,,
243,PT07M01.00S,2022-02-12T01:17:45.0Z,2,REGULAR,rebound,offensive,[],203991,,,1610612737,43,53,2022-02-12T01:38:19Z,2373750,,,0,,C. Capela REBOUND (Off:3 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,242.0,3.0,0.0,3.0,,,,,,,,,,,,
337,PT07M00.00S,2022-02-12T01:17:43.7Z,2,REGULAR,turnover,lost ball,[],203991,,,1610612737,43,53,2022-02-12T01:40:13Z,2375000,,,0,,C. Capela lost ball TURNOVER (2 TO),"[203991, 1630170]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,2.0,Vassell,1630170.0,,,,,,,,
338,PT07M00.00S,2022-02-12T01:17:43.7Z,2,REGULAR,steal,,[],1630170,,,1610612759,43,53,2022-02-12T01:34:02Z,2377500,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M38.00S,2022-02-12T01:18:06.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627751,16.245072273324574,59.068627450980394,1610612759,43,53,2022-02-12T01:38:19Z,2400000,-45.0,100.0,1,left,MISS J. Poeltl 11' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,11.0,Missed,,,,,,,,,,,,,,,,,,
245,PT06M35.00S,2022-02-12T01:18:09.2Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,43,53,2022-02-12T01:18:10Z,2410000,,,0,,C. Capela REBOUND (Off:3 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,244.0,4.0,1.0,3.0,,,,,,,,,,,,
246,PT06M29.00S,2022-02-12T01:18:14.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,85.23324572930355,55.392156862745104,1610612737,43,53,2022-02-12T01:23:13Z,2420000,27.0,86.0,1,right,MISS T. Young 9' floating Shot,[1629027],1610612737.0,ATL,floating,,,Young,T. Young,,,,,9.04,Missed,,,,,,,,,,,,,,,,,,
247,PT06M26.00S,2022-02-12T01:18:17.9Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612759,43,53,2022-02-12T01:18:19Z,2430000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,246.0,2.0,2.0,0.0,,,,,,,,,,,,
248,PT06M23.00S,2022-02-12T01:18:21.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,9.017739816031538,55.14705882352941,1610612759,43,53,2022-02-12T01:18:30Z,2440000,-26.0,32.0,1,left,MISS D. Vassell running Layup,[1630170],1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,4.13,Missed,,,,,,,,,,,,,,,,,,
249,PT06M22.00S,2022-02-12T01:18:22.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612759,43,53,2022-02-12T01:18:30Z,2450000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,248.0,,,,,,,,,,,,,,,
250,PT06M22.00S,2022-02-12T01:18:30.6Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,43,53,2022-02-12T01:18:30Z,2460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M22.00S,2022-02-12T01:18:31.4Z,2,REGULAR,foul,personal,[],1629631,,,1610612759,43,53,2022-02-12T01:18:49Z,2470000,,,0,,D. Hunter loose ball personal FOUL (2 PF),"[1629631, 1628966]",1610612737.0,ATL,loose ball,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,1628951.0,2.0,0.0,Bates-Diop,1628966.0
253,PT06M22.00S,2022-02-12T01:18:43.2Z,2,REGULAR,substitution,out,[],203926,,,1610612759,43,53,2022-02-12T01:18:52Z,2490000,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,
254,PT06M22.00S,2022-02-12T01:18:43.2Z,2,REGULAR,substitution,in,[],1630563,,,1610612759,43,53,2022-02-12T01:18:52Z,2500000,,,0,,SUB in: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,
274,PT06M22.00S,2022-02-12T01:18:43.2Z,2,REGULAR,substitution,out,[],201568,,,1610612759,43,53,2022-02-12T01:23:27Z,2505000,,,0,,SUB out: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
275,PT06M22.00S,2022-02-12T01:18:43.2Z,2,REGULAR,substitution,out,[],203992,,,1610612759,43,53,2022-02-12T01:23:27Z,2507500,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
276,PT06M22.00S,2022-02-12T01:18:43.2Z,2,REGULAR,substitution,in,[],1628989,,,1610612759,43,53,2022-02-12T01:23:27Z,2508750,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
277,PT06M22.00S,2022-02-12T01:18:43.2Z,2,REGULAR,substitution,in,[],1628381,,,1610612759,43,53,2022-02-12T01:23:27Z,2509375,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
255,PT06M14.00S,2022-02-12T01:18:53.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630170,18.084756898817346,45.34313725490196,1610612759,43,55,2022-02-12T01:19:05Z,2510000,23.0,117.0,1,left,D. Vassell 11' Jump Shot (9 PTS) (D. Murray 7 AST),"[1630170, 1627749]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,11.98,Made,,,,,,,9.0,,,,D. Murray,1627749.0,7.0,,,,,
257,PT06M02.00S,2022-02-12T01:19:10.0Z,2,REGULAR,foul,personal,[],1630170,,,1610612737,43,55,2022-02-12T01:19:26Z,2530000,,,0,,D. Vassell personal FOUL (1 PF),"[1630170, 1628381]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Collins,1628381.0
259,PT06M02.00S,2022-02-12T01:19:22.3Z,2,REGULAR,substitution,out,[],1627751,,,1610612737,43,55,2022-02-12T01:19:24Z,2550000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
260,PT06M02.00S,2022-02-12T01:19:22.3Z,2,REGULAR,substitution,in,[],1628380,,,1610612737,43,55,2022-02-12T01:19:24Z,2560000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,
261,PT05M56.00S,2022-02-12T01:19:30.9Z,2,REGULAR,turnover,bad pass,[],1629027,,,1610612737,43,55,2022-02-12T01:19:35Z,2570000,,,0,,T. Young bad pass TURNOVER (3 TO),"[1629027, 1628966]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,3.0,Bates-Diop,1628966.0,,,,,,,,
262,PT05M56.00S,2022-02-12T01:19:30.9Z,2,REGULAR,steal,,[],1628966,,,1610612759,43,55,2022-02-12T01:19:33Z,2580000,,,0,,K. Bates-Diop STEAL (2 STL),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
267,PT05M43.00S,2022-02-12T01:19:43.4Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1628380,24.78646517739816,35.78431372549019,1610612759,43,57,2022-02-12T01:19:47Z,2630000,71.0,180.0,1,left,Z. Collins 19' Jump Shot (2 PTS) (D. Murray 8 AST),"[1628380, 1627749]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,19.4,Made,,,,,,,2.0,,,,D. Murray,1627749.0,8.0,,,,,
269,PT05M38.00S,2022-02-12T01:19:55.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,43,57,2022-02-12T01:19:55Z,2650000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT05M31.00S,2022-02-12T01:22:54.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.9060446780552,50.245098039215684,1610612737,45,57,2022-02-12T01:22:59Z,2660000,1.0,5.0,1,right,C. Capela alley-oop DUNK (9 PTS) (T. Young 3 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,0.49,Made,,,,,,,9.0,,,,T. Young,1629027.0,3.0,,,,,
272,PT05M16.00S,2022-02-12T01:23:09.5Z,2,REGULAR,3pt,Jump Shot,[],1627749,14.799605781865965,3.1862745098039214,1610612759,45,57,2022-02-12T01:23:13Z,2680000,234.0,87.0,1,left,MISS D. Murray 24' step back 3PT,[1627749],1610612759.0,SAS,step back,,,Murray,D. Murray,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,
273,PT05M13.00S,2022-02-12T01:23:12.5Z,2,REGULAR,rebound,defensive,[],1629631,,,1610612737,45,57,2022-02-12T01:23:13Z,2690000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,272.0,1.0,1.0,0.0,,,,,,,,,,,,
278,PT04M56.00S,2022-02-12T01:23:29.7Z,2,REGULAR,3pt,Jump Shot,[],1629631,81.15965834428384,5.392156862745098,1610612737,45,57,2022-02-12T01:23:33Z,2700000,-223.0,125.0,1,right,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,
