actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
178,PT11M13.00S,2025-12-02T03:44:36.9Z,2,REGULAR,steal,,[],1630692,,,1610612756,33,31,2025-12-02T03:44:39Z,1730000,False,,,0,,J. Goodwin STEAL (1 STL),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
179,PT11M12.00S,2025-12-02T03:44:43.5Z,2,REGULAR,foul,personal,[],1642261,,,1610612756,33,31,2025-12-02T03:44:49Z,1740000,False,,,0,,D. Knecht personal FOUL (1 PF),"[1642261, 1630692]",1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Right Center,202035.0,,,,,,,,,,,,,,1.0,0.0,Goodwin,1630692.0,,
181,PT11M02.00S,2025-12-02T03:45:03.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630692,33.03219448094612,62.99019607843137,1610612756,33,31,2025-12-02T03:45:08Z,1760000,False,-65.0,258.0,1,left,MISS J. Goodwin 26' 3PT,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Center,,,26.61,Missed,,,,,,,,,,,,,,,,
182,PT10M59.00S,2025-12-02T03:45:06.9Z,2,REGULAR,rebound,defensive,[],1642261,,,1610612747,33,31,2025-12-02T03:45:08Z,1770000,False,,,0,,D. Knecht REBOUND (Off:0 Def:1),[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Center,,,,,,181.0,1.0,1.0,0.0,,,,,,,,,,,
183,PT10M52.00S,2025-12-02T03:45:16.6Z,2,REGULAR,turnover,out-of-bounds,[],1629216,,,1610612747,33,31,2025-12-02T03:54:36Z,1780000,False,,,0,,G. Vincent bad pass out-of-bounds TURNOVER (1 TO),[1629216],1610612747.0,LAL,bad pass,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Right,1626300.0,1.0,,,,,,,,,,,,,,,,,,
184,PT10M40.00S,2025-12-02T03:45:36.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631221,34.60906701708278,46.568627450980394,1610612756,33,31,2025-12-02T04:22:56Z,1790000,False,17.0,273.0,1,left,MISS C. Gillespie 27' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Center,,,27.33,Missed,,,,,,,,,,,,,,,,
185,PT10M37.00S,2025-12-02T03:45:39.4Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612747,33,31,2025-12-02T03:45:40Z,1800000,False,,,0,,D. Ayton REBOUND (Off:1 Def:5),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,184.0,6.0,5.0,1.0,,,,,,,,,,,
187,PT10M25.00S,2025-12-02T03:45:52.7Z,2,REGULAR,turnover,traveling,[],1630559,,,1610612747,33,31,2025-12-02T03:46:00Z,1820000,False,,,0,,A. Reaves traveling TURNOVER (2 TO),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,1626300.0,2.0,,,,,,,,,,,,,,,,,,
188,PT10M12.00S,2025-12-02T03:46:18.1Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1631221,20.811432325886997,52.94117647058824,1610612756,33,31,2025-12-02T03:46:22Z,1830000,False,-15.0,143.0,1,left,MISS C. Gillespie 14' Jump Shot,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Mid-Range,8-16 Center,,,14.39,Missed,,,,,,,,,,,,,,,,
189,PT10M09.00S,2025-12-02T03:46:21.1Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612747,33,31,2025-12-02T03:46:22Z,1840000,False,,,0,,D. Ayton REBOUND (Off:1 Def:6),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,,,,,,188.0,7.0,6.0,1.0,,,,,,,,,,,
190,PT09M58.00S,2025-12-02T03:46:31.7Z,2,REGULAR,3pt,Jump Shot,[],1630559,67.59198423127464,61.029411764705884,1610612747,36,31,2025-12-02T03:46:38Z,1850000,False,55.0,252.0,1,right,A. Reaves 25' 3PT  (8 PTS) (D. Ayton 1 AST),"[1630559, 1629028]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,,,25.81,Made,8.0,,,,,,,D. Ayton,1629028.0,1.0,,,,,,
192,PT09M35.00S,2025-12-02T03:46:57.5Z,2,REGULAR,foul,offensive,[],1630692,,,1610612756,36,31,2025-12-02T03:47:06Z,1870000,False,,,0,,J. Goodwin charge offensive FOUL (1 PF),"[1630692, 1629216]",1610612756.0,PHX,charge,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,1626300.0,,,,,,,,,,,,,,1.0,0.0,Vincent,1629216.0,,
194,PT09M35.00S,2025-12-02T03:46:57.5Z,2,REGULAR,turnover,offensive foul,[],1630692,,,1610612756,36,31,2025-12-02T03:46:57Z,1890000,False,,,0,,J. Goodwin offensive foul TURNOVER (1 TO),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,1626300.0,1.0,,,,,,,,,,,,,,,,,,
195,PT09M35.00S,2025-12-02T03:47:05.0Z,2,REGULAR,substitution,out,[],1642346,,,1610612747,36,31,2025-12-02T03:47:10Z,1900000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT09M35.00S,2025-12-02T03:47:05.0Z,2,REGULAR,substitution,in,[],1628415,,,1610612747,36,31,2025-12-02T03:47:10Z,1910000,False,,,0,,SUB in: D. Brooks,[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT09M35.00S,2025-12-02T03:47:24.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,36,31,2025-12-02T03:47:24Z,1920000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT09M35.00S,2025-12-02T03:49:20.3Z,2,REGULAR,substitution,out,[],1628502,,,1610612747,36,31,2025-12-02T03:50:53Z,1950000,False,,,0,,SUB out: N. Hayes-Davis,[1628502],1610612756.0,PHX,,,,Hayes-Davis,N. Hayes-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT09M35.00S,2025-12-02T03:49:20.3Z,2,REGULAR,substitution,in,[],1631123,,,1610612747,36,31,2025-12-02T03:50:53Z,1960000,False,,,0,,SUB in: J. Bouyea,[1631123],1610612756.0,PHX,,,,Bouyea,J. Bouyea,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT09M13.00S,2025-12-02T03:51:21.5Z,2,REGULAR,turnover,bad pass,[],1630559,,,1610612747,36,31,2025-12-02T03:51:26Z,1970000,False,,,0,,A. Reaves bad pass TURNOVER (3 TO),"[1630559, 1642345]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,3.0,,,,,,,,Ighodaro,1642345.0,,,,,,,,,
203,PT09M13.00S,2025-12-02T03:51:21.5Z,2,REGULAR,steal,,[],1642345,,,1610612756,36,31,2025-12-02T03:51:24Z,1980000,False,,,0,,O. Ighodaro STEAL (1 STL),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
204,PT09M08.00S,2025-12-02T03:51:26.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631123,9.116294349540084,51.470588235294116,1610612756,36,33,2025-12-02T03:51:34Z,1990000,False,-7.0,33.0,1,left,J. Bouyea running Layup (2 PTS) (J. Goodwin 3 AST),"[1631123, 1630692]",1610612756.0,PHX,running,,,Bouyea,J. Bouyea,,,,,Restricted Area,0-8 Center,,,3.4,Made,2.0,,,,,,,J. Goodwin,1630692.0,3.0,,,,,,
206,PT08M58.00S,2025-12-02T03:51:37.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,91.77069645203679,51.96078431372549,1610612747,38,33,2025-12-02T04:23:28Z,2010000,False,10.0,25.0,1,right,A. Reaves driving Layup (10 PTS),[1630559],1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,2.68,Made,10.0,,,,,,,,,,,,,,,
207,PT08M40.00S,2025-12-02T03:51:55.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,8.722076215505908,35.5392156862745,1610612756,38,35,2025-12-02T03:52:00Z,2020000,False,72.0,29.0,1,left,D. Brooks 7' turnaround fadeaway Jump Shot (10 PTS),[1628415],1610612756.0,PHX,turnaround fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,7.81,Made,10.0,,,,,,,,,,,,,,,
208,PT08M23.00S,2025-12-02T03:52:11.6Z,2,REGULAR,3pt,Jump Shot,[],1642261,94.92444152431011,2.941176470588232,1610612747,41,35,2025-12-02T03:52:17Z,2030000,False,-235.0,-5.0,1,right,D. Knecht 3PT  (3 PTS) (L. James 2 AST),"[1642261, 2544]",1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Left Corner 3,24+ Left,,,23.53,Made,3.0,,,,,,,L. James,2544.0,2.0,,,,,,
210,PT08M09.00S,2025-12-02T03:52:25.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1642345,7.145203679369246,42.892156862745104,1610612756,41,35,2025-12-02T04:24:16Z,2050000,False,36.0,15.0,1,left,MISS O. Ighodaro Hook,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,3.84,Missed,,,,,,,,,,,,,,,,
211,PT08M07.00S,2025-12-02T03:52:27.5Z,2,REGULAR,rebound,defensive,[],1642261,,,1610612747,41,35,2025-12-02T03:52:33Z,2060000,False,,,0,,D. Knecht REBOUND (Off:0 Def:2),[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Restricted Area,0-8 Center,,,,,,210.0,2.0,2.0,0.0,,,,,,,,,,,
212,PT07M53.00S,2025-12-02T03:52:42.5Z,2,REGULAR,3pt,Jump Shot,[],1642261,69.56307490144546,26.225490196078425,1610612747,41,35,2025-12-02T03:52:48Z,2070000,False,-119.0,234.0,1,right,MISS D. Knecht 26' 3PT,[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Left Center,,,26.21,Missed,,,,,,,,,,,,,,,,
213,PT07M47.00S,2025-12-02T03:52:48.5Z,2,REGULAR,rebound,offensive,[],1629216,,,1610612747,41,35,2025-12-02T03:52:48Z,2080000,False,,,0,,G. Vincent REBOUND (Off:1 Def:0),[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Left Center,,,,,,212.0,1.0,0.0,1.0,,,,,,,,,,,
214,PT07M41.00S,2025-12-02T03:52:53.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],2544,90.8508541392904,96.07843137254902,1610612747,41,35,2025-12-02T03:52:57Z,2090000,False,230.0,34.0,1,right,MISS L. James 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Right Corner 3,24+ Right,,,23.28,Missed,,,,,,,,,,,,,,,,
215,PT07M38.00S,2025-12-02T03:52:56.5Z,2,REGULAR,rebound,defensive,[],1642345,,,1610612756,41,35,2025-12-02T03:52:57Z,2100000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:2),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Right Corner 3,24+ Right,,,,,,214.0,2.0,2.0,0.0,,,,,,,,,,,
217,PT07M33.00S,2025-12-02T03:53:04.8Z,2,REGULAR,substitution,out,[],1629216,,,1610612756,41,35,2025-12-02T03:53:22Z,2120000,False,,,0,,SUB out: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M33.00S,2025-12-02T03:53:04.8Z,2,REGULAR,substitution,out,[],2544,,,1610612756,41,35,2025-12-02T03:53:22Z,2130000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M33.00S,2025-12-02T03:53:04.8Z,2,REGULAR,substitution,out,[],1631221,,,1610612756,41,35,2025-12-02T03:53:22Z,2140000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M33.00S,2025-12-02T03:53:04.8Z,2,REGULAR,substitution,in,[],1629029,,,1610612756,41,35,2025-12-02T03:53:22Z,2160000,False,,,0,,SUB in: L. Dončić,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M33.00S,2025-12-02T03:53:04.8Z,2,REGULAR,substitution,in,[],1631222,,,1610612756,41,35,2025-12-02T03:53:22Z,2170000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M33.00S,2025-12-02T03:53:04.8Z,2,REGULAR,substitution,in,[],1626220,,,1610612756,41,35,2025-12-02T03:53:22Z,2180000,False,,,0,,SUB in: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M33.00S,2025-12-02T03:53:04.8Z,2,REGULAR,substitution,in,[],1631109,,,1610612756,41,35,2025-12-02T03:53:22Z,2190000,False,,,0,,SUB in: M. Williams,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M33.00S,2025-12-02T03:53:04.8Z,2,REGULAR,substitution,out,[],1642345,,,1610612756,41,35,2025-12-02T03:53:38Z,2200000,False,,,0,,SUB out: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M26.00S,2025-12-02T03:53:42.3Z,2,REGULAR,3pt,Jump Shot,[],1630692,27.250328515111704,85.7843137254902,1610612756,41,35,2025-12-02T03:53:46Z,2210000,False,-179.0,204.0,1,left,MISS J. Goodwin 27' 3PT,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Left Center,,,27.11,Missed,,,,,,,,,,,,,,,,
227,PT07M23.00S,2025-12-02T03:53:45.3Z,2,REGULAR,rebound,defensive,[],1631222,,,1610612747,41,35,2025-12-02T03:53:46Z,2220000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Left Center,,,,,,226.0,1.0,1.0,0.0,,,,,,,,,,,
228,PT07M20.00S,2025-12-02T03:53:52.5Z,2,REGULAR,turnover,out-of-bounds,[],1630559,,,1610612747,41,35,2025-12-02T03:53:58Z,2230000,False,,,0,,A. Reaves lost ball out-of-bounds TURNOVER (4 TO),[1630559],1610612747.0,LAL,lost ball,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,201639.0,4.0,,,,,,,,,,,,,,,,,,
229,PT07M09.00S,2025-12-02T03:54:07.6Z,2,REGULAR,foul,personal,[],1642261,,,1610612756,41,35,2025-12-02T03:54:16Z,2240000,False,,,0,,D. Knecht personal FOUL (2 PF),"[1642261, 1631109]",1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Mid-Range,16-24 Right Center,1626300.0,,,,,,,,,,,,,,2.0,0.0,Williams,1631109.0,,
231,PT07M02.00S,2025-12-02T03:54:31.5Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1628415,21.20565045992116,39.21568627450981,1610612756,41,37,2025-12-02T04:28:01Z,2260000,False,54.0,147.0,1,left,D. Brooks 15' turnaround fadeaway Jump Shot (12 PTS),[1628415],1610612756.0,PHX,turnaround fadeaway,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Center,,,15.64,Made,12.0,,,,,,,,,,,,,,,
232,PT06M40.00S,2025-12-02T03:54:53.4Z,2,REGULAR,turnover,bad pass,[],1631222,,,1610612747,41,37,2025-12-02T03:54:58Z,2270000,False,,,0,,J. LaRavia bad pass TURNOVER (1 TO),"[1631222, 1630692]",1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,,1.0,,,,,,,,Goodwin,1630692.0,,,,,,,,,
233,PT06M40.00S,2025-12-02T03:54:53.4Z,2,REGULAR,steal,,[],1630692,,,1610612756,41,37,2025-12-02T03:54:57Z,2280000,False,,,0,,J. Goodwin STEAL (2 STL),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
234,PT06M21.00S,2025-12-02T03:55:11.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630692,9.904730617608408,5.637254901960787,1610612756,41,40,2025-12-02T03:55:15Z,2290000,False,222.0,41.0,1,left,J. Goodwin 3PT  (5 PTS) (R. O'Neale 2 AST),"[1630692, 1626220]",1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Right Corner 3,24+ Right,,,22.55,Made,5.0,,,,,,,R. O'Neale,1626220.0,2.0,,,,,,
236,PT06M13.00S,2025-12-02T03:55:25.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,82.83508541392904,39.21568627450981,1610612747,41,40,2025-12-02T04:36:43Z,2310000,False,-54.0,109.0,1,right,MISS L. Dončić 12' driving floating Shot,[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,12.15,Missed,,,,,,,,,,,,,,,,
237,PT06M11.00S,2025-12-02T03:55:27.1Z,2,REGULAR,rebound,defensive,[],1628415,,,1610612756,41,40,2025-12-02T03:55:32Z,2320000,False,,,0,,D. Brooks REBOUND (Off:0 Def:2),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,236.0,2.0,2.0,0.0,,,,,,,,,,,
238,PT06M08.00S,2025-12-02T03:55:30.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631109,8.590670170827863,50.49019607843137,1610612756,41,42,2025-12-02T03:55:36Z,2330000,False,-2.0,28.0,1,left,M. Williams running DUNK (2 PTS) (D. Brooks 1 AST),"[1631109, 1628415]",1610612756.0,PHX,running,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,2.84,Made,2.0,,,,,,,D. Brooks,1628415.0,1.0,,,,,,
241,PT06M04.00S,2025-12-02T03:55:43.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,41,42,2025-12-02T03:55:43Z,2360000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M04.00S,2025-12-02T03:58:59.2Z,2,REGULAR,substitution,out,[],1642261,,,1610612747,41,42,2025-12-02T03:59:08Z,2370000,False,,,0,,SUB out: D. Knecht,[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M04.00S,2025-12-02T03:58:59.2Z,2,REGULAR,substitution,in,[],1629060,,,1610612747,41,42,2025-12-02T03:59:08Z,2380000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M49.00S,2025-12-02T03:59:31.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631222,89.6681997371879,51.22549019607843,1610612747,43,42,2025-12-02T04:37:19Z,2390000,False,6.0,45.0,1,right,J. LaRavia cutting Layup (2 PTS) (L. Dončić 2 AST),"[1631222, 1629029]",1610612747.0,LAL,cutting,,,LaRavia,J. LaRavia,,,,,In The Paint (Non-RA),0-8 Center,,,4.5,Made,2.0,,,,,,,L. Dončić,1629029.0,2.0,,,,,,
246,PT05M37.00S,2025-12-02T03:59:44.2Z,2,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612756,43,42,2025-12-02T03:59:57Z,2410000,False,,,0,,D. Brooks bad pass out-of-bounds TURNOVER (2 TO),[1628415],1610612756.0,PHX,bad pass,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,201639.0,2.0,,,,,,,,,,,,,,,,,,
247,PT05M23.00S,2025-12-02T04:00:05.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,80.07555847568989,50.73529411764706,1610612747,43,42,2025-12-02T04:00:11Z,2420000,False,4.0,135.0,1,right,MISS L. Dončić 13' fadeaway Shot,[1629029],1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,13.49,Missed,,,,,,,,,,,,,,,,
248,PT05M23.00S,2025-12-02T04:00:08.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612747,43,42,2025-12-02T04:00:08Z,2430000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,247.0,,,,,,,,,,,,,,
250,PT05M23.00S,2025-12-02T04:00:10.4Z,2,REGULAR,substitution,out,[],1629028,,,1610612747,43,42,2025-12-02T04:00:14Z,2450000,False,,,0,,SUB out: D. Ayton,[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M23.00S,2025-12-02T04:00:10.4Z,2,REGULAR,substitution,in,[],1629637,,,1610612747,43,42,2025-12-02T04:00:14Z,2460000,False,,,0,,SUB in: J. Hayes,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M18.00S,2025-12-02T04:00:26.2Z,2,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629029,86.38304862023654,24.019607843137265,1610612747,43,42,2025-12-02T04:38:03Z,2470000,False,-130.0,75.0,1,right,MISS L. Dončić 15' driving floating Shot,[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,,,15.02,Missed,,,,,,,,,,,,,,,,
253,PT05M15.00S,2025-12-02T04:00:29.2Z,2,REGULAR,rebound,defensive,[],1631109,,,1610612756,43,42,2025-12-02T04:00:30Z,2480000,False,,,0,,M. Williams REBOUND (Off:0 Def:3),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Mid-Range,8-16 Left,,,,,,252.0,3.0,3.0,0.0,,,,,,,,,,,
254,PT05M08.00S,2025-12-02T04:00:35.5Z,2,REGULAR,3pt,Jump Shot,[],1631123,29.352825229960573,77.45098039215686,1610612756,43,45,2025-12-02T04:00:46Z,2490000,False,-137.0,223.0,1,left,J. Bouyea 26' 3PT step back (5 PTS),[1631123],1610612756.0,PHX,step back,,,Bouyea,J. Bouyea,,,,,Above the Break 3,24+ Left Center,,,26.22,Made,5.0,,,,,,,,,,,,,,,
255,PT04M52.00S,2025-12-02T04:00:53.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,87.82851511169514,56.61764705882353,1610612747,45,45,2025-12-02T04:38:21Z,2500000,False,33.0,62.0,1,right,L. Dončić 7' floating Jump Shot (22 PTS),[1629029],1610612747.0,LAL,floating,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,7.02,Made,22.0,,,,,,,,,,,,,,,
256,PT04M52.00S,2025-12-02T04:00:57.3Z,2,REGULAR,foul,personal,['1freethrow'],1631123,,,1610612747,45,45,2025-12-02T04:01:05Z,2510000,False,,,0,,J. Bouyea shooting personal FOUL (1 PF) (Dončić 1 FT),"[1631123, 1629029]",1610612756.0,PHX,shooting,,,Bouyea,J. Bouyea,,,,,In The Paint (Non-RA),0-8 Center,202035.0,,,,,,,,,,,,,,1.0,0.0,Dončić,1629029.0,,
258,PT04M52.00S,2025-12-02T04:01:11.9Z,2,REGULAR,substitution,out,[],1630559,,,1610612747,45,45,2025-12-02T04:02:46Z,2530000,False,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M52.00S,2025-12-02T04:01:11.9Z,2,REGULAR,substitution,out,[],1630692,,,1610612747,45,45,2025-12-02T04:02:46Z,2540000,False,,,0,,SUB out: J. Goodwin,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT04M52.00S,2025-12-02T04:01:11.9Z,2,REGULAR,substitution,in,[],1629216,,,1610612747,45,45,2025-12-02T04:02:46Z,2550000,False,,,0,,SUB in: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT04M52.00S,2025-12-02T04:01:11.9Z,2,REGULAR,substitution,in,[],1631221,,,1610612747,45,45,2025-12-02T04:02:46Z,2560000,False,,,0,,SUB in: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT04M52.00S,2025-12-02T04:01:40.6Z,2,REGULAR,freethrow,1 of 1,[],1629029,,,1610612747,46,45,2025-12-02T04:01:40Z,2570000,False,,,0,,L. Dončić Free Throw 1 of 1 (23 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,,,Made,23.0,,,,,,,,,,,,,,,
263,PT04M40.00S,2025-12-02T04:01:54.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,15.686596583442835,40.19607843137255,1610612756,46,47,2025-12-02T04:01:59Z,2580000,False,49.0,95.0,1,left,D. Brooks 10' pullup Jump Shot (14 PTS) (C. Gillespie 2 AST),"[1628415, 1631221]",1610612756.0,PHX,pullup,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,10.69,Made,14.0,,,,,,,C. Gillespie,1631221.0,2.0,,,,,,
265,PT04M26.00S,2025-12-02T04:02:10.7Z,2,REGULAR,foul,personal,['2freethrow'],1631123,,,1610612747,46,47,2025-12-02T04:02:16Z,2600000,False,,,0,,J. Bouyea shooting personal FOUL (2 PF) (Dončić 2 FT),"[1631123, 1629029]",1610612756.0,PHX,shooting,,,Bouyea,J. Bouyea,,,,,Restricted Area,0-8 Center,201639.0,,,,,,,,,,,,,,2.0,0.0,Dončić,1629029.0,,
