actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
389,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,out,['startperiod'],1630611,,,1610612760,48,58,2025-01-30T04:40:12Z,3670000,False,,,0,,SUB out: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
390,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,out,['startperiod'],203471,,,1610612760,48,58,2025-01-30T04:40:12Z,3680000,False,,,0,,SUB out: D. Schröder,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
391,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,out,['startperiod'],1642366,,,1610612760,48,58,2025-01-30T04:40:12Z,3690000,False,,,0,,SUB out: Q. Post,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,,,,,,,,,
392,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,out,['startperiod'],1629026,,,1610612760,48,58,2025-01-30T04:40:12Z,3700000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
393,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,out,['startperiod'],1630198,,,1610612760,48,58,2025-01-30T04:40:12Z,3710000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
394,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,in,['startperiod'],1626172,,,1610612760,48,58,2025-01-30T04:40:12Z,3720000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
395,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,in,['startperiod'],1627741,,,1610612760,48,58,2025-01-30T04:40:12Z,3730000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
396,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,in,['startperiod'],1627780,,,1610612760,48,58,2025-01-30T04:40:12Z,3740000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
397,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,in,['startperiod'],1631114,,,1610612760,48,58,2025-01-30T04:40:12Z,3750000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
398,PT12M00.00S,2025-01-30T04:39:54.1Z,3,REGULAR,substitution,in,['startperiod'],1641717,,,1610612760,48,58,2025-01-30T04:40:12Z,3760000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
399,PT12M00.00S,2025-01-30T04:40:24.7Z,3,REGULAR,period,start,[],0,,,1610612744,48,58,2025-01-30T04:40:24Z,3770000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,PT12M00.00S,2025-01-30T04:40:24.8Z,3,REGULAR,violation,delay-of-game,['team'],0,,,1610612744,48,58,2025-01-30T04:40:34Z,3780000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,PT11M49.00S,2025-01-30T04:40:38.0Z,3,REGULAR,3pt,Jump Shot,[],203952,67.88764783180025,43.13725490196079,1610612744,48,58,2025-01-30T04:41:20Z,3790000,False,-34.0,249.0,1,right,MISS A. Wiggins 25' pullup 3PT,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,,,,25.17,Missed,,,,,,,,,,,,,
402,PT11M47.00S,2025-01-30T04:40:40.0Z,3,REGULAR,rebound,defensive,[],1628392,,,1610612760,48,58,2025-01-30T04:41:20Z,3800000,False,,,0,,I. Hartenstein REBOUND (Off:2 Def:9),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Center,,,,,,,,,,401.0,11.0,9.0,2.0,,,,,,,
403,PT11M38.00S,2025-01-30T04:40:45.4Z,3,REGULAR,3pt,Jump Shot,[],1629652,31.225361366622867,27.941176470588236,1610612760,48,58,2025-01-30T04:40:51Z,3810000,False,110.0,241.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,,,,26.5,Missed,,,,,,,,,,,,,
404,PT11M35.00S,2025-01-30T04:40:48.4Z,3,REGULAR,rebound,defensive,[],203952,,,1610612744,48,58,2025-01-30T04:48:09Z,3820000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,403.0,2.0,2.0,0.0,,,,,,,
405,PT11M25.00S,2025-01-30T04:40:59.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,92.46057818659659,43.13725490196079,1610612744,48,58,2025-01-30T04:41:08Z,3830000,False,-34.0,18.0,1,right,MISS G. Payton II cutting Layup,[1627780],1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,,,,,,3.89,Missed,,,,,,,,,,,,,
406,PT11M23.00S,2025-01-30T04:41:01.0Z,3,REGULAR,rebound,defensive,[],1628392,,,1610612760,48,58,2025-01-30T04:41:08Z,3840000,False,,,0,,I. Hartenstein REBOUND (Off:2 Def:10),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,405.0,12.0,10.0,2.0,,,,,,,
407,PT11M20.00S,2025-01-30T04:41:40.2Z,3,REGULAR,jumpball,recovered,[],1628983,,,1610612760,48,58,2025-01-30T04:41:40Z,3850000,False,,,0,,Jump Ball I. Hartenstein vs. G. Payton II: Tip to S. Gilgeous-Alexander,"[1628983, 1628392, 1627780]",1610612760.0,OKC,heldball,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Hartenstein,1628392.0,Payton II,1627780.0,,,,,,,,,,,,,,,,,,,,,,
410,PT11M12.00S,2025-01-30T04:41:47.8Z,3,REGULAR,3pt,Jump Shot,[],1641717,6.652431011826544,5.147058823529411,1610612760,48,58,2025-01-30T04:41:52Z,3880000,False,224.0,10.0,1,left,MISS C. Wallace 3PT,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Right Corner 3,24+ Right,,,,,,22.45,Missed,,,,,,,,,,,,,
411,PT11M10.00S,2025-01-30T04:41:50.7Z,3,REGULAR,rebound,offensive,[],1628392,,,1610612760,48,58,2025-01-30T04:41:50Z,3890000,False,,,0,,I. Hartenstein REBOUND (Off:3 Def:10),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Right Corner 3,24+ Right,,,,,,,,,,410.0,13.0,10.0,3.0,,,,,,,
412,PT11M08.00S,2025-01-30T04:41:51.8Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628983,25.706307490144546,86.27450980392157,1610612760,48,58,2025-01-30T04:41:58Z,3900000,False,-181.0,189.0,1,left,MISS S. Gilgeous-Alexander 26' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,26.2,Missed,,,,,,,,,,,,,
413,PT11M08.00S,2025-01-30T04:41:51.8Z,3,REGULAR,rebound,offensive,[],1629652,,,1610612760,48,58,2025-01-30T04:51:28Z,3910000,False,,,0,,L. Dort REBOUND (Off:3 Def:0),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,412.0,3.0,0.0,3.0,,,,,,,
414,PT10M58.00S,2025-01-30T04:42:02.6Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641717,6.521024967148489,41.42156862745098,1610612760,48,58,2025-01-30T04:42:08Z,3920000,False,43.0,9.0,1,left,MISS C. Wallace driving Layup,[1641717],1610612760.0,OKC,driving,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.38,Missed,,,,,,,,,,,,,
415,PT10M55.00S,2025-01-30T04:42:05.1Z,3,REGULAR,rebound,offensive,[],1628392,,,1610612760,48,58,2025-01-30T04:42:05Z,3930000,False,,,0,,I. Hartenstein REBOUND (Off:4 Def:10),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,414.0,14.0,10.0,4.0,,,,,,,
417,PT10M54.00S,2025-01-30T04:42:05.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628392,9.411957950065702,39.46078431372549,1610612760,48,58,2025-01-30T04:42:13Z,3950000,False,53.0,36.0,1,left,MISS I. Hartenstein 6' putback Layup - blocked,"[1628392, 1626172]",1610612760.0,OKC,putback,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.38,Missed,Looney,1626172.0,,,,,,,,,,,
424,PT10M54.00S,2025-01-30T04:42:05.9Z,3,REGULAR,block,,[],1626172,,,1610612760,48,58,2025-01-30T04:42:59Z,3955000,False,,,0,,K. Looney BLOCK (2 BLK),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
418,PT10M54.00S,2025-01-30T04:42:05.9Z,3,REGULAR,rebound,defensive,[],1627741,,,1610612744,48,58,2025-01-30T04:43:40Z,3960000,False,,,0,,B. Hield REBOUND (Off:0 Def:3),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,417.0,3.0,3.0,0.0,,,,,,,
419,PT10M51.00S,2025-01-30T04:42:10.7Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627780,88.38699080157687,49.754901960784316,1610612744,50,58,2025-01-30T04:44:38Z,3970000,False,-1.0,57.0,1,right,G. Payton II running finger roll Layup (6 PTS) (B. Hield 1 AST),"[1627780, 1627741]",1610612744.0,GSW,running finger roll,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.67,Made,,,,,,,6.0,,,,B. Hield,1627741.0,1.0
420,PT10M51.00S,2025-01-30T04:42:14.3Z,3,REGULAR,foul,personal,['1freethrow'],1631114,,,1610612744,50,58,2025-01-30T04:42:22Z,3980000,False,,,0,,J. Williams shooting personal FOUL (4 PF) (Payton II 1 FT),"[1631114, 1627780]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,101284.0,4.0,0.0,Payton II,1627780.0,,,,,,,,,,,,,,,
422,PT10M51.00S,2025-01-30T04:42:40.5Z,3,REGULAR,freethrow,1 of 1,['fastbreak'],1627780,,,1610612744,51,58,2025-01-30T04:42:40Z,4000000,False,,,0,,G. Payton II Free Throw 1 of 1 (7 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,Made,,,,,,,7.0,,,,,,
425,PT10M38.00S,2025-01-30T04:42:59.0Z,3,REGULAR,foul,personal,[],203952,,,1610612760,51,58,2025-01-30T04:43:08Z,4010000,False,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1631114]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,101284.0,1.0,0.0,Williams,1631114.0,,,,,,,,,,,,,,,
427,PT10M30.00S,2025-01-30T04:43:31.1Z,3,REGULAR,2pt,Jump Shot,[],1631114,11.383048620236531,74.75490196078431,1610612760,51,60,2025-01-30T04:43:34Z,4030000,False,-124.0,55.0,1,left,J. Williams 13' pullup Jump Shot (10 PTS),[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,,,,,,13.53,Made,,,,,,,10.0,,,,,,
428,PT10M11.00S,2025-01-30T04:43:49.5Z,3,REGULAR,3pt,Jump Shot,[],1627741,70.12155059132719,19.11764705882353,1610612744,54,60,2025-01-30T04:43:55Z,4040000,False,-154.0,228.0,1,right,B. Hield 27' 3PT pullup (3 PTS) (K. Looney 1 AST),"[1627741, 1626172]",1610612744.0,GSW,pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,,,27.57,Made,,,,,,,3.0,,,,K. Looney,1626172.0,1.0
430,PT10M00.00S,2025-01-30T04:44:00.8Z,3,REGULAR,2pt,Jump Shot,[],1628983,9.543363994743759,76.7156862745098,1610612760,54,60,2025-01-30T04:44:08Z,4060000,False,-134.0,37.0,1,left,MISS S. Gilgeous-Alexander 13' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,13.87,Missed,,,,,,,,,,,,,
431,PT09M57.00S,2025-01-30T04:44:04.2Z,3,REGULAR,rebound,offensive,[],1629652,,,1610612760,54,60,2025-01-30T04:44:04Z,4070000,False,,,0,,L. Dort REBOUND (Off:4 Def:0),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,,,,,,,,,,430.0,4.0,0.0,4.0,,,,,,,
432,PT09M55.00S,2025-01-30T04:44:08.4Z,3,REGULAR,turnover,out-of-bounds,[],1629652,,,1610612760,54,60,2025-01-30T04:53:47Z,4080000,False,,,0,,L. Dort lost ball out-of-bounds TURNOVER (1 TO),[1629652],1610612760.0,OKC,lost ball,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,1628487.0,,,,,,,,,,,,,,1.0,,,,,
433,PT09M45.00S,2025-01-30T04:44:26.2Z,3,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612744,54,60,2025-01-30T04:44:31Z,4090000,False,,,0,,L. Dort shooting personal FOUL (3 PF) (Payton II 2 FT),"[1629652, 1627780]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,1628487.0,3.0,0.0,Payton II,1627780.0,,,,,,,,,,,,,,,
435,PT09M45.00S,2025-01-30T04:44:52.1Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1627780,,,1610612744,55,60,2025-01-30T04:44:52Z,4110000,False,,,0,,G. Payton II Free Throw 1 of 2 (8 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,Made,,,,,,,8.0,,,,,,
436,PT09M45.00S,2025-01-30T04:45:07.1Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1627780,,,1610612744,56,60,2025-01-30T04:45:07Z,4120000,False,,,0,,G. Payton II Free Throw 2 of 2 (9 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,Made,,,,,,,9.0,,,,,,
437,PT09M27.00S,2025-01-30T04:45:27.5Z,3,REGULAR,2pt,Jump Shot,[],1631114,12.828515111695138,67.8921568627451,1610612760,56,62,2025-01-30T04:45:32Z,4130000,False,-89.0,68.0,1,left,J. Williams 11' driving floating bank Jump Shot (12 PTS) (S. Gilgeous-Alexander 4 AST),"[1631114, 1628983]",1610612760.0,OKC,driving floating bank,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,,,,,,11.25,Made,,,,,,,12.0,,,,S. Gilgeous-Alexander,1628983.0,4.0
439,PT09M19.00S,2025-01-30T04:45:36.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,92.85479632063075,44.36274509803921,1610612744,58,62,2025-01-30T04:45:39Z,4150000,False,-28.0,15.0,1,right,B. Hield driving Layup (5 PTS) (G. Payton II 1 AST),"[1627741, 1627780]",1610612744.0,GSW,driving,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,3.18,Made,,,,,,,5.0,,,,G. Payton II,1627780.0,1.0
441,PT09M06.00S,2025-01-30T04:45:48.9Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1641717,7.966491458607096,45.09803921568628,1610612760,58,64,2025-01-30T04:45:52Z,4170000,False,25.0,22.0,1,left,C. Wallace cutting DUNK (2 PTS) (I. Hartenstein 5 AST),"[1641717, 1628392]",1610612760.0,OKC,cutting,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,,,,3.32,Made,,,,,,,2.0,,,,I. Hartenstein,1628392.0,5.0
444,PT08M51.00S,2025-01-30T04:46:20.1Z,3,REGULAR,3pt,Jump Shot,[],201939,93.64323258869908,96.56862745098039,1610612744,61,64,2025-01-30T04:50:00Z,4200000,False,233.0,7.0,1,right,S. Curry 3PT step back (7 PTS) (B. Hield 2 AST),"[201939, 1627741]",1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,,,,,,23.29,Made,,,,,,,7.0,,,,B. Hield,1627741.0,2.0
446,PT08M30.00S,2025-01-30T04:46:40.5Z,3,REGULAR,turnover,bad pass,[],1628392,,,1610612760,61,64,2025-01-30T04:46:50Z,4220000,False,,,0,,I. Hartenstein bad pass TURNOVER (1 TO),"[1628392, 1627741]",1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,1.0,Hield,1627741.0,,,
447,PT08M30.00S,2025-01-30T04:46:40.5Z,3,REGULAR,steal,,[],1627741,,,1610612744,61,64,2025-01-30T04:46:42Z,4230000,False,,,0,,B. Hield STEAL (1 STL),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
448,PT08M26.00S,2025-01-30T04:46:44.6Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201939,66.44218134034165,43.38235294117647,1610612744,61,64,2025-01-30T04:46:58Z,4240000,False,-33.0,263.0,1,right,MISS S. Curry 26' running pullup 3PT,[201939],1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,26.5,Missed,,,,,,,,,,,,,
449,PT08M23.00S,2025-01-30T04:46:49.7Z,3,REGULAR,rebound,defensive,[],1628392,,,1610612760,61,64,2025-01-30T04:46:49Z,4250000,False,,,0,,I. Hartenstein REBOUND (Off:4 Def:11),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Center,,,,,,,,,,448.0,15.0,11.0,4.0,,,,,,,
450,PT08M21.00S,2025-01-30T04:47:19.0Z,3,REGULAR,jumpball,recovered,[],1629652,,,1610612760,61,64,2025-01-30T04:47:19Z,4260000,False,,,0,,Jump Ball I. Hartenstein vs. S. Curry: Tip to L. Dort,"[1629652, 1628392, 201939]",1610612760.0,OKC,heldball,L. Dort,1629652.0,Dort,L. Dort,Hartenstein,1628392.0,Curry,201939.0,,,,,,,,,,,,,,,,,,,,,,
453,PT08M15.00S,2025-01-30T04:47:25.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,17.559132720105126,55.392156862745104,1610612760,61,64,2025-01-30T04:47:39Z,4290000,False,-27.0,113.0,1,left,MISS J. Williams 11' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.58,Missed,,,,,,,,,,,,,
454,PT08M13.00S,2025-01-30T04:47:27.3Z,3,REGULAR,rebound,defensive,[],1627780,,,1610612744,61,64,2025-01-30T04:47:39Z,4300000,False,,,0,,G. Payton II REBOUND (Off:0 Def:7),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,453.0,7.0,7.0,0.0,,,,,,,
455,PT08M13.00S,2025-01-30T04:47:38.5Z,3,REGULAR,turnover,out-of-bounds,[],1627780,,,1610612744,61,64,2025-01-30T04:47:44Z,4310000,False,,,0,,G. Payton II step out-of-bounds TURNOVER (2 TO),[1627780],1610612744.0,GSW,step,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),0-8 Center,1628487.0,,,,,,,,,,,,,,2.0,,,,,
456,PT08M09.00S,2025-01-30T04:47:47.1Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1628983,4.5499342969776615,73.52941176470588,1610612760,61,64,2025-01-30T04:47:50Z,4320000,False,-118.0,-10.0,1,left,MISS S. Gilgeous-Alexander 11' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,11.8,Missed,,,,,,,,,,,,,
457,PT08M07.00S,2025-01-30T04:47:49.1Z,3,REGULAR,rebound,defensive,[],1627741,,,1610612744,61,64,2025-01-30T04:47:50Z,4330000,False,,,0,,B. Hield REBOUND (Off:0 Def:4),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Mid-Range,8-16 Left,,,,,,,,,,456.0,4.0,4.0,0.0,,,,,,,
458,PT08M04.00S,2025-01-30T04:47:52.8Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203952,92.72339027595268,47.30392156862745,1610612744,63,64,2025-01-30T04:47:57Z,4340000,False,-13.0,16.0,1,right,A. Wiggins running DUNK (17 PTS) (B. Hield 3 AST),"[203952, 1627741]",1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,2.09,Made,,,,,,,17.0,,,,B. Hield,1627741.0,3.0
460,PT08M03.00S,2025-01-30T04:47:56.7Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,63,64,2025-01-30T04:47:56Z,4360000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,PT08M03.00S,2025-01-30T04:51:17.3Z,3,REGULAR,substitution,out,[],1628392,,,1610612760,63,64,2025-01-30T04:51:34Z,4370000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
462,PT08M03.00S,2025-01-30T04:51:17.3Z,3,REGULAR,substitution,in,[],1631119,,,1610612760,63,64,2025-01-30T04:51:34Z,4380000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
464,PT07M45.00S,2025-01-30T04:52:10.6Z,3,REGULAR,foul,personal,['2freethrow'],201939,,,1610612760,63,64,2025-01-30T04:52:24Z,4400000,False,,,0,,S. Curry shooting personal FOUL (2 PF) (Williams 2 FT),"[201939, 1631114]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,1628487.0,2.0,0.0,Williams,1631114.0,,,,,,,,,,,,,,,
466,PT07M45.00S,2025-01-30T04:52:40.8Z,3,REGULAR,freethrow,1 of 2,[],1631114,,,1610612760,63,64,2025-01-30T04:52:58Z,4420000,False,,,0,,MISS J. Williams Free Throw 1 of 2,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
467,PT07M45.00S,2025-01-30T04:52:40.8Z,3,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,63,64,2025-01-30T04:52:58Z,4430000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,466.0,,,,,,,,,,
468,PT07M45.00S,2025-01-30T04:52:40.8Z,3,REGULAR,freethrow,2 of 2,[],1631114,,,1610612760,63,64,2025-01-30T04:52:58Z,4440000,False,,,0,,MISS J. Williams Free Throw 2 of 2,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
469,PT07M43.00S,2025-01-30T04:52:42.8Z,3,REGULAR,rebound,defensive,[],1626172,,,1610612744,63,64,2025-01-30T04:52:58Z,4450000,False,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,468.0,2.0,2.0,0.0,,,,,,,
470,PT07M28.00S,2025-01-30T04:53:11.9Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,92.46057818659659,46.568627450980394,1610612744,65,64,2025-01-30T04:53:43Z,4460000,False,-17.0,18.0,1,right,K. Looney cutting DUNK (12 PTS) (B. Hield 4 AST),"[1626172, 1627741]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,2.52,Made,,,,,,,12.0,,,,B. Hield,1627741.0,4.0
472,PT07M16.00S,2025-01-30T04:53:29.4Z,3,REGULAR,foul,offensive,[],1628983,,,1610612760,65,64,2025-01-30T04:54:39Z,4480000,False,,,0,,S. Gilgeous-Alexander offensive FOUL (2 PF),"[1628983, 1626172]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,203593.0,2.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,
474,PT07M16.00S,2025-01-30T04:53:29.4Z,3,REGULAR,turnover,offensive foul,[],1628983,,,1610612760,65,64,2025-01-30T04:53:29Z,4500000,False,,,0,,S. Gilgeous-Alexander offensive foul TURNOVER (2 TO),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,203593.0,,,,,,,,,,,,,,2.0,,,,,
475,PT07M16.00S,2025-01-30T04:53:35.5Z,3,REGULAR,substitution,out,[],1641717,,,1610612744,65,64,2025-01-30T04:53:38Z,4510000,False,,,0,,SUB out: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
476,PT07M16.00S,2025-01-30T04:53:35.5Z,3,REGULAR,substitution,in,[],1630198,,,1610612744,65,64,2025-01-30T04:53:38Z,4520000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
477,PT06M59.00S,2025-01-30T04:54:00.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626172,91.01511169513797,43.872549019607845,1610612744,67,64,2025-01-30T04:54:03Z,4530000,False,-31.0,32.0,1,right,K. Looney cutting Layup (14 PTS) (A. Wiggins 2 AST),"[1626172, 203952]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.43,Made,,,,,,,14.0,,,,A. Wiggins,203952.0,2.0
