actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
168,PT12M00.00S,2024-12-27T01:38:17.8Z,2,REGULAR,substitution,in,['startperiod'],1642263,,,1610612745,22,39,2024-12-27T01:38:32Z,1660000,False,,,0,,SUB in: R. Sheppard,[1642263],1610612745.0,HOU,,,,,,,,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2024-12-27T01:38:38.6Z,2,REGULAR,period,start,[],0,,,1610612745,22,39,2024-12-27T01:38:38Z,1670000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M50.00S,2024-12-27T01:38:49.8Z,2,REGULAR,3pt,Jump Shot,[],1641715,71.10298948751642,78.8985906862745,1610612745,22,39,2024-12-27T01:40:11Z,1680000,False,144.0,219.0,1,right,MISS C. Whitmore 26' step back 3PT,[1641715],1610612745.0,HOU,step back,,,,,,Above the Break 3,24+ Right Center,26.25,Missed,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,
171,PT11M48.00S,2024-12-27T01:38:51.8Z,2,REGULAR,rebound,offensive,[],1641708,,,1610612745,22,39,2024-12-27T01:40:11Z,1690000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641708],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Thompson,A. Thompson,,,170.0,1.0,0.0,1.0,,,,,,,,,,,,
172,PT11M39.00S,2024-12-27T01:39:00.4Z,2,REGULAR,turnover,lost ball,[],1630578,,,1610612745,22,39,2024-12-27T01:40:55Z,1700000,False,,,0,,A. Sengun lost ball TURNOVER (2 TO),"[1630578, 1628464]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,2.0,Theis,1628464.0
173,PT11M39.00S,2024-12-27T01:39:00.4Z,2,REGULAR,steal,,[],1628464,,,1610612740,22,39,2024-12-27T01:39:06Z,1710000,False,,,0,,D. Theis STEAL (1 STL),[1628464],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,
174,PT11M32.00S,2024-12-27T01:39:07.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627749,12.746386333771355,50.34466911764706,1610612740,22,39,2024-12-27T01:41:42Z,1720000,False,-2.0,67.0,1,left,MISS D. Murray 6' running Layup,[1627749],1610612740.0,NOP,running,,,,,,In The Paint (Non-RA),0-8 Center,6.73,Missed,Murray,D. Murray,,,,,,,,,,,,,,,,,,
175,PT11M30.00S,2024-12-27T01:39:09.7Z,2,REGULAR,rebound,defensive,[],1641708,,,1610612745,22,39,2024-12-27T01:41:33Z,1730000,False,,,0,,A. Thompson REBOUND (Off:1 Def:1),[1641708],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Thompson,A. Thompson,,,174.0,2.0,1.0,1.0,,,,,,,,,,,,
176,PT11M24.00S,2024-12-27T01:39:15.3Z,2,REGULAR,foul,personal,['2freethrow'],1630527,,,1610612745,22,39,2024-12-27T01:39:24Z,1740000,False,,,0,,B. Boston shooting personal FOUL (1 PF) (Thompson 2 FT),"[1630527, 1641708]",1610612740.0,NOP,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Boston,B. Boston,,,,,,,,,,,1628485.0,1.0,0.0,Thompson,1641708.0,,,
178,PT11M24.00S,2024-12-27T01:39:37.8Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1641708,,,1610612745,22,39,2024-12-27T01:42:08Z,1760000,False,,,0,,MISS A. Thompson Free Throw 1 of 2,[1641708],1610612745.0,HOU,,,,,,,,,,Missed,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
179,PT11M24.00S,2024-12-27T01:39:37.8Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,22,39,2024-12-27T01:42:08Z,1770000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,,
180,PT11M24.00S,2024-12-27T01:39:37.8Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1641708,,,1610612745,22,40,2024-12-27T01:42:08Z,1780000,False,,,0,,A. Thompson Free Throw 2 of 2 (1 PTS),[1641708],1610612745.0,HOU,,,,,,,,,,Made,Thompson,A. Thompson,,,,,,,1.0,,,,,,,,,,,
181,PT11M14.00S,2024-12-27T01:40:04.4Z,2,REGULAR,3pt,Jump Shot,[],1630529,18.873193166885677,7.352941176470589,1610612740,22,40,2024-12-27T01:42:33Z,1790000,False,213.0,125.0,1,left,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,24.71,Missed,Jones,H. Jones,,,,,,,,,,,,,,,,,,
182,PT11M11.00S,2024-12-27T01:40:07.4Z,2,REGULAR,rebound,defensive,[],1641715,,,1610612745,22,40,2024-12-27T01:42:43Z,1800000,False,,,0,,C. Whitmore REBOUND (Off:0 Def:1),[1641715],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Whitmore,C. Whitmore,,,181.0,1.0,1.0,0.0,,,,,,,,,,,,
183,PT11M06.00S,2024-12-27T01:40:12.1Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1641715,72.7496714848883,59.068627450980394,1610612745,22,40,2024-12-27T01:42:58Z,1810000,False,45.0,204.0,1,right,MISS C. Whitmore 20' running pullup Shot,[1641715],1610612745.0,HOU,running pullup,,,,,,Mid-Range,16-24 Center,20.87,Missed,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,
184,PT11M03.00S,2024-12-27T01:40:15.1Z,2,REGULAR,rebound,offensive,[],1642263,,,1610612745,22,40,2024-12-27T01:43:06Z,1820000,False,,,0,,R. Sheppard REBOUND (Off:1 Def:0),[1642263],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Center,,,Sheppard,R. Sheppard,,,183.0,1.0,0.0,1.0,,,,,,,,,,,,
185,PT10M58.00S,2024-12-27T01:40:19.4Z,2,REGULAR,turnover,bad pass,[],1641708,,,1610612745,22,40,2024-12-27T01:43:39Z,1830000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641708, 1630527]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,1.0,Boston,1630527.0
186,PT10M58.00S,2024-12-27T01:40:19.4Z,2,REGULAR,steal,,[],1630527,,,1610612740,22,40,2024-12-27T01:40:21Z,1840000,False,,,0,,B. Boston STEAL (1 STL),[1630527],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,Boston,B. Boston,,,,,,,,,,,,,,,,,,
187,PT10M51.00S,2024-12-27T01:40:27.1Z,2,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612740,22,40,2024-12-27T01:40:35Z,1850000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Theis 2 FT),"[1631095, 1628464]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,1628485.0,1.0,0.0,Theis,1628464.0,,,
189,PT10M51.00S,2024-12-27T01:40:52.3Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1628464,,,1610612740,23,40,2024-12-27T01:40:52Z,1870000,False,,,0,,D. Theis Free Throw 1 of 2 (1 PTS),[1628464],1610612740.0,NOP,,,,,,,,,,Made,Theis,D. Theis,,,,,,,1.0,,,,,,,,,,,
190,PT10M51.00S,2024-12-27T01:41:06.4Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1628464,,,1610612740,24,40,2024-12-27T01:41:06Z,1880000,False,,,0,,D. Theis Free Throw 2 of 2 (2 PTS),[1628464],1610612740.0,NOP,,,,,,,,,,Made,Theis,D. Theis,,,,,,,2.0,,,,,,,,,,,
191,PT10M38.00S,2024-12-27T01:41:23.4Z,2,REGULAR,3pt,Jump Shot,[],1642263,80.89684625492772,6.61764705882353,1610612745,24,40,2024-12-27T01:44:19Z,1890000,False,-217.0,127.0,1,right,MISS R. Sheppard 25' 3PT,[1642263],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,25.14,Missed,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,
192,PT10M34.00S,2024-12-27T01:41:27.4Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612740,24,40,2024-12-27T01:44:28Z,1900000,False,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,Theis,D. Theis,,,191.0,1.0,1.0,0.0,,,,,,,,,,,,
193,PT10M26.00S,2024-12-27T01:41:36.0Z,2,REGULAR,3pt,Jump Shot,[],1641722,31.09395532194481,51.225490196078425,1610612740,24,40,2024-12-27T01:44:38Z,1910000,False,-6.0,240.0,1,left,MISS J. Hawkins pullup 3PT,[1641722],1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Center,23.99,Missed,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,
194,PT10M24.00S,2024-12-27T01:41:38.0Z,2,REGULAR,rebound,defensive,[],1641708,,,1610612745,24,40,2024-12-27T01:44:38Z,1920000,False,,,0,,A. Thompson REBOUND (Off:1 Def:2),[1641708],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Thompson,A. Thompson,,,193.0,3.0,2.0,1.0,,,,,,,,,,,,
195,PT10M17.00S,2024-12-27T01:41:43.9Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1641708,84.97043363994744,42.40196078431372,1610612745,24,42,2024-12-27T01:44:58Z,1930000,False,-38.0,89.0,1,right,A. Thompson 9' driving floating Jump Shot (3 PTS),[1641708],1610612745.0,HOU,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,9.66,Made,Thompson,A. Thompson,,,,,,,3.0,,,,,,,,,,,
196,PT09M54.00S,2024-12-27T01:42:05.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,6.1268068331143235,46.81372549019608,1610612740,26,42,2024-12-27T01:42:09Z,1940000,False,16.0,5.0,1,left,D. Murray driving finger roll Layup (8 PTS) (H. Jones 1 AST),"[1627749, 1630529]",1610612740.0,NOP,driving finger roll,,,,,,Restricted Area,0-8 Center,1.67,Made,Murray,D. Murray,,,,,,,8.0,H. Jones,1630529.0,1.0,,,,,,,,
198,PT09M49.00S,2024-12-27T01:42:13.0Z,2,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612745,26,42,2024-12-27T01:42:23Z,1960000,False,,,0,,D. Theis shooting personal FOUL (1 PF) (Whitmore 2 FT),"[1628464, 1641715]",1610612740.0,NOP,shooting,,,,,,Restricted Area,0-8 Center,,,Theis,D. Theis,,,,,,,,,,,1628485.0,1.0,0.0,Whitmore,1641715.0,,,
200,PT09M49.00S,2024-12-27T01:42:38.4Z,2,REGULAR,freethrow,1 of 2,[],1641715,,,1610612745,26,43,2024-12-27T01:42:38Z,1980000,False,,,0,,C. Whitmore Free Throw 1 of 2 (4 PTS),[1641715],1610612745.0,HOU,,,,,,,,,,Made,Whitmore,C. Whitmore,,,,,,,4.0,,,,,,,,,,,
201,PT09M49.00S,2024-12-27T01:42:51.9Z,2,REGULAR,freethrow,2 of 2,[],1641715,,,1610612745,26,44,2024-12-27T01:42:51Z,1990000,False,,,0,,C. Whitmore Free Throw 2 of 2 (5 PTS),[1641715],1610612745.0,HOU,,,,,,,,,,Made,Whitmore,C. Whitmore,,,,,,,5.0,,,,,,,,,,,
202,PT09M40.00S,2024-12-27T01:43:04.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,8.623521681997373,45.83333333333333,1610612740,26,44,2024-12-27T01:46:26Z,2000000,False,21.0,29.0,1,left,MISS H. Jones cutting Layup - blocked,"[1630529, 1641708]",1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,3.54,Missed,Jones,H. Jones,Thompson,1641708.0,,,,,,,,,,,,,,,,
203,PT09M40.00S,2024-12-27T01:43:04.8Z,2,REGULAR,block,,[],1641708,,,1610612740,26,44,2024-12-27T01:43:52Z,2010000,False,,,0,,A. Thompson BLOCK (3 BLK),[1641708],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
204,PT09M39.00S,2024-12-27T01:43:05.8Z,2,REGULAR,rebound,offensive,[],1630529,,,1610612740,26,44,2024-12-27T02:10:55Z,2020000,False,,,0,,H. Jones REBOUND (Off:2 Def:0),[1630529],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,Jones,H. Jones,,,202.0,2.0,0.0,2.0,,,,,,,,,,,,
342,PT09M39.00S,2024-12-27T01:43:06.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,8.065045992115643,46.07843137254902,1610612740,26,44,2024-12-27T02:11:14Z,2025000,False,20.0,23.0,1,left,MISS H. Jones tip Layup,[1630529],1610612740.0,NOP,tip,,,,,,Restricted Area,0-8 Center,3.04,Missed,Jones,H. Jones,,,,,,,,,,,,,,,,,,
343,PT09M38.00S,2024-12-27T01:43:07.6Z,2,REGULAR,rebound,offensive,[],1628464,,,1610612740,26,44,2024-12-27T02:11:14Z,2027500,False,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,Theis,D. Theis,,,342.0,2.0,1.0,1.0,,,,,,,,,,,,
344,PT09M38.00S,2024-12-27T01:43:07.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628464,7.670827858081481,54.16666666666667,1610612740,26,44,2024-12-27T02:11:39Z,2028750,False,-21.0,20.0,1,left,MISS D. Theis tip Layup,[1628464],1610612740.0,NOP,tip,,,,,,Restricted Area,0-8 Center,2.86,Missed,Theis,D. Theis,,,,,,,,,,,,,,,,,,
345,PT09M37.00S,2024-12-27T01:43:08.5Z,2,REGULAR,rebound,offensive,[],1630529,,,1610612740,26,44,2024-12-27T02:11:39Z,2029375,False,,,0,,H. Jones REBOUND (Off:3 Def:0),[1630529],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,Jones,H. Jones,,,344.0,3.0,0.0,3.0,,,,,,,,,,,,
207,PT09M36.00S,2024-12-27T01:43:10.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,7.358738501971089,47.36519607843137,1610612740,26,44,2024-12-27T02:12:44Z,2050000,False,13.0,17.0,1,left,MISS H. Jones putback Layup,[1630529],1610612740.0,NOP,putback,,,,,,Restricted Area,0-8 Center,2.13,Missed,Jones,H. Jones,,,,,,,,,,,,,,,,,,
208,PT09M34.00S,2024-12-27T01:43:12.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612745,26,44,2024-12-27T02:12:44Z,2060000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,,,,207.0,,,,,,,,,,,,,,,
210,PT09M18.00S,2024-12-27T01:43:32.3Z,2,REGULAR,turnover,bad pass,[],1641708,,,1610612745,26,44,2024-12-27T01:47:12Z,2080000,False,,,0,,A. Thompson bad pass TURNOVER (2 TO),"[1641708, 1641722]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,2.0,Hawkins,1641722.0
211,PT09M18.00S,2024-12-27T01:43:32.3Z,2,REGULAR,steal,,[],1641722,,,1610612740,26,44,2024-12-27T01:43:33Z,2090000,False,,,0,,J. Hawkins STEAL (1 STL),[1641722],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,
212,PT09M14.00S,2024-12-27T01:43:36.9Z,2,REGULAR,foul,personal,['2freethrow'],1642263,,,1610612740,26,44,2024-12-27T01:43:57Z,2100000,False,,,0,,R. Sheppard shooting personal FOUL (1 PF) (Boston 2 FT),"[1642263, 1630527]",1610612745.0,HOU,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Sheppard,R. Sheppard,,,,,,,,,,,1628485.0,1.0,0.0,Boston,1630527.0,,,
214,PT09M14.00S,2024-12-27T01:43:59.1Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630527,,,1610612740,26,44,2024-12-27T01:47:30Z,2120000,False,,,0,,MISS B. Boston Free Throw 1 of 2,[1630527],1610612740.0,NOP,,,,,,,,,,Missed,Boston,B. Boston,,,,,,,,,,,,,,,,,,
215,PT09M14.00S,2024-12-27T01:43:59.1Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612740,26,44,2024-12-27T01:47:30Z,2130000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,214.0,,,,,,,,,,,,,,,
216,PT09M14.00S,2024-12-27T01:43:59.1Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1630527,,,1610612740,27,44,2024-12-27T01:47:30Z,2140000,False,,,0,,B. Boston Free Throw 2 of 2 (1 PTS),[1630527],1610612740.0,NOP,,,,,,,,,,Made,Boston,B. Boston,,,,,,,1.0,,,,,,,,,,,
217,PT09M04.00S,2024-12-27T01:44:26.6Z,2,REGULAR,3pt,Jump Shot,[],1631095,75.3777923784494,13.23529411764706,1610612745,27,44,2024-12-27T01:47:59Z,2150000,False,-184.0,179.0,1,right,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,25.65,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
218,PT09M02.00S,2024-12-27T01:44:28.6Z,2,REGULAR,rebound,offensive,[],1641708,,,1610612745,27,44,2024-12-27T01:47:59Z,2160000,False,,,0,,A. Thompson REBOUND (Off:2 Def:2),[1641708],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Thompson,A. Thompson,,,217.0,4.0,2.0,2.0,,,,,,,,,,,,
219,PT08M54.00S,2024-12-27T01:44:35.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1641715,73.01248357424441,18.627450980392158,1610612745,27,44,2024-12-27T01:48:37Z,2170000,False,-157.0,201.0,1,right,MISS C. Whitmore 25' 3PT,[1641715],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,25.51,Missed,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,
220,PT08M51.00S,2024-12-27T01:44:38.8Z,2,REGULAR,rebound,offensive,[],1631095,,,1610612745,27,44,2024-12-27T01:48:37Z,2180000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:2),[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Smith Jr.,J. Smith Jr.,,,219.0,3.0,2.0,1.0,,,,,,,,,,,,
221,PT08M49.00S,2024-12-27T01:44:41.3Z,2,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612745,27,44,2024-12-27T01:44:56Z,2190000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Smith Jr. 2 FT),"[1630529, 1631095]",1610612740.0,NOP,shooting,,,,,,Restricted Area,0-8 Center,,,Jones,H. Jones,,,,,,,,,,,201638.0,1.0,0.0,Smith Jr.,1631095.0,,,
223,PT08M49.00S,2024-12-27T01:45:11.3Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1631095,,,1610612745,27,45,2024-12-27T01:45:11Z,2210000,False,,,0,,J. Smith Jr. Free Throw 1 of 2 (1 PTS),[1631095],1610612745.0,HOU,,,,,,,,,,Made,Smith Jr.,J. Smith Jr.,,,,,,,1.0,,,,,,,,,,,
224,PT08M49.00S,2024-12-27T01:45:30.8Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1631095,,,1610612745,27,46,2024-12-27T01:45:30Z,2220000,False,,,0,,J. Smith Jr. Free Throw 2 of 2 (2 PTS),[1631095],1610612745.0,HOU,,,,,,,,,,Made,Smith Jr.,J. Smith Jr.,,,,,,,2.0,,,,,,,,,,,
225,PT08M34.00S,2024-12-27T01:45:49.3Z,2,REGULAR,3pt,Jump Shot,[],1630527,29.517082785808146,22.30392156862745,1610612740,27,46,2024-12-27T01:49:20Z,2230000,False,138.0,225.0,1,left,MISS B. Boston 26' 3PT,[1630527],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,26.42,Missed,Boston,B. Boston,,,,,,,,,,,,,,,,,,
226,PT08M32.00S,2024-12-27T01:45:51.3Z,2,REGULAR,rebound,defensive,[],1641715,,,1610612745,27,46,2024-12-27T01:49:20Z,2240000,False,,,0,,C. Whitmore REBOUND (Off:0 Def:2),[1641715],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Whitmore,C. Whitmore,,,225.0,2.0,2.0,0.0,,,,,,,,,,,,
227,PT08M19.00S,2024-12-27T01:46:03.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1641715,91.32720105124835,45.14016544117647,1610612745,27,48,2024-12-27T01:49:54Z,2250000,False,-24.0,29.0,1,right,C. Whitmore driving Layup (7 PTS) (A. Sengun 1 AST),"[1641715, 1630578]",1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,3.78,Made,Whitmore,C. Whitmore,,,,,,,7.0,A. Sengun,1630578.0,1.0,,,,,,,,
229,PT08M19.00S,2024-12-27T01:46:12.4Z,2,REGULAR,violation,defensive goaltending,[],1628464,,,1610612745,27,48,2024-12-27T01:46:18Z,2270000,False,,,0,,D. Theis defensive goaltending VIOLATION,[1628464],1610612740.0,NOP,,,,,,,,,,,Theis,D. Theis,,,,,,,,,,,101283.0,,,,,,,
230,PT08M04.00S,2024-12-27T01:46:36.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,6.389618922470433,46.568627450980394,1610612740,27,48,2024-12-27T01:53:39Z,2280000,False,17.0,8.0,1,left,MISS D. Murray driving Layup,[1627749],1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,1.88,Missed,Murray,D. Murray,,,,,,,,,,,,,,,,,,
231,PT08M02.00S,2024-12-27T01:46:38.6Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,27,48,2024-12-27T01:53:39Z,2290000,False,,,0,,A. Sengun REBOUND (Off:2 Def:5),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,230.0,7.0,5.0,2.0,,,,,,,,,,,,
232,PT07M57.00S,2024-12-27T01:46:43.8Z,2,REGULAR,turnover,out-of-bounds,[],1631095,,,1610612745,27,48,2024-12-27T01:46:49Z,2300000,False,,,0,,J. Smith Jr. lost ball out-of-bounds TURNOVER (1 TO),[1631095],1610612745.0,HOU,lost ball,,,,,,In The Paint (Non-RA),8-16 Center,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,1628485.0,,,,,1.0,,
233,PT07M57.00S,2024-12-27T01:46:50.0Z,2,REGULAR,substitution,out,[],1627749,,,1610612740,27,48,2024-12-27T01:46:54Z,2310000,False,,,0,,SUB out: D. Murray,[1627749],1610612740.0,NOP,,,,,,,,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,
234,PT07M57.00S,2024-12-27T01:46:50.0Z,2,REGULAR,substitution,out,[],1628464,,,1610612740,27,48,2024-12-27T01:46:54Z,2320000,False,,,0,,SUB out: D. Theis,[1628464],1610612740.0,NOP,,,,,,,,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,
235,PT07M57.00S,2024-12-27T01:46:50.0Z,2,REGULAR,substitution,in,[],1642274,,,1610612740,27,48,2024-12-27T01:46:54Z,2330000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,,,,,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,
236,PT07M57.00S,2024-12-27T01:46:50.0Z,2,REGULAR,substitution,in,[],203468,,,1610612740,27,48,2024-12-27T01:46:54Z,2340000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,,,,,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
237,PT07M44.00S,2024-12-27T01:47:10.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203468,11.645860709592641,4.901960784313726,1610612740,30,48,2024-12-27T01:54:17Z,2350000,False,225.0,57.0,1,left,C. McCollum 3PT  (7 PTS) (H. Jones 2 AST),"[203468, 1630529]",1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,23.26,Made,McCollum,C. McCollum,,,,,,,7.0,H. Jones,1630529.0,2.0,,,,,,,,
239,PT07M35.00S,2024-12-27T01:47:20.3Z,2,REGULAR,2pt,Jump Shot,[],1642263,91.45860709592641,74.73192401960785,1610612745,30,48,2024-12-27T01:54:44Z,2370000,False,124.0,28.0,1,right,MISS R. Sheppard 12' pullup Shot,[1642263],1610612745.0,HOU,pullup,,,,,,Mid-Range,8-16 Right,12.68,Missed,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,
240,PT07M32.00S,2024-12-27T01:47:23.3Z,2,REGULAR,rebound,defensive,[],1630527,,,1610612740,30,48,2024-12-27T01:54:54Z,2380000,False,,,0,,B. Boston REBOUND (Off:0 Def:1),[1630527],1610612740.0,NOP,,,,,,,Mid-Range,8-16 Right,,,Boston,B. Boston,,,239.0,1.0,1.0,0.0,,,,,,,,,,,,
241,PT07M26.00S,2024-12-27T01:47:29.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203468,28.991458607095925,78.67647058823529,1610612740,30,48,2024-12-27T01:55:09Z,2390000,False,-143.0,220.0,1,left,MISS C. McCollum 26' running pullup 3PT,[203468],1610612740.0,NOP,running pullup,,,,,,Above the Break 3,24+ Left Center,26.26,Missed,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
242,PT07M22.00S,2024-12-27T01:47:33.3Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,30,48,2024-12-27T01:55:31Z,2400000,False,,,0,,A. Sengun REBOUND (Off:2 Def:6),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Sengun,A. Sengun,,,241.0,8.0,6.0,2.0,,,,,,,,,,,,
243,PT07M10.00S,2024-12-27T01:47:46.1Z,2,REGULAR,3pt,Jump Shot,[],1631095,67.88354139290408,36.49662990196079,1610612745,30,48,2024-12-27T01:55:56Z,2410000,False,-68.0,249.0,1,right,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,25.84,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
244,PT07M08.00S,2024-12-27T01:47:48.1Z,2,REGULAR,rebound,defensive,[],1642274,,,1610612740,30,48,2024-12-27T01:55:51Z,2420000,False,,,0,,Y. Missi REBOUND (Off:1 Def:3),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,Missi,Y. Missi,,,243.0,4.0,3.0,1.0,,,,,,,,,,,,
