actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
168,PT10M46.00S,2024-11-16T01:38:33.7Z,2,REGULAR,freethrow,2 of 2,[],1641998,,,1610612740,34,25,2024-11-16T01:38:33Z,1670000,False,,,0,,T. Jemison III Free Throw 2 of 2 (4 PTS),[1641998],1610612740.0,NOP,,,,,,,,,,Made,4.0,Jemison III,T. Jemison III,,,,,,,,,,,,,,,,,,
169,PT10M27.00S,2024-11-16T01:38:53.5Z,2,REGULAR,3pt,Jump Shot,[],203967,12.828515111695138,3.1862745098039214,1610612743,34,25,2024-11-16T01:38:57Z,1680000,False,234.0,68.0,1,left,MISS D. Šarić 24' 3PT,[203967],1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,24.38,Missed,,Šarić,D. Šarić,,,,,,,,,,,,,,,,,,
170,PT10M23.00S,2024-11-16T01:38:57.5Z,2,REGULAR,rebound,defensive,[],1630530,,,1610612740,34,25,2024-11-16T01:38:57Z,1690000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:1),[1630530],1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,,,,Murphy III,T. Murphy III,,,,,,,169.0,2.0,1.0,1.0,,,,,,,,
171,PT10M14.00S,2024-11-16T01:39:06.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1641998,85.62746386333771,44.36274509803921,1610612740,34,25,2024-11-16T01:39:12Z,1700000,False,-28.0,83.0,1,right,MISS T. Jemison III 8' Hook,[1641998],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,8.73,Missed,,Jemison III,T. Jemison III,,,,,,,,,,,,,,,,,,
172,PT10M11.00S,2024-11-16T01:39:09.6Z,2,REGULAR,rebound,defensive,[],203967,,,1610612743,34,25,2024-11-16T01:39:12Z,1710000,False,,,0,,D. Šarić REBOUND (Off:0 Def:1),[203967],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Šarić,D. Šarić,,,,,,,171.0,1.0,1.0,0.0,,,,,,,,
173,PT10M03.00S,2024-11-16T01:39:17.2Z,2,REGULAR,3pt,Jump Shot,[],1631124,32.013797634691194,36.51960784313725,1610612743,34,25,2024-11-16T01:39:22Z,1720000,False,67.0,248.0,1,left,MISS J. Strawther 25' pullup 3PT,[1631124],1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Center,25.74,Missed,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,
174,PT10M00.00S,2024-11-16T01:39:20.2Z,2,REGULAR,rebound,defensive,[],1630526,,,1610612740,34,25,2024-11-16T01:39:22Z,1730000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:1),[1630526],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,173.0,2.0,1.0,1.0,,,,,,,,
175,PT09M47.00S,2024-11-16T01:39:32.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629669,86.81011826544021,52.20588235294118,1610612740,34,25,2024-11-16T01:39:37Z,1740000,False,11.0,71.0,1,right,MISS J. Nowell 7' fadeaway Shot,[1629669],1610612740.0,NOP,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,7.23,Missed,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,
176,PT09M45.00S,2024-11-16T01:39:34.9Z,2,REGULAR,rebound,defensive,[],203967,,,1610612743,34,25,2024-11-16T01:39:37Z,1750000,False,,,0,,D. Šarić REBOUND (Off:0 Def:2),[203967],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Šarić,D. Šarić,,,,,,,175.0,2.0,2.0,0.0,,,,,,,,
177,PT09M40.00S,2024-11-16T01:39:39.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201566,8.623521681997373,49.754901960784316,1610612743,34,25,2024-11-16T01:39:47Z,1760000,False,1.0,29.0,1,left,MISS R. Westbrook running Layup - blocked,"[201566, 1631288]",1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,2.86,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,Cain,1631288.0,
178,PT09M40.00S,2024-11-16T01:39:39.7Z,2,REGULAR,block,,[],1631288,,,1610612743,34,25,2024-11-16T01:42:47Z,1770000,False,,,0,,J. Cain BLOCK (1 BLK),[1631288],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Cain,J. Cain,,,,,,,,,,,,,,,,,,
179,PT09M37.00S,2024-11-16T01:39:42.7Z,2,REGULAR,rebound,defensive,[],1630530,,,1610612740,34,25,2024-11-16T01:39:47Z,1780000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:2),[1630530],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Murphy III,T. Murphy III,,,,,,,177.0,3.0,2.0,1.0,,,,,,,,
180,PT09M35.00S,2024-11-16T01:39:47.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630530,92.72339027595268,49.26470588235294,1610612740,36,25,2024-11-16T01:39:54Z,1790000,False,-4.0,16.0,1,right,T. Murphy III running finger roll Layup (8 PTS),[1630530],1610612740.0,NOP,running finger roll,,,,,,Restricted Area,0-8 Center,1.63,Made,8.0,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
181,PT09M16.00S,2024-11-16T01:40:04.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,12.565703022339028,56.127450980392155,1610612743,36,27,2024-11-16T01:40:12Z,1800000,False,-31.0,66.0,1,left,J. Murray 7' driving Layup (5 PTS) (D. Šarić 3 AST),"[1627750, 203967]",1610612743.0,DEN,driving,,,,,,In The Paint (Non-RA),0-8 Center,7.24,Made,5.0,Murray,J. Murray,D. Šarić,203967.0,3.0,,,,,,,,,,,,,,,
183,PT09M09.00S,2024-11-16T01:40:15.4Z,2,REGULAR,foul,personal,[],1627750,,,1610612740,36,27,2024-11-16T01:40:28Z,1820000,False,,,0,,J. Murray personal FOUL (1 PF),"[1627750, 1630530]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,,Murray,J. Murray,,,,,,,,,,,202049.0,1.0,0.0,Murphy III,1630530.0,,,
185,PT09M09.00S,2024-11-16T01:40:34.5Z,2,REGULAR,substitution,out,[],1641998,,,1610612740,36,27,2024-11-16T01:40:37Z,1840000,False,,,0,,SUB out: T. Jemison III,[1641998],1610612740.0,NOP,,,,,,,,,,,,Jemison III,T. Jemison III,,,,,,,,,,,,,,,,,,
186,PT09M09.00S,2024-11-16T01:40:34.5Z,2,REGULAR,substitution,in,[],1642274,,,1610612740,36,27,2024-11-16T01:40:37Z,1850000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,,,,,,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,
187,PT09M02.00S,2024-11-16T01:40:47.6Z,2,REGULAR,turnover,bad pass,[],1642274,,,1610612740,36,27,2024-11-16T01:40:51Z,1860000,False,,,0,,Y. Missi bad pass TURNOVER (2 TO),"[1642274, 203967]",1610612740.0,NOP,,,,,,,Mid-Range,16-24 Left Center,,,,Missi,Y. Missi,,,,2.0,Šarić,203967.0,,,,,,,,,,,,
188,PT09M02.00S,2024-11-16T01:40:47.6Z,2,REGULAR,steal,,[],203967,,,1610612743,36,27,2024-11-16T01:44:54Z,1870000,False,,,0,,D. Šarić STEAL (1 STL),[203967],1610612743.0,DEN,,,,,,,Mid-Range,16-24 Left Center,,,,Šarić,D. Šarić,,,,,,,,,,,,,,,,,,
189,PT08M52.00S,2024-11-16T01:40:57.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203967,8.229303547963205,48.03921568627451,1610612743,36,29,2024-11-16T01:41:03Z,1880000,False,10.0,25.0,1,left,D. Šarić finger roll Layup (4 PTS) (M. Porter Jr. 1 AST),"[203967, 1629008]",1610612743.0,DEN,finger roll,,,,,,Restricted Area,0-8 Center,2.68,Made,4.0,Šarić,D. Šarić,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,,,,,,
192,PT08M36.00S,2024-11-16T01:41:20.5Z,2,REGULAR,substitution,out,[],1629669,,,1610612740,36,29,2024-11-16T01:41:25Z,1910000,False,,,0,,SUB out: J. Nowell,[1629669],1610612740.0,NOP,,,,,,,,,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,
193,PT08M36.00S,2024-11-16T01:41:20.5Z,2,REGULAR,substitution,in,[],1630527,,,1610612740,36,29,2024-11-16T01:41:25Z,1920000,False,,,0,,SUB in: B. Boston Jr.,[1630527],1610612740.0,NOP,,,,,,,,,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
194,PT08M28.00S,2024-11-16T01:41:41.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,88.64980289093299,41.66666666666667,1610612740,36,29,2024-11-16T01:41:45Z,1930000,False,-42.0,54.0,1,right,MISS T. Murphy III 6' finger roll Layup,[1630530],1610612740.0,NOP,finger roll,,,,,,In The Paint (Non-RA),0-8 Center,6.84,Missed,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
195,PT08M26.00S,2024-11-16T01:41:43.2Z,2,REGULAR,rebound,defensive,[],1629008,,,1610612743,36,29,2024-11-16T01:41:45Z,1940000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:3),[1629008],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,194.0,4.0,3.0,1.0,,,,,,,,
196,PT08M19.00S,2024-11-16T01:41:50.5Z,2,REGULAR,3pt,Jump Shot,[],1631124,16.113666228646515,4.6568627450980395,1610612743,36,32,2024-11-16T01:41:54Z,1950000,False,227.0,99.0,1,left,J. Strawther 24' 3PT  (3 PTS) (D. Šarić 4 AST),"[1631124, 203967]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,24.74,Made,3.0,Strawther,J. Strawther,D. Šarić,203967.0,4.0,,,,,,,,,,,,,,,
198,PT08M18.00S,2024-11-16T01:41:56.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,36,32,2024-11-16T01:41:56Z,1970000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT08M18.00S,2024-11-16T01:43:23.4Z,2,REGULAR,substitution,out,[],1630526,,,1610612740,36,32,2024-11-16T01:44:32Z,1980000,False,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612740.0,NOP,,,,,,,,,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
200,PT08M18.00S,2024-11-16T01:43:23.4Z,2,REGULAR,substitution,out,[],201566,,,1610612740,36,32,2024-11-16T01:44:32Z,1990000,False,,,0,,SUB out: R. Westbrook,[201566],1610612743.0,DEN,,,,,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,
201,PT08M18.00S,2024-11-16T01:43:23.4Z,2,REGULAR,substitution,in,[],1629750,,,1610612740,36,32,2024-11-16T01:44:32Z,2000000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
202,PT08M18.00S,2024-11-16T01:43:23.4Z,2,REGULAR,substitution,in,[],1631128,,,1610612740,36,32,2024-11-16T01:44:32Z,2010000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,,,,,,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,
203,PT08M00.00S,2024-11-16T01:45:12.6Z,2,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612740,36,32,2024-11-16T01:45:23Z,2020000,False,,,0,,M. Porter Jr. shooting personal FOUL (2 PF) (Boston Jr. 2 FT),"[1629008, 1630527]",1610612743.0,DEN,shooting,,,,,,Mid-Range,16-24 Right Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,202049.0,2.0,0.0,Boston Jr.,1630527.0,,,
205,PT08M00.00S,2024-11-16T01:45:35.1Z,2,REGULAR,freethrow,1 of 2,[],1630527,,,1610612740,37,32,2024-11-16T01:45:35Z,2040000,False,,,0,,B. Boston Jr. Free Throw 1 of 2 (6 PTS),[1630527],1610612740.0,NOP,,,,,,,,,,Made,6.0,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
206,PT08M00.00S,2024-11-16T01:45:52.8Z,2,REGULAR,freethrow,2 of 2,[],1630527,,,1610612740,38,32,2024-11-16T01:45:52Z,2050000,False,,,0,,B. Boston Jr. Free Throw 2 of 2 (7 PTS),[1630527],1610612740.0,NOP,,,,,,,,,,Made,7.0,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
207,PT07M46.00S,2024-11-16T01:46:10.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,9.411957950065702,50.98039215686274,1610612743,38,34,2024-11-16T01:46:18Z,2060000,False,-5.0,36.0,1,left,C. Braun cutting Layup (6 PTS) (D. Šarić 5 AST),"[1631128, 203967]",1610612743.0,DEN,cutting,,,,,,Restricted Area,0-8 Center,3.63,Made,6.0,Braun,C. Braun,D. Šarić,203967.0,5.0,,,,,,,,,,,,,,,
209,PT07M46.00S,2024-11-16T01:46:14.0Z,2,REGULAR,foul,personal,['1freethrow'],1630530,,,1610612743,38,34,2024-11-16T01:46:24Z,2080000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Braun 1 FT),"[1630530, 1631128]",1610612740.0,NOP,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Murphy III,T. Murphy III,,,,,,,,,,,202049.0,1.0,0.0,Braun,1631128.0,,,
211,PT07M46.00S,2024-11-16T01:46:37.7Z,2,REGULAR,freethrow,1 of 1,[],1631128,,,1610612743,38,35,2024-11-16T01:46:37Z,2100000,False,,,0,,C. Braun Free Throw 1 of 1 (7 PTS),[1631128],1610612743.0,DEN,,,,,,,,,,Made,7.0,Braun,C. Braun,,,,,,,,,,,,,,,,,,
212,PT07M29.00S,2024-11-16T01:46:55.5Z,2,REGULAR,2pt,Jump Shot,[],1630527,75.3777923784494,80.14705882352942,1610612740,40,35,2024-11-16T01:47:01Z,2110000,False,151.0,179.0,1,right,B. Boston Jr. 23' step back Jump Shot (9 PTS),[1630527],1610612740.0,NOP,step back,,,,,,Mid-Range,16-24 Right Center,23.39,Made,9.0,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
213,PT07M14.00S,2024-11-16T01:47:11.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,7.835085413929041,45.34313725490196,1610612743,40,37,2024-11-16T01:47:15Z,2120000,False,23.0,21.0,1,left,M. Porter Jr. cutting Layup (11 PTS) (J. Murray 2 AST),"[1629008, 1627750]",1610612743.0,DEN,cutting,,,,,,Restricted Area,0-8 Center,3.14,Made,11.0,Porter Jr.,M. Porter Jr.,J. Murray,1627750.0,2.0,,,,,,,,,,,,,,,
215,PT06M54.00S,2024-11-16T01:47:30.1Z,2,REGULAR,3pt,Jump Shot,[],1630527,68.54467805519053,68.13725490196079,1610612740,40,37,2024-11-16T01:48:33Z,2140000,False,91.0,243.0,1,right,MISS B. Boston Jr. 25' pullup 3PT,[1630527],1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Right Center,25.96,Missed,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
216,PT06M48.00S,2024-11-16T01:47:36.1Z,2,REGULAR,rebound,offensive,[],1642274,,,1610612740,40,37,2024-11-16T01:47:36Z,2150000,False,,,0,,Y. Missi REBOUND (Off:1 Def:3),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Missi,Y. Missi,,,,,,,215.0,4.0,3.0,1.0,,,,,,,,
217,PT06M48.00S,2024-11-16T01:47:35.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642274,94.40999984741211,50.0,1610612740,40,37,2024-11-16T01:47:35Z,2160000,False,0.0,0.0,1,right,MISS Y. Missi putback DUNK,[1642274],1610612740.0,NOP,putback,,,,,,Mid-Range,8-16 Left,0.0,Missed,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,
218,PT06M48.00S,2024-11-16T01:47:36.3Z,2,REGULAR,rebound,defensive,[],1631124,,,1610612743,40,37,2024-11-16T01:47:36Z,2170000,False,,,0,,J. Strawther REBOUND (Off:0 Def:2),[1631124],1610612743.0,DEN,,,,,,,Mid-Range,8-16 Left,,,,Strawther,J. Strawther,,,,,,,217.0,2.0,2.0,0.0,,,,,,,,
219,PT06M47.00S,2024-11-16T01:47:39.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631124,9.149145860709593,53.92156862745098,1610612743,40,37,2024-11-16T01:49:05Z,2180000,False,-20.0,34.0,1,left,MISS J. Strawther running Layup - blocked,"[1631124, 1631288]",1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,3.88,Missed,,Strawther,J. Strawther,,,,,,,,,,,,,,,,Cain,1631288.0,
220,PT06M47.00S,2024-11-16T01:47:39.2Z,2,REGULAR,block,,[],1631288,,,1610612743,40,37,2024-11-16T01:47:41Z,2190000,False,,,0,,J. Cain BLOCK (2 BLK),[1631288],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Cain,J. Cain,,,,,,,,,,,,,,,,,,
221,PT06M47.00S,2024-11-16T01:47:39.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612743,40,37,2024-11-16T01:47:45Z,2200000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,219.0,,,,,,,,,,,
223,PT06M47.00S,2024-11-16T01:47:46.1Z,2,REGULAR,substitution,out,[],1631288,,,1610612743,40,37,2024-11-16T01:47:54Z,2220000,False,,,0,,SUB out: J. Cain,[1631288],1610612740.0,NOP,,,,,,,,,,,,Cain,J. Cain,,,,,,,,,,,,,,,,,,
224,PT06M47.00S,2024-11-16T01:47:46.1Z,2,REGULAR,substitution,out,[],1630530,,,1610612743,40,37,2024-11-16T01:47:54Z,2230000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,,,,,,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
225,PT06M47.00S,2024-11-16T01:47:46.1Z,2,REGULAR,substitution,in,[],1629669,,,1610612743,40,37,2024-11-16T01:47:54Z,2240000,False,,,0,,SUB in: J. Nowell,[1629669],1610612740.0,NOP,,,,,,,,,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,
226,PT06M47.00S,2024-11-16T01:47:46.1Z,2,REGULAR,substitution,in,[],1627742,,,1610612743,40,37,2024-11-16T01:47:54Z,2250000,False,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,,,,,,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
227,PT06M40.00S,2024-11-16T01:48:12.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,29.25427069645204,26.225490196078432,1610612743,40,40,2024-11-16T01:48:16Z,2260000,False,119.0,222.0,1,left,M. Porter Jr. 25' 3PT  (14 PTS) (J. Murray 3 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,25.23,Made,14.0,Porter Jr.,M. Porter Jr.,J. Murray,1627750.0,3.0,,,,,,,,,,,,,,,
229,PT06M13.00S,2024-11-16T01:48:38.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,89.43823915900131,62.99019607843137,1610612740,42,40,2024-11-16T01:49:56Z,2280000,False,65.0,47.0,1,right,B. Ingram 8' turnaround fadeaway Jump Shot (15 PTS),[1627742],1610612740.0,NOP,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Right,8.01,Made,15.0,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
230,PT05M56.00S,2024-11-16T01:48:55.5Z,2,REGULAR,3pt,Jump Shot,[],1631124,33.98488830486202,48.03921568627451,1610612743,42,40,2024-11-16T01:49:01Z,2290000,False,10.0,267.0,1,left,MISS J. Strawther 26' 3PT,[1631124],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,26.72,Missed,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,
231,PT05M51.00S,2024-11-16T01:49:00.5Z,2,REGULAR,rebound,defensive,[],1642274,,,1610612740,42,40,2024-11-16T01:49:01Z,2300000,False,,,0,,Y. Missi REBOUND (Off:1 Def:4),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Missi,Y. Missi,,,,,,,230.0,5.0,4.0,1.0,,,,,,,,
232,PT05M43.00S,2024-11-16T01:49:08.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,91.40932982917214,51.470588235294116,1610612740,44,40,2024-11-16T01:51:26Z,2310000,False,7.0,28.0,1,right,B. Ingram driving finger roll Layup (17 PTS),[1627742],1610612740.0,NOP,driving finger roll,,,,,,Restricted Area,0-8 Center,2.93,Made,17.0,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
234,PT05M33.00S,2024-11-16T01:49:19.2Z,2,REGULAR,3pt,Jump Shot,[],1627750,31.882391590013142,63.725490196078425,1610612743,44,40,2024-11-16T01:49:24Z,2330000,False,-69.0,247.0,1,left,MISS J. Murray 25' step back 3PT,[1627750],1610612743.0,DEN,step back,,,,,,Above the Break 3,24+ Center,25.65,Missed,,Murray,J. Murray,,,,,,,,,,,,,,,,,,
235,PT05M30.00S,2024-11-16T01:49:22.2Z,2,REGULAR,rebound,defensive,[],1642274,,,1610612740,44,40,2024-11-16T01:49:24Z,2340000,False,,,0,,Y. Missi REBOUND (Off:1 Def:5),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Missi,Y. Missi,,,,,,,234.0,6.0,5.0,1.0,,,,,,,,
236,PT05M18.00S,2024-11-16T01:49:34.1Z,2,REGULAR,3pt,Jump Shot,[],1629669,71.82982917214193,76.22549019607843,1610612740,47,40,2024-11-16T01:49:38Z,2350000,False,131.0,212.0,1,right,J. Nowell 24' 3PT  (3 PTS) (B. Boston Jr. 1 AST),"[1629669, 1630527]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,24.95,Made,3.0,Nowell,J. Nowell,B. Boston Jr.,1630527.0,1.0,,,,,,,,,,,,,,,
238,PT05M16.00S,2024-11-16T01:49:40.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,47,40,2024-11-16T01:49:40Z,2370000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT05M16.00S,2024-11-16T01:50:38.2Z,2,REGULAR,substitution,out,[],1629008,,,1610612743,47,40,2024-11-16T01:52:24Z,2380000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,,,,,,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,
242,PT05M16.00S,2024-11-16T01:50:38.2Z,2,REGULAR,substitution,out,[],1627750,,,1610612743,47,40,2024-11-16T01:52:24Z,2390000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,
243,PT05M16.00S,2024-11-16T01:50:38.2Z,2,REGULAR,substitution,in,[],201566,,,1610612743,47,40,2024-11-16T01:52:24Z,2400000,False,,,0,,SUB in: R. Westbrook,[201566],1610612743.0,DEN,,,,,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,
244,PT05M16.00S,2024-11-16T01:50:38.2Z,2,REGULAR,substitution,in,[],1631212,,,1610612743,47,40,2024-11-16T01:52:24Z,2410000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,
245,PT05M01.00S,2024-11-16T01:52:55.3Z,2,REGULAR,turnover,out-of-bounds,[],203967,,,1610612743,47,40,2024-11-16T01:53:04Z,2420000,False,,,0,,D. Šarić bad pass out-of-bounds TURNOVER (2 TO),[203967],1610612743.0,DEN,bad pass,,,,,,Restricted Area,0-8 Center,,,,Šarić,D. Šarić,,,,2.0,,,,,,,202026.0,,,,,,,
246,PT04M43.00S,2024-11-16T01:53:22.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629669,86.67871222076215,44.36274509803921,1610612740,47,40,2024-11-16T01:53:48Z,2430000,False,-28.0,73.0,1,right,MISS J. Nowell 7' turnaround fadeaway Shot,[1629669],1610612740.0,NOP,turnaround fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,7.8,Missed,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,
247,PT04M40.00S,2024-11-16T01:53:25.8Z,2,REGULAR,rebound,defensive,[],1631212,,,1610612743,47,40,2024-11-16T01:53:48Z,2440000,False,,,0,,P. Watson REBOUND (Off:0 Def:5),[1631212],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Watson,P. Watson,,,,,,,246.0,5.0,5.0,0.0,,,,,,,,
248,PT04M37.00S,2024-11-16T01:53:29.1Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631212,6.915243101182654,51.225490196078425,1610612743,47,42,2024-11-16T01:54:08Z,2450000,False,-6.0,13.0,1,left,P. Watson running Layup (7 PTS),[1631212],1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,1.39,Made,7.0,Watson,P. Watson,,,,,,,,,,,,,,,,,,
249,PT04M11.00S,2024-11-16T01:53:54.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629750,91.14651773981603,48.77450980392157,1610612740,47,42,2024-11-16T01:54:01Z,2460000,False,-6.0,31.0,1,right,MISS J. Green DUNK,[1629750],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,3.13,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,,
250,PT04M07.00S,2024-11-16T01:53:58.0Z,2,REGULAR,rebound,defensive,[],203967,,,1610612743,47,42,2024-11-16T01:54:01Z,2470000,False,,,0,,D. Šarić REBOUND (Off:0 Def:3),[203967],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,Šarić,D. Šarić,,,,,,,249.0,3.0,3.0,0.0,,,,,,,,
251,PT03M55.00S,2024-11-16T01:54:35.9Z,2,REGULAR,substitution,out,[],1631124,,,1610612743,47,42,2024-11-16T01:54:40Z,2480000,False,,,0,,SUB out: J. Strawther,[1631124],1610612743.0,DEN,,,,,,,,,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,
252,PT03M55.00S,2024-11-16T01:54:35.9Z,2,REGULAR,substitution,in,[],1627750,,,1610612743,47,42,2024-11-16T01:54:40Z,2490000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,
