actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
168,PT10M57.00S,2023-11-02T00:40:00.1Z,2,REGULAR,turnover,bad pass,[],1627750,,,1610612743,30,23,2023-11-02T00:40:03Z,1620000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1629003]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,Milton,1629003.0,,
169,PT10M57.00S,2023-11-02T00:40:00.1Z,2,REGULAR,steal,,[],1629003,,,1610612750,30,23,2023-11-02T00:40:01Z,1630000,False,,,0,,S. Milton STEAL (1 STL),[1629003],1610612750.0,MIN,,,,Milton,S. Milton,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
170,PT10M50.00S,2023-11-02T00:40:07.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629675,7.30946123521682,53.67647058823529,1610612750,32,23,2023-11-02T00:40:30Z,1640000,False,-18.0,16.0,1,left,N. Reid driving reverse Layup (5 PTS) (K. Anderson 2 AST),"[1629675, 203937]",1610612750.0,MIN,driving reverse,,,Reid,N. Reid,,,,,,Restricted Area,0-8 Center,2.45,Made,,,,,5.0,K. Anderson,203937.0,2.0,,,,,,,,,
172,PT10M50.00S,2023-11-02T00:40:11.3Z,2,REGULAR,foul,personal,['1freethrow'],1630192,,,1610612750,32,23,2023-11-02T00:40:18Z,1660000,False,,,0,,Z. Nnaji shooting personal FOUL (2 PF) (Reid 1 FT),"[1630192, 1629675]",1610612743.0,DEN,shooting,,,Nnaji,Z. Nnaji,,,,,203054.0,Restricted Area,0-8 Center,,,,,,,,,,,2.0,0.0,Reid,1629675.0,,,,,
174,PT10M50.00S,2023-11-02T00:40:36.5Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1629675,,,1610612750,33,23,2023-11-02T00:40:36Z,1680000,False,,,0,,N. Reid Free Throw 1 of 1 (6 PTS),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,
175,PT10M37.00S,2023-11-02T00:40:52.2Z,2,REGULAR,2pt,Jump Shot,[],202704,76.69185282522996,78.18627450980392,1610612743,33,25,2023-11-02T00:40:57Z,1690000,False,141.0,167.0,1,right,R. Jackson 21' step back Jump Shot (2 PTS),[202704],1610612743.0,DEN,step back,,,Jackson,R. Jackson,,,,,,Mid-Range,16-24 Right Center,21.82,Made,,,,,2.0,,,,,,,,,,,,
176,PT10M24.00S,2023-11-02T00:41:05.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,10.85742444152431,37.5,1610612750,33,25,2023-11-02T00:41:09Z,1700000,False,62.0,50.0,1,left,MISS K. Towns 7' driving Hook,[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,In The Paint (Non-RA),0-8 Center,7.98,Missed,,,,,,,,,,,,,,,,,
177,PT10M22.00S,2023-11-02T00:41:07.0Z,2,REGULAR,rebound,defensive,[],1631212,,,1610612743,33,25,2023-11-02T00:41:09Z,1710000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,In The Paint (Non-RA),0-8 Center,,,176.0,1.0,1.0,0.0,,,,,,,,,,,,,
178,PT10M03.00S,2023-11-02T00:41:28.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,91.40932982917214,52.69607843137255,1610612743,33,25,2023-11-02T00:42:55Z,1720000,False,13.0,28.0,1,right,MISS C. Braun driving Layup - blocked,"[1631128, 1629638]",1610612743.0,DEN,driving,,,Braun,C. Braun,,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,,,,,,,,,Alexander-Walker,1629638.0
179,PT10M03.00S,2023-11-02T00:41:28.2Z,2,REGULAR,block,,[],1629638,,,1610612743,33,25,2023-11-02T00:41:31Z,1730000,False,,,0,,N. Alexander-Walker BLOCK (1 BLK),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
180,PT10M02.00S,2023-11-02T00:41:29.2Z,2,REGULAR,rebound,offensive,[],1630192,,,1610612743,33,25,2023-11-02T00:42:55Z,1740000,False,,,0,,Z. Nnaji REBOUND (Off:1 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,Restricted Area,0-8 Center,,,178.0,2.0,1.0,1.0,,,,,,,,,,,,,
185,PT10M02.00S,2023-11-02T00:41:32.5Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1630192,91.27792378449409,25.245098039215684,1610612743,33,25,2023-11-02T00:43:03Z,1745000,False,-124.0,29.0,1,right,MISS Z. Nnaji 12' Jump Shot,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,Mid-Range,8-16 Left,12.73,Missed,,,,,,,,,,,,,,,,,
186,PT10M01.00S,2023-11-02T00:41:33.5Z,2,REGULAR,rebound,offensive,[],1631128,,,1610612743,33,25,2023-11-02T00:43:03Z,1747500,False,,,0,,C. Braun REBOUND (Off:1 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,Mid-Range,8-16 Left,,,185.0,3.0,2.0,1.0,,,,,,,,,,,,,
181,PT10M00.00S,2023-11-02T00:41:36.9Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612743,33,25,2023-11-02T00:41:42Z,1750000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,101283.0,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,
182,PT09M42.00S,2023-11-02T00:42:08.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,7.835085413929041,53.18627450980392,1610612750,35,25,2023-11-02T00:42:26Z,1760000,False,-16.0,21.0,1,left,K. Towns driving Layup (6 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,Restricted Area,0-8 Center,2.64,Made,,,,,6.0,,,,,,,,,,,,
183,PT09M33.00S,2023-11-02T00:42:17.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,93.24901445466492,50.245098039215684,1610612743,35,27,2023-11-02T00:42:22Z,1770000,False,1.0,11.0,1,right,C. Braun driving finger roll Layup (4 PTS) (R. Jackson 4 AST),"[1631128, 202704]",1610612743.0,DEN,driving finger roll,,,Braun,C. Braun,,,,,,Restricted Area,0-8 Center,1.11,Made,,,,,4.0,R. Jackson,202704.0,4.0,,,,,,,,,
187,PT09M14.00S,2023-11-02T00:42:35.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,10.38107752956636,49.12300857843137,1610612750,37,27,2023-11-02T00:42:44Z,1790000,False,4.0,45.0,1,left,N. Reid Layup (8 PTS),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,In The Paint (Non-RA),0-8 Center,4.53,Made,,,,,8.0,,,,,,,,,,,,
188,PT09M00.00S,2023-11-02T00:42:51.9Z,2,REGULAR,foul,personal,[],1629638,,,1610612743,37,27,2023-11-02T00:43:09Z,1800000,False,,,0,,N. Alexander-Walker personal FOUL (1 PF),"[1629638, 1627750]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,1193.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Murray,1627750.0,,,,,
190,PT08M45.00S,2023-11-02T00:43:27.2Z,2,REGULAR,3pt,Jump Shot,[],1630192,68.01905387647832,57.107843137254896,1610612743,37,30,2023-11-02T00:43:30Z,1820000,False,36.0,248.0,1,right,Z. Nnaji 25' 3PT  (5 PTS) (P. Watson 1 AST),"[1630192, 1631212]",1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,Above the Break 3,24+ Center,25.06,Made,,,,,5.0,P. Watson,1631212.0,1.0,,,,,,,,,
192,PT08M26.00S,2023-11-02T00:43:46.4Z,2,REGULAR,2pt,Hook,[],1626157,10.068988173455978,29.411764705882355,1610612750,37,30,2023-11-02T00:43:50Z,1840000,False,103.0,42.0,1,left,MISS K. Towns 11' Hook,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Mid-Range,8-16 Right,11.12,Missed,,,,,,,,,,,,,,,,,
193,PT08M23.00S,2023-11-02T00:43:49.4Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,37,30,2023-11-02T00:43:50Z,1850000,False,,,0,,C. Braun REBOUND (Off:1 Def:3),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,Mid-Range,8-16 Right,,,192.0,4.0,3.0,1.0,,,,,,,,,,,,,
194,PT08M21.00S,2023-11-02T00:43:53.0Z,2,REGULAR,foul,offensive,[],1631128,,,1610612743,37,30,2023-11-02T00:44:01Z,1860000,False,,,0,,C. Braun charge offensive FOUL (1 PF),"[1631128, 1629003]",1610612743.0,DEN,charge,,,Braun,C. Braun,,,,,101283.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Milton,1629003.0,,,,,
196,PT08M21.00S,2023-11-02T00:43:53.0Z,2,REGULAR,turnover,offensive foul,[],1631128,,,1610612743,37,30,2023-11-02T00:43:53Z,1880000,False,,,0,,C. Braun offensive foul TURNOVER (1 TO),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,101283.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,,,,
197,PT08M04.00S,2023-11-02T00:44:35.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629638,7.440867279894875,54.41176470588235,1610612750,37,30,2023-11-02T00:44:40Z,1890000,False,-22.0,17.0,1,left,MISS N. Alexander-Walker driving Layup,[1629638],1610612750.0,MIN,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,,Restricted Area,0-8 Center,2.81,Missed,,,,,,,,,,,,,,,,,
199,PT08M00.00S,2023-11-02T00:44:39.6Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,37,30,2023-11-02T00:48:03Z,1910000,False,,,0,,C. Braun REBOUND (Off:1 Def:4),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,Restricted Area,0-8 Center,,,197.0,5.0,4.0,1.0,,,,,,,,,,,,,
202,PT07M56.00S,2023-11-02T00:44:43.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627750,93.51182654402102,50.98039215686274,1610612743,37,30,2023-11-02T00:44:51Z,1940000,False,5.0,8.0,1,right,MISS J. Murray driving Layup,[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,
203,PT07M51.00S,2023-11-02T00:44:48.3Z,2,REGULAR,rebound,offensive,[],1630192,,,1610612743,37,30,2023-11-02T00:44:48Z,1950000,False,,,0,,Z. Nnaji REBOUND (Off:2 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,Restricted Area,0-8 Center,,,202.0,3.0,1.0,2.0,,,,,,,,,,,,,
204,PT07M51.00S,2023-11-02T00:44:48.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630192,94.40999984741211,50.0,1610612743,37,32,2023-11-02T00:44:48Z,1960000,False,0.0,0.0,1,right,Z. Nnaji tip DUNK (7 PTS),[1630192],1610612743.0,DEN,tip,,,Nnaji,Z. Nnaji,,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,7.0,,,,,,,,,,,,
205,PT07M41.00S,2023-11-02T00:44:58.5Z,2,REGULAR,3pt,Jump Shot,[],203937,7.178055190538765,4.166666666666666,1610612750,40,32,2023-11-02T00:45:02Z,1970000,False,229.0,15.0,1,left,K. Anderson 3PT  (5 PTS) (N. Alexander-Walker 1 AST),"[203937, 1629638]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,Right Corner 3,24+ Right,22.97,Made,,,,,5.0,N. Alexander-Walker,1629638.0,1.0,,,,,,,,,
207,PT07M16.00S,2023-11-02T00:45:24.4Z,2,REGULAR,3pt,Jump Shot,[],1627750,69.46452036793693,67.8921568627451,1610612743,40,32,2023-11-02T00:45:28Z,1990000,False,89.0,235.0,1,right,MISS J. Murray 25' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Right Center,25.1,Missed,,,,,,,,,,,,,,,,,
208,PT07M12.00S,2023-11-02T00:45:28.4Z,2,REGULAR,rebound,defensive,[],1626157,,,1610612750,40,32,2023-11-02T00:45:28Z,2000000,False,,,0,,K. Towns REBOUND (Off:1 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Above the Break 3,24+ Right Center,,,207.0,4.0,3.0,1.0,,,,,,,,,,,,,
209,PT06M58.00S,2023-11-02T00:45:41.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,6.258212877792378,52.450980392156865,1610612750,40,32,2023-11-02T00:45:44Z,2010000,False,-12.0,6.0,1,left,MISS N. Reid Layup,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,Restricted Area,0-8 Center,1.38,Missed,,,,,,,,,,,,,,,,,
210,PT06M57.00S,2023-11-02T00:45:42.5Z,2,REGULAR,rebound,offensive,[],1629675,,,1610612750,40,32,2023-11-02T00:45:44Z,2020000,False,,,0,,N. Reid REBOUND (Off:1 Def:2),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,Restricted Area,0-8 Center,,,209.0,3.0,2.0,1.0,,,,,,,,,,,,,
211,PT06M56.00S,2023-11-02T00:45:44.1Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629675,7.440867279894875,50.98039215686274,1610612750,42,32,2023-11-02T00:45:48Z,2030000,False,-5.0,17.0,1,left,N. Reid turnaround Hook (10 PTS),[1629675],1610612750.0,MIN,turnaround,,,Reid,N. Reid,,,,,,Restricted Area,0-8 Center,1.81,Made,,,,,10.0,,,,,,,,,,,,
212,PT06M55.00S,2023-11-02T00:45:48.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,42,32,2023-11-02T00:45:48Z,2040000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,out,[],203937,,,1610612743,42,32,2023-11-02T00:48:38Z,2050000,False,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,out,[],1629638,,,1610612743,42,32,2023-11-02T00:48:38Z,2060000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,out,[],1629675,,,1610612743,42,32,2023-11-02T00:48:38Z,2070000,False,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,out,[],1631128,,,1610612743,42,32,2023-11-02T00:48:38Z,2080000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,out,[],1631212,,,1610612743,42,32,2023-11-02T00:48:38Z,2090000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,out,[],1630192,,,1610612743,42,32,2023-11-02T00:48:38Z,2100000,False,,,0,,SUB out: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,out,[],1627750,,,1610612743,42,32,2023-11-02T00:48:38Z,2110000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,in,[],1630183,,,1610612743,42,32,2023-11-02T00:48:38Z,2120000,False,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,in,[],201144,,,1610612743,42,32,2023-11-02T00:48:38Z,2130000,False,,,0,,SUB in: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,in,[],203497,,,1610612743,42,32,2023-11-02T00:48:38Z,2140000,False,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,in,[],203932,,,1610612743,42,32,2023-11-02T00:48:38Z,2150000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,in,[],1629008,,,1610612743,42,32,2023-11-02T00:48:38Z,2160000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,in,[],203999,,,1610612743,42,32,2023-11-02T00:48:38Z,2170000,False,,,0,,SUB in: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M55.00S,2023-11-02T00:48:04.8Z,2,REGULAR,substitution,in,[],203484,,,1610612743,42,32,2023-11-02T00:48:38Z,2180000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M39.00S,2023-11-02T00:49:03.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203999,90.62089356110381,55.392156862745104,1610612743,42,32,2023-11-02T00:49:08Z,2190000,False,27.0,36.0,1,right,MISS N. Jokic Layup - blocked,"[203999, 1630183]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),0-8 Center,4.48,Missed,,,,,,,,,,,,,,,,McDaniels,1630183.0
229,PT06M39.00S,2023-11-02T00:49:03.4Z,2,REGULAR,block,,[],1630183,,,1610612743,42,32,2023-11-02T00:49:18Z,2200000,False,,,0,,J. McDaniels BLOCK (2 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
230,PT06M35.00S,2023-11-02T00:49:07.4Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,42,32,2023-11-02T00:49:08Z,2210000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,In The Paint (Non-RA),0-8 Center,,,228.0,2.0,1.0,1.0,,,,,,,,,,,,,
231,PT06M31.00S,2023-11-02T00:49:11.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1626157,32.276609724047304,58.57843137254902,1610612750,45,32,2023-11-02T00:49:16Z,2220000,False,-43.0,251.0,1,left,K. Towns 25' 3PT  (9 PTS) (J. McDaniels 1 AST),"[1626157, 1630183]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Above the Break 3,24+ Center,25.45,Made,,,,,9.0,J. McDaniels,1630183.0,1.0,,,,,,,,,
233,PT06M19.00S,2023-11-02T00:49:22.0Z,2,REGULAR,2pt,Jump Shot,[],202704,93.38042049934296,17.401960784313726,1610612743,45,32,2023-11-02T00:49:25Z,2240000,False,-163.0,10.0,1,right,MISS R. Jackson 16' pullup Shot,[202704],1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,,Mid-Range,16-24 Left,16.33,Missed,,,,,,,,,,,,,,,,,
234,PT06M17.00S,2023-11-02T00:49:24.0Z,2,REGULAR,rebound,defensive,[],1630183,,,1610612750,45,32,2023-11-02T00:49:25Z,2250000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:3),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,Mid-Range,16-24 Left,,,233.0,3.0,3.0,0.0,,,,,,,,,,,,,
235,PT06M03.00S,2023-11-02T00:49:38.8Z,2,REGULAR,2pt,Jump Shot,[],1629003,21.632720105124836,52.94117647058824,1610612750,45,32,2023-11-02T00:49:41Z,2260000,False,-15.0,151.0,1,left,MISS S. Milton 15' turnaround Shot,[1629003],1610612750.0,MIN,turnaround,,,Milton,S. Milton,,,,,,Mid-Range,8-16 Center,15.15,Missed,,,,,,,,,,,,,,,,,
236,PT06M01.00S,2023-11-02T00:49:40.8Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,45,32,2023-11-02T00:49:41Z,2270000,False,,,0,,N. Jokic REBOUND (Off:2 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Mid-Range,8-16 Center,,,235.0,6.0,4.0,2.0,,,,,,,,,,,,,
237,PT05M49.00S,2023-11-02T00:49:58.9Z,2,REGULAR,turnover,3-second-violation,[],203999,,,1610612743,45,32,2023-11-02T00:50:04Z,2280000,False,,,0,,N. Jokic 3-second-violation TURNOVER (4 TO),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,101283.0,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,4.0,,,,
238,PT05M38.00S,2023-11-02T00:50:36.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626157,8.754927726675426,64.4607843137255,1610612750,47,32,2023-11-02T00:51:02Z,2290000,False,-72.0,30.0,1,left,K. Towns 7' driving floating Jump Shot (11 PTS) (J. McDaniels 2 AST),"[1626157, 1630183]",1610612750.0,MIN,driving floating,,,Towns,K. Towns,,,,,,In The Paint (Non-RA),0-8 Center,7.82,Made,,,,,11.0,J. McDaniels,1630183.0,2.0,,,,,,,,,
240,PT05M38.00S,2023-11-02T00:50:39.0Z,2,REGULAR,foul,personal,['1freethrow'],203932,,,1610612750,47,32,2023-11-02T00:50:44Z,2310000,False,,,0,,A. Gordon shooting personal FOUL (2 PF) (Towns 1 FT),"[203932, 1626157]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,1193.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,0.0,Towns,1626157.0,,,,,
242,PT05M38.00S,2023-11-02T00:50:45.1Z,2,REGULAR,substitution,out,[],1629003,,,1610612750,47,32,2023-11-02T00:51:36Z,2330000,False,,,0,,SUB out: S. Milton,[1629003],1610612750.0,MIN,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT05M38.00S,2023-11-02T00:50:45.1Z,2,REGULAR,substitution,in,[],1630162,,,1610612750,47,32,2023-11-02T00:51:36Z,2340000,False,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M38.00S,2023-11-02T00:51:11.3Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1626157,,,1610612750,48,32,2023-11-02T00:51:11Z,2350000,False,,,0,,K. Towns Free Throw 1 of 1 (12 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,
245,PT05M28.00S,2023-11-02T00:51:31.0Z,2,REGULAR,foul,technical,['1freethrow'],203497,,,1610612743,48,32,2023-11-02T00:51:44Z,2360000,False,,,0,,R. Gobert defensive-3-second technical FOUL (1 Tech),[203497],1610612750.0,MIN,defensive-3-second,,,Gobert,R. Gobert,,,,,1193.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,0.0,1.0,,,,,,,
246,PT05M28.00S,2023-11-02T00:51:38.8Z,2,REGULAR,substitution,out,[],202704,,,1610612743,48,32,2023-11-02T00:51:41Z,2370000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT05M28.00S,2023-11-02T00:51:38.8Z,2,REGULAR,substitution,in,[],1627750,,,1610612743,48,32,2023-11-02T00:51:41Z,2380000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT05M28.00S,2023-11-02T00:51:49.7Z,2,REGULAR,freethrow,1 of 1,[],203484,,,1610612743,48,33,2023-11-02T00:51:49Z,2390000,False,,,0,,K. Caldwell-Pope technical Free Throw 1 of 1 (3 PTS),[203484],1610612743.0,DEN,technical,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
249,PT05M23.00S,2023-11-02T00:52:12.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,85.3646517739816,39.46078431372549,1610612743,48,35,2023-11-02T00:52:15Z,2400000,False,-53.0,85.0,1,right,N. Jokic 10' driving floating Jump Shot (15 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),8-16 Center,10.01,Made,,,,,15.0,,,,,,,,,,,,
250,PT05M09.00S,2023-11-02T00:52:26.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,14.931011826544022,37.5,1610612750,48,35,2023-11-02T00:52:35Z,2410000,False,62.0,88.0,1,left,MISS K. Towns 10' Hook,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,In The Paint (Non-RA),8-16 Right,10.79,Missed,,,,,,,,,,,,,,,,,
251,PT05M06.00S,2023-11-02T00:52:29.6Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,48,35,2023-11-02T01:03:15Z,2420000,False,,,0,,N. Jokic REBOUND (Off:2 Def:5),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),8-16 Right,,,250.0,7.0,5.0,2.0,,,,,,,,,,,,,
