actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
175,PT09M06.00S,2021-11-11T01:13:58.5Z,2,REGULAR,foul,offensive,[],1630173,,,1610612761,35,31,2021-11-11T01:14:10Z,1750000,,,0,,P. Achiuwa charge offensive FOUL (1 PF),"[1630173, 1629641]",1610612761.0,TOR,charge,,,Achiuwa,P. Achiuwa,,,,,201638.0,1.0,0.0,Langford,1629641.0,,,,,,,,,,,,,,,,
177,PT09M06.00S,2021-11-11T01:13:58.5Z,2,REGULAR,turnover,offensive foul,[],1630173,,,1610612761,35,31,2021-11-11T01:13:58Z,1770000,,,0,,P. Achiuwa offensive foul TURNOVER (1 TO),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,201638.0,,,,,,,,,,,,,,,1.0,,,,,
178,PT08M50.00S,2021-11-11T01:14:39.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201143,90.88370565045992,64.95098039215686,1610612738,35,31,2021-11-11T01:14:46Z,1780000,75.0,33.0,1,right,MISS A. Horford 8' driving Layup - blocked,"[201143, 1630173]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,,,,,,8.18,Missed,,,,,,,,,,Achiuwa,1630173.0,,,
179,PT08M50.00S,2021-11-11T01:14:39.8Z,2,REGULAR,block,,[],1630173,,,1610612738,35,31,2021-11-11T01:14:41Z,1790000,,,0,,P. Achiuwa BLOCK (2 BLK),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT08M50.00S,2021-11-11T01:14:39.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,35,31,2021-11-11T01:14:46Z,1800000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,178.0,,,,,,,,,
181,PT08M50.00S,2021-11-11T01:14:44.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,35,31,2021-11-11T01:14:44Z,1810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT08M50.00S,2021-11-11T01:14:52.3Z,2,REGULAR,substitution,out,[],1630625,,,1610612738,35,31,2021-11-11T01:14:56Z,1820000,,,0,,SUB out: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT08M50.00S,2021-11-11T01:14:52.3Z,2,REGULAR,substitution,in,[],1630201,,,1610612738,35,31,2021-11-11T01:14:56Z,1830000,,,0,,SUB in: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT08M45.00S,2021-11-11T01:15:08.7Z,2,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",201143,86.94152431011827,77.94117647058823,1610612738,37,31,2021-11-11T01:15:15Z,1840000,140.0,70.0,1,right,A. Horford 15' Jump Shot (8 PTS) (D. Schroder 2 AST),"[201143, 203471]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,15.63,Made,8.0,D. Schroder,203471.0,2.0,,,,,,,,,,
186,PT08M27.00S,2021-11-11T01:15:27.4Z,2,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612761,37,31,2021-11-11T01:19:10Z,1852500,,,0,,R. Langford shooting personal FOUL (1 PF) (Barnes 2 FT),"[1629641, 1630567]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,202056.0,1.0,0.0,Barnes,1630567.0,,,,,,,,,,,,,,,,
190,PT08M27.00S,2021-11-11T01:15:54.9Z,2,REGULAR,substitution,out,[],1630174,,,1610612761,37,31,2021-11-11T01:16:23Z,1855000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M27.00S,2021-11-11T01:15:54.9Z,2,REGULAR,substitution,out,[],201143,,,1610612761,37,31,2021-11-11T01:16:23Z,1857500,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT08M27.00S,2021-11-11T01:15:54.9Z,2,REGULAR,substitution,out,[],203471,,,1610612761,37,31,2021-11-11T01:16:23Z,1858750,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT08M27.00S,2021-11-11T01:15:54.9Z,2,REGULAR,substitution,out,[],1630173,,,1610612761,37,31,2021-11-11T01:16:23Z,1859375,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT08M27.00S,2021-11-11T01:15:54.9Z,2,REGULAR,substitution,in,[],1629057,,,1610612761,37,31,2021-11-11T01:16:23Z,1859687,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT08M27.00S,2021-11-11T01:15:54.9Z,2,REGULAR,substitution,in,[],1628369,,,1610612761,37,31,2021-11-11T01:16:23Z,1859843,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT08M27.00S,2021-11-11T01:15:54.9Z,2,REGULAR,substitution,in,[],203935,,,1610612761,37,31,2021-11-11T01:16:23Z,1859921,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT08M27.00S,2021-11-11T01:15:54.9Z,2,REGULAR,substitution,in,[],1628449,,,1610612761,37,31,2021-11-11T01:16:23Z,1859960,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M27.00S,2021-11-11T01:16:47.8Z,2,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,37,31,2021-11-11T01:43:59Z,1880000,,,0,,MISS S. Barnes Free Throw 1 of 2,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,Missed,,,,,,,,,,,,,,
189,PT08M27.00S,2021-11-11T01:16:47.8Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612761,37,31,2021-11-11T01:43:59Z,1890000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,
198,PT08M27.00S,2021-11-11T01:16:47.8Z,2,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,37,32,2021-11-11T01:43:59Z,1980000,,,0,,S. Barnes Free Throw 2 of 2 (9 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,
199,PT08M09.00S,2021-11-11T01:16:48.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203935,91.27792378449409,57.107843137254896,1610612738,39,32,2021-11-11T01:44:19Z,1990000,36.0,29.0,1,right,M. Smart cutting Layup (4 PTS) (J. Tatum 4 AST),"[203935, 1628369]",1610612738.0,BOS,cutting,,,Smart,M. Smart,,,,,,,,,,4.62,Made,4.0,J. Tatum,1628369.0,4.0,,,,,,,,,,
201,PT07M51.00S,2021-11-11T01:17:13.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,7.178055190538765,56.127450980392155,1610612761,39,32,2021-11-11T01:44:31Z,2010000,-31.0,15.0,1,left,MISS S. Barnes driving Layup,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,,,,,,3.41,Missed,,,,,,,,,,,,,,
202,PT07M49.00S,2021-11-11T01:17:15.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,39,32,2021-11-11T01:44:31Z,2020000,,,0,,J. Tatum REBOUND (Off:1 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,201.0,6.0,5.0,1.0,,,,,,
203,PT07M44.00S,2021-11-11T01:17:13.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629684,90.22667542706965,40.19607843137255,1610612738,41,32,2021-11-11T01:17:22Z,2030000,-49.0,39.0,1,right,G. Williams 6' turnaround Jump Shot (2 PTS) (M. Smart 1 AST),"[1629684, 203935]",1610612738.0,BOS,turnaround,,,Williams,G. Williams,,,,,,,,,,6.29,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,
205,PT07M29.00S,2021-11-11T01:17:29.5Z,2,REGULAR,turnover,bad pass,[],1627832,,,1610612761,41,32,2021-11-11T01:17:37Z,2050000,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 203935]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,1.0,,,Smart,203935.0,
206,PT07M29.00S,2021-11-11T01:17:29.5Z,2,REGULAR,steal,,[],203935,,,1610612738,41,32,2021-11-11T01:17:31Z,2060000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M27.00S,2021-11-11T01:17:33.4Z,2,REGULAR,foul,personal,['2freethrow'],1630201,,,1610612738,41,32,2021-11-11T01:20:04Z,2070000,,,0,,M. Flynn flagrant-type-1 personal FOUL (1 PF) (Smart 2 FT),"[1630201, 203935]",1610612761.0,TOR,flagrant-type-1,,,Flynn,M. Flynn,,,,,202056.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,,
209,PT07M27.00S,2021-11-11T01:18:04.7Z,2,REGULAR,instantreplay,request,[],0,,,1610612738,41,32,2021-11-11T01:19:56Z,2090000,,,0,,,[],,,overturned,,,,,,,,,2003.0,,,,,,,,,,,,,,,,,,,,Common Foul to Flagrant 1
210,PT07M27.00S,2021-11-11T01:20:42.5Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],203935,,,1610612738,41,32,2021-11-11T01:21:23Z,2100000,,,0,,MISS M. Smart flagrant Free Throw 1 of 2,[203935],1610612738.0,BOS,flagrant,,,Smart,M. Smart,,,,,,,,,,,Missed,,,,,,,,,,,,,,
211,PT07M27.00S,2021-11-11T01:20:42.5Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,41,32,2021-11-11T01:21:23Z,2110000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,
212,PT07M27.00S,2021-11-11T01:20:42.5Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],203935,,,1610612738,42,32,2021-11-11T01:21:23Z,2120000,,,0,,M. Smart flagrant Free Throw 2 of 2 (5 PTS),[203935],1610612738.0,BOS,flagrant,,,Smart,M. Smart,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
213,PT07M27.00S,2021-11-11T01:20:55.5Z,2,REGULAR,substitution,out,[],1629004,,,1610612761,42,32,2021-11-11T01:21:05Z,2130000,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M27.00S,2021-11-11T01:20:55.5Z,2,REGULAR,substitution,in,[],1627783,,,1610612761,42,32,2021-11-11T01:21:05Z,2140000,,,0,,SUB in: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M20.00S,2021-11-11T01:21:18.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,90.3580814717477,95.34313725490196,1610612738,42,32,2021-11-11T01:21:29Z,2150000,227.0,38.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,22.99,Missed,,,,,,,,,,,,,,
216,PT07M17.00S,2021-11-11T01:21:21.4Z,2,REGULAR,rebound,defensive,[],1630201,,,1610612761,42,32,2021-11-11T01:21:21Z,2160000,,,0,,M. Flynn REBOUND (Off:0 Def:1),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,215.0,1.0,1.0,0.0,,,,,,
217,PT07M10.00S,2021-11-11T01:21:28.9Z,2,REGULAR,3pt,Jump Shot,[],1628449,22.946780551905388,10.53921568627451,1610612761,42,32,2021-11-11T01:21:34Z,2170000,197.0,163.0,1,left,MISS C. Boucher 25' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,25.6,Missed,,,,,,,,,,,,,,
218,PT07M05.00S,2021-11-11T01:21:33.9Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,42,32,2021-11-11T01:21:34Z,2180000,,,0,,R. Williams III REBOUND (Off:3 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,217.0,4.0,1.0,3.0,,,,,,
219,PT06M53.00S,2021-11-11T01:21:44.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,92.06636005256242,53.18627450980392,1610612738,42,32,2021-11-11T01:21:59Z,2190000,16.0,22.0,1,right,MISS R. Langford cutting Layup,[1629641],1610612738.0,BOS,cutting,,,Langford,R. Langford,,,,,,,,,,2.72,Missed,,,,,,,,,,,,,,
220,PT06M48.00S,2021-11-11T01:21:49.3Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,42,32,2021-11-11T01:21:51Z,2200000,,,0,,R. Williams III REBOUND (Off:4 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,219.0,5.0,1.0,4.0,,,,,,
221,PT06M48.00S,2021-11-11T01:21:49.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,94.40999984741211,50.0,1610612738,44,32,2021-11-11T01:21:49Z,2210000,0.0,0.0,1,right,R. Williams III tip DUNK (8 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,,,,0.0,Made,8.0,,,,,,,,,,,,,
222,PT06M39.00S,2021-11-11T01:21:58.6Z,2,REGULAR,3pt,Jump Shot,[],1627832,24.655059132720105,86.02941176470588,1610612761,44,35,2021-11-11T01:22:07Z,2220000,-180.0,179.0,1,left,F. VanVleet 25' 3PT  (8 PTS) (S. Barnes 2 AST),"[1627832, 1630567]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,25.41,Made,8.0,S. Barnes,1630567.0,2.0,,,,,,,,,,
224,PT06M20.00S,2021-11-11T01:22:17.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,71.04139290407359,81.61764705882352,1610612738,44,35,2021-11-11T01:27:49Z,2240000,158.0,220.0,1,right,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,27.07,Missed,,,,,,,,,,,,,,
225,PT06M18.00S,2021-11-11T01:22:19.5Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,44,35,2021-11-11T01:22:24Z,2250000,,,0,,R. Williams III REBOUND (Off:5 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,224.0,6.0,1.0,5.0,,,,,,
226,PT06M17.00S,2021-11-11T01:22:21.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629057,93.11760840998686,62.5,1610612738,44,35,2021-11-11T01:22:28Z,2260000,62.0,12.0,1,right,MISS R. Williams III 6' Jump Shot,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,6.37,Missed,,,,,,,,,,,,,,
227,PT06M17.00S,2021-11-11T01:22:21.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,44,35,2021-11-11T01:22:28Z,2270000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,226.0,,,,,,,,,
228,PT06M16.00S,2021-11-11T01:22:28.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,44,35,2021-11-11T01:22:28Z,2280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M16.00S,2021-11-11T01:22:29.1Z,2,REGULAR,substitution,out,[],1629641,,,1610612738,44,35,2021-11-11T01:22:37Z,2290000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M16.00S,2021-11-11T01:22:29.1Z,2,REGULAR,substitution,out,[],1630567,,,1610612738,44,35,2021-11-11T01:22:37Z,2300000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M16.00S,2021-11-11T01:22:29.1Z,2,REGULAR,substitution,out,[],1627832,,,1610612738,44,35,2021-11-11T01:22:37Z,2310000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M16.00S,2021-11-11T01:22:29.1Z,2,REGULAR,substitution,in,[],1626196,,,1610612738,44,35,2021-11-11T01:22:37Z,2320000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M16.00S,2021-11-11T01:22:29.1Z,2,REGULAR,substitution,in,[],1628384,,,1610612738,44,35,2021-11-11T01:22:37Z,2330000,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT06M16.00S,2021-11-11T01:22:29.1Z,2,REGULAR,substitution,in,[],1629018,,,1610612738,44,35,2021-11-11T01:22:37Z,2340000,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M14.00S,2021-11-11T01:22:46.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,70.51576872536137,23.03921568627451,1610612738,44,35,2021-11-11T01:22:51Z,2350000,-135.0,225.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,26.2,Missed,,,,,,,,,,,,,,
236,PT06M10.00S,2021-11-11T01:22:50.3Z,2,REGULAR,rebound,defensive,[],1629018,,,1610612761,44,35,2021-11-11T01:22:51Z,2360000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:3),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,235.0,3.0,3.0,0.0,,,,,,
237,PT06M09.00S,2021-11-11T01:22:57.5Z,2,REGULAR,foul,personal,[],1628369,,,1610612761,44,35,2021-11-11T01:23:25Z,2370000,,,0,,J. Tatum personal FOUL (2 PF),"[1628369, 1629018]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,2003.0,2.0,0.0,Trent Jr.,1629018.0,,,,,,,,,,,,,,,,
239,PT06M00.00S,2021-11-11T01:23:25.0Z,2,REGULAR,2pt,Jump Shot,[],1627783,20.71287779237845,35.294117647058826,1610612761,44,35,2021-11-11T01:29:17Z,2390000,74.0,142.0,1,left,MISS P. Siakam 16' pullup Shot - blocked,"[1627783, 1629057]",1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,,,,,,16.01,Missed,,,,,,,,,,Williams III,1629057.0,,,
240,PT06M00.00S,2021-11-11T01:23:25.0Z,2,REGULAR,block,,[],1629057,,,1610612761,44,35,2021-11-11T01:23:29Z,2400000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT05M55.00S,2021-11-11T01:23:30.0Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,44,35,2021-11-11T01:23:33Z,2410000,,,0,,J. Tatum REBOUND (Off:1 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,239.0,7.0,6.0,1.0,,,,,,
242,PT05M54.00S,2021-11-11T01:23:30.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629057,92.72339027595268,48.77450980392157,1610612738,46,35,2021-11-11T01:23:38Z,2420000,-6.0,16.0,1,right,R. Williams III running DUNK (10 PTS) (J. Tatum 5 AST),"[1629057, 1628369]",1610612738.0,BOS,running,,,Williams III,R. Williams III,,,,,,,,,,1.7,Made,10.0,J. Tatum,1628369.0,5.0,,,,,,,,,,
244,PT05M38.00S,2021-11-11T01:23:48.9Z,2,REGULAR,foul,personal,[],1626196,,,1610612761,46,35,2021-11-11T01:23:58Z,2440000,,,0,,J. Richardson personal FOUL (2 PF),"[1626196, 1627783]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,202056.0,2.0,0.0,Siakam,1627783.0,,,,,,,,,,,,,,,,
246,PT05M26.00S,2021-11-11T01:24:23.7Z,2,REGULAR,foul,offensive,[],1627783,,,1610612761,46,35,2021-11-11T01:24:35Z,2460000,,,0,,P. Siakam charge offensive FOUL (2 PF),"[1627783, 1629684]",1610612761.0,TOR,charge,,,Siakam,P. Siakam,,,,,201638.0,2.0,0.0,Williams,1629684.0,,,,,,,,,,,,,,,,
248,PT05M26.00S,2021-11-11T01:24:23.7Z,2,REGULAR,turnover,offensive foul,[],1627783,,,1610612761,46,35,2021-11-11T01:24:23Z,2480000,,,0,,P. Siakam offensive foul TURNOVER (1 TO),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,201638.0,,,,,,,,,,,,,,,1.0,,,,,
249,PT05M07.00S,2021-11-11T01:24:59.6Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,90.62089356110381,25.98039215686275,1610612738,46,35,2021-11-11T01:25:04Z,2490000,-120.0,36.0,1,right,MISS J. Tatum 12' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,,,,,,12.53,Missed,,,,,,,,,,,,,,
250,PT05M04.00S,2021-11-11T01:25:02.6Z,2,REGULAR,rebound,defensive,[],1627783,,,1610612761,46,35,2021-11-11T01:25:04Z,2500000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,249.0,1.0,1.0,0.0,,,,,,
251,PT04M48.00S,2021-11-11T01:25:18.7Z,2,REGULAR,3pt,Jump Shot,[],1630201,32.14520367936925,34.80392156862745,1610612761,46,35,2021-11-11T01:25:23Z,2510000,76.0,250.0,1,left,MISS M. Flynn 26' step back 3PT,[1630201],1610612761.0,TOR,step back,,,Flynn,M. Flynn,,,,,,,,,,26.1,Missed,,,,,,,,,,,,,,
252,PT04M45.00S,2021-11-11T01:25:21.7Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,46,35,2021-11-11T01:25:23Z,2520000,,,0,,R. Williams III REBOUND (Off:5 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,251.0,7.0,2.0,5.0,,,,,,
253,PT04M37.00S,2021-11-11T01:25:29.3Z,2,REGULAR,2pt,Jump Shot,[],1626196,82.60512483574244,18.627450980392158,1610612738,48,35,2021-11-11T01:25:34Z,2530000,-157.0,111.0,1,right,J. Richardson 19' pullup Jump Shot (4 PTS) (M. Smart 2 AST),"[1626196, 203935]",1610612738.0,BOS,pullup,,,Richardson,J. Richardson,,,,,,,,,,19.22,Made,4.0,M. Smart,203935.0,2.0,,,,,,,,,,
255,PT04M36.00S,2021-11-11T01:25:36.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,48,35,2021-11-11T01:25:36Z,2550000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M36.00S,2021-11-11T01:27:49.8Z,2,REGULAR,substitution,out,[],1630201,,,1610612761,48,35,2021-11-11T01:28:11Z,2560000,,,0,,SUB out: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M36.00S,2021-11-11T01:27:49.8Z,2,REGULAR,substitution,out,[],1628449,,,1610612761,48,35,2021-11-11T01:28:11Z,2570000,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M36.00S,2021-11-11T01:27:49.8Z,2,REGULAR,substitution,in,[],1630567,,,1610612761,48,35,2021-11-11T01:28:11Z,2580000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M36.00S,2021-11-11T01:27:49.8Z,2,REGULAR,substitution,in,[],1627832,,,1610612761,48,35,2021-11-11T01:28:11Z,2590000,,,0,,SUB in: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT04M26.00S,2021-11-11T01:28:42.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,8.754927726675426,58.82352941176471,1610612761,48,37,2021-11-11T01:28:47Z,2600000,-44.0,30.0,1,left,P. Siakam driving finger roll Layup (4 PTS),[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,,,,,,5.32,Made,4.0,,,,,,,,,,,,,
261,PT04M16.00S,2021-11-11T01:28:55.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,91.01511169513797,48.529411764705884,1610612738,50,37,2021-11-11T01:29:00Z,2610000,-7.0,32.0,1,right,R. Williams III alley-oop DUNK (12 PTS) (M. Smart 3 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,,3.28,Made,12.0,M. Smart,203935.0,3.0,,,,,,,,,,
263,PT04M16.00S,2021-11-11T01:28:57.7Z,2,REGULAR,foul,personal,['1freethrow'],1630567,,,1610612738,50,37,2021-11-11T01:29:09Z,2630000,,,0,,S. Barnes shooting personal FOUL (2 PF) (Williams III 1 FT),"[1630567, 1629057]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,202056.0,2.0,0.0,Williams III,1629057.0,,,,,,,,,,,,,,,,
265,PT04M16.00S,2021-11-11T01:29:25.7Z,2,REGULAR,freethrow,1 of 1,[],1629057,,,1610612738,50,37,2021-11-11T01:29:29Z,2650000,,,0,,MISS R. Williams III Free Throw 1 of 1,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,Missed,,,,,,,,,,,,,,
