actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
55,PT07M30.00S,2024-02-29T00:47:03.2Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,14,13,2024-02-29T00:47:36Z,550000,False,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
57,PT07M30.00S,2024-02-29T00:47:03.2Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,14,14,2024-02-29T00:47:36Z,570000,False,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
58,PT07M15.00S,2024-02-29T00:47:38.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,87.86136662286465,54.41176470588235,1610612761,14,14,2024-02-29T00:47:43Z,580000,False,22.0,62.0,1,right,MISS J. Poeltl 6' turnaround Hook,[1627751],1610612761.0,TOR,turnaround,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,6.54,Missed,,,,,,,,,,,,,,,,
59,PT07M13.00S,2024-02-29T00:47:40.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,14,14,2024-02-29T00:47:43Z,590000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,
60,PT07M04.00S,2024-02-29T00:47:51.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629023,6.915243101182654,50.245098039215684,1610612742,14,16,2024-02-29T00:48:12Z,600000,False,-1.0,13.0,1,left,P. Washington alley-oop DUNK (10 PTS) (L. Doncic 3 AST),"[1629023, 1629029]",1610612742.0,DAL,alley-oop,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,1.26,Made,10.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,,
62,PT07M03.00S,2024-02-29T00:47:56.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,14,16,2024-02-29T00:47:56Z,620000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M49.00S,2024-02-29T00:51:16.1Z,1,REGULAR,2pt,Jump Shot,[],1630567,88.91261498028909,30.88235294117647,1610612761,16,16,2024-02-29T00:51:21Z,630000,False,-96.0,52.0,1,right,S. Barnes 10' turnaround fadeaway Jump Shot (4 PTS),[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,10.87,Made,4.0,,,,,,,,,,,,,,,
64,PT06M26.00S,2024-02-29T00:51:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,6.1268068331143235,44.85294117647059,1610612742,16,18,2024-02-29T00:51:44Z,640000,False,26.0,5.0,1,left,L. Doncic driving Layup (4 PTS) (K. Irving 1 AST),"[1629029, 202681]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,2.62,Made,4.0,K. Irving,202681.0,1.0,,,,,,,,,,,,
66,PT06M15.00S,2024-02-29T00:52:01.8Z,1,REGULAR,foul,personal,['2freethrow'],202681,,,1610612761,16,18,2024-02-29T00:52:11Z,660000,False,,,0,,K. Irving shooting personal FOUL (1 PF) (Trent Jr. 2 FT),"[202681, 1629018]",1610612742.0,DAL,shooting,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,2882.0,,,,,,,,,,,,,,1.0,0.0,Trent Jr.,1629018.0,,
68,PT06M15.00S,2024-02-29T00:52:26.3Z,1,REGULAR,freethrow,1 of 2,[],1629018,,,1610612761,17,18,2024-02-29T00:52:26Z,680000,False,,,0,,G. Trent Jr. Free Throw 1 of 2 (4 PTS),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
