actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
178,PT10M01.00S,2025-03-27T01:40:08.6Z,2,REGULAR,rebound,defensive,[],1626192,,,1610612749,40,33,2025-03-27T01:41:19Z,1770000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:2),[1626192],1610612749.0,MIL,,,,,,,Left Corner 3,24+ Left,,,,Connaughton,P. Connaughton,,,,,,,,177.0,2.0,2.0,0.0,,,,,,
179,PT09M53.00S,2025-03-27T01:40:15.1Z,2,REGULAR,3pt,Jump Shot,[],1629018,30.699737187910642,28.921568627450984,1610612749,40,33,2025-03-27T01:41:34Z,1780000,False,105.0,236.0,1,left,MISS G. Trent Jr. 25' step back 3PT,[1629018],1610612749.0,MIL,step back,,,,,,Above the Break 3,24+ Right Center,25.86,Missed,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,
180,PT09M51.00S,2025-03-27T01:40:17.1Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,40,33,2025-03-27T01:41:34Z,1790000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,Braun,C. Braun,,,,,,,,179.0,2.0,2.0,0.0,,,,,,
181,PT09M39.00S,2025-03-27T01:40:27.4Z,2,REGULAR,3pt,Jump Shot,[],201566,93.24901445466492,96.81372549019608,1610612743,43,33,2025-03-27T01:40:31Z,1800000,False,234.0,11.0,1,right,R. Westbrook 3PT  (5 PTS) (J. Murray 3 AST),"[201566, 1627750]",1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,23.44,Made,5.0,Westbrook,R. Westbrook,J. Murray,1627750.0,3.0,,,,,,,,,,,,,,
183,PT09M20.00S,2025-03-27T01:40:47.4Z,2,REGULAR,3pt,Jump Shot,[],1631260,16.29434954007884,96.30055147058823,1610612749,43,36,2025-03-27T01:41:53Z,1820000,False,-232.0,101.0,1,left,A. Green 25' 3PT  (3 PTS) (P. Connaughton 1 AST),"[1631260, 1626192]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,25.25,Made,3.0,Green,A. Green,P. Connaughton,1626192.0,1.0,,,,,,,,,,,,,,
185,PT09M05.00S,2025-03-27T01:41:03.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201599,93.82391590013141,56.85508578431372,1610612743,43,36,2025-03-27T01:42:44Z,1840000,False,34.0,6.0,1,right,MISS D. Jordan driving Layup,[201599],1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,3.48,Missed,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,
186,PT09M04.00S,2025-03-27T01:41:04.6Z,2,REGULAR,rebound,offensive,[],1631212,,,1610612743,43,36,2025-03-27T01:42:44Z,1850000,False,,,0,,P. Watson REBOUND (Off:1 Def:1),[1631212],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,Watson,P. Watson,,,,,,,,185.0,2.0,1.0,1.0,,,,,,
187,PT09M02.00S,2025-03-27T01:41:05.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631212,94.21813403416557,44.70741421568627,1610612743,45,36,2025-03-27T01:42:53Z,1860000,False,-26.0,2.0,1,right,P. Watson putback DUNK (4 PTS),[1631212],1610612743.0,DEN,putback,,,,,,Restricted Area,0-8 Center,2.66,Made,4.0,Watson,P. Watson,,,,,,,,,,,,,,,,,
188,PT08M49.00S,2025-03-27T01:41:17.9Z,2,REGULAR,3pt,Jump Shot,[],1631260,31.19866951379764,76.6390931372549,1610612749,45,39,2025-03-27T01:43:04Z,1870000,False,-133.0,241.0,1,left,A. Green 27' 3PT  (6 PTS) (P. Connaughton 2 AST),"[1631260, 1626192]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,27.52,Made,6.0,Green,A. Green,P. Connaughton,1626192.0,2.0,,,,,,,,,,,,,,
190,PT08M46.00S,2025-03-27T01:41:22.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,45,39,2025-03-27T01:41:22Z,1890000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M46.00S,2025-03-27T01:43:14.8Z,2,REGULAR,substitution,out,[],201599,,,1610612743,45,39,2025-03-27T01:43:43Z,1900000,False,,,0,,SUB out: D. Jordan,[201599],1610612743.0,DEN,,,,,,,,,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,
192,PT08M46.00S,2025-03-27T01:43:14.8Z,2,REGULAR,substitution,in,[],1629008,,,1610612743,45,39,2025-03-27T01:43:43Z,1910000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,,,,,,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,
193,PT08M40.00S,2025-03-27T01:44:20.1Z,2,REGULAR,3pt,Jump Shot,[],1629008,74.90144546649145,87.47702205882354,1610612743,48,39,2025-03-27T01:44:37Z,1920000,False,187.0,183.0,1,right,M. Porter Jr. 26' 3PT  (17 PTS) (R. Westbrook 3 AST),"[1629008, 201566]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,26.22,Made,17.0,Porter Jr.,M. Porter Jr.,R. Westbrook,201566.0,3.0,,,,,,,,,,,,,,
195,PT08M27.00S,2025-03-27T01:44:35.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628398,11.695137976346913,43.604473039215684,1610612749,48,39,2025-03-27T01:45:20Z,1940000,False,32.0,57.0,1,left,MISS K. Kuzma 6' driving Hook - blocked,"[1628398, 1631212]",1610612749.0,MIL,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.57,Missed,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,Watson,1631212.0
196,PT08M27.00S,2025-03-27T01:44:35.6Z,2,REGULAR,block,,[],1631212,,,1610612749,48,39,2025-03-27T01:44:37Z,1950000,False,,,0,,P. Watson BLOCK (1 BLK),[1631212],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,
197,PT08M25.00S,2025-03-27T01:44:37.6Z,2,REGULAR,rebound,offensive,[],1628398,,,1610612749,48,39,2025-03-27T01:45:20Z,1960000,False,,,0,,K. Kuzma REBOUND (Off:1 Def:1),[1628398],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Kuzma,K. Kuzma,,,,,,,,195.0,2.0,1.0,1.0,,,,,,
198,PT08M19.00S,2025-03-27T01:44:43.9Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628398,12.483574244415237,46.534160539215684,1610612749,48,39,2025-03-27T01:45:53Z,1970000,False,17.0,65.0,1,left,MISS K. Kuzma 6' turnaround Hook,[1628398],1610612749.0,MIL,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.71,Missed,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,
199,PT08M18.00S,2025-03-27T01:44:44.9Z,2,REGULAR,rebound,offensive,[],1628398,,,1610612749,48,39,2025-03-27T01:45:53Z,1980000,False,,,0,,K. Kuzma REBOUND (Off:2 Def:1),[1628398],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Kuzma,K. Kuzma,,,,,,,,198.0,3.0,1.0,2.0,,,,,,
200,PT08M18.00S,2025-03-27T01:44:46.4Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628398,9.06701708278581,52.74969362745098,1610612749,48,39,2025-03-27T01:46:07Z,1990000,False,-14.0,33.0,1,left,MISS K. Kuzma tip Layup,[1628398],1610612749.0,MIL,tip,,,,,,Restricted Area,0-8 Center,3.55,Missed,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,
201,PT08M17.00S,2025-03-27T01:44:47.4Z,2,REGULAR,rebound,defensive,[],1627750,,,1610612743,48,39,2025-03-27T01:46:07Z,2000000,False,,,0,,J. Murray REBOUND (Off:0 Def:2),[1627750],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,Murray,J. Murray,,,,,,,,200.0,2.0,2.0,0.0,,,,,,
202,PT08M06.00S,2025-03-27T01:44:56.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,91.72141918528253,37.47702205882353,1610612743,48,39,2025-03-27T01:46:30Z,2010000,False,-63.0,25.0,1,right,MISS R. Westbrook 6' driving floating bank Shot,[201566],1610612743.0,DEN,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,6.75,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
203,PT08M04.00S,2025-03-27T01:44:58.7Z,2,REGULAR,rebound,defensive,[],1628398,,,1610612749,48,39,2025-03-27T01:46:30Z,2020000,False,,,0,,K. Kuzma REBOUND (Off:2 Def:2),[1628398],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Kuzma,K. Kuzma,,,,,,,,202.0,4.0,2.0,2.0,,,,,,
204,PT07M59.00S,2025-03-27T01:45:02.5Z,2,REGULAR,turnover,bad pass,[],1628398,,,1610612749,48,39,2025-03-27T01:46:55Z,2030000,False,,,0,,K. Kuzma bad pass TURNOVER (3 TO),"[1628398, 1631128]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Kuzma,K. Kuzma,,,,,3.0,Braun,1631128.0,,,,,,,,,,
205,PT07M59.00S,2025-03-27T01:45:02.5Z,2,REGULAR,steal,,[],1631128,,,1610612743,48,39,2025-03-27T01:45:04Z,2040000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,
206,PT07M56.00S,2025-03-27T01:45:06.4Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631212,90.14454664914587,42.48238357843137,1610612743,50,39,2025-03-27T01:47:05Z,2050000,False,-38.0,40.0,1,right,P. Watson running alley-oop DUNK (6 PTS) (C. Braun 3 AST),"[1631212, 1631128]",1610612743.0,DEN,running alley-oop,,,,,,In The Paint (Non-RA),0-8 Center,5.5,Made,6.0,Watson,P. Watson,C. Braun,1631128.0,3.0,,,,,,,,,,,,,,
208,PT07M39.00S,2025-03-27T01:45:23.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631157,5.913272010512486,49.75873161764706,1610612749,50,41,2025-03-27T01:47:24Z,2070000,False,1.0,3.0,1,left,R. Rollins driving reverse Layup (6 PTS),[1631157],1610612749.0,MIL,driving reverse,,,,,,Restricted Area,0-8 Center,0.33,Made,6.0,Rollins,R. Rollins,,,,,,,,,,,,,,,,,
210,PT07M22.00S,2025-03-27T01:45:42.3Z,2,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612743,50,41,2025-03-27T01:47:40Z,2090000,False,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1628398, 1629008]",1610612749.0,MIL,shooting,,,,,,Restricted Area,0-8 Center,,,,Kuzma,K. Kuzma,,,,2004.0,,,,,,,,1.0,0.0,Porter Jr.,1629008.0,,
212,PT07M22.00S,2025-03-27T01:46:06.5Z,2,REGULAR,freethrow,1 of 2,[],1629008,,,1610612743,51,41,2025-03-27T01:46:06Z,2110000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (18 PTS),[1629008],1610612743.0,DEN,,,,,,,,,,Made,18.0,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,
213,PT07M22.00S,2025-03-27T01:46:23.2Z,2,REGULAR,freethrow,2 of 2,[],1629008,,,1610612743,52,41,2025-03-27T01:46:23Z,2120000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (19 PTS),[1629008],1610612743.0,DEN,,,,,,,,,,Made,19.0,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,
215,PT07M09.00S,2025-03-27T01:47:06.5Z,2,REGULAR,foul,personal,['2freethrow'],1631128,,,1610612749,52,41,2025-03-27T01:48:09Z,2140000,False,,,0,,C. Braun shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1631128, 1628398]",1610612743.0,DEN,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Braun,C. Braun,,,,2004.0,,,,,,,,1.0,0.0,Kuzma,1628398.0,,
217,PT07M09.00S,2025-03-27T01:47:40.2Z,2,REGULAR,freethrow,1 of 2,[],1628398,,,1610612749,52,42,2025-03-27T01:47:40Z,2160000,False,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612749.0,MIL,,,,,,,,,,Made,1.0,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,
218,PT07M09.00S,2025-03-27T01:47:43.1Z,2,REGULAR,substitution,out,[],1631212,,,1610612749,52,42,2025-03-27T01:48:00Z,2170000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,
219,PT07M09.00S,2025-03-27T01:47:43.1Z,2,REGULAR,substitution,out,[],1626192,,,1610612749,52,42,2025-03-27T01:48:00Z,2180000,False,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,,,,,,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,
220,PT07M09.00S,2025-03-27T01:47:43.1Z,2,REGULAR,substitution,in,[],203999,,,1610612749,52,42,2025-03-27T01:48:00Z,2190000,False,,,0,,SUB in: N. Jokić,[203999],1610612743.0,DEN,,,,,,,,,,,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
221,PT07M09.00S,2025-03-27T01:47:43.1Z,2,REGULAR,substitution,in,[],201572,,,1610612749,52,42,2025-03-27T01:48:00Z,2200000,False,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,
222,PT07M09.00S,2025-03-27T01:48:10.1Z,2,REGULAR,freethrow,2 of 2,[],1628398,,,1610612749,52,43,2025-03-27T01:48:10Z,2210000,False,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612749.0,MIL,,,,,,,,,,Made,2.0,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,
223,PT07M01.00S,2025-03-27T01:48:19.8Z,2,REGULAR,turnover,bad pass,[],201566,,,1610612743,52,43,2025-03-27T01:48:45Z,2220000,False,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1631157]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,Westbrook,R. Westbrook,,,,,1.0,Rollins,1631157.0,,,,,,,,,,
224,PT07M01.00S,2025-03-27T01:48:19.8Z,2,REGULAR,steal,,[],1631157,,,1610612749,52,43,2025-03-27T01:48:21Z,2230000,False,,,0,,R. Rollins STEAL (2 STL),[1631157],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,
225,PT06M51.00S,2025-03-27T01:48:32.5Z,2,REGULAR,foul,personal,[],1629008,,,1610612749,52,43,2025-03-27T01:49:09Z,2240000,False,,,0,,M. Porter Jr. personal FOUL (1 PF),"[1629008, 1628398]",1610612743.0,DEN,,,,,,,Mid-Range,8-16 Right,,,,Porter Jr.,M. Porter Jr.,,,,1628159.0,,,,,,,,1.0,0.0,Kuzma,1628398.0,,
227,PT06M51.00S,2025-03-27T01:48:40.6Z,2,REGULAR,substitution,out,[],1627750,,,1610612749,52,43,2025-03-27T01:48:48Z,2260000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,
228,PT06M51.00S,2025-03-27T01:48:40.6Z,2,REGULAR,substitution,out,[],1628398,,,1610612749,52,43,2025-03-27T01:48:48Z,2270000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612749.0,MIL,,,,,,,,,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,
229,PT06M51.00S,2025-03-27T01:48:40.6Z,2,REGULAR,substitution,in,[],1629618,,,1610612749,52,43,2025-03-27T01:48:48Z,2280000,False,,,0,,SUB in: J. Pickett,[1629618],1610612743.0,DEN,,,,,,,,,,,,Pickett,J. Pickett,,,,,,,,,,,,,,,,,
230,PT06M51.00S,2025-03-27T01:48:40.6Z,2,REGULAR,substitution,in,[],1627752,,,1610612749,52,43,2025-03-27T01:48:48Z,2290000,False,,,0,,SUB in: T. Prince,[1627752],1610612749.0,MIL,,,,,,,,,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,
231,PT06M37.00S,2025-03-27T01:49:10.0Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629018,24.17871222076215,48.01623774509803,1610612749,52,43,2025-03-27T01:49:38Z,2300000,False,10.0,175.0,1,left,MISS G. Trent Jr. 17' pullup Shot,[1629018],1610612749.0,MIL,pullup,,,,,,Mid-Range,16-24 Center,17.51,Missed,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,
232,PT06M35.00S,2025-03-27T01:49:12.0Z,2,REGULAR,rebound,offensive,[],201572,,,1610612749,52,43,2025-03-27T01:49:38Z,2310000,False,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,,,,Mid-Range,16-24 Center,,,,Lopez,B. Lopez,,,,,,,,231.0,1.0,0.0,1.0,,,,,,
233,PT06M35.00S,2025-03-27T01:49:13.2Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",201572,8.278580814717472,49.609375,1610612749,52,45,2025-03-27T01:49:44Z,2320000,False,2.0,25.0,1,left,B. Lopez tip Layup (13 PTS),[201572],1610612749.0,MIL,tip,,,,,,Restricted Area,0-8 Center,2.54,Made,13.0,Lopez,B. Lopez,,,,,,,,,,,,,,,,,
234,PT06M22.00S,2025-03-27T01:49:23.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,86.99080157687254,56.60998774509804,1610612743,54,45,2025-03-27T01:50:01Z,2330000,False,33.0,70.0,1,right,C. Braun 7' driving Layup (7 PTS) (N. Jokić 3 AST),"[1631128, 203999]",1610612743.0,DEN,driving,,,,,,In The Paint (Non-RA),0-8 Center,7.72,Made,7.0,Braun,C. Braun,N. Jokić,203999.0,3.0,,,,,,,,,,,,,,
236,PT05M59.00S,2025-03-27T01:49:46.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,3.942181340341648,39.928002450980394,1610612749,54,47,2025-03-27T01:50:23Z,2350000,False,50.0,-15.0,1,left,T. Prince cutting finger roll Layup (5 PTS) (A. Green 3 AST),"[1627752, 1631260]",1610612749.0,MIL,cutting finger roll,,,,,,In The Paint (Non-RA),0-8 Center,5.27,Made,5.0,Prince,T. Prince,A. Green,1631260.0,3.0,,,,,,,,,,,,,,
238,PT05M52.00S,2025-03-27T01:49:55.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.77923784494087,54.67218137254902,1610612743,54,47,2025-03-27T01:50:45Z,2370000,False,23.0,62.0,1,right,MISS N. Jokić 6' driving floating Shot,[203999],1610612743.0,DEN,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
239,PT05M49.00S,2025-03-27T01:49:58.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612743,54,47,2025-03-27T01:50:45Z,2380000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,238.0,,,,,,,,,
241,PT05M45.00S,2025-03-27T01:50:11.4Z,2,REGULAR,foul,personal,['2freethrow'],1631157,,,1610612743,54,47,2025-03-27T01:50:23Z,2400000,False,,,0,,R. Rollins shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1631157, 1629008]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Rollins,R. Rollins,,,,1628159.0,,,,,,,,1.0,0.0,Porter Jr.,1629008.0,,
243,PT05M45.00S,2025-03-27T01:50:36.8Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1629008,,,1610612743,54,47,2025-03-27T01:50:36Z,2420000,False,,,0,,MISS M. Porter Jr. Free Throw 1 of 2,[1629008],1610612743.0,DEN,,,,,,,,,,Missed,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,
244,PT05M45.00S,2025-03-27T01:50:36.8Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,54,47,2025-03-27T01:50:36Z,2430000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,243.0,,,,,,,,,
245,PT05M45.00S,2025-03-27T01:50:48.2Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1629008,,,1610612743,55,47,2025-03-27T01:50:48Z,2440000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (20 PTS),[1629008],1610612743.0,DEN,,,,,,,,,,Made,20.0,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,
246,PT05M25.00S,2025-03-27T01:51:11.1Z,2,REGULAR,3pt,Jump Shot,[],1631260,13.009198423127472,3.8985906862745026,1610612749,55,50,2025-03-27T01:51:30Z,2450000,False,231.0,70.0,1,left,A. Green 24' 3PT step back (9 PTS),[1631260],1610612749.0,MIL,step back,,,,,,Right Corner 3,24+ Right,24.08,Made,9.0,Green,A. Green,,,,,,,,,,,,,,,,,
247,PT05M17.00S,2025-03-27T01:51:19.2Z,2,REGULAR,foul,personal,['2freethrow'],1631157,,,1610612743,55,50,2025-03-27T01:51:40Z,2460000,False,,,0,,R. Rollins shooting personal FOUL (2 PF) (Westbrook 2 FT),"[1631157, 201566]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Rollins,R. Rollins,,,,1628951.0,,,,,,,,2.0,0.0,Westbrook,201566.0,,
249,PT05M17.00S,2025-03-27T01:51:47.0Z,2,REGULAR,freethrow,1 of 2,[],201566,,,1610612743,55,50,2025-03-27T01:52:10Z,2480000,False,,,0,,MISS R. Westbrook Free Throw 1 of 2,[201566],1610612743.0,DEN,,,,,,,,,,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
250,PT05M17.00S,2025-03-27T01:51:47.0Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612743,55,50,2025-03-27T01:52:10Z,2490000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,249.0,,,,,,,,,
251,PT05M17.00S,2025-03-27T01:51:52.5Z,2,REGULAR,substitution,out,[],1631157,,,1610612743,55,50,2025-03-27T01:51:58Z,2500000,False,,,0,,SUB out: R. Rollins,[1631157],1610612749.0,MIL,,,,,,,,,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,
252,PT05M17.00S,2025-03-27T01:51:52.5Z,2,REGULAR,substitution,in,[],1629645,,,1610612743,55,50,2025-03-27T01:51:58Z,2510000,False,,,0,,SUB in: K. Porter Jr.,[1629645],1610612749.0,MIL,,,,,,,,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,
253,PT05M17.00S,2025-03-27T01:51:47.0Z,2,REGULAR,freethrow,2 of 2,[],201566,,,1610612743,55,50,2025-03-27T01:52:10Z,2520000,False,,,0,,MISS R. Westbrook Free Throw 2 of 2,[201566],1610612743.0,DEN,,,,,,,,,,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
254,PT05M16.00S,2025-03-27T01:51:48.0Z,2,REGULAR,rebound,defensive,[],1629645,,,1610612749,55,50,2025-03-27T01:52:16Z,2530000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:3),[1629645],1610612749.0,MIL,,,,,,,,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,253.0,3.0,3.0,0.0,,,,,,
255,PT05M08.00S,2025-03-27T01:52:17.7Z,2,REGULAR,3pt,Jump Shot,[],1629018,20.630749014454665,7.575061274509807,1610612749,55,50,2025-03-27T01:52:38Z,2540000,False,212.0,141.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,25.49,Missed,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,
256,PT05M06.00S,2025-03-27T01:52:19.7Z,2,REGULAR,rebound,offensive,[],201572,,,1610612749,55,50,2025-03-27T01:52:38Z,2550000,False,,,0,,B. Lopez REBOUND (Off:2 Def:0),[201572],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Lopez,B. Lopez,,,,,,,,255.0,2.0,0.0,2.0,,,,,,
257,PT05M03.00S,2025-03-27T01:52:22.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201572,6.701708278580824,46.64905024509803,1610612749,55,52,2025-03-27T01:52:46Z,2560000,False,17.0,10.0,1,left,B. Lopez putback Layup (15 PTS),[201572],1610612749.0,MIL,putback,,,,,,Restricted Area,0-8 Center,1.98,Made,15.0,Lopez,B. Lopez,,,,,,,,,,,,,,,,,
258,PT04M46.00S,2025-03-27T01:52:39.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.20433639947439,57.35294117647059,1610612743,57,52,2025-03-27T01:53:01Z,2570000,False,37.0,68.0,1,right,N. Jokić 7' floating Jump Shot (14 PTS) (R. Westbrook 4 AST),"[203999, 201566]",1610612743.0,DEN,floating,,,,,,In The Paint (Non-RA),0-8 Center,7.71,Made,14.0,Jokić,N. Jokić,R. Westbrook,201566.0,4.0,,,,,,,,,,,,,,
260,PT04M31.00S,2025-03-27T01:52:54.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,16.557161629434958,47.89368872549019,1610612749,57,52,2025-03-27T01:53:14Z,2590000,False,11.0,103.0,1,left,MISS B. Lopez 10' driving floating Shot,[201572],1610612749.0,MIL,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.36,Missed,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,
261,PT04M29.00S,2025-03-27T01:52:56.4Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,57,52,2025-03-27T01:53:14Z,2600000,False,,,0,,C. Braun REBOUND (Off:0 Def:3),[1631128],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Braun,C. Braun,,,,,,,,260.0,3.0,3.0,0.0,,,,,,
262,PT04M23.00S,2025-03-27T01:53:03.0Z,2,REGULAR,3pt,Jump Shot,[],201566,78.71222076215506,92.37898284313725,1610612743,57,52,2025-03-27T01:53:29Z,2610000,False,212.0,148.0,1,right,MISS R. Westbrook 25' 3PT,[201566],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,25.82,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
