actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
205,PT00M55.30S,2025-02-07T02:36:29.6Z,1,REGULAR,block,,[],1630192,,,1610612753,23,21,2025-02-07T02:42:38Z,1712500,False,,,0,,Z. Nnaji BLOCK (1 BLK),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
206,PT00M55.10S,2025-02-07T02:36:29.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,23,21,2025-02-07T02:43:54Z,1716250,False,,,0,,N. Jokić REBOUND (Off:0 Def:5),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Left,,,,,204.0,,,,,,,,,,5.0,5.0,0.0,,,
172,PT00M52.30S,2025-02-07T02:36:41.2Z,1,REGULAR,turnover,out-of-bounds,[],1631124,,,1610612743,23,21,2025-02-07T02:36:48Z,1720000,False,,,0,,J. Strawther bad pass out-of-bounds TURNOVER (1 TO),[1631124],1610612743.0,DEN,bad pass,,,Strawther,J. Strawther,,,,,In The Paint (Non-RA),8-16 Right,,,,,,1626300.0,,,,,,,,,,,,1.0,,
173,PT00M52.30S,2025-02-07T02:36:45.9Z,1,REGULAR,substitution,out,[],1628371,,,1610612753,23,21,2025-02-07T02:36:52Z,1730000,False,,,0,,SUB out: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT00M52.30S,2025-02-07T02:36:45.9Z,1,REGULAR,substitution,in,[],1641724,,,1610612753,23,21,2025-02-07T02:36:52Z,1740000,False,,,0,,SUB in: J. Howard,[1641724],1610612753.0,ORL,,,,Howard,J. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT00M36.10S,2025-02-07T02:37:13.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631094,26.757555847568987,17.401960784313726,1610612753,23,24,2025-02-07T02:38:30Z,1750000,False,163.0,199.0,1,left,P. Banchero 25' 3PT pullup (5 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,25.72,Made,,,,,,,,,5.0,,,,,,,,,
210,PT00M29.50S,2025-02-07T02:37:22.3Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,23,24,2025-02-07T02:43:11Z,1770000,False,,,0,,N. Jokić lost ball TURNOVER (1 TO),"[203999, 1641710]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,1.0,Black,1641710.0
211,PT00M29.50S,2025-02-07T02:37:22.3Z,1,REGULAR,steal,,[],1641710,,,1610612753,23,24,2025-02-07T02:43:11Z,1780000,False,,,0,,A. Black STEAL (1 STL),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
179,PT00M23.50S,2025-02-07T02:37:31.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",1641710,7.835085413929041,45.34313725490196,1610612753,23,26,2025-02-07T02:43:11Z,1790000,False,23.0,21.0,1,left,A. Black running Layup (2 PTS),[1641710],1610612753.0,ORL,running,,,Black,A. Black,,,,,Restricted Area,0-8 Center,3.14,Made,,,,,,,,,2.0,,,,,,,,,
180,PT00M03.10S,2025-02-07T02:37:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.85479632063075,55.63725490196079,1610612743,25,26,2025-02-07T02:38:01Z,1800000,False,28.0,15.0,1,right,N. Jokić driving Layup (13 PTS),[203999],1610612743.0,DEN,driving,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,3.18,Made,,,,,,,,,13.0,,,,,,,,,
182,PT00M00.30S,2025-02-07T02:37:58.8Z,1,REGULAR,3pt,Jump Shot,[],1641710,39.37253613666228,55.14705882352941,1610612753,25,26,2025-02-07T02:38:20Z,1820000,False,-26.0,318.0,1,left,MISS A. Black 31' pullup 3PT,[1641710],1610612753.0,ORL,pullup,,,Black,A. Black,,,,,Above the Break 3,24+ Center,31.86,Missed,,,,,,,,,,,,,,,,,,
183,PT00M00.10S,2025-02-07T02:37:59.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,25,26,2025-02-07T02:38:20Z,1830000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Center,,,,,182.0,,,,,,,,,,,,,,,
184,PT00M00.00S,2025-02-07T02:38:18.2Z,1,REGULAR,period,end,[],0,,,1610612753,25,26,2025-02-07T02:38:18Z,1840000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2025-02-07T02:40:19.7Z,2,REGULAR,substitution,out,['startperiod'],1641816,,,1610612753,25,26,2025-02-07T02:40:51Z,1850000,False,,,0,,SUB out: H. Tyson,[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2025-02-07T02:40:19.7Z,2,REGULAR,substitution,out,['startperiod'],203999,,,1610612753,25,26,2025-02-07T02:40:51Z,1860000,False,,,0,,SUB out: N. Jokić,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2025-02-07T02:40:19.7Z,2,REGULAR,substitution,out,['startperiod'],1628976,,,1610612753,25,26,2025-02-07T02:40:51Z,1870000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2025-02-07T02:40:19.7Z,2,REGULAR,substitution,in,['startperiod'],1629008,,,1610612753,25,26,2025-02-07T02:40:51Z,1880000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2025-02-07T02:40:19.7Z,2,REGULAR,substitution,in,['startperiod'],201599,,,1610612753,25,26,2025-02-07T02:40:51Z,1890000,False,,,0,,SUB in: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2025-02-07T02:40:19.7Z,2,REGULAR,substitution,in,['startperiod'],1629048,,,1610612753,25,26,2025-02-07T02:40:51Z,1900000,False,,,0,,SUB in: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2025-02-07T02:40:45.1Z,2,REGULAR,period,start,[],0,,,1610612753,25,26,2025-02-07T02:40:51Z,1910000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT11M38.00S,2025-02-07T02:41:06.8Z,2,REGULAR,3pt,Jump Shot,[],1641724,8.229303547963205,2.450980392156863,1610612753,25,26,2025-02-07T02:41:12Z,1920000,False,238.0,25.0,1,left,MISS J. Howard 3PT,[1641724],1610612753.0,ORL,,,,Howard,J. Howard,,,,,Right Corner 3,24+ Right,23.9,Missed,,,,,,,,,,,,,,,,,,
193,PT11M34.00S,2025-02-07T02:41:10.8Z,2,REGULAR,rebound,defensive,[],1630192,,,1610612743,25,26,2025-02-07T02:41:12Z,1930000,False,,,0,,Z. Nnaji REBOUND (Off:1 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Right Corner 3,24+ Right,,,,,192.0,,,,,,,,,,2.0,1.0,1.0,,,
194,PT11M23.00S,2025-02-07T02:41:21.5Z,2,REGULAR,3pt,Jump Shot,[],1631124,67.09921156373193,54.90196078431373,1610612743,25,26,2025-02-07T02:41:26Z,1940000,False,25.0,257.0,1,right,MISS J. Strawther 25' 3PT,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Above the Break 3,24+ Center,25.8,Missed,,,,,,,,,,,,,,,,,,
195,PT11M20.00S,2025-02-07T02:41:24.5Z,2,REGULAR,rebound,offensive,[],1630192,,,1610612743,25,26,2025-02-07T02:41:26Z,1950000,False,,,0,,Z. Nnaji REBOUND (Off:2 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Above the Break 3,24+ Center,,,,,194.0,,,,,,,,,,3.0,1.0,2.0,,,
196,PT11M09.00S,2025-02-07T02:41:38.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631124,90.48948751642575,40.19607843137255,1610612743,25,26,2025-02-07T02:41:43Z,1960000,False,-49.0,37.0,1,right,MISS J. Strawther 6' driving Layup - blocked,"[1631124, 1631094]",1610612743.0,DEN,driving,,,Strawther,J. Strawther,,,,,In The Paint (Non-RA),0-8 Center,6.13,Missed,Banchero,1631094.0,,,,,,,,,,,,,,,,
197,PT11M09.00S,2025-02-07T02:41:38.6Z,2,REGULAR,block,,[],1631094,,,1610612743,25,26,2025-02-07T02:49:01Z,1970000,False,,,0,,P. Banchero BLOCK (2 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
198,PT11M09.00S,2025-02-07T02:41:38.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612753,25,26,2025-02-07T02:41:43Z,1980000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,196.0,,,,,,,,,,,,,,,
200,PT10M45.00S,2025-02-07T02:42:11.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641724,9.543363994743759,38.23529411764706,1610612753,25,26,2025-02-07T02:42:16Z,2000000,False,59.0,37.0,1,left,MISS J. Howard 6' driving Layup,[1641724],1610612753.0,ORL,driving,,,Howard,J. Howard,,,,,In The Paint (Non-RA),0-8 Center,6.96,Missed,,,,,,,,,,,,,,,,,,
201,PT10M43.00S,2025-02-07T02:42:13.9Z,2,REGULAR,rebound,defensive,[],1629618,,,1610612743,25,26,2025-02-07T02:42:16Z,2010000,False,,,0,,J. Pickett REBOUND (Off:0 Def:1),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,In The Paint (Non-RA),0-8 Center,,,,,200.0,,,,,,,,,,1.0,1.0,0.0,,,
202,PT10M36.00S,2025-02-07T02:42:20.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,91.40932982917214,55.88235294117647,1610612743,27,26,2025-02-07T02:42:25Z,2020000,False,29.0,28.0,1,right,M. Porter Jr. driving Layup (5 PTS) (J. Strawther 1 AST),"[1629008, 1631124]",1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,4.08,Made,,,,,,,,,5.0,J. Strawther,1631124.0,1.0,,,,,,
207,PT10M12.00S,2025-02-07T02:42:46.0Z,2,REGULAR,foul,personal,['2freethrow'],201599,,,1610612753,27,26,2025-02-07T02:42:53Z,2040000,False,,,0,,D. Jordan shooting personal FOUL (1 PF) (Black 2 FT),"[201599, 1641710]",1610612743.0,DEN,shooting,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),8-16 Right,,,,,,101283.0,1.0,0.0,Black,1641710.0,,,,,,,,,,
209,PT10M12.00S,2025-02-07T02:43:11.2Z,2,REGULAR,freethrow,1 of 2,[],1641710,,,1610612753,27,27,2025-02-07T02:43:11Z,2060000,False,,,0,,A. Black Free Throw 1 of 2 (3 PTS),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
212,PT10M12.00S,2025-02-07T02:43:31.0Z,2,REGULAR,freethrow,2 of 2,[],1641710,,,1610612753,27,28,2025-02-07T02:43:31Z,2070000,False,,,0,,A. Black Free Throw 2 of 2 (4 PTS),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
213,PT09M54.00S,2025-02-07T02:43:51.0Z,2,REGULAR,3pt,Jump Shot,[],1630192,88.25558475689881,2.450980392156863,1610612743,30,28,2025-02-07T02:43:55Z,2080000,False,-238.0,58.0,1,right,Z. Nnaji 24' 3PT  (3 PTS) (J. Pickett 2 AST),"[1630192, 1629618]",1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Left Corner 3,24+ Left,24.47,Made,,,,,,,,,3.0,J. Pickett,1629618.0,2.0,,,,,,
215,PT09M30.00S,2025-02-07T02:44:15.7Z,2,REGULAR,3pt,Jump Shot,[],1631094,29.517082785808146,75.0,1610612753,30,28,2025-02-07T02:44:21Z,2100000,False,-125.0,225.0,1,left,MISS P. Banchero 25' step back 3PT,[1631094],1610612753.0,ORL,step back,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,25.74,Missed,,,,,,,,,,,,,,,,,,
216,PT09M27.00S,2025-02-07T02:44:18.7Z,2,REGULAR,rebound,offensive,[],1641783,,,1610612753,30,28,2025-02-07T02:44:21Z,2110000,False,,,0,,T. da Silva REBOUND (Off:1 Def:0),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Left Center,,,,,215.0,,,,,,,,,,1.0,0.0,1.0,,,
217,PT09M20.00S,2025-02-07T02:44:26.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641783,14.14257555847569,50.49019607843137,1610612753,30,28,2025-02-07T02:44:31Z,2120000,False,-2.0,80.0,1,left,MISS T. da Silva 8' turnaround fadeaway Shot,[1641783],1610612753.0,ORL,turnaround fadeaway,,,da Silva,T. da Silva,,,,,In The Paint (Non-RA),8-16 Center,8.04,Missed,,,,,,,,,,,,,,,,,,
218,PT09M17.00S,2025-02-07T02:44:29.0Z,2,REGULAR,rebound,defensive,[],201599,,,1610612743,30,28,2025-02-07T02:44:31Z,2130000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),8-16 Center,,,,,217.0,,,,,,,,,,1.0,1.0,0.0,,,
219,PT09M11.00S,2025-02-07T02:44:35.2Z,2,REGULAR,3pt,Jump Shot,[],1631124,80.6340341655716,90.68627450980392,1610612743,30,28,2025-02-07T02:44:40Z,2140000,False,203.0,130.0,1,right,MISS J. Strawther 24' 3PT,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Above the Break 3,24+ Right Center,24.11,Missed,,,,,,,,,,,,,,,,,,
220,PT09M07.00S,2025-02-07T02:44:39.2Z,2,REGULAR,rebound,defensive,[],1641724,,,1610612753,30,28,2025-02-07T02:44:40Z,2150000,False,,,0,,J. Howard REBOUND (Off:0 Def:1),[1641724],1610612753.0,ORL,,,,Howard,J. Howard,,,,,Above the Break 3,24+ Right Center,,,,,219.0,,,,,,,,,,1.0,1.0,0.0,,,
221,PT09M02.00S,2025-02-07T02:44:44.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631094,7.5722733245729295,43.627450980392155,1610612753,30,30,2025-02-07T02:44:49Z,2160000,False,32.0,19.0,1,left,P. Banchero running Layup (7 PTS) (J. Howard 1 AST),"[1631094, 1641724]",1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.7,Made,,,,,,,,,7.0,J. Howard,1641724.0,1.0,,,,,,
223,PT08M44.00S,2025-02-07T02:45:01.9Z,2,REGULAR,turnover,out-of-bounds,[],201599,,,1610612743,30,30,2025-02-07T02:49:11Z,2180000,False,,,0,,D. Jordan bad pass out-of-bounds TURNOVER (1 TO),[201599],1610612743.0,DEN,bad pass,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),8-16 Left,,,,,,101283.0,,,,,,,,,,,,1.0,,
224,PT08M44.00S,2025-02-07T02:45:03.9Z,2,REGULAR,substitution,out,[],1631124,,,1610612753,30,30,2025-02-07T02:45:12Z,2190000,False,,,0,,SUB out: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M44.00S,2025-02-07T02:45:03.9Z,2,REGULAR,substitution,in,[],1631128,,,1610612753,30,30,2025-02-07T02:45:12Z,2200000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M27.00S,2025-02-07T02:45:36.0Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1631094,24.26084099868594,75.24509803921569,1610612753,30,30,2025-02-07T02:50:15Z,2210000,False,-126.0,176.0,1,left,MISS P. Banchero 21' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left Center,21.62,Missed,,,,,,,,,,,,,,,,,,
227,PT08M25.00S,2025-02-07T02:45:38.0Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,30,30,2025-02-07T02:45:39Z,2220000,False,,,0,,C. Braun REBOUND (Off:0 Def:3),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Left Center,,,,,226.0,,,,,,,,,,3.0,3.0,0.0,,,
228,PT08M07.00S,2025-02-07T02:45:55.5Z,2,REGULAR,3pt,Jump Shot,[],1629618,69.07030223390277,27.450980392156865,1610612743,30,30,2025-02-07T02:46:02Z,2230000,False,-113.0,238.0,1,right,MISS J. Pickett 26' step back 3PT,[1629618],1610612743.0,DEN,step back,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Left Center,26.35,Missed,,,,,,,,,,,,,,,,,,
229,PT08M03.00S,2025-02-07T02:45:59.5Z,2,REGULAR,rebound,offensive,[],201599,,,1610612743,30,30,2025-02-07T02:46:02Z,2240000,False,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Left Center,,,,,228.0,,,,,,,,,,2.0,1.0,1.0,,,
230,PT08M03.00S,2025-02-07T02:45:59.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201599,94.40999984741211,50.0,1610612743,32,30,2025-02-07T02:45:59Z,2250000,False,0.0,0.0,1,right,D. Jordan tip Layup (2 PTS),[201599],1610612743.0,DEN,tip,,,Jordan,D. Jordan,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,2.0,,,,,,,,,
231,PT07M42.00S,2025-02-07T02:46:20.1Z,2,REGULAR,2pt,Jump Shot,[],1631094,16.507884362680684,31.127450980392158,1610612753,32,32,2025-02-07T02:46:25Z,2260000,False,94.0,103.0,1,left,P. Banchero 13' turnaround fadeaway Jump Shot (9 PTS),[1631094],1610612753.0,ORL,turnaround fadeaway,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,13.95,Made,,,,,,,,,9.0,,,,,,,,,
232,PT07M28.00S,2025-02-07T02:46:35.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,92.19776609724047,45.09803921568628,1610612743,32,32,2025-02-07T02:46:42Z,2270000,False,-25.0,21.0,1,right,MISS M. Porter Jr. driving DUNK,[1629008],1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,,,,,,,,,,,,,,
233,PT07M27.00S,2025-02-07T02:46:36.5Z,2,REGULAR,rebound,offensive,[],201599,,,1610612743,32,32,2025-02-07T02:46:42Z,2280000,False,,,0,,D. Jordan REBOUND (Off:2 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,,,232.0,,,,,,,,,,3.0,1.0,2.0,,,
234,PT07M17.00S,2025-02-07T02:46:46.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630192,71.17279894875165,77.45098039215686,1610612743,32,32,2025-02-07T02:46:52Z,2290000,False,137.0,218.0,1,right,MISS Z. Nnaji 25' 3PT,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Above the Break 3,24+ Right Center,25.81,Missed,,,,,,,,,,,,,,,,,,
235,PT07M12.00S,2025-02-07T02:46:51.4Z,2,REGULAR,rebound,offensive,[],201599,,,1610612743,32,32,2025-02-07T02:46:52Z,2300000,False,,,0,,D. Jordan REBOUND (Off:3 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Right Center,,,,,234.0,,,,,,,,,,4.0,1.0,3.0,,,
236,PT07M09.00S,2025-02-07T02:46:54.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629008,81.15965834428384,46.32352941176471,1610612743,34,32,2025-02-07T02:47:22Z,2310000,False,-18.0,125.0,1,right,M. Porter Jr. 12' step back Jump Shot (7 PTS) (D. Jordan 1 AST),"[1629008, 201599]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,12.6,Made,,,,,,,,,7.0,D. Jordan,201599.0,1.0,,,,,,
237,PT07M07.00S,2025-02-07T02:47:02.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,34,32,2025-02-07T02:47:02Z,2320000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,out,[],201599,,,1610612753,34,32,2025-02-07T02:49:34Z,2330000,False,,,0,,SUB out: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,out,[],1630192,,,1610612753,34,32,2025-02-07T02:49:34Z,2340000,False,,,0,,SUB out: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,out,[],1641710,,,1610612753,34,32,2025-02-07T02:49:34Z,2350000,False,,,0,,SUB out: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,out,[],1631094,,,1610612753,34,32,2025-02-07T02:49:34Z,2360000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,out,[],1641783,,,1610612753,34,32,2025-02-07T02:49:34Z,2370000,False,,,0,,SUB out: T. da Silva,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,in,[],203932,,,1610612753,34,32,2025-02-07T02:49:34Z,2380000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,in,[],203999,,,1610612753,34,32,2025-02-07T02:49:34Z,2390000,False,,,0,,SUB in: N. Jokić,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,in,[],1630532,,,1610612753,34,32,2025-02-07T02:49:34Z,2400000,False,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,in,[],203484,,,1610612753,34,32,2025-02-07T02:49:34Z,2410000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M07.00S,2025-02-07T02:49:12.8Z,2,REGULAR,substitution,in,[],1630175,,,1610612753,34,32,2025-02-07T02:49:34Z,2420000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M52.00S,2025-02-07T02:50:04.7Z,2,REGULAR,foul,personal,['2freethrow'],203932,,,1610612753,34,32,2025-02-07T02:50:13Z,2430000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Anthony 2 FT),"[203932, 1630175]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,101283.0,1.0,0.0,Anthony,1630175.0,,,,,,,,,,
251,PT06M52.00S,2025-02-07T02:50:38.2Z,2,REGULAR,freethrow,1 of 2,[],1630175,,,1610612753,34,32,2025-02-07T02:50:38Z,2450000,False,,,0,,MISS C. Anthony Free Throw 1 of 2,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
252,PT06M52.00S,2025-02-07T02:50:38.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,34,32,2025-02-07T02:50:38Z,2460000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,251.0,,,,,,,,,,,,,,,
253,PT06M52.00S,2025-02-07T02:50:38.8Z,2,REGULAR,substitution,out,[],1629048,,,1610612753,34,32,2025-02-07T02:50:42Z,2470000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT06M52.00S,2025-02-07T02:50:38.8Z,2,REGULAR,substitution,in,[],1628976,,,1610612753,34,32,2025-02-07T02:50:42Z,2480000,False,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT06M52.00S,2025-02-07T02:50:57.4Z,2,REGULAR,freethrow,2 of 2,[],1630175,,,1610612753,34,33,2025-02-07T02:50:57Z,2490000,False,,,0,,C. Anthony Free Throw 2 of 2 (3 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
