actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId
164,PT10M49.00S,2025-02-12T00:43:28.1Z,2,REGULAR,rebound,defensive,[],1630193,,,1610612761,20,30,2025-02-12T00:43:29Z,1580000,False,,,0,,I. Quickley REBOUND (Off:1 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,163.0,2.0,1.0,1.0,,
165,PT10M41.00S,2025-02-12T00:43:37.4Z,2,REGULAR,turnover,bad pass,[],1630193,,,1610612761,20,30,2025-02-12T00:43:40Z,1590000,False,,,0,,I. Quickley bad pass TURNOVER (2 TO),"[1630193, 1627824]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Center,,2.0,,,,,,,,,,,,,,,,,Yabusele,1627824.0
166,PT10M41.00S,2025-02-12T00:43:37.4Z,2,REGULAR,steal,,[],1627824,,,1610612755,20,30,2025-02-12T00:43:39Z,1600000,False,,,0,,G. Yabusele STEAL (1 STL),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
167,PT10M34.00S,2025-02-12T00:43:46.0Z,2,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612755,20,30,2025-02-12T00:43:59Z,1610000,False,,,0,,C. Boucher shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628449, 203954]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,In The Paint (Non-RA),8-16 Center,1627963.0,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,,,,
169,PT10M34.00S,2025-02-12T00:44:18.0Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,21,30,2025-02-12T00:44:18Z,1630000,False,,,0,,J. Embiid Free Throw 1 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
170,PT10M34.00S,2025-02-12T00:44:39.6Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,22,30,2025-02-12T00:44:39Z,1640000,False,,,0,,J. Embiid Free Throw 2 of 2 (10 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,,
171,PT10M19.00S,2025-02-12T00:44:56.6Z,2,REGULAR,3pt,Jump Shot,[],1628449,93.47897503285151,95.83333333333333,1610612761,22,30,2025-02-12T00:45:00Z,1650000,False,229.0,9.0,1,right,MISS C. Boucher 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Right Corner 3,24+ Right,,,22.94,Missed,,,,,,,,,,,,,,,,
172,PT10M15.00S,2025-02-12T00:45:00.6Z,2,REGULAR,rebound,defensive,[],1627824,,,1610612755,22,30,2025-02-12T00:45:00Z,1660000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:2),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,171.0,2.0,2.0,0.0,,
173,PT10M07.00S,2025-02-12T00:45:07.9Z,2,REGULAR,3pt,Jump Shot,[],1630215,31.980946123521676,78.67647058823529,1610612755,22,30,2025-02-12T00:47:58Z,1670000,False,-143.0,248.0,1,left,MISS J. Butler 28' step back 3PT,[1630215],1610612755.0,PHI,step back,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,28.66,Missed,,,,,,,,,,,,,,,,
174,PT10M04.00S,2025-02-12T00:45:10.9Z,2,REGULAR,rebound,offensive,[],1627824,,,1610612755,22,30,2025-02-12T00:45:13Z,1680000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:2),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,173.0,3.0,2.0,1.0,,
175,PT10M00.00S,2025-02-12T00:45:17.0Z,2,REGULAR,foul,personal,['2freethrow'],1630193,,,1610612755,22,30,2025-02-12T00:45:25Z,1690000,False,,,0,,I. Quickley shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630193, 203954]",1610612761.0,TOR,shooting,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,2530.0,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,,,,
177,PT10M00.00S,2025-02-12T00:46:06.1Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,23,30,2025-02-12T00:50:06Z,1710000,False,,,0,,J. Embiid Free Throw 1 of 2 (11 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,11.0,,,,,,,,,,,,,,,
178,PT10M00.00S,2025-02-12T00:46:06.1Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,24,30,2025-02-12T00:50:06Z,1720000,False,,,0,,J. Embiid Free Throw 2 of 2 (12 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,12.0,,,,,,,,,,,,,,,
179,PT09M51.00S,2025-02-12T00:46:31.6Z,2,REGULAR,3pt,Jump Shot,[],1630193,79.41852825229961,95.58823529411765,1610612761,24,30,2025-02-12T00:46:37Z,1730000,False,228.0,141.0,1,right,MISS I. Quickley 26' pullup 3PT,[1630193],1610612761.0,TOR,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,26.8,Missed,,,,,,,,,,,,,,,,
180,PT09M46.00S,2025-02-12T00:46:35.3Z,2,REGULAR,rebound,defensive,[],1626162,,,1610612755,24,30,2025-02-12T00:46:35Z,1740000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:5),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,179.0,5.0,5.0,0.0,,
181,PT09M32.00S,2025-02-12T00:46:50.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,7.802233902759525,50.245098039215684,1610612755,24,30,2025-02-12T00:46:53Z,1750000,False,-1.0,21.0,1,left,MISS G. Yabusele Layup,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,2.08,Missed,,,,,,,,,,,,,,,,
182,PT09M30.00S,2025-02-12T00:46:52.0Z,2,REGULAR,rebound,defensive,[],1630567,,,1610612761,24,30,2025-02-12T00:46:53Z,1760000,False,,,0,,S. Barnes REBOUND (Off:1 Def:4),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,181.0,5.0,4.0,1.0,,
183,PT09M22.00S,2025-02-12T00:46:59.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642266,90.19382391590013,59.31372549019608,1610612761,24,32,2025-02-12T00:47:10Z,1770000,False,47.0,40.0,1,right,J. Walter 6' pullup Jump Shot (2 PTS),[1642266],1610612761.0,TOR,pullup,,,Walter,J. Walter,,,,,In The Paint (Non-RA),0-8 Center,,,6.12,Made,2.0,,,,,,,,,,,,,,,
184,PT09M08.00S,2025-02-12T00:47:13.2Z,2,REGULAR,3pt,Jump Shot,[],1629656,5.436925098554539,96.32352941176471,1610612755,27,32,2025-02-12T00:47:17Z,1780000,False,-232.0,-1.0,1,left,Q. Grimes 3PT  (3 PTS) (K. Oubre Jr. 2 AST),"[1629656, 1626162]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,,,23.16,Made,3.0,K. Oubre Jr.,1626162.0,2.0,,,,,,,,,,,,
186,PT08M42.00S,2025-02-12T00:47:40.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642266,91.77069645203679,57.35294117647059,1610612761,27,32,2025-02-12T00:51:03Z,1800000,False,37.0,25.0,1,right,MISS J. Walter driving Layup - blocked,"[1642266, 203954]",1610612761.0,TOR,driving,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,,,4.44,Missed,,,,,,,,,Embiid,203954.0,,,,,,
187,PT08M42.00S,2025-02-12T00:47:40.5Z,2,REGULAR,block,,[],203954,,,1610612761,27,32,2025-02-12T00:47:43Z,1810000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
188,PT08M40.00S,2025-02-12T00:47:42.5Z,2,REGULAR,rebound,offensive,[],1642266,,,1610612761,27,32,2025-02-12T01:15:56Z,1820000,False,,,0,,J. Walter REBOUND (Off:1 Def:0),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,186.0,1.0,0.0,1.0,,
189,PT08M40.00S,2025-02-12T00:47:44.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642266,91.63929040735874,50.49019607843137,1610612761,27,32,2025-02-12T01:16:17Z,1830000,False,2.0,26.0,1,right,MISS J. Walter putback Layup,[1642266],1610612761.0,TOR,putback,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,,,2.62,Missed,,,,,,,,,,,,,,,,
190,PT08M39.00S,2025-02-12T00:47:45.9Z,2,REGULAR,rebound,offensive,[],1628449,,,1610612761,27,32,2025-02-12T01:16:17Z,1840000,False,,,0,,C. Boucher REBOUND (Off:1 Def:4),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,189.0,5.0,4.0,1.0,,
233,PT08M39.00S,2025-02-12T00:47:48.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628449,91.45860709592641,52.91819852941176,1610612761,27,32,2025-02-12T01:16:32Z,1845000,False,15.0,28.0,1,right,MISS C. Boucher tip Layup,[1628449],1610612761.0,TOR,tip,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,,,3.14,Missed,,,,,,,,,,,,,,,,
234,PT08M38.00S,2025-02-12T00:47:49.4Z,2,REGULAR,rebound,defensive,[],1630215,,,1610612755,27,32,2025-02-12T01:16:32Z,1847500,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,233.0,1.0,1.0,0.0,,
191,PT08M30.00S,2025-02-12T00:47:51.9Z,2,REGULAR,3pt,Jump Shot,[],1627824,9.510512483574246,3.67647058823529,1610612755,30,32,2025-02-12T00:54:22Z,1850000,False,232.0,37.0,1,left,G. Yabusele 3PT  (5 PTS) (J. Butler 1 AST),"[1627824, 1630215]",1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,,,23.45,Made,5.0,J. Butler,1630215.0,1.0,,,,,,,,,,,,
193,PT08M13.00S,2025-02-12T00:48:08.8Z,2,REGULAR,2pt,Jump Shot,[],1628449,96.76412614980289,71.81372549019608,1610612761,30,32,2025-02-12T00:48:16Z,1870000,False,109.0,-22.0,1,right,MISS C. Boucher 11' fadeaway Shot,[1628449],1610612761.0,TOR,fadeaway,,,Boucher,C. Boucher,,,,,Mid-Range,8-16 Right,,,11.13,Missed,,,,,,,,,,,,,,,,
194,PT08M07.00S,2025-02-12T00:48:14.8Z,2,REGULAR,rebound,offensive,[],1642266,,,1610612761,30,32,2025-02-12T00:48:16Z,1880000,False,,,0,,J. Walter REBOUND (Off:2 Def:0),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,193.0,2.0,0.0,2.0,,
195,PT08M01.00S,2025-02-12T00:48:20.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630193,74.03088042049934,90.93137254901961,1610612761,30,32,2025-02-12T00:48:24Z,1890000,False,205.0,192.0,1,right,MISS I. Quickley 28' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,28.04,Missed,,,,,,,,,,,,,,,,
196,PT07M59.00S,2025-02-12T00:48:22.9Z,2,REGULAR,rebound,defensive,[],1630215,,,1610612755,30,32,2025-02-12T00:48:24Z,1900000,False,,,0,,J. Butler REBOUND (Off:0 Def:2),[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,195.0,2.0,2.0,0.0,,
197,PT07M55.00S,2025-02-12T00:48:27.3Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630215,6.093955321944804,47.05882352941176,1610612755,32,32,2025-02-12T00:48:50Z,1910000,False,15.0,5.0,1,left,J. Butler running Layup (4 PTS),[1630215],1610612755.0,PHI,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,1.55,Made,4.0,,,,,,,,,,,,,,,
198,PT07M55.00S,2025-02-12T00:48:34.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,32,32,2025-02-12T00:48:36Z,1920000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,out,[],1630567,,,1610612761,32,32,2025-02-12T00:51:17Z,1930000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,out,[],1630193,,,1610612761,32,32,2025-02-12T00:51:17Z,1940000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,out,[],1642266,,,1610612761,32,32,2025-02-12T00:51:17Z,1950000,False,,,0,,SUB out: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,out,[],1628449,,,1610612761,32,32,2025-02-12T00:51:17Z,1960000,False,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,out,[],1642279,,,1610612761,32,32,2025-02-12T00:51:17Z,1970000,False,,,0,,SUB out: U. Chomche,[1642279],1610612761.0,TOR,,,,Chomche,U. Chomche,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,in,[],1641711,,,1610612761,32,32,2025-02-12T00:51:17Z,1980000,False,,,0,,SUB in: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,in,[],1642367,,,1610612761,32,32,2025-02-12T00:51:17Z,1990000,False,,,0,,SUB in: J. Mogbo,[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,in,[],1642347,,,1610612761,32,32,2025-02-12T00:51:17Z,2000000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,in,[],1630534,,,1610612761,32,32,2025-02-12T00:51:17Z,2010000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M55.00S,2025-02-12T00:50:58.2Z,2,REGULAR,substitution,in,[],1642419,,,1610612761,32,32,2025-02-12T00:51:17Z,2020000,False,,,0,,SUB in: J. Battle,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M38.00S,2025-02-12T00:51:41.2Z,2,REGULAR,3pt,Jump Shot,[],1641711,76.7904073587385,11.519607843137265,1610612761,32,32,2025-02-12T00:51:45Z,2030000,False,-192.0,166.0,1,right,MISS G. Dick 25' pullup 3PT,[1641711],1610612761.0,TOR,pullup,,,Dick,G. Dick,,,,,Above the Break 3,24+ Left Center,,,25.39,Missed,,,,,,,,,,,,,,,,
210,PT07M35.00S,2025-02-12T00:51:44.2Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,32,32,2025-02-12T00:51:45Z,2040000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,209.0,2.0,2.0,0.0,,
211,PT07M19.00S,2025-02-12T00:52:00.2Z,2,REGULAR,turnover,bad pass,[],1627824,,,1610612755,32,32,2025-02-12T00:52:07Z,2050000,False,,,0,,G. Yabusele bad pass TURNOVER (1 TO),"[1627824, 1642367]",1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,Mogbo,1642367.0
212,PT07M19.00S,2025-02-12T00:52:00.2Z,2,REGULAR,steal,,[],1642367,,,1610612761,32,32,2025-02-12T00:52:05Z,2060000,False,,,0,,J. Mogbo STEAL (2 STL),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
213,PT07M11.00S,2025-02-12T00:52:08.4Z,2,REGULAR,turnover,lost ball,[],1630534,,,1610612761,32,32,2025-02-12T00:52:18Z,2070000,False,,,0,,O. Agbaji lost ball TURNOVER (1 TO),"[1630534, 1629656]",1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,,,,,,,,,,,Grimes,1629656.0
214,PT07M11.00S,2025-02-12T00:52:08.4Z,2,REGULAR,steal,,[],1629656,,,1610612755,32,32,2025-02-12T00:52:10Z,2080000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
215,PT07M07.00S,2025-02-12T00:52:16.4Z,2,REGULAR,foul,offensive,[],1626162,,,1610612755,32,32,2025-02-12T00:52:30Z,2090000,False,,,0,,K. Oubre Jr. charge offensive FOUL (1 PF),"[1626162, 1642347]",1610612755.0,PHI,charge,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,1627963.0,,,,,,,,1.0,0.0,Shead,1642347.0,,,,,,,,
217,PT07M07.00S,2025-02-12T00:52:16.4Z,2,REGULAR,turnover,offensive foul,[],1626162,,,1610612755,32,32,2025-02-12T00:52:16Z,2110000,False,,,0,,K. Oubre Jr. offensive foul TURNOVER (2 TO),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,1627963.0,2.0,,,,,,,,,,,,,,,,,,
218,PT06M53.00S,2025-02-12T00:52:48.3Z,2,REGULAR,turnover,lost ball,[],1642367,,,1610612761,32,32,2025-02-12T00:52:54Z,2120000,False,,,0,,J. Mogbo lost ball TURNOVER (2 TO),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Mid-Range,16-24 Right Center,,2.0,,,,,,,,,,,,,,,,,,
219,PT06M53.00S,2025-02-12T00:52:52.1Z,2,REGULAR,foul,personal,[],1642367,,,1610612755,32,32,2025-02-12T00:52:59Z,2130000,False,,,0,,J. Mogbo loose ball personal FOUL (3 PF),"[1642367, 1626162]",1610612761.0,TOR,loose ball,,,Mogbo,J. Mogbo,,,,,Mid-Range,16-24 Right Center,1627963.0,,,,,,,,3.0,0.0,Oubre Jr.,1626162.0,,,,,,,,
221,PT06M42.00S,2025-02-12T00:53:12.2Z,2,REGULAR,foul,personal,[],1630534,,,1610612755,32,32,2025-02-12T00:53:24Z,2150000,False,,,0,,O. Agbaji personal FOUL (2 PF),"[1630534, 1627824]",1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,1627963.0,,,,,,,,2.0,0.0,Yabusele,1627824.0,,,,,,,,
223,PT06M42.00S,2025-02-12T00:53:20.0Z,2,REGULAR,substitution,out,[],1642367,,,1610612755,32,32,2025-02-12T00:53:26Z,2170000,False,,,0,,SUB out: J. Mogbo,[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M42.00S,2025-02-12T00:53:20.0Z,2,REGULAR,substitution,in,[],1631115,,,1610612755,32,32,2025-02-12T00:53:26Z,2180000,False,,,0,,SUB in: O. Robinson,[1631115],1610612761.0,TOR,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M29.00S,2025-02-12T00:53:45.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203954,33.820630749014455,65.68627450980392,1610612755,32,32,2025-02-12T00:53:50Z,2190000,False,-78.0,265.0,1,left,MISS J. Embiid 27' step back 3PT,[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,27.67,Missed,,,,,,,,,,,,,,,,
226,PT06M26.00S,2025-02-12T00:53:48.4Z,2,REGULAR,rebound,defensive,[],1642419,,,1610612761,32,32,2025-02-12T00:53:50Z,2200000,False,,,0,,J. Battle REBOUND (Off:0 Def:1),[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,225.0,1.0,1.0,0.0,,
227,PT06M17.00S,2025-02-12T00:53:57.4Z,2,REGULAR,turnover,lost ball,[],1641711,,,1610612761,32,32,2025-02-12T00:54:01Z,2210000,False,,,0,,G. Dick lost ball TURNOVER (2 TO),"[1641711, 1630215]",1610612761.0,TOR,,,,Dick,G. Dick,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,,,,,,,,,,,Butler,1630215.0
228,PT06M17.00S,2025-02-12T00:53:57.4Z,2,REGULAR,steal,,[],1630215,,,1610612755,32,32,2025-02-12T00:53:59Z,2220000,False,,,0,,J. Butler STEAL (1 STL),[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
229,PT06M13.00S,2025-02-12T00:54:03.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629656,7.276609724047319,49.754901960784316,1610612755,34,32,2025-02-12T00:54:12Z,2230000,False,1.0,16.0,1,left,Q. Grimes running Layup (5 PTS) (J. Butler 2 AST),"[1629656, 1630215]",1610612755.0,PHI,running,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,1.59,Made,5.0,J. Butler,1630215.0,2.0,,,,,,,,,,,,
231,PT06M13.00S,2025-02-12T00:54:15.7Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1642419,,,1610612755,34,32,2025-02-12T00:54:22Z,2250000,False,,,0,,J. Battle shooting personal FOUL (1 PF) (Grimes 1 FT),"[1642419, 1629656]",1610612761.0,TOR,shooting,,,Battle,J. Battle,,,,,Restricted Area,0-8 Center,1626300.0,,,,,,,,1.0,0.0,Grimes,1629656.0,,,,,,,,
235,PT06M13.00S,2025-02-12T00:54:29.0Z,2,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1629656,,,1610612755,34,32,2025-02-12T00:54:29Z,2270000,False,,,0,,MISS Q. Grimes Free Throw 1 of 1,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
236,PT06M11.00S,2025-02-12T00:54:31.3Z,2,REGULAR,rebound,offensive,[],1627824,,,1610612755,34,32,2025-02-12T00:54:31Z,2280000,False,,,0,,G. Yabusele REBOUND (Off:2 Def:2),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,235.0,4.0,2.0,2.0,,
237,PT06M05.00S,2025-02-12T00:54:37.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630215,7.408015768725363,48.28431372549019,1610612755,36,32,2025-02-12T00:54:45Z,2290000,False,9.0,17.0,1,left,J. Butler driving finger roll Layup (6 PTS),[1630215],1610612755.0,PHI,driving finger roll,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,1.91,Made,6.0,,,,,,,,,,,,,,,
239,PT06M05.00S,2025-02-12T00:54:51.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,36,32,2025-02-12T00:54:53Z,2310000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M50.00S,2025-02-12T00:57:46.7Z,2,REGULAR,3pt,Jump Shot,[],1642419,65.3580814717477,64.70588235294117,1610612761,36,35,2025-02-12T00:57:51Z,2320000,False,74.0,273.0,1,right,J. Battle 28' 3PT  (3 PTS) (O. Agbaji 1 AST),"[1642419, 1630534]",1610612761.0,TOR,,,,Battle,J. Battle,,,,,Above the Break 3,24+ Center,,,28.28,Made,3.0,O. Agbaji,1630534.0,1.0,,,,,,,,,,,,
242,PT05M38.00S,2025-02-12T00:58:01.9Z,2,REGULAR,2pt,Jump Shot,[],1630215,6.750985545335084,69.36274509803921,1610612755,36,35,2025-02-12T01:04:18Z,2340000,False,-97.0,11.0,1,left,MISS J. Butler 9' driving floating Shot,[1630215],1610612755.0,PHI,driving floating,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,,,9.74,Missed,,,,,,,,,,,,,,,,
243,PT05M36.00S,2025-02-12T00:58:03.9Z,2,REGULAR,rebound,defensive,[],1630534,,,1610612761,36,35,2025-02-12T01:04:18Z,2350000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:1),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,242.0,1.0,1.0,0.0,,
244,PT05M32.00S,2025-02-12T00:58:06.1Z,2,REGULAR,foul,personal,[],1629656,,,1610612761,36,35,2025-02-12T00:58:12Z,2360000,False,,,0,,Q. Grimes personal FOUL (1 PF),"[1629656, 1630534]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,1627963.0,,,,,,,,1.0,0.0,Agbaji,1630534.0,,,,,,,,
