actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
174,PT11M07.00S,2024-12-14T00:43:11.8Z,2,REGULAR,steal,,[],1630167,,,1610612754,24,35,2024-12-14T00:43:14Z,1730000,False,,,0,,O. Toppin STEAL (1 STL),[1630167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
175,PT11M03.00S,2024-12-14T00:43:15.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630167,94.00459921156373,51.22549019607843,1610612754,24,37,2024-12-14T00:43:22Z,1740000,False,6.0,4.0,1,right,O. Toppin running alley-oop DUNK (7 PTS) (T. McConnell 1 AST),"[1630167, 204456]",1610612754.0,IND,running alley-oop,,,,,,Restricted Area,0-8 Center,0.72,Made,7.0,Toppin,O. Toppin,T. McConnell,204456.0,1.0,,,,,,,,,,,,,,
177,PT10M48.00S,2024-12-14T00:43:30.8Z,2,REGULAR,3pt,Jump Shot,[],1630231,5.436925098554539,2.941176470588232,1610612755,27,37,2024-12-14T00:43:36Z,1760000,False,235.0,-1.0,1,left,K. Martin 3PT  (5 PTS) (R. Council IV 1 AST),"[1630231, 1641741]",1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,23.53,Made,5.0,Martin,K. Martin,R. Council IV,1641741.0,1.0,,,,,,,,,,,,,,
179,PT10M36.00S,2024-12-14T00:43:42.8Z,2,REGULAR,3pt,Jump Shot,[],1642277,96.23850197109067,5.14705882352942,1610612754,27,37,2024-12-14T00:43:47Z,1780000,False,-224.0,-17.0,1,right,MISS J. Furphy 3PT,[1642277],1610612754.0,IND,,,,,,,Left Corner 3,24+ Left,22.5,Missed,,Furphy,J. Furphy,,,,,,,,,,,,,,,,,
180,PT10M34.00S,2024-12-14T00:43:44.8Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,27,37,2024-12-14T00:43:47Z,1790000,False,,,0,,T. Maxey REBOUND (Off:0 Def:2),[1630178],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,,,Maxey,T. Maxey,,,,179.0,2.0,2.0,0.0,,,,,,,,,,
181,PT10M21.00S,2024-12-14T00:44:03.8Z,2,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,27,37,2024-12-14T00:44:11Z,1800000,False,,,0,,T. Maxey bad pass out-of-bounds TURNOVER (3 TO),[1630178],1610612755.0,PHI,bad pass,,,,,,Mid-Range,8-16 Right,,,,Maxey,T. Maxey,,,,,,,,1627534.0,3.0,,,,,,,,
182,PT10M11.00S,2024-12-14T00:44:18.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630167,69.82588699080158,26.960784313725497,1610612754,27,37,2024-12-14T00:44:24Z,1810000,False,-115.0,231.0,1,right,MISS O. Toppin 25' 3PT,[1630167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,25.82,Missed,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
183,PT10M06.00S,2024-12-14T00:44:23.0Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612755,27,37,2024-12-14T00:44:24Z,1820000,False,,,0,,K. Martin REBOUND (Off:0 Def:1),[1630231],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Martin,K. Martin,,,,182.0,1.0,1.0,0.0,,,,,,,,,,
184,PT10M00.00S,2024-12-14T00:44:31.0Z,2,REGULAR,foul,personal,['2freethrow'],204456,,,1610612755,27,37,2024-12-14T00:44:41Z,1830000,False,,,0,,T. McConnell shooting personal FOUL (1 PF) (Maxey 2 FT),"[204456, 1630178]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,,McConnell,T. McConnell,,,,,,,,1627534.0,,1.0,0.0,Maxey,1630178.0,,,,
186,PT10M00.00S,2024-12-14T00:44:56.1Z,2,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,28,37,2024-12-14T00:44:56Z,1850000,False,,,0,,T. Maxey Free Throw 1 of 2 (3 PTS),[1630178],1610612755.0,PHI,,,,,,,,,,Made,3.0,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
187,PT10M00.00S,2024-12-14T00:45:14.1Z,2,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,29,37,2024-12-14T00:45:14Z,1860000,False,,,0,,T. Maxey Free Throw 2 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,,,,,,,Made,4.0,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
188,PT09M52.00S,2024-12-14T00:45:23.3Z,2,REGULAR,3pt,Jump Shot,[],1630167,73.76806833114324,17.15686274509804,1610612754,29,37,2024-12-14T00:45:29Z,1870000,False,-164.0,194.0,1,right,MISS O. Toppin 25' 3PT,[1630167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,25.42,Missed,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
189,PT09M48.00S,2024-12-14T00:45:27.3Z,2,REGULAR,rebound,defensive,[],1641741,,,1610612755,29,37,2024-12-14T00:45:29Z,1880000,False,,,0,,R. Council IV REBOUND (Off:0 Def:2),[1641741],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Council IV,R. Council IV,,,,188.0,2.0,2.0,0.0,,,,,,,,,,
190,PT09M37.00S,2024-12-14T00:45:36.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630231,7.013797634691201,52.450980392156865,1610612755,31,37,2024-12-14T00:46:49Z,1890000,False,-12.0,13.0,1,left,K. Martin cutting Layup (7 PTS) (T. Maxey 1 AST),"[1630231, 1630178]",1610612755.0,PHI,cutting,,,,,,Restricted Area,0-8 Center,1.82,Made,7.0,Martin,K. Martin,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,
192,PT09M33.00S,2024-12-14T00:45:55.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,31,37,2024-12-14T00:45:55Z,1910000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT09M15.00S,2024-12-14T00:49:06.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,96.76412614980289,37.745098039215684,1610612754,31,39,2024-12-14T00:49:15Z,1920000,False,-61.0,-22.0,1,right,T. McConnell 6' floating Jump Shot (4 PTS),[204456],1610612754.0,IND,floating,,,,,,In The Paint (Non-RA),0-8 Center,6.52,Made,4.0,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
194,PT09M15.00S,2024-12-14T00:49:09.9Z,2,REGULAR,foul,personal,['1freethrow'],1630231,,,1610612754,31,39,2024-12-14T00:49:17Z,1930000,False,,,0,,K. Martin shooting personal FOUL (2 PF) (McConnell 1 FT),"[1630231, 204456]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Martin,K. Martin,,,,,,,,1627539.0,,2.0,0.0,McConnell,204456.0,,,,
196,PT09M15.00S,2024-12-14T00:49:28.3Z,2,REGULAR,freethrow,1 of 1,[],204456,,,1610612754,31,40,2024-12-14T00:49:28Z,1950000,False,,,0,,T. McConnell Free Throw 1 of 1 (5 PTS),[204456],1610612754.0,IND,,,,,,,,,,Made,5.0,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
197,PT08M52.00S,2024-12-14T00:49:52.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641741,8.853482260183966,47.30392156862745,1610612755,33,40,2024-12-14T00:49:58Z,1960000,False,13.0,31.0,1,left,R. Council IV driving finger roll Layup (4 PTS),[1641741],1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,3.35,Made,4.0,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
198,PT08M38.00S,2024-12-14T00:50:05.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,83.36070959264126,54.16666666666667,1610612754,33,40,2024-12-14T00:50:11Z,1970000,False,21.0,104.0,1,right,MISS T. McConnell 10' pullup Shot,[204456],1610612754.0,IND,pullup,,,,,,In The Paint (Non-RA),8-16 Center,10.6,Missed,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
199,PT08M37.00S,2024-12-14T00:50:06.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,33,40,2024-12-14T00:50:11Z,1980000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,198.0,,,,,,,,,,,,,
201,PT08M31.00S,2024-12-14T00:50:28.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1641716,77.71024967148489,9.558823529411768,1610612754,33,43,2024-12-14T00:50:33Z,2000000,False,-202.0,157.0,1,right,J. Walker 25' 3PT  (3 PTS) (T. McConnell 2 AST),"[1641716, 204456]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,25.6,Made,3.0,Walker,J. Walker,T. McConnell,204456.0,2.0,,,,,,,,,,,,,,
203,PT08M03.00S,2024-12-14T00:50:56.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641741,7.933639947437584,46.32352941176471,1610612755,33,43,2024-12-14T00:51:04Z,2020000,False,18.0,22.0,1,left,MISS R. Council IV driving Layup,[1641741],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,2.88,Missed,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
205,PT07M59.00S,2024-12-14T00:51:00.6Z,2,REGULAR,rebound,defensive,[],1627783,,,1610612754,33,43,2024-12-14T00:51:04Z,2040000,False,,,0,,P. Siakam REBOUND (Off:0 Def:4),[1627783],1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,,Siakam,P. Siakam,,,,203.0,4.0,4.0,0.0,,,,,,,,,,
206,PT07M56.00S,2024-12-14T00:51:03.8Z,2,REGULAR,3pt,Jump Shot,[],1641716,74.03088042049934,17.15686274509804,1610612754,33,43,2024-12-14T00:52:35Z,2050000,False,-164.0,192.0,1,right,MISS J. Walker 25' 3PT,[1641716],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,25.23,Missed,,Walker,J. Walker,,,,,,,,,,,,,,,,,
207,PT07M53.00S,2024-12-14T00:51:06.8Z,2,REGULAR,rebound,offensive,[],204456,,,1610612754,33,43,2024-12-14T00:52:35Z,2060000,False,,,0,,T. McConnell REBOUND (Off:1 Def:0),[204456],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,,,,McConnell,T. McConnell,,,,206.0,1.0,0.0,1.0,,,,,,,,,,
208,PT07M47.00S,2024-12-14T00:51:12.5Z,2,REGULAR,turnover,bad pass,[],204456,,,1610612754,33,43,2024-12-14T00:51:18Z,2070000,False,,,0,,T. McConnell bad pass TURNOVER (1 TO),"[204456, 1641741]",1610612754.0,IND,,,,,,,Mid-Range,16-24 Left Center,,,,McConnell,T. McConnell,,,,,,,,,1.0,,,,,Council IV,1641741.0,,
209,PT07M47.00S,2024-12-14T00:51:12.5Z,2,REGULAR,steal,,[],1641741,,,1610612755,33,43,2024-12-14T00:51:15Z,2080000,False,,,0,,R. Council IV STEAL (1 STL),[1641741],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left Center,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
210,PT07M45.00S,2024-12-14T00:51:16.9Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630178,5.962549277266746,49.754901960784316,1610612755,35,43,2024-12-14T00:52:09Z,2090000,False,1.0,4.0,1,left,T. Maxey running finger roll Layup (6 PTS) (J. McCain 2 AST),"[1630178, 1642272]",1610612755.0,PHI,running finger roll,,,,,,Restricted Area,0-8 Center,0.37,Made,6.0,Maxey,T. Maxey,J. McCain,1642272.0,2.0,,,,,,,,,,,,,,
211,PT07M45.00S,2024-12-14T00:51:24.3Z,2,REGULAR,foul,personal,['1freethrow'],1641716,,,1610612755,35,43,2024-12-14T00:51:30Z,2100000,False,,,0,,J. Walker shooting personal FOUL (1 PF) (Maxey 1 FT),"[1641716, 1630178]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,,Walker,J. Walker,,,,,,,,1627539.0,,1.0,0.0,Maxey,1630178.0,,,,
213,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,out,[],1630231,,,1610612755,35,43,2024-12-14T00:51:58Z,2120000,False,,,0,,SUB out: K. Martin,[1630231],1610612755.0,PHI,,,,,,,,,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,
214,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,out,[],203083,,,1610612755,35,43,2024-12-14T00:51:58Z,2130000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
215,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,out,[],1630167,,,1610612755,35,43,2024-12-14T00:51:58Z,2140000,False,,,0,,SUB out: O. Toppin,[1630167],1610612754.0,IND,,,,,,,,,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
216,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,out,[],204456,,,1610612755,35,43,2024-12-14T00:51:58Z,2150000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,,,,,,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
217,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,out,[],1627783,,,1610612755,35,43,2024-12-14T00:51:58Z,2160000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,,,,,,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
218,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,out,[],1642277,,,1610612755,35,43,2024-12-14T00:51:58Z,2170000,False,,,0,,SUB out: J. Furphy,[1642277],1610612754.0,IND,,,,,,,,,,,,Furphy,J. Furphy,,,,,,,,,,,,,,,,,
219,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,in,[],202331,,,1610612755,35,43,2024-12-14T00:51:58Z,2180000,False,,,0,,SUB in: P. George,[202331],1610612755.0,PHI,,,,,,,,,,,,George,P. George,,,,,,,,,,,,,,,,,
220,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,in,[],203954,,,1610612755,35,43,2024-12-14T00:51:58Z,2190000,False,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,,,,,,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
221,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,in,[],1630169,,,1610612755,35,43,2024-12-14T00:51:58Z,2200000,False,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,,,,,,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
222,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,in,[],1631097,,,1610612755,35,43,2024-12-14T00:51:58Z,2210000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,,,,,,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
223,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,in,[],1629614,,,1610612755,35,43,2024-12-14T00:51:58Z,2220000,False,,,0,,SUB in: A. Nembhard,[1629614],1610612754.0,IND,,,,,,,,,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,
224,PT07M45.00S,2024-12-14T00:51:36.6Z,2,REGULAR,substitution,in,[],1626167,,,1610612755,35,43,2024-12-14T00:51:58Z,2230000,False,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,,,,,,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,
225,PT07M45.00S,2024-12-14T00:52:05.9Z,2,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630178,,,1610612755,36,43,2024-12-14T00:52:06Z,2240000,False,,,0,,T. Maxey Free Throw 1 of 1 (7 PTS),[1630178],1610612755.0,PHI,,,,,,,,,,Made,7.0,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
226,PT07M28.00S,2024-12-14T00:52:22.3Z,2,REGULAR,3pt,Jump Shot,[],1630169,74.55650459921156,14.215686274509807,1610612754,36,43,2024-12-14T00:52:27Z,2250000,False,-179.0,187.0,1,right,MISS T. Haliburton 25' 3PT,[1630169],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,25.86,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
227,PT07M24.00S,2024-12-14T00:52:26.3Z,2,REGULAR,rebound,defensive,[],1641741,,,1610612755,36,43,2024-12-14T00:52:27Z,2260000,False,,,0,,R. Council IV REBOUND (Off:0 Def:3),[1641741],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Council IV,R. Council IV,,,,226.0,3.0,3.0,0.0,,,,,,,,,,
228,PT07M14.00S,2024-12-14T00:52:36.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,5.436925098554539,61.76470588235294,1610612755,38,43,2024-12-14T00:52:47Z,2270000,False,-59.0,-1.0,1,left,J. Embiid turnaround Jump Shot (5 PTS) (J. McCain 3 AST),"[203954, 1642272]",1610612755.0,PHI,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,5.88,Made,5.0,Embiid,J. Embiid,J. McCain,1642272.0,3.0,,,,,,,,,,,,,,
230,PT06M59.00S,2024-12-14T00:52:51.3Z,2,REGULAR,turnover,bad pass,[],1641716,,,1610612754,38,43,2024-12-14T00:52:56Z,2290000,False,,,0,,J. Walker bad pass TURNOVER (1 TO),"[1641716, 1630178]",1610612754.0,IND,,,,,,,Mid-Range,16-24 Right,,,,Walker,J. Walker,,,,,,,,,1.0,,,,,Maxey,1630178.0,,
231,PT06M59.00S,2024-12-14T00:52:51.3Z,2,REGULAR,steal,,[],1630178,,,1610612755,38,43,2024-12-14T00:52:53Z,2300000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
232,PT06M52.00S,2024-12-14T00:52:57.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641741,9.247700394218143,48.774509803921575,1610612755,38,43,2024-12-14T00:53:05Z,2310000,False,6.0,34.0,1,left,MISS R. Council IV driving floating bank Shot,[1641741],1610612755.0,PHI,driving floating bank,,,,,,Restricted Area,0-8 Center,3.49,Missed,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
233,PT06M50.00S,2024-12-14T00:52:59.9Z,2,REGULAR,rebound,defensive,[],1641716,,,1610612754,38,43,2024-12-14T00:53:05Z,2320000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,,Walker,J. Walker,,,,232.0,1.0,1.0,0.0,,,,,,,,,,
234,PT06M37.00S,2024-12-14T00:53:16.2Z,2,REGULAR,foul,personal,[],1642272,,,1610612754,38,43,2024-12-14T00:53:26Z,2330000,False,,,0,,J. McCain personal FOUL (1 PF),"[1642272, 1641716]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,McCain,J. McCain,,,,,,,,1627534.0,,1.0,0.0,Walker,1641716.0,,,,
236,PT06M37.00S,2024-12-14T00:53:27.5Z,2,REGULAR,substitution,out,[],1641741,,,1610612754,38,43,2024-12-14T00:53:31Z,2350000,False,,,0,,SUB out: R. Council IV,[1641741],1610612755.0,PHI,,,,,,,,,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
237,PT06M37.00S,2024-12-14T00:53:27.5Z,2,REGULAR,substitution,in,[],1626162,,,1610612754,38,43,2024-12-14T00:53:31Z,2360000,False,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,,,,,,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,
238,PT06M30.00S,2024-12-14T00:53:47.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,87.43429697766098,58.33333333333333,1610612754,38,43,2024-12-14T00:53:53Z,2370000,False,42.0,66.0,1,right,MISS T. Haliburton 7' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.77,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
239,PT06M26.00S,2024-12-14T00:53:51.3Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,38,43,2024-12-14T00:53:53Z,2380000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Embiid,J. Embiid,,,,238.0,2.0,2.0,0.0,,,,,,,,,,
240,PT06M18.00S,2024-12-14T00:54:02.5Z,2,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612755,38,43,2024-12-14T00:54:12Z,2390000,False,,,0,,M. Turner shooting personal FOUL (2 PF) (Embiid 2 FT),"[1626167, 203954]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,,Turner,M. Turner,,,,,,,,1627534.0,,2.0,0.0,Embiid,203954.0,,,,
242,PT06M18.00S,2024-12-14T00:54:35.4Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,39,43,2024-12-14T00:54:35Z,2410000,False,,,0,,J. Embiid Free Throw 1 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Made,6.0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
244,PT06M18.00S,2024-12-14T00:54:37.8Z,2,REGULAR,substitution,out,[],1630178,,,1610612755,39,43,2024-12-14T00:54:57Z,2420000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
245,PT06M18.00S,2024-12-14T00:54:37.8Z,2,REGULAR,substitution,out,[],1641716,,,1610612755,39,43,2024-12-14T00:54:57Z,2430000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,,,,,,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,
246,PT06M18.00S,2024-12-14T00:54:37.8Z,2,REGULAR,substitution,in,[],202704,,,1610612755,39,43,2024-12-14T00:54:57Z,2440000,False,,,0,,SUB in: R. Jackson,[202704],1610612755.0,PHI,,,,,,,,,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,
247,PT06M18.00S,2024-12-14T00:54:37.8Z,2,REGULAR,substitution,in,[],1630167,,,1610612755,39,43,2024-12-14T00:54:57Z,2450000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,,,,,,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
248,PT06M18.00S,2024-12-14T00:55:11.9Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,40,43,2024-12-14T00:55:11Z,2460000,False,,,0,,J. Embiid Free Throw 2 of 2 (7 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Made,7.0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
249,PT06M11.00S,2024-12-14T00:55:20.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630167,92.69053876478318,55.63725490196079,1610612754,40,43,2024-12-14T00:55:30Z,2470000,False,28.0,16.0,1,right,MISS O. Toppin driving Layup - blocked,"[1630167, 202331]",1610612754.0,IND,driving,,,,,,Restricted Area,0-8 Center,3.25,Missed,,Toppin,O. Toppin,,,,,,,,,,,,,,,,George,202331.0
250,PT06M11.00S,2024-12-14T00:55:20.5Z,2,REGULAR,block,,[],202331,,,1610612754,40,43,2024-12-14T00:57:06Z,2480000,False,,,0,,P. George BLOCK (1 BLK),[202331],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,George,P. George,,,,,,,,,,,,,,,,,
251,PT06M11.00S,2024-12-14T00:55:20.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612755,40,43,2024-12-14T00:55:30Z,2490000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,,,,,,249.0,,,,,,,,,,,,,
253,PT06M00.00S,2024-12-14T00:55:39.2Z,2,REGULAR,2pt,Jump Shot,[],202331,8.196452036793687,85.5392156862745,1610612755,40,43,2024-12-14T00:55:45Z,2510000,False,-178.0,25.0,1,left,MISS P. George 17' Jump Shot,[202331],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left,17.94,Missed,,George,P. George,,,,,,,,,,,,,,,,,
254,PT05M56.00S,2024-12-14T00:55:43.2Z,2,REGULAR,rebound,defensive,[],1630169,,,1610612754,40,43,2024-12-14T00:55:45Z,2520000,False,,,0,,T. Haliburton REBOUND (Off:1 Def:1),[1630169],1610612754.0,IND,,,,,,,Mid-Range,16-24 Left,,,,Haliburton,T. Haliburton,,,,253.0,2.0,1.0,1.0,,,,,,,,,,
255,PT05M48.00S,2024-12-14T00:55:51.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,87.30289093298292,55.88235294117647,1610612754,40,43,2024-12-14T00:55:57Z,2530000,False,29.0,67.0,1,right,MISS M. Turner 7' turnaround Shot - blocked,"[1626167, 202331]",1610612754.0,IND,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,7.31,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,George,202331.0
256,PT05M48.00S,2024-12-14T00:55:51.3Z,2,REGULAR,block,,[],202331,,,1610612754,40,43,2024-12-14T00:55:54Z,2540000,False,,,0,,P. George BLOCK (2 BLK),[202331],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,George,P. George,,,,,,,,,,,,,,,,,
257,PT05M47.00S,2024-12-14T00:55:52.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,40,43,2024-12-14T00:55:57Z,2550000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,255.0,,,,,,,,,,,,,
259,PT05M40.00S,2024-12-14T00:56:15.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630167,94.13600525624179,50.49019607843137,1610612754,40,45,2024-12-14T00:56:21Z,2570000,False,2.0,3.0,1,right,O. Toppin driving DUNK (9 PTS) (T. Haliburton 4 AST),"[1630167, 1630169]",1610612754.0,IND,driving,,,,,,Restricted Area,0-8 Center,0.36,Made,9.0,Toppin,O. Toppin,T. Haliburton,1630169.0,4.0,,,,,,,,,,,,,,
261,PT05M25.00S,2024-12-14T00:56:30.5Z,2,REGULAR,3pt,Jump Shot,[],202704,30.798291721419176,82.84313725490196,1610612755,40,45,2024-12-14T00:56:35Z,2590000,False,-164.0,237.0,1,left,MISS R. Jackson 28' 3PT,[202704],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,28.83,Missed,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,
