actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
373,PT08M37.00S,2022-11-20T00:27:18.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,94.40999984741211,50.0,1610612761,65,66,2022-11-20T00:27:18Z,3640000,False,0.0,0.0,1,right,MISS S. Barnes tip Layup,[1630567],1610612761.0,TOR,tip,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
374,PT08M36.00S,2022-11-20T00:27:18.7Z,3,REGULAR,rebound,defensive,[],1628381,,,1610612737,65,66,2022-11-20T00:27:18Z,3650000,False,,,0,,J. Collins REBOUND (Off:0 Def:10),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Left,,,373.0,,,10.0,10.0,0.0,,,,,,,,,,,,
375,PT08M33.00S,2022-11-20T00:27:22.5Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,29.911300919842315,70.83333333333334,1610612737,68,66,2022-11-20T00:27:28Z,3660000,False,-104.0,229.0,1,left,T. Young 25' 3PT running pullup (19 PTS),[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,25.13,Made,,,,,,,19.0,,,,,,,,,,,
377,PT08M05.00S,2022-11-20T00:27:50.6Z,3,REGULAR,3pt,Jump Shot,[],1627832,69.46452036793693,25.49019607843137,1610612761,68,69,2022-11-20T00:29:42Z,3680000,False,-123.0,235.0,1,right,F. VanVleet 26' 3PT step back (15 PTS),[1627832],1610612761.0,TOR,step back,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,26.46,Made,,,,,,,15.0,,,,,,,,,,,
378,PT07M57.00S,2022-11-20T00:27:58.7Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1629631,5.863994743758213,50.98039215686274,1610612737,70,69,2022-11-20T00:28:06Z,3690000,False,-5.0,3.0,1,left,D. Hunter running DUNK (6 PTS) (T. Young 6 AST),"[1629631, 1629027]",1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,0.55,Made,,,,,,,6.0,T. Young,1629027.0,6.0,,,,,,,,
380,PT07M46.00S,2022-11-20T00:28:09.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,91.67214191852825,51.71568627450981,1610612761,70,69,2022-11-20T00:28:16Z,3710000,False,9.0,26.0,1,right,MISS F. VanVleet driving Layup,[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,,,,,,,,,,,,,,
381,PT07M45.00S,2022-11-20T00:28:10.6Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612761,70,69,2022-11-20T00:28:16Z,3720000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,380.0,,,,,,,,,,,,,,,,,
385,PT07M36.00S,2022-11-20T00:28:57.2Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,85.3646517739816,4.166666666666666,1610612761,70,69,2022-11-20T00:29:01Z,3750000,False,-229.0,85.0,1,right,MISS O. Anunoby 24' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,24.45,Missed,,,,,,,,,,,,,,,,,,
386,PT07M33.00S,2022-11-20T00:29:00.2Z,3,REGULAR,rebound,defensive,[],1628381,,,1610612737,70,69,2022-11-20T00:29:01Z,3760000,False,,,0,,J. Collins REBOUND (Off:0 Def:11),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Left Corner 3,24+ Left,,,385.0,,,11.0,11.0,0.0,,,,,,,,,,,,
387,PT07M26.00S,2022-11-20T00:29:07.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203991,6.783837056504599,49.26470588235294,1610612737,70,69,2022-11-20T00:29:11Z,3770000,False,4.0,11.0,1,left,MISS C. Capela alley-oop Layup,[203991],1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.19,Missed,,,,,,,,,,,,,,,,,,
388,PT07M24.00S,2022-11-20T00:29:09.1Z,3,REGULAR,rebound,defensive,[],201152,,,1610612761,70,69,2022-11-20T00:29:11Z,3780000,False,,,0,,T. Young REBOUND (Off:2 Def:4),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,387.0,,,6.0,4.0,2.0,,,,,,,,,,,,
389,PT07M21.00S,2022-11-20T00:29:12.0Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630567,94.30026281208936,49.01960784313725,1610612761,70,71,2022-11-20T00:29:17Z,3790000,False,-5.0,1.0,1,right,S. Barnes running DUNK (17 PTS) (T. Young 3 AST),"[1630567, 201152]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,0.5,Made,,,,,,,17.0,T. Young,201152.0,3.0,,,,,,,,
391,PT07M04.00S,2022-11-20T00:29:29.7Z,3,REGULAR,foul,personal,['2freethrow'],201152,,,1610612737,70,71,2022-11-20T00:30:06Z,3810000,False,,,0,,T. Young shooting personal FOUL (2 PF) (Collins 2 FT),"[201152, 1628381]",1610612761.0,TOR,shooting,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,202049.0,2.0,0.0,Collins,1628381.0
393,PT07M04.00S,2022-11-20T00:30:07.2Z,3,REGULAR,freethrow,1 of 2,[],1628381,,,1610612737,71,71,2022-11-20T00:30:07Z,3830000,False,,,0,,J. Collins Free Throw 1 of 2 (6 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
394,PT07M04.00S,2022-11-20T00:30:08.2Z,3,REGULAR,substitution,out,[],203991,,,1610612737,71,71,2022-11-20T00:30:10Z,3840000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
395,PT07M04.00S,2022-11-20T00:30:08.2Z,3,REGULAR,substitution,in,[],1630168,,,1610612737,71,71,2022-11-20T00:30:10Z,3850000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
396,PT07M04.00S,2022-11-20T00:30:07.2Z,3,REGULAR,freethrow,2 of 2,[],1628381,,,1610612737,71,71,2022-11-20T00:30:31Z,3860000,False,,,0,,MISS J. Collins Free Throw 2 of 2,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
397,PT07M02.00S,2022-11-20T00:30:09.2Z,3,REGULAR,rebound,defensive,[],1627823,,,1610612761,71,71,2022-11-20T00:30:31Z,3870000,False,,,0,,J. Hernangomez REBOUND (Off:1 Def:5),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,,,,,396.0,,,6.0,5.0,1.0,,,,,,,,,,,,
398,PT06M43.00S,2022-11-20T00:30:48.7Z,3,REGULAR,2pt,Jump Shot,[],1630567,74.06373193166885,31.61764705882353,1610612761,71,71,2022-11-20T00:30:53Z,3880000,False,-92.0,191.0,1,right,MISS S. Barnes 21' step back Shot,[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,21.22,Missed,,,,,,,,,,,,,,,,,,
399,PT06M41.00S,2022-11-20T00:30:50.7Z,3,REGULAR,rebound,defensive,[],1630168,,,1610612737,71,71,2022-11-20T00:30:53Z,3890000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Left Center,,,398.0,,,2.0,2.0,0.0,,,,,,,,,,,,
400,PT06M33.00S,2022-11-20T00:30:59.1Z,3,REGULAR,3pt,Jump Shot,[],1629027,32.802233902759525,46.81372549019608,1610612737,71,71,2022-11-20T00:31:04Z,3900000,False,16.0,256.0,1,left,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Center,25.63,Missed,,,,,,,,,,,,,,,,,,
401,PT06M29.00S,2022-11-20T00:31:03.1Z,3,REGULAR,rebound,defensive,[],1628384,,,1610612761,71,71,2022-11-20T00:31:04Z,3910000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,,,400.0,,,1.0,1.0,0.0,,,,,,,,,,,,
402,PT06M27.00S,2022-11-20T00:31:06.3Z,3,REGULAR,turnover,bad pass,[],1630567,,,1610612761,71,71,2022-11-20T00:31:13Z,3920000,False,,,0,,S. Barnes bad pass TURNOVER (2 TO),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2.0,,,,,,,
403,PT06M27.00S,2022-11-20T00:31:11.4Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,71,71,2022-11-20T00:31:11Z,3930000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,PT06M27.00S,2022-11-20T00:33:43.0Z,3,REGULAR,substitution,out,[],1629027,,,1610612737,71,71,2022-11-20T00:33:59Z,3940000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
406,PT06M27.00S,2022-11-20T00:33:43.0Z,3,REGULAR,substitution,out,[],1627823,,,1610612737,71,71,2022-11-20T00:33:59Z,3950000,False,,,0,,SUB out: J. Hernangomez,[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
407,PT06M27.00S,2022-11-20T00:33:43.0Z,3,REGULAR,substitution,in,[],1631100,,,1610612737,71,71,2022-11-20T00:33:59Z,3960000,False,,,0,,SUB in: A. Griffin,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
408,PT06M27.00S,2022-11-20T00:33:43.0Z,3,REGULAR,substitution,in,[],1631132,,,1610612737,71,71,2022-11-20T00:33:59Z,3970000,False,,,0,,SUB in: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
409,PT06M10.00S,2022-11-20T00:34:32.0Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1629631,19.267411300919843,23.284313725490197,1610612737,71,71,2022-11-20T00:34:39Z,3980000,False,134.0,129.0,1,left,MISS D. Hunter 18' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right Center,18.54,Missed,,,,,,,,,,,,,,,,,,
410,PT06M06.00S,2022-11-20T00:34:36.0Z,3,REGULAR,rebound,offensive,[],1631100,,,1610612737,71,71,2022-11-20T00:34:39Z,3990000,False,,,0,,A. Griffin REBOUND (Off:1 Def:2),[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,Mid-Range,16-24 Right Center,,,409.0,,,3.0,2.0,1.0,,,,,,,,,,,,
411,PT06M03.00S,2022-11-20T00:34:38.7Z,3,REGULAR,turnover,lost ball,[],1628381,,,1610612737,71,71,2022-11-20T00:34:42Z,4000000,False,,,0,,J. Collins lost ball TURNOVER (3 TO),"[1628381, 201152]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,3.0,Young,201152.0,,,,,
412,PT06M03.00S,2022-11-20T00:34:38.7Z,3,REGULAR,steal,,[],201152,,,1610612761,71,71,2022-11-20T00:34:40Z,4010000,False,,,0,,T. Young STEAL (4 STL),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
413,PT05M59.00S,2022-11-20T00:34:42.6Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,93.64323258869908,49.754901960784316,1610612761,71,73,2022-11-20T00:34:48Z,4020000,False,-1.0,7.0,1,right,O. Anunoby running DUNK (11 PTS) (S. Barnes 6 AST),"[1628384, 1630567]",1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,,,11.0,S. Barnes,1630567.0,6.0,,,,,,,,
415,PT05M46.00S,2022-11-20T00:34:56.0Z,3,REGULAR,turnover,bad pass,[],1628381,,,1610612737,71,73,2022-11-20T00:35:01Z,4040000,False,,,0,,J. Collins bad pass TURNOVER (4 TO),"[1628381, 1628384]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,4.0,Anunoby,1628384.0,,,,,
416,PT05M46.00S,2022-11-20T00:34:56.0Z,3,REGULAR,steal,,[],1628384,,,1610612761,71,73,2022-11-20T00:34:58Z,4050000,False,,,0,,O. Anunoby STEAL (2 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
417,PT05M29.00S,2022-11-20T00:35:14.8Z,3,REGULAR,foul,personal,[],1629631,,,1610612761,71,73,2022-11-20T00:35:20Z,4060000,False,,,0,,D. Hunter personal FOUL (2 PF),"[1629631, 1627832]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1151.0,2.0,0.0,VanVleet,1627832.0
419,PT05M29.00S,2022-11-20T00:35:36.4Z,3,REGULAR,substitution,out,[],1630567,,,1610612761,71,73,2022-11-20T00:35:44Z,4080000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
420,PT05M29.00S,2022-11-20T00:35:36.4Z,3,REGULAR,substitution,in,[],1630201,,,1610612761,71,73,2022-11-20T00:35:44Z,4090000,False,,,0,,SUB in: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,
422,PT05M19.00S,2022-11-20T00:36:01.2Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,80.23981603153744,6.372549019607843,1610612761,71,73,2022-11-20T00:36:25Z,4110000,False,-218.0,133.0,1,right,MISS F. VanVleet 25' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.56,Missed,,,,,,,,,,,,,,,,,,
423,PT05M15.00S,2022-11-20T00:36:04.2Z,3,REGULAR,rebound,offensive,[],1631132,,,1610612761,71,73,2022-11-20T00:36:04Z,4120000,False,,,0,,C. Koloko REBOUND (Off:2 Def:2),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Above the Break 3,24+ Left Center,,,422.0,,,4.0,2.0,2.0,,,,,,,,,,,,
424,PT05M08.00S,2022-11-20T00:36:11.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628384,92.59198423127464,50.245098039215684,1610612761,71,75,2022-11-20T00:39:04Z,4130000,False,1.0,17.0,1,right,O. Anunoby driving Layup (13 PTS) (T. Young 4 AST),"[1628384, 201152]",1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.71,Made,,,,,,,13.0,T. Young,201152.0,4.0,,,,,,,,
425,PT05M07.00S,2022-11-20T00:36:17.5Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,71,75,2022-11-20T00:36:17Z,4140000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,PT05M07.00S,2022-11-20T00:38:39.0Z,3,REGULAR,substitution,out,[],1627749,,,1610612737,71,75,2022-11-20T00:38:52Z,4150000,False,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
427,PT05M07.00S,2022-11-20T00:38:39.0Z,3,REGULAR,substitution,in,[],1629027,,,1610612737,71,75,2022-11-20T00:38:52Z,4160000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
428,PT04M50.00S,2022-11-20T00:39:24.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,5.732588699080158,50.0,1610612737,73,75,2022-11-20T00:39:28Z,4170000,False,0.0,1.0,1,left,D. Hunter driving Layup (8 PTS) (J. Collins 4 AST),"[1629631, 1628381]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,0.14,Made,,,,,,,8.0,J. Collins,1628381.0,4.0,,,,,,,,
430,PT04M33.00S,2022-11-20T00:39:41.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,82.21090670170827,56.86274509803921,1610612761,73,75,2022-11-20T00:39:45Z,4190000,False,34.0,115.0,1,right,MISS O. Anunoby 11' turnaround fadeaway Shot,[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,11.97,Missed,,,,,,,,,,,,,,,,,,
431,PT04M30.00S,2022-11-20T00:39:44.3Z,3,REGULAR,rebound,defensive,[],1630168,,,1610612737,73,75,2022-11-20T00:39:45Z,4200000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,430.0,,,3.0,3.0,0.0,,,,,,,,,,,,
432,PT04M22.00S,2022-11-20T00:39:54.6Z,3,REGULAR,foul,personal,[],1630201,,,1610612737,73,75,2022-11-20T00:40:18Z,4210000,False,,,0,,M. Flynn personal FOUL (1 PF),"[1630201, 1631100]",1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Griffin,1631100.0
434,PT04M22.00S,2022-11-20T00:40:06.2Z,3,REGULAR,substitution,out,[],1628384,,,1610612737,73,75,2022-11-20T00:40:11Z,4230000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
435,PT04M22.00S,2022-11-20T00:40:06.2Z,3,REGULAR,substitution,in,[],1630567,,,1610612737,73,75,2022-11-20T00:40:11Z,4240000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT04M21.00S,2022-11-20T00:40:23.1Z,3,REGULAR,foul,personal,['2freethrow'],1630201,,,1610612737,73,75,2022-11-20T00:40:56Z,4250000,False,,,0,,M. Flynn shooting personal FOUL (2 PF) (Okongwu 2 FT),"[1630201, 1630168]",1610612761.0,TOR,shooting,,,Flynn,M. Flynn,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,202049.0,2.0,0.0,Okongwu,1630168.0
439,PT04M21.00S,2022-11-20T00:40:56.8Z,3,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,73,75,2022-11-20T00:40:56Z,4270000,False,,,0,,MISS O. Okongwu Free Throw 1 of 2,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
440,PT04M21.00S,2022-11-20T00:40:56.8Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,73,75,2022-11-20T00:40:56Z,4280000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,439.0,,,,,,,,,,,,,,,,,
441,PT04M21.00S,2022-11-20T00:41:09.8Z,3,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,74,75,2022-11-20T00:41:09Z,4290000,False,,,0,,O. Okongwu Free Throw 2 of 2 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
442,PT03M58.00S,2022-11-20T00:41:33.9Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1631132,93.38042049934296,49.01960784313725,1610612761,74,77,2022-11-20T00:41:38Z,4300000,False,-5.0,10.0,1,right,C. Koloko DUNK (2 PTS) (F. VanVleet 4 AST),"[1631132, 1627832]",1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,2.0,F. VanVleet,1627832.0,4.0,,,,,,,,
444,PT03M44.00S,2022-11-20T00:41:49.8Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627832,,,1610612737,74,77,2022-11-20T00:42:17Z,4320000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Hunter 2 FT),"[1627832, 1629631]",1610612761.0,TOR,shooting,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,203177.0,1.0,1.0,Hunter,1629631.0
446,PT03M44.00S,2022-11-20T00:42:29.3Z,3,REGULAR,timeout,full,['team'],0,,,1610612737,74,77,2022-11-20T00:42:29Z,4340000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,PT03M44.00S,2022-11-20T00:44:04.1Z,3,REGULAR,substitution,out,[],1630168,,,1610612737,74,77,2022-11-20T00:44:17Z,4360000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
449,PT03M44.00S,2022-11-20T00:44:04.1Z,3,REGULAR,substitution,out,[],1628381,,,1610612737,74,77,2022-11-20T00:44:17Z,4370000,False,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
451,PT03M44.00S,2022-11-20T00:44:04.1Z,3,REGULAR,substitution,in,[],203991,,,1610612737,74,77,2022-11-20T00:44:17Z,4390000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
452,PT03M44.00S,2022-11-20T00:44:04.1Z,3,REGULAR,substitution,in,[],203200,,,1610612737,74,77,2022-11-20T00:44:17Z,4400000,False,,,0,,SUB in: J. Holiday,[203200],1610612737.0,ATL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
453,PT03M44.00S,2022-11-20T00:44:04.1Z,3,REGULAR,substitution,in,[],1627823,,,1610612737,74,77,2022-11-20T00:44:17Z,4410000,False,,,0,,SUB in: J. Hernangomez,[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
454,PT03M44.00S,2022-11-20T00:44:04.1Z,3,REGULAR,substitution,out,[],201152,,,1610612737,74,77,2022-11-20T00:44:32Z,4420000,False,,,0,,SUB out: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
455,PT03M44.00S,2022-11-20T00:44:43.2Z,3,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,75,77,2022-11-20T00:44:43Z,4430000,False,,,0,,D. Hunter Free Throw 1 of 2 (9 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
456,PT03M44.00S,2022-11-20T00:44:58.2Z,3,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,76,77,2022-11-20T00:44:58Z,4440000,False,,,0,,D. Hunter Free Throw 2 of 2 (10 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
457,PT03M28.00S,2022-11-20T00:45:17.5Z,3,REGULAR,2pt,Hook,[],1630567,81.34034165571616,29.721966911764707,1610612761,76,77,2022-11-20T00:45:51Z,4450000,False,-101.0,123.0,1,right,MISS S. Barnes 15' Hook,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,15.93,Missed,,,,,,,,,,,,,,,,,,
458,PT03M27.00S,2022-11-20T00:45:18.5Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612761,76,77,2022-11-20T00:54:52Z,4460000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Mid-Range,8-16 Left,,,457.0,,,,,,,,,,,,,,,,,
461,PT03M26.00S,2022-11-20T00:45:25.3Z,3,REGULAR,foul,personal,[],203991,,,1610612761,76,77,2022-11-20T00:45:31Z,4490000,False,,,0,,C. Capela loose ball personal FOUL (2 PF),"[203991, 1631132]",1610612737.0,ATL,loose ball,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,202049.0,2.0,0.0,Koloko,1631132.0
463,PT03M19.00S,2022-11-20T00:45:52.8Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1631132,91.40932982917214,95.83333333333334,1610612761,76,77,2022-11-20T00:45:57Z,4510000,False,229.0,28.0,1,right,MISS C. Koloko 3PT,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Right Corner 3,24+ Right,23.09,Missed,,,,,,,,,,,,,,,,,,
464,PT03M17.00S,2022-11-20T00:45:54.7Z,3,REGULAR,rebound,offensive,[],1631132,,,1610612761,76,77,2022-11-20T00:45:54Z,4520000,False,,,0,,C. Koloko REBOUND (Off:3 Def:2),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Right Corner 3,24+ Right,,,463.0,,,5.0,2.0,3.0,,,,,,,,,,,,
465,PT03M12.00S,2022-11-20T00:46:00.4Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1630567,67.49342969776609,52.450980392156865,1610612761,76,80,2022-11-20T00:46:05Z,4530000,False,12.0,253.0,1,right,S. Barnes 25' 3PT  (20 PTS) (M. Flynn 1 AST),"[1630567, 1630201]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,25.34,Made,,,,,,,20.0,M. Flynn,1630201.0,1.0,,,,,,,,
467,PT02M57.00S,2022-11-20T00:46:15.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203991,5.469776609724048,48.03921568627451,1610612737,78,80,2022-11-20T00:46:20Z,4550000,False,10.0,-1.0,1,left,C. Capela alley-oop Layup (18 PTS) (T. Young 7 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.99,Made,,,,,,,18.0,T. Young,1629027.0,7.0,,,,,,,,
