actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
255,PT05M47.00S,2022-10-20T00:22:56.8Z,2,REGULAR,foul,personal,[],1628381,,,1610612745,44,39,2022-10-20T00:23:04Z,2550000,,,0,,J. Collins personal FOUL (2 PF),"[1628381, 1628981]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628168.0,2.0,0.0,Fernando,1628981.0,,,
257,PT05M37.00S,2022-10-20T00:23:20.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1631095,30.042706964520367,32.84313725490196,1610612745,44,39,2022-10-20T00:23:26Z,2570000,86.0,230.0,1,left,MISS J. Smith Jr. 24' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,24.54,Missed,,,,,,,,,,,,,,,,,,
258,PT05M33.00S,2022-10-20T00:23:24.2Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,44,39,2022-10-20T00:23:26Z,2580000,,,0,,C. Capela REBOUND (Off:2 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,257.0,3.0,1.0,2.0,,,,,,,,,,,,,
259,PT05M26.00S,2022-10-20T00:23:30.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,83.78777923784494,57.107843137254896,1610612737,44,39,2022-10-20T00:39:00Z,2590000,36.0,100.0,1,right,MISS D. Hunter 10' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,10.6,Missed,,,,,,,,,,,,,,,,,,
260,PT05M23.00S,2022-10-20T00:23:33.6Z,2,REGULAR,rebound,defensive,[],1630224,,,1610612745,44,39,2022-10-20T00:23:36Z,2600000,,,0,,J. Green REBOUND (Off:1 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,259.0,3.0,2.0,1.0,,,,,,,,,,,,,
261,PT05M14.00S,2022-10-20T00:23:42.4Z,2,REGULAR,3pt,Jump Shot,[],1631095,28.465834428383708,75.73529411764706,1610612745,44,39,2022-10-20T00:38:39Z,2610000,-129.0,215.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,,
262,PT05M12.00S,2022-10-20T00:23:44.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612737,44,39,2022-10-20T00:23:48Z,2620000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,261.0,,,,,,,,,,,,,,,,
264,PT05M00.00S,2022-10-20T00:24:06.3Z,2,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612737,44,39,2022-10-20T00:24:33Z,2640000,,,0,,J. Smith Jr. shooting personal FOUL (2 PF) (Collins 2 FT),"[1631095, 1628381]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202049.0,2.0,0.0,Collins,1628381.0,,,
266,PT05M00.00S,2022-10-20T00:24:34.7Z,2,REGULAR,freethrow,1 of 2,[],1628381,,,1610612737,45,39,2022-10-20T00:24:34Z,2660000,,,0,,J. Collins Free Throw 1 of 2 (12 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
267,PT05M00.00S,2022-10-20T00:24:50.5Z,2,REGULAR,freethrow,2 of 2,[],1628381,,,1610612737,46,39,2022-10-20T00:24:50Z,2670000,,,0,,J. Collins Free Throw 2 of 2 (13 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
268,PT04M50.00S,2022-10-20T00:25:01.9Z,2,REGULAR,3pt,Jump Shot,[],1629645,32.14520367936925,47.549019607843135,1610612745,46,42,2022-10-20T00:25:07Z,2680000,12.0,250.0,1,left,K. Porter Jr. 25' 3PT pullup (7 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,25.0,Made,7.0,,,,,,,,,,,,,,,,,
269,PT04M34.00S,2022-10-20T00:25:17.8Z,2,REGULAR,2pt,Jump Shot,[],1629631,85.49605781865965,17.647058823529413,1610612737,48,42,2022-10-20T00:25:23Z,2690000,-162.0,84.0,1,right,D. Hunter 18' pullup Jump Shot (8 PTS) (T. Young 7 AST),"[1629631, 1629027]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left,18.22,Made,8.0,,,,,,,T. Young,1629027.0,7.0,,,,,,,,
271,PT04M16.00S,2022-10-20T00:25:36.1Z,2,REGULAR,turnover,bad pass,[],1629645,,,1610612745,48,42,2022-10-20T00:25:40Z,2710000,,,0,,K. Porter Jr. bad pass TURNOVER (3 TO),"[1629645, 1627749]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,3.0,Murray,1627749.0
272,PT04M16.00S,2022-10-20T00:25:36.1Z,2,REGULAR,steal,,[],1627749,,,1610612737,48,42,2022-10-20T00:25:38Z,2720000,,,0,,D. Murray STEAL (3 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
273,PT04M12.00S,2022-10-20T00:25:40.1Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629027,69.07030223390277,74.50980392156863,1610612737,51,42,2022-10-20T00:25:47Z,2730000,123.0,238.0,1,right,T. Young 26' 3PT running pullup (7 PTS) (D. Murray 6 AST),"[1629027, 1627749]",1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,26.79,Made,7.0,,,,,,,D. Murray,1627749.0,6.0,,,,,,,,
275,PT03M51.00S,2022-10-20T00:26:00.1Z,2,REGULAR,2pt,Jump Shot,[],1631095,25.706307490144546,35.53921568627451,1610612745,51,42,2022-10-20T00:26:05Z,2750000,72.0,189.0,1,left,MISS J. Smith Jr. 20' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right Center,20.25,Missed,,,,,,,,,,,,,,,,,,
276,PT03M48.00S,2022-10-20T00:26:03.1Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,51,42,2022-10-20T00:26:05Z,2760000,,,0,,C. Capela REBOUND (Off:2 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,16-24 Right Center,,,,275.0,4.0,2.0,2.0,,,,,,,,,,,,,
277,PT03M37.00S,2022-10-20T00:26:14.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,90.3580814717477,43.38235294117647,1610612737,53,42,2022-10-20T00:26:23Z,2770000,-33.0,38.0,1,right,T. Young driving floating bank Jump Shot (9 PTS),[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,5.05,Made,9.0,,,,,,,,,,,,,,,,,
278,PT03M36.00S,2022-10-20T00:26:20.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,53,42,2022-10-20T00:26:20Z,2780000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT03M20.00S,2022-10-20T00:29:31.5Z,2,REGULAR,2pt,Jump Shot,[],1629645,21.107095926412615,48.77450980392157,1610612745,53,44,2022-10-20T00:29:37Z,2790000,6.0,146.0,1,left,K. Porter Jr. 14' pullup Jump Shot (9 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Center,14.6,Made,9.0,,,,,,,,,,,,,,,,,
280,PT03M02.00S,2022-10-20T00:29:49.8Z,2,REGULAR,3pt,Jump Shot,[],1627749,74.19513797634691,85.5392156862745,1610612737,53,44,2022-10-20T00:29:56Z,2800000,178.0,190.0,1,right,MISS D. Murray 26' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,26.02,Missed,,,,,,,,,,,,,,,,,,
281,PT02M59.00S,2022-10-20T00:29:52.8Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,53,44,2022-10-20T00:29:56Z,2810000,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Right Center,,,,280.0,1.0,1.0,0.0,,,,,,,,,,,,,
282,PT02M52.00S,2022-10-20T00:29:59.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630231,5.601182654402102,50.0,1610612745,53,46,2022-10-20T00:30:06Z,2820000,0.0,0.0,1,left,K. Martin Jr. alley-oop DUNK (2 PTS) (J. Green 2 AST),"[1630231, 1630224]",1610612745.0,HOU,alley-oop,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,0.02,Made,2.0,,,,,,,J. Green,1630224.0,2.0,,,,,,,,
284,PT02M34.00S,2022-10-20T00:30:17.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,81.42247043363994,51.71568627450981,1610612737,55,46,2022-10-20T00:30:23Z,2840000,9.0,122.0,1,right,J. Collins 12' Jump Shot (15 PTS) (T. Young 8 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,12.24,Made,15.0,,,,,,,T. Young,1629027.0,8.0,,,,,,,,
286,PT02M23.00S,2022-10-20T00:30:28.3Z,2,REGULAR,3pt,Jump Shot,[],1630224,30.831143232588698,30.88235294117647,1610612745,55,49,2022-10-20T00:30:33Z,2860000,96.0,237.0,1,left,J. Green 25' 3PT  (10 PTS) (B. Fernando 2 AST),"[1630224, 1628981]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.58,Made,10.0,,,,,,,B. Fernando,1628981.0,2.0,,,,,,,,
288,PT02M07.00S,2022-10-20T00:30:44.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,84.1819973718791,41.911764705882355,1610612737,57,49,2022-10-20T00:30:50Z,2880000,-40.0,96.0,1,right,T. Young 10' driving floating Jump Shot (11 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,10.43,Made,11.0,,,,,,,,,,,,,,,,,
290,PT01M56.00S,2022-10-20T00:31:02.1Z,2,REGULAR,substitution,out,[],1630231,,,1610612745,57,49,2022-10-20T00:31:07Z,2900000,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT01M56.00S,2022-10-20T00:31:02.1Z,2,REGULAR,substitution,in,[],201569,,,1610612745,57,49,2022-10-20T00:31:07Z,2910000,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT01M41.00S,2022-10-20T00:31:33.4Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612745,57,49,2022-10-20T00:31:44Z,2920000,,,0,,HOU shot clock Team TURNOVER,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,2530.0,,,,,,,
293,PT01M34.00S,2022-10-20T00:31:55.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,68.80749014454665,71.81372549019608,1610612737,57,49,2022-10-20T00:32:00Z,2930000,109.0,241.0,1,right,MISS T. Young 26' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,26.43,Missed,,,,,,,,,,,,,,,,,,
294,PT01M31.00S,2022-10-20T00:31:58.2Z,2,REGULAR,rebound,defensive,[],1628981,,,1610612745,57,49,2022-10-20T00:32:00Z,2940000,,,0,,B. Fernando REBOUND (Off:1 Def:3),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Above the Break 3,24+ Right Center,,,,293.0,4.0,3.0,1.0,,,,,,,,,,,,,
295,PT01M23.00S,2022-10-20T00:32:08.0Z,2,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612745,57,49,2022-10-20T00:32:41Z,2950000,,,0,,D. Hunter shooting personal FOUL (2 PF) (Fernando 2 FT),"[1629631, 1628981]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202049.0,2.0,0.0,Fernando,1628981.0,,,
297,PT01M23.00S,2022-10-20T00:32:42.2Z,2,REGULAR,freethrow,1 of 2,[],1628981,,,1610612745,57,49,2022-10-20T00:32:42Z,2970000,,,0,,MISS B. Fernando Free Throw 1 of 2,[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
298,PT01M23.00S,2022-10-20T00:32:42.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,57,49,2022-10-20T00:32:42Z,2980000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,297.0,,,,,,,,,,,,,,,,
299,PT01M23.00S,2022-10-20T00:33:02.4Z,2,REGULAR,freethrow,2 of 2,[],1628981,,,1610612745,57,50,2022-10-20T00:33:02Z,2990000,,,0,,B. Fernando Free Throw 2 of 2 (5 PTS),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
300,PT01M08.00S,2022-10-20T00:33:19.3Z,2,REGULAR,2pt,Jump Shot,[],1629631,75.3777923784494,63.725490196078425,1610612737,57,50,2022-10-20T00:33:24Z,3000000,69.0,179.0,1,right,MISS D. Hunter 19' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right Center,19.16,Missed,,,,,,,,,,,,,,,,,,
301,PT01M04.00S,2022-10-20T00:33:23.3Z,2,REGULAR,rebound,defensive,[],1629645,,,1610612745,57,50,2022-10-20T00:33:24Z,3010000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:3),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,,300.0,3.0,3.0,0.0,,,,,,,,,,,,,
302,PT00M59.80S,2022-10-20T00:33:28.0Z,2,REGULAR,2pt,Jump Shot,[],1629645,21.23850197109067,43.872549019607845,1610612745,57,50,2022-10-20T00:41:03Z,3020000,31.0,147.0,1,left,MISS K. Porter Jr. 15' pullup Shot,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Center,15.02,Missed,,,,,,,,,,,,,,,,,,
303,PT00M57.90S,2022-10-20T00:33:29.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612737,57,50,2022-10-20T00:38:12Z,3030000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,8-16 Center,,,,302.0,,,,,,,,,,,,,,,,
305,PT00M46.20S,2022-10-20T00:33:48.9Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203991,91.93495400788436,54.41176470588235,1610612737,57,50,2022-10-20T00:33:54Z,3050000,22.0,23.0,1,right,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,,,,,,,,,,,,,,
306,PT00M43.30S,2022-10-20T00:33:51.8Z,2,REGULAR,rebound,defensive,[],1630224,,,1610612745,57,50,2022-10-20T00:33:54Z,3060000,,,0,,J. Green REBOUND (Off:1 Def:3),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,305.0,4.0,3.0,1.0,,,,,,,,,,,,,
307,PT00M29.30S,2022-10-20T00:34:05.7Z,2,REGULAR,3pt,Jump Shot,[],1630224,31.488173455978973,64.70588235294117,1610612745,57,50,2022-10-20T00:34:15Z,3070000,-74.0,243.0,1,left,MISS J. Green 25' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,25.44,Missed,,,,,,,,,,,,,,,,,,
308,PT00M24.80S,2022-10-20T00:34:10.2Z,2,REGULAR,rebound,offensive,[],1629645,,,1610612745,57,50,2022-10-20T00:34:15Z,3080000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:3),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,307.0,4.0,3.0,1.0,,,,,,,,,,,,,
309,PT00M23.70S,2022-10-20T00:34:11.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629645,10.068988173455978,46.32352941176471,1610612745,57,50,2022-10-20T00:34:22Z,3090000,18.0,42.0,1,left,MISS K. Porter Jr. putback Layup,[1629645],1610612745.0,HOU,putback,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.59,Missed,,,,,,,,,,,,,,,,,,
310,PT00M20.40S,2022-10-20T00:34:14.6Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,57,50,2022-10-20T00:34:14Z,3100000,,,0,,C. Capela REBOUND (Off:2 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,309.0,5.0,3.0,2.0,,,,,,,,,,,,,
311,PT00M17.60S,2022-10-20T00:34:18.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627749,92.9862023653088,50.245098039215684,1610612737,59,50,2022-10-20T00:34:33Z,3110000,1.0,13.0,1,right,D. Murray running DUNK (11 PTS) (T. Young 9 AST),"[1627749, 1629027]",1610612737.0,ATL,running,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,1.35,Made,11.0,,,,,,,T. Young,1629027.0,9.0,,,,,,,,
313,PT00M00.00S,2022-10-20T00:34:41.3Z,2,REGULAR,period,end,[],0,,,1610612745,59,50,2022-10-20T00:34:41Z,3130000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT12M00.00S,2022-10-20T00:50:03.6Z,3,REGULAR,period,start,[],0,,,1610612745,59,50,2022-10-20T00:50:03Z,3140000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT11M45.00S,2022-10-20T00:50:17.8Z,3,REGULAR,3pt,Jump Shot,[],1631095,73.27529566360053,17.401960784313726,1610612745,59,50,2022-10-20T00:50:32Z,3150000,-163.0,199.0,1,right,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.7,Missed,,,,,,,,,,,,,,,,,,
316,PT11M44.00S,2022-10-20T00:50:18.8Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612737,59,50,2022-10-20T00:50:32Z,3160000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,315.0,,,,,,,,,,,,,,,,
318,PT11M27.00S,2022-10-20T00:50:46.9Z,3,REGULAR,3pt,Jump Shot,[],1628381,6.652431011826544,4.166666666666666,1610612737,62,50,2022-10-20T00:50:54Z,3180000,229.0,10.0,1,left,J. Collins 3PT  (18 PTS) (D. Murray 7 AST),"[1628381, 1627749]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,22.94,Made,18.0,,,,,,,D. Murray,1627749.0,7.0,,,,,,,,
320,PT11M13.00S,2022-10-20T00:51:00.3Z,3,REGULAR,3pt,Jump Shot,[],1630224,84.05059132720105,4.6568627450980395,1610612745,62,50,2022-10-20T00:51:06Z,3200000,-227.0,97.0,1,right,MISS J. Green 24' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,24.67,Missed,,,,,,,,,,,,,,,,,,
321,PT11M12.00S,2022-10-20T00:51:01.3Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612737,62,50,2022-10-20T00:51:06Z,3210000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,320.0,,,,,,,,,,,,,,,,
323,PT11M02.00S,2022-10-20T00:51:24.4Z,3,REGULAR,2pt,Jump Shot,[],1629631,10.200394218134035,70.09803921568627,1610612737,64,50,2022-10-20T00:51:32Z,3230000,-100.0,43.0,1,left,D. Hunter 10' Jump Shot (10 PTS) (T. Young 10 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Left,10.95,Made,10.0,,,,,,,T. Young,1629027.0,10.0,,,,,,,,
325,PT10M51.00S,2022-10-20T00:51:38.2Z,3,REGULAR,foul,personal,[],203991,,,1610612745,64,50,2022-10-20T00:51:45Z,3250000,,,0,,C. Capela personal FOUL (2 PF),"[203991, 201569]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1628168.0,2.0,0.0,Gordon,201569.0,,,
327,PT10M38.00S,2022-10-20T00:52:07.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628981,84.44480946123521,51.225490196078425,1610612745,64,52,2022-10-20T00:52:14Z,3270000,6.0,94.0,1,right,B. Fernando 9' floating Jump Shot (7 PTS) (K. Porter Jr. 3 AST),"[1628981, 1629645]",1610612745.0,HOU,floating,,,Fernando,B. Fernando,,,,,In The Paint (Non-RA),8-16 Center,9.39,Made,7.0,,,,,,,K. Porter Jr.,1629645.0,3.0,,,,,,,,
329,PT10M24.00S,2022-10-20T00:52:20.6Z,3,REGULAR,turnover,bad pass,[],1629027,,,1610612737,64,52,2022-10-20T00:52:26Z,3290000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1630224]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Green,1630224.0
330,PT10M24.00S,2022-10-20T00:52:20.6Z,3,REGULAR,steal,,[],1630224,,,1610612745,64,52,2022-10-20T00:52:22Z,3300000,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
331,PT10M10.00S,2022-10-20T00:52:35.3Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1631095,95.6143232588699,95.83333333333334,1610612745,64,55,2022-10-20T00:52:41Z,3310000,229.0,-11.0,1,right,J. Smith Jr. 3PT  (10 PTS) (B. Fernando 3 AST),"[1631095, 1628981]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,22.95,Made,10.0,,,,,,,B. Fernando,1628981.0,3.0,,,,,,,,
333,PT09M56.00S,2022-10-20T00:52:48.7Z,3,REGULAR,3pt,Jump Shot,[],1627749,31.225361366622867,61.51960784313726,1610612737,64,55,2022-10-20T00:52:55Z,3330000,-58.0,241.0,1,left,MISS D. Murray 24' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,24.78,Missed,,,,,,,,,,,,,,,,,,
334,PT09M53.00S,2022-10-20T00:52:51.7Z,3,REGULAR,rebound,defensive,[],1630224,,,1610612745,64,55,2022-10-20T00:52:55Z,3340000,,,0,,J. Green REBOUND (Off:1 Def:4),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,333.0,5.0,4.0,1.0,,,,,,,,,,,,,
335,PT09M42.00S,2022-10-20T00:53:03.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,92.85479632063075,50.73529411764706,1610612745,64,57,2022-10-20T00:53:13Z,3350000,4.0,15.0,1,right,J. Green reverse Layup (12 PTS) (B. Fernando 4 AST),"[1630224, 1628981]",1610612745.0,HOU,reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.52,Made,12.0,,,,,,,B. Fernando,1628981.0,4.0,,,,,,,,
337,PT09M29.00S,2022-10-20T00:53:16.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,5.469776609724048,49.754901960784316,1610612737,66,57,2022-10-20T00:53:24Z,3370000,1.0,-1.0,1,left,J. Collins running Layup (20 PTS) (D. Murray 8 AST),"[1628381, 1627749]",1610612737.0,ATL,running,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,0.16,Made,20.0,,,,,,,D. Murray,1627749.0,8.0,,,,,,,,
339,PT09M08.00S,2022-10-20T00:53:37.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,92.06636005256242,48.529411764705884,1610612745,66,59,2022-10-20T00:53:44Z,3390000,-7.0,22.0,1,right,J. Smith Jr. driving Layup (12 PTS) (B. Fernando 5 AST),"[1631095, 1628981]",1610612745.0,HOU,driving,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,2.33,Made,12.0,,,,,,,B. Fernando,1628981.0,5.0,,,,,,,,
340,PT08M56.00S,2022-10-20T00:53:48.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,9.806176084099869,42.40196078431372,1610612737,66,59,2022-10-20T00:53:55Z,3400000,38.0,40.0,1,left,MISS T. Young driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,,,,,,,,,,,,,,,,,,
341,PT08M54.00S,2022-10-20T00:53:50.3Z,3,REGULAR,rebound,defensive,[],1628981,,,1610612745,66,59,2022-10-20T00:53:55Z,3410000,,,0,,B. Fernando REBOUND (Off:1 Def:4),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,In The Paint (Non-RA),0-8 Center,,,,340.0,5.0,4.0,1.0,,,,,,,,,,,,,
342,PT08M48.00S,2022-10-20T00:53:57.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,88.25558475689881,49.26470588235294,1610612745,66,61,2022-10-20T00:54:03Z,3420000,-4.0,58.0,1,right,K. Porter Jr. driving Layup (11 PTS) (J. Green 3 AST),"[1629645, 1630224]",1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.8,Made,11.0,,,,,,,J. Green,1630224.0,3.0,,,,,,,,
