actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
374,PT01M09.00S,2023-02-16T02:15:17.5Z,2,REGULAR,rebound,offensive,[],1630256,,,1610612745,72,50,2023-02-16T02:15:21Z,3730000,False,,,0,,J. Tate REBOUND (Off:1 Def:1),[1630256],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Tate,J. Tate,373.0,2.0,1.0,1.0,,,,,,,,,,,,,,
375,PT01M09.00S,2023-02-16T02:15:23.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630598,,,1610612745,72,50,2023-02-16T02:15:28Z,3740000,False,,,0,,A. Wiggins personal FOUL (1 PF) (Tate 2 FT),"[1630598, 1630256]",1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Wiggins,A. Wiggins,,,,,,,,1627962.0,1.0,0.0,Tate,1630256.0,,,,,,
377,PT01M09.00S,2023-02-16T02:15:48.2Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630256,,,1610612745,72,50,2023-02-16T02:15:48Z,3760000,False,,,0,,MISS J. Tate Free Throw 1 of 2,[1630256],1610612745.0,HOU,,,,,,,,,,Missed,Tate,J. Tate,,,,,,,,,,,,,,,,,,
378,PT01M09.00S,2023-02-16T02:15:48.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,72,50,2023-02-16T02:15:48Z,3770000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,377.0,,,,,,,,,,,,,,,,,
379,PT01M09.00S,2023-02-16T02:15:55.6Z,2,REGULAR,substitution,out,[],1630598,,,1610612745,72,50,2023-02-16T02:15:59Z,3780000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,,,,,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
380,PT01M09.00S,2023-02-16T02:15:55.6Z,2,REGULAR,substitution,in,[],1630198,,,1610612745,72,50,2023-02-16T02:15:59Z,3790000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,,,,,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,
381,PT01M09.00S,2023-02-16T02:16:21.9Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630256,,,1610612745,72,51,2023-02-16T02:16:21Z,3800000,False,,,0,,J. Tate Free Throw 2 of 2 (11 PTS),[1630256],1610612745.0,HOU,,,,,,,,,,Made,Tate,J. Tate,,,,,11.0,,,,,,,,,,,,,
382,PT01M01.00S,2023-02-16T02:16:29.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629652,4.5499342969776615,47.794117647058826,1610612760,74,51,2023-02-16T02:16:32Z,3810000,False,11.0,-10.0,1,left,L. Dort alley-oop DUNK (9 PTS) (J. Giddey 6 AST),"[1629652, 1630581]",1610612760.0,OKC,alley-oop,,,,,,Restricted Area,0-8 Center,1.47,Made,Dort,L. Dort,,,,,9.0,,,,,,,,J. Giddey,1630581.0,6.0,,,
384,PT00M39.50S,2023-02-16T02:16:52.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,82.34231274638634,47.794117647058826,1610612745,74,53,2023-02-16T02:16:58Z,3830000,False,-11.0,113.0,1,right,A. Sengun 11' turnaround Hook (6 PTS) (K. Martin Jr. 1 AST),"[1630578, 1630231]",1610612745.0,HOU,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,11.4,Made,Sengun,A. Sengun,,,,,6.0,,,,,,,,K. Martin Jr.,1630231.0,1.0,,,
386,PT00M35.80S,2023-02-16T02:17:02.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630224,,,1610612760,74,53,2023-02-16T02:17:12Z,3850000,False,,,0,,J. Green take personal FOUL (2 PF) (Joe 2 FT),"[1630224, 1630198]",1610612745.0,HOU,take,,,,,,Above the Break 3,24+ Left Center,,,Green,J. Green,,,,,,,,1627962.0,2.0,0.0,Joe,1630198.0,,,,,,
388,PT00M35.80S,2023-02-16T02:17:32.1Z,2,REGULAR,freethrow,1 of 2,[],1630198,,,1610612760,75,53,2023-02-16T02:17:32Z,3870000,False,,,0,,I. Joe Free Throw 1 of 2 (3 PTS),[1630198],1610612760.0,OKC,,,,,,,,,,Made,Joe,I. Joe,,,,,3.0,,,,,,,,,,,,,
389,PT00M35.80S,2023-02-16T02:17:32.8Z,2,REGULAR,substitution,out,[],1630224,,,1610612760,75,53,2023-02-16T02:17:38Z,3880000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
390,PT00M35.80S,2023-02-16T02:17:32.8Z,2,REGULAR,substitution,in,[],1630528,,,1610612760,75,53,2023-02-16T02:17:38Z,3890000,False,,,0,,SUB in: J. Christopher,[1630528],1610612745.0,HOU,,,,,,,,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,
391,PT00M35.80S,2023-02-16T02:17:47.5Z,2,REGULAR,freethrow,2 of 2,[],1630198,,,1610612760,76,53,2023-02-16T02:17:47Z,3900000,False,,,0,,I. Joe Free Throw 2 of 2 (4 PTS),[1630198],1610612760.0,OKC,,,,,,,,,,Made,Joe,I. Joe,,,,,4.0,,,,,,,,,,,,,
392,PT00M17.90S,2023-02-16T02:18:10.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629652,,,1610612745,76,53,2023-02-16T02:18:17Z,3910000,False,,,0,,L. Dort shooting personal FOUL (3 PF) (Martin Jr. 2 FT),"[1629652, 1630231]",1610612760.0,OKC,shooting,,,,,,Restricted Area,0-8 Center,,,Dort,L. Dort,,,,,,,,202056.0,3.0,0.0,Martin Jr.,1630231.0,,,,,,
394,PT00M17.90S,2023-02-16T02:18:38.0Z,2,REGULAR,freethrow,1 of 2,[],1630231,,,1610612745,76,53,2023-02-16T02:23:41Z,3935000,False,,,0,,MISS K. Martin Jr. Free Throw 1 of 2,[1630231],1610612745.0,HOU,,,,,,,,,,Missed,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,
395,PT00M17.90S,2023-02-16T02:18:38.0Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,76,53,2023-02-16T02:23:41Z,3942500,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,394.0,,,,,,,,,,,,,,,,,
402,PT00M17.90S,2023-02-16T02:18:38.0Z,2,REGULAR,freethrow,2 of 2,[],1630231,,,1610612745,76,54,2023-02-16T02:23:41Z,3946250,False,,,0,,K. Martin Jr. Free Throw 2 of 2 (2 PTS),[1630231],1610612745.0,HOU,,,,,,,,,,Made,Martin Jr.,K. Martin Jr.,,,,,2.0,,,,,,,,,,,,,
396,PT00M17.90S,2023-02-16T02:18:38.8Z,2,REGULAR,substitution,out,[],1631119,,,1610612760,76,54,2023-02-16T02:23:41Z,3950000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,,,,,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,
397,PT00M17.90S,2023-02-16T02:18:38.8Z,2,REGULAR,substitution,out,[],1630256,,,1610612760,76,54,2023-02-16T02:23:41Z,3960000,False,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
398,PT00M17.90S,2023-02-16T02:18:38.8Z,2,REGULAR,substitution,out,[],1630578,,,1610612760,76,54,2023-02-16T02:23:41Z,3970000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
399,PT00M17.90S,2023-02-16T02:18:38.8Z,2,REGULAR,substitution,in,[],203967,,,1610612760,76,54,2023-02-16T02:23:41Z,3980000,False,,,0,,SUB in: D. Saric,[203967],1610612760.0,OKC,,,,,,,,,,,Saric,D. Saric,,,,,,,,,,,,,,,,,,
400,PT00M17.90S,2023-02-16T02:18:38.8Z,2,REGULAR,substitution,in,[],1630586,,,1610612760,76,54,2023-02-16T02:23:41Z,3990000,False,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,,,,,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,
401,PT00M17.90S,2023-02-16T02:18:38.8Z,2,REGULAR,substitution,in,[],1631106,,,1610612760,76,54,2023-02-16T02:23:41Z,4000000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,,,,,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,
403,PT00M00.30S,2023-02-16T02:19:27.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,9.280551905387648,49.26470588235294,1610612760,76,54,2023-02-16T02:24:18Z,4005000,False,4.0,35.0,1,left,MISS S. Gilgeous-Alexander driving Layup - blocked,"[1628983, 1630231]",1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,3.49,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Martin Jr.,1630231.0,,,,,,,,,,,
404,PT00M00.30S,2023-02-16T02:19:27.7Z,2,REGULAR,block,,[],1630231,,,1610612760,76,54,2023-02-16T02:19:29Z,4007500,False,,,0,,K. Martin Jr. BLOCK (1 BLK),[1630231],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,
405,PT00M00.10S,2023-02-16T02:19:27.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612745,76,54,2023-02-16T02:21:03Z,4008750,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,,403.0,,,,,,,,,,,,,,,,,
406,PT00M00.00S,2023-02-16T02:20:11.0Z,2,REGULAR,period,end,[],0,,,1610612745,76,54,2023-02-16T02:23:24Z,4050000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,out,['startperiod'],1630198,,,1610612745,76,54,2023-02-16T02:34:28Z,4060000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,,,,,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,
408,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,out,['startperiod'],203967,,,1610612745,76,54,2023-02-16T02:34:28Z,4070000,False,,,0,,SUB out: D. Saric,[203967],1610612760.0,OKC,,,,,,,,,,,Saric,D. Saric,,,,,,,,,,,,,,,,,,
409,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,out,['startperiod'],1630528,,,1610612745,76,54,2023-02-16T02:34:28Z,4080000,False,,,0,,SUB out: J. Christopher,[1630528],1610612745.0,HOU,,,,,,,,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,
410,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,out,['startperiod'],1630586,,,1610612745,76,54,2023-02-16T02:34:28Z,4090000,False,,,0,,SUB out: U. Garuba,[1630586],1610612745.0,HOU,,,,,,,,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,
411,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,out,['startperiod'],1631106,,,1610612745,76,54,2023-02-16T02:34:28Z,4100000,False,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,,,,,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,
412,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,in,['startperiod'],1631114,,,1610612745,76,54,2023-02-16T02:34:28Z,4110000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,,,,,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,
413,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,in,['startperiod'],1631119,,,1610612745,76,54,2023-02-16T02:34:28Z,4120000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,,,,,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,
414,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,in,['startperiod'],1630578,,,1610612745,76,54,2023-02-16T02:34:28Z,4130000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
415,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,in,['startperiod'],1630256,,,1610612745,76,54,2023-02-16T02:34:28Z,4140000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
416,PT12M00.00S,2023-02-16T02:20:14.6Z,3,REGULAR,substitution,in,['startperiod'],1631102,,,1610612745,76,54,2023-02-16T02:34:28Z,4150000,False,,,0,,SUB in: T. Washington Jr.,[1631102],1610612745.0,HOU,,,,,,,,,,,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
417,PT12M00.00S,2023-02-16T02:34:44.4Z,3,REGULAR,period,start,[],0,,,1610612760,76,54,2023-02-16T02:34:44Z,4160000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,PT11M42.00S,2023-02-16T02:35:01.8Z,3,REGULAR,2pt,Jump Shot,[],1631119,86.15308804204993,8.57843137254902,1610612760,78,54,2023-02-16T02:35:14Z,4170000,False,-207.0,78.0,1,right,J. Williams 22' Jump Shot (2 PTS) (L. Dort 1 AST),"[1631119, 1629652]",1610612760.0,OKC,,,,,,,Mid-Range,16-24 Left,22.12,Made,Williams,J. Williams,,,,,2.0,,,,,,,,L. Dort,1629652.0,1.0,,,
420,PT11M28.00S,2023-02-16T02:35:22.1Z,3,REGULAR,foul,personal,[],1631119,,,1610612745,78,54,2023-02-16T02:35:30Z,4190000,False,,,0,,J. Williams personal FOUL (1 PF),"[1631119, 1630578]",1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Williams,J. Williams,,,,,,,,203591.0,1.0,0.0,Sengun,1630578.0,,,,,,
422,PT11M17.00S,2023-02-16T02:35:50.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,5.206964520367937,59.068627450980394,1610612745,78,54,2023-02-16T02:36:30Z,4210000,False,-45.0,-4.0,1,left,MISS J. Tate driving Layup,[1630256],1610612745.0,HOU,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,Tate,J. Tate,,,,,,,,,,,,,,,,,,
423,PT11M16.00S,2023-02-16T02:35:51.1Z,3,REGULAR,rebound,defensive,[],1631119,,,1610612760,78,54,2023-02-16T02:35:53Z,4220000,False,,,0,,J. Williams REBOUND (Off:0 Def:7),[1631119],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Williams,J. Williams,422.0,7.0,7.0,0.0,,,,,,,,,,,,,,
424,PT11M13.00S,2023-02-16T02:35:54.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,89.70105124835742,53.92156862745098,1610612760,78,54,2023-02-16T02:35:59Z,4230000,False,20.0,44.0,1,right,MISS J. Giddey running Layup - blocked,"[1630581, 1631095]",1610612760.0,OKC,running,,,,,,In The Paint (Non-RA),0-8 Center,4.84,Missed,Giddey,J. Giddey,,,,,,Smith Jr.,1631095.0,,,,,,,,,,,
425,PT11M13.00S,2023-02-16T02:35:54.5Z,3,REGULAR,block,,[],1631095,,,1610612760,78,54,2023-02-16T02:35:57Z,4240000,False,,,0,,J. Smith Jr. BLOCK (2 BLK),[1631095],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
426,PT11M10.00S,2023-02-16T02:35:57.5Z,3,REGULAR,rebound,defensive,[],1630231,,,1610612745,78,54,2023-02-16T02:35:59Z,4250000,False,,,0,,K. Martin Jr. REBOUND (Off:2 Def:4),[1630231],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Martin Jr.,K. Martin Jr.,424.0,6.0,4.0,2.0,,,,,,,,,,,,,,
427,PT11M08.00S,2023-02-16T02:36:00.1Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1631102,24.392247043363994,87.5,1610612745,78,54,2023-02-16T03:27:13Z,4260000,False,-188.0,177.0,1,left,MISS T. Washington Jr. 25' running 3PT,[1631102],1610612745.0,HOU,running,,,,,,Above the Break 3,24+ Left Center,25.77,Missed,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
429,PT11M02.00S,2023-02-16T02:36:06.1Z,3,REGULAR,rebound,defensive,[],1629652,,,1610612760,78,54,2023-02-16T02:36:07Z,4280000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Dort,L. Dort,427.0,1.0,1.0,0.0,,,,,,,,,,,,,,
430,PT10M59.00S,2023-02-16T02:36:09.0Z,3,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612760,78,54,2023-02-16T02:36:23Z,4290000,False,,,0,,A. Sengun shooting personal FOUL (4 PF) (Giddey 2 FT),"[1630578, 1630581]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,,,,,,203591.0,4.0,1.0,Giddey,1630581.0,,,,,,
432,PT10M59.00S,2023-02-16T02:36:48.1Z,3,REGULAR,freethrow,1 of 2,[],1630581,,,1610612760,79,54,2023-02-16T02:39:39Z,4310000,False,,,0,,J. Giddey Free Throw 1 of 2 (9 PTS),[1630581],1610612760.0,OKC,,,,,,,,,,Made,Giddey,J. Giddey,,,,,9.0,,,,,,,,,,,,,
659,PT10M59.00S,2023-02-16T02:37:03.7Z,3,REGULAR,substitution,out,[],1630256,,,1610612760,79,54,2023-02-16T03:14:32Z,4312500,False,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
660,PT10M59.00S,2023-02-16T02:37:03.7Z,3,REGULAR,substitution,in,[],1631106,,,1610612760,79,54,2023-02-16T03:14:32Z,4313750,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,,,,,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,
435,PT10M59.00S,2023-02-16T02:36:48.1Z,3,REGULAR,freethrow,2 of 2,[],1630581,,,1610612760,79,54,2023-02-16T02:39:39Z,4315000,False,,,0,,MISS J. Giddey Free Throw 2 of 2,[1630581],1610612760.0,OKC,,,,,,,,,,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
436,PT10M58.00S,2023-02-16T02:36:49.1Z,3,REGULAR,rebound,defensive,[],1631095,,,1610612745,79,54,2023-02-16T02:39:39Z,4317500,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:6),[1631095],1610612745.0,HOU,,,,,,,,,,,Smith Jr.,J. Smith Jr.,435.0,6.0,6.0,0.0,,,,,,,,,,,,,,
437,PT10M44.00S,2023-02-16T02:37:19.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631102,5.601182654402102,45.09803921568628,1610612745,79,54,2023-02-16T02:37:43Z,4335000,False,25.0,0.0,1,left,MISS T. Washington Jr. driving Layup,[1631102],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,2.45,Missed,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
438,PT10M42.00S,2023-02-16T02:37:21.3Z,3,REGULAR,rebound,offensive,[],1630578,,,1610612745,79,54,2023-02-16T02:37:43Z,4337500,False,,,0,,A. Sengun REBOUND (Off:4 Def:4),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,437.0,8.0,4.0,4.0,,,,,,,,,,,,,,
439,PT10M41.00S,2023-02-16T02:37:25.3Z,3,REGULAR,foul,personal,['2freethrow'],1631119,,,1610612745,79,54,2023-02-16T02:37:31Z,4380000,False,,,0,,J. Williams shooting personal FOUL (2 PF) (Eason 2 FT),"[1631119, 1631106]",1610612760.0,OKC,shooting,,,,,,Restricted Area,0-8 Center,,,Williams,J. Williams,,,,,,,,203591.0,2.0,0.0,Eason,1631106.0,,,,,,
441,PT10M41.00S,2023-02-16T02:37:48.9Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],1631106,,,1610612745,79,54,2023-02-16T02:39:13Z,4400000,False,,,0,,MISS T. Eason Free Throw 1 of 2,[1631106],1610612745.0,HOU,,,,,,,,,,Missed,Eason,T. Eason,,,,,,,,,,,,,,,,,,
442,PT10M41.00S,2023-02-16T02:37:48.9Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,79,54,2023-02-16T02:37:48Z,4410000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,441.0,,,,,,,,,,,,,,,,,
443,PT10M41.00S,2023-02-16T02:37:57.9Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],1631106,,,1610612745,79,55,2023-02-16T02:39:13Z,4420000,False,,,0,,T. Eason Free Throw 2 of 2 (4 PTS),[1631106],1610612745.0,HOU,,,,,,,,,,Made,Eason,T. Eason,,,,,4.0,,,,,,,,,,,,,
444,PT10M29.00S,2023-02-16T02:38:10.5Z,3,REGULAR,3pt,Jump Shot,[],1631114,74.58935611038108,86.51960784313727,1610612760,79,55,2023-02-16T02:38:15Z,4430000,False,183.0,186.0,1,right,MISS J. Williams 26' 3PT,[1631114],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,26.09,Missed,Williams,J. Williams,,,,,,,,,,,,,,,,,,
445,PT10M26.00S,2023-02-16T02:38:13.5Z,3,REGULAR,rebound,offensive,[],1629652,,,1610612760,79,55,2023-02-16T02:38:15Z,4440000,False,,,0,,L. Dort REBOUND (Off:1 Def:1),[1629652],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Dort,L. Dort,444.0,2.0,1.0,1.0,,,,,,,,,,,,,,
446,PT10M21.00S,2023-02-16T02:38:18.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1631119,77.4802890932983,9.313725490196079,1610612760,79,55,2023-02-16T02:38:22Z,4450000,False,-203.0,159.0,1,right,MISS J. Williams 25' 3PT,[1631119],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,25.83,Missed,Williams,J. Williams,,,,,,,,,,,,,,,,,,
447,PT10M18.00S,2023-02-16T02:38:21.7Z,3,REGULAR,rebound,defensive,[],1631106,,,1610612745,79,55,2023-02-16T02:38:22Z,4460000,False,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Eason,T. Eason,446.0,1.0,1.0,0.0,,,,,,,,,,,,,,
448,PT10M14.00S,2023-02-16T02:38:25.6Z,3,REGULAR,turnover,bad pass,[],1631106,,,1610612745,79,55,2023-02-16T02:38:29Z,4470000,False,,,0,,T. Eason bad pass TURNOVER (2 TO),"[1631106, 1631119]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Eason,T. Eason,,,,,,,,,,,,,,,,2.0,Williams,1631119.0
449,PT10M14.00S,2023-02-16T02:38:25.6Z,3,REGULAR,steal,,[],1631119,,,1610612760,79,55,2023-02-16T02:51:41Z,4480000,False,,,0,,J. Williams STEAL (2 STL),[1631119],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,
450,PT10M09.00S,2023-02-16T02:38:30.1Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629652,94.95729303547962,95.34313725490196,1610612760,79,55,2023-02-16T02:44:54Z,4490000,False,227.0,-5.0,1,right,MISS L. Dort running 3PT,[1629652],1610612760.0,OKC,running,,,,,,Right Corner 3,24+ Right,22.68,Missed,Dort,L. Dort,,,,,,,,,,,,,,,,,,
451,PT10M05.00S,2023-02-16T02:38:34.1Z,3,REGULAR,rebound,defensive,[],1630578,,,1610612745,79,55,2023-02-16T02:38:36Z,4500000,False,,,0,,A. Sengun REBOUND (Off:4 Def:5),[1630578],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,Sengun,A. Sengun,450.0,9.0,5.0,4.0,,,,,,,,,,,,,,
452,PT10M01.00S,2023-02-16T02:38:37.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630231,4.681340341655716,50.245098039215684,1610612745,79,57,2023-02-16T02:38:43Z,4510000,False,-1.0,-8.0,1,left,K. Martin Jr. running Layup (4 PTS) (A. Sengun 2 AST),"[1630231, 1630578]",1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,0.86,Made,Martin Jr.,K. Martin Jr.,,,,,4.0,,,,,,,,A. Sengun,1630578.0,2.0,,,
454,PT09M45.00S,2023-02-16T02:38:54.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,91.80354796320631,46.07843137254902,1610612760,79,57,2023-02-16T02:45:28Z,4530000,False,-20.0,25.0,1,right,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,3.14,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
455,PT09M42.00S,2023-02-16T02:38:57.7Z,3,REGULAR,rebound,defensive,[],1631102,,,1610612745,79,57,2023-02-16T02:38:58Z,4540000,False,,,0,,T. Washington Jr. REBOUND (Off:0 Def:1),[1631102],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Washington Jr.,T. Washington Jr.,454.0,1.0,1.0,0.0,,,,,,,,,,,,,,
456,PT09M34.00S,2023-02-16T02:39:06.0Z,3,REGULAR,3pt,Jump Shot,[],1631095,29.38567674113009,26.47058823529412,1610612745,79,57,2023-02-16T02:39:11Z,4550000,False,118.0,224.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,25.27,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
457,PT09M32.00S,2023-02-16T02:39:08.0Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612745,79,57,2023-02-16T02:39:11Z,4560000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,,456.0,,,,,,,,,,,,,,,,,
459,PT09M19.00S,2023-02-16T02:39:35.5Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630578,17.69053876478318,64.70588235294117,1610612745,79,59,2023-02-16T02:46:13Z,4580000,False,-74.0,114.0,1,left,A. Sengun 13' turnaround bank Jump Shot (8 PTS) (T. Eason 2 AST),"[1630578, 1631106]",1610612745.0,HOU,turnaround bank,,,,,,In The Paint (Non-RA),8-16 Left,13.55,Made,Sengun,A. Sengun,,,,,8.0,,,,,,,,T. Eason,1631106.0,2.0,,,
