actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
266,PT05M52.00S,2023-01-19T01:54:06.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612754,40,35,2023-01-19T01:54:18Z,2640000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,Restricted Area,0-8 Center,,,,,,,264.0,,,,,,,,,,,,
268,PT05M47.00S,2023-01-19T01:54:27.0Z,2,REGULAR,foul,offensive,[],1626167,,,1610612754,40,35,2023-01-19T02:08:58Z,2660000,False,,,0,,M. Turner offensive FOUL (1 PF),"[1626167, 1630598]",1610612754.0,IND,203591.0,Turner,M. Turner,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,Wiggins,1630598.0,,,,,
270,PT05M47.00S,2023-01-19T01:54:27.0Z,2,REGULAR,turnover,offensive foul,[],1626167,,,1610612754,40,35,2023-01-19T01:54:27Z,2680000,False,,,0,,M. Turner offensive foul TURNOVER (2 TO),[1626167],1610612754.0,IND,203591.0,Turner,M. Turner,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,2.0,,,,
271,PT05M47.00S,2023-01-19T01:54:32.0Z,2,REGULAR,substitution,out,[],1630581,,,1610612760,40,35,2023-01-19T01:54:43Z,2690000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,
272,PT05M47.00S,2023-01-19T01:54:32.0Z,2,REGULAR,substitution,out,[],1630598,,,1610612760,40,35,2023-01-19T01:54:43Z,2700000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,
273,PT05M47.00S,2023-01-19T01:54:32.0Z,2,REGULAR,substitution,out,[],1630544,,,1610612760,40,35,2023-01-19T01:54:43Z,2710000,False,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,
274,PT05M47.00S,2023-01-19T01:54:32.0Z,2,REGULAR,substitution,out,[],203488,,,1610612760,40,35,2023-01-19T01:54:43Z,2720000,False,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,
275,PT05M47.00S,2023-01-19T01:54:32.0Z,2,REGULAR,substitution,in,[],1631114,,,1610612760,40,35,2023-01-19T01:54:43Z,2730000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,
276,PT05M47.00S,2023-01-19T01:54:32.0Z,2,REGULAR,substitution,in,[],1630198,,,1610612760,40,35,2023-01-19T01:54:43Z,2740000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,
277,PT05M47.00S,2023-01-19T01:54:32.0Z,2,REGULAR,substitution,in,[],1628983,,,1610612760,40,35,2023-01-19T01:54:43Z,2750000,False,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,
278,PT05M47.00S,2023-01-19T01:54:32.0Z,2,REGULAR,substitution,in,[],1629026,,,1610612760,40,35,2023-01-19T01:54:43Z,2760000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,
279,PT05M37.00S,2023-01-19T01:54:57.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,88.38699080157687,39.21568627450981,1610612760,40,35,2023-01-19T01:55:02Z,2770000,False,-54.0,57.0,1,right,MISS S. Gilgeous-Alexander 7' pullup bank Shot,[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,pullup bank,In The Paint (Non-RA),0-8 Center,7.82,Missed,,,,,,,,,,,,,,,,,
280,PT05M34.00S,2023-01-19T01:55:00.6Z,2,REGULAR,rebound,defensive,[],1626167,,,1610612754,40,35,2023-01-19T01:55:02Z,2780000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,Turner,M. Turner,,In The Paint (Non-RA),0-8 Center,,,,,,,279.0,1.0,1.0,0.0,,,,,,,,,
281,PT05M28.00S,2023-01-19T01:55:06.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204456,7.30946123521682,60.29411764705882,1610612754,40,37,2023-01-19T01:55:10Z,2790000,False,-51.0,16.0,1,left,T. McConnell driving Layup (6 PTS),[204456],1610612754.0,IND,,McConnell,T. McConnell,driving,In The Paint (Non-RA),0-8 Center,5.4,Made,6.0,,,,,,,,,,,,,,,,
283,PT05M18.00S,2023-01-19T01:55:16.2Z,2,REGULAR,3pt,Jump Shot,[],1629652,74.45795006570303,11.76470588235294,1610612760,43,37,2023-01-19T01:55:21Z,2810000,False,-191.0,188.0,1,right,L. Dort 26' 3PT  (10 PTS) (K. Williams 4 AST),"[1629652, 1629026]",1610612760.0,OKC,,Dort,L. Dort,,Above the Break 3,24+ Left Center,26.79,Made,10.0,K. Williams,1629026.0,4.0,,,,,,,,,,,,,
285,PT05M08.00S,2023-01-19T01:55:28.2Z,2,REGULAR,turnover,out-of-bounds,[],1626167,,,1610612754,43,37,2023-01-19T01:55:34Z,2830000,False,,,0,,M. Turner lost ball out-of-bounds TURNOVER (3 TO),[1626167],1610612754.0,IND,201639.0,Turner,M. Turner,lost ball,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,3.0,,,,
286,PT05M00.00S,2023-01-19T01:55:38.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,84.70762155059133,64.70588235294117,1610612760,43,37,2023-01-19T01:55:48Z,2840000,False,74.0,91.0,1,right,MISS S. Gilgeous-Alexander 11' pullup Shot,[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,pullup,In The Paint (Non-RA),8-16 Right,11.71,Missed,,,,,,,,,,,,,,,,,
287,PT04M58.00S,2023-01-19T01:55:40.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612754,43,37,2023-01-19T01:55:59Z,2850000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,286.0,,,,,,,,,,,,
288,PT04M58.00S,2023-01-19T01:55:47.9Z,2,REGULAR,foul,personal,[],1629652,,,1610612754,43,37,2023-01-19T01:55:56Z,2860000,False,,,0,,L. Dort loose ball personal FOUL (2 PF),"[1629652, 1626167]",1610612760.0,OKC,1627519.0,Dort,L. Dort,loose ball,Restricted Area,0-8 Center,,,,,,,,,,,2.0,0.0,Turner,1626167.0,,,,,
290,PT04M58.00S,2023-01-19T01:56:01.9Z,2,REGULAR,substitution,out,[],1629052,,,1610612754,43,37,2023-01-19T01:56:05Z,2880000,False,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,
291,PT04M58.00S,2023-01-19T01:56:01.9Z,2,REGULAR,substitution,in,[],1630174,,,1610612754,43,37,2023-01-19T01:56:05Z,2890000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,
292,PT04M48.00S,2023-01-19T01:56:20.8Z,2,REGULAR,3pt,Jump Shot,[],1629614,9.937582128777924,3.6764705882352944,1610612754,43,37,2023-01-19T01:56:25Z,2900000,False,232.0,41.0,1,left,MISS A. Nembhard 3PT,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,Right Corner 3,24+ Right,23.52,Missed,,,,,,,,,,,,,,,,,
293,PT04M45.00S,2023-01-19T01:56:23.7Z,2,REGULAR,rebound,offensive,[],1629614,,,1610612754,43,37,2023-01-19T01:56:23Z,2910000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:0),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,Right Corner 3,24+ Right,,,,,,,292.0,1.0,0.0,1.0,,,,,,,,,
294,PT04M43.00S,2023-01-19T01:56:25.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629614,9.149145860709593,39.46078431372549,1610612754,43,39,2023-01-19T01:58:37Z,2920000,False,53.0,34.0,1,left,A. Nembhard 6' floating Jump Shot (8 PTS),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,floating,In The Paint (Non-RA),0-8 Center,6.24,Made,8.0,,,,,,,,,,,,,,,,
295,PT04M33.00S,2023-01-19T01:56:38.2Z,2,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612760,43,39,2023-01-19T01:56:46Z,2930000,False,,,0,,A. Nembhard shooting personal FOUL (3 PF) (Gilgeous-Alexander 2 FT),"[1629614, 1628983]",1610612754.0,IND,201639.0,Nembhard,A. Nembhard,shooting,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,3.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
297,PT04M33.00S,2023-01-19T01:57:04.1Z,2,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,44,39,2023-01-19T01:57:04Z,2950000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (11 PTS),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Made,11.0,,,,,,,,,,,,,,,,
298,PT04M33.00S,2023-01-19T01:57:05.0Z,2,REGULAR,substitution,out,[],1629614,,,1610612760,44,39,2023-01-19T01:57:09Z,2960000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,
299,PT04M33.00S,2023-01-19T01:57:05.0Z,2,REGULAR,substitution,in,[],1627741,,,1610612760,44,39,2023-01-19T01:57:09Z,2970000,False,,,0,,SUB in: B. Hield,[1627741],1610612754.0,IND,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,
300,PT04M33.00S,2023-01-19T01:57:18.9Z,2,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,45,39,2023-01-19T01:57:18Z,2980000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (12 PTS),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Made,12.0,,,,,,,,,,,,,,,,
301,PT04M20.00S,2023-01-19T01:57:35.2Z,2,REGULAR,foul,personal,['2freethrow'],1629026,,,1610612754,45,39,2023-01-19T01:57:40Z,2990000,False,,,0,,K. Williams shooting personal FOUL (2 PF) (Mathurin 2 FT),"[1629026, 1631097]",1610612760.0,OKC,201639.0,Williams,K. Williams,shooting,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,0.0,Mathurin,1631097.0,,,,,
303,PT04M20.00S,2023-01-19T01:58:00.5Z,2,REGULAR,freethrow,1 of 2,[],1631097,,,1610612754,45,40,2023-01-19T01:58:00Z,3010000,False,,,0,,B. Mathurin Free Throw 1 of 2 (4 PTS),[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,,,,Made,4.0,,,,,,,,,,,,,,,,
304,PT04M20.00S,2023-01-19T01:58:20.0Z,2,REGULAR,freethrow,2 of 2,[],1631097,,,1610612754,45,41,2023-01-19T01:58:20Z,3020000,False,,,0,,B. Mathurin Free Throw 2 of 2 (5 PTS),[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,,,,Made,5.0,,,,,,,,,,,,,,,,
305,PT04M05.00S,2023-01-19T01:58:35.9Z,2,REGULAR,3pt,Jump Shot,[],1630198,79.97700394218134,92.15686274509804,1610612760,45,41,2023-01-19T01:58:40Z,3030000,False,211.0,136.0,1,right,MISS I. Joe 25' 3PT,[1630198],1610612760.0,OKC,,Joe,I. Joe,,Above the Break 3,24+ Right Center,25.07,Missed,,,,,,,,,,,,,,,,,
306,PT04M01.00S,2023-01-19T01:58:39.9Z,2,REGULAR,rebound,defensive,[],1626167,,,1610612754,45,41,2023-01-19T01:58:40Z,3040000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,Turner,M. Turner,,Above the Break 3,24+ Right Center,,,,,,,305.0,2.0,2.0,0.0,,,,,,,,,
307,PT03M53.00S,2023-01-19T01:58:46.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,9.017739816031538,41.42156862745098,1610612754,45,41,2023-01-19T01:58:50Z,3050000,False,43.0,32.0,1,left,MISS A. Nesmith driving Layup,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,driving,In The Paint (Non-RA),0-8 Center,5.37,Missed,,,,,,,,,,,,,,,,,
308,PT03M51.00S,2023-01-19T01:58:48.7Z,2,REGULAR,rebound,defensive,[],1629652,,,1610612760,45,41,2023-01-19T01:58:50Z,3060000,False,,,0,,L. Dort REBOUND (Off:0 Def:2),[1629652],1610612760.0,OKC,,Dort,L. Dort,,In The Paint (Non-RA),0-8 Center,,,,,,,307.0,2.0,2.0,0.0,,,,,,,,,
309,PT03M41.00S,2023-01-19T01:58:58.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,87.07293035479631,48.529411764705884,1610612760,47,41,2023-01-19T01:59:04Z,3070000,False,-7.0,69.0,1,right,L. Dort 6' driving Layup (12 PTS) (K. Williams 5 AST),"[1629652, 1629026]",1610612760.0,OKC,,Dort,L. Dort,driving,In The Paint (Non-RA),0-8 Center,6.94,Made,12.0,K. Williams,1629026.0,5.0,,,,,,,,,,,,,
311,PT03M27.00S,2023-01-19T01:59:12.9Z,2,REGULAR,turnover,lost ball,[],1627741,,,1610612754,47,41,2023-01-19T01:59:16Z,3090000,False,,,0,,B. Hield lost ball TURNOVER (3 TO),"[1627741, 1628983]",1610612754.0,IND,,Hield,B. Hield,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,3.0,Gilgeous-Alexander,1628983.0,,
312,PT03M27.00S,2023-01-19T01:59:12.9Z,2,REGULAR,steal,,[],1628983,,,1610612760,47,41,2023-01-19T01:59:15Z,3100000,False,,,0,,S. Gilgeous-Alexander STEAL (3 STL),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,
313,PT03M23.00S,2023-01-19T01:59:17.3Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628983,79.58278580814718,5.88235294117647,1610612760,47,41,2023-01-19T01:59:23Z,3110000,False,-221.0,139.0,1,right,MISS S. Gilgeous-Alexander 26' 3PT,[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,
314,PT03M20.00S,2023-01-19T01:59:20.3Z,2,REGULAR,rebound,offensive,[],1629026,,,1610612760,47,41,2023-01-19T01:59:20Z,3120000,False,,,0,,K. Williams REBOUND (Off:2 Def:1),[1629026],1610612760.0,OKC,,Williams,K. Williams,,Above the Break 3,24+ Left Center,,,,,,,313.0,3.0,1.0,2.0,,,,,,,,,
315,PT03M19.00S,2023-01-19T01:59:22.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630198,69.33311432325887,27.696078431372552,1610612760,50,41,2023-01-19T01:59:27Z,3130000,False,-112.0,236.0,1,right,I. Joe 26' 3PT  (9 PTS) (K. Williams 6 AST),"[1630198, 1629026]",1610612760.0,OKC,,Joe,I. Joe,,Above the Break 3,24+ Left Center,26.08,Made,9.0,K. Williams,1629026.0,6.0,,,,,,,,,,,,,
317,PT03M16.00S,2023-01-19T01:59:28.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,50,41,2023-01-19T01:59:28Z,3150000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT02M54.00S,2023-01-19T02:02:42.2Z,2,REGULAR,foul,offensive,[],1631097,,,1610612754,50,41,2023-01-19T02:02:49Z,3160000,False,,,0,,B. Mathurin charge offensive FOUL (1 PF),"[1631097, 1629026]",1610612754.0,IND,1627519.0,Mathurin,B. Mathurin,charge,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,Williams,1629026.0,,,,,
320,PT02M54.00S,2023-01-19T02:02:42.2Z,2,REGULAR,turnover,offensive foul,[],1631097,,,1610612754,50,41,2023-01-19T02:02:42Z,3180000,False,,,0,,B. Mathurin offensive foul TURNOVER (1 TO),[1631097],1610612754.0,IND,1627519.0,Mathurin,B. Mathurin,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,,,,
321,PT02M40.00S,2023-01-19T02:03:11.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631114,80.89684625492772,92.40196078431373,1610612760,50,41,2023-01-19T02:03:16Z,3190000,False,212.0,127.0,1,right,MISS J. Williams 24' 3PT,[1631114],1610612760.0,OKC,,Williams,J. Williams,,Above the Break 3,24+ Right Center,24.72,Missed,,,,,,,,,,,,,,,,,
322,PT02M36.00S,2023-01-19T02:03:15.5Z,2,REGULAR,rebound,defensive,[],1631097,,,1610612754,50,41,2023-01-19T02:03:16Z,3200000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,Above the Break 3,24+ Right Center,,,,,,,321.0,1.0,1.0,0.0,,,,,,,,,
323,PT02M28.00S,2023-01-19T02:03:25.1Z,2,REGULAR,turnover,traveling,[],1630174,,,1610612754,50,41,2023-01-19T02:03:46Z,3210000,False,,,0,,A. Nesmith traveling TURNOVER (2 TO),[1630174],1610612754.0,IND,1627519.0,Nesmith,A. Nesmith,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,2.0,,,,
324,PT02M20.00S,2023-01-19T02:03:46.0Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1628983,79.45137976346912,45.09803921568628,1610612760,50,41,2023-01-19T02:03:50Z,3220000,False,-25.0,141.0,1,right,MISS S. Gilgeous-Alexander 14' pullup Shot - blocked,"[1628983, 1626167]",1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,pullup,Mid-Range,8-16 Center,14.28,Missed,,,,,,,,,,,,,,,,Turner,1626167.0
325,PT02M20.00S,2023-01-19T02:03:46.0Z,2,REGULAR,block,,[],1626167,,,1610612760,50,41,2023-01-19T02:03:48Z,3230000,False,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612754.0,IND,,Turner,M. Turner,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,
326,PT02M16.00S,2023-01-19T02:03:50.0Z,2,REGULAR,rebound,defensive,[],1631097,,,1610612754,50,41,2023-01-19T02:03:50Z,3240000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:2),[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,Mid-Range,8-16 Center,,,,,,,324.0,2.0,2.0,0.0,,,,,,,,,
327,PT02M12.00S,2023-01-19T02:03:53.4Z,2,REGULAR,3pt,Jump Shot,[],1631097,31.35676741130092,67.64705882352942,1610612754,50,44,2023-01-19T02:04:04Z,3250000,False,-88.0,242.0,1,left,B. Mathurin 25' 3PT  (8 PTS) (T. McConnell 3 AST),"[1631097, 204456]",1610612754.0,IND,,Mathurin,B. Mathurin,,Above the Break 3,24+ Left Center,25.79,Made,8.0,T. McConnell,204456.0,3.0,,,,,,,,,,,,,
329,PT01M48.00S,2023-01-19T02:04:18.2Z,2,REGULAR,3pt,Jump Shot,[],1630198,94.43166885676742,96.81372549019608,1610612760,53,44,2023-01-19T02:04:23Z,3270000,False,234.0,0.0,1,right,I. Joe 3PT  (12 PTS) (J. Williams 2 AST),"[1630198, 1631114]",1610612760.0,OKC,,Joe,I. Joe,,Right Corner 3,24+ Right,23.41,Made,12.0,J. Williams,1631114.0,2.0,,,,,,,,,,,,,
331,PT01M39.00S,2023-01-19T02:04:30.9Z,2,REGULAR,foul,offensive,[],1626167,,,1610612754,53,44,2023-01-19T02:04:38Z,3290000,False,,,0,,M. Turner offensive FOUL (2 PF),"[1626167, 1629652]",1610612754.0,IND,201639.0,Turner,M. Turner,,Mid-Range,16-24 Right Center,,,,,,,,,,,2.0,0.0,Dort,1629652.0,,,,,
333,PT01M39.00S,2023-01-19T02:04:30.9Z,2,REGULAR,turnover,offensive foul,[],1626167,,,1610612754,53,44,2023-01-19T02:04:30Z,3310000,False,,,0,,M. Turner offensive foul TURNOVER (4 TO),[1626167],1610612754.0,IND,201639.0,Turner,M. Turner,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,4.0,,,,
334,PT01M39.00S,2023-01-19T02:04:36.5Z,2,REGULAR,substitution,out,[],1630174,,,1610612760,53,44,2023-01-19T02:04:48Z,3320000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,
335,PT01M39.00S,2023-01-19T02:04:36.5Z,2,REGULAR,substitution,in,[],1629052,,,1610612760,53,44,2023-01-19T02:04:48Z,3330000,False,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,
336,PT01M30.00S,2023-01-19T02:05:01.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629652,92.9862023653088,49.50980392156863,1610612760,55,44,2023-01-19T02:05:06Z,3340000,False,-2.0,13.0,1,right,L. Dort cutting DUNK (14 PTS) (K. Williams 7 AST),"[1629652, 1629026]",1610612760.0,OKC,,Dort,L. Dort,cutting,Restricted Area,0-8 Center,1.36,Made,14.0,K. Williams,1629026.0,7.0,,,,,,,,,,,,,
338,PT01M15.00S,2023-01-19T02:05:15.6Z,2,REGULAR,3pt,Jump Shot,[],1629052,11.514454664914586,3.9215686274509802,1610612754,55,44,2023-01-19T02:05:21Z,3360000,False,230.0,56.0,1,left,MISS O. Brissett 3PT,[1629052],1610612754.0,IND,,Brissett,O. Brissett,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,
339,PT01M12.00S,2023-01-19T02:05:18.6Z,2,REGULAR,rebound,defensive,[],1630198,,,1610612760,55,44,2023-01-19T02:05:21Z,3370000,False,,,0,,I. Joe REBOUND (Off:0 Def:3),[1630198],1610612760.0,OKC,,Joe,I. Joe,,Right Corner 3,24+ Right,,,,,,,338.0,3.0,3.0,0.0,,,,,,,,,
340,PT01M06.00S,2023-01-19T02:05:25.2Z,2,REGULAR,2pt,Jump Shot,[],1628983,91.27792378449409,28.186274509803923,1610612760,55,44,2023-01-19T02:05:30Z,3380000,False,-109.0,29.0,1,right,MISS S. Gilgeous-Alexander 11' pullup Shot,[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,pullup,Mid-Range,8-16 Left,11.3,Missed,,,,,,,,,,,,,,,,,
341,PT01M02.00S,2023-01-19T02:05:29.2Z,2,REGULAR,rebound,defensive,[],1627741,,,1610612754,55,44,2023-01-19T02:05:30Z,3390000,False,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612754.0,IND,,Hield,B. Hield,,Mid-Range,8-16 Left,,,,,,,340.0,2.0,2.0,0.0,,,,,,,,,
342,PT00M56.80S,2023-01-19T02:05:35.5Z,2,REGULAR,turnover,lost ball,[],204456,,,1610612754,55,44,2023-01-19T02:05:42Z,3400000,False,,,0,,T. McConnell lost ball TURNOVER (1 TO),"[204456, 1631114]",1610612754.0,IND,,McConnell,T. McConnell,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Williams,1631114.0,,
343,PT00M56.80S,2023-01-19T02:05:35.5Z,2,REGULAR,steal,,[],1631114,,,1610612760,55,44,2023-01-19T02:06:22Z,3410000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,Williams,J. Williams,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
344,PT00M49.40S,2023-01-19T02:05:42.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,70.64717477003943,17.892156862745097,1610612760,58,44,2023-01-19T02:05:47Z,3420000,False,-161.0,223.0,1,right,L. Dort 27' 3PT  (17 PTS) (K. Williams 8 AST),"[1629652, 1629026]",1610612760.0,OKC,,Dort,L. Dort,,Above the Break 3,24+ Left Center,27.51,Made,17.0,K. Williams,1629026.0,8.0,,,,,,,,,,,,,
346,PT00M48.90S,2023-01-19T02:05:49.5Z,2,REGULAR,timeout,full,['team'],0,,,1610612754,58,44,2023-01-19T02:05:49Z,3440000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT00M27.80S,2023-01-19T02:07:34.8Z,2,REGULAR,3pt,Jump Shot,[],1627741,33.196452036793694,50.98039215686274,1610612754,58,44,2023-01-19T02:07:39Z,3450000,False,-5.0,260.0,1,left,MISS B. Hield 25' 3PT,[1627741],1610612754.0,IND,,Hield,B. Hield,,Above the Break 3,24+ Center,25.95,Missed,,,,,,,,,,,,,,,,,
348,PT00M24.60S,2023-01-19T02:07:38.0Z,2,REGULAR,rebound,defensive,[],1629652,,,1610612760,58,44,2023-01-19T02:07:39Z,3460000,False,,,0,,L. Dort REBOUND (Off:0 Def:3),[1629652],1610612760.0,OKC,,Dort,L. Dort,,Above the Break 3,24+ Center,,,,,,,347.0,3.0,3.0,0.0,,,,,,,,,
349,PT00M05.30S,2023-01-19T02:07:57.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,88.12417871222075,45.09803921568628,1610612760,58,44,2023-01-19T02:08:00Z,3470000,False,-25.0,59.0,1,right,MISS L. Dort 6' driving Layup - blocked,"[1629652, 1626167]",1610612760.0,OKC,,Dort,L. Dort,driving,In The Paint (Non-RA),0-8 Center,6.4,Missed,,,,,,,,,,,,,,,,Turner,1626167.0
350,PT00M05.30S,2023-01-19T02:07:57.2Z,2,REGULAR,block,,[],1626167,,,1610612760,58,44,2023-01-19T02:07:59Z,3480000,False,,,0,,M. Turner BLOCK (3 BLK),[1626167],1610612754.0,IND,,Turner,M. Turner,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
351,PT00M02.80S,2023-01-19T02:07:59.7Z,2,REGULAR,rebound,offensive,[],1629652,,,1610612760,58,44,2023-01-19T02:07:59Z,3490000,False,,,0,,L. Dort REBOUND (Off:1 Def:3),[1629652],1610612760.0,OKC,,Dort,L. Dort,,In The Paint (Non-RA),0-8 Center,,,,,,,349.0,4.0,3.0,1.0,,,,,,,,,
352,PT00M01.60S,2023-01-19T02:08:00.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630198,91.01511169513797,4.166666666666666,1610612760,58,44,2023-01-19T02:08:04Z,3500000,False,-229.0,32.0,1,right,MISS I. Joe 3PT,[1630198],1610612760.0,OKC,,Joe,I. Joe,,Left Corner 3,24+ Left,23.14,Missed,,,,,,,,,,,,,,,,,
