actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
165,PT12M00.00S,2024-03-21T00:34:48.1Z,2,REGULAR,substitution,in,['startperiod'],1631114,,,1610612762,31,25,2024-03-21T00:37:27Z,1630000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2024-03-21T00:34:48.1Z,2,REGULAR,substitution,in,['startperiod'],1630598,,,1610612762,31,25,2024-03-21T00:37:27Z,1640000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2024-03-21T00:37:27.7Z,2,REGULAR,period,start,[],0,,,1610612762,31,25,2024-03-21T00:37:27Z,1650000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT11M49.00S,2024-03-21T00:37:38.5Z,2,REGULAR,foul,offensive,[],1630695,,,1610612762,31,25,2024-03-21T00:38:40Z,1660000,False,,,0,,M. Potter offensive FOUL (2 PF),"[1630695, 1630598]",1610612762.0,UTA,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Right Center,202026.0,2.0,0.0,Wiggins,1630598.0,,,,,,,,,,,,,,,
170,PT11M49.00S,2024-03-21T00:37:38.5Z,2,REGULAR,turnover,offensive foul,[],1630695,,,1610612762,31,25,2024-03-21T00:37:38Z,1680000,False,,,0,,M. Potter offensive foul TURNOVER (1 TO),[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Right Center,202026.0,,,,,,,,,,,,,,,,,1.0,,
171,PT11M32.00S,2024-03-21T00:38:11.2Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1631096,91.5407358738502,73.2843137254902,1610612760,31,25,2024-03-21T00:38:18Z,1690000,False,116.0,27.0,1,right,MISS C. Holmgren 11' fadeaway Shot,[1631096],1610612760.0,OKC,fadeaway,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Right,,,,,,Missed,,11.95,,,,,,,,,,,,
172,PT11M28.00S,2024-03-21T00:38:15.2Z,2,REGULAR,rebound,defensive,[],1631117,,,1610612762,31,25,2024-03-21T00:38:18Z,1700000,False,,,0,,W. Kessler REBOUND (Off:0 Def:4),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,171.0,4.0,4.0,0.0,,,
173,PT11M22.00S,2024-03-21T00:38:22.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,17.0335085413929,43.13725490196079,1610612762,31,27,2024-03-21T00:39:26Z,1710000,False,34.0,108.0,1,left,C. Sexton 11' driving floating Jump Shot (8 PTS),[1629012],1610612762.0,UTA,driving floating,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,8.0,11.29,,,,,,,,,,,,
174,PT11M22.00S,2024-03-21T00:38:27.0Z,2,REGULAR,foul,personal,['1freethrow'],1641717,,,1610612762,31,27,2024-03-21T00:38:33Z,1720000,False,,,0,,C. Wallace shooting personal FOUL (1 PF) (Sexton 1 FT),"[1641717, 1629012]",1610612760.0,OKC,shooting,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,1627541.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,
176,PT11M22.00S,2024-03-21T00:38:44.8Z,2,REGULAR,freethrow,1 of 1,[],1629012,,,1610612762,31,28,2024-03-21T00:38:44Z,1740000,False,,,0,,C. Sexton Free Throw 1 of 1 (9 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,
178,PT11M14.00S,2024-03-21T00:38:53.7Z,2,REGULAR,3pt,Jump Shot,[],1631096,74.06373193166885,13.23529411764706,1610612760,31,28,2024-03-21T00:38:59Z,1750000,False,-184.0,191.0,1,right,MISS C. Holmgren 26' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.53,,,,,,,,,,,,
179,PT11M11.00S,2024-03-21T00:38:57.0Z,2,REGULAR,rebound,defensive,[],1630695,,,1610612762,31,28,2024-03-21T00:38:57Z,1760000,False,,,0,,M. Potter REBOUND (Off:0 Def:1),[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,178.0,1.0,1.0,0.0,,,
180,PT10M56.00S,2024-03-21T00:39:12.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,20.18725361366623,64.2156862745098,1610612762,31,28,2024-03-21T00:39:17Z,1770000,False,-71.0,137.0,1,left,MISS C. Sexton 15' pullup Shot,[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,15.46,,,,,,,,,,,,
181,PT10M53.00S,2024-03-21T00:39:15.3Z,2,REGULAR,rebound,defensive,[],1631096,,,1610612760,31,28,2024-03-21T00:39:17Z,1780000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:7),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,180.0,8.0,7.0,1.0,,,
182,PT10M47.00S,2024-03-21T00:39:23.4Z,2,REGULAR,turnover,traveling,[],1630598,,,1610612760,31,28,2024-03-21T00:39:28Z,1790000,False,,,0,,A. Wiggins traveling TURNOVER (1 TO),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,202026.0,,,,,,,,,,,,,,,,,1.0,,
183,PT10M35.00S,2024-03-21T00:39:57.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630548,7.5722733245729295,2.696078431372549,1610612762,31,28,2024-03-21T00:40:01Z,1800000,False,237.0,19.0,1,left,MISS J. Juzang 3PT,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.72,,,,,,,,,,,,
184,PT10M32.00S,2024-03-21T00:40:00.4Z,2,REGULAR,rebound,offensive,[],1631117,,,1610612762,31,28,2024-03-21T00:40:01Z,1810000,False,,,0,,W. Kessler REBOUND (Off:1 Def:4),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,183.0,5.0,4.0,1.0,,,
186,PT10M16.00S,2024-03-21T00:40:33.9Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629659,30.831143232588698,16.42156862745098,1610612762,31,28,2024-03-21T00:40:55Z,1830000,False,168.0,237.0,1,left,MISS T. Horton-Tucker 29' 3PT,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,29.07,,,,,,,,,,,,
187,PT10M13.00S,2024-03-21T00:40:36.9Z,2,REGULAR,rebound,defensive,[],1641717,,,1610612760,31,28,2024-03-21T00:41:26Z,1840000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,186.0,1.0,1.0,0.0,,,
188,PT10M08.00S,2024-03-21T00:40:42.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202330,67.36202365308804,43.38235294117647,1610612760,34,28,2024-03-21T00:41:05Z,1850000,False,-33.0,254.0,1,right,G. Hayward 25' 3PT running (4 PTS) (C. Wallace 1 AST),"[202330, 1641717]",1610612760.0,OKC,running,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Center,,,,,,Made,4.0,25.64,C. Wallace,1641717.0,1.0,,,,,,,,,
190,PT09M53.00S,2024-03-21T00:40:57.8Z,2,REGULAR,3pt,Jump Shot,[],1630548,28.33442838370565,83.57843137254902,1610612762,34,31,2024-03-21T00:41:02Z,1870000,False,-168.0,214.0,1,left,J. Juzang 27' 3PT  (3 PTS) (T. Horton-Tucker 1 AST),"[1630548, 1629659]",1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,27.18,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,
192,PT09M34.00S,2024-03-21T00:41:15.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630598,88.64980289093299,40.68627450980392,1610612760,34,31,2024-03-21T00:41:36Z,1890000,False,-47.0,54.0,1,right,MISS A. Wiggins 7' driving floating Shot,[1630598],1610612760.0,OKC,driving floating,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,7.15,,,,,,,,,,,,
193,PT09M34.00S,2024-03-21T00:41:15.9Z,2,REGULAR,rebound,defensive,[],1629012,,,1610612762,34,31,2024-03-21T00:41:36Z,1900000,False,,,0,,C. Sexton REBOUND (Off:0 Def:2),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,192.0,2.0,2.0,0.0,,,
194,PT09M12.00S,2024-03-21T00:41:39.1Z,2,REGULAR,turnover,bad pass,[],1630695,,,1610612762,34,31,2024-03-21T00:41:42Z,1910000,False,,,0,,M. Potter bad pass TURNOVER (2 TO),"[1630695, 1631114]",1610612762.0,UTA,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,2.0,Williams,1631114.0
195,PT09M12.00S,2024-03-21T00:41:39.1Z,2,REGULAR,steal,,[],1631114,,,1610612760,34,31,2024-03-21T00:41:41Z,1920000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
196,PT09M06.00S,2024-03-21T00:41:44.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631114,94.30026281208936,52.20588235294118,1610612760,36,31,2024-03-21T00:41:52Z,1930000,False,11.0,1.0,1,right,J. Williams running Layup (6 PTS),[1631114],1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,1.11,,,,,,,,,,,,
197,PT08M51.00S,2024-03-21T00:41:59.8Z,2,REGULAR,3pt,Jump Shot,[],1629659,32.14520367936925,42.15686274509804,1610612762,36,31,2024-03-21T00:43:52Z,1940000,False,39.0,250.0,1,left,MISS T. Horton-Tucker 25' pullup 3PT,[1629659],1610612762.0,UTA,pullup,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Center,,,,,,Missed,,25.28,,,,,,,,,,,,
198,PT08M46.00S,2024-03-21T00:42:04.8Z,2,REGULAR,rebound,defensive,[],202330,,,1610612760,36,31,2024-03-21T00:42:07Z,1950000,False,,,0,,G. Hayward REBOUND (Off:1 Def:1),[202330],1610612760.0,OKC,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,197.0,2.0,1.0,1.0,,,
199,PT08M40.00S,2024-03-21T00:42:09.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202330,68.80749014454665,73.2843137254902,1610612760,39,31,2024-03-21T00:43:28Z,1960000,False,116.0,241.0,1,right,G. Hayward 26' 3PT running (7 PTS) (J. Williams 1 AST),"[202330, 1631114]",1610612760.0,OKC,running,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,,,,,,Made,7.0,26.74,J. Williams,1631114.0,1.0,,,,,,,,,
201,PT08M40.00S,2024-03-21T00:42:15.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,39,31,2024-03-21T00:42:15Z,1980000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M40.00S,2024-03-21T00:44:48.7Z,2,REGULAR,substitution,out,[],1630695,,,1610612762,39,31,2024-03-21T00:45:03Z,1990000,False,,,0,,SUB out: M. Potter,[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M40.00S,2024-03-21T00:44:48.7Z,2,REGULAR,substitution,in,[],1641729,,,1610612762,39,31,2024-03-21T00:45:03Z,2000000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M26.00S,2024-03-21T00:45:30.8Z,2,REGULAR,turnover,traveling,[],1629012,,,1610612762,39,31,2024-03-21T00:45:35Z,2010000,False,,,0,,C. Sexton traveling TURNOVER (1 TO),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,,,,,,,,,,,,,,,,,1.0,,
205,PT08M12.00S,2024-03-21T00:45:59.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631096,91.5407358738502,55.63725490196079,1610612760,39,31,2024-03-21T00:46:04Z,2020000,False,28.0,27.0,1,right,MISS C. Holmgren driving finger roll Layup,[1631096],1610612760.0,OKC,driving finger roll,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.9,,,,,,,,,,,,
206,PT08M09.00S,2024-03-21T00:46:02.5Z,2,REGULAR,rebound,defensive,[],1630548,,,1610612762,39,31,2024-03-21T00:46:04Z,2030000,False,,,0,,J. Juzang REBOUND (Off:0 Def:1),[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,205.0,1.0,1.0,0.0,,,
207,PT08M05.00S,2024-03-21T00:46:07.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629012,12.040078843626807,35.294117647058826,1610612762,39,31,2024-03-21T00:47:08Z,2040000,False,74.0,61.0,1,left,MISS C. Sexton 9' running Layup - blocked,"[1629012, 1641717]",1610612762.0,UTA,running,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,9.53,,,,Wallace,1641717.0,,,,,,,
208,PT08M05.00S,2024-03-21T00:46:07.7Z,2,REGULAR,block,,[],1641717,,,1610612762,39,31,2024-03-21T00:46:10Z,2050000,False,,,0,,C. Wallace BLOCK (1 BLK),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
209,PT08M05.00S,2024-03-21T00:46:07.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612762,39,31,2024-03-21T00:46:14Z,2060000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,207.0,,,,,,
211,PT08M01.00S,2024-03-21T00:46:26.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629012,10.726018396846255,37.745098039215684,1610612762,39,33,2024-03-21T00:46:33Z,2080000,False,61.0,48.0,1,left,C. Sexton 7' driving floating bank Jump Shot (11 PTS) (W. Kessler 1 AST),"[1629012, 1631117]",1610612762.0,UTA,driving floating bank,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,11.0,7.8,W. Kessler,1631117.0,1.0,,,,,,,,,
213,PT07M51.00S,2024-03-21T00:46:35.0Z,2,REGULAR,3pt,Jump Shot,[],1631096,69.46452036793693,78.18627450980392,1610612760,39,33,2024-03-21T00:46:38Z,2100000,False,141.0,235.0,1,right,MISS C. Holmgren 27' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,27.36,,,,,,,,,,,,
214,PT07M49.00S,2024-03-21T00:46:37.0Z,2,REGULAR,rebound,defensive,[],1641729,,,1610612762,39,33,2024-03-21T00:46:38Z,2110000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:2),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,213.0,2.0,2.0,0.0,,,
215,PT07M41.00S,2024-03-21T00:46:45.5Z,2,REGULAR,3pt,Jump Shot,[],1630548,17.821944809461236,92.64705882352942,1610612762,39,36,2024-03-21T00:46:49Z,2120000,False,-213.0,115.0,1,left,J. Juzang 24' 3PT  (6 PTS) (C. Sexton 4 AST),"[1630548, 1629012]",1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Above the Break 3,24+ Left Center,,,,,,Made,6.0,24.22,C. Sexton,1629012.0,4.0,,,,,,,,,
217,PT07M28.00S,2024-03-21T00:46:58.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,84.05059132720105,34.55882352941176,1610612760,39,36,2024-03-21T00:47:02Z,2140000,False,-77.0,97.0,1,right,MISS J. Williams 12' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,12.43,,,,,,,,,,,,
218,PT07M26.00S,2024-03-21T00:47:00.3Z,2,REGULAR,rebound,defensive,[],1629012,,,1610612762,39,36,2024-03-21T00:47:02Z,2150000,False,,,0,,C. Sexton REBOUND (Off:0 Def:3),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,217.0,3.0,3.0,0.0,,,
219,PT07M14.00S,2024-03-21T00:47:12.7Z,2,REGULAR,turnover,bad pass,[],1630548,,,1610612762,39,36,2024-03-21T00:47:16Z,2160000,False,,,0,,J. Juzang bad pass TURNOVER (1 TO),"[1630548, 1631096]",1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,1.0,Holmgren,1631096.0
220,PT07M14.00S,2024-03-21T00:47:12.7Z,2,REGULAR,steal,,[],1631096,,,1610612760,39,36,2024-03-21T00:47:14Z,2170000,False,,,0,,C. Holmgren STEAL (1 STL),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
221,PT07M09.00S,2024-03-21T00:47:17.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631114,93.64323258869908,51.71568627450981,1610612760,41,36,2024-03-21T00:47:24Z,2180000,False,9.0,7.0,1,right,J. Williams driving reverse Layup (8 PTS) (G. Hayward 2 AST),"[1631114, 202330]",1610612760.0,OKC,driving reverse,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,Made,8.0,1.13,G. Hayward,202330.0,2.0,,,,,,,,,
223,PT06M46.00S,2024-03-21T00:47:39.8Z,2,REGULAR,3pt,Jump Shot,[],1630548,2.7102496714848883,3.6764705882352944,1610612762,41,39,2024-03-21T00:47:44Z,2200000,False,232.0,-27.0,1,left,J. Juzang 3PT  (9 PTS) (T. Horton-Tucker 2 AST),"[1630548, 1629659]",1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Right Corner 3,24+ Right,,,,,,Made,9.0,23.32,T. Horton-Tucker,1629659.0,2.0,,,,,,,,,
225,PT06M45.00S,2024-03-21T00:47:46.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,41,39,2024-03-21T00:47:46Z,2220000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,out,[],1631096,,,1610612760,41,39,2024-03-21T00:50:36Z,2230000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,out,[],1630598,,,1610612760,41,39,2024-03-21T00:50:36Z,2240000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,out,[],202330,,,1610612760,41,39,2024-03-21T00:50:36Z,2250000,False,,,0,,SUB out: G. Hayward,[202330],1610612760.0,OKC,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,out,[],1629012,,,1610612760,41,39,2024-03-21T00:50:36Z,2260000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,out,[],1629659,,,1610612760,41,39,2024-03-21T00:50:36Z,2270000,False,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,out,[],1631117,,,1610612760,41,39,2024-03-21T00:50:36Z,2280000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,in,[],1631119,,,1610612760,41,39,2024-03-21T00:50:36Z,2290000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,in,[],1630198,,,1610612760,41,39,2024-03-21T00:50:36Z,2300000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,in,[],1630581,,,1610612760,41,39,2024-03-21T00:50:36Z,2310000,False,,,0,,SUB in: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,in,[],1628381,,,1610612760,41,39,2024-03-21T00:50:36Z,2320000,False,,,0,,SUB in: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,in,[],1627739,,,1610612760,41,39,2024-03-21T00:50:36Z,2330000,False,,,0,,SUB in: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M45.00S,2024-03-21T00:50:11.0Z,2,REGULAR,substitution,in,[],1641718,,,1610612760,41,39,2024-03-21T00:50:36Z,2340000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M27.00S,2024-03-21T00:50:53.8Z,2,REGULAR,3pt,Jump Shot,[],1641717,88.64980289093299,95.83333333333334,1610612760,41,39,2024-03-21T00:50:58Z,2350000,False,229.0,54.0,1,right,MISS C. Wallace 3PT,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.55,,,,,,,,,,,,
239,PT06M24.00S,2024-03-21T00:50:56.8Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612762,41,39,2024-03-21T00:50:58Z,2360000,False,,,0,,J. Collins REBOUND (Off:0 Def:3),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,238.0,3.0,3.0,0.0,,,
240,PT06M21.00S,2024-03-21T00:51:00.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630548,14.4053876478318,3.6764705882352944,1610612762,41,39,2024-03-21T00:51:36Z,2370000,False,232.0,83.0,1,left,MISS J. Juzang 24' running 3PT - blocked,"[1630548, 1631119]",1610612762.0,UTA,running,,,Juzang,J. Juzang,,,,,Right Corner 3,24+ Right,,,,,,Missed,,24.6,,,,Williams,1631119.0,,,,,,,
241,PT06M21.00S,2024-03-21T00:51:00.9Z,2,REGULAR,block,,[],1631119,,,1610612762,41,39,2024-03-21T00:51:04Z,2380000,False,,,0,,J. Williams BLOCK (1 BLK),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
242,PT06M17.00S,2024-03-21T00:51:04.9Z,2,REGULAR,rebound,defensive,[],1630581,,,1610612760,41,39,2024-03-21T00:51:07Z,2390000,False,,,0,,J. Giddey REBOUND (Off:1 Def:4),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,240.0,5.0,4.0,1.0,,,
243,PT05M54.00S,2024-03-21T00:51:27.0Z,2,REGULAR,3pt,Jump Shot,[],1631119,60.791721419185286,50.49019607843137,1610612760,41,39,2024-03-21T00:52:01Z,2400000,False,2.0,316.0,1,right,MISS J. Williams 31' driving floating 3PT,[1631119],1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,,,,Missed,,31.61,,,,,,,,,,,,
244,PT05M52.00S,2024-03-21T00:51:29.0Z,2,REGULAR,rebound,offensive,[],1641717,,,1610612760,41,39,2024-03-21T00:52:01Z,2410000,False,,,0,,C. Wallace REBOUND (Off:1 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,243.0,2.0,1.0,1.0,,,
245,PT05M47.00S,2024-03-21T00:51:34.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631114,92.9862023653088,37.254901960784316,1610612760,43,39,2024-03-21T00:52:38Z,2420000,False,-64.0,13.0,1,right,J. Williams 6' driving floating Jump Shot (10 PTS) (J. Giddey 5 AST),"[1631114, 1630581]",1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,10.0,6.51,J. Giddey,1630581.0,5.0,,,,,,,,,
