actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
169,PT11M36.00S,2025-03-31T01:36:48.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,93.77463863337714,46.568627450980394,1610612745,24,34,2025-03-31T01:36:52Z,1650000,False,-17.0,6.0,1,right,A. Sengun driving Layup (4 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.82,Made,4.0,,,,,,,,,,,,,,,,,
170,PT11M23.00S,2025-03-31T01:37:01.3Z,2,REGULAR,3pt,Jump Shot,[],1626220,10.726018396846255,96.07843137254902,1610612756,24,34,2025-03-31T01:37:32Z,1660000,False,-230.0,48.0,1,left,MISS R. O'Neale pullup 3PT,[1626220],1610612756.0,PHX,pullup,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,23.54,Missed,,,,,,,,,,,,,,,,,,
171,PT11M20.00S,2025-03-31T01:37:04.3Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,24,34,2025-03-31T01:37:05Z,1670000,False,,,0,,A. Sengun REBOUND (Off:1 Def:4),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Left Corner 3,24+ Left,,,,,,,,,170.0,5.0,4.0,1.0,,,,,,,,
172,PT11M11.00S,2025-03-31T01:37:13.4Z,2,REGULAR,3pt,Jump Shot,[],201145,92.32917214191852,2.696078431372549,1610612745,24,37,2025-03-31T01:37:17Z,1680000,False,-237.0,20.0,1,right,J. Green 3PT  (3 PTS) (F. VanVleet 1 AST),"[201145, 1627832]",1610612745.0,HOU,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,23.73,Made,3.0,,,,,,,,,,,,F. VanVleet,1627832.0,1.0,,,
174,PT10M48.00S,2025-03-31T01:37:36.4Z,2,REGULAR,3pt,Jump Shot,[],1626145,19.004599211563733,90.19607843137256,1610612756,24,37,2025-03-31T01:37:43Z,1700000,False,-201.0,126.0,1,left,MISS T. Jones 3PT - blocked,"[1626145, 1628988]",1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,23.73,Missed,,,,,,,,,,,Holiday,1628988.0,,,,,,
175,PT10M48.00S,2025-03-31T01:37:36.4Z,2,REGULAR,block,,[],1628988,,,1610612756,24,37,2025-03-31T01:37:39Z,1710000,False,,,0,,A. Holiday BLOCK (1 BLK),[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
176,PT10M48.00S,2025-03-31T01:37:36.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612756,24,37,2025-03-31T01:37:43Z,1720000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,174.0,,,,,,,,,,,
178,PT10M46.00S,2025-03-31T01:38:00.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,25.04927726675427,7.8431372549019605,1610612756,27,37,2025-03-31T01:38:04Z,1740000,False,211.0,183.0,1,left,T. Jones 27' 3PT  (3 PTS) (R. O'Neale 1 AST),"[1626145, 1626220]",1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,27.92,Made,3.0,,,,,,,,,,,,R. O'Neale,1626220.0,1.0,,,
180,PT10M33.00S,2025-03-31T01:38:14.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,82.07950065703022,40.44117647058824,1610612745,27,37,2025-03-31T01:38:18Z,1760000,False,-48.0,116.0,1,right,MISS A. Sengun 12' turnaround Shot,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,12.55,Missed,,,,,,,,,,,,,,,,,,
181,PT10M30.00S,2025-03-31T01:38:17.0Z,2,REGULAR,rebound,defensive,[],1628998,,,1610612756,27,37,2025-03-31T01:38:18Z,1770000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612756.0,PHX,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,180.0,1.0,1.0,0.0,,,,,,,,
182,PT10M18.00S,2025-03-31T01:38:29.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,15.588042049934298,64.2156862745098,1610612756,29,37,2025-03-31T01:39:27Z,1780000,False,-71.0,94.0,1,left,D. Booker 11' pullup Jump Shot (9 PTS) (T. Jones 1 AST),"[1626164, 1626145]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Left,11.79,Made,9.0,,,,,,,,,,,,T. Jones,1626145.0,1.0,,,
184,PT10M18.00S,2025-03-31T01:38:32.5Z,2,REGULAR,foul,personal,['1freethrow'],201145,,,1610612756,29,37,2025-03-31T01:38:43Z,1800000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Booker 1 FT),"[201145, 1626164]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,1628954.0,1.0,0.0,Booker,1626164.0,,,,,,,,,,,,
186,PT10M18.00S,2025-03-31T01:38:53.5Z,2,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,29,37,2025-03-31T01:38:56Z,1820000,False,,,0,,MISS D. Booker Free Throw 1 of 1,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
187,PT10M16.00S,2025-03-31T01:38:55.5Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,29,37,2025-03-31T01:38:56Z,1830000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,186.0,2.0,2.0,0.0,,,,,,,,
188,PT09M59.00S,2025-03-31T01:39:12.4Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,94.95729303547962,49.50980392156863,1610612745,29,39,2025-03-31T01:39:57Z,1840000,False,-2.0,-5.0,1,right,A. Sengun driving bank Hook (6 PTS),[1630578],1610612745.0,HOU,driving bank,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.57,Made,6.0,,,,,,,,,,,,,,,,,
189,PT09M33.00S,2025-03-31T01:39:37.4Z,2,REGULAR,3pt,Jump Shot,[],1628998,8.229303547963205,96.56862745098039,1610612756,29,39,2025-03-31T01:39:41Z,1850000,False,-233.0,25.0,1,left,MISS C. Martin 3PT,[1628998],1610612756.0,PHX,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
190,PT09M31.00S,2025-03-31T01:39:39.4Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,29,39,2025-03-31T01:39:41Z,1860000,False,,,0,,A. Sengun REBOUND (Off:1 Def:5),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Left Corner 3,24+ Left,,,,,,,,,189.0,6.0,5.0,1.0,,,,,,,,
191,PT09M09.00S,2025-03-31T01:40:01.8Z,2,REGULAR,3pt,Jump Shot,[],1627832,71.04139290407359,81.86274509803921,1610612745,29,42,2025-03-31T01:40:06Z,1870000,False,159.0,220.0,1,right,F. VanVleet 27' 3PT  (5 PTS) (A. Sengun 2 AST),"[1627832, 1630578]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,27.14,Made,5.0,,,,,,,,,,,,A. Sengun,1630578.0,2.0,,,
193,PT08M52.00S,2025-03-31T01:40:17.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,17.0335085413929,35.78431372549019,1610612756,31,42,2025-03-31T01:40:22Z,1890000,False,71.0,108.0,1,left,T. Jones 12' pullup Jump Shot (5 PTS),[1626145],1610612756.0,PHX,pullup,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Right,12.9,Made,5.0,,,,,,,,,,,,,,,,,
194,PT08M40.00S,2025-03-31T01:40:33.0Z,2,REGULAR,foul,personal,[],1642345,,,1610612745,31,42,2025-03-31T01:40:37Z,1900000,False,,,0,,O. Ighodaro personal FOUL (1 PF),"[1642345, 1630578]",1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Above the Break 3,24+ Center,,,,1662.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,,,,
196,PT08M40.00S,2025-03-31T01:40:37.6Z,2,REGULAR,substitution,out,[],1628998,,,1610612745,31,42,2025-03-31T01:40:44Z,1920000,False,,,0,,SUB out: C. Martin,[1628998],1610612756.0,PHX,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT08M40.00S,2025-03-31T01:40:37.6Z,2,REGULAR,substitution,out,[],1631095,,,1610612745,31,42,2025-03-31T01:40:44Z,1930000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT08M40.00S,2025-03-31T01:40:37.6Z,2,REGULAR,substitution,in,[],1642346,,,1610612745,31,42,2025-03-31T01:40:44Z,1940000,False,,,0,,SUB in: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT08M40.00S,2025-03-31T01:40:37.6Z,2,REGULAR,substitution,in,[],203500,,,1610612745,31,42,2025-03-31T01:40:44Z,1950000,False,,,0,,SUB in: S. Adams,[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M40.00S,2025-03-31T01:40:37.6Z,2,REGULAR,substitution,out,[],1642345,,,1610612745,31,42,2025-03-31T01:40:50Z,1960000,False,,,0,,SUB out: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M40.00S,2025-03-31T01:40:37.6Z,2,REGULAR,substitution,in,[],1630208,,,1610612745,31,42,2025-03-31T01:40:50Z,1970000,False,,,0,,SUB in: N. Richards,[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M35.00S,2025-03-31T01:41:09.6Z,2,REGULAR,2pt,Jump Shot,[],1627832,73.27529566360053,41.17647058823529,1610612745,31,42,2025-03-31T01:41:15Z,1980000,False,-44.0,199.0,1,right,MISS F. VanVleet 20' pullup Shot,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Center,20.35,Missed,,,,,,,,,,,,,,,,,,
203,PT08M30.00S,2025-03-31T01:41:14.6Z,2,REGULAR,rebound,offensive,[],203500,,,1610612745,31,42,2025-03-31T01:41:15Z,1990000,False,,,0,,S. Adams REBOUND (Off:2 Def:1),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,Mid-Range,16-24 Center,,,,,,,,,202.0,3.0,1.0,2.0,,,,,,,,
204,PT08M24.00S,2025-03-31T01:41:19.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201145,96.40275952693824,96.32352941176471,1610612745,31,45,2025-03-31T01:41:24Z,2000000,False,232.0,-19.0,1,right,J. Green 3PT  (6 PTS) (F. VanVleet 2 AST),"[201145, 1627832]",1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.24,Made,6.0,,,,,,,,,,,,F. VanVleet,1627832.0,2.0,,,
206,PT08M15.00S,2025-03-31T01:41:29.3Z,2,REGULAR,3pt,Jump Shot,[],1642346,4.944152431011826,96.81372549019608,1610612756,31,45,2025-03-31T01:41:34Z,2020000,False,-234.0,-6.0,1,left,MISS R. Dunn 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,23.42,Missed,,,,,,,,,,,,,,,,,,
207,PT08M11.00S,2025-03-31T01:41:33.3Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,31,45,2025-03-31T01:41:34Z,2030000,False,,,0,,A. Sengun REBOUND (Off:1 Def:6),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Left Corner 3,24+ Left,,,,,,,,,206.0,7.0,6.0,1.0,,,,,,,,
208,PT08M00.00S,2025-03-31T01:41:43.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,93.51182654402102,47.05882352941176,1610612745,31,47,2025-03-31T01:42:08Z,2040000,False,-15.0,8.0,1,right,A. Sengun cutting Layup (8 PTS) (F. VanVleet 3 AST),"[1630578, 1627832]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.7,Made,8.0,,,,,,,,,,,,F. VanVleet,1627832.0,3.0,,,
210,PT07M51.00S,2025-03-31T01:41:52.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,16.245072273324574,40.19607843137255,1610612756,33,47,2025-03-31T01:41:56Z,2060000,False,49.0,100.0,1,left,D. Booker 11' pullup Jump Shot (11 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,11.15,Made,11.0,,,,,,,,,,,,,,,,,
211,PT07M30.00S,2025-03-31T01:42:15.2Z,2,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612745,33,47,2025-03-31T01:42:24Z,2070000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Sengun 2 FT),"[1630208, 1630578]",1610612756.0,PHX,shooting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,203593.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,,,,
213,PT07M30.00S,2025-03-31T01:42:54.5Z,2,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,33,47,2025-03-31T01:42:54Z,2090000,False,,,0,,MISS A. Sengun Free Throw 1 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
214,PT07M30.00S,2025-03-31T01:42:54.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,33,47,2025-03-31T01:42:54Z,2100000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,213.0,,,,,,,,,,,
215,PT07M30.00S,2025-03-31T01:42:56.9Z,2,REGULAR,substitution,out,[],1626145,,,1610612745,33,47,2025-03-31T01:43:00Z,2110000,False,,,0,,SUB out: T. Jones,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M30.00S,2025-03-31T01:42:56.9Z,2,REGULAR,substitution,in,[],1631221,,,1610612745,33,47,2025-03-31T01:43:00Z,2120000,False,,,0,,SUB in: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M30.00S,2025-03-31T01:43:03.5Z,2,REGULAR,substitution,out,[],1628988,,,1610612745,33,47,2025-03-31T01:43:09Z,2130000,False,,,0,,SUB out: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M30.00S,2025-03-31T01:43:03.5Z,2,REGULAR,substitution,in,[],1628415,,,1610612745,33,47,2025-03-31T01:43:09Z,2140000,False,,,0,,SUB in: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M30.00S,2025-03-31T01:43:15.2Z,2,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,33,48,2025-03-31T01:43:15Z,2150000,False,,,0,,A. Sengun Free Throw 2 of 2 (9 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
220,PT07M14.00S,2025-03-31T01:43:33.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,16.507884362680684,52.94117647058824,1610612756,35,48,2025-03-31T01:43:38Z,2160000,False,-15.0,103.0,1,left,D. Booker 10' pullup Jump Shot (13 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,10.37,Made,13.0,,,,,,,,,,,,,,,,,
221,PT06M58.00S,2025-03-31T01:43:51.2Z,2,REGULAR,foul,personal,['2freethrow'],1642346,,,1610612745,35,48,2025-03-31T01:44:05Z,2170000,False,,,0,,R. Dunn shooting personal FOUL (2 PF) (Sengun 2 FT),"[1642346, 1630578]",1610612756.0,PHX,shooting,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,,,,1628954.0,2.0,0.0,Sengun,1630578.0,,,,,,,,,,,,
223,PT06M58.00S,2025-03-31T01:44:09.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,35,48,2025-03-31T01:44:09Z,2190000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M58.00S,2025-03-31T01:46:13.8Z,2,REGULAR,substitution,out,[],1627832,,,1610612745,35,48,2025-03-31T01:46:53Z,2200000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M58.00S,2025-03-31T01:46:13.8Z,2,REGULAR,substitution,out,[],201145,,,1610612745,35,48,2025-03-31T01:46:53Z,2210000,False,,,0,,SUB out: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M58.00S,2025-03-31T01:46:13.8Z,2,REGULAR,substitution,in,[],1630224,,,1610612745,35,48,2025-03-31T01:46:53Z,2220000,False,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M58.00S,2025-03-31T01:46:13.8Z,2,REGULAR,substitution,in,[],1641708,,,1610612745,35,48,2025-03-31T01:46:53Z,2230000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M58.00S,2025-03-31T01:47:19.5Z,2,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,35,48,2025-03-31T01:47:19Z,2240000,False,,,0,,MISS A. Sengun Free Throw 1 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
229,PT06M58.00S,2025-03-31T01:47:19.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,35,48,2025-03-31T01:47:19Z,2250000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,228.0,,,,,,,,,,,
230,PT06M58.00S,2025-03-31T01:47:33.8Z,2,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,35,49,2025-03-31T01:47:33Z,2260000,False,,,0,,A. Sengun Free Throw 2 of 2 (10 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
231,PT06M45.00S,2025-03-31T01:47:47.7Z,2,REGULAR,3pt,Jump Shot,[],1626220,11.908672798948752,3.1862745098039214,1610612756,35,49,2025-03-31T01:47:51Z,2270000,False,234.0,59.0,1,left,MISS R. O'Neale 24' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Right Corner 3,24+ Right,24.15,Missed,,,,,,,,,,,,,,,,,,
232,PT06M43.00S,2025-03-31T01:47:49.7Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,35,49,2025-03-31T01:47:51Z,2280000,False,,,0,,A. Sengun REBOUND (Off:1 Def:7),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Right Corner 3,24+ Right,,,,,,,,,231.0,8.0,7.0,1.0,,,,,,,,
233,PT06M26.00S,2025-03-31T01:48:06.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,81.42247043363994,39.46078431372549,1610612745,35,51,2025-03-31T01:48:10Z,2290000,False,-53.0,122.0,1,right,J. Green 13' pullup Jump Shot (3 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,13.3,Made,3.0,,,,,,,,,,,,,,,,,
234,PT06M07.00S,2025-03-31T01:48:26.5Z,2,REGULAR,turnover,bad pass,[],1630208,,,1610612756,35,51,2025-03-31T01:48:29Z,2300000,False,,,0,,N. Richards bad pass TURNOVER (1 TO),"[1630208, 1628415]",1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Brooks,1628415.0
235,PT06M07.00S,2025-03-31T01:48:26.5Z,2,REGULAR,steal,,[],1628415,,,1610612745,35,51,2025-03-31T01:48:28Z,2310000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
236,PT05M59.00S,2025-03-31T01:48:34.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203500,93.64323258869908,50.73529411764706,1610612745,35,53,2025-03-31T01:48:39Z,2320000,False,4.0,7.0,1,right,S. Adams cutting DUNK (6 PTS) (A. Thompson 4 AST),"[203500, 1641708]",1610612745.0,HOU,cutting,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,0.82,Made,6.0,,,,,,,,,,,,A. Thompson,1641708.0,4.0,,,
238,PT05M47.00S,2025-03-31T01:48:49.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,6.258212877792378,45.83333333333333,1610612756,37,53,2025-03-31T01:48:52Z,2340000,False,21.0,6.0,1,left,D. Booker cutting Layup (15 PTS) (C. Gillespie 4 AST),"[1626164, 1631221]",1610612756.0,PHX,cutting,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,2.17,Made,15.0,,,,,,,,,,,,C. Gillespie,1631221.0,4.0,,,
240,PT05M47.00S,2025-03-31T01:48:51.3Z,2,REGULAR,foul,personal,['1freethrow'],1630578,,,1610612756,37,53,2025-03-31T01:49:01Z,2360000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Booker 1 FT),"[1630578, 1626164]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,1628954.0,1.0,0.0,Booker,1626164.0,,,,,,,,,,,,
242,PT05M47.00S,2025-03-31T01:49:02.7Z,2,REGULAR,substitution,out,[],1626220,,,1610612756,37,53,2025-03-31T01:49:45Z,2380000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT05M47.00S,2025-03-31T01:49:02.7Z,2,REGULAR,substitution,out,[],1630578,,,1610612756,37,53,2025-03-31T01:49:45Z,2390000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M47.00S,2025-03-31T01:49:02.7Z,2,REGULAR,substitution,in,[],201142,,,1610612756,37,53,2025-03-31T01:49:45Z,2400000,False,,,0,,SUB in: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT05M47.00S,2025-03-31T01:49:02.7Z,2,REGULAR,substitution,in,[],1631095,,,1610612756,37,53,2025-03-31T01:49:45Z,2410000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT05M47.00S,2025-03-31T01:49:17.4Z,2,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,38,53,2025-03-31T01:49:17Z,2420000,False,,,0,,D. Booker Free Throw 1 of 1 (16 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,16.0,,,,,,,,,,,,,,,,,
247,PT05M31.00S,2025-03-31T01:49:36.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642346,,,1610612745,38,53,2025-03-31T01:49:53Z,2430000,False,,,0,,R. Dunn shooting personal FOUL (3 PF) (Green 2 FT),"[1642346, 1630224]",1610612756.0,PHX,shooting,,,Dunn,R. Dunn,,,,,Mid-Range,16-24 Right Center,,,,1662.0,3.0,0.0,Green,1630224.0,,,,,,,,,,,,
249,PT05M31.00S,2025-03-31T01:50:01.5Z,2,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,38,54,2025-03-31T01:50:01Z,2450000,False,,,0,,J. Green Free Throw 1 of 2 (4 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
250,PT05M31.00S,2025-03-31T01:50:16.3Z,2,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,38,55,2025-03-31T01:50:16Z,2460000,False,,,0,,J. Green Free Throw 2 of 2 (5 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
266,PT05M20.00S,2025-03-31T01:50:15.7Z,2,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,38,55,2025-03-31T01:56:48Z,2467500,False,,,0,,D. Booker bad pass out-of-bounds TURNOVER (2 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right,,,,1662.0,,,,,,,,,,,,,,2.0,,
253,PT05M12.00S,2025-03-31T01:50:58.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,38,55,2025-03-31T01:56:48Z,2490000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M12.00S,2025-03-31T01:53:36.0Z,2,REGULAR,substitution,out,[],1642346,,,1610612745,38,55,2025-03-31T01:56:48Z,2510000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT05M12.00S,2025-03-31T01:53:36.0Z,2,REGULAR,substitution,in,[],1628960,,,1610612745,38,55,2025-03-31T01:56:48Z,2520000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT05M02.00S,2025-03-31T01:54:07.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1628415,84.05059132720105,72.30392156862744,1610612745,38,55,2025-03-31T01:58:53Z,2530000,False,112.0,97.0,1,right,MISS D. Brooks 14' step back Shot,[1628415],1610612745.0,HOU,step back,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,14.81,Missed,,,,,,,,,,,,,,,,,,
